a	1
aa	2	s1	L0,1
aalborg	1
aaron	1
ab	2
allvarliga	2	s1	L1
allvarligare	2	s1	L1
allvarligaste	2	s1	L1
allvarligt	2	s1	L1
allvetande	2	s1	L1
ally	1
allätare	2	s1	L1
allé	1	1
allén	1	1
alm	1
alma	2
almanacka	2	s2
almanackan	2	s2
almedalen	2	s2	L2
almega	1	1
almgren	2	s1	L1
almi	1
almqvist	2	s1
alnar	2
alnarp	2	s1	L0
aloe	2
alonso	1	1
alperna	1
alpin	1	1
alpina	1	1
alpine	1	1
alpint	1	1
als	1
alsace	1	1
alsing	2
alster	1
alstra	2
alstrar	2
alt	1
alta	2
altan	1	1
altanen	1	1
altare	2
altaret	2
alter	1
alternativ	1	3
alternativa	1	3
alternative	1	3
alternativen	1	3
alternativet	1	3
alternativt	1	3
alto	1
alton	1
altruism	1	2
aluminium	1	2
alv	1
alva	2
alvar	2
alvarez	1	1
alvaro	1	1
alvedon	1	2	o
alver	1
alverna	1
alves	2
alvesta	2	s1
alvik	2	s1	L0,1
alvin	1	1
alzheimers	1
am	2
amadeus	1	2
amager	1	1
amalia	1	1
amanda	2	1
amandas	2	1
amatör	1	2
amatörer	1	2
amazon	1	2	o
amazonas	1	2	o
ambassad	1	2
ambassaden	1	2
ambassader	1	2
ambassadör	1	3
ambassadören	1	3
ambassadörer	1	3
ambition	1	2
ambitionen	1	2
ambitioner	1	2
ambitionsnivå	2	2
ambitiös	1	2
ambitiösa	1	2
ambitiöst	1	2
ambivalent	1	3
ambulans	1	2
ambulansen	1	2
ambulanser	1	2
ambulanspersonal	2	2	s5	L1,5
ambulanspersonalen	2	2	s5	L1,5
ambulerande	1	2
amd	2
amelia	1	1
amelie	1
amen	1
amer	1
america	1	1
americas	1	1
amerika	1	1
amerikan	1	3
amerikanare	2	3
amerikanarna	2	3
amerikanen	1	3
amerikaner	1	3
amerikanerna	1	3
amerikanernas	1	3
amerikansk	1	3
amerikanska	1	3
amerikanskan	1	3
amerikanskt	1	3
amerikas	1	1
amf	1	2
amfetamin	1	3
ami	1	1
amigo	1	1
amigos	1	1
amin	1	1
amina	2	1
aminosyror	2	1	s3	L1,3
amir	1	1
amiral	1	2
amiralen	1	2
amma	2
ammade	2
amman	1	1
ammar	2
ammoniak	1	1
ammunition	1	3
ammunitionen	1	3
amnesti	1	2
amnesty	1
amning	2
amok	1	1
amor	1
amore	1	1	o
amortera	1	2
amorterar	1	2
amortering	1	2
amorteringskrav	2	2	s4	L2,4
amos	1
amour	1	1
amp	1
ampere	1	1
amputera	1	2
ams	1
amsterdam	1
an	1
ana	2
anabola	1	2	o
anade	2
anagram	1	2
anal	1	1
analfabet	1	3
analfabeter	1	3
analog	1	2	o
analoga	1	2	o
analogi	1	3
analsex	2	1	s2	L1
analt	1	1
analys	1	2
analysen	1	2
analyser	1	2
analysera	1	3
analyserade	1	3
analyserar	1	3
analyseras	1	3
analyserat	1	3
analyserna	1	2
analytiker	1	2
analytisk	1	2
analytiska	1	2
analytiskt	1	2
anamma	1	1
anammade	1	1
anammar	1	1
anammat	1	1
ananas	2
anar	2
anarki	1	2
anarkism	1	2
anarkist	1	2
anarkister	1	2
anarkistiska	1	2
anarkistiskt	1	2
anas	2
anastasia	1	2
anat	2
anatomi	1	3
anatomiska	1	2	o
anblick	2	s1
anblicken	2	s1
anbud	2	s1	L1
anbudet	2	s1	L1
anc	2
and	1
anda	2
andades	2
andalusien	1	2
andan	2
andar	2
andarna	2
andas	2
ande	2
andedräkt	2	s2
andel	2	s1	L1
andelar	2	s1	L1
andelarna	2	s1	L1
andelen	2	s1	L1
anden	1
andens	1
ander	1
anderberg	2	s2
anderna	1
anders	2
andersdotter	2	s2
andersens	2
anderson	2
andersons	2
andersson	2	s2
anderssons	2
andes	2
andetag	2	s2	L2
andetaget	2	s2	L2
andevärlden	2	s2	L2
andfådd	2	s1
andlig	2
andliga	2
andlighet	2	s2	L2
andligt	2
andning	2
andningen	2
andnöd	2	s1	L1
andorra	2	1
andra	2
andraplats	2	s2
andraplatsen	2	s2
andras	2
andre	2
andreasson	2	1
andrei	1
andrej	1
andres	1
andrew	1
andrews	1
andromeda	1	1	o
andrum	2	s1
andré	1	1
andrén	1	1
andrés	1	1
andy	1
andys	1
aneby	2	s2	L0,2
anekdot	1	2	o
anekdoter	1	2	o
anekdotisk	1	2	o
anemi	1	2
anette	1	1
anfall	2	s1
anfalla	2	s1
anfallare	2	s1
anfallaren	2	s1
anfallen	2	s1
anfaller	2	s1
anfallet	2	s1
anföll	2	s1
anfölls	2	s1
anför	2	s1	L1
anföra	2	s1	L1
anförande	2	s1	L1
anförde	2	s1	L1
ang	2
angav	2	s1	L1
angavs	2	s1	L1
ange	2	s1	L1
angel	1
angela	1
angeles	1
angelica	1	1
angelika	1	1
angelina	2	2
angelo	1
angelägen	2	s2	L2
angelägenhet	2	s4	L2,4
angelägenheter	2	s4	L2,4
angeläget	2	s2	L2
angelägna	2	s2	L2
angenäm	2	s2	L2
angenämt	2	s2	L2
anger	1
angered	2	s2	L2
angereds	2	s2	L2
anges	2	s1	L1
angett	2	s1
angiven	2	s1	L1
angivet	2	s1	L1
angivit	2	s1	L1
angivna	2	s1	L1
anglosaxiska	1	2
angola	2	1	o
angrep	2	s1	L1
angrepp	2
angreppen	2	s1
angreppet	2	s1
angreps	2	s1	L1
angripa	2	s1	L1
angripare	2	s1	L1
angriparen	2	s1	L1
angriparna	2	s1	L1
angripen	2	s1	L1
angriper	2	s1	L1
angripit	2	s1	L1
angrips	2	s1	L1
angränsande	2	s1
angår	2	s1	L1
anhalt	2	s1
anhängare	2	s1
anhängarna	2	s1
anhållen	2	s1
anhölls	2	s1
anhörig	2	s1	L1
anhöriga	2	s1	L1
anhörigas	2	s1	L1
animal	1	2
animaliska	1	2
animation	1	3
animerad	1	2
animerade	1	2
aning	2
aningar	2
aningen	2
aningens	2
anita	2	1
anja	2
anka	2
ankan	2
ankar	2
ankara	1
ankare	2
ankaret	2
ankas	2
ankdammen	2	s1
anki	1
anklaga	2	s1	L1
anklagade	2	s1	L1
anklagades	2	s1	L1
anklagar	2	s1	L1
anklagas	2	s1	L1
anklagat	2	s1	L1
anklagats	2	s1	L1
anklagelse	2	s1	L1
anklagelsen	2	s1	L1
anklagelser	2	s1	L1
anklagelserna	2	s1	L1
anknyter	2	s1	L1
anknytning	2	s1	L1
anknytningar	2	s1	L1
ankom	2	s1
ankommer	2	s1
ankomst	2	s1
ankomsten	2	s1
ankor	2
anlade	2	s1	L1
anlades	2	s1	L1
anlag	2	s1	L1
anlagd	2	s1
anlagda	2	s1
anlagt	2	s1
anledning	2	s1	L1
anledningar	2	s1	L1
anledningarna	2	s1	L1
anledningen	2	s1	L1
anlita	2	s1	L1
anlitade	2	s1	L1
anlitades	2	s1	L1
anlitar	2	s1	L1
anlitas	2	s1	L1
anlitat	2	s1	L1
anlägga	2	s1
anläggning	2	s1
anläggningar	2	s1
anläggningarna	2	s1
anläggningen	2	s1
anlända	2	s1
anlände	2	s1
anländer	2	s1
anlänt	2	s1
anmäl	2	s1	L1
anmäla	2	s1	L1
anmälan	2	s1	L1
anmälas	2	s1	L1
anmäld	2	s1	L1
anmälda	2	s1	L1
anmälde	2	s1	L1
anmäldes	2	s1	L1
anmäler	2	s1	L1
anmälningar	2	s1	L1
anmälningarna	2	s1	L1
anmäls	2	s1	L1
anmält	2	s1	L1
anmälts	2	s1	L1
anmärka	2	s1
anmärkning	2	s1
anmärkningar	2	s1
anmärkningsvärd	2	s3	L3
anmärkningsvärda	2	s3	L3
anmärkningsvärt	2	s3	L3
ann	1
anna	2
annalkande	2	s1
annan	2
annandag	2	s2	L2
annans	2
annanstans	2	s2
annars	2
annas	2
annat	2
anne	2
anneli	2	s2	L2
annelie	2
annette	1	1
annex	1	1
annexet	1	1
anni	1
annica	1
annie	1
annies	1
annika	1
anno	2
annons	1	1
annonsen	1	1
annonser	1	1
annonsera	1	2
annonserade	1	2
annonserar	1	2
annonseras	1	2
annonserat	1	2
annonsering	1	2
annonserna	1	1
annonsörer	1	2
annorstädes	2	s2	L2
anonym	1	2
anonyma	1	2
anonymitet	1	4
anonymt	1	2
anor	2
anordna	2	s1	L1
anordnade	2	s1	L1
anordnades	2	s1	L1
anordnar	2	s1	L1
anordnare	2	s1	L1
anordnas	2	s1	L1
anordnat	2	s1	L1
anordning	2	s1	L1
anordningar	2	s1	L1
anordningen	2	s1	L1
anorexia	2	3
anpassa	2	s1
anpassade	2	s1
anpassar	2	s1
anpassas	2	s1
anpassat	2	s1
anpassats	2	s1
anpassning	2	s1
anpassningar	2	s1
anrika	2	s1	L0,1
anrop	2	s1	L1
anropar	2	s1	L1
ans	1
ansats	2
anse	2	s1	L1
ansedd	2	s1
ansedda	2	s1
anseende	2	s1	L1
ansenlig	2	s1	L1
anser	2	s1	L1
anses	2
ansett	2	s1
ansikte	2
ansikten	2
ansiktena	2
ansiktet	2
ansiktsbehandling	2	s3
ansiktslyftning	2	s2
ansiktsmask	2	s2
ansiktsuttryck	2	s3	L2
ansjovis	1	1
anskaffa	2	s1
anslag	2	s1	L1
anslagen	2	s1	L1
anslaget	2	s1	L1
anslagstavlan	2	s2	L1,2
anslut	2	s1	L1
ansluta	2	s1	L1
ansluter	2	s1	L1
anslutit	2	s1	L1
anslutning	2	s1	L1
anslutningar	2	s1	L1
anslutningen	2	s1	L1
anslöt	2	s1	L1
anspelar	2	s1	L1
anspelning	2	s1	L1
anspråk	2	s1	L1
anstalt	2	s1
anstalten	2	s1
anstalter	2	s1
anstiftan	2	s1
anstränga	2	s1
ansträngande	2	s1
ansträngd	2	s1
ansträngda	2	s1
ansträngde	2	s1
anstränger	2	s1
ansträngning	2	s1
ansträngningar	2	s1
ansträngningen	2	s1
ansträngt	2	s1
anställ	2	s1
anställa	2	s1
anställas	2	s1
anställd	2	s1
anställda	2	s1
anställdas	2	s1
anställde	2	s1
anställdes	2	s1
anställer	2	s1
anställning	2	s1
anställningar	2	s1
anställningen	2	s1
anställningsavtal	2	s4	L3,4
anställningsintervju	2	s5	L5
anställningsskydd	2	s3
anställs	2	s1
anställt	2	s1
anställts	2	s1
anständig	2	s1
anständiga	2	s1
anständighet	2	s3	L3
anständigt	2	s1
anstöt	2	s1	L1
ansvar	2	s1	L1
ansvara	2	s1	L1
ansvarade	2	s1	L1
ansvarar	2	s1	L1
ansvaret	2	s1	L1
ansvarig	2	s1	L1
ansvariga	2	s1	L1
ansvarige	2	s1	L1
ansvarigt	2	s1	L1
ansvarsfrihet	2	s3	L1,2,3
ansvarsfull	2	s2	L1
ansvarsfulla	2	s2	L1
ansvarsfullt	2	s2	L1
ansvarslös	2	s2	L1,2
ansvarslösa	2	s2	L1,2
ansvarslöst	2	s2	L1,2
ansvarsområde	2	s3	L1,3
ansvarsområden	2	s3	L1,3
ansåg	2	s1	L1
ansågs	2	s1	L1
ansök	2	s1	L1
ansöka	2	s1	L1
ansökan	2	s1	L1
ansöker	2	s1	L1
ansökningar	2	s1	L1
ansökningarna	2	s1	L1
ansökningsdag	2	s3	L1,3
ansökt	2	s1	L1
ansökte	2	s1	L1
anta	2	s1	L1
antag	2	s1	L1
antagande	2	s1	L1
antaganden	2	s1	L1
antagandet	2	s1	L1
antagen	2	s1	L1
antaget	2	s1	L1
antagit	2	s1	L1
antagits	2	s1	L1
antagligen	2	s1	L1
antagna	2	s1	L1
antagning	2	s1	L1
antagningen	2	s1	L1
antal	2
antalet	2
antar	2	s1	L1
antarktis	1	1
antas	2	s1	L1
antastade	2	s1
ante	2
anteckna	2	s1
antecknar	2	s1
antecknat	2	s1
anteckning	2	s1
anteckningar	2	s1
anteckningarna	2	s1
anteckningsblock	2	s3
anteckningsbok	2	s3	L3
antenn	1	1
antennen	1	1
antenner	1	1
anthony	1
anti	1
antibiotika	1	3	o
anticimex	1	2
antidemokratiska	2	s4	L4
antidepressiva	2	s4	L4
antigen	1	2
antigua	1	1
antik	1	1
antika	1	1
antiken	1	1
antikens	1	1
antikrist	2	s2
antikroppar	2	s2
antikt	1	1
antikviteter	1	3
antingen	2
antirasist	2	s3
antirasister	2	s3
antirasistisk	2	s3
antirasistiska	2	s3
antisemit	1	3
antisemiter	1	3
antisemitisk	1	3
antisemitiska	1	3
antisemitiskt	1	3
antisemitism	1	4
antisemitismen	1	4
antog	2	s1	L1
antogs	2	s1	L1
antoine	1	2
antoinette	1	3
antologi	1	3
antologin	1	3
anton	1
antonia	1	1	o
antonio	1	1	o
antonius	1	1	o
antons	1
antonsson	2
antropolog	1	3	o
antropologi	1	4
antti	1
anttila	1
antyda	2	s1	L1
antydan	2	s1	L1
antydde	2	s1
antyder	2	s1	L1
antydningar	2	s1	L1
antyds	2	s1	L1
antytt	2	s1
anus	1
anvisningar	2	s1	L1
använd	2	s1
använda	2	s1
användande	2	s1
användandet	2	s1
användare	2	s1
användaren	2	s1
användarens	2	s1
användares	2	s1
användarna	2	s1
användarnamn	2	s3
användas	2	s1
användbar	2	s2	L2
användbara	2	s2	L2
användbarhet	2	s3	L2,3
användbart	2	s2	L2
använde	2	s1
använder	2	s1
användes	2	s1
användning	2	s1
användningen	2	s1
användningsområde	2	s4	L4
användningsområden	2	s4	L4
användningsområdet	2	s4	L4
används	2	s1
använt	2	s1
använts	2	s1
anwar	1
anya	2
ap	2
apa	2
apache	1	1
apan	2
apart	1	1
apartheid	1	1
apati	1	2
apatisk	1	1
apatiska	1	1
apelsin	1	2
apelsiner	1	2
apelsinjuice	2	2
apex	1
apocalypse	1	3
apokalypsen	1	3
apollo	1	1
apor	2
aporna	2
apostlarna	1	1
apotek	1	2
apotekare	2	2
apotekaren	2	2
apoteken	1	2
apoteket	1	2
apparat	1	2
apparaten	1	2
apparater	1	2
apparaterna	1	2
appeal	1	1
appelgren	2	s2	L2
appendix	1	1
apple	1
apples	1
applicera	1	2
applicerar	1	2
appliceras	1	2
applikation	1	3
applikationer	1	3
applåd	1	1
applåder	1	1
applådera	1	2
applåderade	1	2
applåderar	1	2
applåderna	1	1
approach	1	1
april	1	1
aprilskämt	2	1	s2
aptit	1	1
aptiten	1	1
aptitretare	2	1	s2	L1,2
ar	1
ara	2
arab	1	1
arabemiraten	2	1	s4	L1,4
araber	1	1
araberna	1	1
arabia	1	1
arabien	1	1
arabisk	1	1
arabiska	1	1
arabiskt	1	1
arabvärlden	2	1	s2	L1,2
aragon	1	2
aram	1	1
arbeta	2
arbetade	2
arbetande	2
arbetar	2
arbetarbladet	2	s3	L1,3
arbetare	2
arbetaren	2	s1	L1
arbetarens	2	s1	L1
arbetares	2
arbetarklass	2	s3	L1
arbetarklassen	2	s3	L1
arbetarklassens	2	s3	L1
arbetarna	2	s1	L1
arbetarnas	2	s1	L1
arbetarparti	2	s4	L1,4
arbetarpartiet	2	s4	L1,4
arbetarrörelse	2	s3	L1,3
arbetarrörelsen	2	s3	L1,3
arbetarrörelsens	2	s3	L1,3
arbetat	2
arbete	2
arbeten	2
arbetena	2
arbetet	2
arbetets	2
arbetsbelastning	2	s3	L1
arbetsbeskrivning	2	s3	L1,3
arbetsbrist	2	s2	L1
arbetsdag	2	s2	L1,2
arbetsdagar	2	s2	L1,2
arbetsdagen	2	s2	L1,2
arbetsdomstolen	2	s3	L1,3
arbetsför	2	s2	L1,2
arbetsföra	2	s2	L1,2
arbetsförhållanden	2	s3	L1
arbetsförmedlare	2	s3	L1,3
arbetsförmedling	2	s3	L1,3
arbetsförmedlingen	2	s3	L1,3
arbetsförmedlingens	2	s3	L1,3
arbetsförmåga	2	s3	L1,3
arbetsgivaravgift	2	s5	L1,2,4
arbetsgivaravgiften	2	s5	L1,2,4
arbetsgivaravgifter	2	s5	L1,2,4
arbetsgivaravgifterna	2	s5	L1,2,4
arbetsgivare	2	s2	L1,2
arbetsgivaren	2	s2	L1,2
arbetsgivarens	2	s2	L1,2
arbetsgivares	2	s2	L1,2
arbetsgivarna	2	s2	L1,2
arbetsgrupp	2	s2	L1
arbetsgruppen	2	s2	L1
arbetsinsats	2	s3	L1
arbetskamrat	2	s3	L1,3
arbetskamrater	2	s3	L1,3
arbetskläder	2	s2	L1,2
arbetskraft	2	s2	L1
arbetskraften	2	s2	L1
arbetslag	2	s2	L1,2
arbetslaget	2	s2	L1,2
arbetsledare	2	s2	L1,2
arbetslinjen	2	s2	L1,2
arbetsliv	2	s2	L1,2
arbetslivet	2	s2	L1,2
arbetslivserfarenhet	2	s6	L1,2,3,4,6
arbetsläger	2	s2	L1,2
arbetslös	2	s2	L1,2
arbetslösa	2	s2	L1,2
arbetslöshet	2	s3	L1,2,3
arbetslösheten	2	s3	L1,2,3
arbetsmarknad	2	s2	L1
arbetsmarknaden	2	s2	L1
arbetsmarknadens	2	s2	L1
arbetsmarknadsminister	2	s5	L1
arbetsmarknadspolitiska	2	s5	L1,5
arbetsmiljö	2	s3	L1,3
arbetsmiljön	2	s3	L1,3
arbetsmoral	2	s3	L1,3
arbetspass	2	s2	L1
arbetsplats	2	s2	L1
arbetsplatsen	2	s2	L1
arbetsplatser	2	s2	L1
arbetsplatserna	2	s2	L1
arbetsro	2	s2	L1,2
arbetsrum	2	s2	L1
arbetsrummet	2	s2	L1
arbetsrätt	2	s2	L1
arbetssituation	2
arbetssätt	2	s2	L1
arbetssökande	2	s2	L1,2
arbetstagare	2	s2	L1,2
arbetstagaren	2	s2	L1,2
arbetstid	2	s2	L1,2
arbetstiden	2	s2	L1,2
arbetstider	2	s2	L1,2
arbetstidsförkortning	2	s4	L1,2
arbetstillfällen	2	s3	L1
arbetstillstånd	2	s3	L1
arbetstimmar	2	s2	L1
arbetsuppgift	2	s3	L1
arbetsuppgifter	2	s3	L1
arbetsuppgifterna	2	s3	L1
arbetsvecka	2	s2	L1
arbetsveckan	2	s2	L1
arbetsvillkor	2	s3	L1,3
arboga	2	s1	L1
arden	1
are	2
area	1
areal	1	2
arealen	1	2
arean	1
areas	1
arena	2	1
arenan	2	1
arenans	2	1
arendal	2	s2	L0,2
arenor	2	1
arenorna	2	1
ares	1
arg	1
arga	2
argare	2
argentina	2	2
argentinas	2	2
argentinska	1	2
argt	1
argument	1	2
argumentation	1	4
argumentationen	1	4
argumenten	1	2
argumentera	1	3
argumenterade	1	3
argumenterande	1	3
argumenterar	1	3
argumenterat	1	3
argumentet	1	2
argus	1
ari	1
aria	1
ariel	1	2
arier	1
ariska	1
aristoteles	2	2	o
arizona	1	2	o
arja	2
arjeplog	1
ark	1
arkansas	1	1
arken	1
arkeolog	1	3	o
arkeologer	1	3	o
arkeologerna	1	3	o
arkeologi	1	4
arkeologisk	1	3	o
arkeologiska	1	3	o
arkitekt	1	2
arkitekten	1	2
arkitekter	1	2
arkitekterna	1	2
arkitektoniska	1	3
arkitektur	1	3
arkitekturen	1	3
arkiv	1	1
arkivarie	2	2
