અખાદ્ય	əkʰˈad̪jə
બર્મિંગહામ	bəɾmˈĩŋɡɦam
બહુપતિત્વ	bəɦupət̪ˈit̪ʋə
બહેનપણી	bəɦˈenpəɳi
બાપુનગર	bˈapunəɡəɾ
બારાખડી	bˈaɾakʰəɽi
બેંગલુરુ	bˈẽŋɡluɾu
બેંગલોર	bˈẽŋɡloɾ
બેવકૂફ	bˈeʋəkupʰ
બ્રહ્મપુત્ર	bɾəɦməpˈut̪ɾə
ભારતીય	bʱˈaɾt̪ijə
ભાવનગર	bʱˈaʋnəɡəɾ
ભૂખમરો	bʱˈukʰməɾo
મકબરો	mˈəkbəɾo
મગફળી	mˈəɡpʰəɭi
મણિનગર	mˈəɳinəɡəɾ
માંગણી	mˈãŋɡɳi
માંગવું	mˈãŋɡʋũ
માંડમાંડ	mãɳɖmˈãɳɖ
માર્ક્સવાદ	mˈaɾksʋad̪
માહલાલએલ	mˈaɦlalel
મુખપૃષ્ઠ	mukʰpɾˈuʂʈʰ
મુંબઈગરું	mˈũmbəiɡəɾũ
મેઘાણીનગર	mˈeɡʱaɳinəɡəɾ
મોટરસાયકલ	moʈˈəɾsajəkəl
મોહરમ	mˈoɦəɾəm
યશોમતી	jˈəʃomət̪i
યોગ્ય	jˈoɡjə
રહસ્ય	ɾəɦˈəsjə
રામકહાણી	ɾˈamkəɦaɳi
રાય	ɾˈajə
લગ્ન	lˈəɡnə
લાઇફસ્ટાઇલ	laˈipʰsʈail
લોકનૃત્ય	lˈoknɾut̪jə
લોકસભા	lˈoksəbʱa
વડવાગળું	ʋˈəɽʋaɡəɭũ
વય	ʋˈəjə
વર્ણ	ʋˈəɾɳə
વહાણવટું	ʋəɦˈaɳʋəʈũ
વાક્ય	ʋˈakjə
વાત્સલ્ય	ʋat̪sˈəljə
વારાણસી	ʋˈaɾaɳəsi
વાંસળી	ʋˈãsəɭi
વિલાયતી	ʋˈilajət̪i
વિશ્વ	ʋˈiʃʋə
વિષય	ʋˈiʂjə
વ્યક્તિત્વ	ʋjəkt̪ˈit̪ʋə
શનિરવિ	ʃˈəniɾəʋi
શાસ્ત્રીનગર	ʃˈast̪ɾinəɡəɾ
શિશ્ન	ʃˈiʃnə
શીમળો	ʃˈiməɭo
શુક્ર	ʃˈukɾə
શૂન્ય	ʃˈunjə
શ્રીનગર	ʃɾˈinəɡəɾ
સમુદ્ર	səmˈud̪ɾə
સરસતી	sˈəɾsət̪i
સર્વોદય	səɾʋˈod̪jə
સહીસલામત	sˈəɦisəlamət̪
સામળું	sˈaməɭũ
સાંવરિયો	sˈãʋəɾijo
સાહિત્ય	saɦˈit̪jə
સુરમ્ય	suɾˈəmjə
સુરેન્દ્રનગર	suɾˈend̪ɾənəɡəɾ
સૂર્ય	sˈuɾjə
સૂર્યનમસ્કાર	suɾjənəmˈəskaɾ
સ્થાપત્ય	st̪ʰapˈət̪jə
સ્નેહલતા	snˈeɦlət̪a
સ્વપ્ન	sʋˈəpnə
સ્વામિનારાયણિયો	sʋˈaminaɾajəɳijo
હાથકડી	ɦˈat̪ʰkəɽi
હિંદુત્વ	ɦˈĩn̪d̪ut̪ʋə
હિંમતનગર	ɦĩmˈət̪nəɡəɾ
હુંપણું	ɦˈũmpɳũ
ળ	ɭ
