# Central Kurdish bizroke lexicon — word<TAB>IPA, for the UNWRITTEN short /ɪ/ only.
# Every entry differs from this engine's rule output by inserted /ɪ/ and NOTHING ELSE: the
# consonant skeleton is ours and independently confirmed, the vowel is what we lack.
# Built by tools/central-kurdish/build_ckb_lexicon.py from the AsoSoft Kurdish-G2P-dataset.
# ⚠ SOURCE TERMS AND THE TWO MANDATORY CITATIONS: LICENSES/LicenseRef-AsoSoftKurdishG2P.txt
ئاخافتن	ʔaːxaːftɪn
بتوانێ	bɪtwaːneː
بتوانێ	bɪtwaːneː
بتوانێت	bɪtwaːneːt
بخات	bɪxaːt
بخاتە	bɪxaːta
بخرێتە	bɪxɪɾeːta
بخرێتە	bɪxɾeːta
بخوێننەوە	bɪxweːnɪnawa
بخەنە	bɪxana
بخەنە	bɪxana
بخەینە	bɪxajna
بدا	bɪdaː
بدات	bɪdaːt
بداتە	bɪdaːta
بداتەوە	bɪdaːtawa
بدرێ	bɪdɾeː
بدرێت	bɪdɪɾeːt
بدرێت	bɪdɾeːt
بدلیس	bɪdliːs
بدۆزمەوە	bɪdoːzmawa
بدۆزنەوە	bɪdoːzɪnawa
بدۆزێتەوە	bɪdoːzeːtawa
بدینرێنەوە	bɪdiːnɾeːnawa
بدینمەوە	bɪdiːnmawa
بدینێتەوە	bɪdiːneːtawa
بدە	bɪda
بدەم	bɪdam
بدەن	bɪdan
بدەن	bɪdan
بدەنەوە	bɪdanawa
بدەین	bɪdajn
برا	bɪɾaː
برادەرانەیان	bɪɾaːdaɾaːnajaːn
بران	bɪɾaːn
براهیم	bɪɾaːhiːm
براوەی	bɪɾaːwaj
براکان	bɪɾaːkaːn
براکەشی	bɪɾaːkaʃiː
براکەی	bɪɾaːkaj
براکەی	bɪɾaːkaj
برای	bɪɾaːj
برایانی	bɪɾaːjaːniː
برایم	bɪɾaːjm
برایم	bɪɾaːjm
برایەتی	bɪɾaːjatiː
برد	bɪɾd
برد	bɪɾd
بردبوو	bɪɾdɪbuː
بردن	bɪɾdɪn
بردنم	bɪɾdɪnɪm
بردنی	bɪɾdɪniː
بردنی	bɪɾdɪniː
بردنەوەی	bɪɾdɪnawaj
بردە	bɪɾda
بردە	bɪɾda
بردەوە	bɪɾdawa
بردەوە	bɪɾdawa
برووشوور	bɪɾuːʃuːɾ
بری	bɪɾiː
بریار	bɪɾjaːɾ
بریتانیا	bɪɾiːtaːnjaː
بریتانیا	bɪɾiːtaːnjaː
بریتانیای	bɪɾiːtaːnjaːj
بریتانییەکان	bɪɾiːtaːniːjakaːn
بریتی	bɪɾiːtiː
بریتین	bɪɾiːtiːn
بریتین	bɪɾiːtiːn
بریتییە	bɪɾiːtiːja
بریتیە	bɪɾiːtja
بریندار	bɪɾiːndaːɾ
بریندار	bɪɾiːndaːɾ
برینداربوون	bɪɾiːndaːɾbuːn
برینداری	bɪɾiːndaːɾiː
بزاندرێن	bɪzaːndɪɾeːn
بزانم	bɪzaːnɪm
بزانن	bɪzaːnɪn
بزانن	bɪzaːnɪn
بزانین	bɪzaːniːn
بزانین	bɪzaːniːn
بزانێت	bɪzaːneːt
بزانە	bɪzaːna
بزاڤانێک	bɪzaːvaːneːk
بزاڤدا	bɪzaːvdaː
بزاڤی	bɪzaːviː
بزاڤی	bɪzaːviː
بزاڤێکیان	bɪzaːveːkjaːn
بزاڤە	bɪzaːva
بزاڤەکان	bɪzaːvakaːn
بزاڤەکانی	bɪzaːvakaːniː
بزاڤەکانیش	bɪzaːvakaːniːʃ
بزاڤەکە	bɪzaːvaka
بزاڤەکەدا	bɪzaːvakadaː
بزوتنەوەی	bɪzutnawaj
بزووتنەوە	bɪzuːtnawa
بزووتنەوەی	bɪzuːtnawaj
بزووتنەوەی	bɪzuːtnawaj
بزووتنەوەیەکی	bɪzuːtnawajakiː
بستێنن	bɪsteːnɪn
بستێنێ	bɪsteːneː
بسڕنەوە	bɪsrɪnawa
بسڕێتەوە	bɪsreːtawa
بشبووبێ	bɪʃbuːbeː
بغازیچی	bɪɣaːziːt͡ʃiː
بفرۆشێ	bɪfɾoːʃeː
بلیمەتانە	bɪliːmataːna
بم	bɪm
بم	bɪm
بمانەوێت	bɪmaːnaweːt
بمێننەوە	bɪmeːnnawa
بمێننەوە	bɪmeːnnawa
بمێنێتەوە	bɪmeːneːtawa
بن	bɪn
بن	bɪn
بناسێنێ	bɪnaːseːneː
بناغە	bɪnaːɣa
بناغەی	bɪnaːɣaj
بناغەی	bɪnaːɣaj
بندەستی	bɪndastiː
بنواڕنە	bɪnwaːrɪna
بنووسرێ	bɪnuːsɾeː
بنووسن	bɪnuːsɪn
بنووسین	bɪnuːsiːn
بنووسە	bɪnuːsa
بنچینەی	bɪnt͡ʃiːnaj
بنچینەیەیە	bɪnt͡ʃiːnajaja
بنیات	bɪnjaːt
بنیاتنانی	bɪnjaːtnaːniː
بنێت	bɪneːt
بنێردرێ	bɪneːɾdɪɾeː
بنێردرێن	bɪneːɾdɪɾeːn
بنێرن	bɪneːɾɪn
بنێرێ	bɪneːɾeː
بنێن	bɪneːn
بنەما	bɪnamaː
بنەماکانی	bɪnamaːkaːniː
بنەماڵە	bɪnamaːɫa
بنەماڵەکەی	bɪnamaːɫakaj
بنەماڵەی	bɪnamaːɫaj
بنەمای	bɪnamaːj
بنەمایەکی	bɪnamaːjakiː
بنەمایەکی	bɪnamaːjakiː
بنەڕەتدا	bɪnaratdaː
بنەڕەتی	bɪnaratiː
بنەڕەتییەکان	bɪnaratiːjakaːn
بنەڕەتەوە	bɪnaratawa
بهێنرێ	bɪheːnɾeː
بهێنرێت	bɪheːnɾeːt
بهێنن	bɪheːnɪn
بهێنین	bɪheːniːn
بهێنێت	bɪheːneːt
بهێنێتە	bɪheːneːta
بهێنە	bɪheːna
بهێڵێتەوە	bɪheːɫeːtawa
بپارێزن	bɪpaːɾeːzɪn
بپارێزن	bɪpaːɾeːzɪn
بپارێزێ	bɪpaːɾeːzeː
بپارێزێت	bɪpaːɾeːzeːt
بچن	bɪt͡ʃɪn
بچنە	bɪt͡ʃɪna
بچنە	bɪt͡ʃɪna
بچووک	bɪt͡ʃuːk
بچووکی	bɪt͡ʃuːkiː
بچوک	bɪt͡ʃuk
بچینە	bɪt͡ʃiːna
بچێت	bɪt͡ʃeːt
بچێتە	bɪt͡ʃeːta
بڕا	bɪraː
بڕانی	bɪraːniː
بڕبڕەیانە	bɪrbɪrajaːna
بڕوا	bɪrwaː
بڕوات	bɪrwaːt
بڕوانامەی	bɪrwaːnaːmaj
بڕوانە	bɪrwaːna
بڕوای	bɪrwaːj
بڕوایان	bɪrwaːjaːn
بڕوایان	bɪrwaːjaːn
بڕگەی	bɪrɡaj
بڕۆ	bɪroː
بڕۆن	bɪroːn
بڕی	bɪriː
بڕی	bɪriː
بڕیار	bɪrjaːɾ
بڕیار	bɪrjaːɾ
بڕیاردان	bɪrjaːɾdaːn
بڕیاردەدەن	bɪrjaːɾdadan
بڕیارنامە	bɪrjaːɾnaːma
بڕیارنامەکە	bɪrjaːɾnaːmaka
بڕیارنامەی	bɪrjaːɾnaːmaj
بڕیارنامەیە	bɪrjaːɾnaːmaja
بڕیارنامەیەک	bɪrjaːɾnaːmajak
بڕیارنامەیەکی	bɪrjaːɾnaːmajakiː
بڕیاری	bɪrjaːɾiː
بڕیاریان	bɪrjaːɾjaːn
بڕیاریدا	bɪrjaːɾiːdaː
بڕیارێکی	bɪrjaːɾeːkiː
بڕیارە	bɪrjaːɾa
بڕیارەکانی	bɪrjaːɾakaːniː
بڕیارەی	bɪrjaːɾaj
بڕیبوون	bɪriːbuːn
بڕینی	bɪriːniː
بڕێک	bɪreːk
بڕێک	bɪreːk
بڕێکی	bɪreːkiː
بڕە	bɪra
بڕەخسێ	bɪraxseː
بژاردا	bɪʒaːɾdaː
بژی	bɪʒiː
بژین	bɪʒiːn
بژێوی	bɪʒeːwiː
بکا	bɪkaː
بکات	bɪkaːt
بکاتە	bɪkaːta
بکاتەوە	bɪkaːtawa
بکاتەوە	bɪkaːtawa
بکردایە	bɪkɪɾdaːja
بکرێ	bɪkɪɾeː
بکرێ	bɪkɪɾeː
بکرێت	bɪkɪɾeːt
بکرێتە	bɪkɪɾeːta
بکرێتەوە	bɪkɪɾeːtawa
بکرێتەوە	bɪkɪɾeːtawa
بکرێن	bɪkɪɾeːn
بکرێن	bɪkɪɾeːn
بکرێنەوە	bɪkɪɾeːnawa
بکرێنەوە	bɪkɪɾeːnawa
بکڕن	bɪkɪrɪn
بکۆچدرێن	bɪkoːt͡ʃdɪɾeːn
بکە	bɪka
بکە	bɪka
بکەم	bɪkam
بکەم	bɪkam
بکەمەوە	bɪkamawa
بکەمەوە	bɪkamawa
بکەن	bɪkan
بکەن	bɪkan
بکەنە	bɪkana
بکەنەوە	bɪkanawa
بکەنەوە	bɪkanawa
بکەوێت	bɪkaweːt
بکەوێتە	bɪkaweːta
بکەی	bɪkaj
بکەیت	bɪkajt
بکەین	bɪkajn
بکەین	bɪkajn
بکەینەوە	bɪkajnawa
بگات	bɪɡaːt
بگاتە	bɪɡaːta
بگرن	bɪɡɪɾɪn
بگرین	bɪɡɪɾiːn
بگرێ	bɪɡɪɾeː
بگرێت	bɪɡɪɾeːt
بگرێتەوە	bɪɡɪɾeːtawa
بگرە	bɪɡɪɾa
بگونجێ	bɪɡund͡ʒeː
بگۆڕێت	bɪɡoːreːt
بگیردرێن	bɪɡiːɾdɪɾeːn
بگیرێت	bɪɡiːɾeːt
بگەن	bɪɡan
بگەنە	bɪɡana
بگەڕێتەوە	bɪɡareːtawa
بگەڕێنەوە	bɪɡareːnawa
بگەیەنن	bɪɡajanɪn
بگەیەنێت	bɪɡajaneːt
بڵاو	bɪɫaːw
بڵاو	bɪɫaːw
بڵاوبوونەوە	bɪɫaːwbuːnawa
بڵاوبوونەوەی	bɪɫaːwbuːnawaj
بڵاوبکرێنەوە	bɪɫaːwbɪkɪɾeːnawa
بڵاودەکاتەوە	bɪɫaːwdakaːtawa
بڵاودەکردەوە	bɪɫaːwdakɪɾdawa
بڵاودەکرێتەوە	bɪɫaːwdakɪɾeːtawa
بڵاودەکرێنەوە	bɪɫaːwdakɪɾeːnawa
بڵاودەکرێنەوە	bɪɫaːwdakɪɾeːnawa
بڵاودەکەنەوە	bɪɫaːwdakanawa
بڵاوکرابوونەوە	bɪɫaːwkɪɾaːbuːnawa
بڵاوکرانی	bɪɫaːwkɪɾaːniː
بڵاوکرانەوە	bɪɫaːwkɪɾaːnawa
بڵاوکراو	bɪɫaːwkɪɾaːw
بڵاوکراونەتە	bɪɫaːwkɪɾaːwnata
بڵاوکراونەتەوە	bɪɫaːwkɪɾaːwnatawa
بڵاوکراوی	bɪɫaːwkɪɾaːwiː
بڵاوکراوە	bɪɫaːwkɪɾaːwa
بڵاوکراوەتەوە	bɪɫaːwkɪɾaːwatawa
بڵاوکراوەتەوە	bɪɫaːwkɪɾaːwatawa
بڵاوکراوەکان	bɪɫaːwkɪɾaːwakaːn
بڵاوکراوەکانی	bɪɫaːwkɪɾaːwakaːniː
بڵاوکرایەوە	bɪɫaːwkɪɾaːjawa
بڵاوکردنەوە	bɪɫaːwkɪɾdɪnawa
بڵاوکردنەوەدایە	bɪɫaːwkɪɾdɪnawadaːja
بڵاوکردنەوەشی	bɪɫaːwkɪɾdɪnawaʃiː
بڵاوکردنەوەوە	bɪɫaːwkɪɾdɪnawawa
بڵاوکردنەوەکەیان	bɪɫaːwkɪɾdɪnawakajaːn
بڵاوکردنەوەی	bɪɫaːwkɪɾdɪnawaj
بڵاوکردنەوەی	bɪɫaːwkɪɾdɪnawaj
بڵاوکردنەوەیان	bɪɫaːwkɪɾdɪnawajaːn
بڵاوکردنەوەیە	bɪɫaːwkɪɾdɪnawaja
بڵاوکردەوە	bɪɫaːwkɪɾdawa
بڵاوکردەوە	bɪɫaːwkɪɾdawa
بڵاوکرنەوەی	bɪɫaːwkɪɾnawaj
بڵاوکەر	bɪɫaːwkaɾ
بڵاوکەرانەوە	bɪɫaːwkaɾaːnawa
بڵاوکەری	bɪɫaːwkaɾiː
بڵاوکەرە	bɪɫaːwkaɾa
بڵاوکەرەوە	bɪɫaːwkaɾawa
بڵاوکەرەوەی	bɪɫaːwkaɾawaj
بڵاوکەرەکان	bɪɫaːwkaɾakaːn
بڵاوکەرەکانی	bɪɫaːwkaɾakaːniː
بڵاوی	bɪɫaːwiː
بڵاوی	bɪɫaːwiː
بڵاویان	bɪɫaːwjaːn
بڵاویکردبوونەوە	bɪɫaːwiːkɪɾdɪbuːnawa
بڵاویکردۆتەوە	bɪɫaːwiːkɪɾdoːtawa
بڵاویکردەوە	bɪɫaːwiːkɪɾdawa
بڵاوێزی	bɪɫaːweːziː
بڵوێزی	bɪɫweːziː
بڵیتی	bɪɫiːtiː
بڵیند	bɪɫiːnd
بڵیندی	bɪɫiːndiː
بڵێ	bɪɫeː
بڵێت	bɪɫeːt
بڵێم	bɪɫeːm
بڵێن	bɪɫeːn
بڵێی	bɪɫeːj
بڵێین	bɪɫeːjn
بڵەین	bɪɫajn
بۆزارسلان	boːzaːɾsɪlaːn
بیاندیننەوە	bjaːndiːnɪnawa
بیانفرۆشن	bjaːnfɪɾoːʃɪn
بیخوێننەوە	biːxweːnɪnawa
بیرم	biːɾɪm
بیرم	biːɾɪm
بیروبڕوایان	biːɾubɪrwaːjaːn
بیرکردنەوە	biːɾkɪɾdɪnawa
بیرکردنەوەی	biːɾkɪɾdɪnawaj
بیزانم	biːzaːnɪm
بیسەلمێنن	biːsalmeːnɪn
بیپشکنێ	biːpɪʃkɪneː
بێبڕوایییەش	beːbɪrwaːjiːjaʃ
بێبەشکرابوون	beːbaʃkɪɾaːbuːn
بێنن	beːnɪn
بێژم	beːʒɪm
بەبڕی	babɪriː
بەدرخان	badɪɾxaːn
بەدرخانەکان	badɪɾxaːnakaːn
بەدرخانەکانەوە	badɪɾxaːnakaːnawa
بەدرێژایی	badɪɾeːʒaːjiː
بەدڵنیاییەوە	badɫɪnjaːjjawa
بەدەستهێناوە	badastɪheːnaːwa
بەراورد	baɾaːwɪɾd
بەربڵاوانە	baɾbɪɫaːwaːna
بەردرام	baɾdɪɾaːm
بەردەوامن	baɾdawaːmɪn
بەرزتری	baɾztɪɾiː
بەرزترین	baɾɪztɪɾiːn
بەرزنجی	baɾzɪnd͡ʒiː
بەرزکردنەوەی	baɾzkɪɾdɪnawaj
بەرفراوان	baɾfɪɾaːwaːn
بەرن	baɾɪn
بەرهەڵست	baɾhaɫɪst
بەرهەڵستی	baɾhaɫɪstiː
بەرهەڵستە	baɾhaɫɪsta
بەرهەڵستەکان	baɾhaɫɪstakaːn
بەرپرس	baɾpɪɾs
بەرپرس	baɾpɪɾs
بەرپرسان	baɾpɪɾsaːn
بەرپرسانی	baɾpɪɾsaːniː
بەرپرسی	baɾpɪɾsiː
بەرپرسیار	baɾpɪɾsjaːɾ
بەرپرسیارێتی	baɾpɪɾsjaːɾeːtiː
بەرپرسێکی	baɾpɪɾseːkiː
بەرپرسە	baɾpɪɾsa
بەرپرسەکانی	baɾpɪɾsakaːniː
بەرچاوترن	baɾt͡ʃaːwtɪɾɪn
بەرکراون	baɾkɪɾaːwɪn
بەرگری	baɾɡɪɾiː
بەرگری	baɾɡɪɾiː
بەرگریکردن	baɾɡɪɾiːkɪɾdɪn
بەرگرییان	baɾɡɪɾiːjaːn
بەرگرییەک	baɾɡɪɾiːjak
بەرگرییەکان	baɾɡɪɾiːjakaːn
بەستن	bastɪn
بەستنی	bastɪniː
بەستنەوەی	bastɪnawaj
بەشدارن	baʃdaːɾɪn
بەشداریکردن	baʃdaːɾiːkɪɾdɪn
بەشداریکردنی	baʃdaːɾiːkɪɾdɪniː
بەشکچی	baʃɪkt͡ʃiː
بەعس	baʕɪs
بەعس	baʕɪs
بەفر	bafɪɾ
بەماناتر	bamaːnaːtɪɾ
بەندبکرێ	bandbɪkɪɾeː
بەندکراو	bandkɪɾaːw
بەندکراوە	bandkɪɾaːwa
بەنرخە	banɪɾxa
بەهێزتر	baheːztɪɾ
بەهێزکردنی	baheːzkɪɾdɪniː
بەوەشکرد	bawaʃkɪɾd
بەوەکرد	bawakɪɾd
بەڕێوەبربوو	bareːwabɪɾɪbuː
بەڕێوەبردنی	bareːwabɪɾdɪniː
بەڕێوەدەبران	bareːwadabɪɾaːn
بەکاربهێندرێ	bakaːɾbɪheːndɪɾeː
بەکارهێندرابوون	bakaːɾheːndɪɾaːbuːn
بەکارکرد	bakaːɾkɪɾd
بەکر	bakɪɾ
بەکرێ	bakɪɾeː
بەگشتی	baɡɪʃtiː
بەگژیاندا	baɡɪʒjaːndaː
ت	tɪ
تازەلەچاپدراو	taːzalat͡ʃaːpdɪɾaːw
تازەلەچاپدراوەکان	taːzalat͡ʃaːpdɪɾaːwakaːn
تاقیکردنەوەی	taːqiːkɪɾdɪnawaj
تاوانبارکردنی	taːwaːnbaːɾkɪɾdɪniː
تاوتوێکردنی	taːwtweːkɪɾdɪniː
تر	tɪɾ
تر	tɪɾ
تراک	tɪɾaːk
تربەسپی	tɪɾbasɪpiː
تردا	tɪɾdaː
تردا	tɪɾdaː
ترس	tɪɾs
ترس	tɪɾs
ترسان	tɪɾsaːn
ترساون	tɪɾsaːwɪn
ترسناک	tɪɾsnaːk
ترسی	tɪɾsiː
ترسی	tɪɾsiː
ترسە	tɪɾsa
تری	tɪɾiː
تری	tɪɾiː
تریان	tɪɾjaːn
تریش	tɪɾiːʃ
تریش	tɪɾiːʃ
تریشەوە	tɪɾiːʃawa
ترین	tɪɾiːn
ترە	tɪɾa
ترەوە	tɪɾawa
تشرینی	tɪʃɾiːniː
تشرینی	tɪʃɾiːniː
تلێفۆن	tɪleːfoːn
تلێفۆنەوە	tɪleːfoːnawa
تمەن	tɪman
تورکمان	tuɾkɪmaːn
تورکەکانن	tuɾkakaːnɪn
توندوتیژانەتر	tundutiːʒaːnatɪɾ
تونس	tunɪs
توێژینەوەیەکم	tweːʒiːnawajakɪm
تکایە	tɪkaːja
تکایە	tɪkaːja
تۆماردەکرێن	toːmaːɾdakɪɾeːn
تۆمارنەکراون	toːmaːɾnakɪɾaːwɪn
تۆمارنەکراوەکان	toːmaːɾnakɪɾaːwakaːn
تۆمارنەکردنی	toːmaːɾnakɪɾdɪniː
تۆمارکرا	toːmaːɾkɪɾaː
تۆمارکراون	toːmaːɾkɪɾaːwɪn
تۆمارکراوە	toːmaːɾkɪɾaːwa
تۆمارکرد	toːmaːɾkɪɾd
تۆمارکردن	toːmaːɾkɪɾdɪn
تۆمارکردنی	toːmaːɾkɪɾdɪniː
تۆمارکردنی	toːmaːɾkɪɾdɪniː
تیرۆرکردنی	tiːɾoːɾkɪɾdɪniː
تێبکۆشن	teːbɪkoːʃɪn
تێدەکۆشن	teːdakoːʃɪn
تێرۆریزم	teːɾoːɾiːzɪm
تێگەیشتن	teːɡajʃtɪn
تێگەیشتن	teːɡajʃtɪn
تێگەیشتنی	teːɡajʃtɪniː
تەلەفزیۆن	talafɪzjoːn
تەلەفزیۆنی	talafɪzjoːniː
تەندروست	tandɪɾust
تەندروستی	tandɪɾustiː
تەواوکردنی	tawaːwkɪɾdɪniː
تەیب	tajɪb
جارێکیتر	d͡ʒaːɾeːkiːtɪɾ
جببە	d͡ʒɪbba
جببەش	d͡ʒɪbbaʃ
جددی	d͡ʒɪddiː
جزیر	d͡ʒɪziːɾ
جزیری	d͡ʒɪziːɾiː
جغارەکانیان	d͡ʒɪɣaːɾakaːnjaːn
جل	d͡ʒɪl
جلوبەرگی	d͡ʒɪlubaɾɡiː
جلی	d͡ʒɪliː
جم	d͡ʒɪm
جوانتر	d͡ʒwaːntɪɾ
جوانترین	d͡ʒwaːntɪɾiːn
جگە	d͡ʒɪɡa
جگە	d͡ʒɪɡa
جگەر	d͡ʒɪɡaɾ
جگەرخوێن	d͡ʒɪɡaɾxweːn
جگەرخوێنیش	d͡ʒɪɡaɾxweːniːʃ
جگەرە	d͡ʒɪɡaɾa
جیاوازن	d͡ʒjaːwaːzɪn
جیاوازن	d͡ʒjaːwaːzɪn
جیاکراونەتەوە	d͡ʒjaːkɪɾaːwnatawa
جیاکردنەوەی	d͡ʒjaːkɪɾdɪnawaj
جێبەجێنەکرانی	d͡ʒeːbad͡ʒeːnakɪɾaːniː
جێبەجێکردنی	d͡ʒeːbad͡ʒeːkɪɾdɪniː
جێبەجێکردنی	d͡ʒeːbad͡ʒeːkɪɾdɪniː
جێگری	d͡ʒeːɡɪɾiː
جێگری	d͡ʒeːɡɪɾiː
جەژن	d͡ʒaʒɪn
حاکم	ħaːkɪm
حدک	ħɪdɪk
حدکا	ħɪdkaː
حزبە	ħɪzba
حساب	ħɪsaːb
حسابی	ħɪsaːbiː
حسنێ	ħɪsneː
حوکم	ħukɪm
حوکمڕانی	ħukɪmraːniː
حکومەت	ħɪkumat
حکومەتی	ħɪkumatiː
حکومەتێکی	ħɪkumateːkiː
حکومەتەکەی	ħɪkumatakaj
حکوومەت	ħɪkuːmat
حکوومەت	ħɪkuːmat
حکوومەتدا	ħɪkuːmatdaː
حکوومەتی	ħɪkuːmatiː
حکوومەتی	ħɪkuːmatiː
حکوومەتیدا	ħɪkuːmatiːdaː
حکوومەتییە	ħɪkuːmatiːja
حکوومەتییەکان	ħɪkuːmatiːjakaːn
حکوومەتێکی	ħɪkuːmateːkiː
حکوومەتە	ħɪkuːmata
حکوومەتە	ħɪkuːmata
حکوومەتەوە	ħɪkuːmatawa
حکوومەتەکانی	ħɪkuːmatakaːniː
حەزم	ħazɪm
حەشاردنەوە	ħaʃaːɾdɪnawa
خالدی	xaːlɪdiː
خانم	xaːnɪm
خانمە	xaːnɪma
خدر	xɪdɪɾ
خرا	xɪɾaː
خراوە	xɪɾaːwa
خراوەتە	xɪɾaːwata
خراپ	xɪɾaːp
خراپتر	xɪɾaːptɪɾ
خراپتر	xɪɾaːptɪɾ
خراپی	xɪɾaːpiː
خراپی	xɪɾaːpiː
خراپە	xɪɾaːpa
خرایە	xɪɾaːja
خزم	xɪzɪm
خزم	xɪzɪm
خزماتگوزارییەکانی	xɪzmaːtɡuzaːɾiːjakaːniː
خزمەت	xɪzmat
خزمەتکردنی	xɪzmatkɪɾdɪniː
خزمەتگوزاری	xɪzmatɡuzaːɾiː
خزمەتگوزارییەک	xɪzmatɡuzaːɾiːjak
خزمەتگوزارییەکانی	xɪzmatɡuzaːɾiːjakaːniː
خزمەتگۆزارییەکانی	xɪzmatɡoːzaːɾiːjakaːniː
خزمەتی	xɪzmatiː
خزمەتی	xɪzmatiː
خزمەکانیان	xɪzmakaːnjaːn
خزمەکانیش	xɪzmakaːniːʃ
خستنی	xɪstɪniː
خستنە	xɪstɪna
خستۆتە	xɪstoːta
خستە	xɪsta
خستەڕوو	xɪstaruː
خشتەکەی	xɪʃtakaj
خشتەی	xɪʃtaj
