一一	iq5 iq3
一八	iq5 paq3
一共	iq5 gon3
一具	iq5 jiu3
一冊	iq5 tshaq3
一册	iq5 tshaq3
一再	iq5 tse3
一出	iq5 tsheq3
一刀	iq5 tau3
一刀两断	iq5 tau9 lian9 doe3
一刀兩斷	iq5 tau9 lian9 doe3
一刀切	iq5 tau9 tshiq3
一分	iq5 fen3
一分为二	iq5 fen9 we9 gni3
一分爲二	iq5 fen9 we9 gni3
一分鍾	iq5 fen9 tson3
一分钟	iq5 fen9 tson3
一切	iq5 tshiq3
一划	iq5 gho3
一列	iq5 liq3
一则	iq5 tseq3
一券	iq5 chioe3
一刹那	iq5 tshaq9 nha3
一刻	iq5 kheq3
一刻起	iq5 kheq9 chi3
一則	iq5 tseq3
一剎那	iq5 saq9 nha3
一剑	iq5 ci3
一副	iq5 fu3
一劍	iq5 ci3
一力	iq5 liq3
一动	iq5 don3
一动不动	iq5 don9 peq9 don3
一動	iq5 don3
一動不動	iq5 don9 peq9 don3
一勺	iq5 zoq3
一包	iq5 pau3
一匹	iq5 phiq3
一區	iq5 chiu3
一千	iq5 tshi3
一千两	iq5 tshi9 lian3
一千个	iq5 tshi9 gheq3
一千個	iq5 tshi9 ku3
一千兩	iq5 tshi9 lian3
一千多	iq5 tshi9 tu3
一千多年	iq5 tshi9 tu9 gni3
一千年	iq5 tshi9 gni3
一半	iq5 poe3
一半左右	iq5 poe9 tsi9 yeu3
一卷	iq5 cioe3
一厢情愿	iq5 sian9 zin9 gnioe3
一去	iq5 chi3
一双	iq5 saon3
一反常态	iq5 fe9 zan9 the3
一反常態	iq5 fe9 zan9 the3
一发	iq5 faq3
一叠	iq5 deq3
一口	iq5 kheu3
一口咬定	iq5 kheu9 ngau9 din3
一口气	iq5 kheu9 chi3
一口氣	iq5 kheu9 chi3
一古脑儿	iq5 ku9 nau9 gni3
一古腦兒	iq5 ku9 nau9 gni3
一句	iq5 ciu3
一句言話	iq5 ciu9 ghe9 gho3
一只	iq5 tseq3
一台	iq5 de3
一叶	iq5 yaq3
一号	iq5 ghau3
一同	iq5 don3
一名	iq5 min3
一向	iq5 shian3
一吹	iq5 tshy3
一员	iq5 yoe3
一周	iq5 tseu3
一周年	iq5 tseu9 gni3
一味	iq5 vi3
一命呜呼	iq5 min9 u9 hu3
一命嗚呼	iq5 min9 u9 hu3
一品	iq5 phin3
一品紅	iq5 phin9 ghon3
一品红	iq5 phin9 ghon3
一哄而散	iq5 hon9 er9 se3
一响	iq5 shian3
一員	iq5 yoe3
一問	iq5 ven3
一喝	iq5 heq3
一回	iq5 we3
一团	iq5 doe3
一国两制	iq5 koq9 lian9 tsy3
一圈	iq5 chioe3
一國兩制	iq5 koq9 lian9 tsy3
一團	iq5 doe3
一圤屙	iq5 phoq9 u3
一圤惡	iq5 phoq9 u3
一圤污	iq5 phoq9 u3
一场	iq5 zan3
一块	iq5 khue3
一块儿	iq5 khue9 gni3
一堂	iq5 daon3
一堆	iq5 te3
一場	iq5 zan3
一堵	iq5 tu3
一塊	iq5 khue3
一塊兒	iq5 khue9 gni3
一塌糊塗	iq5 thaq9 wu9 du3
一塌糊涂	iq5 thaq9 wu9 du3
一填	iq5 di3
一塵不染	iq5 zen9 peq9 zoe3
一声	iq5 san3
一声不吭	iq5 san9 peq9 khaon3
一声不响	iq5 san9 peq9 shian3
一声令下	iq5 san9 lin9 gho3
一声声	iq5 san9 san3
一处	iq5 tshy3
一多	iq5 tu3
一多半	iq5 tu9 poe3
一夜	iq5 ya3
一夜間	iq5 ya9 ci3
一夜间	iq5 ya9 ci3
一夢	iq5 maon3
一夥	iq5 hu3
一大	iq5 du3
一大半	iq5 du9 poe3
一大塊	iq5 du9 khue3
一大批	iq5 du9 phi3
一大早	iq5 du9 tsau3
一大清早	iq5 du9 tshin9 tsau3
一天	iq5 thi3
一天到晚	iq5 thi9 tau9 ue3
一天天	iq5 thi9 thi3
一夫	iq5 fu3
一夫一妻制	iq5 fu9 iq9 tshi9 tsy3
一头	iq5 deu3
一套	iq5 thau3
一如	iq5 zy3
一如既往	iq5 zy9 ci9 uaon3
一字一句	iq5 zy9 iq9 ciu3
一字一頓	iq5 zy9 iq9 ten3
一字一顿	iq5 zy9 iq9 ten3
一字排开	iq5 zy9 ba9 khe3
一字排開	iq5 zy9 ba9 khe3
一孝	iq5 shiau3
一季	iq5 ci3
一季度	iq5 ci9 du3
一學	iq5 ghoq3
一宗	iq5 tson3
一定	iq5 din3
一定量	iq5 din9 lian3
一审	iq5 sen3
一家	iq5 ka3
一家一當	iq5 ka9 iq9 taon3
一家人	iq5 ka9 zen3
一家人家	iq5 ka9 gnin9 ka3
一家子	iq5 ka9 tsy3
一家老小	iq5 ka9 lau9 siau3
一家門	iq5 ka9 men3
一宿	iq5 soq3
一審	iq5 sen3
一寸	iq5 tshen3
一对	iq5 te3
一对一	iq5 te9 iq3
一封	iq5 fon3
一將	iq5 tsian3
一尊	iq5 tsen3
一對	iq5 te3
一對一	iq5 te9 iq3
一小	iq5 siau3
一小撮	iq5 siau9 tshoq3
一尘不染	iq5 zen9 peq9 zoe3
一尺	iq5 tshaq3
一尾	iq5 vi3
一局	iq5 jioq3
一层	iq5 zen3
一层层	iq5 zen9 zen3
一屆	iq5 ka3
一届	iq5 ka3
一層	iq5 zen3
一層層	iq5 zen9 zen3
一岁	iq5 soe3
一峯	iq5 fon3
一峰	iq5 fon3
一帆風順	iq5 ve9 fon9 zen3
一帆风顺	iq5 ve9 fon9 zen3
一师	iq5 sy3
一带	iq5 ta3
一師	iq5 sy3
一席	iq5 ziq3
一席之地	iq5 ziq9 tsy9 di3
一席話	iq5 ziq9 wa3
一席话	iq5 ziq9 wa3
一帮	iq5 paon3
一帶	iq5 ta3
一幅	iq5 foq3
一幕	iq5 mu3
一幢	iq5 zaon3
一幫	iq5 paon3
一幫子人	iq5 paon9 tsy9 gnin3
一干二净	iq5 koe9 gni9 zin3
一年	iq5 gni3
一年一度	iq5 gni9 iq9 du3
一年到头	iq5 gni9 tau9 deu3
一年到頭	iq5 gni9 tau9 deu3
一年半載	iq5 gni9 poe9 tse3
一年半载	iq5 gni9 poe9 tse3
一年四季	iq5 gni9 sy9 ci3
一年生	iq5 gni9 san3
一并	iq5 pin3
一幹二淨	iq5 koe9 gni9 zin3
一床	iq5 zaon3
一应	iq5 in3
一应俱全	iq5 in9 jiu9 zi3
一度	iq5 du3
一座	iq5 zu3
一廂情願	iq5 sian9 zin9 gnioe3
一开	iq5 khe3
一张	iq5 tsan3
一張	iq5 tsan3
一往情深	iq5 uaon9 zin9 sen3
一往无前	iq5 uaon9 wu9 zi3
一往無前	iq5 uaon9 wu9 zi3
一律	iq5 liq3
一心	iq5 sin3
一心一意	iq5 sin9 iq9 i3
一念	iq5 gni3
一忽儿	iq5 hoq9 gni3
一忽兒	iq5 hoq9 gni3
一怒之下	iq5 nu9 tsy9 gho3
一意孤行	iq5 i9 ku9 ghan3
一應	iq5 in3
一應俱全	iq5 in9 jiu9 zi3
一成	iq5 zen3
一成不变	iq5 zen9 peq9 pi3
一成不變	iq5 zen9 peq9 pi3
一战	iq5 tsoe3
一戰	iq5 tsoe3
一戶	iq5 wu3
一户	iq5 wu3
一所	iq5 su3
一扇	iq5 soe3
一手	iq5 seu3
一打	iq5 tan3
一批	iq5 phi3
一技之長	iq5 ji9 tsy9 tsan3
一技之长	iq5 ji9 tsy9 tsan3
一把	iq5 pa3
一把手	iq5 pa9 seu3
一把抓	iq5 pa9 tsa3
一折	iq5 tseq3
一抹	iq5 meq3
一担	iq5 te3
一拉	iq5 lha3
一拖	iq5 thu3
一招	iq5 tsau3
一招一式	iq5 tsau9 iq9 seq3
一拥而上	iq5 ion9 er9 zaon3
一拳	iq5 jioe3
一捆	iq5 khuen3
一排	iq5 ba3
一提	iq5 di3
一搶	iq5 tshian3
一摊	iq5 the3
一摞	iq5 lu3
一撇	iq5 phiq3
一撮	iq5 tsheq3
一擁而上	iq5 ion9 er9 zaon3
一擔	iq5 te3
一攤	iq5 the3
一支	iq5 tsy3
一敗塗地	iq5 ba9 du9 di3
一整天	iq5 tsen9 thi3
一整套	iq5 tsen9 thau3
一文	iq5 ven3
一斗	iq5 teu3
一斤	iq5 cin3
一新	iq5 sin3
一斷	iq5 doe3
一方	iq5 faon3
一方面	iq5 faon9 mi3
一旁	iq5 baon3
一无所有	iq5 wu9 su9 yeu3
一无所知	iq5 wu9 su9 tsy3
一无所获	iq5 wu9 su9 weq3
一日	iq5 zeq3
一日三餐	iq5 zeq9 se9 tshoe3
一日到夜	iq5 gniq9 tau9 ya3
一日游	iq5 zeq9 yeu3
一日遊	iq5 zeq9 yeu3
一旦	iq5 te3
一早	iq5 tsau3
一时	iq5 zy3
一时三刻	iq5 zy9 se9 kheq3
一时半会儿	iq5 zy9 poe9 khue9 gni3
一时期	iq5 zy9 ji3
一时间	iq5 zy9 ci3
一時	iq5 zy3
一時三刻	iq5 zy9 se9 kheq3
一時半會兒	iq5 zy9 poe9 khue9 gni3
一時期	iq5 zy9 ji3
一時間	iq5 zy9 ci3
一晃	iq5 huaon3
一晚	iq5 ue3
一曲	iq5 chioq3
一會	iq5 we3
一會兒	iq5 khue9 gni3
一月	iq5 yoq3
一月份	iq5 yoq9 ven3
一望无际	iq5 maon9 wu9 tsi3
一望無際	iq5 maon9 wu9 tsi3
一朝	iq5 tsau3
一朝一夕	iq5 tsau9 iq9 ziq3
一期	iq5 ji3
一期歲	iq5 ji9 soe3
一本	iq5 pen3
一本正經	iq5 pen9 tsen9 cin3
一本正经	iq5 pen9 tsen9 cin3
一朵	iq5 tu3
一杆	iq5 koe3
一村	iq5 tshen3
一束	iq5 soq3
一条	iq5 diau3
一条心	iq5 diau9 sin3
一条街	iq5 diau9 ka3
一条龙	iq5 diau9 lon3
一来	iq5 le3
一杯	iq5 pe3
一枚	iq5 me3
一枝	iq5 tsy3
一枪	iq5 tshian3
一架	iq5 ka3
一查	iq5 zo3
一栋	iq5 ton3
一株	iq5 tsy3
一样	iq5 yan3
一根	iq5 ken3
一案	iq5 oe3
一桌	iq5 tsoq3
一桩	iq5 tsaon3
一桶	iq5 don3
一條	iq5 diau3
一條心	iq5 diau9 sin3
一條街	iq5 diau9 ka3
一條龍	iq5 diau9 lon3
一梦	iq5 maon3
一棟	iq5 ton3
一棵	iq5 khu3
一棵树	iq5 khu9 zy3
一棵樹	iq5 khu9 zy3
一楼	iq5 leu3
一概	iq5 ke3
一槍	iq5 tshian3
一樁	iq5 tsaon3
一樂	iq5 loq3
一樓	iq5 leu3
一模一样	iq5 mu9 iq9 yan3
一模一樣	iq5 mu9 iq9 yan3
一樣	iq5 yan3
一樣個	iq5 yan9 gheq3
一樣生	iq5 yan9 san3
一櫃	iq5 gue3
一次	iq5 tshy3
一次性	iq5 tshy9 sin3
一次次	iq5 tshy9 tshy3
一款	iq5 khue3
一歇辰光	iq5 shiq9 zen9 kuaon3
一步	iq5 bu3
一步步	iq5 bu9 bu3
一歲	iq5 soe3
一死	iq5 sy3
一段	iq5 doe3
一比	iq5 pi3
一气	iq5 chi3
一气之下	iq5 chi9 tsy9 gho3
一气呵成	iq5 chi9 ho9 zen3
一氣	iq5 chi3
一氣之下	iq5 chi9 tsy9 gho3
一氣呵成	iq5 chi9 ho9 zen3
一氧化碳	iq5 yan9 hua9 the3
一江	iq5 kaon3
一汽	iq5 chi3
一沓	iq5 taq3
一沰涎唾	iq5 toq9 ze9 thu3
一波	iq5 pu3
一派	iq5 pha3
一流	iq5 lieu3
一清二楚	iq5 tshin9 gni9 tshu3
一清早	iq5 tshin9 tsau3
一溜	iq5 lhieu3
一溜烟	iq5 lhieu9 i3
一溜煙	iq5 lhieu9 i3
一滴	iq5 tiq3
一潭	iq5 de3
一灯	iq5 ten3
一炮	iq5 phau3
一点	iq5 ti3
一点一滴	iq5 ti9 iq9 tiq3
一点一点	iq5 ti9 iq9 ti3
一点儿	iq5 ti9 gni3
一点多	iq5 ti9 tu3
一点点	iq5 ti9 ti3
一無	iq5 wu3
一無所有	iq5 wu9 su9 yeu3
一無所獲	iq5 wu9 su9 weq3
一無所知	iq5 wu9 su9 tsy3
一燈	iq5 ten3
一牀	iq5 zaon3
一片	iq5 phi3
一片片	iq5 phi9 phi3
一物	iq5 veq3
一班	iq5 pe3
一班人	iq5 pe9 zen3
一瓢	iq5 biau3
一瓶	iq5 bin3
一生	iq5 san3
一生一世	iq5 san9 iq9 sy3
一甩	iq5 huaq3
一甲	iq5 ciaq3
一畝	iq5 meu3
一番	iq5 fe3
一番話	iq5 fe9 wa3
一番话	iq5 fe9 wa3
一疊	iq5 diq3
一發	iq5 faq3
一百	iq5 paq3
一百万	iq5 paq9 moq3
一百两	iq5 paq9 lian3
一百个	iq5 paq9 gheq3
一百個	iq5 paq9 ku3
一百元	iq5 paq9 gnioe3
一百兩	iq5 paq9 lian3
一百名	iq5 paq9 min3
一百块	iq5 paq9 khue3
一百塊	iq5 paq9 khue3
一百多	iq5 paq9 tu3
一百多年	iq5 paq9 tu9 gni3
一百年	iq5 paq9 gni3
一百萬	iq5 paq9 ve3
一盆	iq5 ben3
一盏	iq5 tse3
一盒	iq5 ghaq3
一盘	iq5 boe3
一盘散沙	iq5 boe9 se9 sa3
一盞	iq5 tse3
一盤	iq5 boe3
一盤散沙	iq5 boe9 se9 sa3
一目	iq5 moq3
一目了然	iq5 moq9 liau9 zoe3
一直	iq5 zeq3
一省	iq5 san3
一眼	iq5 nge3
一着	iq5 tsaq3
一睹	iq5 tu3
一瞄	iq5 mhiau3
一瞥	iq5 phiq3
一瞬	iq5 sen3
一瞬間	iq5 sen9 ci3
一瞬间	iq5 sen9 ci3
一知半解	iq5 tsy9 poe9 ka3
一破	iq5 phu3
一碗	iq5 uoe3
一磅	iq5 paon3
一票	iq5 phiau3
一种	iq5 zon3
一秒	iq5 miau3
一程	iq5 zen3
一種	iq5 tson3
一窍不通	iq5 chiau9 peq9 thon3
一窝蜂	iq5 u9 fon3
一窩蜂	iq5 u9 fon3
一竅不通	iq5 chiau9 peq9 thon3
一站	iq5 ze3
一章	iq5 tsaon3
一端	iq5 toe3
一笔	iq5 piq3
一笔勾销	iq5 piq9 keu9 siau3
一筆	iq5 piq3
一筆勾銷	iq5 piq9 keu9 siau3
一等	iq5 ten3
一等功	iq5 ten9 kon3
一等奖	iq5 ten9 tsian3
一等獎	iq5 ten9 tsian3
一筹	iq5 zeu3
一筹莫展	iq5 zeu9 moq9 tsoe3
一箱	iq5 sian3
一節	iq5 tsiq3
一篇	iq5 phi3
一籌	iq5 zeu3
一籌莫展	iq5 zeu9 moq9 tsoe3
一米	iq5 mi3
一类	iq5 le3
一粒	iq5 liq3
一系列	iq5 shi9 liq3
一約	iq5 iaq3
一紅	iq5 ghon3
一紙	iq5 tsy3
一級	iq5 ciq3
一組	iq5 tsu3
一統	iq5 thon3
一統天下	iq5 thon9 thi9 gho3
一絲	iq5 sy3
一絲一毫	iq5 sy9 iq9 ghau3
一絲不掛	iq5 sy9 peq9 kua3
一絲不苟	iq5 sy9 peq9 keu3
一絲絲	iq5 sy9 sy3
一經	iq5 cin3
一維	iq5 vi3
一網打盡	iq5 maon9 tan9 zin3
一線	iq5 si3
一縷	iq5 liu3
一级	iq5 ciq3
一纸	iq5 tsy3
一线	iq5 si3
一组	iq5 tsu3
一经	iq5 cin3
一统	iq5 thon3
一统天下	iq5 thon9 thi9 gho3
一维	iq5 vi3
一缕	iq5 liu3
一网打尽	iq5 maon9 tan9 zin3
一羣	iq5 jiun3
一群	iq5 jiun3
一老一少	iq5 lau9 iq9 sau3
一而再	iq5 er9 tse3
一聞	iq5 ven3
一聲	iq5 san3
一聲不吭	iq5 san9 peq9 khaon3
一聲不響	iq5 san9 peq9 shian3
一聲令下	iq5 san9 lin9 gho3
一聲勿響	iq5 sen9 veq9 shian3
一聲聲	iq5 san9 san3
一肚子	iq5 tu9 tsy3
一股	iq5 ku3
一脈相承	iq5 maq9 sian9 zen3
一脉相承	iq5 maq9 sian9 zen3
一脚	iq5 ciaq3
一脸	iq5 li3
一腔	iq5 chian3
一腳	iq5 ciaq3
一腳去	iq5 ciaq9 chi3
一臂之力	iq5 pi9 tsy9 liq3
一臉	iq5 li3
一致	iq5 tsy3
一致性	iq5 tsy9 sin3
一臺	iq5 de3
一舉	iq5 ciu3
一舉一動	iq5 ciu9 iq9 don3
一舉兩得	iq5 ciu9 lian9 teq3
一舉成名	iq5 ciu9 zen9 min3
一般	iq5 pe3
一般來說	iq5 pe9 le9 seq3
一般來講	iq5 pe9 le9 cian3
一般性	iq5 pe9 sin3
一般来讲	iq5 pe9 le9 cian3
一般来说	iq5 pe9 le9 seq3
一般見識	iq5 pe9 ci9 seq3
一般见识	iq5 pe9 ci9 seq3
一般說來	iq5 pe9 seq9 le3
一般说来	iq5 pe9 seq9 le3
一艘	iq5 sau3
一色	iq5 seq3
一节	iq5 tsiq3
一茬	iq5 tsha3
一萬	iq5 ve3
一萬個	iq5 ve9 ku3
一萬個字	iq5 ve9 gheq9 zy3
一萬元	iq5 ve9 gnioe3
一萬兩	iq5 ve9 lian3
一萬多	iq5 ve9 tu3
一落千丈	iq5 loq9 tshi9 zan3
一葉	iq5 yiq3
一蓋	iq5 ke3
一處	iq5 tshy3
一號	iq5 ghau3
一行	iq5 yin3
一袋	iq5 de3
一被	iq5 be3
一裏	iq5 li3
一見	iq5 ci3
一見如故	iq5 ci9 zy9 ku3
一見鍾情	iq5 ci9 tson9 zin3
一視同仁	iq5 zy9 don9 zen3
一覺	iq5 kau3
一覽	iq5 le3
一见如故	iq5 ci9 zy9 ku3
一见钟情	iq5 ci9 tson9 zin3
一视同仁	iq5 zy9 don9 zen3
一览	iq5 le3
一角	iq5 koq3
一触即发	iq5 tshoq9 tsiq9 faq3
一觸即發	iq5 tshoq9 tsiq9 faq3
一言	iq5 yi3
一言一行	iq5 yi9 iq9 ghan3
一言不发	iq5 yi9 peq9 faq3
一言不發	iq5 yi9 peq9 faq3
一言为定	iq5 yi9 we9 din3
一言既出	iq5 yi9 ci9 tsheq3
一言爲定	iq5 yi9 we9 din3
一言难尽	iq5 yi9 ne9 zin3
一言難盡	iq5 yi9 ne9 zin3
一記	iq5 ci3
一說	iq5 seq3
一調	iq5 diau3
一講	iq5 kaon3
一讀	iq5 doq3
一记	iq5 ci3
一貫	iq5 kue3
一败涂地	iq5 ba9 du9 di3
一贯	iq5 kue3
一走了之	iq5 tseu9 liau9 tsy3
一起	iq5 chi3
一趟	iq5 thaon3
一跃而起	iq5 yaq9 er9 chi3
一路	iq5 lu3
一路上	iq5 lu9 zaon3
一跳	iq5 thiau3
一蹴而就	iq5 tshoq9 er9 zieu3
一蹶不振	iq5 cioq9 peq9 tsen3
一躍而起	iq5 yaq9 er9 chi3
一身	iq5 sen3
一車	iq5 tsho3
一輛	iq5 lian3
一輩	iq5 pe3
一輩子	iq5 pe9 tsy3
一輪	iq5 len3
一轉眼	iq5 tsoe9 nge3
一车	iq5 tsho3
一转眼	iq5 tsoe9 nge3
一轮	iq5 len3
一辆	iq5 lian3
一辈	iq5 pe3
一辈子	iq5 pe9 tsy3
一边	iq5 pi3
一边倒	iq5 pi9 tau3
一连	iq5 li3
一连串	iq5 li9 tshoe3
一通	iq5 thon3
一連	iq5 li3
一連串	iq5 li9 tshoe3
一遍	iq5 pi3
一道	iq5 dau3
一道個	iq5 dau9 gheq3
一道叫	iq5 dau9 ciau3
一道道	iq5 dau9 dau3
一遭	iq5 tsau3
一邊	iq5 pi3
一邊倒	iq5 pi9 tau3
一部	iq5 bu3
一部分	iq5 bu9 ven3
一里	iq5 li3
一重	iq5 zon3
一針	iq5 tsen3
一針見血	iq5 tsen9 ci9 shioq3
一錠	iq5 din3
一针	iq5 tsen3
一针见血	iq5 tsen9 ci9 shioq3
一锭	iq5 din3
一長	iq5 tsan3
一長制	iq5 tsan9 tsy3
一长制	iq5 tsan9 tsy3
一門	iq5 men3
一門心思	iq5 men9 sin9 sy3
一閃	iq5 soe3
一閃而過	iq5 soe9 er9 ku3
一開	iq5 khe3
一間	iq5 ci3
一门	iq5 men3
一门心思	iq5 men9 sin9 sy3
一闪而过	iq5 soe9 er9 ku3
一间	iq5 ci3
一队	iq5 de3
一防	iq5 vaon3
一阵	iq5 zen3
一阵响	iq5 zen9 shian3
一阵子	iq5 zen9 tsy3
一阵阵	iq5 zen9 zen3
一阵风	iq5 zen9 fon3
一院制	iq5 yoe9 tsy3
一陣	iq5 zen3
一陣子	iq5 zen9 tsy3
一陣陣	iq5 zen9 zen3
一陣響	iq5 zen9 shian3
一陣風	iq5 zen9 fon3
一隅	iq5 gniu3
一隊	iq5 de3
一階	iq5 cia3
一雙	iq5 saon3
一霎	iq5 saq3
一面	iq5 mi3
一響	iq5 shian3
一頁	iq5 yiq3
一頂	iq5 tin3
一項	iq5 ghaon3
一頓	iq5 ten3
一頭	iq5 deu3
一顆	iq5 khu3
一類	iq5 le3
一页	iq5 yiq3
一顶	iq5 tin3
一项	iq5 ghaon3
一顿	iq5 ten3
一颗	iq5 khu3
一飽耳福	iq5 pau9 er9 foq3
一餐	iq5 tshoe3
一首	iq5 seu3
一首歌	iq5 seu9 ku3
一馬	iq5 mo3
一馬當先	iq5 ma9 taon9 si3
一马当先	iq5 ma9 taon9 si3
一骨碌	iq5 kueq9 loq3
一體	iq5 thi3
一體化	iq5 thi9 hua3
一鬥	iq5 teu3
一點	iq5 ti3
一點一滴	iq5 ti9 iq9 tiq3
一點一點	iq5 ti9 iq9 ti3
一點兒	iq5 ti9 gni3
一點多	iq5 ti9 tu3
一點點	iq5 ti9 ti3
一鼓作气	iq5 ku9 tsoq9 chi3
一鼓作氣	iq5 ku9 tsoq9 chi3
一齊	iq5 zi3
一齐	iq5 zi3
丁丑	tin5 tsheu3
丁亥	tin5 ghe3
丁倒	tin5 tau3
丁克	tin5 kheq3
丁关根	tin5 kue9 ken3
丁卯	tin5 mau3
丁国宝	tin5 koq9 pau3
丁國寶	tin5 koq9 pau3
丁基	tin5 ci3
丁大哥	tin5 du9 ku3
丁大旺	tin5 du9 waon3
丁夫人	tin5 fu9 zen3
丁字	tin5 zy3
丁巳	tin5 zy3
丁思甜	tin5 sy9 di3
丁憂	tin5 ieu3
丁敏君	tin5 mhin9 ciun3
丁春秋	tin5 tshen9 tshieu3
丁未	tin5 vi3
丁東	tin5 ton3
丁汝昌	tin5 zy9 tshaon3
丁炔	tin5 chioq3
丁烯	tin5 shi3
丁烷	tin5 woe3
丁玲	tin5 lin3
丁當	tin5 taon3
丁石孙	tin5 zaq9 sen3
丁石孫	tin5 zaq9 sen3
丁能通	tin5 nen9 thon3
丁酉	tin5 yeu3
丁醜	tin5 tsheu3
丁關根	tin5 kue9 ken3
丁香	tin5 shian3
七丁八倒	tshiq5 tin9 paq9 tau3
七七事变	tshiq5 tshiq9 zy9 pi3
七七事變	tshiq5 tshiq9 zy9 pi3
七七四十九响	tshiq5 tshiq9 sy9 zeq9 cieu9 shian3
七七四十九響	tshiq5 tshiq9 sy9 zeq9 cieu9 shian3
七上八下	tshiq5 zaon9 paq9 gho3
七个	tshiq5 gheq3
七中	tshiq5 tson3
七中全会	tshiq5 tson9 zi9 khue3
七中全會	tshiq5 tson9 zi9 khue3
七五	tshiq5 ng3
七人	tshiq5 gnin3
七位	tshiq5 we3
七個	tshiq5 gheq3
七八	tshiq5 paq3
七八个	tshiq5 paq9 gheq3
