aabenraa	ɔbmˈʁɔ
arabien	arabiən
arabisk	arabisk
aramæer	ɑrɑˈmɛər
arbejde	ˈarˌbajdə
arbejder	ˈarˌbajdər
arbejdsdag	ˈɑbɑɪdsˌdæ
arbejdsgiver	arbajdsɡivər
arbejdsløs	ˈɑbɑjdsˌløs
arbejdsom	ɑˈbɑjdˌsʌm
arbejdsplads	ˈɑbɑjdsˌplas
ard	ˈɑd
areal	areal
argentiner	arɡɛntinər
argon	ˈɑɡʌn
aristofanes	ɑiˈsdofanɛs
aristophanes	ɑiˈsdofanɛs
aristoteles	ɑiˈsdodəlɛs
ark	ˈɑɡ
arkitekt	ɑɡiˈtɛɡd
arkiv	arkiv
arkivar	ɑkiˈvɑ
arkivere	ɑkiˈveɐ
arkæologi	arkɛoloɡi
arm	arm
armbrøst	armbrøst
arme	arme
armhule	armhulə
armod	armoð
arne	arnə
arp	arp
arpeggio	ɑˈpɛdɕo
arrangement	ɑɑŋɕəˈmɑŋ
arrangere	ɑɑŋɕeɐ
arre	ˈɑrə
arrest	aˈʁasd
arrester	aˈʁasdɐ
arrestere	ɑɑˈsdeɐ
arresterede	ɑɑˈsdeɐðə
arresterer	ɑɑˈsdeɐ
arresteres	ɑɑˈsdeɐs
arresteret	ɑɑˈsdeɐð
arrig	ari
arrigtrold	aritrɔl
arrogance	ɑoˈɡɑŋsə
arsen	ɑˈsen
art	ˈɑd
arte	artə
artig	ˈɑdi
artikel	artikəl
artikler	ɑˈtiɡlɐ
arv	arv
arve	arvə
arvelig	arvəli
arving	arvenɡ
asen	ˈæsən
asien	ˈasiən
ask	ask
asparges	aˈsbɑs
astma	astma
astronaut	astronavt
asyl	asyl
at	ad
athen	aˈten
athena	aˈtena
athene	aˈtenə
athener	aˈtenɐ
athenienser	ateniˈɛnsɐ
atheniensisk	ateniˈɛnsisɡ
athensk	aˈtensɡ
athenæer	ateˈnɛɐ
athenæisk	ateˈnɛisɡ
atol	aˈtʌl
atom	aˈtom
atombombe	atombɔmbə
atomer	aˈtomɐ
atomerne	aˈtomɐnə
atomet	aˈtoməð
atomkerne	aˈtomˌkaɐnə
atonal	atonal
atten	atən
atter	atər
attisk	ˈatisɡ
attribut	atribut
attrå	ˈaˈtʁɔ
atypisk	atypisk
aubergine	obɛrsjinə
august	avˈɡost
autodidakt	avtodidakt
autofokus	avtofokus
autoritet	avtoritet
avance	avanɡsə
avancere	avanɡserə
avanceret	avanɡserəd
avenue	avəny
aversion	avæɐˈɕon
avet	ˈævəð
avind	ˈæˌven
avindes	ˈaˌvenəs
avis	aˈvis
avl	avl
avle	avlə
avlede	avləðə
avler	avlər
avlet	avləðə
avocado	aʋoˈkædo
avokado	avokado
ayatollah	ɑjaˈtʌla
babylem	ˈbɛɪbiˌlɛm
babylift	ˈbɛjbiˌlift
babyvræl	ˈbɛɪbiˌʋʁɛl
bad	ˈbað
bade	ˈbæðə
bader	badər
badet	ˈbaðəd
badminton	badməntɔn
bag	baɣ
bagage	baɡasjə
bagatel	baɡatɛl
bagbord	bavbor
bagdel	ˈbɑwˌdel
bage	baɣə
bagefter	bajɛftər
bager	baɣər
bageri	bæɪɐˈʁi
baggrund	ˈbɑwˌɡʁɔn
bagklogskab	bavklɔɡskab
bagt	ˈbɑɡd
bagte	ˈbɑɡdə
bagud	ˈbæjˌuð
bajer	bajər
bakke	bakə
bakse	ˈbɑɡsə
bakterie	bɑɡˈteɐiə
bakteriologi	bɑɡteɐioloˈɡi
balkon	balkɔnɡ
ballet	balɛt
ballon	balɔnɡ
balsamisk	balsamisk
balstyrig	balstyri
balstyrisk	balstyrisk
bamse	ˈbɑmsə
banal	baˈnæl
band	band
bandage	bandasjə
bande	bandə
bane	ˈbænə
banegård	ˈbænəˌɡɒ
bange	baŋə
bank	ˈbɑŋɡ
bankbog	bɑŋɡˈbɔw
bankkonto	bankkɔnto
bar	ˈbar
barbar	barbar
bare	ˈbarə
barfodet	barfodət
bark	bark
barken	barkən
barmhjertig	bɑmˈjaɐdi
barmhjertighed	bɑmˈjaɐdiˌheð
barn	barn
barndom	barndɔm
barnebarn	ˈbɑnəˌbɑn
barnevogn	bɑnəvɒwn
barre	barə
barsel	ˈbɑsl,ˈbɑsl
barsle	ˈbɑslə
bart	bart
basisk	basisk
basket	baskət
basketball	baskətbal
basketballkurv	baskətbalkurv
bassin	baˈsɛŋ
bast	bast
bastard	bastard
bastion	baˈsdjon
bat	ˈbad
batte	ˈbadə
battet	ˈbadəð
bavn	ˈbɑwn
bebyrde	bebyrdə
bed	ˈbeð
bedare	beˈdɒɒ
bede	beðə
bededag	ˈbeðəˌdæ
bedemand	bedəman
bedene	ˈbeðənə
bedrag	beˈdʁɑw
bedrage	beˈdʁɑwə
bedrager	beˈdʁɑwɐ
bedre	beðʁɐ
bedrift	beˈdreft
bedrive	bedrivə
bedrøve	bedrøvə
bedrøvede	bedrøvəðə
bedrøvet	bedrøvəð
bedst	bɛst
bedstefar	ˈbɛsdəˌfɑ
bedstemor	ˈbɛsdəˌmoɐ
bedt	ˈbed
bedyre	bedyrə
bedårende	beˈdɒɒnə
befolkningstæthed	beˈfʌlɡneŋsˌtɛdheð
befæstning	beˈfɛsdneŋ
begge	ˈbɛɡə
begravelse	beˈɡʁɑwəlsə
begreb	beˈɡʁɛb
begrebsforvirring	beˈɡʁæbsfʌˌviɐeŋ
begribe	beˈɡʁibə
begynde	beɡønə
begyndelse	beɡønəlsə
begynder	beɡønər
begære	beˈɡɛʌ
begærlig	beˈɡɛɐli
behag	beˈhæj
behage	beˈhæjə
behold	beˈhʌl
beholde	beˈhʌlə
beholder	beˈhʌlɐ
beholdes	beˈhʌləs
beholdt	beˈhʌld
beholdte	beˈhʌldə
beholdtes	beˈhʌldəs
behov	behɔv
behændig	behɛndi
behøve	beˈhøvə
bejae	beˈjæə
bekende	beˈkɛnə
bekendelse	beˈkɛnlsə
bekenden	beˈkɛnn
bekendende	beˈkɛnənə
bekender	beˈkɛndɐ
bekendes	beˈkɛnəs
bekendt	beˈkɛnd
bekendte	beˈkɛndə
bekendtes	beˈkɛndəs
bekostning	bekɔstnenɡ
bekvem	beˈkvɛm
belgisk	bɛlɡisk
belortet	beˈloɐdəð
belyse	belysə
belysning	beˈlysneŋ
belægge	beˈlɛɡə
beløb	beløb
ben	ben
benklæder	ˈbenˌklɛɐ
benytte	benøtə
benzoesyre	ˈbɛnsoˌsyʌ
berede	bereðə
beretning	peˈʁɑtniŋ
berette	berɛtə
berige	beˈʁiə
berigelse	beˈʁiəlsə
berlin	baɐˈlin
berolige	beˈʁoˌliə
bersærk	bɛrsɛrk
berømt	beˈʁœmd
berøre	berørə
berøring	beˈʁɶɐeŋ
berøringsangst	peˈʁɶɐiŋsɑŋst
besat	beˈsad
besatte	beˈsadə
besidde	beˈsiðə
besjæle	beˈɕɛlə
besjælede	beˈɕɛləðə
besjælet	beˈɕɛləð
besk	besk
besked	beskeð
beskeden	beskeðən
beskidt	beˈsɡid
beskrive	beskrivə
beskrivelse	beskrivəlsə
beslutsom	beslutsɔm
beslutte	beˈsludə
bestandig	beˈsdandi
bestemme	beˈsdɛmə
bestemt	beˈsdɛmd
bestemte	beˈsdɛmdə
bestialsk	bestjalsk
bestjæle	beˈsdjɛlə
bestyre	beˈsdyʌ
bestyrtelse	bestyrtəlsə
bestå	beˈsdɔ
beståen	ˈbeˈsdɔən
bestående	beˈsdɔənə
besudle	beˈsudlə
besvare	besvarə
besætte	beˈsɛdə
besættelse	beˈsɛdəlsə
besøg	beˈsøj
besøge	beˈsøjə
besøger	beˈsøjɐ
besøgt	beˈsøɡd
besøgte	beˈsøɡdə
besørge	beˈsɶɐwə
betablokker	betablɔkər
betale	beˈtalə
betegnelse	betajnəlsə
betelgeuse	betɛlˈɡøsə
betinge	beˈteŋə
beton	beˈtʌŋ
betone	beˈtonə
betoning	beˈtoneŋ
betro	beˈtʁo
betuttet	beˈtudəð
betyde	beˈtyðə
betændelse	beˈtɛnlsə
beverding	ˈbɛwʌˌdeŋ
bevågenhed	ʌbˈmæɐɡsʌmˌheð
bevæge	beˈvɛjə
bevægelse	beˈvɛjəlsə
bevæget	beˈvɛjəð
bi	ˈbi
bibel	ˈbibəl
bibliografi	biblioɡʁɑˈfi
bibliografisk	biblioˈɡʁɑfisɡ
bibliotek	biblioˈteɡ
bibringe	biˌbrenɡə
bid	ˈbið
bidder	ˈbiðɐ
biddet	bidət
bide	ˈbiðə
bidsel	ˈbisəl
bidt	ˈbid
bie	biə
bil	bil
bilde	bilə
bilist	biˈlisd
billede	ˈbeləðə
billeder	ˈbeləðər
billedskærm	ˈbeləðskɛrm
billiard	biliˈɑd
billig	bili
billige	biliə
billigst	bilist
bilvask	ˈbilˌʋasɡ
binde	ˈbenə
binyre	ˈbiˌnyʌ
binær	ˈbiˌnɛɐ
biokemi	ˈbiokemi
biologi	bioloˈɡi
biord	ˈbiˌoɐ
bipolar	bipolar
bipolær	bipolɛr
birkes	birkəs
biskop	biskɔp
bisp	bisp
bistro	ˈbisdʁo
bisætning	ˈbiˌsɛdneŋ
biting	bitenɡ
bivuak	bivuak
bizar	bisar
bjerg	bjɛrɣ
bjerge	bjɛrɡə
bjælde	bjɛlə
bjørn	bjœrn
blad	blad
blasfemi	blasfəmi
blev	ˈblew
blevet	ˈbleʋəð
blid	ˈblið
blik	blek
blindtarm	ˈblenˌtɑm
blinke	blenɡe
blis	ˈblis
blive	bliə
bliver	ˈbliwɐ
blod	ˈbloð
blodbad	blodbad
blodig	blodi
blodlegeme	bloðlɛɣəmə
blodmangel	ˈploðˌmɑŋl
blodplade	blodpladə
blodtryk	ˈbloðˌtʁøɡ
blok	blɔk
blokere	blokerə
blomkål	blɔmkɔl
blomme	ˈblʌmə
blomst	ˈblʌmsd
blomsterbed	ˈblʌmsdɐˌbeð
blomstre	ˈblʌmsdʁɐ
blot	ˈblʌd
blote	ˈblodə
blotlægge	blɔtlɛɡə
blotte	ˈblʌdə
blottede	ˈblʌdəðə
blottelse	ˈblʌdəlsə
blotter	ˈblʌdə
blottet	ˈblʌdəð
blowjob	ˈblɔwˌdjʌb
blues	blus
blufærdig	bluˈfæɐdi
bly	ˈbly
blå	blɔ
blåbær	blɔbɛr
blåskimmelost	blɔskeməlɔst
blåtand	ˈblɔˌtan
blåøjet	ˈblʌˌʌjəð
blæksprutte	blɛksprutə
blæse	blɛsə
blæst	blɛst
blød	blød
bo	bo
bod	boð
boede	boðə
boer	boər
boet	boəð
bofællesskab	ˈboˌfɛləsˌskɛb
bog	bɔɣ
bogklub	boɡklub
bogorm	bɔɡorm
bogstavelig	pɔkˈstæʊlɪ
boheme	boɛm
bold	ˈbʌld
bolig	ˈboli
bolle	bɔlə
bolt	ˈbʌld
bolværk	bɔlvɛrk
bom	ˈbɔm
bomb	bomb
bombardement	bɔmbadəmanɡ
bombe	bombə
bomben	bombən
bomber	bombər
bombes	bombəs
bombet	bombəð
bommert	ˈbɔmʌd
bomuld	ˈbʌˌmul
bon	ˈbʌŋ
bonde	bonə
bondegård	ˈbɔnəˌɡɒ
bone	ˈbonə
bonede	ˈbonəðə
bonen	ˈbʌŋən
boner	ˈbʌŋɐ
bonet	ˈbonəð
bonus	ˈbonus
bonussen	ˈbonusən
bonusser	ˈbonusɐ
bonusserne	ˈbonusɐnə
bopæl	bopɛl
bor	bor
bord	ˈbor
borde	ˈboɐ
bordeaux	bɔrdo
bordel	bɔrdɛl
bordtennis	bortɛnis
borg	ˈpɒw
borge	bɔrɣə
borgen	bɔrvən
borger	ˈbɒwʌ
borgmester	bɒwˈmɛsdɐ
boring	ˈboɐeŋ
bort	ˈbɒd
borte	ˈbɒdə
bortføre	ˈbɒɐˌføʁə
botanik	botanik
botanisere	botaniˈseʌ
boulevard	buləˈʋɑd
bouquet	bukɛ
bov	ˈbʌw
bove	bɔvə
bowle	bɔwlə
bowling	bɔwleŋ
boykot	bøjkɔt
boykotte	bøjkɔtə
brad	ˈbʁɑð
bragt	brakt
bragte	brakte
branche	ˈbʁɑŋɕə
brand	bran
brase	ˈbʁɑsə
brasilianer	brasiljanər
brasiliansk	brasiljansk
brasilien	brasiljən
brat	brat
bratsch	bratsj
brav	ˈbʁɑw
bred	breð
bredde	brɛdə
bredden	brɛðən
breddens	brɛðəns
bredder	brɛðər
bredderne	brɛðərnə
breddernes	brɛðərnəs
bredders	brɛðərs
breddes	brɛdəs
brede	breðə
breds	breðs
bredt	bret
bregne	brajnə
brev	brev
breve	brevə
bridge	britsj
brik	brek
brillant	briljant
brille	ˈbʁɛlə
bringe	brenɡə
brint	brent
brintbombe	brentbɔmbə
brinten	brentən
brise	brisə
brist	ˈbresd
briste	ˈbʁɛsdə
britannien	britaniən
brite	ˈbʁidə
britisk	ˈbʁidisɡ
britiske	ˈbʁidisɡə
bro	bro
brod	brɔd
broder	ˈbʁoðɐ
broderskab	ˈbʁoðʌˌsɡæb
brok	ˈbʁʌɡ
brom	ˈbʁom
bronze	ˈbʁʌŋsə
bror	ˈbʁoɐ
bros	bros
browser	bravsər
brud	ˈbʁuð
brudepige	brudəpiə
brudgom	brudɡɒm
brug	ˈbʁu
brugbar	ˈbʁuˌbɑ
bruge	ˈbruə
brugelig	ˈbʁuəli
bruger	ˈbʁuɣɐ
brugs	brus
brugt	brokt
brugte	broktə
brumme	ˈbʁɔmə
brun	bʁun
brunch	brɔnsj
brunche	brɔnsjə
brunette	brunɛtə
brusk	brusk
brutal	brutal
bruxelles	bʁyˈsɛl
bryd	bryd
bryde	bryðə
bryder	bryðər
brydes	bryðəs
brydning	bryðneŋ
bryg	ˈbʁœɡ
brygge	ˈbʁœɡə
brygning	ˈbʁœɡneŋ
bryllup	brœlɔp
brynje	brynjə
bryst	brøsd
brystvorte	brœstvɔrtə
brædder	brɛðər
bræk	brɛk
brække	brɛkə
brænde	ˈbʁanə,ˈbʁɑnə
brændenælde	brɛnnɛlə
brændpunkt	brɛnpoŋt
brændstof	brɛnstɔf
brændte	ˈbʁandə
bræt	brɛt
brød	brøð
brøde	brøðə
brødes	brøðəs
brødet	ˈbrœðəð
brødflov	brœdflɔv
brødre	ˈbʁœðʁɐ
brøk	brøk
brøkdel	brøkdel
brøst	ˈbrøsd
bud	ˈbuð
buddhisme	budismə
buddhist	buˈdisd
bude	budə
budget	byˈɕɛt
bue	ˈbuə
bueskytte	buəskøtə
bug	buɣ
bugne	bunə
bugt	bokt
bugte	ˈbɔɡdə
buket	bukɛt
bukke	ˈbɔɡə
bukser	ˈboɡsɐ
bulder	ˈbulʌ
buldre	ˈbulʁʌ
bulgarer	bulɡarər
bulgarsk	bulɡarsk
bullet	bulət
bump	bomp
bumpe	bompə
bumper	bompər
bumpes	bompəs
bumpet	bompəð
bund	ˈbɔn
bunde	bonə
bunden	ˈbɔnən
bundne	ˈbɔnnə
bundt	bɔnt
bur	bur
burde	bordə
burdet	ˈboɐdəð
bureau	byˈʁo
burre	ˈbuɐʌ
bus	bus
bussemand	busəmand
busser	busər
butik	buˈtiɡ
butikken	buˈtiɡən
butikker	buˈtiɡɐ
butikkerne	buˈtiɡɐnə
by	ˈby
byde	ˈbyðə
byg	ˈbyɡ
bygd	ˈbyɡd
byge	byə
bygge	byɡə
byggeri	byɡʌˈʁi
bygning	byɡneŋ
bynke	ˈbøŋɡə
byrd	ˈbyrd
byrde	byrdə
byret	ˈbyˌʁad
byrum	ˈbyʁɔm
byråd	ˈbyˌʁɔð
bytte	bytə
byzans	byˈsans
båd	bɔd
både	bɔðə
bådhus	ˈbɔdˌhus
båke	ˈbɔɡə
bånd	bɔn
båndoptager	bɔnɔptaɡər
båre	bɔrə
båret	ˈbɒɒð
bås	ˈbɔs
bæ	bɛ
bæger	bɛɣər
bæk	bɛk
bælle	ˈbɛlə
bændel	ˈbɛnəl
bær	bɛr
bærbar	ˈbɛɐˌbɑ
bære	ˈbɛrə
bærer	ˈbɛɐ
bærret	bɛrəð
bæskubber	ˈbɛˌsɡɔbɐ
bæst	ˈbɛsd
bæve	ˈbɛvə
bæven	ˈbɛʋən
bævernylon	ˈbevʌˌnɒɪlʌn
bævernylonen	ˈbevʌˌnɒɪlʌnən
bævernylonet	ˈbevʌˌnɒɪlʌnəð
bød	bød
bøde	bøðə
bødker	ˈbøɡɐ
bøf	ˈbøf
bøffel	ˈbøfəl
bøflen	ˈbøflən
bøfler	ˈbøflɐ
bøg	bøɣ
bøger	ˈbøjɐ
bøje	bɔjə
bøjle	bɔjlə
bøjning	bøjnenɡ
bølge	ˈbøljə
bølgen	ˈbøljən
bøn	ˈbœn
bønder	bœnər
bønne	ˈbœnə
bønnen	ˈbœnən
bønner	bœnər
bør	bør
børe	børə
børen	børən
børene	børənə
børje	børjə
børn	ˈbœrn
børnebørn	ˈbɶɐnəˌbɶɐn
børnehave	bœɐnəhæʊə
børnene	ˈbɶɐnnə
børnenes	ˈbɶɐnnəs
børneporno	bœrnəpɔrno
børnepornografi	bœrnəpɔrnoɡrafi
børnesygdom	bœrnəsydɔm
børs	børs
børste	bœrstə
bøsse	ˈbøsə
bøssebar	ˈbøsəˌbɑ
bøssepar	ˈbøsəˌpɑ
bøsserøv	ˈbøsəˌʁɶw
bøv	ˈbœʊ
bøvet	ˈbœʊəðˠ
bøvl	bøvl
bøvle	bøvlə
bøvlede	bøvləðə
bøvler	bøvlər
bøvlet	bøvləð
bøvs	bøvs
bøvse	bøvsə
cadeau	kado
caffelatte	kafəlatə
californium	kalifɒnjɔm
calzone	kalˈsonə
camouflere	kɑmuˈfleʌ
camper	kampər
campere	kamperə
campingvogn	ˈkambeŋvɔun
canadier	kanadjər
candyfloss	kandiflɔs
carbon	ˈkɑbʌn
carbondioxid	karbɔndiɔksið
caribisk	karibisk
castiliansk	kasdilˈjænsɡ
catalansk	katalansk
cd	sede
cellekerne	ˈsɛləˌkaɐnə
cellofan	sɛlofan
censor	ˈsɛnsɐ
cerebral	serəbral
chaiselong	sjɛsəlɔnɡ
champignon	ˈɕɑmpinjʌŋ
chance	ˈɕɑŋsə
changere	ɕɑŋˈɕeɐ
charabanc	sjarəbanɡ
charm	ˈtɕɑm
charmant	ɕɑmɐnd
charme	ˈɕɑmə
charmere	ɕɑˈmeɐ
chateau	sjato
chauffør	ɕoˈføɐ
check	ˈɕɛɡ
chef	ˈsjɛf
chikane	sjikanə
chip	tɕip
chippen	ˈtɕipən
chips	ˈtɕibs
chok	sjɔk
chokolade	ɕoɡoˈlæðə
chokoladekage	sjokoladəkaɡə
christian	ˈkʁɛsdjan
christiansted	krɛsdjanˈsdɛð
cicero	ˈsisəʁo
cigar	siɡar
cigaret	siɡəˈʁad
citation	sitaˈɕon
citer	sidər
citere	sitərə
citron	siˈtron
citronsyre	sitronsyrə
civil	siˈvil
cognac	ˈkʌnjɑɡ
coitus	ˈkoitus
collie	kɔli
comeback	kʌmˈbaɡ
computer	kʌmˈpjudɐ
cowboy	kɔwbɔj
cowboybukser	kɔwbɔjboksər
cowboyder	kɔwbɔjdər
cowboyer	kɔwbɔjər
creme	ˈkʁɛm
cremefraiche	kʁɛmˈfrɛɕ
cremen	ˈkʁɛmən
cremer	ˈkʁɛmɐ
crepe	ˈkʁab
cyanose	syaˈnosə
cykel	sykəl
cykelhjelm	sykəljɛlm
cykle	syklə
cyklen	ˈsyɡlən
cykler	ˈsyɡlɐ
cyklist	syˈɡlisd
cyklus	ˈsyklus
cylinder	sylenər
cylindrisk	sylendrisk
cypern	kypərn
cypres	syˈpʁas
daffe	ˈdɑfə
dag	daɣ
dagbog	daɡbɔɡ
dages	ˈdæjəs
daglig	daɣli
daglige	ˈdɑwlii
dagligliv	ˈdɑwliˌliw
dagligstue	ˈdɑwliˌsduə
dagligt	daɣlit
dagligvare	ˈdɑwliˌʋɑɑ
dagligvarebutik	ˈdɑwliˌbuˌtiɡ
dagligvaren	ˈdɑwliˌʋɑɑn
dagligvarer	ˈdɑwliˌʋɑɑ
dagligvarerne	ˈdɑwliˌʋɑɑnə
dahlia	ˈdælja
dal	ˈdæl
dale	dalə
daler	dalər
damask	damask
dame	damə
dampskib	dampskib
danablu	ˈdænaˌblu
danbo	ˈdanˌbo
dandere	dɑŋˈdeʌ
danefæ	ˈdænəˌfɛ
danegæld	danəɡɛl
daner	ˈdanər
danerne	ˈdanərnə
daniel	ˈdænjəl
danisere	daniˈseʌ
danmark	ˈdanmɑɡ
danne	danə
dannebrog	danəbro
