# Hebrew (he) — UNANIMOUS 3-REFEREE consensus gold: vocalized-form <TAB> canonical Modern-Israeli IPA.
# Built from words where THREE INDEPENDENT referees agree after canonicalization (strip stress/tie, unwrap
# Wiktionary optional-parens): Wiktionary a=IL (lexicographic) + Phonikud (rule-FST, CC-BY) + ReNikud
# (audio-supervised, CC-BY). Unanimity of three different methodologies = high-confidence gold for validating
# the Phase-1 g2p (a rule change is accepted iff it RAISES agreement here). Where the three disagree, the word
# is EXCLUDED (genuine ambiguity/convention, not a validation target). Regenerate: tools/hebrew/build-consensus-gold.py.
# Eval-only (never shipped in the model). Run 11.
אֱגוֹז	ʔeɡoz
אָבָה	ʔava
אָבוֹת	ʔavot
אָבוּד	ʔavud
אָדָם	ʔadam
אָדוֹן	ʔadon
אָהַב	ʔahav
אָהוּב	ʔahuv
אָז	ʔaz
אָחַז	ʔaχaz
אָחוֹת	ʔaχot
אָכֵן	ʔaχen
אָכַל	ʔaχal
אָמִין	ʔamin
אָסִיר	ʔasiʁ
אָסַף	ʔasaf
אָרוֹן	ʔaʁon
אָשֵׁר	ʔaʃeʁ
אוֹ	ʔo
אוֹסְטְרִיָּה	ʔostʁija
אוֹצָר	ʔotsaʁ
אוֹר	ʔoʁ
אוֹרְחָה	ʔoʁχa
אוֹת	ʔot
בְּהֶקְדֵּם	behekdem
בְּחִירוֹת	bχiʁot
בְּטִיחוּת	betiχut
בְּלוֹק	blok
בְּמַזָּל	bemazal
בְּסִיסִי	bsisi
בְּסַבְלָנוּת	besavlanut
בְּרִית	bʁit
בְּרָזִיל	bʁazil
בְּרָזִים	bʁazim
בְּרָכָה	bʁaχa
בִּזְמַנּוֹ	bizmano
בִּינָה	bina
בִּירָה	biʁa
בִּשְׁבִיל	biʃvil
בֵּין	ben
בֶּהָלָה	behala
בֶּטַח	betaχ
בֶּכִי	beχi
בֶּצַע	betsa
בַּגְרוּת	baɡʁut
בַּזֶּלֶת	bazelet
בַּחוּץ	baχuts
בַּקְבּוּק	bakbuk
בַּת	bat
בָּא	ba
בָּבְלִי	bavli
בָּדַק	badak
בָּחַר	baχaʁ
בָּחוּר	baχuʁ
בָּנָנָה	banana
בָּקָר	bakaʁ
בָּרוּךְ	baʁuχ
בָּשָׂר	basaʁ
בּוֹדֵד	boded
בּוֹרֵא	boʁe
גְּאוֹנוּת	ɡeʔonut
גְּבִינָה	ɡvina
גְּלִידָה	ɡlida
גְּלוּיָה	ɡluja
גְּרִיסָה	ɡʁisa
גִּבְעָה	ɡivʔa
גִּזְבָּר	ɡizbaʁ
גִּיזָּה	ɡiza
גִּישָׁה	ɡiʃa
גֵּאוֹגְרַפְיָה	ɡeʔoɡʁafja
גֶּבֶר	ɡeveʁ
גֶּפֶן	ɡefen
גֶּשֶׁם	ɡeʃem
גֶּשֶׁר	ɡeʃeʁ
גַּלְמוּד	ɡalmud
גַּם	ɡam
גַּן	ɡan
גַּס	ɡas
גַּת	ɡat
גָּדוֹל	ɡadol
גָּחַן	ɡaχan
גָּנַב	ɡanav
גָּרוֹן	ɡaʁon
גּוֹי	ɡoj
גּוֹלָה	ɡola
גּוֹלָן	ɡolan
גּוֹרָל	ɡoʁal
גּוּף	ɡuf
גּוּר	ɡuʁ
דְּבַשׁ	dvaʃ
דְּמָמָה	dmama
דְּמוּת	dmut
דִּיּוּן	dijun
דִּינָמִיקָה	dinamika
דִּיר	diʁ
דִּירָה	diʁa
דִּמְיוֹן	dimjon
דֵּעָה	deʔa
דֶּגֶל	deɡel
דֶּקֶל	dekel
דֶּשֶׁא	deʃe
דַּחְלִיל	daχlil
דַּעַת	daʔat
דַּרְכּוֹן	daʁkon
דָּג	daɡ
דָּחוּף	daχuf
דָּם	dam
דָּן	dan
דָּנִי	dani
דָּת	dat
דֹּב	dov
דּוֹב	dov
דּוֹדָה	doda
הֲדָדִי	hadadi
הֲפָצָה	hafatsa
הֲצָצָה	hatsatsa
הֲרִיגָה	haʁiɡa
הֲרִיסָה	haʁisa
הִבִּיעַ	hibia
הִגִּיעַ	hiɡia
הִזְכִּיר	hizkiʁ
הִטְבִּיעַ	hitbia
הִיא	hi
הִסְתִּיר	histiʁ
הִסְתַּתֵּר	histateʁ
הִסְתּוֹבֵב	histovev
הִצְטַנֵּן	hitstanen
הִשְׁקִיעַ	hiʃkia
הִשְׁתַּגֵּעַ	hiʃtaɡea
הִשְׁתַּזֵּף	hiʃtazef
הִשְׁתַּלְּבוּת	hiʃtalvut
הִשְׁתַּלֵּט	hiʃtalet
הִשְׁתַּמֵּט	hiʃtamet
הִתְאַבְּדוּת	hitʔabdut
הִתְאַבֵּד	hitʔabed
הִתְאַגֵּד	hitʔaɡed
הִתְאַפֵּר	hitʔapeʁ
הִתְאוֹשֵׁשׁ	hitʔoʃeʃ
הִתְבַּטֵּל	hitbatel
הִתְגַּשֵּׁם	hitɡaʃem
הִתְגָּאָה	hitɡaʔa
הִתְגָּרֵשׁ	hitɡaʁeʃ
הִתְחַלֵּק	hitχalek
הִתְחַמֵּק	hitχamek
הִתְחַפֵּשׂ	hitχapes
הִתְחַתֵּן	hitχaten
הִתְכַּרְבֵּל	hitkaʁbel
הִתְכַּתֵּב	hitkatev
הִתְלוֹנֵן	hitlonen
הִתְמַקֵּחַ	hitmakeaχ
הִתְנַחְשֵׁל	hitnaχʃel
הִתְנַצֵּל	hitnatsel
הִתְנַתְּקוּת	hitnatkut
הִתְעַרְבֵּב	hitʔaʁbev
הִתְפַּלֵּשׁ	hitpaleʃ
הִתְפַּנָּה	hitpana
הִתְפַּעֵל	hitpaʔel
הִתְפַּשֵּׁט	hitpaʃet
הִתְרַפֵּא	hitʁape
הֵבִיא	hevi
הֵם	hem
הֵן	hen
הֵקִים	hekim
הֶבֶל	hevel
הֶחְלִיף	heχlif
הַבְדָּלָה	havdala
הַגְעָלָה	haɡʔala
הַזְמָנָה	hazmana
הַנְדָּסָה	handasa
הַצְלָחָה	hatslaχa
הַר	haʁ
הַרְאֵל	haʁʔel
הַרְבֵּה	haʁbe
הַרְגָּשָׁה	haʁɡaʃa
הַשְׁלָכָה	haʃlaχa
הַשְׁקָיָה	haʃkaja
הַשְׁקָעָה	haʃkaʔa
הַשׁוֹאָה	haʃoʔa
הַתְאָמָה	hatʔama
הָאָרֶץ	haʔaʁets
הָזוּי	hazuj
הָיִיתִי	hajiti
הָיָה	haja
הָלְאָה	halʔa
הָמָה	hama
הָמוֹן	hamon
הָרֶגַע	haʁeɡa
הָרוּג	haʁuɡ
הוֹאִיל	hoʔil
הוֹדָה	hoda
הוֹמוֹ	homo
הוֹסִיף	hosif
הוֹעִיל	hoʔil
הוֹפִיעַ	hofia
הוֹצִיא	hotsi
הוֹקִיעַ	hokia
הוּא	hu
וִיסְקִי	viski
זְאֵב	zeʔev
זְבוּב	zvuv
זְכוּכִית	zχuχit
זְמַן	zman
זִיז	ziz
זִלְזוּל	zilzul
זֶה	ze
זֶרֶם	zeʁem
זַג	zaɡ
זָב	zav
זָהָב	zahav
זָז	zaz
זוֹמְבִּי	zombi
זוֹנָה	zona
זוּטָה	zuta
חֲבִילָה	χavila
חֲבִיתָה	χavita
חֲגוֹרָה	χaɡoʁa
חֲדִירָה	χadiʁa
חֲדָשׁוֹת	χadaʃot
חֲזִיז	χaziz
חֲזִיר	χaziʁ
חֲזָקָה	χazaka
חֲזָרָה	χazaʁa
חֲטִיבָה	χativa
חֲטִיף	χatif
חֲלַקְלַק	χalaklak
חֲלוֹם	χalom
חֲלוֹמוֹת	χalomot
חֲמוּצִית	χamutsit
חֲנִית	χanit
חֲנוּת	χanut
חֲפַרְפֶּרֶת	χafaʁpeʁet
חֲצָאִית	χatsaʔit
חֲצוֹת	χatsot
חֲרֵדִי	χaʁedi
חֲרֵדִיִּים	χaʁedijim
חֲרֵדִים	χaʁedim
חֲרָטָה	χaʁata
חֲשִׁיבָה	χaʃiva
חֲשָׁשׁ	χaʃaʃ
חֲתוּלָה	χatula
חִיּוּבִי	χijuvi
חֵרֶם	χeʁem
חֶבְרוֹן	χevʁon
חֶלְקִית	χelkit
חֶמְאָה	χemʔa
חֶסֶד	χesed
חֶשְׁבּוֹן	χeʃbon
חַי	χaj
חַיִּים	χajim
חַיָּה	χaja
חַכְלִיל	χaχlil
חַכְלִילִית	χaχlilit
חַלָּשׁ	χalaʃ
חַלּוֹן	χalon
חַם	χam
חַמַאס	χamas
חַמַאסְנִיק	χamasnik
חַמָּה	χama
חַקְלָאִי	χaklaʔi
חַקְלָאוּת	χaklaʔut
חַשְׁמַל	χaʃmal
חָבֵר	χaveʁ
חָדָשׁ	χadaʃ
חָטַף	χataf
חָכָם	χaχam
חָל	χal
חָלָל	χalal
חָלָס	χalas
חָלוּץ	χaluts
חָלוּק	χaluk
חָמִים	χamim
חָמוּץ	χamuts
חָמוּשׁ	χamuʃ
חָסִיד	χasid
חָרִיג	χaʁiɡ
חָרִיף	χaʁif
חָרָא	χaʁa
חָרָה	χaʁa
חָשַׁב	χaʃav
חָשַׂף	χasaf
חָשׁ	χaʃ
חָתָן	χatan
חָתוּל	χatul
חֻמָּשׁ	χameʃ
חוֹב	χov
חוֹבָה	χova
חוֹזֵר	χozeʁ
חוֹלֶה	χole
חוֹף	χof
חוֹפֶן	χofen
חוֹקֵר	χokeʁ
חוֹרֵג	χoʁeɡ
טִיל	til
טִיסָה	tisa
טִפְטוּף	tiftuf
טֶבַע	teva
טֶלֶפוֹן	telefon
טֶמְפֵּרָטוּרָה	tempeʁatuʁa
טַל	tal
טַלִּית	talit
טַעַם	taʔam
טָס	tas
טָעוּת	taʔut
טוֹב	tov
יְבוּל	jevul
יְהוֹנָתָן	jehonatan
יְהוּדָה	jehuda
יְחִידָה	jeχida
יְמָנִי	jemani
יְסוֹד	jesod
יְרִיעָה	jeʁiʔa
יִצְחָק	jitsχak
יִשְׁמָעֵאל	jiʃmaʔel
יֵשׁ	jeʃ
יֵשׁוּ	jeʃu
יֶדַע	jeda
יֶרִי	jeʁi
יַהֲדוּת	jahadut
יַהֲלוֹם	jahalom
יַיִן	jajin
יַעַד	jaʔad
יַעַר	jaʔaʁ
יַרְדֵּנָה	jaʁdena
יָדָה	jada
יָזִיז	jaziz
יָם	jam
יָעֵל	jaʔel
יָפֶה	jafe
יָצָא	jatsa
יָרֵךְ	jaʁeχ
יָרָה	jaʁa
יָשַׁב	jaʃav
יֹקֶר	jakaʁ
יוֹד	jod
יוֹם	jom
יוֹמוֹן	jomon
יוֹן	jon
יוֹנָה	jona
יוֹנָתָן	jonatan
יוֹסֵף	josef
יוֹתֵר	joteʁ
כְּבָר	kvaʁ
כְּדַאי	kedaj
כְּדַי	kedej
כְּלָבִים	klavim
כְּלָל	klal
כְּלוֹמַר	klomaʁ
כְּלוּם	klum
כְּמוֹ	kmo
כְּנֶסֶת	kneset
כְּפָפָה	kfafa
כְּתִיב	ktiv
כְּתִיבָה	ktiva
כִּמְעַט	kimʔat
כֵּיף	kef
כֵּן	ken
כֶּנֶס	kenes
כֶּרֶם	keʁem
כֶּתֶר	keteʁ
כַּאֲשֶׁר	kaʔaʃeʁ
כַּדּוּר	kaduʁ
כַּדּוּרֶגֶל	kaduʁeɡel
כַּיּוֹם	kajom
כַּלְבָּה	kalba
כַּלֶּבֶת	kalevet
כַּלָּה	kala
כַּנִּרְאֶה	kaniʁʔe
כַּסְפִּית	kaspit
כַּעַס	kaʔas
כַּת	kat
כָּאן	kan
כָּבֵד	kaved
כָּבוֹד	kavod
כָּךְ	kaχ
כָּכָה	kaχa
כָּרִית	kaʁit
כָּרָגִיל	kaʁaɡil
כָּתַב	katav
כָּתוּב	katuv
כֹּל	kol
כּוֹהֵן	kohen
כּוֹסִית	kosit
כּוֹתֵב	kotev
לְהִתְרָאוֹת	lehitʁaʔot
לְהֶפֶךְ	lehefeχ
לְמַטָּה	lemata
לִפְנֵי	lifnej
לִקְרַאת	likʁat
לֵב	lev
לֶחֶם	leχem
לֶסֶת	leset
לַהֲקָה	lahaka
לַחַץ	laχats
לָבַשׁ	lavaʃ
לָגֶשֶׁת	laɡeʃet
לָה	la
לָהָה	laha
לָחַשׁ	laχaʃ
לָמַד	lamad
לָמָה	lama
לָקוֹחַ	lakoaχ
לָרוֹב	laʁov
לָשִׂים	lasim
לָשׁוֹן	laʃon
לֹא	lo
לוּחַ	luaχ
מְאוֹד	meʔod
מְבוּלְבָּל	mevulbal
מְהַגֵּר	mehaɡeʁ
מְהַנְדֵּס	mehandes
מְחַבֵּל	meχabel
מְטַפֵּל	metapel
מְכַשֵּׁפָה	meχaʃefa
מְנַשֶּׁה	menaʃe
מְעִיל	meʔil
מְעַט	meʔat
מְעָרָה	meʔaʁa
מְפַרְסֵם	mefaʁsem
מְצִיצָה	metsitsa
מְרַגֵּל	meʁaɡel
מְשׁוֹרֵר	meʃoʁeʁ
מִבְצָר	mivtsaʁ
מִבְרֶשֶׁת	mivʁeʃet
מִגְדָּל	miɡdal
מִדְשָׁאָה	midʃaʔa
מִזְרָח	mizʁaχ
מִזְרוֹן	mizʁon
מִטְבָּח	mitbaχ
מִיכָה	miχa
מִילָה	mila
מִין	min
מִיקְרוֹפוֹן	mikʁofon
מִישֶׁהִי	miʃehi
מִיתָה	mita
מִכְתָּב	miχtav
מִלְחָמָה	milχama
מִנְזָר	minzaʁ
מִסְגָּד	misɡad
מִפְלָגָה	miflaɡa
מִפְלָט	miflat
מִפְעָל	mifʔal
מִפְקָדָה	mifkada
מִצְרַיִם	mitsʁajim
מִקְלֶדֶת	mikledet
מִקְלַחַת	miklaχat
מִקְצוֹעַ	miktsoa
מִקְרָא	mikʁa
מִרְפֶּסֶת	miʁpeset
מִשְׁכָּן	miʃkan
מִשְׁפָּחָה	miʃpaχa
מִשְׁפָּט	miʃpat
מִשְׁקָל	miʃkal
מִשְׁתֶּה	miʃte
מִשְׁתָּלָה	miʃtala
מִשְׂחָק	misχak
מֵאָה	meʔa
מֵאוֹת	meʔot
מֵבִיךְ	meviχ
מֵחָדָשׁ	meχadaʃ
מֵצַח	metsaχ
מֵרַב	meʁav
מֵרוֹץ	meʁots
מֶחְדָּל	meχdal
מֶלֶךְ	meleχ
מֶקְסִיקוֹ	meksiko
מֶשֶׁק	meʃek
מַאֲכָל	maʔaχal
מַגְנֵט	maɡnet
מַגְעִיל	maɡʔil
מַגֶּבֶת	maɡevet
מַדְבֵּקָה	madbeka
מַדְרִיךְ	madʁiχ
מַדְרֵגוֹת	madʁeɡot
מַהֵר	maheʁ
מַהוּת	mahut
מַזְגָן	mazɡan
מַזָּל	mazal
מַחְשֵׁב	maχʃev
מַחֲלָה	maχala
מַחֲנֶה	maχane
מַטְבֵּעַ	matbea
מַטְמוֹן	matmon
מַיְמוֹן	mimun
מַלְחִין	malχin
מַלְכָּה	malka
מַלְכוּת	malχut
מַמְתָּק	mamtak
מַמָּשׁ	mamaʃ
מַס	mas
מַסְפִּיק	maspik
מַעֲרָב	maʔaʁav
מַעֲרָךְ	maʔaʁaχ
מַפְסִידָן	mafsidan
מַצְחִיק	matsχik
מַצְלֵמָה	matslema
מַצֶּגֶת	matseɡet
מַצָּב	matsav
מַצָּה	matsa
מַר	maʁ
מַרְאֶה	maʁʔe
מַרְגֵּמָה	maʁɡema
מַרְכּוֹל	maʁkol
מַרְתֵּף	maʁtef
מַשְׁקֶה	maʃke
מַשָּׂאִית	masaʔit
מַתָּנָה	matana
מָגֵן	maɡen
מָה	ma
מָהִיר	mahiʁ
מָהַל	mahal
מָהוּל	mahul
מָחַץ	maχats
מָטוֹס	matos
מָלוֹן	malon
מָסַךְ	masaχ
מָעַל	meʔal
מָצָא	matsa
מָצוּי	matsuj
מָקוֹם	makom
מָרוֹר	maʁoʁ
מָתֵמָטִיקָה	matematika
מָתַי	mataj
מָתוֹק	matok
מֹשֶׁה	moʃe
מוֹאָב	moʔav
מוֹט	mot
מוֹלֶדֶת	moledet
מוֹנֶה	mone
מוֹעֵד	moʔed
מוֹפֵת	mofet
מוֹצָא	motsa
מוּבָן	muvan
מוּדָע	muda
מוּזָר	muzaʁ
מוּכָן	muχan
מוּם	mum
נְבִיחָה	neviχa
נְבוּאָה	nevuʔa
נְגִיעָה	neɡiʔa
נְקֵבָה	nekeva
נְקָמָה	nekama
נְשִׁימָה	neʃima
נִבְהַל	nivhal
נִגְמַר	niɡmaʁ
נִגְעַל	niɡʔal
נִדְקַר	nidkaʁ
נִטְמַע	nitma
נִישָׁה	niʃa
נִכְנַע	niχna
נִכְתַּב	niχtav
נִלְחַם	nilχam
נִמְאַס	nimʔas
נִמְהַל	nimhal
נִמְלַט	nimlat
נִמְצָא	nimtsa
נִצְעַק	nitsʔak
נִרְדַּם	niʁdam
נִרְטַב	niʁtav
נִשְׁבַּר	niʃbaʁ
נִשְׁכַּח	niʃkaχ
נִשְׂכַּר	niskaʁ
נִתְפַּס	nitpas
נִתְקַל	nitkal
נֶכֶס	neχes
נַחֲלָה	naχala
נָאוֹת	naʔot
נָדַב	nadav
נָדַם	nadam
נָהַג	nahaɡ
נָהָר	nahaʁ
נָזִיר	naziʁ
נָחָשׁ	naχaʃ
נָכוֹן	naχon
נָם	nam
נָמוּךְ	namuχ
נָעַר	naʔaʁ
נָפַל	nafal
נָקִי	naki
נָשׂוּי	nasuj
נָתוּן	natun
נוֹד	nod
נוֹסַף	nosaf
נוֹף	nof
נוֹפֵשׁ	nofeʃ
נוֹקֵד	noked
נוֹרְמָלִי	noʁmali
נוֹרְמָלִיזָצְיָה	noʁmalizatsja
נוֹרָא	noʁa
נוֹרָאִי	noʁaʔi
סְדוֹם	sdom
סְמִיכוּת	smiχut
סְנִיף	snif
סְנֶה	sne
סְפִינָה	sfina
סְפֶּצִיפִית	spetsifit
סְפָרַד	sfaʁad
סְפָרַדִּית	sfaʁadit
סְקַנְדְּיוּם	skandjum
סְתִירָה	stiʁa
סְתָם	stam
סִיּוּט	sijut
סִיב	siv
סִידָן	sidan
סִיר	siʁ
סִפְרוּת	sifʁut
סִרְטוֹן	siʁton
סֵמֶל	semel
סַבְלָנוּת	savlanut
סַבּוֹן	sabon
סַגְרִיר	saɡʁiʁ
סַכִּין	sakin
סַלְמוֹן	salmon
סַמְכוּת	samχut
סַמְכוּתִי	samχuti
סַקְרָנוּת	sakʁanut
סָבְתָא	savta
סָמוּךְ	samuχ
סוֹבֵב	sovev
סוֹד	sod
סוֹף	sof
סוּלְיָה	sulja
סוּס	sus
עֲבוֹדָה	ʔavoda
עֲטָרָה	ʔataʁa
עֲמוֹרָה	ʔamoʁa
עֲרָפֶל	ʔaʁafel
עִבְרִית	ʔivʁit
עִיּוּן	ʔijun
עִיר	ʔiʁ
עֵשֶׂב	ʔesev
עֵת	ʔet
עֶזְרָה	ʔezʁa
עַבְדוּת	ʔavdut
עַד	ʔad
עַזָּה	ʔaza
עַקְשָׁן	ʔakʃan
עַרְכָּאָה	ʔaʁkaʔa
עָלוּל	ʔalul
עָנִי	ʔani
עָנָן	ʔanan
עָנָף	ʔanaf
עָשִׁיר	ʔaʃiʁ
עָשׂוֹר	ʔasoʁ
עָתִיד	ʔatid
עוֹד	ʔod
עוֹרֵב	ʔoʁev
פְּסַנְתֵּר	psanteʁ
פְּסוּקִית	psukit
פְּצָצָה	ptsatsa
פְּרִי	pʁi
פְּרִיט	pʁit
פְּרָחִים	pʁaχim
פְּרָטִיּוּת	pʁatijut
פִּי	pi
פִּין	pin
פִּיצָה	pitsa
פִּצְעוֹן	pitsʔon
פִּרְסוּם	piʁsum
פִּתְגָּם	pitɡam
פִּתְרוֹן	pitʁon
פִיזִי	fizi
פֵּאָה	peʔa
פֶּרֶא	peʁe
פֶדֶרַצְיָה	fedeʁatsja
פַּחְדָן	paχdan
פַּחַד	paχad
פַּעֲמוֹן	paʔamon
פַּרְנָסָה	paʁnasa
פַּשְׁטוּת	paʃtut
פַּת	pat
פָּסוּל	pasul
פָּקִיד	pakid
פָּתוּחַ	patuaχ
צְדָקָה	tsdaka
צְחוֹק	tsχok
צְפַת	tsfat
צִבְעוֹנִי	tsivʔoni
צִי	tsi
צִיּוֹן	tsijon
צִיצִית	tsitsit
צֵלָע	tsela
צֶאֱצָא	tseʔetsa
צֶדַע	tseda
צֶמֶר	tsemeʁ
צַדִּיק	tsadik
צַחֲנָה	tsaχana
צַלֶּקֶת	tsaleket
צַלַּחַת	tsalaχat
צַעַר	tsaʔaʁ
צַר	tsaʁ
צַרְכָן	tsaʁχan
צָחַק	tsaχak
צָלָה	tsala
צָנַח	tsanaχ
צָעַק	tsaʔak
צָפוּף	tsafuf
צָרְפָתִית	tsaʁfatit
צָרִיךְ	tsaʁiχ
צָרַח	tsaʁaχ
צֹאן	tson
צוֹאָה	tsoʔa
צוּפָן	tsofen
צוּק	tsuk
צוּר	tsuʁ
קְבוּצָה	kvutsa
קְבוּרָה	kvuʁa
קְטַנְטַן	ktantan
קְמִיצָה	kmitsa
קְרִינָה	kʁina
קְשִׁישָׁה	kʃiʃa
קִדְמִי	kidmi
קֵץ	kets
קֶבֶר	keveʁ
קֶמַח	kemaχ
קֶסֶם	kesem
קֶצֶף	ketsef
קֶשֶׁת	keʃet
קַבָּלָה	kabala
קַדַּחְתָּנִי	kadaχtani
קַח	kaχ
קַיִץ	kajits
קַל	kal
קַלָּה	kala
קַמְצָן	kamtsan
קַפְרִיסִין	kafʁisin
קַר	kaʁ
קַרְקַע	kaʁka
קַשׁ	kaʃ
קָדַח	kadaχ
קָהָל	kahal
קָטָן	katan
קָטוֹן	katon
קָלִיל	kalil
קָמִין	kamin
קָפָא	kafa
קָפוּא	kafu
קָצִיר	katsiʁ
קָצָר	katsaʁ
קָצוּץ	katsuts
קָרָה	kaʁa
קָרוֹב	kaʁov
קָשֶׁה	kaʃe
קוֹד	kod
קוֹל	kol
קוֹלָנִי	kolani
קוֹלוֹסוּס	kolosus
קוֹמְבִּינָה	kombina
קוֹמִי	komi
קוֹף	kof
קוֹשֵׁשׁ	koʃeʃ
רְחִיצָה	ʁeχitsa
רְחוֹב	ʁeχov
רְכוּשׁ	ʁeχuʃ
רְצִיחָה	ʁetsiχa
רִאשׁוֹן	ʁiʃon
רִבְקָה	ʁivka
רִיב	ʁiv
רִיצָה	ʁitsa
רֵאשִׁית	ʁeʃit
רֶצֶף	ʁetsef
רֶשֶׁת	ʁeʃet
רַב	ʁav
רַךְ	ʁaχ
רַע	ʁa
רַעַל	ʁaʔal
רַק	ʁak
רַקָּה	ʁaka
רָדָה	ʁada
רָחֵל	ʁaχel
רָחַץ	ʁaχats
רָחָב	ʁaχav
רָחוֹק	ʁaχok
רָמָה	ʁama
רָצָה	ʁatsa
רֹאשָׁן	ʁoʃan
רֹאשׁ	ʁoʃ
רוֹמָנִית	ʁomanit
רוֹצִים	ʁotsim
רוֹצֵחַ	ʁotseaχ
רוֹצוֹת	ʁotsot
רוֹק	ʁok
שְׁאֵלָה	ʃeʔela
שְׁבִיל	ʃvil
שְׁבוּעָה	ʃvuʔa
שְׁגִיאָה	ʃɡiʔa
שְׁחִיטָה	ʃχita
שְׁכִינָה	ʃχina
שְׁכֶם	ʃχem
שְׁכוּנָה	ʃχuna
שְׁלִילִי	ʃlili
שְׁלֹמֹה	ʃlomo
שְׁלוֹשָׁה	ʃloʃa
שְׁלוּלִית	ʃlulit
שְׁנִיצֶל	ʃnitsel
שְׁנַייִם	ʃnajim
שִׁיבָה	ʃiva
שִׁיטָה	ʃita
שִׁיר	ʃiʁ
שִׁירוֹת	ʃeʁut
שִׁישָּׁה	ʃiʃa
שִׁכְבָה	ʃiχva
שִׁכְלוּל	ʃiχlul
שִׁלְטוֹן	ʃilton
שִׁלְטוֹנִי	ʃiltoni
שִׁלְשׁוֹם	ʃilʃom
שִׁמְעוֹן	ʃimʔon
שִׁמְשׁוֹן	ʃimʃon
שִׂיחָה	siχa
שִׂמְלָה	simla
שִׂנְאָה	sinʔa
שֵׁן	ʃen
שֵׁשׁ	ʃeʃ
שֶׁטַח	ʃetaχ
שֶׁלֶג	ʃeleɡ
שֶׁמֶשׁ	ʃemeʃ
שֶׁקֶר	ʃekeʁ
שֶׁתֶן	ʃeten
שַׁבָּת	ʃabat
שַׁדְרָן	ʃadʁan
שַׁחַר	ʃaχaʁ
שַׁקְרָן	ʃakʁan
שַׂקִּים	sakim
שָׁאַל	ʃaʔal
שָׁבוּי	ʃavuj
שָׁבוּר	ʃavuʁ
שָׁד	ʃad
שָׁטוּחַ	ʃatuaχ
שָׁלוֹם	ʃalom
שָׁלוֹשׁ	ʃaloʃ
שָׁנָה	ʃana
שָׁעָה	ʃaʔa
שָׁרוֹן	ʃaʁon
שָׁרוֹנָה	ʃaʁona
שָׂטָן	satan
שׁוֹטֵף	ʃotef
שׁוֹטֵר	ʃoteʁ
שׁוֹפְכָן	ʃofχan
שׁוֹר	ʃoʁ
שׁוּב	ʃuv
שׁוּעָל	ʃuʔal
שׂוֹנֵא	sone
תְּזוּזָה	tzuza
תְּמוּנָה	tmuna
תְּנוּעָה	tnuʔa
תְּפִירָה	tfiʁa
תְּפוּצָה	tfutsa
תְּרוּמָה	tʁuma
תְּרוּעָה	tʁuʔa
תְּרוּעוֹת	tʁuʔot
תְּרוּפָה	tʁufa
תְּשׁוּבָה	tʃuva
תִּינוֹק	tinok
תִּירוֹשׁ	tiʁoʃ
תִּכְנֵן	tiχnen
תִּקְרָה	tikʁa
תִּשְׁעָה	tiʃʔa
תֵּבֵל	tevel
תֶּזָה	teza
תֶּכֶף	teχef
תַּאֲרִיךְ	taʔaʁiχ
תַּבְלִין	tavlin
