# Vietnamese rhyme (toneless orthography after onset) -> IPA (nucleus+coda+glide). Derived from espeak-ng-portable.
a	aː
oat	waːt̪
oay	waj
oc	ɔk
oca	ɔkaː
ocky	ɔki
ocmai	ɔkmaːj
oco	ɔkɔ
ocong	ɔkɔŋ
oe	wɛ
oem	wɛm
oen	wɛn
oeo	wɛw
oet	wɛt̪
oi	ɔj
oin	ɔjn
oing	ɔjŋ
okemon	ɔɛmɔn
oki	ɔi
okia	ɔiə
om	ɔm
oma	ɔmaː
oman	ɔmaːn
ome	ɔmɛ
omen	ɔmɛn
omeo	ɔmɛw
omi	ɔmi
oming	ɔmiŋ
ommy	ɔmmi
omo	ɔmɔ
ompong	ɔmpɔŋ
on	ɔn
ona	ɔnaː
onan	ɔnaːn
one	ɔnɛ
ong	ɔŋ
onga	ɔŋaː
ongkong	ɔŋɔŋ
ongo	ɔŋɔ
oni	ɔni
onia	ɔniə
onique	əniːk
onna	ɔnnaː
onny	ɔnni
ono	ɔnɔ
onte	ɔnt̪ɛ
ontum	ɔnt̪um
ony	ɔni
oo	ɔ
ooai	ɔaːj
ooking	ɔiŋ
oom	ɔm
oon	ɔn
oone	ɔnɛ
oot	ɔt̪
op	ɔp
opa	ɔpaː
ope	ɔpɛ
open	ɔpɛn
opy	ɔpi
orn	ɔːn
orton	ɔːtən
ot	ɔt̪
ota	ɔt̪aː
ote	ɔt̪ɛ
oting	ɔt̪iŋ
oto	ɔt̪ɔ
oton	ɔt̪ɔn
otta	ɔt̪t̪aː
otte	ɔt̪t̪ɛ
otti	ɔt̪t̪i
otto	ɔt̪t̪ɔ
ottoman	ɔt̪t̪ɔmaːn
otton	ɔt̪t̪ɔn
ou	ww
ouch	wwk
ouge	wwɛ
ouis	uːi
ounge	wwŋɛ
ounty	wwnt̪i
oupe	wwpɛ
out	wwt̪
oy	wi
oya	wiə
oyama	wiəmaː
oyang	wiəŋ
oăc	wak
oăn	wan
oăng	waŋ
oăt	wat̪
port	pɔːt
pp	epepe
tore	tɔː
tôi	t̪oj
u	u
ua	uə
uae	uəɛ
uai	uəj
uam	uəm
uan	uən
uang	uəŋ
uc	uk
uca	uːkə
ue	wɛ
ui	uj
uin	ujn
uite	ujt̪ɛ
uka	uːkə
uke	uːk
um	um
uma	uːmə
uman	juːmən
umi	juːmi
un	un
una	uːnə
ung	uŋ
ungg	uŋ
uni	uːni
uo	wɔ
uomo	wɔmɔ
uong	wɔŋ
up	up
uper	uːpə
ut	ut̪
ute	juːt
utech	juːtɛk
utein	uːtiːn
uu	ww
uy	wi
uya	wiə
uych	wik
uyn	win
uynh	wiɲ
uyp	wip
uyt	wit̪
uyên	wiɛn
uyêt	wiɛt̪
uân	wən
uât	wət̪
uê	we
uêch	wek
uôc	uək
uôi	uəj
uôm	uəm
uôn	uən
uông	uəŋ
uôt	uət̪
uơ	wəː
uơc	wəːk
uơn	wəːn
uơng	wəːŋ
x	eik
y	i
ya	iə
yan	iən
yang	iəŋ
yangon	iəŋɔn
yanua	iənuə
yi	ij
ying	ijŋ
ym	im
yn	in
ynh	iɲ
yt	it̪
yêm	iɛm
yên	iɛn
yêt	iɛt̪
yêu	iɛw
â	ə
âc	ək
âm	əm
ân	ən
âng	əŋ
âp	əp
ât	ət̪
âu	əw
ê	e
êch	ek
êkip	eip
êm	em
ên	en
êng	eŋ
ênh	eɲ
ênin	enin
êp	ep
êt	et̪
êu	ew
ô	o
ôc	ok
ôi	oj
ôm	om
ôma	omaː
ôn	on
ông	oŋ
ôp	op
ôt	ot̪
ôtô	ot̪o
ă	a
ăc	ak
ăk	ak
ăm	am
ăn	an
ăng	aŋ
ăp	ap
ăt	at̪
ơ	əː
ơc	əːk
ơi	əːj
ơii	əːjj
ơm	əːm
ơn	əːn
ơng	əːŋ
ơp	əːp
ơt	əːt̪
ư	ɨ
ưa	ɨə
ưc	ɨk
ưi	ɨj
ưm	ɨm
ưng	ɨŋ
ưt	ɨt̪
ưu	iw
ươ	ɨə
ươc	ɨək
ươi	ɨəj
ươm	ɨəm
ươn	ɨən
ương	ɨəŋ
ươp	ɨəp
ươt	ɨət̪
ươu	ɨəw
