ᎯᎠ ᎪᏪᎵ ᎧᏃᎮᎭ ᎤᏁᏢᏔᏅᎡ ᏥᏌ ᎦᎶᏁᏛ, ᏕᏫ ᎤᏪᏥ, ᎡᏆᎭᎻ ᎤᏪᏥ.	hia koweli kʰanoheha unet͡ɬə̃tʰanə̃e t͡sisa kalonetə̃ , tewi uwet͡si , ekʷahami uwet͡si .
ᎠᏰᎵ ᏚᎾᏙᏢᏒ ᎠᎴ ᎦᏚ ᎠᏄᏬᏍᏗ ᎤᏬᎳᏨ ᎾᎥᎢ ᎯᎠ ᎠᏫᏒᏗ ᎧᏃᎮᎭ ᎠᏰᎵ ᎤᏙᏢᏒ, ᎠᎴ ᎾᏓᏛᏁᎲ 250,000 ᏂᎬᎾᏛ ᎠᏰᎵ ᎤᏬᎳᏨ ᏣᎳᎩ, ᎤᎭ ᎠᏰᎵ ᎭᏫᎾᏗᏢ ᏓᎵᏆ, ᎣᎦᎳᎰᎻ (ᎯᎠ ᏣᎳᎩ ᎠᏰᎵ ᎤᏙᏢᏒ ᎠᎴ ᎠᏫᏒᏗ ᎩᏚᏩ ᏗᏂᏤᎷᎯᏍᎩ ᏣᎳᎩ ᎠᏂᏴᏫ) ᎠᎴ ᎾᎾᎢ ᏣᎳᎩ, ᎤᏴᏢ ᎧᎶᎵᎾ (ᎧᎸᎬᎢᏗᏢ ᏗᏂᏤᎷᎯᏍᎩ ᏣᎳᎩ ᎠᏂᏴᏫ). ᎤᏔᏂᏗ ᎦᏙᎯ-ᎤᏬᎳᏨ ᏣᎳᎩ ᎠᏂᎳᏍᏓᎸ ᎤᎭ ᎠᏰᎵ ᎭᏫᎾᏗᏢ ᏣᏥᏱ, ᎻᏑᎵ ᎠᎴ ᎠᎳᏆᎹ. ᏐᎢ ᎡᏆ ᎠᎴ ᎤᏍᏗ ᎬᏙᏗ-ᎤᏬᎳᏨ ᏣᎳᎩ ᏧᎾᏙᏢᎯ ᎠᎴ ᎤᏂᎷᏨ ᎭᏫᎾᏗᏢ ᏲᏩᏁᎬ, ᎻᏑᎵ, ᏖᎾᏏ, ᎠᎴ ᏐᎢ ᎦᎷᎯᏍᏗ ᎭᏫᎾᏗᏢ ᎯᎠ ᎠᏫᏒᏗ ᎧᏃᎮᎭ.	ajeli tunatot͡ɬə̃sə̃ ale katu anuwosti uwolat͡sə̃ naə̃i hia awisə̃ti kʰanoheha ajeli utot͡ɬə̃sə̃ , ale natatə̃nehə̃ tʰaliskohit͡sikʷa hiskiskohi ijakajə̃li nikə̃natə̃ ajeli uwolat͡sə̃ t͡salaki , uha ajeli hawinatit͡ɬə̃ talikʷa , okalahomi hia t͡salaki ajeli utot͡ɬə̃sə̃ ale awisə̃ti kituwa tinit͡seluhiski t͡salaki anijə̃wi ale nanai t͡salaki , ujə̃t͡ɬə̃ kʰalolina kʰalə̃kə̃itit͡ɬə̃ tinit͡seluhiski t͡salaki anijə̃wi . utʰaniti katohi uwolat͡sə̃ t͡salaki anilastalə̃ uha ajeli hawinatit͡ɬə̃ t͡sat͡siji , misuli ale alakʷama . soi ekʷa ale usti kə̃toti uwolat͡sə̃ t͡salaki t͡sunatot͡ɬə̃hi ale unilut͡sə̃ hawinatit͡ɬə̃ jowanekə̃ , misuli , tʰenasi , ale soi kaluhisti hawinatit͡ɬə̃ hia awisə̃ti kʰanoheha .
ᎾᎥ ᏔᎾᏏ ᏛᏍᎩᏥ ᏙᏧᏙᎥ ᎦᏚᎲ, ᎤᎿ ᎨᏎ ᎤᎨᏓᎵᏴ ᏕᎨᎦᏨᏍᏔᏁ ᎠᏣᎳᎩ ᎤᎬᏩᏳᎯ	naə̃ tʰanasi tə̃skit͡si tot͡sutoə̃ katuhə̃ , uhna kese uketalijə̃ tekekat͡sə̃stʰane at͡salaki ukə̃wajuhi
ᏧᎸᏫᏍᏓᏁᏗ ᎪᏢᏅᏍᎬ ᎠᏕᎳ ᎤᏁᎦ ᎢᎬᏗᏍᎬ. ᎠᏍᎦᏯ ᎤᏩᏎ ᎤᏬᏢᏅ, ᎠᏥᏁᏍᏓ ᏁᎴ ᏏᏉᏯ ᏚᏙᎥ ᎤᏬᏪᎶᏗ ᎤᏬᏢᏅᏅ ᎦᎾᏕᎬ. ᎤᏚᎸᎮ ᏚᏙᎥ ᎤᏬᏪᎶᏗ ᏏᏉᏯ. ᎠᏎᏃ Ꮭ ᏯᎦᏔᎮ ᎤᏬᏪᎶᏗ. ᎪᏟᎩ ᎨᏎ ᎤᏪᎿᎢ ᎠᏍᎦᏯ ᏗᎦᎶᎩᏍᎩ. ᏣᎵ ᏧᏙᎢᏓ ᎥᏍᎩᏃ ᎤᏎᎮᎴ ᏲᏁᎦ ᎢᎬᏗ ᏚᏙᎥ ᎤᏬᏪᎳᎾ. ᎾᎯᏳ, ᏁᎳᏚ-ᏐᏁᎳ ᎤᎴᏅᎮ ᎠᏓᏅᏕᏍᎬ ᏣᎳᎩ ᎪᏪᎶᏗ.	t͡sulə̃wistaneti kot͡ɬə̃nə̃skə̃ atela uneka ikə̃tiskə̃ . askaja uwase uwot͡ɬə̃nə̃ , at͡sinesta nele sikʷoja tutoə̃ uwoweloti uwot͡ɬə̃nə̃nə̃ kanatekə̃ . utulə̃he tutoə̃ uwoweloti sikʷoja . aseno t͡ɬa jakatʰahe uwoweloti . kot͡ɬiki kese uwehnai askaja tikalokiski . t͡sali t͡sutoita ə̃skino usehele joneka ikə̃ti tutoə̃ uwowelana . nahiju , nelatu sonela ulenə̃he atanə̃teskə̃ t͡salaki koweloti .
ᏧᎳᏍᎩᎢ. ᏳᎧᏲᏌ ᎠᎹ ᎠᏘᏯᏍᎨ ᎠᎹ, ᏃᏊ ᏫᎦᎾᏕᎨᎢ. ᏁᎳᏚ ᏅᎩᏦᏁ ᎤᏕᏘᏴᏌᏗᏒ ᎢᏤ ᎢᏦᏓ ᎢᎬᎾᏕᎾ ᏗᏂᎳᏫᎩ ᎤᎾᏓᏡᎬ ᎤᏃᏢᏁ ᎤᏯᏟᏗ. ᎣᏂᏊᏳᏍᏗ ᎤᏅᎪᏤ ᏗᎦᎴᏔᏅ, ᏣᎳᎩ ᏧᎴᎯᏌᏅ, ᎤᎿ ᎥᏍᏊ ᎦᏚᎲ. ᏁᎳᏚ-ᏧᏁᎵᏦᏁ ᏣᎦᏟᎶᏍᏔᏅ ᎤᏂᏑᏫᏎ ᏩᏒᏓᏂ ᏩᏂᎦᏛ ᏧᏄᎦᏙᏗ ᎨᏥᎢᎸᏍᏗ ᏲᏁᎬ ᎤᎦᎳᎰᎹ ᏗᏝ.	t͡sulaskii . jukʰajosa ama atʰijaske ama , nokʷu wikanatekei . nelatu nə̃kit͡sone utetʰijə̃satisə̃ it͡se it͡sota ikə̃natena tinilawiki unatat͡ɬukə̃ unot͡ɬə̃ne ujat͡ɬiti . onikʷujusti unə̃kot͡se tikaletʰanə̃ , t͡salaki t͡sulehisanə̃ , uhna ə̃skʷu katuhə̃ . nelatu t͡sunelit͡sone t͡sakat͡ɬilostʰanə̃ unisuwise wasə̃tani wanikatə̃ t͡sunukatoti ket͡siilə̃sti jonekə̃ ukalahoma tit͡ɬa .
ᏥᏄᏍᏗ ᎠᏕᎸ ᎤᏁᎬ ᎠᏥᏅᏏᏓᏍᏗ, ᏏᏉᏯ ᏂᎦᏛ ᎤᏠᏱᎭ ᎬᏙᏗ ᎤᏍᏗ ᎦᎪ ᎠᏰᎲ ᏗᏓᏙᎳᏤᏗ ᎭᏫᎾᏗᏢ ᎯᎠ ᎡᏍᎦᏂ. ᎢᏳᏓᎵᎭ, ᎯᎠ ᎾᏰᎯᏯ ᏴᏩᏁᎬ ᎨᏒᎩ ᎠᏓᏕᏲᏅ ᎾᎥᎢ ᎤᎾᏤᎵ ᎠᏃᏪᎵᏍᎬ, ᏩᏎᎯᎲᎢ ᎤᎾᏤᎵ ᏓᎾᏓᏛᎪᏗᏍᎬ ᏥᏄᏍᏗ "ᎦᏬᏂᏍᎬ ᏧᎦᎶᎦ". ᏴᏩᏚᏫᏛ 1809, ᏏᏉᏯ ᎤᎴᏅᎲ ᏗᎦᎸᏫᏍᏓᏁᏗ ᎪᏢᏗ ᎢᏯᏛᏁᎵᏓᏍᏗ ᎠᏃᏪᎵᏍᎬ ᎾᏍᎩᎾᎢ ᎯᎠ ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ.	t͡sinusti atelə̃ unekə̃ at͡sinə̃sitasti , sikʷoja nikatə̃ ut͡ɬojiha kə̃toti usti kako ajehə̃ titatolat͡seti hawinatit͡ɬə̃ hia eskani . ijutaliha , hia najehija jə̃wanekə̃ kesə̃ki atatejonə̃ naə̃i unat͡seli anoweliskə̃ , wasehihə̃i unat͡seli tanatatə̃kotiskə̃ t͡sinusti kawoniskə̃ t͡sukaloka . jə̃watuwitə̃ ijakajə̃li nelaskohit͡sikʷa sonela , sikʷoja ulenə̃hə̃ tikalə̃wistaneti kot͡ɬə̃ti ijatə̃nelitasti anoweliskə̃ naskinai hia t͡salaki kawonihisti .
ᎯᎠ ᏚᏙᎥ ᎯᎠ ᏍᎦᏚᎩ ᎭᏢᏃ ᏏᏉᏯ ᎠᏰᎲ ᎠᎴᏂᏙᎸ ᎭᏫᎾᏗᏢ ᎣᎦᎳᎰᎻ ᏥᏄᏍᏛᎩ ᎦᏁᏟᏴᏓ ᏏᏉᏯ ᏍᎦᏚᎩ ᎭᏫᎾᏗᏢ 1851. ᎯᎳᎪ ᎢᏳ ᎣᎦᎳᎰᎻ ᏥᏄᏍᏛᎩ ᎤᏬᎯᏳᏔᏅ ᎯᎠ ᏗᏌᏊ ᎤᎾᎵᎪᎯ, Ꮎ ᎡᏍᎦᏂ ᎠᏓᏁᏟᏴᏍᏗ ᎤᎾᏅᏛ ᏥᏄᏍᏗ ᏏᏉᏯ ᏍᎦᏚᎩ.	hia tutoə̃ hia skatuki hat͡ɬə̃no sikʷoja ajehə̃ alenitolə̃ hawinatit͡ɬə̃ okalahomi t͡sinustə̃ki kanet͡ɬijə̃ta sikʷoja skatuki hawinatit͡ɬə̃ ijakajə̃li nelaskohit͡sikʷa hiskisko sakʷu . hilako iju okalahomi t͡sinustə̃ki uwohijutʰanə̃ hia tisakʷu unalikohi , na eskani atanet͡ɬijə̃sti unanə̃tə̃ t͡sinusti sikʷoja skatuki .
ᏏᏉᏯ ᎦᎸᎳᏗ ᏗᏕᎶᏆᏍᏗ (ᎣᎦᎳᎰᎻ) ᎨᏒᎢ ᎾᏰᎯᏯ ᏴᏩᏁᎬ ᎠᏥᏍᏆᏂᎪᏛ ᏗᏕᎶᏆᏍᏗ ᏓᎪᎥᎩ ᎤᎶᏐᏅ ᎯᎠ ᎪᎷᏩᏛᏗ ᎯᎠ ᏣᎳᎩ ᏣᎳᎩ ᏗᎪᏪᎵ.	sikʷoja kalə̃lati titelokʷasti okalahomi kesə̃i najehija jə̃wanekə̃ at͡siskʷanikotə̃ titelokʷasti takoə̃ki ulosonə̃ hia koluwatə̃ti hia t͡salaki t͡salaki tikoweli .
ᎭᏫᎾᏗᏢ ᎠᎾᎵᏏᎾᎯᏍᏗᏍᎩ, ᎾᎿᎢ ᎠᎴ ᏧᏓᎴᏅᏓ ᏩᏎᏍᏗ ᎾᎿ ᎾᏍᎩᎾᎢ ᎠᏕᎳ, ᎤᏁᎳᎩ ᎾᏍᎩ ᎾᏍᏊ ᎾᏍᎩ ᎨᏒᎢ ᎾᏊ ᏱᏓᏟᎶᏍᏔᏅ ᎠᎦᏎᏍᏔᏅ ᎾᏍᏋ ᏂᎦᎵᏍᏗᏍᎬᎫ ᎣᏍᏛ ᎠᎴ ᎥᏓᏘᏁᎸ Ꮎ ᎠᎧᎵᏐᏗ ᎯᎠ ᎠᏕᎳ ᎤᏯᎾᏛᏁᏗ: ᎾᏍᏋ ᎠᏰᎵᏇ ᎢᏴ ᎦᏁᏟᏴᏍᏗ, ᎠᏓᎾᏅ ᏧᎬᏩᎶᏗ, ᎠᎴ ...	hawinatit͡ɬə̃ analisinahistiski , nahnai ale t͡sutalenə̃ta wasesti nahna naskinai atela , unelaki naski naskʷu naski kesə̃i nakʷu jitat͡ɬilostʰanə̃ akasestʰanə̃ naskʷə̃ nikalistiskə̃ku ostə̃ ale ə̃tatʰinelə̃ na akʰalisoti hia atela ujanatə̃neti , naskʷə̃ ajelikʷe ijə̃ kanet͡ɬijə̃sti , atananə̃ t͡sukə̃waloti , ale .
ᎠᏂᏃᎯᎵᏙᎲ ᎨᏒᎢ ᎯᎠ ᎠᎵᏏᎾᎯᏍᏙᏗ ᏗᎦᎸᏫᏍᏓᏁᏗ ᎦᎾᏝᎢ ᎠᏥᏂᏱᏍᎬ ᎠᎴ ᎠᏓᎯᏍᏗ ᎠᏂ ᎾᏍᎩᎾᎢ ᎠᎵᏍᏓᏴᏗ, ᎠᎴ ᏗᏓᏁᏟᏴᎡᏗ ᎭᏫᎾᏗᏢ ᎤᎾᏤᎵ ᎤᎾᏛᎯᏍᏔᏅ...	aninohilitohə̃ kesə̃i hia alisinahistoti tikalə̃wistaneti kanat͡ɬai at͡sinijiskə̃ ale atahisti ani naskinai alistajə̃ti , ale titanet͡ɬijə̃eti hawinatit͡ɬə̃ unat͡seli unatə̃histʰanə̃ .
ᎦᏬᏂᎯᏍᏗ ᎨᏒᎢ ᎢᏯᏛᏁᎵᏓᏍᏗ ᏂᎬᎢ, ᏯᏛᎿ ᏥᏄᏍᏗ ᎧᏁᎬ ᎤᏃᏴᎬᎢ, ᏄᏍᏛ ᏗᎧᏃᏗ ᎠᎴ ᎪᏪᎳᏅᎯ ᏗᎬᏟᎶᏍᏙᏗ, Ꮎ ... ᎠᏓᏃᎯᏎᏗ.	kawonihisti kesə̃i ijatə̃nelitasti nikə̃i , jatə̃hna t͡sinusti kʰanekə̃ unojə̃kə̃i , nustə̃ tikʰanoti ale kowelanə̃hi tikə̃t͡ɬilostoti , na . atanohiseti .
ᎤᏍᏗᏰᎬ ᎨᏒᎢ ᎠᏍᏓᏅᏅ ᎦᏂᏓᏛ ᏂᏛᎴᏅᏓ ᎯᎠ ᎦᏁᎦ, ᎠᏩᏛᏗ ᎠᎬᏫᏳᏛ ᎭᏫᎾᏗᏢ ᎦᏂᏝᎢ .	ustijekə̃ kesə̃i astanə̃nə̃ kanitatə̃ nitə̃lenə̃ta hia kaneka , awatə̃ti akə̃wijutə̃ hawinatit͡ɬə̃ kanit͡ɬai .
ᎥᎦᏔᎲᎢ ᎨᏒᎢ ᎠᏓᏃᎯᏎᏗ ᎦᏙ ᎤᏍᏗ ᎠᏏᏴᏫ, ᎤᎾᏙᏢᎯ ᎠᎴ ᏐᎢ ᎬᏂᎨᏒ ᏄᏍᏛᎢ ᎨᏒᎢ ᎦᏯᏙᎲᏍᏗ. ᎥᎦᏔᎲᎢ ᎨᏒᎢ ᎤᏁᏉᏤᎸ ᎢᏳᏍᏗᏊ ᎾᎥᎢ ᎤᎦᏙᎲᏒ, ᎠᎾᏕᎶᏆᏍᎬ ᎠᎴ ᎥᎦᏔᎲᎢ ᎠᎴ ᏗᎬᏩᎶᏒ ᎤᎾᎵᎪᏒ ᎠᎴ ᎤᏂᎦᏛᎲᏍᎩ. ᎯᎠ ᎠᎴᏂᏍᎬ ᎥᎦᏔᎲᎢ ᎨᏒᎢ ᎾᏍᎩ ᎾᏍᏇ ᎬᏔᏅᎯ ᎤᏁᎫᏥᏛ ᎯᎠ ᎤᏬᎯᏳ ᎪᎵᏍᏗᏱ ᎢᏳᏍᏗ ᎧᏃᎮᏗ, ᏰᎵᏊ ᏱᎩ ᎬᏙᏗ ᎯᎠ ᏅᏏᎾᏒ ᎬᏙᏗ ᎾᏍᎩ ᎾᏍᎩᎾᎢ ᏗᎪᏍᎩ ᎤᏰᎸᏛᎢ.	ə̃katʰahə̃i kesə̃i atanohiseti kato usti asijə̃wi , unatot͡ɬə̃hi ale soi kə̃nikesə̃ nustə̃i kesə̃i kajatohə̃sti . ə̃katʰahə̃i kesə̃i unekʷot͡selə̃ ijustikʷu naə̃i ukatohə̃sə̃ , anatelokʷaskə̃ ale ə̃katʰahə̃i ale tikə̃walosə̃ unalikosə̃ ale unikatə̃hə̃ski . hia aleniskə̃ ə̃katʰahə̃i kesə̃i naski naskʷe kə̃tʰanə̃hi unekut͡sitə̃ hia uwohiju kolistiji ijusti kʰanoheti , jelikʷu jiki kə̃toti hia nə̃sinasə̃ kə̃toti naski naskinai tikoski ujelə̃tə̃i .
ᎾᏊᏃ ᎡᏂᏗ ᏅᎩ ᎠᎴ ᎯᏍᎩ ᎢᏳᏕᏘᏴᏓ ᏥᎨᏎ, ᏧᎦᏴᎵᎨ ᎤᏂᏩᏎ ᎦᎾᏝᎢ ᏗᏛᎯᏍᏙᏗ ᎾᎥᏂᎨᏍᏗ ᎦᏇᏅᏙᏗ, ᎣᎦᎵᎰᎻ, ᎠᎴ ᎾᏍᏊ ᏗᎦᎶᎪᏗ ᎢᏗᏜ ᏄᎾᏛᏁᎴ. ᎡᏂᏗ ᏚᏕᎶᏆᎡ ᎦᏇᏅᏙᏗᎢ ᎠᎴ ᏚᏍᏆᏕ ᎡᎳᏗ ᎠᎴ ᎦᎸᎾᏗ ᏗᏕᎶᏆᏍᏗ ᎤᎿᎢ.	nakʷuno eniti nə̃ki ale hiski ijutetʰijə̃ta t͡sikese , t͡sukajə̃like uniwase kanat͡ɬai titə̃histoti naə̃nikesti kakʷenə̃toti , okalihomi , ale naskʷu tikalokoti itit͡ɬa nunatə̃nele . eniti tutelokʷae kakʷenə̃totii ale tuskʷate elati ale kalə̃nati titelokʷasti uhnai .
ᎡᏂᏗ ᏌᏊ ᏔᎵᏚ ᏗᎧᏂᏙᎯ ᎨᏎ ᎾᏍᎩ ᏗᏎᏍᏗ ᏗᏕᎶᏆᏍᏗ ᏓᏕᏲᎲᏍᎬ. ᎠᎾᏕᎳ ᎰᏍᎨ ᎣᏍᏓ ᏗᎨᎦᏃᏗ ᎨᏒ, ᎠᏎᏃ ᎠᎵᎪᏗ ᎨᏒ ᏝᏃ ᎬᏛᏛᏗ ᏱᎨᏎ.	eniti sakʷu tʰalitu tikʰanitohi kese naski tisesti titelokʷasti tatejohə̃skə̃ . anatela hoske osta tikekanoti kesə̃ , aseno alikoti kesə̃ t͡ɬano kə̃tə̃tə̃ti jikese .
