’परती टूटि रहल अछि’ - मैथिली कविता सङ्ग्रह - १९९३	pˈəɾt̪iː ʈˈuːʈɪ ɾˈəɦəl ˈət͡ʃʰɪ mˈəɪt̪ʰɪliː kˈəʋɪt̪aː sˈəŋɡɾəɦ ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ t̪ɪɾˈaːnʋe
सेनन अपन अभिनय जीवनक सुरुवात निर्देशक सुकुमारद्वारा निर्देशित २०१४ क मनोवैज्ञानिक थ्रिलर तेलुगु चलचित्र १:नेनोककाडीन सँ समीरा नामक पात्रक भूमिकासँ केनए छल । ई चलचित्रक विश्लेषकसभद्वारा मिश्रित प्रतिक्रिया प्राप्त केनए छल । द टाइम्स अफ इन्डिया क विश्लेषक सेननक अभिनय भूमिका आ सुन्दरताक बढिया आकलन केनए छल । तहिने सिफी.कम सेननक सुन्दरताक सराहना केनए छल आ साथे भूमिकाक बढिया बतेनै छल ।	sˈenən ˈəpən ˈəbʱɪnəj d͡ʒˈiːʋnək sʊɾʊʋˈaːt̪ nˈɪɾd̪eʃək sʊkʊmaːɾəd̪ʋˈaːɾaː nˈɪɾd̪eʃɪt̪ d̪ˈo ɦəzˈaːɾ t͡ʃˈəʊd̪əɦ kˈə mənoʋəɪd͡ʒɲˈaːnɪk t̪ʰɾˈɪləɾ t̪ˈelʊɡʊ t͡ʃəlt͡ʃˈɪt̪ɾ ˈek , nenokkaːɖˈiːn sˈə̃ səmˈiːɾaː nˈaːmək pˈaːt̪ɾək bʱuːmɪkˈaːsə̃ kˈenəe t͡ʃʰˈəl . ˈiː t͡ʃəlt͡ʃˈɪt̪ɾək ʋɪʃleʂkəsbʱəd̪ʋˈaːɾaː mˈɪʃɾɪt̪ pɾət̪ˈɪkɾɪjaː pɾˈaːpt̪ kˈenəe t͡ʃʰˈəl . d̪ˈə ʈaːˈɪms ˈəpʰ ˈɪnɖɪjaː kˈə ʋˈɪʃleʂək sˈennək ˈəbʱɪnəj bʱˈuːmɪkaː ˈaː sʊnd̪əɾt̪ˈaːk bˈəɖʱɪjaː ˈaːklən kˈenəe t͡ʃʰˈəl . t̪ˈəɦɪne sˈɪpʰiː . kˈəm sˈennək sʊnd̪əɾt̪ˈaːk səɾˈaːɦnaː kˈenəe t͡ʃʰˈəl ˈaː sˈaːt̪ʰe bʱuːmɪkˈaːk bˈəɖʱɪjaː bˈət̪enəɪ t͡ʃʰˈəl .
माले (, ) गणतन्त्र माल्दिभ्सक राजधानी आ सबसँ पैग सहर छी । एहि ठामक जनसङ्ख्या १,५३,३७९ आर ५.८किमी२ क्षेत्रफल अछि । ई सहर विश्वक सबसँ बेसी जनघनत्व भेल सहरक सूचीमे सँ एक छी । भौगोलिक रुपमे एहि सहर उत्तर मालेक दक्षिणी कोनमे अछि । प्रसासनिक रुपमे एहि सहरमे केन्द्रीय टापू, एक टापू विमानस्थल आर दुई अन्य टापूक अधिकार माले सहर परिषदलग अछि ।	mˈaːle , ɡəɳt̪ˈənt̪ɾ mˈaːld̪ɪbʱsək ɾˈaːd͡ʒd̪ʱaːniː ˈaː sˈəbsə̃ pˈəɪɡ sˈəɦəɾ t͡ʃʰˈiː . ˈeɦɪ ʈʰˈaːmək d͡ʒənsˈəŋkʰjaː ˈek lˈaːkʰ t̪ˈɪɾepən ɦəzˈaːɾ t̪ˈiːn sˈəʊ ʊnˈaːsiː ˈaːɾ pˈaː̃t͡ʃ d̪əʃˈəmləʋ ˈaːʈʰ kɪlomˈiːʈəɾ d̪ˈo kʂˈet̪ɾəpʰəl ˈət͡ʃʰɪ . ˈiː sˈəɦəɾ ʋˈɪʃʋək sˈəbsə̃ bˈesiː d͡ʒənəɡʱnˈət̪ʋ bʱˈel sˈəɦɾək suːt͡ʃˈiːme sˈə̃ ˈek t͡ʃʰˈiː . bʱˈəʊɡolɪk ɾˈʊpme ˈeɦɪ sˈəɦəɾ ˈʊt̪ːəɾ mˈaːlek d̪ˈəkʂɪɳiː kˈonme ˈət͡ʃʰɪ . pɾəsˈaːsnɪk ɾˈʊpme ˈeɦɪ səɦˈəɾme kend̪ɾˈiːj ʈˈaːpuː , ˈek ʈˈaːpuː ʋɪmaːnˈəst̪ʰəl ˈaːɾ d̪ˈʊiː ˈənj ʈaːpˈuːk əd̪ʱɪkˈaːɾ mˈaːle sˈəɦəɾ pəɾɪʂˈəd̪ləɡ ˈət͡ʃʰɪ .
नागदेवता, जामाचो गुम्वा गणेश मन्दिर आदि एतके प्रसिद्ध धार्मिक सम्पदामे परैत अछि ।	nˈaːɡd̪eʋt̪aː , d͡ʒaːmˈaːt͡ʃo ɡˈʊmʋaː ɡˈəɳeʃ mˈənd̪ɪɾ ˈaːd̪ɪ ˈet̪ke pɾˈəsɪd̪ʱː d̪ʱˈaːɾmɪk səmpəd̪ˈaːme pˈəɾəɪt̪ ˈət͡ʃʰɪ .
१ अप्रैल २०१४ स॑ ई बीबीसी वर्ल्ड सर्विस (१९३२ म॑ बीबीसी एम्पायर सर्विस के नाम स॑ शुरू करलऽ गेलऽ) क॑ भी वित्तपोषण करलकै, जे २८ भाषा म॑ प्रसारण करै छै आरू अरबी आरू फारसी म॑ व्यापक टीवी, रेडियो आरू ऑनलाइन सेवा प्रदान करै छै ।	ˈek ˈəpɾəɪl d̪ˈo ɦəzˈaːɾ t͡ʃˈəʊd̪əɦ sˈə ˈiː biːbˈiːsiː ʋˈəɾlɖ sˈəɾʋɪs ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ bət̪ːˈiːs mˈə biːbˈiːsiː empˈaːjəɾ sˈəɾʋɪs kˈe nˈaːm sˈə ʃˈʊɾuː kˈəɾlə ɡˈelə kˈə bʱˈiː ʋˈɪt̪ːəpoʂəɳ kəɾˈəlkəɪ , d͡ʒˈe əʈʈʰaːˈiːs bʱˈaːʂaː mˈə pɾəsˈaːɾəɳ kˈəɾəɪ t͡ʃʰˈəɪ ˈaːɾuː ˈəɾbiː ˈaːɾuː pʰˈaːɾsiː mˈə ʋjˈaːpək ʈˈiːʋiː , ɾˈeɖɪjo ˈaːɾuː ˈɔːnlaːɪn sˈeʋaː pɾəd̪ˈaːn kˈəɾəɪ t͡ʃʰˈəɪ .
तारक मेहता का उल्टा चश्मा - अंजली तारक मेहता	t̪ˈaːɾək mˈeɦt̪aː kˈaː ˈʊlʈaː t͡ʃˈəʃmaː ˈə̃ɲd͡ʒəliː t̪ˈaːɾək mˈeɦt̪aː
२०१६ आइसिसी वर्ल्ड ट्वान्टी-ट्वान्टी प्रतियोगिता आइसिसी वर्ल्ड ट्वान्टी-ट्वान्टीक छठम संस्करण छी । ई आइसिसी टुर्नामेन्ट भारतमे आयोजना होमत ।	d̪ˈo ɦəzˈaːɾ sˈoləɦ ˈaːɪsɪsiː ʋˈəɾlɖ ʈʋˈaːnʈiː ʈʋˈaːnʈiː pɾˈət̪ɪjoɡɪt̪aː ˈaːɪsɪsiː ʋˈəɾlɖ ʈʋˈaːnʈiː ʈʋaːnʈˈiːk t͡ʃʰˈəʈʰəm sˈə̃skəɾəɳ t͡ʃʰˈiː . ˈiː ˈaːɪsɪsiː ʈʊɾnaːmˈenʈ bʱaːɾˈət̪me aːjˈod͡ʒnaː ɦˈomət̪ .
वाजपेयीक राजनीतिक यात्रा - बीबीसी हिन्दी	ʋaːd͡ʒpejˈiːk ɾˈaːd͡ʒniːt̪ɪk jˈaːt̪ɾaː biːbˈiːsiː ɦˈɪnd̪iː
कर्कच कर्मैया रौतहट जिलाक एक गाउँ विकास समिति छी । विसं. २०६८ क जनगणना अनुसार कर्कच कर्मैयाक जनसंख्या ४,६८५ अछि ।	kˈəɾkət͡ʃ kˈəɾməɪjaː ɾəˈʊt̪ɦəʈ d͡ʒɪlˈaːk ˈek ɡˈaːʊ̃ ʋɪkˈaːs sˈəmɪt̪ɪ t͡ʃʰˈiː . ʋˈɪsə̃ . d̪ˈo ɦəzˈaːɾ ˈəɽsəʈʰ kˈə d͡ʒənɡˈəɳnaː ənʊsˈaːɾ kˈəɾkət͡ʃ kəɾməɪjˈaːk d͡ʒənsˈə̃ŋkʰjaː t͡ʃˈaːɾ ɦəzˈaːɾ t͡ʃʰˈəɦ sˈəʊ pət͡ʃˈaːsiː ˈət͡ʃʰɪ .
१९९६ - द प्रिया तेंदुलकर शो (टीवी टॉक शो)	ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ t͡ʃʰɪjˈaːnʋe d̪ˈə pɾˈɪjaː t̪ˈẽn̪d̪ʊlkəɾ ʃˈo ʈˈiːʋiː ʈˈɔːk ʃˈo
छटौल नेपालक मध्यमाञ्चल विकास क्षेत्र अन्तर्गत जनकपुर अञ्चलक सर्लाही जिलामें अवस्थित एक गाउँ विकास समिति छी ।	t͡ʃʰˈəʈəʊl nepˈaːlək məd̪ʱjəmˈaːɲt͡ʃəl ʋɪkˈaːs kʂˈet̪ɾ ənt̪ˈəɾɡət̪ d͡ʒənˈəkpʊɾ ˈəɲt͡ʃələk səɾlˈaːɦiː d͡ʒɪlˈaːmẽ əʋˈəst̪ʰɪt̪ ˈek ɡˈaːʊ̃ ʋɪkˈaːs sˈəmɪt̪ɪ t͡ʃʰˈiː .
सिसौटिया नेपालक मध्यमाञ्चल विकास क्षेत्र अन्तर्गत जनकपुर अञ्चलक सर्लाही जिलामें अवस्थित एक गाउँ विकास समिति छी ।	sˈɪsəʊʈɪjaː nepˈaːlək məd̪ʱjəmˈaːɲt͡ʃəl ʋɪkˈaːs kʂˈet̪ɾ ənt̪ˈəɾɡət̪ d͡ʒənˈəkpʊɾ ˈəɲt͡ʃələk səɾlˈaːɦiː d͡ʒɪlˈaːmẽ əʋˈəst̪ʰɪt̪ ˈek ɡˈaːʊ̃ ʋɪkˈaːs sˈəmɪt̪ɪ t͡ʃʰˈiː .
कुरुङ कुमे जिला भारतक अरुणाचल प्रदेश राज्यक एकटा जिला छी । ई जिलाक मुख्यालय कोलोरियांग सहर छी । एकर कूल क्षेत्रफल ६०४० वर्ग कि.मी. छी ।	kˈʊɾʊŋ kˈʊme d͡ʒˈɪlaː bʱˈaːɾt̪ək əɾʊɳˈaːt͡ʃəl pɾˈəd̪eʃ ɾˈaːd͡ʒjək ˈekʈaː d͡ʒˈɪlaː t͡ʃʰˈiː . ˈiː d͡ʒɪlˈaːk mʊkʰjˈaːləj koloɾɪjˈaː̃ŋɡ sˈəɦəɾ t͡ʃʰˈiː . ˈekəɾ kˈuːl kʂˈet̪ɾəpʰəl t͡ʃʰˈəɦ ɦəzˈaːɾ t͡ʃaːlˈiːs ʋˈəɾɡ kˈɪ . mˈiː . t͡ʃʰˈiː .
ज्ञान कलम, मसि सरस्वती, अंबर है मसिपात्र।	d͡ʒɲˈaːn kˈələm , mˈəsɪ səɾˈəsʋət̪iː , ˈə̃mbəɾ ɦˈəɪ məsɪpˈaːt̪ɾ .
केवलेनात्मबोधेन दृष्टं वेदार्थ संयुक्तम् ॥३॥	keʋlenˈaːt̪məbod̪ʱen d̪ɾˈɪʂʈə̃ ʋed̪ˈaːɾt̪ʰ sə̃jˈʊkt̪əm . t̪ˈiːn .
अर्चना एक भारतीय चलचित्र क्षेत्र अभिनेत्री छी। ओ मुख्यतः तेलगु तथा तमिल, बङ्गाली तथा कन्नड भाषाक चलचित्रसभमे काम केनए अछि। अर्चना सन् १९७३ मे हिन्दी चलचित्र 'यादों की बारात'सँ अपन अभिनय करियरक सुरुवात केनए अछि। ओ अपन अभिनयक कारण राष्ट्रिय चलचित्र पुरस्कार समेत जीतऽमे सफल भेल अछि। ओ सन् १९९२ मे 'चक्र व्युहम', सन् १९८८ मे 'यिगी वेमना' नामक तेलुगु चलचित्रमे अभिनय केनए अछि।	ˈəɾt͡ʃənaː ˈek bʱaːɾt̪ˈiːj t͡ʃəlt͡ʃˈɪt̪ɾ kʂˈet̪ɾ əbʱɪnˈet̪ɾiː t͡ʃʰˈiː . ˈo mˈʊkʰjət̪əh t̪ˈelɡʊ t̪ˈət̪ʰaː t̪ˈəmɪl , bəŋɡˈaːliː t̪ˈət̪ʰaː kˈənːəɖ bʱaːʂˈaːk t͡ʃəlt͡ʃɪt̪ɾəsˈəbʱme kˈaːm kˈenəe ˈət͡ʃʰɪ . ˈəɾt͡ʃənaː sˈən ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ t̪ˈɪɦət̪ːəɾ mˈe ɦˈɪnd̪iː t͡ʃəlt͡ʃˈɪt̪ɾ jˈaːd̪õ kˈiː baːɾˈaːt̪ sˈə̃ ˈəpən ˈəbʱɪnəj kəɾˈɪjɾək sʊɾʊʋˈaːt̪ kˈenəe ˈət͡ʃʰɪ . ˈo ˈəpən əbʱˈɪnjək kˈaːɾəɳ ɾˈaːʂʈɾɪj t͡ʃəlt͡ʃˈɪt̪ɾ pʊɾəskˈaːɾ sˈəmet̪ d͡ʒˈiːt̪me sˈəpʰəl bʱˈel ˈət͡ʃʰɪ . ˈo sˈən ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ bˈaːnʋe mˈe t͡ʃˈəkɾ ʋjˈʊɦəm , sˈən ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ əʈʈʰˈaːsiː mˈe jˈɪɡiː ʋˈemnaː nˈaːmək t̪ˈelʊɡʊ t͡ʃəlt͡ʃˈɪt̪ɾəme ˈəbʱɪnəj kˈenəe ˈət͡ʃʰɪ .
जस्ट पीस फाउन्डेशन ट्रस्ट (जेपीएफ)के द्वारा शर्मिलाके आम आदमी पार्टीके नेता प्रशान्त भूषण मणिपुरक लोकसभा सीटसँ आम आदमी पार्टी (आप)के टिकट पर २०१४ के लोकसभा चुनाव लड़िके प्रस्ताव देलथि मुदा ओ एकरा अस्वीकार काए देलथिन्ह।	d͡ʒˈəsʈ pˈiːs pʰaːˈʊnɖeʃən ʈɾˈəsʈ d͡ʒepˈiːepʰ kˈe d̪ʋˈaːɾaː ʃəɾmɪlˈaːke ˈaːm ˈaːd̪miː pˈaːɾʈiːke nˈet̪aː pɾəʃˈaːnt̪ bʱˈuːʂəɳ mˈəɳɪpʊɾək lokˈəsbʱaː sˈiːʈsə̃ ˈaːm ˈaːd̪miː pˈaːɾʈiː ˈaːp kˈe ʈˈɪkəʈ pˈəɾ d̪ˈo ɦəzˈaːɾ t͡ʃˈəʊd̪əɦ kˈe lokˈəsbʱaː t͡ʃʊnˈaːʋ lˈəɽɪke pɾəst̪ˈaːʋ d̪ˈelt̪ʰɪ mˈʊd̪aː ˈo ˈekɾaː əsʋiːkˈaːɾ kˈaːe d̪elt̪ʰˈɪnɦ .
प्राचीन इतिहास आ किम्वदन्तीक अनुसार राजदेवी मन्दिरक उत्पति सेन वंशक समयमा भेल देखल जाएत अछि ।	pɾaːt͡ʃˈiːn ɪt̪ɪɦˈaːs ˈaː kɪmʋəd̪ənt̪ˈiːk ənʊsˈaːɾ ɾˈaːd͡ʒd̪eʋiː mˈənd̪ɪɾək ˈʊt̪pət̪ɪ sˈen ʋˈə̃ʃək səmˈəjmaː bʱˈel d̪ˈekʰəl d͡ʒˈaːet̪ ˈət͡ʃʰɪ .
अनुमंडल- मधुबनी, बेनीपट्टी, झंझारपुर, जयनगर एवं फुलपरास	ənʊmˈə̃ɳɖəl məd̪ʱˈʊbniː , beniːpˈəʈʈiː , d͡ʒʱə̃ɲd͡ʒʱˈaːɾpʊɾ , d͡ʒəjˈənɡəɾ ˈeʋə̃ pʰʊləpɾˈaːs
सनराइज एडम्स एक पूर्व अमेरिकी अश्लील चलचित्र अभिनेत्री छी । सन् २००१ मे अपन करियर आरम्भ करैवाली सनराइज अश्लील चलचित्र उद्योगमे अपन कार्यक लेल चर्चित पुरस्कारसभ जितैमे सफल भेल छल । ओ भिभिड इन्टरटेनमेन्टक लेल सेहो काम केनए छल ।	sənɾˈaːɪd͡ʒ eɖˈəms ˈek pˈuːɾʋ ˈəmeɾɪkiː əʃlˈiːl t͡ʃəlt͡ʃˈɪt̪ɾ əbʱɪnˈet̪ɾiː t͡ʃʰˈiː . sˈən d̪ˈo ɦəzˈaːɾ ˈek mˈe ˈəpən kˈəɾɪjəɾ aːɾˈəmbʱ kəɾəɪʋˈaːliː sənɾˈaːɪd͡ʒ əʃlˈiːl t͡ʃəlt͡ʃˈɪt̪ɾ ʊd̪jˈoɡme ˈəpən kˈaːɾjək lˈel t͡ʃˈəɾt͡ʃɪt̪ pʊɾəskˈaːɾsəbʱ d͡ʒˈɪt̪əɪme sˈəpʰəl bʱˈel t͡ʃʰˈəl . ˈo bʱˈɪbʱɪɖ ɪnʈəɾʈenmˈenʈək lˈel sˈeɦo kˈaːm kˈenəe t͡ʃʰˈəl .
हुनकर शासनकालमे सन् १९६५ क भारत पाक युद्ध शुरू भेल छल । अहि सँ तीन वर्ष पूर्व चीनक युद्ध भारत हारि चुकल छल । शास्त्रीजी अप्रत्याशित रूप सँ भेल ई युद्धमे नेहरूक मुकाबलामे राष्ट्रके उत्तम नेतृत्व प्रदान केलक आ पाकिस्तानके करारी शिकस्त देबएमे सफल रहल ।	ɦˈʊnkəɾ ʃaːsənkˈaːlme sˈən ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ pəˈɪ̃səʈʰ kˈə bʱˈaːɾət̪ pˈaːk jˈʊd̪ʱː ʃˈʊɾuː bʱˈel t͡ʃʰˈəl . ˈəɦɪ sˈə̃ t̪ˈiːn ʋˈəɾʂ pˈuːɾʋ t͡ʃˈiːnək jˈʊd̪ʱː bʱˈaːɾət̪ ɦˈaːɾɪ t͡ʃˈʊkəl t͡ʃʰˈəl . ʃˈaːst̪ɾiːd͡ʒiː əpɾət̪jˈaːʃɪt̪ ɾˈuːp sˈə̃ bʱˈel ˈiː jˈʊd̪ʱːəme neɦɾˈuːk mʊkˈaːblaːme ɾˈaːʂʈɾəke ˈʊt̪ːəm net̪ɾˈɪt̪ʋ pɾəd̪ˈaːn kˈelək ˈaː paːkɪst̪ˈaːnke kəɾˈaːɾiː ʃɪkˈəst̪ d̪ˈebəeme sˈəpʰəl ɾˈəɦəl .
३. चूडाप्रसाद शर्मा- परराष्ट्र, वन तथा खाद्य कृषि मन्त्री	t̪ˈiːn . t͡ʃuːɖaːpɾəsˈaːd̪ ʃˈəɾmaː pəɾɾˈaːʂʈɾ , ʋˈən t̪ˈət̪ʰaː kʰˈaːd̪j kɾˈɪʂɪ mˈənt̪ɾiː
बुद्धिराज बज्राचार्य - मन्त्री - संस्कृति पर्यटन तथा नागरिक उड्ययन	bʊd̪ʱːɪɾˈaːd͡ʒ bəd͡ʒɾaːt͡ʃˈaːɾj mˈənt̪ɾiː sˈə̃skɾɪt̪ɪ pˈəɾjəʈən t̪ˈət̪ʰaː nˈaːɡɾɪk ˈʊɖjəjən
