Lenane le feletseng la Wikipedia dikgatiso&nbsp;·	lɛnɑnɛ lɛ fɛlɛt͡sʼɛŋ lɑ wikʼipʼɛdiɑ dikχɑtʼisɔ
Clarkson ke motse o ka hare ho Masepala wa Kou-Kamma, leboya la profense ya Kapa Botjhabela, naheng ya Afrika Borwa.	klɑrkʼsɔn kʼɛ mɔt͡sʼɛ ɔ kʼɑ ɦɑrɛ ɦɔ mɑsɛpʼɑlɑ wɑ kʼɔu kʼɑmmɑ , lɛbɔjɑ lɑ pʼrɔfɛnsɛ jɑ kʼɑpʼɑ bɔt͡ʃʼɦɑbɛlɑ , nɑɦɛŋ jɑ ɑfrikʼɑ bɔrwɑ .
Hoffmann, Lord (2016). "The Hoffmann Committee Report". Retrieved 3 February 2018.	ɦɔffmɑnn , lɔrd dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ t͡sʰɛlɛt͡sʼɛŋ . tʰɛ ɦɔffmɑnn kɔmmitʼtʼɛɛ rɛpʼɔrtʼ . rɛtʼriɛvɛd tʰɑrɔ fɛbruɑrj dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ rɔbɛdi .
"iafrica.com 'Ramaphosa must say sorry'". iAfrica.com.	iɑfrikɑ . kɔm rɑmɑpʰɔsɑ mustʼ sɑj sɔrrj . iɑfrikɑ . kɔm .
bar:1981 at: 3681 fontsize:S text: 3681 shift:(-10,5)	bɑr , sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ rɔbɛdi lɛ mɔt͡sʼɔ ɔ lɛ mɔŋ ɑtʼ , dikʼɛtʼɛ t͡sʼɛ tʰɑrɔ lɛ mɑkχɔlɔ ɑ t͡sʰɛlɛt͡sʼɛŋ lɛ mɑʃɔmɛ ɑ rɔbɛdi lɛ mɔt͡sʼɔ ɔ lɛ mɔŋ fɔnt͡sʼizɛ , s tʼɛkstʼ , dikʼɛtʼɛ t͡sʼɛ tʰɑrɔ lɛ mɑkχɔlɔ ɑ t͡sʰɛlɛt͡sʼɛŋ lɛ mɑʃɔmɛ ɑ rɔbɛdi lɛ mɔt͡sʼɔ ɔ lɛ mɔŋ ʃiftʼ , lɛʃɔmɛ ɬɑnɔ
Ke maleme hoba lipuo tseo li buiwang linaheng hoba mafelong/lipolekeng tse itseng	kʼɛ mɑlɛmɛ ɦɔbɑ lipʼuɔ t͡sʼɛɔ li buiwɑŋ linɑɦɛŋ ɦɔbɑ mɑfɛlɔŋ lipʼɔlɛkʼɛŋ t͡sʼɛ it͡sʼɛŋ
Mnyameni ke motse o monyane wa Masepala wa Amahlathi, leboya la porofense ya Kapa Botjhabela , naheng ya Afrika Borwa.	mɲɑmɛni kʼɛ mɔt͡sʼɛ ɔ mɔɲɑnɛ wɑ mɑsɛpʼɑlɑ wɑ ɑmɑɬɑtʰi , lɛbɔjɑ lɑ pʼɔrɔfɛnsɛ jɑ kʼɑpʼɑ bɔt͡ʃʼɦɑbɛlɑ , nɑɦɛŋ jɑ ɑfrikʼɑ bɔrwɑ .
Cecilia Lillian Tshabalala, ea hlahetseng Natala mme a fallela United States ka 1912. Kamora ho ithuta Setsing sa Hampton, New Britain State Normal School, le Moody Bible Institute ho la US, o ile a ruta Kerekeng ea Afrika ea Methodist Episcopal	kɛkiliɑ lilliɑn t͡sʰɑbɑlɑlɑ , ɛɑ ɬɑɦɛt͡sʼɛŋ nɑtʼɑlɑ mmɛ ɑ fɑllɛlɑ unitʼɛd stʼɑtʼɛs kʼɑ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ mmɛdi . kʼɑmɔrɑ ɦɔ itʰutʼɑ sɛt͡sʼiŋ sɑ ɦɑmpʼtʼɔn , nɛw britʼɑin stʼɑtʼɛ nɔrmɑl skɦɔɔl , lɛ mɔɔdj biblɛ instʼitʼutʼɛ ɦɔ lɑ us , ɔ ilɛ ɑ rutʼɑ kʼɛrɛkʼɛŋ ɛɑ ɑfrikʼɑ ɛɑ mɛtʰɔdistʼ ɛpʼiskɔpʼɑl
De Lille o ile a voutelwa ho ba palong ya 22 ho MaAforika borwa a 100 a Mahodimo, mme o tsejwa ka karolo ya hae dipatlisisong mabapi le nyewe ya Arms Deal e nang le dikgang.	dɛ lillɛ ɔ ilɛ ɑ vɔutʼɛlwɑ ɦɔ bɑ pʼɑlɔŋ jɑ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ mmɛdi ɦɔ mɑɑfɔrikʼɑ bɔrwɑ ɑ lɛkχɔlɔ ɑ mɑɦɔdimɔ , mmɛ ɔ t͡sʼɛd͡ʒwɑ kʼɑ kʼɑrɔlɔ jɑ ɦɑɛ dipʼɑt͡ɬʼisisɔŋ mɑbɑpʼi lɛ ɲɛwɛ jɑ ɑrms dɛɑl ɛ nɑŋ lɛ dikχɑŋ .
Mhlongo o ile a kgethwa bakeng sa Grammy mme a hapa Dikgau tse tharo tsa Mmino wa Afrika Borwa.	mɬɔŋɔ ɔ ilɛ ɑ kχɛtʰwɑ bɑkʼɛŋ sɑ xrɑmmj mmɛ ɑ ɦɑpʼɑ dikχɑu t͡sʼɛ tʰɑrɔ t͡sʼɑ mminɔ wɑ ɑfrikʼɑ bɔrwɑ .
Mohopolo oa filimi tsebong ea sechaba hangata o amahanngoa le lifilimi tsa lipale tsa baetsi ba lifilimi tseo hape li bitsoang litšōmo.	mɔɦɔpʼɔlɔ ɔɑ filimi t͡sʼɛbɔŋ ɛɑ sɛkɦɑbɑ ɦɑŋɑtʼɑ ɔ ɑmɑɦɑnŋɔɑ lɛ lifilimi t͡sʼɑ lipʼɑlɛ t͡sʼɑ bɑɛt͡sʼi bɑ lifilimi t͡sʼɛɔ ɦɑpʼɛ li bit͡sʼɔɑŋ lit͡ʃʼɔmɔ .
Bing Crosby o ile a rekota lirekoto tse fetang 2 000 tsa khoebo le seea-le-moea se ka bang 4,000, hammoho le lenane le hlahang lifiliming le thelevisheneng, ke sebini se tlalehiloeng ka ho fetisisa historing.	biŋ krɔsbj ɔ ilɛ ɑ rɛkʼɔtʼɑ lirɛkʼɔtʼɔ t͡sʼɛ fɛtʼɑŋ dikʼɛtʼɛ t͡sʼɛ pʼɛdi t͡sʼɑ kʰɔɛbɔ lɛ sɛɛɑ lɛ mɔɛɑ sɛ kʼɑ bɑŋ dikʼɛtʼɛ t͡sʼɛ nnɛ , ɦɑmmɔɦɔ lɛ lɛnɑnɛ lɛ ɬɑɦɑŋ lifilimiŋ lɛ tʰɛlɛviʃɛnɛŋ , kʼɛ sɛbini sɛ t͡ɬʼɑlɛɦilɔɛŋ kʼɑ ɦɔ fɛtʼisisɑ ɦistʼɔriŋ .
Health organizations have recommended that people cover their mouth and nose with a bent elbow or a tissue when coughing or sneezing, and dispose of any tissue immediately.	ɦɛɑltʰ ɔrxɑnizɑtʼiɔns ɦɑvɛ rɛkɔmmɛndɛd tʰɑtʼ pʼɛɔpʼlɛ kɔvɛr tʰɛir mɔutʰ ɑnd nɔsɛ witʰ ɑ bɛntʼ ɛlbɔw ɔr ɑ tʼissuɛ wɦɛn kɔuxɦiŋ ɔr snɛɛziŋ , ɑnd dispʼɔsɛ ɔf ɑɲ tʼissuɛ immɛdiɑtʼɛlj .
Mekhoa ea ho thibela likotsi e ka ba e hafang kapa e mengata. Ente ea monovalent e etselitsoe ho enta khahlanong le antigen e le 'ngoe kapa li-microorganism tse le' ngoe. [23] Ente e nang le mefuta e mengata e etselitsoe ho enta khahlanong le mefuta e 'meli kapa ho feta ea microorganism e le' ngoe, kapa khahlano le likokoana-hloko tse peli kapa ho feta. [24]	mɛkʰɔɑ ɛɑ ɦɔ tʰibɛlɑ likʼɔt͡sʼi ɛ kʼɑ bɑ ɛ ɦɑfɑŋ kʼɑpʼɑ ɛ mɛŋɑtʼɑ . ɛntʼɛ ɛɑ mɔnɔvɑlɛntʼ ɛ ɛt͡sʼɛlit͡sʼɔɛ ɦɔ ɛntʼɑ kʰɑɬɑnɔŋ lɛ ɑntʼixɛn ɛ lɛ ŋɔɛ kʼɑpʼɑ li mikrɔɔrxɑnism t͡sʼɛ lɛ ŋɔɛ . mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ mɛrɑrɔ ɛntʼɛ ɛ nɑŋ lɛ mɛfutʼɑ ɛ mɛŋɑtʼɑ ɛ ɛt͡sʼɛlit͡sʼɔɛ ɦɔ ɛntʼɑ kʰɑɬɑnɔŋ lɛ mɛfutʼɑ ɛ mɛli kʼɑpʼɑ ɦɔ fɛtʼɑ ɛɑ mikrɔɔrxɑnism ɛ lɛ ŋɔɛ , kʼɑpʼɑ kʰɑɬɑnɔ lɛ likʼɔkʼɔɑnɑ ɬɔkʼɔ t͡sʼɛ pʼɛli kʼɑpʼɑ ɦɔ fɛtʼɑ . mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ mɛnɛ
Mehala e mengata e fanang ka chai e phahameng e entsoe molemong oa ho lema. Li-clones tsena li hlahisa li-kilos tse fetang 2 000 ka hektare (1,800 lb / acre) ea rabara e ommeng ka selemo, tlasa maemo a matle.	mɛɦɑlɑ ɛ mɛŋɑtʼɑ ɛ fɑnɑŋ kʼɑ kɦɑi ɛ pʰɑɦɑmɛŋ ɛ ɛnt͡sʼɔɛ mɔlɛmɔŋ ɔɑ ɦɔ lɛmɑ . li klɔnɛs t͡sʼɛnɑ li ɬɑɦisɑ li kʼilɔs t͡sʼɛ fɛtʼɑŋ dikʼɛtʼɛ t͡sʼɛ pʼɛdi kʼɑ ɦɛkʼtʼɑrɛ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɛdi lb ɑkrɛ ɛɑ rɑbɑrɑ ɛ ɔmmɛŋ kʼɑ sɛlɛmɔ , t͡ɬʼɑsɑ mɑɛmɔ ɑ mɑt͡ɬʼɛ .
KaXikukwani ke motse ho Masepala oa Greater Giyani, provense Limpopo ka moka Afrika Borwa.	kʼɑksikʼukʼwɑni kʼɛ mɔt͡sʼɛ ɦɔ mɑsɛpʼɑlɑ ɔɑ xrɛɑtʼɛr xijɑni , pʼrɔvɛnsɛ limpʼɔpʼɔ kʼɑ mɔkʼɑ ɑfrikʼɑ bɔrwɑ .
Bokhabane ba khale ba ho tiea (andreia, fortitudo) le eona e fetoleloa e le "sebete", empa e kenyelletsa likarolo tsa mamello le mamello.	bɔkʰɑbɑnɛ bɑ kʰɑlɛ bɑ ɦɔ tʼiɛɑ ɑndrɛiɑ , fɔrtʼitʼudɔ lɛ ɛɔnɑ ɛ fɛtʼɔlɛlɔɑ ɛ lɛ sɛbɛtʼɛ , ɛmpʼɑ ɛ kʼɛɲɛllɛt͡sʼɑ likʼɑrɔlɔ t͡sʼɑ mɑmɛllɔ lɛ mɑmɛllɔ .
Phiri e nang le matheba ke phoofolo e anyesang ea Afrika e kang ntja e nang le lithupa tse ka pele tse telele ho feta maoto a ka morao le moetse o emeng. Mafiritšoane a tsejoa e le linyamatsane empa tse ngata le tsona ke litsomi tse atlehang.	pʰiri ɛ nɑŋ lɛ mɑtʰɛbɑ kʼɛ pʰɔɔfɔlɔ ɛ ɑɲɛsɑŋ ɛɑ ɑfrikʼɑ ɛ kʼɑŋ nt͡ʃʼɑ ɛ nɑŋ lɛ litʰupʼɑ t͡sʼɛ kʼɑ pʼɛlɛ t͡sʼɛ tʼɛlɛlɛ ɦɔ fɛtʼɑ mɑɔtʼɔ ɑ kʼɑ mɔrɑɔ lɛ mɔɛt͡sʼɛ ɔ ɛmɛŋ . mɑfirit͡ʃʼɔɑnɛ ɑ t͡sʼɛd͡ʒɔɑ ɛ lɛ liɲɑmɑt͡sʼɑnɛ ɛmpʼɑ t͡sʼɛ ŋɑtʼɑ lɛ t͡sʼɔnɑ kʼɛ lit͡sʼɔmi t͡sʼɛ ɑt͡ɬʼɛɦɑŋ .
Sisteme ya bohahlaudi ya Iran-Roma - ke ya motho ya bitswang rezamqds ya atlehileng ho hohela bahahlaudi ba bangata naheng ena dilemong tsa morao tjena.	sistʼɛmɛ jɑ bɔɦɑɬɑudi jɑ irɑn rɔmɑ kʼɛ jɑ mɔtʰɔ jɑ bit͡sʼwɑŋ rɛzɑm!ds jɑ ɑt͡ɬʼɛɦilɛŋ ɦɔ ɦɔɦɛlɑ bɑɦɑɬɑudi bɑ bɑŋɑtʼɑ nɑɦɛŋ ɛnɑ dilɛmɔŋ t͡sʼɑ mɔrɑɔ t͡ʃʼɛnɑ .
Leha ho le joalo, Letsatsi la Khoebo's Karima Brown bolelloa Mohlokomedi ka mor'a hore ho fanoe ka kahlolo ea nyeoe ea peto:	lɛɦɑ ɦɔ lɛ d͡ʒɔɑlɔ , lɛt͡sʼɑt͡sʼi lɑ kʰɔɛbɔ s kʼɑrimɑ brɔwn bɔlɛllɔɑ mɔɬɔkʼɔmɛdi kʼɑ mɔr ɑ ɦɔrɛ ɦɔ fɑnɔɛ kʼɑ kʼɑɬɔlɔ ɛɑ ɲɛɔɛ ɛɑ pʼɛtʼɔ ,
^ Basson, Adriaan (12 January 2009). "Moahloli Nicholson o ile a fuoa karete e khubelu ke SCA". Mail & Mohlokomeli. E khutlisitsoe ka la 8 Phupu 2021.	bɑssɔn , ɑdriɑɑn lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ mmɛdi d͡ʒɑnuɑrj dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɛt͡sʼɔ ɛ rɔbɔŋ . mɔɑɬɔli nikɦɔlsɔn ɔ ilɛ ɑ fuɔɑ kʼɑrɛtʼɛ ɛ kʰubɛlu kʼɛ skɑ . mɑil lɛ mɔɬɔkʼɔmɛli . ɛ kʰut͡ɬʼisit͡sʼɔɛ kʼɑ lɑ rɔbɛdi pʰupʼu dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɔt͡sʼɔ ɔ lɛ mɔŋ .
^ "Zuma ea lokolotsoeng e tla ba 'ea sa hlōloeng'". Mail & Mohlokomeli. La 3 Pulungoana 2005.E bolokiloe ho tsoa ho ea mantlha ka la 26 Tšitoe 2008. E khutlisitsoe ka la 7 Mmesa 2009.	zumɑ ɛɑ lɔkʼɔlɔt͡sʼɔɛŋ ɛ t͡ɬʼɑ bɑ ɛɑ sɑ ɬɔlɔɛŋ . mɑil lɛ mɔɬɔkʼɔmɛli . lɑ tʰɑrɔ pʼuluŋɔɑnɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɛt͡sʼɔ ɛ mɛɬɑnɔ . ɛ bɔlɔkʼilɔɛ ɦɔ t͡sʼɔɑ ɦɔ ɛɑ mɑnt͡ɬʰɑ kʼɑ lɑ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ t͡sʰɛlɛt͡sʼɛŋ t͡ʃʼitʼɔɛ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɛt͡sʼɔ ɛ rɔbɛdi . ɛ kʰut͡ɬʼisit͡sʼɔɛ kʼɑ lɑ supʼɑ mmɛsɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɛt͡sʼɔ ɛ rɔbɔŋ .
^ Wines, Michael (17 December 2007). "Ntoa ea Boetapele e Khotla Mokha o ka Sehloohong oa Afrika Boroa". New York Times.E bolokiloe ho tloha qalong ka la 21 Phupu 2016.	winɛs , mikɦɑɛl lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ supʼilɛŋ dɛkɛmbɛr dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɛt͡sʼɔ ɛ supʼilɛŋ . ntʼɔɑ ɛɑ bɔɛtʼɑpʼɛlɛ ɛ kʰɔt͡ɬʼɑ mɔkʰɑ ɔ kʼɑ sɛɬɔɔɦɔŋ ɔɑ ɑfrikʼɑ bɔrɔɑ . nɛw jɔrkʼ tʼimɛs . ɛ bɔlɔkʼilɔɛ ɦɔ t͡ɬʼɔɦɑ !ɑlɔŋ kʼɑ lɑ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɔt͡sʼɔ ɔ lɛ mɔŋ pʰupʼu dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ t͡sʰɛlɛt͡sʼɛŋ .
^ du Preez, Max (12 Mmesa 2016). "Re hloka ho lokisa leano la ho tsoa bakeng sa Zuma". News24.E bolokiloe ho tloha ea pele ka la 13 Mmesa 2016. E tlisitsoe ka la 12 Mmesa 2016.	du pʼrɛɛz , mɑks lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ mmɛdi mmɛsɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ t͡sʰɛlɛt͡sʼɛŋ . rɛ ɬɔkʼɑ ɦɔ lɔkʼisɑ lɛɑnɔ lɑ ɦɔ t͡sʼɔɑ bɑkʼɛŋ sɑ zumɑ . nɛws mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ mɛnɛ . ɛ bɔlɔkʼilɔɛ ɦɔ t͡ɬʼɔɦɑ ɛɑ pʼɛlɛ kʼɑ lɑ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ mɛrɑrɔ mmɛsɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ t͡sʰɛlɛt͡sʼɛŋ . ɛ t͡ɬʼisit͡sʼɔɛ kʼɑ lɑ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ mmɛdi mmɛsɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ t͡sʰɛlɛt͡sʼɛŋ .
^ Marrian, Natasha; Magubane, Khulekani (6 Hlakola 2018)."Puo ea boemo ba naha e chechisitsoe morao". Letsatsi la Khoebo.E bolokiloe ho tloha qalong ka la 14 Hlakola 2018.	mɑrriɑn , nɑtʼɑʃɑ , mɑxubɑnɛ , kʰulɛkʼɑni t͡sʰɛlɛlɑ ɬɑkʼɔlɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ rɔbɛdi . pʼuɔ ɛɑ bɔɛmɔ bɑ nɑɦɑ ɛ kɦɛkɦisit͡sʼɔɛ mɔrɑɔ . lɛt͡sʼɑt͡sʼi lɑ kʰɔɛbɔ . ɛ bɔlɔkʼilɔɛ ɦɔ t͡ɬʼɔɦɑ !ɑlɔŋ kʼɑ lɑ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ mɛnɛ ɬɑkʼɔlɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ rɔbɛdi .
^ Oellermann, Ingrid (4 Phato 2008). "Tsela e telele ea Zuma ea ho ea lekhotleng". E bolokiloe ho tloha qalong ka la 17 Hlakola 2018.	ɔɛllɛrmɑnn , iŋrid nnɛ pʰɑtʼɔ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɛt͡sʼɔ ɛ rɔbɛdi . t͡sʼɛlɑ ɛ tʼɛlɛlɛ ɛɑ zumɑ ɛɑ ɦɔ ɛɑ lɛkʰɔt͡ɬʼɛŋ . ɛ bɔlɔkʼilɔɛ ɦɔ t͡ɬʼɔɦɑ !ɑlɔŋ kʼɑ lɑ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ supʼilɛŋ ɬɑkʼɔlɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ rɔbɛdi .
