بلؤچی زبان یک مزنئیں زبانئ مه ئیران،پاکستان و اوگانستان تها.	bluːt͡ʃiː zbaːn jak mzniː̃ zbaːn mh iːraːn , paːkst̪aːn wa aːwɡaːnst̪aːn t̪haː .
آمریکای شمالی شمالی ین بخش شه آمریکایی براعظما است. که بی سه ملکی کانادا، آمریکاین متحدین ایالات و مکسیکو سرابار بوته . ای براعظم نیمکره شمالیا ډګاریا واکع بوته. کانادا مزنین ملک بی آمریکای شمالی تا اینت.	aːmriːkaːj ʃmaːliː ʃmaːliː jn bxʃ ʃh aːmriːkaːjj braːzmaː aːst̪ . kh biː sh mlkiː kaːnaːd̪aː , aːmriːkaːjn mt̪hd̪iːn aːjaːlaːt̪ wa mksiːkuː sraːbaːr buːt̪h . aːj braːzm niːmkrh ʃmaːljaː ɖɡaːrjaː waːk buːt̪h . kaːnaːd̪aː mzniːn mlk biː aːmriːkaːj ʃmaːliː t̪aː aːjnt̪ .
آنتون لاوی بی۳۰ آپریل ۱۹۶۶ بی والپورگیس شپ آ شیطانی ین کلیسا که بی آینده تا شیطان کلیسا بوت نام دات- جوړ کورت. ګون آیی مرگا بی ۱۹۹۷ میلادی، شیطان کلیسا ګون نوکین مدیریتا بی نیویارک منتکل‌ بوت. ولی آیی جینیک لاوی ای کارا آیی پیسی راهی مخالف زانت و وت تانا شیطان کلیساها ډن شه سانپرانسیسکو پاچ کورت.	aːnt̪uːn laːwj biː siː aːpriːl hazaːru noː sad̪u ʃast̪u ʃiʃ biː waːlpuːrɡiːs ʃap aː ʃiːt̪aːniː jn kliːsaː kh biː aːjnd̪h t̪aː ʃiːt̪aːn kliːsaː boːt̪ naːm d̪aːt̪ d͡ʒuːɽ kuːrt̪ . ɡwan aːjj mrɡaː biː hazaːru noː sad̪u nawad̪u hapt̪ miːlaːd̪iː , ʃiːt̪aːn kliːsaː ɡwan nuːkiːn md̪iːriːt̪aː biː njwjaːrk mnt̪kl boːt̪ . wliː aːjj d͡ʒiːniːk laːwj aːj kaːraː aːjj piːsiː raːhiː mxaːlf zaːnt̪ wa wt̪ t̪aːnaː ʃiːt̪aːn kliːsaːhaː ɖn ʃh saːnpraːnsiːskuː paːt͡ʃ kuːrt̪ .
بلۏچی زبان یکے چہ اݔرانی گۏریچی رۏکپتی زبانان اِنت،بلۏچ مردم پہ اے زبانا مہ بلۏچستانءِ تۏکا ھبرءَ کن اَنت۔	bloːt͡ʃiː zbaːn jkeː t͡ʃh aːeːraːniː ɡoːriːt͡ʃiː roːkpt̪iː zbaːnaːn int̪ , baloːt͡ʃ mrd̪m ph aːeː zbaːnaː mh bloːt͡ʃst̪aːni t̪oːkaː hbra kn ant̪
قیرگیزستانی شوروین سوسیالیستین جمهوریت یا قرگیزستان شوروی، یکی شه ۱۵ شوروی ئی جمهوریتان ات.	kiːrɡiːzst̪aːniː ʃuːrwjn suːsjaːliːst̪iːn d͡ʒmhuːriːt̪ jaː krɡiːzst̪aːn ʃuːrwj , jkiː ʃh panzd̪ah ʃuːrwj iː d͡ʒmhuːriːt̪aːn aːt̪ .
شه الله نیمگاه دیمداتگین یکی شه پیگمبران اینت٬ که اسلام ٬ یهودیت و ئیسویت دینانی پیگمبرانی پیس اینت.	ʃh aːllh niːmɡaːh d̪iːmd̪aːt̪ɡiːn jkiː ʃh piːɡmbraːn aːjnt̪ kh aːslaːm jhuːd̪iːt̪ wa iːswjt̪ d̪iːnaːniː piːɡmbraːniː piːs aːjnt̪ .
زنا یکی شه ناروا و ئرامین کاران بی اسلام تا اینت٬ زنا ارتبات دو نپری جنینزاگ و مردینزاک یی مانجینا که ازدواج نه کورته انت.	znaː jkiː ʃh naːrwaː wa raːmiːn kaːraːn biː aːslaːm t̪aː aːjnt̪ znaː aːrt̪baːt̪ d̪oː npriː d͡ʒniːnzaːɡ wa mrd̪iːnzaːk jj maːnd͡ʒiːnaː kh aːzd̪waːd͡ʒ nh kuːrt̪h aːnt̪ .
چه پاکستانی استقلالی روچا اینګو بلوچانی و پاکستانی دولتی مانجینا باز سکین جنګ بوته ګنت، که به ۱۳۲۷،۱۳۳۷،۱۳۴۷،۱۳۵۲و ۱۳۸۳ سالانی تا باز سکین و کوشوکین جنګ اتنت. بلوچستان لیبریشن آرمی پنچ هزار نفر سرمچار داریت که به کوهلو ( مری یی قومی منطقه) و دیره بکتی ( بکتی یی قومی منطقه) بی بلوچستانی شرقی ین نمه ګا هستنت باز فعال اینت.	t͡ʃh paːkst̪aːniː aːst̪klaːliː ruːt͡ʃaː aːjnɡuː bluːt͡ʃaːniː wa paːkst̪aːniː d̪uːlt̪iː maːnd͡ʒiːnaː baːz skiːn d͡ʒanɡ buːt̪h ɡnt̪ , kh bh hazaːru sai sad̪u biːst̪u hapt̪ , hazaːru sai sad̪u siːu hapt̪ , hazaːru sai sad̪u t͡ʃihilu hapt̪ , hazaːru sai sad̪u pand͡ʒaːhu d̪oː wa hazaːru sai sad̪u haʃt̪aːd̪u sai saːlaːniː t̪aː baːz skiːn wa kuːʃuːkiːn d͡ʒanɡ aːt̪nt̪ . bluːt͡ʃst̪aːn liːbriːʃn aːrmiː pant͡ʃ hazaːr nfr srmt͡ʃaːr d̪aːriːt̪ kh bh kuːhluː mriː jj kuːmiː mnt̪kh wa d̪iːrh bkt̪iː bkt̪iː jj kuːmiː mnt̪kh biː bluːt͡ʃst̪aːniː ʃrkiː jn nmh ɡaː hst̪nt̪ baːz faːl aːjnt̪ .
هجری کمری چه هما وهدا که پیامبرا گوں وتی پاٹا چه مکه آ په مدینه اش لڈیتگ بنگیج بیتگ	hd͡ʒriː kmriː t͡ʃh hmaː whd̪aː kh pjaːmbraː ɡuː̃ wt̪iː paːʈaː t͡ʃh mkh aː ph md̪iːnh aːʃ lɖiːt̪ɡ bnɡiːd͡ʒ biːt̪ɡ
مهرگان اولی ماه چه بلوچی هجرتء ماهان انت که چه هما وهدی که بلوچان چه برزسری روچ کپتینا په جهلسری روچ دراتکء نیمگا آتکگن هنو هن ۲٠۴۶ سال چه ئی سابء سرا گوزیت	mhrɡaːn aːwliː maːh t͡ʃh bluːt͡ʃiː hd͡ʒrt̪ maːhaːn aːnt̪ kh t͡ʃh hmaː whd̪iː kh bluːt͡ʃaːn t͡ʃh brzsriː roːt͡ʃ kpt̪iːnaː ph d͡ʒhlsriː roːt͡ʃ d̪raːt̪k niːmɡaː aːt̪kɡn hnuː hn d̪oː hazaːru t͡ʃihilu ʃiʃ saːl t͡ʃh iː saːb sraː ɡuːziːt̪
اے دو بندی سیاھگ یا پہ لاتین دوبند اَنت یا پہ نسھ	aːeː d̪oː bnd̪iː sjaːhɡ jaː ph laːt̪iːn d̪uːbnd̪ ant̪ jaː ph nsh
پہ انگلستانئش اُرش کُت ءُ اۏدئش گِپت،پݔسر چہ اشی‌ئا بریتانیاء مردمان پہ سلتی زبان‌ئاگپءَ جت۔	ph aːnɡlst̪aːnʃ urʃ kat̪ u aːoːd̪ʃ ɡipt̪ , peːsr t͡ʃh aːʃiːaː briːt̪aːnjaː mrd̪maːn ph slt̪iː zbaːnaːɡpa d͡ʒt̪
انگرݔزستان چہ رۏکپتی نݔمگ‌ئا گۏں ولز ءُ چہ سراوانی نݔمگ‌ئا گۏں اسکاتلندئا ھۏرءَ بئ اَنت۔	aːnɡreːzst̪aːn t͡ʃh roːkpt̪iː neːmɡaː ɡoː̃ wlz u t͡ʃh sraːwaːniː neːmɡaː ɡoː̃ aːskaːt̪lnd̪aː hoːra b ant̪
بلۏچی ویکی پدیاءِ رھبند یک رھبندی وڈے کہ مہ ویکی پدیاءِ تۏکا کار گِرگءَ بیت، اے رھبند ھمے بلۏچی ویکی پدیاءِ راہ ءُ رھبند اَنت کہ شما باید اِنت ادا پہ کار بہ گِر اِت	bloːt͡ʃiː wjkiː pd̪jaːi rhbnd̪ jak rhbnd̪iː wɖeː kh mh wjkiː pd̪jaːi t̪oːkaː kaːr ɡirɡa biːt̪ , aːeː rhbnd̪ hmeː bloːt͡ʃiː wjkiː pd̪jaːi raːh u rhbnd̪ ant̪ kh ʃmaː baːjd̪ int̪ aːd̪aː ph kaːr bh ɡar it̪
ۏ ءُ ݔ‍ دو نۏکݔن سیاھگ اَنت کہ استاندارݔن سیاھگان ھۏر کنگ بیتگ اَنت، اے سیاھگ سیدءِ رھبندانءِ تۏکا	wa u eː d̪oː noːkeːn sjaːhɡ ant̪ kh aːst̪aːnd̪aːreːn sjaːhɡaːn hoːr knɡ biːt̪ɡ ant̪ , aːeː sjaːhɡ siːd̪i rhbnd̪aːni t̪oːkaː
اݔرانء ملائان داتجاہ یک اسپݔشلݔن داتجاھے کہ اۏدا ملائانء واستا ھُکم دیگءَ بیت،اے داتجاہء بُنی جاگہ مشھدشارء تھا اِنت کہ شݔھہ‌ئانء ھشتمی امامء جاہ اِنت۔	aːeːraːn mlaːaːn d̪aːt̪d͡ʒaːh jak aːspeːʃleːn d̪aːt̪d͡ʒaːheː kh aːoːd̪aː mlaːaːn waːst̪aː hukm d̪iːɡa biːt̪ , aːeː d̪aːt̪d͡ʒaːh buniː d͡ʒaːɡh mʃhd̪ʃaːr t̪haː int̪ kh ʃeːhhaːn hʃt̪miː aːmaːm d͡ʒaːh int̪
زِربار چہ زِرء ناما گِرَگ بیتگ ھانݔن اشی کہ زِرء نݔمگ اِنت	zirbaːr t͡ʃh zir naːmaː ɡiraɡ biːt̪ɡ haːneːn aːʃiː kh zir neːmaɡ int̪
اے شارءِ مردم بلۏچ اَنت ءُ گۏن بلۏچی ءُ جدگالی زبانان گپءَ جن اَنت۔	aːeː ʃaːri mrd̪m baloːt͡ʃ ant̪ u ɡwan bloːt͡ʃiː u d͡ʒd̪ɡaːliː zbaːnaːn ɡpa d͡ʒan ant̪
شنبہ یا گنجی ھپتگءِ اولی رۏچ اِنت بلۏچی ربیدگءِ کِررا اے رۏچ ھپتگا بنگݔجءَ کَنت ءُ کاروبار ھمے رۏچا رند چہ آدݔنگا پدا بنگݔجءَ بئ اَنت۔	ʃnbh jaː ɡnd͡ʒiː hpt̪ɡi aːwliː roːt͡ʃ int̪ bloːt͡ʃiː rbiːd̪ɡi kirraː aːeː roːt͡ʃ hpt̪ɡaː bnɡeːd͡ʒa kant̪ u kaːruːbaːr hmeː roːt͡ʃaː rnd̪ t͡ʃh aːd̪eːnɡaː pd̪aː bnɡeːd͡ʒa b ant̪
رند چہ اشی‌ئا ھن کم کم د چہ اے ناما گار کنگ بیت ءُ برۏچ کنگ بیت پدا رندا ھن ل مہ ر ءِ جاھا آرگ بیت ءُ ھنی بلۏچ گُشگءَ بئ اَنت۔	rnd̪ t͡ʃh aːʃiːaː hn kam kam d̪ t͡ʃh aːeː naːmaː ɡaːr knɡ biːt̪ u broːt͡ʃ knɡ biːt̪ pd̪aː rnd̪aː hn l mh r i d͡ʒaːhaː aːrɡ biːt̪ u hniː baloːt͡ʃ ɡuʃɡa b ant̪
گۏن اشی‌ئا کہ اے کشورءِ ڈگار کم اَنت بلئ اے کشورءِ تۏکا ڈؤلاڈؤلݔن جگراپیایی آپگوات ھست اِنت، اسرائݔلءِ زانشتی ءُ ‌‌اکتسادی دلگاہ تل آویو ءِ شار اِنت، بلئ اسرائݔلءَ گُش ایت کہ اورشلیم اے کشورءِ بُنبار یا کلات اِنت، کہ بازݔن کشورے اے کلاتا پہ اسرائݔلءَ نہ منن اَنت ءُ گُش اَنت کہ اسرائݔلءِ کلات ھنگت تل آویو اِنت	ɡwan aːʃiːaː kh aːeː kʃuːri ɖɡaːr kam ant̪ bl aːeː kʃuːri t̪oːkaː ɖuːlaːɖuːleːn d͡ʒɡraːpjaːjj aːpɡwaːt̪ hst̪ int̪ , aːsraːeːli zaːnʃt̪iː u aːkt̪saːd̪iː d̪lɡaːh t̪l aːwjw i ʃaːir int̪ , bl aːsraːeːla ɡuʃ aːjt̪ kh aːwrʃliːm aːeː kʃuːri bunbaːr jaː klaːt̪ int̪ , kh baːzeːn kʃuːreː aːeː klaːt̪aː ph aːsraːeːla nh mnn ant̪ u ɡuʃ ant̪ kh aːsraːeːli klaːt̪ hnɡt̪ t̪l aːwjw int̪
کلیسای واقعی عیسی یک مستقلین کلیسای کلیسا که ته سال ۱۹۱۷ ته چین بنگیج بوتت.مروچا نزیک په 2.5 ملیون عضو ته 45 کشور و شش قاره ای هستن. کلیسا چه شاحه ی پروتستانی مسیحیت انت که ته اوایل قرن بیستم شر بوت. هدف آ شی انت که په کل ملل تبلیغ کنت پیش چه دومی آیگ مسیح دومی آیگ مسیح. ده دکترین و عقاید کلیسا شی انت:	kliːsaːj waːkiː iːsiː jak mst̪kliːn kliːsaːj kliːsaː kh t̪ah saːl hazaːru noː sad̪u habd̪ah t̪ah t͡ʃiːn bnɡiːd͡ʒ buːt̪t̪ . mruːt͡ʃaː nziːk ph d̪oː pant͡ʃ mljwn zuː t̪ah t͡ʃihilu pant͡ʃ kʃuːr wa ʃiʃ kaːrh aːj hst̪n . kliːsaː t͡ʃh ʃaːhh j pruːt̪st̪aːniː msiːhiːt̪ aːnt̪ kh t̪ah aːwaːjl krn biːst̪m ʃr boːt̪ . hd̪f aː ʃiː aːnt̪ kh ph kul mll t̪bliːɣ knt̪ piːʃ t͡ʃh d̪uːmiː aːjɡ msiːh d̪uːmiː aːjɡ msiːh . d̪ah d̪kt̪riːn wa kaːjd̪ kliːsaː ʃiː aːnt̪ ,
کوټه چې د شال کوټ په نامه هم ياد شوی ، یو ښار دی چې د پاکستان د بلوچستان په ايالت کې پروت دی. کوټه د بلوڅستان ايالت تر ټولو لوی ښار دی او پایتخت یی هم دی. کوټه د حکومت معلوماتو په مطابق ۵۶۵۱۳۷ وګړي لري.	kuːʈh t͡ʃeː d̪ ʃaːl kuːʈ ph naːmh hm jaːd̪ ʃwj , jw aːr d̪iː t͡ʃeː d̪ paːkst̪aːn d̪ bluːt͡ʃst̪aːn ph aːjaːlt̪ kaj pruːt̪ d̪iː . kuːʈh d̪ bluːst̪aːn aːjaːlt̪ t̪ir ʈuːluː lwj aːr d̪iː aːw paːjt̪xt̪ jj hm d̪iː . kuːʈh d̪ hkuːmt̪ mluːmaːt̪uː ph mt̪aːbk pant͡ʃ lakku ʃast̪u pant͡ʃ hazaːru sad̪u siːu hapt̪ wɡɽiː lriː .
په ۱۸۷۶ کال کې کوټه د انګریزي پوځ له خوا ونیول شوه او په ښار کې لويه پوځي اډه جوړه شوه. پر ۱۹۳۵ کال دغه ښار د زلزلې لامله خراب شو. له مالوماتو سره سم ۴۰۰۰۰ تنه د نوموړې زلزلې لامله مړه شول. ۱۹۴۷ ز کال پاکستان تاسیس شو او کوټه د بلوڅستان ولایت پایتخت شوه. محمد علي جناح چې د پاکستان ولسمشر وو، د کوټې ښار يې خوښ وو او په همدې ښار کې يې خپل مقر جوړ کړی وو.	ph hazaːru haʃt̪ sad̪u hapt̪aːd̪u ʃiʃ kaːl kaj kuːʈh d̪ aːnɡriːziː puː lh xwaːi wnjwl ʃuːh aːw ph aːr kaj lwjh puːiː aːɖh d͡ʒuːɽh ʃuːh . pur hazaːru noː sad̪u siːu pant͡ʃ kaːl d̪ɣh aːr d̪ zlzleː laːmlh xaraːb ʃuː . lh maːluːmaːt̪uː srh sm t͡ʃihil hazaːr t̪nh d̪ nuːmuːɽeː zlzleː laːmlh mɽh ʃuːl . hazaːru noː sad̪u t͡ʃihilu hapt̪ z kaːl paːkst̪aːn t̪aːsiːs ʃuː aːw kuːʈh d̪ bluːst̪aːn wlaːjt̪ paːjt̪xt̪ ʃuːh . mhmd̪ liː d͡ʒnaːh t͡ʃeː d̪ paːkst̪aːn wlsmʃr ww , d̪ kuːʈeː aːr jeː xuː ww aːw ph hmd̪eː aːr kaj jeː xpl mkr d͡ʒuːɽ kɽiː ww .
سینګ شه باز ګوونډین قسمتان بنام کانی جوړ بُته ګنت. کانی‌ جامدین موادی انت، طبیعی، معمولاً بلور، غیرآلی، همگن و ګون کیمیاویءن ترکیباتان نشان داتهءګه بینت. تاهنون ګیشتیر شه ۳۰۰۰ کانی بهء طبیعتا درست کورتګ بُوته که تانا ۲۴ قسمی ډیګاری دیمی موادان تا شامل انت .	seːnaɡ ʃh baːz ɡwwnɖiːn ksmt̪aːn bnaːm kaːniː d͡ʒuːɽ but̪h ɡnt̪ . kaːniː d͡ʒaːmd̪iːn mwaːd̪iː aːnt̪ , t̪biːiː , mmuːlaː buluːr , ɣiːraːliː , hmɡn wa ɡwan kiːmjaːwjn t̪rkiːbaːt̪aːn nʃaːn d̪aːt̪hɡh biːnt̪ . t̪aːhnuːn ɡiːʃt̪iːr ʃh sai hazaːr kaːniː bh t̪biːt̪aː d̪urust̪ kuːrt̪ɡ buːt̪h kh t̪aːnaː biːst̪u t͡ʃaːr ksmiː ɖiːɡaːriː d̪iːmiː mwaːd̪aːn t̪aː ʃaːml aːnt̪ .
اے کشورءِ ڈگارانءِ مزنی درستی‌ئا ۳/۸ ملیون چارسریکی مِلل یا ۹/۸ ملیون چارسریکی کیلومتر اِنت کہ گۏن ھمے سابا دگنیاءِ سئمی مسترݔن کشور اِنت، آمریکاءِ مردم چہ ۳۴۰ ملیون نپرا گݔشتر اَنت کہ اے آمار ۲۰۲۳ءِ سالئیگ اِنت، آمریکاءِ کلات واشنگتون دی سی ءُ مسترݔن شاری ھن نیویورک سیتی اِنت	aːeː kʃuːri ɖɡaːraːni mzniː d̪rst̪iːaː sai haʃt̪ mljwn t͡ʃaːrsriːkiː mill jaː noː haʃt̪ mljwn t͡ʃaːrsriːkiː kiːluːmt̪r int̪ kh ɡwan hmeː saːbaː d̪ɡnjaːi smiː mst̪reːn kʃuːr int̪ , aːmriːkaːi mrd̪m t͡ʃh sai sad̪u t͡ʃihil mljwn npraː ɡeːʃt̪r ant̪ kh aːeː aːmaːr d̪oː hazaːru biːst̪u sai i saːliːɡ int̪ , aːmriːkaːi klaːt̪ waːʃnɡt̪uːn d̪iː siː u mst̪reːn ʃaːriː hn njwjwrk siːt̪iː int̪
واجہ پنجشمبےءِ بامگواہ، 3 ذوالحجہ سال 1355ھ. ق. ماں انزاء، یکے چہ سربازءِ میتگاں پیداگ بوت.چما گونڈیءَ نگبھتیءِ نشانیاں آئیءِ پیشانیگءِ سرءَ پدّراِتنت. کمے کہ مزن تر بوت نماز و درودءِ وانگ و روچگءِ گرگءِ شوک آئیءِ وجودءَ پیداگ بوت. بازیں لچہ اے چہ دیوان حافظءَ پہ پشت یاتی کت.	waːd͡ʒh pnd͡ʒʃmbeːi baːmɡwaːh , sai zwaːlhd͡ʒh saːl hazaːru sai sad̪u pand͡ʒaːhu pant͡ʃ hd͡ʒriː kmriːmaː̃ aːnzaː , jkeː t͡ʃh srbaːzi miːt̪ɡaː̃ piːd̪aːɡ boːt̪ . t͡ʃmaː ɡuːnɖiːa nɡbht̪iːi nʃaːnjaː̃ aːiːi piːʃaːniːɡi sra pd̪ːraːit̪nt̪ . kmeː kh mazan t̪ir boːt̪ nmaːz wa d̪ruːd̪i waːnɡ wa ruːt͡ʃɡi ɡrɡi ʃawk aːiːi wd͡ʒuːd̪a piːd̪aːɡ boːt̪ . baːziː̃ lt͡ʃh aːeː t͡ʃh d̪jwaːn haːfza ph puʃt̪ jaːt̪iː kat̪ .
واجہءَ ماں ﺳﺎﻝ 1373ﻫـ .ﻕ. وتی وانگ پورہ کت و دیم پہ وطنءَ رھادگ بوت. واجہ رند چہ وانگءِ ھلاس کنگءَ، ماں سال 1375ھ. ق. اوگانستانءَ شت و گوں ﺣﻀﺮﺕ ﺷﺎﻩ ﻏﻮﺙ ﻣﺤﻤﺪ ﻫﺮﻭﯼ ﺭﺣﻤﻪ ﺍﻟﻠﻪ بیعتی کت.	waːd͡ʒha maː̃ saːl hazaːru sai sad̪u hapt̪aːd̪u sai hd͡ʒriː kmrjwt̪iː waːnɡ puːrh kat̪ wa d̪iːm ph wt̪na rhaːd̪ɡ boːt̪ . waːd͡ʒh rnd̪ t͡ʃh waːnɡi hlaːs knɡa , maː̃ saːl hazaːru sai sad̪u hapt̪aːd̪u pant͡ʃ hd͡ʒriː kmrjaːwɡaːnst̪aːna ʃt̪ wa ɡuː̃ hzrt̪ ʃaːh ɣuːs mhmd̪ hrwj rhmh aːllh biːt̪iː kat̪ .
ای حزبی مزنین سردار اختر مینګل و موسسیء سردار عطا الله مینگل اینت ، تاسیسیء سال 1972.	aːj hzbiː mzniːn srd̪aːr aːxt̪r miːnɡl wa muːssiː srd̪aːr t̪aː aːllh miːnɡl aːjnt̪ , t̪aːsiːsiː saːl hazaːru noː sad̪u hapt̪aːd̪u d̪oː .
متشکل شه بلوچستانی آزادی طلبین هشت سازمانان اینت.که که شه غلام محمد بلوچ نیمهءګاه بی 2009 سالی تا تاسیس بوت و بی همی خاطیرا غلام محمد بلوچ شه پاکستانی دولتی طرفه ترور بوت .	mt̪ʃkl ʃh bluːt͡ʃst̪aːniː aːzaːd̪iː t̪lbiːn haʃt̪ saːzmaːnaːn aːjnt̪ . kh kh ʃh ɣlaːm mhmd̪ baloːt͡ʃ niːmhɡaːh biː d̪oː hazaːru noː saːliː t̪aː t̪aːsiːs boːt̪ wa biː hmiː xaːt̪iːraː ɣlaːm mhmd̪ baloːt͡ʃ ʃh paːkst̪aːniː d̪uːlt̪iː t̪rfh t̪ruːr boːt̪ .
بلوچستانی آزادی خواهین سازمان پاکستانی دولتی ضد که بی سالی ۱۹۶۷ تاسیس بوت ای حزبی مزن عبدا لنبی بنگل زی اینت.	bluːt͡ʃst̪aːniː aːzaːd̪iː xwaːhiːn saːzmaːn paːkst̪aːniː d̪uːlt̪iː zd̪ kh biː saːliː hazaːru noː sad̪u ʃast̪u hapt̪ t̪aːsiːs boːt̪ aːj hzbiː mazan bd̪aː lnbiː bnɡl ziː aːjnt̪ .
