preload=Template:Standard content for new page	preloˈɑd templɑˈte , stɑnˈdɑrd d͡ʒonˈtent ˈfor ˈnew pɑˈɡe
Mıkolayivka () - Ukrainanıñ Ades vilâyetinde Berezivka rayonında bir qasaba. Ealisiniñ sayısı 3 743 kişi.	mɯkolɑjiwˈkɑ ukrɑinɑˈnɯŋ ɑˈdes vilajetinˈde bereziwˈkɑ rɑjonɯnˈdɑ ˈbir qɑsɑˈbɑ . eɑlisiˈniŋ sɑjɯˈsɯ ˈyt͡ʃ ˈbiŋ jeˈdi ˈjyz ˈqɯrq ˈyt͡ʃ kiˈʃi .
bar:1980 at: 197467 text: 197.467 shift:(-11,5)	ˈbɑr , ˈbiŋ doˈquz ˈjyz sekˈsen ˈɑt , ˈjyz doqˈsɑn jeˈdi ˈbiŋ ˈdørt ˈjyz ɑltˈmɯʃ jeˈdi ˈtekst , ˈjyz doqˈsɑn jeˈdi ˈbiŋ ˈdørt ˈjyz ɑltˈmɯʃ jeˈdi sˈhift , miˈnus ˈon ˈbir ˈbeʃ
Graf Lev Nikolayeviç Tolstoy (; 1828 s. avgust 28 [sentâbr 9] — 1910 s. noyabr 7 [20]) — belli rus yazıcısıdır. Rusiyede, Tula şeeriniñ yanındaki Yasnaya Polâna qasabasında doğıp çoq yıl yaşadı.	ɡˈrɑf ˈlew nikolɑjeˈvit͡ʃ tolsˈtoj , ˈbiŋ seˈkiz ˈjyz jiɡirˈmi seˈkiz s . ɑwˈɡust jiɡirˈmi seˈkiz senˈtabr doˈquz ˈbiŋ doˈquz ˈjyz ˈon s . noˈjɑbr jeˈdi jiɡirˈmi beˈlːi ˈrus jɑzɯd͡ʒɯsɯˈdɯr . rusijeˈde , tuˈlɑ ʃeːriˈniŋ jɑnɯndɑˈki jɑsnɑˈjɑ polaˈnɑ qɑsɑbɑsɯnˈdɑ doˈɣɯp ˈt͡ʃoq ˈjɯl jɑʃɑˈdɯ .
Türkiye jurnalistler cemiyeti ve Türkiye sport yazıcıları cemiyeti azası. 2015 senesiniñ mart ayında Qırımtatar yazıcılar birligi fahriy azalığına qabul etildi.	tyrkiˈje ʒurnɑlistˈler d͡ʒemijeˈti ˈve tyrkiˈje sˈport jɑzɯd͡ʒɯlɑˈrɯ d͡ʒemijeˈti ɑzɑˈsɯ . eˈki ˈbiŋ ˈon ˈbeʃ senesiˈniŋ ˈmɑrt ɑjɯnˈdɑ qɯrɯmtɑˈtɑr jɑzɯd͡ʒɯˈlɑr birliˈɡi fɑhˈrij ɑzɑlɯɣɯˈnɑ qɑˈbul etilˈdi .
Aşağı Otuz (, ) — şarqiy Qırımnıñ Kefe şeer şurasında bir şeer şeklinde qasaba. Ealisiniñ sayısı 326 kişi (2011 senesi).	ɑʃɑˈɣɯ oˈtuz , ʃɑrˈqij qɯrɯmˈnɯŋ keˈfe ˈʃeːr ʃurɑsɯnˈdɑ ˈbir ˈʃeːr ʃeklinˈde qɑsɑˈbɑ . eɑlisiˈniŋ sɑjɯˈsɯ ˈyt͡ʃ ˈjyz jiɡirˈmi ɑlˈtɯ kiˈʃi eˈki ˈbiŋ ˈon ˈbir seneˈsi .
Şeyh Mamay (, ) – Qırımnıñ İslâm Terek rayonında bir köy. Ealisiniñ sayısı 210 kişi.	ˈʃejh mɑˈmɑj , qɯrɯmˈnɯŋ isˈlam teˈrek rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ eˈki ˈjyz ˈon kiˈʃi .
"Perşogo grudnâ" (Dekabr 1-inde) degen teşebbüs taqımınıñ istirakçileriden birisi. Kitaplar ve edebiyatşınas, psihologiya, din mevzusında çoq sayılı maqaleler, şiirleniñ, alman, ingliz, rus tilinden tercimelerniñ müellifi.	perʃoˈɡo ɡrudˈna deˈkɑbr ˈbir inˈde deˈɡen teʃeˈbːys tɑqɯmɯˈnɯŋ istirɑkt͡ʃileriˈden biriˈsi . kitɑpˈlɑr ˈve edebijɑtʃɯˈnɑs , psiholoɡiˈjɑ , ˈdin mewzusɯnˈdɑ ˈt͡ʃoq sɑjɯˈlɯ mɑqɑleˈler , ʃiːrleˈniŋ , ɑlˈmɑn , inɡˈliz , ˈrus tilinˈden terd͡ʒimelerˈniŋ myelːiˈfi .
Smuşkino (, ) — Qırımnıñ Krasnoperekopsk rayonında bir köydir. Ealisiniñ sayısı 72 kişi (2001 senesi).	smuʃkiˈno , qɯrɯmˈnɯŋ krɑsnopereˈkopsk rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ jetˈmiʃ eˈki kiˈʃi eˈki ˈbiŋ ˈbir seneˈsi .
Vasılkivka () - Ukrainanıñ Dnipropetrovsk vilâyetinde bir qasaba. Ealisiniñ sayısı 11 000 kişi (2024).	vɑsɯlkiwˈkɑ ukrɑinɑˈnɯŋ dnipropetˈrowsk vilajetinˈde ˈbir qɑsɑˈbɑ . eɑlisiˈniŋ sɑjɯˈsɯ ˈon ˈbir ˈbiŋ kiˈʃi eˈki ˈbiŋ jiɡirˈmi ˈdørt .
Mırne () - Ukrainanıñ Lugansk vilâyetinde bir qasaba. Ealisiniñ sayısı 396 kişi (2011 senesi).	mɯrˈne ukrɑinɑˈnɯŋ luˈɡɑnsk vilajetinˈde ˈbir qɑsɑˈbɑ . eɑlisiˈniŋ sɑjɯˈsɯ ˈyt͡ʃ ˈjyz doqˈsɑn ɑlˈtɯ kiˈʃi eˈki ˈbiŋ ˈon ˈbir seneˈsi .
Teñ Suv (, ) — Qırımnıñ Canköy rayonında bir köydir. Ealisiniñ sayısı 2 525 kişi (2001 senesi).	ˈteŋ ˈsuw , qɯrɯmˈnɯŋ d͡ʒɑnˈkøj rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ eˈki ˈbiŋ ˈbeʃ ˈjyz jiɡirˈmi ˈbeʃ kiˈʃi eˈki ˈbiŋ ˈbir seneˈsi .
Keramik () - Ukrainanıñ Donetsk vilâyetinde bir qasaba. Ealisiniñ sayısı 385 kişi (2011 senesi).	kerɑˈmik ukrɑinɑˈnɯŋ doˈnetsk vilajetinˈde ˈbir qɑsɑˈbɑ . eɑlisiˈniŋ sɑjɯˈsɯ ˈyt͡ʃ ˈjyz sekˈsen ˈbeʃ kiˈʃi eˈki ˈbiŋ ˈon ˈbir seneˈsi .
Tavşan Bazar (, ) – Qırımnıñ Aqmescit rayonında bir köy. Ealisiniñ sayısı 30 kişi (2001 senesi).	tɑwˈʃɑn bɑˈzɑr , qɯrɯmˈnɯŋ ɑqmesˈd͡ʒit rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ oˈtuz kiˈʃi eˈki ˈbiŋ ˈbir seneˈsi .
Dekadans — XIX ve XX asırlarnıñ sıñırında edebiyat ve sanat ceryanı. Birinci temsilcileri, sanatnı materializmden azat etmek ıntıldılar.	dekɑˈdɑns ˈon doˈquz ˈve jiɡirˈmi ɑsɯrlɑrˈnɯŋ sɯŋɯrɯnˈdɑ edebiˈjɑt ˈve sɑˈnɑt d͡ʒerjɑˈnɯ . birinˈd͡ʒi temsild͡ʒileˈri , sɑnɑtˈnɯ mɑteriɑlizmˈden ɑˈzɑt etˈmek ɯntɯldɯˈlɑr .
Qırım prokuraturasınıñ terkibi yañı şekilde tasdiqlanğanına qadar, şeer ve rayon prokuraturalarınıñ erkânı defalarca deşip turğan. Şeer prokuraturalarınıñ sayısı 5-ke qadar eksile edi ve 11-ge qadar arta edi, rayon prokuraturalarınıñ sayısı 11 ve 35 arasında edi. 1947 senesinde vatandaşlarnıñ muracaatları yañı seviyede baqılıp başlanğan edi.	qɯˈrɯm prokurɑturɑsɯˈnɯŋ terkiˈbi jɑˈŋɯ ʃekilˈde tɑsdiqlɑnɣɑnɯˈnɑ qɑˈdɑr , ˈʃeːr ˈve rɑˈjon prokurɑturɑlɑrɯˈnɯŋ erkaˈnɯ defɑlɑrˈd͡ʒɑ deˈʃip turˈɣɑn . ˈʃeːr prokurɑturɑlɑrɯˈnɯŋ sɑjɯˈsɯ ˈbeʃ ˈke qɑˈdɑr eksiˈle eˈdi ˈve ˈon ˈbir ˈɡe qɑˈdɑr ɑrˈtɑ eˈdi , rɑˈjon prokurɑturɑlɑrɯˈnɯŋ sɑjɯˈsɯ ˈon ˈbir ˈve oˈtuz ˈbeʃ ɑrɑsɯnˈdɑ eˈdi . ˈbiŋ doˈquz ˈjyz ˈqɯrq jeˈdi senesinˈde vɑtɑndɑʃlɑrˈnɯŋ murɑd͡ʒɑːtlɑˈrɯ jɑˈŋɯ sevijeˈde bɑqɯˈlɯp bɑʃlɑnˈɣɑn eˈdi .
Qıdırlez (, ) — Qırımnıñ Yedi Quyu rayonında bir köydir. Ealisiniñ sayısı 4 289 kişi (2001 senesi).	qɯdɯrˈlez , qɯrɯmˈnɯŋ jeˈdi quˈju rɑjonɯnˈdɑ ˈbir køjˈdir . eɑlisiˈniŋ sɑjɯˈsɯ ˈdørt ˈbiŋ eˈki ˈjyz sekˈsen doˈquz kiˈʃi eˈki ˈbiŋ ˈbir seneˈsi .
Tavel (, ) – Qırımnıñ Aqmescit rayonında bir köy. Ealisiniñ sayısı 1 134 kişi (2001 senesi).	tɑˈvel , qɯrɯmˈnɯŋ ɑqmesˈd͡ʒit rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈbiŋ ˈjyz oˈtuz ˈdørt kiˈʃi eˈki ˈbiŋ ˈbir seneˈsi .
Bilousivka () - Ukrainanıñ Vinnıtsâ vilâyetinde Tulçın rayonında bir köy. Ealisiniñ sayısı 539 kişi.	bilousiwˈkɑ ukrɑinɑˈnɯŋ vinːɯtˈsa vilajetinˈde tulˈt͡ʃɯn rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈbeʃ ˈjyz oˈtuz doˈquz kiˈʃi .
-{"Vi sitter i Ventrilo och spelar DotA"}- (2006)	ˈvi siˈtːer ˈi ventriˈlo ˈod͡ʒh speˈlɑr doˈtɑ eˈki ˈbiŋ ɑlˈtɯ
Seredınka () - Ukrainanıñ Vinnıtsâ vilâyetinde Gaysın rayonında bir köy. Ealisiniñ sayısı 948 kişi.	seredɯnˈkɑ ukrɑinɑˈnɯŋ vinːɯtˈsa vilajetinˈde ɡɑjˈsɯn rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ doˈquz ˈjyz ˈqɯrq seˈkiz kiˈʃi .
Pidlisne () - Ukrainanıñ Vinnıtsâ vilâyetinde Mogıliv-Podilskıy rayonında bir köy. Ealisiniñ sayısı 66 kişi.	pidlisˈne ukrɑinɑˈnɯŋ vinːɯtˈsa vilajetinˈde moɡɯˈliw podilsˈkɯj rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ɑltˈmɯʃ ɑlˈtɯ kiˈʃi .
Kuşelivka () - Ukrainanıñ Vinnıtsâ vilâyetinde Hmilnık rayonında bir köy. Ealisiniñ sayısı 395 kişi.	kuʃeliwˈkɑ ukrɑinɑˈnɯŋ vinːɯtˈsa vilajetinˈde hmilˈnɯk rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈyt͡ʃ ˈjyz doqˈsɑn ˈbeʃ kiˈʃi .
Svıtıntsi () - Ukrainanıñ Vinnıtsâ vilâyetinde Vinnıtsâ rayonında bir köy. Ealisiniñ sayısı 253 kişi.	svɯtɯntˈsi ukrɑinɑˈnɯŋ vinːɯtˈsa vilajetinˈde vinːɯtˈsa rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ eˈki ˈjyz eˈlːi ˈyt͡ʃ kiˈʃi .
Arıstivka () - Ukrainanıñ Vinnıtsâ vilâyetinde Jmerınka rayonında bir köy. Ealisiniñ sayısı 190 kişi.	ɑrɯstiwˈkɑ ukrɑinɑˈnɯŋ vinːɯtˈsa vilajetinˈde ʒmerɯnˈkɑ rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈjyz doqˈsɑn kiˈʃi .
Qorqmañız, Tatarlar! — qırımtatar şairi Şakir Selimnıñ (1942 – 2008) 2000 senesi yazğan bir şiiri.	qorqmɑˈŋɯz , tɑtɑrˈlɑr ! qɯrɯmtɑˈtɑr ʃɑiˈri ʃɑˈkir selimˈnɯŋ ˈbiŋ doˈquz ˈjyz ˈqɯrq eˈki , eˈki ˈbiŋ seˈkiz eˈki ˈbiŋ seneˈsi jɑzˈɣɑn ˈbir ʃiːˈri .
Romaşka () - Ukrainanıñ Vinnıtsâ vilâyetinde Mogıliv-Podilskıy rayonında bir köy. Ealisiniñ sayısı 13 kişi.	romɑʃˈkɑ ukrɑinɑˈnɯŋ vinːɯtˈsa vilajetinˈde moɡɯˈliw podilsˈkɯj rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈon ˈyt͡ʃ kiˈʃi .
Robert Frost (2015). The Oxford History of Poland–Lithuania: Volume I: The Making of the Polish–Lithuanian Union, 1385–1569. Oxford University Press, ISBN 978-0198208693	roˈbert fˈrost eˈki ˈbiŋ ˈon ˈbeʃ . tˈhe oksˈford hisˈtorj ˈof poˈlɑnd lithuɑniˈɑ , voluˈme ˈɯ , tˈhe mɑˈkinɡ ˈof tˈhe poˈlish lithuɑniˈɑn uniˈon , ˈbiŋ ˈyt͡ʃ ˈjyz sekˈsen ˈbeʃ , ˈbiŋ ˈbeʃ ˈjyz ɑltˈmɯʃ doˈquz . oksˈford univerˈsitj pˈresː , ˈɯsbn doˈquz ˈjyz jetˈmiʃ seˈkiz , ˈjyz doqˈsɑn seˈkiz milːiˈon eˈki ˈjyz seˈkiz ˈbiŋ ɑlˈtɯ ˈjyz doqˈsɑn ˈyt͡ʃ
Mıhaylivtsi () - Ukrainanıñ Vinnıtsâ vilâyetinde Mogıliv-Podilskıy rayonında bir köy. Ealisiniñ sayısı 1 270 kişi.	mɯhɑjliwtˈsi ukrɑinɑˈnɯŋ vinːɯtˈsa vilajetinˈde moɡɯˈliw podilsˈkɯj rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈbiŋ eˈki ˈjyz jetˈmiʃ kiˈʃi .
Solovyi () - Ukrainanıñ Jıtomır vilâyetinde Luginı rayonında bir köy. Ealisiniñ sayısı 191 kişi.	solowˈji ukrɑinɑˈnɯŋ ʒɯtoˈmɯr vilajetinˈde luɡiˈnɯ rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈjyz doqˈsɑn ˈbir kiˈʃi .
Saratovskiy (; ) - Rusiyenıñ Adıgeya cumhuriyetinde Krasnogvardeyskoye rayonında bir hutor. Ealisiniñ sayısı 491 kişi.	sɑrɑtowsˈkij , rusijeˈnɯŋ ɑdɯɡeˈjɑ d͡ʒumhurijetinˈde krɑsnoɡvɑrdejskoˈje rɑjonɯnˈdɑ ˈbir huˈtor . eɑlisiˈniŋ sɑjɯˈsɯ ˈdørt ˈjyz doqˈsɑn ˈbir kiˈʃi .
Starıy Dorogın () - Ukrainanıñ Jıtomır vilâyetinde Narodıçi rayonında bir köy. Ealisiniñ sayısı 247 kişi.	stɑˈrɯj doroˈɡɯn ukrɑinɑˈnɯŋ ʒɯtoˈmɯr vilajetinˈde nɑrodɯˈt͡ʃi rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ eˈki ˈjyz ˈqɯrq jeˈdi kiˈʃi .
Tennessi () — şimal-ğarbiy Amerika Qoşma Ştatlarında bir ştat. Paytahtı — Naşvill.	tenːeˈsːi ʃiˈmɑl ɣɑrˈbij ɑmeriˈkɑ qoʃˈmɑ ʃtɑtlɑrɯnˈdɑ ˈbir ʃˈtɑt . pɑjtɑhˈtɯ nɑʃˈvilː .
Mojarı () - Ukrainanıñ Jıtomır vilâyetinde Ovruç rayonında bir köy. Ealisiniñ sayısı 925 kişi.	moʒɑˈrɯ ukrɑinɑˈnɯŋ ʒɯtoˈmɯr vilajetinˈde owˈrut͡ʃ rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ doˈquz ˈjyz jiɡirˈmi ˈbeʃ kiˈʃi .
Vlasyevo (; ) - Rusiyeniñ Altay Cumhuriyetinde Ust-Koksa rayonında bir köy. Ealisiniñ sayısı 11 kişi.	vlɑsjeˈvo , rusijeˈniŋ ɑlˈtɑj d͡ʒumhurijetinˈde ˈust kokˈsɑ rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈon ˈbir kiˈʃi .
Yanvar 18 ya da qara qış ayınıñ 18. künü — grigorian taqvimge köre seneniñ 18. künüdir.	jɑnˈvɑr ˈon seˈkiz ˈjɑ ˈdɑ qɑˈrɑ ˈqɯʃ ɑjɯˈnɯŋ ˈon seˈkiz . kyˈny ɡriɡoriˈɑn tɑqvimˈɡe køˈre seneˈniŋ ˈon seˈkiz . kynyˈdir .
Mıyuta (; ) - Rusiyeniñ Altay Cumhuriyetinde Şabalin rayonında bir köy. Ealisiniñ sayısı 274 kişi.	mɯjuˈtɑ , rusijeˈniŋ ɑlˈtɑj d͡ʒumhurijetinˈde ʃɑbɑˈlin rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ eˈki ˈjyz jetˈmiʃ ˈdørt kiˈʃi .
Üç-dört kün soñ bizniñ köyniñ otlağına qunan-tay,	ˈyt͡ʃ ˈdørt ˈkyn ˈsoŋ bizˈniŋ køjˈniŋ otlɑɣɯˈnɑ quˈnɑn ˈtɑj ,
Promışlennıy () - Rusiyeniñ Altay ülkesinde Biysk rayonında bir qasaba. Ealisiniñ sayısı 189 kişi.	promɯʃleˈnːɯj rusijeˈniŋ ɑlˈtɑj ylkesinˈde ˈbijsk rɑjonɯnˈdɑ ˈbir qɑsɑˈbɑ . eɑlisiˈniŋ sɑjɯˈsɯ ˈjyz sekˈsen doˈquz kiˈʃi .
Berözovskiy () - Rusiyeniñ Altay ülkesinde Volçiha rayonında bir qasaba. Ealisiniñ sayısı 519 kişi.	berøzowsˈkij rusijeˈniŋ ɑlˈtɑj ylkesinˈde volt͡ʃiˈhɑ rɑjonɯnˈdɑ ˈbir qɑsɑˈbɑ . eɑlisiˈniŋ sɑjɯˈsɯ ˈbeʃ ˈjyz ˈon doˈquz kiˈʃi .
Borovlânka () - Rusiyeniñ Altay ülkesinde Zarinsk rayonında bir köy. Ealisiniñ sayısı 38 kişi.	borowlanˈkɑ rusijeˈniŋ ɑlˈtɑj ylkesinˈde zɑˈrinsk rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ oˈtuz seˈkiz kiˈʃi .
Tambovskiy () - Rusiyeniñ Altay ülkesinde Kamen rayonında bir qasaba. Ealisiniñ sayısı 108 kişi.	tɑmbowsˈkij rusijeˈniŋ ɑlˈtɑj ylkesinˈde kɑˈmen rɑjonɯnˈdɑ ˈbir qɑsɑˈbɑ . eɑlisiˈniŋ sɑjɯˈsɯ ˈjyz seˈkiz kiˈʃi .
Ozörnoye () - Rusiyeniñ Altay ülkesinde Kulunda rayonında bir köy. Ealisiniñ sayısı 12 kişi.	ozørnoˈje rusijeˈniŋ ɑlˈtɑj ylkesinˈde kulunˈdɑ rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈon eˈki kiˈʃi .
Solonovka () - Rusiyeniñ Altay ülkesinde Noviçiha rayonında bir köy. Ealisiniñ sayısı 776 kişi.	solonowˈkɑ rusijeˈniŋ ɑlˈtɑj ylkesinˈde novit͡ʃiˈhɑ rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ jeˈdi ˈjyz jetˈmiʃ ɑlˈtɯ kiˈʃi .
Stepnobugrinskiy () - Rusiyeniñ Altay ülkesinde Pospeliha rayonında bir qasaba. Ealisiniñ sayısı 20 kişi.	stepnobuɡrinsˈkij rusijeˈniŋ ɑlˈtɑj ylkesinˈde pospeliˈhɑ rɑjonɯnˈdɑ ˈbir qɑsɑˈbɑ . eɑlisiˈniŋ sɑjɯˈsɯ jiɡirˈmi kiˈʃi .
Nikolskoye () - Rusiyeniñ Altay ülkesinde Sovetskoye rayonında bir köy. Ealisiniñ sayısı 746 kişi.	nikolskoˈje rusijeˈniŋ ɑlˈtɑj ylkesinˈde sovetskoˈje rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ jeˈdi ˈjyz ˈqɯrq ɑlˈtɯ kiˈʃi .
Buranovo () - Rusiyeniñ Altay ülkesinde Togul rayonında bir köy. Ealisiniñ sayısı 188 kişi.	burɑnoˈvo rusijeˈniŋ ɑlˈtɑj ylkesinˈde toˈɡul rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈjyz sekˈsen seˈkiz kiˈʃi .
1980 seneleri AQŞ Milliy ilim vaqfınıñ esas ağına ükümet para ayıruvı, em de bütün dünyada diger ticariy esas ağlarğa şahsiy para ayıruv, yañı ağlar tehnologiyasını işlep çıqaruvda iştirak etüvge ve bir çoq ağnıñ birleşüvine ketirgen. Halqara ağınıñ 1990 seneleri ticariyleştirüvi onı mot olmasına ve insannıñ aman-aman er bir zemaneviy ayat saasına kirsetilmesine ketirgen.	ˈbiŋ doˈquz ˈjyz sekˈsen seneleˈri ˈɑqʃ miˈlːij iˈlim vɑqfɯˈnɯŋ eˈsɑs ɑɣɯˈnɑ ykyˈmet pɑˈrɑ ɑjɯruˈvɯ , ˈem ˈde byˈtyn dynjɑˈdɑ diˈɡer tid͡ʒɑˈrij eˈsɑs ɑɣlɑrˈɣɑ ʃɑhˈsij pɑˈrɑ ɑjɯˈruw , jɑˈŋɯ ɑɣˈlɑr tehnoloɡijɑsɯˈnɯ iʃˈlep t͡ʃɯqɑruwˈdɑ iʃtiˈrɑk etywˈɡe ˈve ˈbir ˈt͡ʃoq ɑɣˈnɯŋ birleʃyviˈne ketirˈɡen . hɑlqɑˈrɑ ɑɣɯˈnɯŋ ˈbiŋ doˈquz ˈjyz doqˈsɑn seneleˈri tid͡ʒɑrijleʃtiryˈvi oˈnɯ ˈmot olmɑsɯˈnɑ ˈve insɑˈnːɯŋ ɑˈmɑn ɑˈmɑn ˈer ˈbir zemɑneˈvij ɑˈjɑt sɑːsɯˈnɑ kirsetilmesiˈne ketirˈɡen .
