لم يبدُ لي ذلك منطقياً؛ بالتأكيد لم يكن عادلاً.	lˈam jˈabd lˈiː ðˈalik mantˤiɡˈijːaː , bitːaʔkˈiːd lˈam jˈakun ʕaːdˈilaː .
في شهر أبريل/نيسان من هذا العام، أصدر القاضي "غلين" أمراً تقييدياً مؤقتاً ضد المنشأة لإنفاذ إطلاق سراح المحتجزين لأكثر من 24 ساعة منذ احتجازهم ممن لم يمنحهم وكيل المحكمة جلسة استماع.	fˈiː ʃˈahr ʔabrˈiːl neːsˈaːn mˈin hˈaðaː alʕˈaːmː , ʔˈasˤdar alɡˈaːdˤiː ɣalˈiːn ʔˈamraː taɡjiːdˈijːaː muʔaɡːˈataː dˤˈidː almunʃˈaʔa liʔinfˈaːð ʔitˤlˈaːɡ sarˈaːħ almuħtaʒizˈiːn liʔˈakθar mˈin ʔarbaʕa wa ʕiʃruːn sˈaːʕa mˈunð iħtiʒaːzˈihim mˈimːan lˈam jamnaħˈuhum wakˈiːl almaħkˈama ʒˈilsa istimˈaːʕ .
تم التعرف على "المشاركة الشخصية" و "العلاقات المستمرة" كجوانب تحفيزية جديدة بواسطة إيمي ومكورد (1998) عندما درسوا رد فعل الجمهور على مواقع الويب.	tˈamː atːaʕˈarːuf ʕˈalaː almuʃˈaːraka aʃːaχsˤˈijːa w alʕalaːɡˈaːt almustamˈirːa kaʒawˈaːnib taħfiːzˈijːa ʒadˈiːda biwˈaːsitˤa ʔiːmˈijː wamukˈoːrid ʔalf wa tisʕumiʔa wa θamaːnija wa tisʕuːn ʕindˈamaː darˈasuː rˈadː fˈaʕal alʒumhˈuːr ʕˈalaː mawˈaːɡiʕ alwˈeːb .
تسبب سوء الأحوال الجوية في تعطل عملية البحث، وفشل الهبوط.	tasˈabːab sˈuːʔ alʔaħwˈaːl alʒoːˈijːa fˈiː taʕˈatˤːal ʕamalˈijːa albˈaħθ , wafˈaʃal alhubˈuːtˤ .
تأكد من أنك تعرف ما يمكنك وما لا يمكنك إحضاره والإعلان عن أي شيء يتجاوز الحدود القانونية.	taʔˈakːad mˈin ʔˈanːak tˈuʕraf mˈaː jumkˈinuk wˈamaː lˈaː jumkˈinuk ʔiħdˤˈaːruh walʔiʕlˈaːn ʕˈan ʔˈeː ʃˈeːʔ jataʒˈaːwaz alħudˈuːd alɡaːnuːnˈijːa .
وتحتوي بعض الأحذية على مسامير وهناك عناصر إضافية مرصعة للظروف المناخية الزلقة ومناسبة لأغلب الأحذية، للكعب أو الكعب والنعل.	wataħtˈawiː bˈaʕdˤ alʔaħðˈija ʕˈalaː masaːmˈiːr wahunˈaːk ʕanˈaːsˤir ʔidˤaːfˈijːa murasˤːˈaʕa liðˤːurˈuːf almunaːχˈijːa azːˈalɡa wamunˈaːsaba liʔˈaɣlab alʔaħðˈija , lilkˈaʕb ʔˈoː alkˈaʕb wanːˈaʕl .
قصص النّجاح هذه قلّلت من مخاوف التّغيير، بينما خلقت اتجاهاتٍ إيجابيةٍ نحو التّغيير في المستقبل.	ɡˈisˤasˤ anːʒˈaːħ hˈaðih ɡulːˈilat mˈin maχˈaːwif atːaɣjˈiːr , beːnˈamaː χulˈiɡat itːiʒaːhˈaːt ʔiːʒaːbˈijːa nˈaħw atːaɣjˈiːr fˈiː almustˈaɡbal .
وأثارت مخاوف نقص وسائل التنقل إلى احتمالية توجب إقامة المباراة خلف أبواب مغلقة، دون تواجد أنصار الفريق.	waʔaθˈaːrat maχˈaːwif nˈaɡasˤ wasˈaːʔil atːanˈaɡːul ʔlˈaː iħtimaːlˈijːa tˈuːʒib ʔɡˈaːma almubˈaːraː χˈalf ʔabwˈaːb muɣlˈaɡa , dˈuːn tawˈaːʒud ʔansˤˈaːr alfarˈiːɡ .
لن تحتاج إلى استخدام شركة محمول حيث تقيم أو تسافر لأنه يتم توجيه المكالمات من خلال الإنترنت.	lˈan taħtˈaːʒ ʔlˈaː istiχdˈaːm ʃˈarika maħmˈuːl ħˈeːθ tuɡˈiːm ʔˈoː tusˈaːfir liʔˈanːah jatˈimː toːʒˈiːh almukaːlamˈaːt mˈin χilˈaːl alʔintˈarnit .
درجة متروبلس أكثر راحة وأقل ازدحامًا لكنها أغلى رغم أنها تظل أرخص من تذاكر المترو العادية في أوروبا.	dˈaraʒa mutrˈuːbils ʔˈakθar rˈaːħa waʔaɡˈalː izdiħˈaːmaː lakinːˈahaː ʔˈaɣlaː rˈaɣm ʔanːˈahaː taðˤˈalː ʔˈarχasˤ mˈin taðˈaːkar almatrˈuwː alʕˈaːdija fˈiː ʔuːrˈuːbːaː .
يعني الاستناد إلى هذه الحفرية أن الانشقاق وقع مبكرًا للغاية عما كان متوقعًا استنادًا إلى الدليل الجزيئي.	jˈaʕniː alaːstinˈaːd ʔlˈaː hˈaðih alħafrˈijːa ʔˈan alaːnʃiɡˈaːɡ wˈaɡaʕ mubakːˈiraː lilɣˈaːja ʕˈamːaː kˈaːn mutawaɡːˈaʕaː istinˈaːdaː ʔlˈaː adːalˈiːl alʒuzeːʔˈijː .
كما تبنى غير المؤمنين في البلدان المسيحية وغير المسيحيين في مختلف أنحاء العالم العديد من التقاليد المحيطة بالأعياد.	kˈamaː tˈubnaː ɣˈeːr almuʔminˈiːn fˈiː albuldˈaːn ˈalimsiħjːa waɣˈeːr almasiːħijːˈiːn fˈiː muχtˈalaf ʔanħˈaːʔ alʕˈaːlam alʕadˈiːd mˈin atːaɡaːlˈiːd almuħˈiːtˤa bilʔaʕjˈaːd .
يمكن أن تؤدي الأيام الطويلة جدًا في الصيف إلى مشاكل في الحصول على قسط كافٍ من النوم والمشكلات الصحية المرتبطة.	jˈumkin ʔˈan tuʔˈadːiː alʔeːˈaːm atˤːawˈiːla ʒˈidːaː fˈiː asˤːˈeːf ʔlˈaː maʃˈaːkil fˈiː alħusˤˈuːl ʕˈalaː ɡˈistˤ kˈaːf mˈin anːˈoːm walmuʃkilˈaːt asˤːiħːˈijːa almurtˈabitˤa .
تبذل الكازينوهات عادة الكثير من الجهود لزيادة الوقت والمال الذي ينفقه الضيوف. عادة ما تكون النوافذ والساعات غائبة، وقد يكون من الصعب العثور على مخارج.	tˈabðul alkaːziːnuːhˈaːt ʕˈaːda alkaθˈiːr mˈin alʒuhˈuːd lizijˈaːda alwˈaɡt walmˈaːl alːˈaðiː junfˈiɡuh adˤːujˈuːf . ʕˈaːda mˈaː takˈuːn anːawˈaːfið wasːaːʕˈaːt ɣˈaːʔiba , wˈaɡad jakˈuːn mˈin asˤːˈaʕb alʕuθˈuːr ʕˈalaː maχˈaːriʒ .
بيد أن تشارلز حضر الجامعة في كلية ترينتي في كامبردج حيث درس الأنتروبولوجيا و علم الآثار والتاريخ لاحقاً. حيث حصل على 2:2 (المرتبة الدنيا الثانية).	bˈijad ʔˈan taʃaːrˈuluz ħˈadˤar alʒˈaːmiʕa fˈiː kulːˈijːa tirˈiːntiː fˈiː kaːmbˈardaʒ ħˈeːθ dˈars alʔanturuːbuːlˈuːʒjaː w ʕˈalim alʔaːθˈaːr watːaːrˈiːχ laːħˈiɡaː . ħˈeːθ ħˈasˤal ʕˈalaː iθnaːn , iθnaːn almartˈaba adːˈunjaː aθːˈaːnija .
مع أنه، نظرياً، يمكن إقامتهم سنوياً (طالما كانوا في بلدان مختلفة)، إلا أن هذا لا يحدث عملياً.	mˈaʕ ʔˈanːah , naðˤarˈijːaː , jˈumkin ʔɡaːmatˈihim sanawˈijːaː tˤaːlˈamaː kˈaːnuː fˈiː buldˈaːn muχtˈalifa , ʔlːˈaː ʔˈan hˈaðaː lˈaː juħˈadːiθ ʕamalˈijːaː .
تتطلب تأشيرات الطلاب عموماً متطلبات وإجراءات تقديم مختلفة عن تأشيرات السياحة أو العمل العادية.	tatatˤˈalːab taʔʃiːrˈaːt atˤːulːˈaːb ʕumˈuːmaː mutatˤalːabˈaːt waʔiʒraːʔˈaːt taɡdˈiːm muχtˈalifa ʕˈan taʔʃiːrˈaːt asːijˈaːħa ʔˈoː alʕˈamal alʕˈaːdija .
كان البشر يصنعون العدسات ويستخدمونها للتكبير منذ آلاف وآلاف السنين.	kˈaːn albˈaʃar jasˤnaʕˈuːn alʕadasˈaːt wajastaχdimuːnˈahaː litːakbˈiːr mˈunð ʔaːlˈaːf waʔaːlˈaːf asːinˈiːn .
يحتوي الجزء الشمالي أو سلسلة سانتينيل على أعلى جبال في القارة القطبية الجنوبية، فينسون ماسيف حيث تبلغ ذروته ما يعادل 4892 متر جبل فينسون.	jaħtˈawiː alʒˈuzʔ aʃːamaːlˈijː ʔˈoː silsˈila saːntiːnˈiːl ʕˈalaː ʔˈaʕlaː ʒibˈaːl fˈiː alɡˈaːrːa alɡutˤbˈijːa alʒanuːbˈijːa , fajansˈoːn maːsˈiːf ħˈeːθ tˈabluɣ ðirwˈatah mˈaː juʕˈaːdil ʔarbaʕa ʔaːlaːf wa θamaːnumiʔa wa iθnaːn wa tisʕuːn mˈitr ʒˈabal fajansˈuːn .
كان طابعه رقم 1000 "الأعمال العظيمة التي قام بها الملوك السويديون" من قبل ديفيد كلوكر إهرنشترال في سنة 2000، والتي تم إدراجها في موسوعة غينيس للأرقام القياسية العالمية.	kˈaːn tˤaːbˈiʕah rˈaɡm ʔalf alʔaʕmˈaːl alʕaðˤˈiːma alːˈatiː ɡˈaːm bˈihaː almulˈuːk asːuweːdijːˈuːn mˈin ɡˈabl diːfˈiːd kulˈuːkr ʔihriniʃitrˈaːl fˈiː sˈana ʔalfaːn , walːˈatiː tˈamː ʔidraːʒˈuhaː fˈiː moːsˈuːʕa ɣiːnˈiːs liliʔraɡˈaːm alɡijaːsˈijːa alʕaːlamˈijːa .
وفي النهاية، تم استبدال العجلات الخشبية بعجلات حديدية. في عام 1767، تم إدخال أول قضبان حديدية كاملة.	wˈafiː anːihˈaːja , tˈamː istibdˈaːl alʕaʒalˈaːt alχaʃabˈijːa biʕaʒalˈaːt ħadiːdˈijːa . fˈiː ʕˈaːm ʔalf wa sabʕumiʔa wa sabʕa wa sittuːn , tˈamː ʔidχˈaːl ʔˈoːal ɡudˤbˈaːn ħadiːdˈijːa kˈaːmila .
من بين 1,400 شخص شملهم استطلاع ما قبل الانتخابات الفيدرالية لعام 2010، زادت نسبة من يعارضون أن تصبح أستراليا جمهورية بمقدار 8 في المائة منذ عام 2008.	mˈin bˈeːn ʔalf wa ʔarbaʕumiʔa ʃˈaχsˤ ʃamlˈuhum istitˤlˈaːʕ mˈaː ɡˈabl alaːntiχaːbˈaːt alfiːdraːlˈijːa liʕˈaːm ʔalfaːn wa ʕaʃara , zˈaːdat nˈisba mˈin juʕaːridˤˈuːn ʔˈan tˈusˤbiħ ʔusitrˈaːljaː ʒumhuːrˈijːa bimiɡdˈaːr θamaːnija fˈiː almˈiʔa mˈunð ʕˈaːm ʔalfaːn wa θamaːnija .
على الرغم من أن كاتب هذا الجزء من النص غير معروف تحديداً، ولكننا نعلم أن المخطوطة الكبيرة (ذات مقاسات 29¾ بوصة × 24½ بوصة) كانت مخزّنة مطوية في بداية وجودها.	ʕˈalaː arːˈaɣm mˈin ʔˈan kˈaːtab hˈaðaː alʒˈuzʔ mˈin anːˈasˤː ɣˈeːr maʕrˈuːf taħdˈiːdaː , walakinːˈanaː nˈaʕlam ʔˈan almaχtˤˈuːtˤa alkabˈiːra ðˈaːt muɡaːsˈaːt tisʕa wa ʕiʃruːn θalaːθa ʕˈalaː ʔarbaʕa bˈuːsˤːa fj ʔarbaʕa wa ʕiʃruːn waːħid ʕˈalaː iθnaːn bˈuːsˤːa kˈaːnat muχzˈana matˤwˈijːa fˈiː bidˈaːja wuʒuːdˈihaː .
وقد أخمدت فرق الإنقاذ النار في نهاية المطاف بحلول الساعة 11:35 مساء.	wˈaɡad ʔaχmˈadat fˈarɡ alʔinɡˈaːð anːˈaːr fˈiː nihˈaːja almatˤˈaːf biħulˈuːl asːˈaːʕa asːˈaːʕa ʔaħada ʕaʃar wˈa xamsa wa θalaːθuːn daɡˈiːɡa masˈaːʔ .
بين الساعة 10:00 إلى 11:00 مساءً بتوقيت الجبل، أُضرِمَ حريقٌ من قبل النزلاء في الفناء.	bˈeːn asːˈaːʕa asːˈaːʕa ʕaʃara ʔlˈaː asːˈaːʕa ʔaħada ʕaʃar masˈaːʔ bitoːɡˈiːt alʒˈabal , ʔˈadˤram ħarˈiːɡ mˈin ɡˈabl anːuzalˈaːʔ fˈiː alfinˈaːʔ .
تغادر الحافلات المحطة الداخلية بين المناطق (عبر النهر) في خلال اليوم على الرغم من أن معظمها وخاصة المتجهة منها إلى الشرق وجاكار/بومثانج تغادر بين 06:30 و 07:30.	tuɣˈaːdir alħaːfilˈaːt almaħˈatˤːa adːaːχilˈijːa bˈeːn almanˈaːtˤiɡ ʕˈabːar anːˈahr fˈiː χilˈaːl aljˈoːm ʕˈalaː arːˈaɣm mˈin ʔˈan muʕðˤamˈuhaː waχˈaːsˤːa almutːˈaʒiha mˈinhaː ʔlˈaː aʃːˈarɡ waʒaːkˈaːr buːmθˈaːniʒ tuɣˈaːdir bˈeːn asːˈaːʕa sitta wˈa θalaːθuːn daɡˈiːɡa w asːˈaːʕa sabʕa wˈa θalaːθuːn daɡˈiːɡa .
تركيا الأوروبية (تراقيا الشرقية أو روميليا في شبه جزيرة البلقان) فتضم 3% من البلاد.	turkˈijaː alʔuːruːbːˈijːa taraːɡˈijaː aʃːarɡˈijːa ʔˈoː ruːmˈiːljaː fˈiː ʃˈibh ʒazˈiːra albalɡˈaːn fatudˤˈamː θalaːθa fˈiː almˈiʔa mˈin albilˈaːd .
حل نيوت جينجريتش، رئيس مجلس النواب الأمريكي السابق، في المرتبة الثانية بنسبة 32%.	ħˈalː nujˈuːt ʒiːnʒarˈiːtʃ , raʔˈiːs mˈaʒlis anːuwːˈaːb alʔamriːkˈijː asːˈaːbiɡ , fˈiː almartˈaba aθːˈaːnija binˈisba iθnaːn wa θalaːθuːn fˈiː almˈiʔa .
حصد نادال نقاط على الشبكة بنسبة 88% في المباراة، ليفوز بـ76 نقطة في الإرسال الأول.	ħˈasˤad naːdˈaːl niɡˈaːtˤ ʕˈalaː aʃːˈabaka binˈisba θamaːnija wa θamaːnuːn fˈiː almˈiʔa fˈiː almubˈaːraː , lijafˈuːz bˈi sitta wa sabʕuːn nˈuɡtˤa fˈiː alʔirsˈaːl alʔˈoːal .
فعلى سبيل المثال، يقترح البعض "التعلم" و"التنشئة الاجتماعية" كدوافع مهمّة لاستخدام شبكة الإنترنت (جيمس وغيره، 1995).	faʕˈalaː sabˈiːl almiθˈaːl , jaɡtˈariħ albˈaʕdˤ atːaʕˈalːum w atːanʃˈiʔa alaːʒtimaːʕˈijːa kadawˈaːfiʕ muhˈimːa listiχdˈaːm ʃˈabaka alʔintˈarnit ʒˈiːms waɣˈeːrih , ʔalf wa tisʕumiʔa wa xamsa wa tisʕuːn .
خلال شغله لمنصب مستشار في الأمن القومي، ساعد كارتر دبلوماسيًا في إدارة شؤون العالم مثل اتفاقيات كامب ديفيد عام 1978؛ وفكرة تطبيع العلاقات الأمريكية والصينية في أواخر السبعينيات؛ والثورة الإيرانية التي أدت إلى كارثة الرهائن الإيرانية عام 1979؛ والاحتلال السوفييتي لأفغانستان عام 1979.	χilˈaːl ʃaɣˈalah limˈansˤib musitʃˈaːr fˈiː alʔˈamn alɡoːmˈijː , sˈaːʕid kˈaːrtur dibluːmˈaːsjaː fˈiː ʔidˈaːra ʃuʔˈuːn alʕˈaːlam mˈiθl itːfaːɡjːˈaːt kˈaːmib diːfˈiːd ʕˈaːm ʔalf wa tisʕumiʔa wa θamaːnija wa sabʕuːn , wafˈikra tatˤbˈiːʕ alʕalaːɡˈaːt alʔamriːkˈijːa wasˤːiːnˈijːa fˈiː ʔawˈaːχir asːabʕiːnijːˈaːt , waθːˈoːra alʔiːraːnˈijːa alːˈatiː ʔˈadːat ʔlˈaː kˈaːriθa arːahˈaːʔin alʔiːraːnˈijːa ʕˈaːm ʔalf wa tisʕumiʔa wa tisʕa wa sabʕuːn , walaːħtilˈaːl asːuːfijiːtˈijː liʔafɣaːnistˈaːn ʕˈaːm ʔalf wa tisʕumiʔa wa tisʕa wa sabʕuːn .
قام البرتغاليون بتدميرها وإعادة بنائها تحت اسم "كازا برانكا"، فقط ليهجروها بعد زلزال 1755.	ɡˈaːm alburtuɣaːlijːˈuːn bitadmiːrˈihaː waʔiʕˈaːda binaːʔˈihaː tˈaħt ˈism kˈaːzaː baraːnˈikaː , fˈaɡatˤ lijahʒurˈuːhaː bˈaʕd zilzˈaːl ʔalf wa sabʕumiʔa wa xamsa wa xamsuːn .
مرعوبين، أُجبر الملك لويس السادس عشر والملكة ماري أنطوانيت وطفلاهما الصغيران (ماري تيريزذات الـ11 عاماً ولويس تشارلز ذو الأربع أعوام) وأخت الملك، السيدة إليزابيث، في السادس من تشرين الأول عام 1789، على الرجوع من فرساي إلى باريس بواسطة حشد من غوغاء نسوة السوق.	marʕuːbˈiːn , ʔˈuʒbir almˈilk lwˈiːs asːˈaːdis ʕˈaʃar walmˈalaka mˈaːriː ʔuntˤuwaːnˈiːt watˤiflaːhˈumaː asˤːaɣiːrˈaːn mˈaːriː tiːriːzðˈaːt ˈal ʔaħada ʕaʃar ʕˈaːmaː waluwˈiːs taʃˈaːrluz ðˈuː alʔˈarbaʕ ʔaʕwˈaːm waʔˈuχt almˈilk , asːeːˈida ʔiliːzaːbˈiːθ , fˈiː asːˈaːdis mˈin tiʃrˈiːn alʔˈoːal ʕˈaːm ʔalf wa sabʕumiʔa wa tisʕa wa θamaːnuːn , ʕˈalaː arːuʒˈuːʕ mˈin farsˈaːj ʔlˈaː baːrˈiːs biwˈaːsitˤa ħˈaʃd mˈin ɣoːɣˈaːʔ nˈiswa asːˈuːɡ .
في الولايات المتحدة الأمريكية هناك ما يقارب 400,000 حالة معروفة من مرض التصلب المتعدد (ت م) مما يجعله أكثر الأمراض العصبية انتشاراً بين الشباب والبالغين ذوي الأعمار المتوسطة.	fˈiː alwilaːjˈaːt almutːˈaħida alʔamriːkˈijːa hunˈaːk mˈaː juɡˈaːrib ʔarbaʕumiʔa ʔalf ħˈaːla maʕrˈuːfa mˈin mˈaradˤ atːasˤˈalːub almutaʕˈadːid t m mˈimːaː jaʒʕˈaluh ʔˈakθar alʔamrˈaːdˤ alʕasˤabˈijːa intiʃˈaːraː bˈeːn aʃːabˈaːb walbaːliɣˈiːn ðˈawiː alʔaʕmˈaːr almutawasːˈitˤa .
تضم اليابان ما يقرب من 7,000 جزيرة (أكبرها جزيرة هونشو)، ما يجعل اليابان سابع أكبر جزيرة في العالم!	tudˤˈamː aljaːbˈaːn mˈaː jˈaɡrub mˈin sabʕa ʔaːlaːf ʒazˈiːra ʔakbarˈihaː ʒazˈiːra hˈuːnʃuː , mˈaː jˈuʒʕal aljaːbˈaːn sˈaːbiʕ ʔˈakbar ʒazˈiːra fˈiː alʕˈaːlam !
لم يصدر تحذير عن تسونامي، ووفقا لوكالة جاكرتا للجيوفيزياء، لن يصدر تحذير عن تسونامي لأن الزلزال لم يستوف متطلبات 6.5 درجة.	lˈam jˈasˤdur taħðˈiːr ʕˈan tusuːnaːmˈijː , wawˈafɡaː liwakˈaːla ʒaːkirˈataː lilʒujuːfiːzjˈaːʔ , lˈan jˈasˤdur taħðˈiːr ʕˈan tusuːnaːmˈijː liʔˈanː azːilzˈaːl lˈam jastˈoːf mutatˤalːabˈaːt sitta fˈaːsˤila xamsa dˈaraʒa .
يهاجر حوالي 1.5 مليون من الحيوانات العاشبة في شهر تشرين الأول من كل عام إلى السهول الجنوبية، عابرون نهر مارا، من التلال الشمالية من أجل الأمطار.	juhˈaːʒir ħawˈaːleː waːħid fˈaːsˤila xamsa miljˈuːn mˈin alħajawaːnˈaːt alʕˈaːʃiba fˈiː ʃˈahr tiʃrˈiːn alʔˈoːal mˈin kˈulː ʕˈaːm ʔlˈaː asːuhˈuːl alʒanuːbˈijːa , ʕaːbirˈuːn nˈahr mˈaːrːaː , mˈin atːilˈaːl aʃːamaːlˈijːa mˈin ʔˈaʒl alʔamtˤˈaːr .
أُسس الدين في القرن الخامس عشر على يد "جورو ناناك" (1469-1539). خلفه من بعده تسعة "غورو" آخرين.	ʔˈasːas adːˈeːn fˈiː alɡˈarn alχˈaːmis ʕˈaʃar ʕˈalaː jˈad ʒˈuːruː naːnˈaːk ʔalf wa ʔarbaʕumiʔa wa tisʕa wa sittuːn ʔalf wa xamsumiʔa wa tisʕa wa θalaːθuːn . χˈalfah mˈin bˈaʕdah tˈisʕa ɣˈuːruː ʔaːχarˈiːn .
سجّل هدفين ومرر تمريرتين حاسمتين في المباراة التي تغلّب فيها فريق واشنطن على فريق أتلانتا ثراشرز بنتيجة 5-3.	sˈaʒːal hadafˈeːn wamˈarar tamriːratˈeːn ħaːsimatˈeːn fˈiː almubˈaːraː alːˈatiː tˈaɣlib fˈiːhaː farˈiːɡ waːʃˈintˤun ʕˈalaː farˈiːɡ ʔatlˈaːntaː θaraːʃˈirz binatˈiːʒa xamsa θalaːθa .
