The Latin Library, Suetoni Tranquilli vita Divi Augusti	ˈtʰɛ ˈɫatɪn ˈlɪbrary , suˈɛtɔnɪ traŋˈkʷɪllɪ ˈwɪta ˈdɪwɪ au̯ˈɡʊstɪ
1922 - H. Gobind Khorana, biochemicus Americanus; mortuus est anno 2011.	ˈmiːllɛ noːŋˈɡɛntiː wiːˈɡɪntiː ˈduɔ h . ˈɡɔbɪnd kˈhɔrana , biɔˈkʰɛmɪkʊs amɛˈrɪkanʊs , ˈmɔrtuʊs ˈɛst ˈannɔ ˈduɔ ˈmiːlia ˈuːndɛkĩː .
Panda maior nigros albosque pilos habet. Adulti sunt 1.2 - 1.9 m (4 - 6 pedes) longi cum cauda 10 - 15 cm (3.9 - 5.9 pedes) longa et usque ad 160 kg (350 lb) pensent. Adultae magnopere usque ad 20 % minores.	ˈpanda ˈmajjɔr ˈnɪɡrɔs aɫˈbɔskʷɛ ˈpɪɫɔs ˈhabɛt . aˈdʊɫtɪ ˈsʊnt ˈuːnʊs . ˈduɔ ˈuːnʊs . ˈnɔwẽː ˈmɛtra ˈkʷattuɔr , ˈsɛks ˈpɛdɛs ˈɫɔŋɡɪ ˈkũː ˈkau̯da ˈdɛkẽː , ˈkʷiːndɛkĩː kɛnˈtɪmɛtra ˈtreːs . ˈnɔwẽː ˈkʷiːŋkʷɛ . ˈnɔwẽː ˈpɛdɛs ˈɫɔŋɡa ˈɛt ˈʊskʷɛ ˈad ˈkɛntũː sɛksaːˈɡɪntaː kʰɪlɪˈɡrammata trɛˈkɛntiː kʷiːŋkʷaːˈɡɪntaː ɫb ˈpẽːsɛnt . aˈdʊɫtae̯ maŋˈnɔpɛrɛ ˈʊskʷɛ ˈad wiːˈɡɪntiː kɛnˈtɛsɪmae̯ ˈmɪnɔrɛs .
Anno 1712, Petrus I, monarcha Russicus, caput regni Petropolim transtulit. Moscua tamen valens urbs Russiae mansit, 'Primum Solium' appellata, locus coronae impositionis imperatorum Russicorum erat.	ˈannɔ ˈmiːllɛ sɛptɪŋˈɡɛntiː duˈɔdɛkĩː , ˈpɛtrʊs ˈɪ , mɔˈnarkʰa ˈrʊssɪkʊs , ˈkapʊt ˈrɛŋnɪ pɛˈtrɔpɔlĩː ˈtrãːstʊlɪt . ˈmɔskua ˈtamɛn ˈwaɫẽːs ˈʊrps ˈrʊssiae̯ ˈmãːsɪt , ˈprɪmũː ˈsɔliũː apˈpɛllata , ˈɫɔkʊs ˈkɔrɔnae̯ ɪmpɔsɪˈtiɔnɪs ɪmpɛˈratɔrũː rʊsˈsɪkɔrũː ˈɛrat .
Provinciam Regionalem Syracusanam (provinciam abrogatam),	prɔˈwɪŋkiãː rɛɡiˈɔnaɫẽː syraˈkʊsanãː prɔˈwɪŋkiãː aˈbrɔɡatãː ,
Perpessicius et al., edd., Mihai Eminescu, Opere. 16 voll. Bucarestae, 1939-1993 Versio interretialis huius editionis	pɛrpɛsˈsɪkiʊs ˈɛt ˈaɫ , ˈɛdd , ˈmɪhaɪ ɛmɪˈnɛskʊ , ˈɔpɛrɛ . ˈseːdɛkĩː ˈwɔll . bʊkaˈrɛstae̯ , ˈmiːllɛ noːŋˈɡɛntiː uːndeːkʷadraːˈɡɪntaː , ˈmiːllɛ noːŋˈɡɛntiː noːnaːˈɡɪntaː ˈtreːs ˈwɛrsiɔ ɪntɛrrɛˈtialɪs ˈhʊjjʊs ɛdɪˈtiɔnɪs
Krosskveðjur þess heilaga kjenniföðurs, [Holis] 1618	krɔsskˈwɛdjʊr ˈtɛss heˈɪɫaɡa kjɛnˈnɪfodʊrs , ˈhɔlɪs ˈmiːllɛ sɛsˈkɛntiː duɔdeːwiːˈɡɪntiː
Herodotus, antiquissimus de hoc nomine auctor, non montem sed urbem Pyrenen commemorat. Montes nomen suum e Pyrene mythica cepisse, filia Bebrycis, ab Hercule amata, in his montibus sepulta, canit Silius Italicus:	hɛˈrɔdɔtʊs , antɪˈkʷɪssɪmʊs ˈdɛ ˈhɔk ˈnɔmɪnɛ ˈau̯ktɔr , ˈnɔn ˈmɔntẽː ˈsɛd ˈʊrbẽː ˈpyrɛnɛn kɔmˈmɛmɔrat . ˈmɔntɛs ˈnɔmɛn ˈsuũː ˈɛ ˈpyrɛnɛ ˈmytʰɪka kɛˈpɪssɛ , ˈfɪlia ˈbɛbrykɪs , ˈab ˈhɛrkʊɫɛ ˈamata , ˈɪn ˈhɪs ˈmɔntɪbʊs sɛˈpʊɫta , ˈkanɪt ˈsɪliʊs ɪˈtalɪkʊs ,
Journée nationale du fromage (celebratio annualis caseorum Francica)	joˈʊrneɛ natiˈɔnaɫɛ ˈdʊ ˈfrɔmaɡɛ kɛɫɛˈbratiɔ anˈnualɪs kaˈseɔrũː ˈfraŋkɪka
Traditiones etiam in nostro tempore multae sunt.	tradɪˈtiɔnɛs ˈɛtiãː ˈɪn ˈnɔstrɔ ˈtɛmpɔrɛ ˈmʊɫtae̯ ˈsʊnt .
Hiroa, Te Rangi (Peter H. Buck). 1953. Explorers of the Pacific: European and American Discoveries in Polynesia. Bernice P. Bishop Museum special publication 43. Honolului: Bernice P. Bishop Museum.	ˈhɪroa , ˈtɛ ˈraŋɡɪ ˈpɛtɛr h . ˈbʊkk . ˈmiːllɛ noːŋˈɡɛntiː kʷiːŋkʷaːˈɡɪntaː ˈtreːs . ˈɛkspɫɔrɛrs ˈɔf ˈtʰɛ ˈpakɪfɪk , eʊˈrɔpean ˈand aˈmɛrɪkan dɪskɔˈwɛriɛs ˈɪn pɔlyˈnɛsia . ˈbɛrnɪkɛ p . ˈbɪshɔp ˈmʊseũː sˈpɛkiaɫ pʊblɪˈkatiɔn kʷadraːˈɡɪntaː ˈtreːs . hɔnɔˈɫʊɫuɪ , ˈbɛrnɪkɛ p . ˈbɪshɔp ˈmʊseũː .
In nova fert animus mutatas dicere formas	ˈɪn ˈnɔwa ˈfɛrt ˈanɪmʊs ˈmʊtatas ˈdɪkɛrɛ ˈfɔrmas
1990: "Fama fert", in Melissa, n° 37, anno 1990, p. 7. (De Pierre Grimal)	ˈmiːllɛ noːŋˈɡɛntiː noːnaːˈɡɪntaː , ˈfama ˈfɛrt , ˈɪn mɛˈlɪssa , n triːˈɡɪntaː ˈsɛptẽː , ˈannɔ ˈmiːllɛ noːŋˈɡɛntiː noːnaːˈɡɪntaː , p . ˈsɛptẽː . ˈdɛ piˈɛrrɛ ˈɡrɪmaɫ
1841 - Paulus Eyschen, primus minister Luxemburgi; mortuus est anno 1915.	ˈmiːllɛ ɔktɪŋˈɡɛntiː kʷadraːˈɡɪntaː ˈuːnʊs ˈpau̯ɫʊs eˈyskʰɛn , ˈprɪmʊs mɪˈnɪstɛr ɫʊksɛmˈbʊrɡɪ , ˈmɔrtuʊs ˈɛst ˈannɔ ˈmiːllɛ noːŋˈɡɛntiː ˈkʷiːndɛkĩː .
Ohe vel Hoè (deinde Fanum Sanctae Mariae Hoè; olim: Luparium) (Italiane: Santa Maria Hoè),	ˈɔhɛ ˈwɛɫ ˈhoe̯ deˈɪndɛ ˈfanũː ˈsaŋktae̯ ˈmariae̯ ˈhoe̯ , ˈɔlĩː , ɫʊˈpariũː ɪtaˈlianɛ , ˈsanta ˈmaria ˈhoe̯ ,
Agricultura circa 24 centesimas PDG repraesentat.	aɡrɪˈkʊɫtʊra ˈkɪrka wiːˈɡɪntiː ˈkʷattuɔr kɛnˈtɛsɪmas pdɡ rɛprae̯ˈsɛntat .
2004 - Ludi Olympii aestivi XXVII in Graecia ineuntur.	ˈduɔ ˈmiːlia ˈkʷattuɔr ˈɫʊdɪ ɔˈlympiɪ ˈae̯stɪwɪ wiːˈɡɪntiː ˈsɛptẽː ˈɪn ˈɡrae̯kia ɪneˈʊntʊr .
1929 - Iosephus Boussinesq, mathematicus Francicus (*&nbsp;1842)	ˈmiːllɛ noːŋˈɡɛntiː uːndeːtriːˈɡɪntaː ˈjɔsɛpʰʊs boˈʊssɪnɛsk , matʰɛˈmatɪkʊs ˈfraŋkɪkʊs ˈmiːllɛ ɔktɪŋˈɡɛntiː kʷadraːˈɡɪntaː ˈduɔ
1869 - Gustavus Vigeland, sculptor Norvegicus (†&nbsp;1943)	ˈmiːllɛ ɔktɪŋˈɡɛntiː uːndeːsɛptuaːˈɡɪntaː ˈɡʊstawʊs ˈwɪɡɛɫand , sˈkʊɫptɔr nɔrˈwɛɡɪkʊs ˈmiːllɛ noːŋˈɡɛntiː kʷadraːˈɡɪntaː ˈtreːs
Paulus I (scilicet Romae circa annum 700 natus; ibidem mortuus die 28 Iunii 767) erat episcopus Romae et Papa Ecclesiae Catholicae Romanae a die 29 Maii 757 ad mortem.	ˈpau̯ɫʊs ˈɪ sˈkɪlɪkɛt ˈrɔmae̯ ˈkɪrka ˈannũː sɛptɪŋˈɡɛntiː ˈnatʊs , ˈɪbɪdẽː ˈmɔrtuʊs ˈdiɛ duɔdeːtriːˈɡɪntaː ˈjʊniɪ sɛptɪŋˈɡɛntiː sɛksaːˈɡɪntaː ˈsɛptẽː ˈɛrat ɛˈpɪskɔpʊs ˈrɔmae̯ ˈɛt ˈpapa ɛkˈkɫɛsiae̯ kaˈtʰɔlɪkae̯ ˈrɔmanae̯ ˈa ˈdiɛ uːndeːtriːˈɡɪntaː ˈmajjɪ sɛptɪŋˈɡɛntiː kʷiːŋkʷaːˈɡɪntaː ˈsɛptẽː ˈad ˈmɔrtẽː .
Universitas Pennsylvaniensis (Anglice University of Pennsylvania) est universitas privata Philadelphiae in urbe Pennsylvaniensi sita. Quam Beniaminus Franklin condidit, et universitas usque ex anno 1740 esse dicitur. Hodie in numero optimarum universitatum Americanarum a nonnullis habetur.	ʊnɪˈwɛrsɪtas pɛnnsyɫwaniˈẽːsɪs ˈaŋɡlɪkɛ ʊnɪˈwɛrsɪty ˈɔf pɛnnsyɫˈwania ˈɛst ʊnɪˈwɛrsɪtas ˈprɪwata pʰɪɫaˈdɛɫpʰiae̯ ˈɪn ˈʊrbɛ pɛnnsyɫwaniˈẽːsɪ ˈsɪta . ˈkʷãː bɛniˈamɪnʊs ˈfraŋklɪn ˈkɔndɪdɪt , ˈɛt ʊnɪˈwɛrsɪtas ˈʊskʷɛ ˈɛks ˈannɔ ˈmiːllɛ sɛptɪŋˈɡɛntiː kʷadraːˈɡɪntaː ˈɛssɛ ˈdɪkɪtʊr . ˈhɔdiɛ ˈɪn ˈnʊmɛrɔ ɔpˈtɪmarũː ʊnɪwɛrˈsɪtatũː amɛrɪˈkanarũː ˈa nɔnˈnʊllɪs ˈhabɛtʊr .
Commentaria in Doctrinali Alexandri de Villa-Dei	kɔmmɛnˈtaria ˈɪn dɔkˈtrɪnalɪ aɫɛkˈsandrɪ ˈdɛ ˈwɪlla ˈdeɪ
1811 : Giorgio Gallesio, Traité du citrus. 1811 Textus apud archive.org	ˈmiːllɛ ɔktɪŋˈɡɛntiː ˈuːndɛkĩː , ɡiˈɔrɡiɔ ɡalˈlɛsiɔ , ˈtraɪtɛ ˈdʊ ˈkɪtrʊs . ˈmiːllɛ ɔktɪŋˈɡɛntiː ˈuːndɛkĩː ˈtɛkstʊs ˈapʊd ˈarkʰɪwɛ . ˈɔrɡ
28 Octobris - Maxentius imperator proelio ad Pontem Mulvium Romae facto a Constantino I imperatore victus et flumine submersus est.	duɔdeːtriːˈɡɪntaː ˈɔktɔbrɪs makˈsɛntiʊs ɪmˈpɛratɔr ˈproe̯liɔ ˈad ˈpɔntẽː ˈmʊɫwiũː ˈrɔmae̯ ˈfaktɔ ˈa kõːsˈtantɪnɔ ˈɪ ɪmpɛˈratɔrɛ ˈwɪktʊs ˈɛt ˈfɫʊmɪnɛ sʊbˈmɛrsʊs ˈɛst .
1575 : Volumen Paramirum, Strasbourg: Christian Müller	ˈmiːllɛ kʷiːŋˈɡɛntiː sɛptuaːˈɡɪntaː ˈkʷiːŋkʷɛ , ˈwɔɫʊmɛn paˈramɪrũː , sˈtrasboʊrɡ , ˈkʰrɪstian ˈmullɛr
Amis, Kingsley. 1960 (1975). New Maps of Hell: A Survey of Science Fiction. Novi Eboraci: Arno Press. ISBN 0405063210.	ˈamɪs , ˈkɪŋɡsɫey . ˈmiːllɛ noːŋˈɡɛntiː sɛksaːˈɡɪntaː ˈmiːllɛ noːŋˈɡɛntiː sɛptuaːˈɡɪntaː ˈkʷiːŋkʷɛ . ˈnɛw ˈmaps ˈɔf ˈhɛll , ˈa ˈsʊrwey ˈɔf skiˈɛŋkɛ ˈfɪktiɔn . ˈnɔwɪ ɛˈbɔrakɪ , ˈarnɔ ˈprɛss . ˈɪsbn kʷadrɪŋˈɡɛntiː ˈkʷiːŋkʷɛ miːlliˈoːneːs sɛksaːˈɡɪntaː ˈtria ˈmiːlia dʊˈkɛntiː ˈdɛkẽː .
Postea usque ad annum 824, nonnulli Francorum et Maurorum duces Pampilonam rexerunt.	ˈpɔstea ˈʊskʷɛ ˈad ˈannũː ɔktɪŋˈɡɛntiː wiːˈɡɪntiː ˈkʷattuɔr , nɔnˈnʊllɪ ˈfraŋkɔrũː ˈɛt ˈmau̯rɔrũː ˈdʊkɛs pamˈpɪɫɔnãː ˈrɛksɛrʊnt .
T. N. Carvalho, "O tema da Ética de Estado nas Aves de Aristófanes". Archai, 2014(12)ː 19-24	t . n . karˈwaɫhɔ , ˈɔ ˈtɛma ˈda ˈɛtɪka ˈdɛ ˈɛstadɔ ˈnas ˈawɛs ˈdɛ arɪsˈtɔfanɛs . ˈarkʰaɪ , ˈduɔ ˈmiːlia kʷattuˈɔrdɛkĩː duˈɔdɛkĩː uːndeːwiːˈɡɪntiː , wiːˈɡɪntiː ˈkʷattuɔr
Praeses Camerae Apostolicae et ergo camerarius Ecclesiae Catholicae est cardinalis Coemgenus Farrell, ab XIV Februario, anno Domini MMXIX.	ˈprae̯sɛs ˈkamɛrae̯ apɔsˈtɔlɪkae̯ ˈɛt ˈɛrɡɔ kamɛˈrariʊs ɛkˈkɫɛsiae̯ kaˈtʰɔlɪkae̯ ˈɛst karˈdɪnalɪs ˈkoe̯mɡɛnʊs ˈfarrɛll , ˈab kʷattuˈɔrdɛkĩː fɛbruˈariɔ , ˈannɔ ˈdɔmɪnɪ ˈduɔ ˈmiːlia uːndeːwiːˈɡɪntiː .
Adams (Ad.) – Carolus B. Adams (1814–1853)	ˈadãːs ˈad . ˈkarɔɫʊs b . ˈadãːs ˈmiːllɛ ɔktɪŋˈɡɛntiː kʷattuˈɔrdɛkĩː , ˈmiːllɛ ɔktɪŋˈɡɛntiː kʷiːŋkʷaːˈɡɪntaː ˈtreːs
"The World Awheel: Early Cycling Books at the Lilly Library," www.indiana.edu.	ˈtʰɛ ˈwɔrɫd ˈawheɛɫ , eˈarly ˈkyklɪŋɡ ˈboɔks ˈat ˈtʰɛ ˈlɪlly ˈlɪbrary , www . ɪnˈdiana . ˈɛdʊ .
Sihler, Andrew L. 1995. New Comparative Grammar of Greek and Latin. Oxonii: Oxford University Press. ISBN 0-19-508345-8.	ˈsɪhɫɛr , ˈandrɛw ɫ . ˈmiːllɛ noːŋˈɡɛntiː noːnaːˈɡɪntaː ˈkʷiːŋkʷɛ . ˈnɛw kɔmpaˈratɪwɛ ˈɡrammar ˈɔf ˈɡreɛk ˈand ˈɫatɪn . ɔkˈsɔniɪ , ˈɔksfɔrd ʊnɪˈwɛrsɪty ˈprɛss . ˈɪsbn ˈnɪhɪɫ uːndeːwiːˈɡɪntiː kʷiːŋˈɡɛnta ˈɔktoː ˈmiːlia trɛˈkɛntiː kʷadraːˈɡɪntaː ˈkʷiːŋkʷɛ ˈɔktoː .
Quod Vladimirus Lenin e caede operariorum fodinarum Lenensium (Lenskie priiski), in Bodaibo urbe anno 1912 facta, pseudonymum suum excogitavit (nam saepe hoc affirmatur), impossibile est; quamvis haec Helga Ulianova, Demetrii fratris Lenin filia, dicebat, Nicolaum Lenin pseudonymum Vladimirus Ulianov ab anno 1901 nec a 1912 usus erat .	ˈkʷɔd wɫaˈdɪmɪrʊs ˈɫɛnɪn ˈɛ ˈkae̯dɛ ɔpɛraˈriɔrũː fɔˈdɪnarũː ɫɛˈnẽːsiũː ˈɫẽːskiɛ priˈɪskɪ , ˈɪn bɔˈdaɪbɔ ˈʊrbɛ ˈannɔ ˈmiːllɛ noːŋˈɡɛntiː duˈɔdɛkĩː ˈfakta , pseʊˈdɔnymũː ˈsuũː ɛkskɔˈɡɪtawɪt ˈnãː ˈsae̯pɛ ˈhɔk afˈfɪrmatʊr , ɪmpɔsˈsɪbɪɫɛ ˈɛst , ˈkʷamwɪs ˈhae̯k ˈhɛɫɡa ʊliˈanɔwa , dɛˈmɛtriɪ ˈfratrɪs ˈɫɛnɪn ˈfɪlia , ˈdɪkɛbat , ˈnɪkɔɫaũ̯ː ˈɫɛnɪn pseʊˈdɔnymũː wɫaˈdɪmɪrʊs ʊˈlianɔw ˈab ˈannɔ ˈmiːllɛ noːŋˈɡɛntiː ˈuːnʊs ˈnɛk ˈa ˈmiːllɛ noːŋˈɡɛntiː duˈɔdɛkĩː ˈʊsʊs ˈɛrat .
Peter Force, ed., Tracts and other papers relating principally to the origin, settlement and progress of the colonies in North America (Vasingtoniae, 1846) fasc. 4?	ˈpɛtɛr ˈfɔrkɛ , ˈɛd , ˈtrakts ˈand ˈɔtʰɛr ˈpapɛrs ˈrɛɫatɪŋɡ prɪŋkɪˈpally ˈtɔ ˈtʰɛ ˈɔrɪɡɪn , ˈsɛttɫɛmɛnt ˈand ˈprɔɡrɛss ˈɔf ˈtʰɛ kɔˈɫɔniɛs ˈɪn ˈnɔrtʰ aˈmɛrɪka wasɪŋɡˈtɔniae̯ , ˈmiːllɛ ɔktɪŋˈɡɛntiː kʷadraːˈɡɪntaː ˈsɛks ˈfask . ˈkʷattuɔr ?
"Dream team", anno 1992 in Barcinonis Olympiis, partem fuit, cum Laurentio Bird et Magico Johnson. Vicerunt aureum clipeum pro Civitatibus Foederatis Americae.	ˈdreãː ˈteãː , ˈannɔ ˈmiːllɛ noːŋˈɡɛntiː noːnaːˈɡɪntaː ˈduɔ ˈɪn barˈkɪnɔnɪs ɔˈlympiɪs , ˈpartẽː ˈfuɪt , ˈkũː ɫau̯ˈrɛntiɔ ˈbɪrd ˈɛt ˈmaɡɪkɔ ˈjɔhnsɔn . ˈwɪkɛrʊnt ˈau̯reũː ˈklɪpeũː ˈprɔ kɪwɪˈtatɪbʊs foe̯ˈdɛratɪs aˈmɛrɪkae̯ .
Paul K. Benedict, "Thai, Kadai and Indonesian: a new alignment in south east Asia" in American Anthropologist vol. 44 (1942) pp. 576-601.	ˈpau̯ɫ k . ˈbɛnɛdɪkt , ˈtʰaɪ , ˈkadaɪ ˈand ɪndɔˈnɛsian , ˈa ˈnɛw aˈlɪŋnmɛnt ˈɪn ˈsoʊtʰ ˈeast ˈasia ˈɪn aˈmɛrɪkan antʰrɔˈpɔɫɔɡɪst ˈwɔɫ . kʷadraːˈɡɪntaː ˈkʷattuɔr ˈmiːllɛ noːŋˈɡɛntiː kʷadraːˈɡɪntaː ˈduɔ pp . kʷiːŋˈɡɛntiː sɛptuaːˈɡɪntaː ˈsɛks , sɛsˈkɛntiː ˈuːnʊs .
Robert Louis Stevenson, biographia a Walter Raleigh Equite scripta	ˈrɔbɛrt ˈɫouɪs stɛˈwẽːsɔn , biɔˈɡrapʰia ˈa ˈwaɫtɛr ˈraɫeɪɡh ˈɛkʷɪtɛ sˈkrɪpta
Hus rem novam introduxit, quod lingua Bohemica praedicabat et populum ad liturgiam congregatum eadem lingua canere faciebat. Ibidem quotannis fere 200 sermones lingua Bohemica habuit, quo etiam fiduciam populi, qui Bohemice loquebatur, in civitate, cui parva nobilitas linguae Theodiscae praefuit, corroboravit.	ˈhʊs ˈrẽː ˈnɔwãː ɪntrɔˈdʊksɪt , ˈkʷɔd ˈlɪŋɡʷa bɔˈhɛmɪka prae̯ˈdɪkabat ˈɛt ˈpɔpʊɫũː ˈad lɪˈtʊrɡiãː kɔŋˈɡrɛɡatũː ˈeadẽː ˈlɪŋɡʷa ˈkanɛrɛ faˈkiɛbat . ˈɪbɪdẽː kʷɔˈtannɪs ˈfɛrɛ dʊˈkɛntiː ˈsɛrmɔnɛs ˈlɪŋɡʷa bɔˈhɛmɪka ˈhabuɪt , ˈkʷɔ ˈɛtiãː fɪˈdʊkiãː ˈpɔpʊlɪ , ˈkʷɪ bɔˈhɛmɪkɛ ɫɔˈkʷɛbatʊr , ˈɪn kɪˈwɪtatɛ , ˈkuɪ ˈparwa nɔˈbɪlɪtas ˈlɪŋɡʷae̯ tʰeɔˈdɪskae̯ ˈprae̯fuɪt , kɔrrɔˈbɔrawɪt .
Feinman, Jay M. 2004. Unmaking law: The Conservative campaign to roll back the common law.	feˈɪnman , ˈjay m . ˈduɔ ˈmiːlia ˈkʷattuɔr . ˈʊnmakɪŋɡ ˈɫaw , ˈtʰɛ kõːsɛrˈwatɪwɛ ˈkampaɪŋn ˈtɔ ˈrɔll ˈbakk ˈtʰɛ ˈkɔmmɔn ˈɫaw .
Pausanias libro octavo Graeciae descriptionis capitulo 17	pau̯ˈsanias ˈlɪbrɔ ˈɔktawɔ ˈɡrae̯kiae̯ dɛskrɪpˈtiɔnɪs kaˈpɪtʊɫɔ sɛpˈtɛndɛkĩː
A mense Maio 2008, Kennedy cerebri cancro laborabat. In equestrem dignitatem Britannicam anno 2009 receptus est.	ˈa ˈmẽːsɛ ˈmajjɔ ˈduɔ ˈmiːlia ˈɔktoː , ˈkɛnnɛdy ˈkɛrɛbrɪ ˈkaŋkrɔ ɫaˈbɔrabat . ˈɪn ɛˈkʷɛstrẽː dɪŋˈnɪtatẽː brɪˈtannɪkãː ˈannɔ ˈduɔ ˈmiːlia ˈnɔwẽː rɛˈkɛptʊs ˈɛst .
