Mihail G. Boiagi easti unlu di protslji gramaticeanji tu Balcanu.	mihajl ɡ . bojad͡ʒi e̯asti unlu di prot͡sʎi ɡramatit͡ʃe̯aɲi tu balkan .
Albu (fem. albã) easti unã hromã tsi sh-u-adutsi multu cu-atsea a lapti lui (a neauãljei, a azvestiljei, etc.).	albu fem . albə e̯asti unə hromə t͡si ʃ u adut͡si multu ku at͡se̯a a lapti luj a ne̯awəʎej , a azvestiʎej , etk .
Vatra-a mea iu ãnj-ardu anjlji tsi-am bãnatã	vatra a me̯a iw əɲ ardu aɲʎi t͡si am bənatə
Shi mizii tsã-si-avde zborlu-a tal dit gurã.	ʃi mizij t͡sə si avde zborlu a tal dit ɡurə .
Familia a lui aveca veclji arãdãtsinã anamisa di Armanjlji dit Epir. Spiru Lambru li featsi studili Athena.	familja a luj aveka vekʎi arədət͡sinə anamisa di armaɲʎi dit epir . spir lambru li fe̯at͡si studili aθena .
Spiru Lambru ira shi om di politicã tu anlji 1916 — 1917, cãndu agiumsi shi pãnã premier a li Gartsii.	spir lambru ira ʃi om di politikə tu anʎi unə ɲiʎi nao suti ʃasprəd͡zat͡si , unə ɲiʎi nao suti ʃaptisprəd͡zat͡si , kəndu ad͡ʒumsi ʃi pənə premjer a li ɡart͡sij .
Sh-u-adutsi cu-unã sulinã lârdzitã multu la unu capit, cu guvi dealungului, tsi s-astupã cu deadzitlu i s-alasã distupati cãndu omlu suflã tu sulinã tra si scoatã bots muzicali.	ʃ u adut͡si ku unə sulinə lɨrd͡zitə multu la un kapit , ku ɡuvi de̯alunɡuluj , t͡si s astupə ku de̯ad͡zitlu i s alasə distupati kəndu omlu suflə tu sulinə tra si sko̯atə bot͡s muzikali .
Granitsa easti mardzinea (cijdia) tsi-aspuni iu bitiseashti unu loc shi nchiseasti unu altu; mardzinea a unui crat tsi-l disparti di-un altu (un agru di-un altu, loclu tsi tsãni di-unã hoarã di-atsel tsi tsãni di-unã altã hoarã, etc.).	ɡranit͡sa e̯asti mard͡zine̯a t͡ʃiʒdja t͡si aspuni iw bitise̯aʃti un lok ʃi nkise̯asti un altu , mard͡zine̯a a unuj krat t͡si l disparti di un altu un aɡru di un altu , loklu t͡si t͡səni di unə ho̯arə di at͡sel t͡si t͡səni di unə altə ho̯arə , etk .
Federatsia Shvaitsã icã Elvetsia (de:Schweizerische Eidgenossenschaft, fr: Confédération suisse, it: Confederazione Svizzera, rm: Confederaziun svizra) easte stat tu Europa.	federat͡sja ʃvajt͡sə ikə elvet͡sja de , skwejzeriske ejdd͡ʒenossenskaft , fr , konfederatjon sujsse , it , konfederazjone svizzera , rm , konfederaziwn svizra e̯aste stat tu ewropa .
Europiulu icã evropiu (numiru atomicu 63, Eu) easti unu elementu chimicu, lantanidu.	ewropiwlu ikə evropiw numir atomik ʃajd͡zət͡s ʃi trej , ew e̯asti un elementu kimik , lantanid .
Anlu 1989, Përmet avea k.A. bãnãtori. Tu 2001, 9860, shi tu 2005: 10686. La numirarea di-tu soni, atsea di-tu 2013, earau bãnãtori.	anlu unə ɲiʎi nao suti opd͡zət͡s ʃi nao , permet ave̯a k . a . bənətori . tu daw ɲiʎ un , nao ɲiʎ optu suti ʃajd͡zət͡s , ʃi tu daw ɲiʎ t͡sint͡si , d͡zat͡si ɲiʎ ʃasi suti opd͡zət͡s ʃi ʃasi . la numirare̯a di tu soni , at͡se̯a di tu daw ɲiʎ tresprəd͡zat͡si , e̯araw bənətori .
Arudzina easti luguria murnã-aroshi tsi u-acatsã herlu (sh-lu-aroadi) dupã tsi sta niheamã chiro dizvilit tu nutii. Ari tu alti numi: rudzinã, azgurii, zgurã, zgurii, zgureauã.	arud͡zina e̯asti luɡurja murnə aroʃi t͡si u akat͡sə herlu ʃ lu aro̯adi dupə t͡si sta nihe̯amə kiro dizvilit tu nutij . ari tu alti numi , rud͡zinə , azɡurij , zɡurə , zɡurij , zɡure̯awə .
- Promotor a cãntivlui, iholu shi portul armãnescu!	promotor a kəntivluj , ihol ʃi portul armənesku !
Muri - 5 di mai, anlu 1808, ãn Beligrad, Sãrbia	muri t͡sint͡si di maj , anlu unə ɲiʎi optu suti optu , ən beliɡrad , sərbja
Vãsilia di Norvegia (Bokmål: Kongeriket Norge; Nynorsk: Kongeriket Noreg) easte stat tu Europa.	vəsilja di norved͡ʒa bokmal , kond͡ʒeriket nord͡ʒe , nɣnorsk , kond͡ʒeriket noreɡ e̯aste stat tu ewropa .
Daniel Schneidermann (faptu 5 Aprir 1958, Parij) easte un jurnalistu gallescu.	danjel sknejdermann faptu t͡sint͡si aprir unə ɲiʎi nao suti t͡sind͡zət͡s ʃi optu , pariʒ e̯aste un ʒurnalistu ɡaʎesku .
Bamir Myrteza Topi (n. 24 aprir 1957, Tirana) easte om politic, sh' fu prezidentu-a Republicãljei Arbinishii dit 2007, pãn tru 2012.	bamir mɣrteza topi n . patrusprəɣinɡit͡s aprir unə ɲiʎi nao suti t͡sind͡zət͡s ʃi ʃapti , tirana e̯aste om politik , ʃ fu prezidentu a republikəʎej arbiniʃij dit daw ɲiʎ ʃapti , pən tru daw ɲiʎ dosprəd͡zat͡si .
Giuvairili suntu stulii faptã di-aradã di metalu scumpu (malamã, asimi, etc.), cu chetsrã scumpi, purtatã ca neali, biligits, bairi ti digushi, veari ti ureclji, etc.; giuvairi, giuvarico, givarico; (fig: giuvair = lucru mushat, scumpu; lucru vrut, yishteari, etc.)	d͡ʒuvajrili suntu stulij faptə di aradə di metal skumpu malamə , asimi , etk , ku ket͡srə skumpi , purtatə ka ne̯ali , bilid͡ʒit͡s , bajri ti diɡuʃi , ve̯ari ti urekʎi , etk , d͡ʒuvajri , d͡ʒuvariko , d͡ʒivariko , fiɡ , d͡ʒuvajr lukru muʃat , skumpu , lukru vrut , ɣiʃte̯ari , etk .
Petar II Petrovich Njegosh, ayisitã numã Rade Tomov Petrovich (Njegushi, 1 di brumar, anlu 1813 - Tsetinje, 31 di ximedru, anlu 1851), eara despot shi vãsilje al Monte Negro di dinastiya Petrovich - Njegosh, el easti un di nai ma mãrlji reprezentantsã a literaturãljei montenegreanã shi sãrbeascã.	petar doj petrovik ɲeɡoʃ , aɣisitə numə rade tomov petrovik ɲeɡuʃi , un di brumar , anlu unə ɲiʎi optu suti tresprəd͡zat͡si t͡setiɲe , trejd͡zət͡s ʃi un di ksimedru , anlu unə ɲiʎi optu suti t͡sind͡zət͡s ʃi un , e̯ara despot ʃi vəsiʎe al monte neɡro di dinastiɣa petrovik ɲeɡoʃ , el e̯asti un di naj ma mərʎi reprezentant͡sə a literaturəʎej monteneɡre̯anə ʃi sərbe̯askə .
Republica Islanda (Lýðveldið Ísland) easte stat ilandã tu Europa.	republika islanda lɣdveldid island e̯aste stat ilandə tu ewropa .
Judetsu Vaslui easti unu judetsu di-tu Romãnie. Easti i unu raion tu Moldovã.	ʒudet͡s vasluj e̯asti un ʒudet͡s di tu romənie . e̯asti i un rajon tu moldovə .
cumu l'irtâmu ş'noi a alutusiţlor a noşţrâ.	kum l irtɨm s noj a alutusitlor a nostrɨ .
Curiulu (numiru atomicu 96, Cm) easti unu elementu chimicu.	kuriwlu numir atomik no̯awəd͡zət͡s ʃi ʃasi , km e̯asti un elementu kimik .
Pusca easti unu lichidu cu gustul acru faptu di-tu yinu tsi s-ari acritã. Easti multu maxosu shi easti ufilisat n amisticu cu sãlatã.	puska e̯asti un likid ku ɡustul akru faptu di tu ɣin t͡si s ari akritə . e̯asti multu maksos ʃi e̯asti ufilisat n amistik ku səlatə .
Grãsimea easti unu compusu chimicu tsi ari hãrili-a umtului (a umturãljiei, a untulemnului, etc.), s-aspuni umtoasã cãndu dai di ea, alasã urmi umtoasi cãndu cadi pri chiva es shi s-aflã multimedios	ɡrəsime̯a e̯asti un kompus kimik t͡si ari hərili a umtuluj a umturəʎjej , a untulemnuluj , etk , s aspuni umto̯asə kəndu daj di e̯a , alasə urmi umto̯asi kəndu kadi pri kiva es ʃi s aflə multimedjos
Gogu Puiu ira alumtãtoru contra al Comunismulu ãn Romãnia. Haiducii Dobrogei cãrshilãtisiriu tu Securitate a sud di Dobrogea. Muri tu alunaru 1949, s-utcidi pi el cu ghiule.	ɡoɡ puj ira alumtətor kontra al komunismul ən romənja . hajdut͡ʃi dobrod͡ʒej kərʃilətisiriw tu sekuritate a sud di dobrod͡ʒe̯a . muri tu alunar unə ɲiʎi nao suti patrud͡zət͡s ʃi nao , s utt͡ʃidi pi el ku ɡiwle .
Armãnjili (icã Rãmãnjã, Vlaho-Machedonjili) suntu ominili (bãrbats icã muljari) di unã mileti tsi bãneadzã tu Balcani (shi dipuni dit dauãli populi, atsel trac sh'atsel roman, dupu tsi Trachia fu azvimtã sh'acãtsatã ao sh'ma nsus di 2000 di anj di mileti romanã).	arməɲili ikə rəməɲə , vlaho makedoɲili suntu ominili bərbat͡s ikə muʎari di unə mileti t͡si bəne̯ad͡zə tu balkani ʃi dipuni dit dawəli populi , at͡sel trak ʃ at͡sel roman , dup t͡si trakja fu azvimtə ʃ akət͡satə ao ʃ ma nsus di daw ɲiʎ di aɲ di mileti romanə .
Sh tuts diadun s'amintãmu anamea sh tinjia...	ʃ tut͡s djadun s amintəm aname̯a ʃ tiɲja .
Alexandru: Alexi, Alexa, Santo, Santa, Santi, Sandi, Sani;	aleksandru , aleksi , aleksa , santo , santa , santi , sandi , sani ,
Dimitru: Dimitri, Dimi, Dima, Dimitracu, Mitracu, Tacu, Dimitraki, Mitraki, Taki, Dimitrașu, Mitrușu, Tușu, Tuși, Dimitrașcu, Tașcu, Tașu, Tașa, Tași, Dimitriciu, Dimci, Dimcica, Diciu, Dicea, Miciu, Mitru, Mitu, Mitcu, Mitra, Mita, Mitraki, ;	dimitru , dimitri , dimi , dima , dimitrak , mitrak , tak , dimitraki , mitraki , taki , dimitras , mitrus , tus , tusi , dimitrasku , tasku , tas , tasa , tasi , dimitrit͡ʃ , dimt͡ʃi , dimt͡ʃika , dit͡ʃ , dit͡ʃe̯a , mit͡ʃ , mitru , mit , mitku , mitra , mita , mitraki ,
Petru: Ketru, Pitri, Piti, Pitu, Kita, Kitu;	petru , ketru , pitri , piti , pit , kita , kit ,
Yioryi: Yiorgu, Yiurgaki, Gaki, Yiuryița, Ghița, Yiuryiușu, Ghiușu, Ghioși, Gușu, Yiuryiciu, Yiurgula, Gula, Yiorguli, Guli, Gioga, Giogea;	ɣjorɣi , ɣjorɡu , ɣiwrɡaki , ɡaki , ɣiwrɣita , ɡita , ɣiwrɣiwsu , ɡiwsu , ɡjosi , ɡus , ɣiwrɣit͡ʃ , ɣiwrɡula , ɡula , ɣjorɡuli , ɡuli , d͡ʒoɡa , d͡ʒod͡ʒe̯a ,
Georgeta Caragiu Gheorghiță (* 1929, Sarsânlar, Durostor), scultoritsã romãnã	d͡ʒeord͡ʒeta karad͡ʒ ɡeorɡita unə ɲiʎi nao suti no̯awəsprəɣinɡit͡s , sarsɨnlar , durostor , skultorit͡sə romənə
Tu anlu 1992, cãsãbãlu avea 130812 bãnãtori sh-tu 2001: 122149. Estimarea trã anlu 2005 fu cã Plevna ari 113700 bãnãtori.	tu anlu unə ɲiʎi nao suti no̯awəd͡zət͡s ʃi doj , kəsəbəl ave̯a unə sutə trejd͡zət͡s ɲiʎ optu suti dosprəd͡zat͡si bənətori ʃ tu daw ɲiʎ un , unə sutə dojsprəɣinɡit͡s ɲiʎ unə sutə patrud͡zət͡s ʃi nao . estimare̯a trə anlu daw ɲiʎ t͡sint͡si fu kə plevna ari unə sutə tresprəd͡zat͡si ɲiʎ ʃapti suti bənətori .
Pashtili (Grailu Mari icã Ngrei-Mari) easti dzua tu cari crishtinjlji yiurtisescu Nyearea a Hristolui, tsi s-yiurtisescu 'n cafi anu, tu primuvearã.	paʃtili ɡrajlu mari ikə nɡrej mari e̯asti d͡zwa tu kari kriʃtiɲʎi ɣiwrtisesku nɣe̯are̯a a hristoluj , t͡si s ɣiwrtisesku n kafi an , tu primuve̯arə .
Gicã Coadã (faptu 15 Brumaru 1961, Tulcea, Dobrogea) easti unu cãntãtoru di-tu Romãnia, cu zãrtsini armãneshtsã.	d͡ʒikə ko̯adə faptu t͡sisprəd͡zat͡si brumar unə ɲiʎi nao suti ʃajd͡zət͡s ʃi un , tult͡ʃe̯a , dobrod͡ʒe̯a e̯asti un kəntətor di tu romənja , ku zərt͡sini arməneʃt͡sə .
Pi ninga-atsea tsi cãntã ca solistu, poate shi s-gioacã pi instrumente muzicale, ca harmonica shi ghitara.	pi ninɡa at͡se̯a t͡si kəntə ka solistu , po̯ate ʃi s d͡ʒo̯akə pi instrumente muzikale , ka harmonika ʃi ɡitara .
Çorovoda easti unu cãsãbã tu districtulu (rrethi) Districtulu Skrapar, Arbinishii. Cãsãbãlu easti parti di-tu prefectura Berat (qarku).	t͡sorovoda e̯asti un kəsəbə tu distriktul rreθi distriktul skrapar , arbiniʃij . kəsəbəl e̯asti parti di tu prefektura berat karku .
Arseniculu (numiru atomicu 33, As) easti unu elementu chimicu.	arsenikul numir atomik trejd͡zət͡s ʃi trej , as e̯asti un elementu kimik .
Telurulu (numiru atomicu 52, Te) easti unu elementu chimicu.	telurul numir atomik t͡sind͡zət͡s ʃi doj , te e̯asti un elementu kimik .
Tu shtiintsã shi fizicã, cãldura easti energhia transferatã anamisa unu sistemu termodinamicu shi mediu, sh-ari simvollu Q.	tu ʃtijnt͡sə ʃi fizikə , kəldura e̯asti enerɡja transferatə anamisa un sistem termodinamik ʃi mediw , ʃ ari simvoʎ k .
Plasturlu easti unã cumatã di pãndzã pri cari s-ari teasã unã alifii (mihlemi) sh-cari s-bagã pristi unã aranã, tra s-u-afireascã shi s-nu-acatsã pronjiu.	plasturlu e̯asti unə kumatə di pənd͡zə pri kari s ari te̯asə unə alifij mihlemi ʃ kari s baɡə pristi unə aranə , tra s u afire̯askə ʃi s nu akat͡sə proɲiw .
Arufeea easti discãrcarea ilectricã tsi s-fatsi (cu vrondu asurdzitor shi lunjinã scãntiljitoari) cãndu s-agudescu doi niori (tsi cadi di-tu tseru pri loc sh-poati s-lu-agudeascã shi s-lu vatãmã omlu).	arufee̯a e̯asti diskərkare̯a ilektrikə t͡si s fat͡si ku vrondu asurd͡zitor ʃi luɲinə skəntiʎito̯ari kəndu s aɡudesku doj njori t͡si kadi di tu t͡ser pri lok ʃ po̯ati s lu aɡude̯askə ʃi s lu vatəmə omlu .
Haralampie Polenacovici easte autor di multi lucri dit sfera di arta machedoneascã shi literatura popularã, cãcum shi dit sfera a literaturilor di alantile milets slavitsi. Opuslu a lui di shciintsã are cama multu di 1000 unite di bibliografiuri.	haralampie polenakovit͡ʃi e̯aste awtor di multi lukri dit sfera di arta makedone̯askə ʃi literatura popularə , kəkum ʃi dit sfera a literaturilor di alantile milet͡s slavit͡si . opuslu a luj di ʃt͡ʃint͡sə are kama multu di unə ɲiʎi unite di bibljoɡrafiwri .
Printsipatlu Monaco (gallica: Principauté de Monaco; monégasque: Principatu de Múnegu; occitan: Principat de Mónegue) easte monarhia parlamentarã shi cãsãbã-stat tu Europa.	print͡sipatlu monako ɡaʎika , print͡ʃipawte de monako , moneɡaskwe , print͡ʃipat de muneɡ , okt͡ʃitan , print͡ʃipat de moneɡwe e̯aste monarhja parlamentarə ʃi kəsəbə stat tu ewropa .
eara un filosofu, matimaticu, fisicu, alchimistu shi astronomu di arazga engleza.	e̯ara un filosof , matimatik , fisik , alkimistu ʃi astronom di arazɡa enɡleza .
Vocalu easte unã boatse di zburare-a omlui, tsi s-featse cu tritseare-a vimtulu fãrã chedits piste systemlu di botsle (adrat di pulmonjlji, trachea, larynxlu deadun cu cordile di boatse shi gura tutã) icã yrafema tsi u-spune idhyea botse.	vokal e̯aste unə bo̯at͡se di zburare a omluj , t͡si s fe̯at͡se ku trit͡se̯are a vimtul fərə kedit͡s piste sɣstemlu di bot͡sle adrat di pulmoɲʎi , trake̯a , larɣnkslu de̯adun ku kordile di bo̯at͡se ʃi ɡura tutə ikə ɣrafema t͡si u spune iðɣe̯a bot͡se .
amintatu la 23.12.1951 tu Tetovo, Makedonia Varyara;	amintat la trejsprəɣinɡit͡s dosprəd͡zat͡si unə ɲiʎi nao suti t͡sind͡zət͡s ʃi un tu tetovo , makedonja varɣara ,
Ari sinferu trã materialismu, pozitivismu shi evolutsionismu shi lji aleadzi pi Littré Claude Bernard, Auguste Comte, Darwin shi Spencer. Aleadzi opera a lu Wundt, Harald Høffding, Pierre Janet shi W. James, hiindalui multu interesatu di psihopatologie shi psihofizicã.	ari sinfer trə materjalismu , pozitivismu ʃi evolut͡sjonismu ʃi ʎi ale̯ad͡zi pi littre klawde bernard , awɡuste komte , darwin ʃi spent͡ʃer . ale̯ad͡zi opera a lu wundt , harald hoffdinɡ , pjerre ʒanet ʃi w . ʒames , hijndaluj multu interesat di psihopatolod͡ʒe ʃi psihofizikə .
Titaniulu (numiru atomicu 22, Ti) easti unu elementu chimicu.	titaniwlu numir atomik dojsprəɣinɡit͡s , ti e̯asti un elementu kimik .
Fatsa easti partea di nãinti di-tu caplu a omlui (cu oclji, nari, gurã etc.).	fat͡sa e̯asti parte̯a di nəjnti di tu kaplu a omluj ku okʎi , nari , ɡurə etk .
Bãcãrea icã arama (numiru atomicu 29 shi simvollu Cu) easti unu metalu cu hroma galbinã-aroshi, di-tu cari s-fac multi lucri (cloputi, pãradz, teli, sirmati, etc.).	bəkəre̯a ikə arama numir atomik no̯awəsprəɣinɡit͡s ʃi simvoʎ ku e̯asti un metal ku hroma ɡalbinə aroʃi , di tu kari s fak multi lukri kloputi , pərad͡z , teli , sirmati , etk .
Futugrãfiea easti vidzuta-a unui lucru (omu, fatsã di omu, etc.) loatã cu-unã hãlati shi ngrãpsitã (tipusitã) pi-unã acoalã. Atsel tsi scoati caduri (futugrãfii) cu-unã hãlati ti futugrafiari easti futugraflu.	futuɡrəfje̯a e̯asti vid͡zuta a unuj lukru om , fat͡sə di om , etk . lo̯atə ku unə həlati ʃi nɡrəpsitə tipusitə pi unə ako̯alə . at͡sel t͡si sko̯ati kaduri futuɡrəfij ku unə həlati ti futuɡrafjari e̯asti futuɡraflu .
Nai ma cunusctuli operi al Caragiale suntu:	naj ma kunusktuli operi al karad͡ʒale suntu ,
(expr: bãnedz ca tu grãdina alu Dumnidzã = ducu unã banã multu bunã iu nu-nji lipseashti tsiva)	ekspr , bəned͡z ka tu ɡrədina al dumnid͡zə duk unə banə multu bunə iw nu ɲi lipse̯aʃti t͡siva
Aroata icã arocutu easti unã lucru arucutosu (tserclju) di metalu (icã lemnu, plasticã, etc.) tsi poati s-hibã mplin tu mesi i golu, sh-cari, anvãrtinda-si fatsi si s-minã unu lucru (amaxi, moarã, funea di la puts, etc.).	aro̯ata ikə arokut e̯asti unə lukru arukutos t͡serkʎu di metal ikə lemnu , plastikə , etk . t͡si po̯ati s hibə mplin tu mesi i ɡol , ʃ kari , anvərtinda si fat͡si si s minə un lukru amaksi , mo̯arə , fune̯a di la put͡s , etk .
Dicționaru ari unâ prefațâ, unâ introducere normativâ, lingvisticâ și ortograficâ și unâ postfatâ istoricâ: Un dodecalog al aromânilor (Unu dodecalogos a Armâńiloru).	diktjonar ari unɨ prefatɨ , unɨ introdut͡ʃere normativɨ , linɡvistikɨ si ortoɡrafikɨ si unɨ postfatɨ istorikɨ , un dodekaloɡ al aromɨnilor un dodekaloɡos a armɨnilor .
Dzua Natsionalã-a Armãnjlor easte dzua natsionalã-a popului armãnescu cai bãneadzã arãspãndit tu Arbinishie, Vurgãrie, Gãrtsie, Machedonie di Nord, Rumãnie shi Sãrbie. Nai ma multu sã-nsimneadzã tu staturle di iu sãntu Armãnjlji, ma di la diaspora-armãneascã. Multsã dit Armãnjlji dit Gãrtsie nu-u pricunoscu dzua-aistã.	d͡zwa nat͡sjonalə a arməɲlor e̯aste d͡zwa nat͡sjonalə a populuj armənesku kaj bəne̯ad͡zə arəspəndit tu arbiniʃie , vurɡərie , ɡərt͡sie , makedonie di nord , rumənie ʃi sərbie . naj ma multu sə nsimne̯ad͡zə tu staturle di iw səntu arməɲʎi , ma di la djaspora arməne̯askə . mult͡sə dit arməɲʎi dit ɡərt͡sie nu u prikunosku d͡zwa ajstə .
Ungãrii, Ungãrie, i Ungarii, Ungarie cunuscutã shi ca Ripublica Ungãreanã (hu: Magyar Köztársaság) easti un stat cari s-aflã tu Ivropi shi easti mumbru tu Unia europeanã.	unɡərij , unɡərie , i unɡarij , unɡarie kunuskutə ʃi ka ripublika unɡəre̯anə hu , maɡɣar koztarsasaɡ e̯asti un stat kari s aflə tu ivropi ʃi e̯asti mumbru tu unja ewrope̯anə .
Unu amirã omlu tsi urseashti pristi tuts shi pristi tuti tsi s-fac tu-un crat mari.	un amirə omlu t͡si urse̯aʃti pristi tut͡s ʃi pristi tuti t͡si s fak tu un krat mari .
Ghermãnescã (pi ghermãneshte: Deutsch) easte unã limbã indo-europeanã shi limba ofitsialã tu Ghermãnia, Austria, Shwaitsã, Luxemburg, Belghia shi Liechtenstein.	ɡerməneskə pi ɡerməneʃte , dewt͡sk e̯aste unə limbə indo ewrope̯anə ʃi limba ofit͡sjalə tu ɡermənja , awstrja , ʃwajt͡sə , luksemburɡ , belɡja ʃi ljektenstejn .
Dominica (Commonwealth of Dominica) easte statu tu America di Not.	dominika kommonwe̯alθ of dominika e̯aste stat tu amerika di not .
