31 гыйнвар — Фәррах Дәүләтшин, БАССР халык чәчәне.	uˈtɨz ˈber ʁɨjnˈvɑr færˈrax dæylætˈʃin , ˈbe ˈɑ ˈes ˈes ˈer xɑˈlɨq ɕæɕæˈne .
Дәүләт идарәсе секторы операцияләре классификациясе коды - 2101600008200. Федераль салым хезмәте инспекциясе коды - 2137.	dæyˈlæt idaræˈse sektoˈrɨ operat͡sijɑlæˈre klassifikat͡sijɑˈse qoˈdɨ iˈke ˈmeŋ ˈjøz ˈber milliˈard ɑlˈtɨ ˈjøz milliˈon siˈɡez ˈmeŋ iˈke ˈjøz . fedeˈral sɑˈlɨm xezmæˈte inspekt͡sijɑˈse qoˈdɨ iˈke ˈmeŋ ˈjøz uˈtɨz ʑiˈde .
Гидрологик өйрәнү (ГӨ) буенча коды — 111103163	ɡidroloˈʁik øjræˈny ˈɡø bujenˈɕa qoˈdɨ ˈjøz unˈber milliˈon ˈjøz ˈøɕ ˈmeŋ ˈjøz ɑltˈmɨʃ ˈøɕ
Дәүләт су реестрында су объектының коды — 03020300112103000027234	dæyˈlæt ˈsu rejestrɨnˈda ˈsu obʔektɨˈnɨŋ qoˈdɨ ˈnul ˈøɕ ˈnul iˈke ˈnul ˈøɕ ˈnul ˈnul ˈber ˈber iˈke ˈber ˈnul ˈøɕ ˈnul ˈnul ˈnul ˈnul iˈke ʑiˈde iˈke ˈøɕ ˈdyrt
Кече Бурначка — Россия территориясеннән ага торган елга. Воронеж өлкәсе, Тамбов өлкәсе биләмәләрендә ага. Елга Бурначка елгасына кушылып, аның кушылдыгы булып тора. Елга озынлыгы 30 км.	keˈɕe burnɑˈɕqɑ rossiˈjɑ territorijɑsenˈnæn ɑˈʁɑ torˈʁɑn jelˈɡa . voroˈneʒ ølkæˈse , tɑmˈbov ølkæˈse bilæmælærenˈdæ ɑˈʁɑ . jelˈɡa burnɑˈɕqɑ jelɡasɨˈna quʃɨˈlɨp , ɑˈnɨŋ quʃɨldɨˈʁɨ buˈlɨp toˈrɑ . jelˈɡa ozɨnlɨˈʁɨ uˈtɨz kiloˈmetr .
Гидрологик өйрәнү (ГӨ) буенча коды — 111100887	ɡidroloˈʁik øjræˈny ˈɡø bujenˈɕa qoˈdɨ ˈjøz unˈber milliˈon ˈjøz ˈmeŋ siˈɡez ˈjøz sikˈsæn ʑiˈde
Егвиль — Россия территориясеннән ага торган елга. Коми Республикасы, Архангельск өлкәсе биләмәләрендә ага. Елга Виледь елгасына кушылып, аның кушылдыгы булып тора. Елга озынлыгы 16 км.	jeɡˈvil rossiˈjɑ territorijɑsenˈnæn ɑˈʁɑ torˈʁɑn jelˈɡa . qoˈmi respublikaˈsɨ , arxanˈɡelsk ølkæˈse bilæmælærenˈdæ ɑˈʁɑ . jelˈɡa viˈled jelɡasɨˈna quʃɨˈlɨp , ɑˈnɨŋ quʃɨldɨˈʁɨ buˈlɨp toˈrɑ . jelˈɡa ozɨnlɨˈʁɨ unɑlˈtɨ kiloˈmetr .
Орангутан – буйлары 150 см. Тәннәре куе кызыл төстәге йон белән капланган. Казналыклары зур, алга чыгып тора. Куллары озын, аяклары кыскарак.	orɑnʁuˈtɑn bujlɑˈrɨ ˈjøz ilˈle santiˈmetr . tænnæˈre quˈje qɨˈzɨl tøstæˈɡe ˈjon beˈlæn qɑplɑnˈʁɑn . qɑznɑlɨqlɑˈrɨ ˈzur , ɑlˈʁɑ ɕɨˈʁɨp toˈrɑ . qullɑˈrɨ oˈzɨn , ɑjɑqlɑˈrɨ qɨsqɑˈrɑq .
1883 елдан Швейцариядә чанада шуу буенча беренче ярышлар башлана, ә 1913 елда Дрезден шәһәрендә халыкара чана спорты федерациясенә нигез салына. Олимпия уеннары программасына чана спорты 1964 елдан кереп китә.	ˈmeŋ siˈɡez ˈjøz sikˈsæn ˈøɕ jelˈdan ʃvejt͡sarijɑˈdæ ɕɑnɑˈdɑ ʃuˈu bujenˈɕa berenˈɕe jɑrɨˈʃlɑr bɑʃlɑˈnɑ , ˈæ ˈmeŋ tuˈʁɨz ˈjøz uˈnøɕ jelˈda drezˈden ʃæhærenˈdæ xɑlɨqɑˈrɑ ɕɑˈnɑ sporˈtɨ federat͡sijɑseˈnæ niˈɡez sɑlɨˈnɑ . olimpiˈjɑ ujennaˈrɨ proʁrɑmmɑsɨˈnɑ ɕɑˈnɑ sporˈtɨ ˈmeŋ tuˈʁɨz ˈjøz ɑltˈmɨʃ ˈdyrt jelˈdan keˈrep kiˈtæ .
1974 елдан «Казаноргсинтез» «Синтез» су тубы клубының оештыручысы һәм спонсоры булып тора.	ˈmeŋ tuˈʁɨz ˈjøz ʑitˈmeʃ ˈdyrt jelˈdan qazanorʁsinˈtez sinˈtez ˈsu tuˈbɨ qlubɨˈnɨŋ ojeʃtɨruɕɨˈsɨ ˈhæm sponsoˈrɨ buˈlɨp toˈrɑ .
Экспертлар шурасы һәм «Алтын битлек» премиясе жюрие ел саен яңартыла.	eksperˈtlar ʃurɑˈsɨ ˈhæm ɑlˈtɨn biˈtlek premijɑˈse ʒjuriˈje ˈjel saˈjen jɑŋɑrtɨˈlɑ .
Виктор Габдрахманов, сәяси золым корбаны.	vikˈtor ʁɑbdrɑxmɑˈnov , sæjɑˈsi zoˈlɨm qorbɑˈnɨ .
1730-31 дә Казан губернаторы. Аның вакытында икенче Кама аръягы чик буе киртәсен төзү башлана. 1731 дә Яңа чукындыру комиссиясен оештыруга булышлык итә һәм хөкүмәттән яңа чукынган әҗнәбиләрне 3 елга дәүләт ясакларыннан һәм бурычларыннан азат итүне күздә тоткан ташламаларны раслатуга ирешә.	ˈmeŋ ʑiˈde ˈjøz uˈtɨz , uˈtɨz ˈber ˈdæ qɑˈzɑn ʁubernatoˈrɨ . ɑˈnɨŋ vɑqɨtɨnˈdɑ ikenˈɕe qɑˈmɑ ɑrʔjɑˈʁɨ ˈɕik buˈje kirtæˈsen tøˈzy bɑʃlɑˈnɑ . ˈmeŋ ʑiˈde ˈjøz uˈtɨz ˈber ˈdæ jɑˈŋɑ ɕuqɨndɨˈru qomissijɑˈsen ojeʃtɨruˈʁa bulɨˈʃlɨq iˈtæ ˈhæm xøkymætˈtæn jɑˈŋɑ ɕuqɨnˈʁɑn æʑnæbilærˈne ˈøɕ jelˈɡa dæyˈlæt jɑsɑqlɑrɨnˈnɑn ˈhæm burɨɕlɑrɨnˈnɑn ɑˈzɑt ityˈne kyzˈdæ totˈqɑn tɑʃlɑmɑlɑrˈnɨ rɑslɑtuˈʁɑ ireˈʃæ .
Монументның авторы — Рәис Сафин. Архитектура — Фирдәвис Ханов.	monumentˈnɨŋ ɑvtoˈrɨ ræˈis saˈfin . arxitektuˈra firdæˈvis xɑˈnov .
2020 ел ― Удмуртия башкаласы Ижау шәһәрендә ТР язучылар берлеге әгъзасы, шагыйрь Ринат Баттал истәлегенә мемориаль такта ачыла. Истәлек тактасы язучы 1994―2018 елларда яшәгән йорт (, 37) диварына куелган. Мемориаль тактаны ачу чарасында ТР язучылар берлеге рәисе Данил Салихов, шагыйрь Рифат Корбанов (Рифат Җамал) һ. б. катнаша .	iˈke ˈmeŋ jeɡerˈme ˈjel udmurtiˈjɑ bɑʃqɑlɑˈsɨ iʒaˈu ʃæhærenˈdæ ˈte ˈer jɑzuɕɨˈlɑr berleˈɡe æɡʔzaˈsɨ , ʃɑˈʁɨjr riˈnat bɑtˈtɑl istæleɡeˈnæ memoriˈal tɑqˈtɑ ɑɕɨˈlɑ . istæˈlek tɑqtɑˈsɨ jɑzuˈɕɨ ˈmeŋ tuˈʁɨz ˈjøz tuqˈsɑn ˈdyrt iˈke ˈmeŋ unsiˈɡez jellarˈda jɑʃæˈɡæn ˈjort , uˈtɨz ʑiˈde divarɨˈna qujelˈɡan . memoriˈal tɑqtɑˈnɨ ɑˈɕu ɕɑrɑsɨnˈdɑ ˈte ˈer jɑzuɕɨˈlɑr berleˈɡe ræiˈse daˈnil saliˈxov , ʃɑˈʁɨjr riˈfat qorbɑˈnov riˈfat ʑɑˈmɑl ˈhæm bɑʃqɑˈlɑr qɑtnɑˈʃɑ .
Милләтләр (2010): татарлар — 51,1%, руслар — 47,6%.	millæˈtlær iˈke ˈmeŋ ˈun , tɑtɑrˈlɑr ilˈle ˈber øˈter ˈber proˈt͡sent , ruˈslɑr qɨˈrɨq ʑiˈde øˈter ɑlˈtɨ proˈt͡sent .
«КАМАЗ» футбол клубының стадионы («Гренада» паркында)	qɑˈmɑz futˈbol qlubɨˈnɨŋ stadioˈnɨ ɡrenaˈda pɑrqɨnˈdɑ
1960 елда Казан дәүләт педагогия институтын "рус теле, әдәбияты һәм тарих укытучысы" белгечлеге буенча тәмамлаган. Урта мәктәптә укыта.	ˈmeŋ tuˈʁɨz ˈjøz ɑltˈmɨʃ jelˈda qɑˈzɑn dæyˈlæt pedaʁoʁiˈjɑ instituˈtɨn ˈrus teˈle , ædæbijɑˈtɨ ˈhæm taˈrix uqɨtuɕɨˈsɨ belɡeɕleˈɡe bujenˈɕa tæmamlaˈɡan . urˈtɑ mæktæpˈtæ uqɨˈtɑ .
Һинд дине Яңа Каледониягә башта утраудагы Аурупалыларга ялланган хезмәтчеләр итеп эшләгән Һиндлеләр белән килгән. Һинд Тамил чыгышлы якынча 500 Яңа Каледонияле бар. Алар Малабар исеме астында мәгълүм һәм элек 19-ынчы гасырда башка Француз Территорияләреннән килгән, бигрәк тә Реюньоннан.	ˈhind diˈne jɑˈŋɑ kaledonijɑˈʁæ bɑˈʃtɑ utrɑudɑˈʁɨ ɑurupɑlɨlɑrˈʁɑ jɑllɑnˈʁɑn xezmætɕeˈlær iˈtep eʃlæˈɡæn hindleˈlær beˈlæn kilˈɡæn . ˈhind taˈmil ɕɨʁɨˈʃlɨ jɑqɨnˈɕɑ ˈbiʃ ˈjøz jɑˈŋɑ kaledonijɑˈle ˈbɑr . ɑˈlɑr mɑlɑˈbɑr iseˈme ɑstɨnˈdɑ mæɡˈʔlym ˈhæm eˈlek untuʁɨzɨnˈɕɨ ʁɑsɨrˈdɑ bɑˈʃqɑ frɑnˈt͡suz territorijɑlærenˈnæn kilˈɡæn , biˈɡræk ˈtæ rejunonˈnan .
Галләарал (, ) — Үзбәкстанның Җиззәх өлкәсендә урнашкан шәһәр. Галләарал районының мәркәзе.	ɡallæaˈral , yzbækstanˈnɨŋ ʑizˈzæx ølkæsenˈdæ urnɑˈʃqɑn ʃæˈhær . ɡallæaˈral rɑjonɨˈnɨŋ mærkæˈze .
Шакир Һиләлетдинов (, — , ) — мөселман дин эшлеклесе, Атбасар мәчете имам-хатыйбы (1918-1930), Урта Азия һәм Казакъстан мөселманнары Диния нәзарәтенең ревизия комиссиясе рәисе (1943-1947), ССҖБнең Европа өлеше һәм Себер мөселманнарының диния нәзарәте мөфтие (1951-1974).	ʃaˈkir hilæletdiˈnov , møselˈman ˈdin eʃlekleˈse , ɑtbɑˈsɑr mæɕeˈte iˈmam xɑtɨjˈbɨ ˈmeŋ tuˈʁɨz ˈjøz unsiˈɡez , ˈmeŋ tuˈʁɨz ˈjøz uˈtɨz , urˈtɑ aziˈjɑ ˈhæm qɑzɑqʔˈstɑn møselmannaˈrɨ diniˈjɑ næzaræteˈneŋ reviziˈjɑ qomissijɑˈse ræiˈse ˈmeŋ tuˈʁɨz ˈjøz qɨˈrɨq ˈøɕ , ˈmeŋ tuˈʁɨz ˈjøz qɨˈrɨq ʑiˈde , ssʑbˈneŋ jevroˈpa øleˈʃe ˈhæm seˈber møselmannarɨˈnɨŋ diniˈjɑ næzaræˈte møftiˈje ˈmeŋ tuˈʁɨz ˈjøz ilˈle ˈber , ˈmeŋ tuˈʁɨz ˈjøz ʑitˈmeʃ ˈdyrt .
Гали Байчугави (, — , ) — шагыйрь, чичән. Иң мәшһүр әсәре - «Кыйссаи әхвали казакъ» («Ушбу кыйсса казакъның әхвалләрен бәян идәр» исеме астында да мәгълүм) поэмасы (1841 елда иҗат ителеп, 1879 елда Казанда бастырыла).	ɡaˈli bajɕuʁaˈvi , ʃɑˈʁɨjr , ɕiˈɕæn . ˈiŋ mæʃˈhyr æsæˈre qɨjssaˈi æxvaˈli qɑˈzɑqʔ uˈʃbu qɨjsˈsɑ qɑzɑqʔˈnɨŋ æxvallæˈren bæˈjɑn iˈdær iseˈme ɑstɨnˈdɑ ˈdɑ mæɡˈʔlym poemaˈsɨ ˈmeŋ siˈɡez ˈjøz qɨˈrɨq ˈber jelˈda iˈʑat iteˈlep , ˈmeŋ siˈɡez ˈjøz ʑitˈmeʃ tuˈʁɨz jelˈda qɑzɑnˈdɑ bɑstɨrɨˈlɑ .
Александр Сидоров. Дон казачыгының кыскача тарихы	alekˈsandr sidoˈrov . ˈdon qɑzɑɕɨʁɨˈnɨŋ qɨsqɑˈɕɑ tariˈxɨ
Җимеш һәм ризык, мәсьәлән кокос һәм татлы десертлар	ʑiˈmeʃ ˈhæm riˈzɨq , mæsæˈlæn qoˈqos ˈhæm tɑˈtlɨ deserˈtlar
(6928) Ланна () — Кояш системасының Марс һәм Юпитер орбиталары арасындагы өлкәсендә урнашкан астероид.	ɑlˈtɨ ˈmeŋ tuˈʁɨz ˈjøz jeɡerˈme siˈɡez lɑnˈnɑ qoˈjɑʃ sistemasɨˈnɨŋ ˈmɑrs ˈhæm jupiˈter orbitalaˈrɨ ɑrɑsɨndɑˈʁɨ ølkæsenˈdæ urnɑˈʃqɑn asteroˈid .
Дженива — Америка Кушма Штатларының Алабама штатында урнашкан округ (өлкә). Үзәге - Дженива шәһәре.	dʒeniˈva ameriˈka quʃˈmɑ ʃtɑtlɑrɨˈnɨŋ ɑlɑbɑˈmɑ ʃtɑtɨnˈdɑ urnɑˈʃqɑn oˈqruʁ ølˈkæ . yzæˈɡe dʒeniˈva ʃæhæˈre .
Елганың озынлыгы 400 чакрымга якын (ташкын чорында 650 чакрымга кадәр ). Су җыю бассейнының мәйданы 14 300 км² .	jelɡaˈnɨŋ ozɨnlɨˈʁɨ ˈdyrt ˈjøz ɕɑqrɨmˈʁɑ jɑˈqɨn tɑˈʃqɨn ɕorɨnˈdɑ ɑlˈtɨ ˈjøz ilˈle ɕɑqrɨmˈʁɑ kaˈdær . ˈsu ʑɨˈju bassejnɨˈnɨŋ mæjdaˈnɨ unˈdyrt ˈmeŋ ˈøɕ ˈjøz qvɑˈdrɑt kiloˈmetr .
Салеше () — Франциянең Нор департаментына караган коммуна, Авен-сюр-Эльп кантонына карый.	saleˈʃe frant͡sijɑˈneŋ ˈnor departamentɨˈna qɑrɑˈʁɑn qommuˈnɑ , aˈven ˈsjur ˈelp qɑntonɨˈnɑ qɑˈrɨj .
Мәйданы — 123 км². Округ 13 кантоннан тора, алар үз чиратында 16 коммунага бүленгән.	mæjdaˈnɨ ˈjøz jeɡerˈme ˈøɕ qvɑˈdrɑt kiloˈmetr . oˈqruʁ uˈnøɕ qɑntonˈnɑn toˈrɑ , ɑˈlɑr ˈyz ɕiratɨnˈda unɑlˈtɨ qommunɑˈʁɑ bylenˈɡæn .
ике зират бар, алар 147,5 мең урынга исәпләнгән.	iˈke ziˈrat ˈbɑr , ɑˈlɑr ˈjøz qɨˈrɨq ʑiˈde øˈter ˈbiʃ ˈmeŋ urɨnˈʁɑ isæplænˈɡæn .
Кастильо-де-Гарсимуньос () — Испаниянең Куэнка провинциясендә урнашкан муниципалитет.	kastiˈlo ˈde ɡarsimuˈnos ispanijɑˈneŋ quenˈka provint͡sijɑsenˈdæ urnɑˈʃqɑn munit͡sipaliˈtet .
Нови-Пазар — Болгариянең Кырҗали өлкәсендә урнашкан авыл. җәмгыяте (общинасы) составына керә .	noˈvi pɑˈzɑr bolʁarijɑˈneŋ qɨrʑaˈli ølkæsenˈdæ urnɑˈʃqɑn ɑˈvɨl . ʑæmʁɨjɑˈte obɕinaˈsɨ sostɑvɨˈnɑ keˈræ .
Риу-Торту Португалиянең башкаласы Лиссабоннан төньяк-көнчыгышка таба 351 чакрым ераклыкта урнашкан .	riˈu torˈtu portuʁalijɑˈneŋ bɑʃqɑlɑˈsɨ lissabonˈnan tøˈnjɑq kønɕɨʁɨˈʃqa tɑˈbɑ ˈøɕ ˈjøz ilˈle ˈber ɕɑˈqrɨm jeraqlɨqˈta urnɑˈʃqɑn .
Эсперанса-ду-Сул — Бразилиядә урнашкан муниципалитет, Риу-Гранди-ду-Сул штатына карый.	esperanˈsa ˈdu ˈsul brazilijɑˈdæ urnɑˈʃqɑn munit͡sipaliˈtet , riˈu ɡranˈdi ˈdu ˈsul ʃtɑtɨˈnɑ qɑˈrɨj .
Пишина — Италиянең Пьемонт төбәгендә урнашкан коммуна. провинциясе составына керә.	piʃiˈna italijɑˈneŋ peˈmont tøbæɡenˈdæ urnɑˈʃqɑn qommuˈnɑ . provint͡sijɑˈse sostɑvɨˈnɑ keˈræ .
Шул ук вакытта Олонец өязенең Важин волосте; Петрозаводск өязенең Типица, Сенногуб, Кузаранд, Ладвинская, Остречинский, Великогуб, Киж, Шелтозер һәм Толвуй волосте; Петрозаводск өязенең Шуньг, Рим, Даниловск, Петровский-ям волосте, шулай ук Повенецкий өязенең Пудожский, Вытегор һәм Лодейнополь волосте өязләр тулысынча керми кала.	ˈʃul ˈuq vɑqɨtˈtɑ oloˈnet͡s øjɑzeˈneŋ vaˈʒin voloˈste , petrozaˈvodsq øjɑzeˈneŋ tipiˈt͡sa , sennoˈʁub , quzɑˈrɑnd , ladvinsqaˈjɑ , ostreɕinˈskij , velikoˈʁub , ˈkiʒ , ʃeltoˈzer ˈhæm tolˈvuj voloˈste , petrozaˈvodsq øjɑzeˈneŋ ˈʃunʁ , ˈrim , daniˈlovsq , petrovˈskij ˈjɑm voloˈste , ʃuˈlɑj ˈuq povenet͡sˈkij øjɑzeˈneŋ pudoʒˈskij , vɨteˈɡor ˈhæm lodejnoˈpol voloˈste øjɑˈzlær tulɨsɨnˈɕɑ kerˈmi qɑˈlɑ .
