-al	ˈal
achiʼlik	at͡ʃʰiʔˈlikʰ
achoch	aˈt͡ʃʰot͡ʃʰ
achoch Dios	aˈt͡ʃʰot͡ʃʰ diˈos
achʼ	ˈat͡ʃʼ
achʼ chʼaben	ˈat͡ʃʼ t͡ʃʼaˈɓen
akʼal	aˈkʼal
ali	aˈli
anäb	aˈnəɓ
are chi	aˈɻe ˈt͡ʃʰi
chaj	ˈt͡ʃʰax
chaqʼ ala	ˈt͡ʃʰaqʼ aˈla
chaqʼ ali	ˈt͡ʃʰaqʼ aˈli
chi	ˈt͡ʃʰi
chi chawal	ˈt͡ʃʰi t͡ʃʰaˈʋal
chi ikʼ	ˈt͡ʃʰi ˈikʼ
chi jumul	ˈt͡ʃʰi xuˈmul
chi nojimal	ˈt͡ʃʰi noxiˈmal
chi saqil	ˈt͡ʃʰi saˈqʰil
chʼaqabaj	t͡ʃʼaqʰaˈɓax
chʼaqabaʼ	t͡ʃʼaqʰaˈɓaʔ
chʼaqachʼoj	t͡ʃʼaqʰaˈt͡ʃʼox
chʼaqalik	t͡ʃʼaqʰaˈlikʰ
chʼaqisaj	t͡ʃʼaqʰiˈsax
chʼaqiʼ tew	t͡ʃʼaˈqʰiʔ ˈtʰeʋ
chʼaqiʼk	t͡ʃʼaˈqʰiʔkʰ
ikan ala	iˈkʰan aˈla
ikan ali	iˈkʰan aˈli
ikan ixoq	iˈkʰan iˈʃoqʰ
ilawächij	ilaʋəˈt͡ʃʰix
ilol -ech	iˈlol ˈet͡ʃʰ
jaʼ	ˈxaʔ
jaʼ tew	ˈxaʔ ˈtʰeʋ
jun rumal	ˈxun ɻuˈmal
klawux	kʰlaˈʋuʃ
klawuxij	kʰlaʋuˈʃix
klawuxim	kʰlaʋuˈʃim
kowirik	kʰoʋiˈɻikʰ
kowirik r-umal tew	kʰoʋiˈɻikʰ ɻuˈmal ˈtʰeʋ
kowirisaj	kʰoʋiɻiˈsax
kyej	kʰˈjex
libaj	liˈɓax
libaj chi	liˈɓax ˈt͡ʃʰi
miʼal	miˈʔal
nim	ˈnim
nojim	noˈxim
nojimal	noxiˈmal
pauʼ r-ech kʼulanem	pʰaˈuʔ ˈɻet͡ʃʰ kʼulaˈnem
qʼosibal	qʼosiˈɓal
qʼosibal klawux	qʼosiˈɓal kʰlaˈʋuʃ
qʼosibal tew	qʼosiˈɓal ˈtʰeʋ
r-umal	ɻuˈmal
rajwaxik chi	ɻaxʋaˈʃikʰ ˈt͡ʃʰi
rumal	ɻuˈmal
räx	ˈɻəʃ
räx tew	ˈɻəʃ ˈtʰeʋ
räxarik	ɻəʃaˈɻikʰ
saq	ˈsaqʰ
saq tew	ˈsaqʰ ˈtʰeʋ
saqil	saˈqʰil
sukʼ	ˈsukʼ
sukʼumal	sukʼuˈmal
tal -ech	ˈtʰal ˈet͡ʃʰ
taqom chi kaj	tʰaˈqʰom ˈt͡ʃʰi ˈkʰax
tew	ˈtʰeʋ
tewal	tʰeˈʋal
tzay	ˈt͡sʰaj
tzayabaʼ	t͡sʰajaˈɓaʔ
tzayalik	t͡sʰajaˈlikʰ
tzayej	t͡sʰaˈjex
utz	ˈut͡sʰ
wabäj	ʋaˈɓəx
wuqoj chi paq	ʋuˈqʰox ˈt͡ʃʰi ˈpʰaqʰ
wuqüb chi wuqub	ʋuˈqʰuɓ ˈt͡ʃʰi ʋuˈqʰuɓ
wäch	ˈʋət͡ʃʰ
wächibal	ʋət͡ʃʰiˈɓal
wächibal abäj	ʋət͡ʃʰiˈɓal aˈɓəx
wächij	ʋəˈt͡ʃʰix
xikʼ	ˈʃikʼ
yaʼ kan(oq) -echbal	ˈjaʔ ˈkʰan ˈoqʰ et͡ʃʰˈɓal
k'iche'	kʼiˈt͡ʃʰeʔ
q'o	ˈqʼo
0	maxˈɓal
1	ˈxun
2	ˈkʰeɓ
3	oˈʃiɓ
4	kʰaˈxiɓ
5	ˈxoɓ
6	ʋaˈqʰiɓ
7	ʋuˈqʰuɓ
8	ʋaxʃaˈqʰiɓ
9	ɓeleˈxeɓ
10	laˈxux
11	xulaˈxux
12	kʰaɓlaˈxux
13	oʃlaˈxux
14	kʰaxlaˈxux
15	xolaˈxux
16	ʋaqʰlaˈxux
17	ʋuqʰlaˈxux
18	ʋaxʃaqʰlaˈxux
19	ɓelexlaˈxux
20	xuʋiˈnaqʰ
21	xuʋiˈnaqʰ ˈxun
40	kʰaʋiˈnaqʰ
42	kʰaʋiˈnaqʰ ˈkʰeɓ
60	oʃˈkʼal
61	oʃˈkʼal ˈxun
80	xuˈmut͡ʃʼ
81	xuˈmut͡ʃʼ ˈxun
99	xuˈmut͡ʃʼ ɓelexlaˈxux
100	xoˈkʼal
101	xoˈkʼal ˈxun
200	laxˈkʼal
380	ɓelexlaxˈkʼal
399	ɓelexlaxˈkʼal ɓelexlaˈxux
400	xuˈqʼo
401	xuˈqʼo ˈxun
800	kʰaˈqʼoʔ
1000	kʰaˈqʼoʔ laxˈkʼal
1999	kʰaxˈqʼoʔ ɓelexlaxˈkʼal ɓelexlaˈxux
3999	ɓelexˈqʼoʔ ɓelexlaxˈkʼal ɓelexlaˈxux
4000	kʰaˈxiɓ maxˈɓal maxˈɓal maxˈɓal
5000	ˈxoɓ maxˈɓal maxˈɓal maxˈɓal
9999	ɓeleˈxeɓ ɓeleˈxeɓ ɓeleˈxeɓ ɓeleˈxeɓ
12345	ˈxun ˈkʰeɓ oˈʃiɓ kʰaˈxiɓ ˈxoɓ
100000	ˈxun maxˈɓal maxˈɓal maxˈɓal maxˈɓal maxˈɓal
9007199254740993	ɓeleˈxeɓ maxˈɓal maxˈɓal ʋuˈqʰuɓ ˈxun ɓeleˈxeɓ ɓeleˈxeɓ ˈkʰeɓ ˈxoɓ kʰaˈxiɓ ʋuˈqʰuɓ kʰaˈxiɓ maxˈɓal ɓeleˈxeɓ ɓeleˈxeɓ oˈʃiɓ
