Категори:Алфавите кура администрациллӗ виҫесем	kadeɡoˈri , alfaʋiˈde kuˈra administraˈt͡silːɘ ʋiʑeˈzem
Стамнос () — амфора евӗрлӗ авалхи ҫавра савӑт. Вӑл лутра мӑйлӑ тата икӗ авӑрлӑ. Стамноссемпе Лаконипе Этруринче архаика тапхӑрӗнче эрех, ҫу тата ытти шевек тытма усӑ курнӑ. Хупӑллӑ стамноссем те тӗл пулаҫҫӗ. Грексем стамноссене пелик тенӗ. Афинана стамноссем 530 п. эраччен. ҫ. патнелле ҫитнӗ, вӗсене Этрурине сутма ҫех ӑсталанӑ.	stamˈnos amfoˈra ˈjeʋɘrlɘ aʋalˈɣi ɕaʋˈra ˈsaʋət . ˈʋəl lutˈra ˈməjlə taˈda ˈiɡɘ ˈaʋərlə . stamnosːemˈbe laɡoniˈbe etrurinˈd͡ʑe arɣaiˈɡa tapχərɘnˈd͡ʑe eˈreχ , ˈɕu taˈda ɯˈtːi ʂeˈʋek tɯtˈma ˈuzə ˈkurnə . ˈχubəlːə stamnoˈsːem ˈte ˈtɘl puˈlaɕːɘ . ɡrekˈsem stamnosːeˈne peˈlik ˈtenɘ . afinaˈna stamnoˈsːem ˈpilɘk ˈɕɘr ˈʋədər p . eraˈt͡ɕːen . ɕ . patneˈlːe ˈɕitnɘ , ʋɘzeˈne etruriˈne sutˈma ˈɕeχ əstaˈlanə .
Матвеев А. Н. Механика и теория относительности: Учебник для студентов вузов. — 3-е издание. — М.: ООО "Издательский дом «ОНИКС 21 век»: ООО "Издательство «Мир и образование», 2003. — с. 405—406	matʋeˈjeʋ ˈa ˈen meɣaniˈɡa ˈi teoriˈja otnozidelʲnosˈti , ud͡ʑebˈnik dlˈja studenˈdoʋ ʋuˈzoʋ . ˈʋiɕːɘ ˈje izdaniˈje . m , ooˈo izdadelʲsˈkij ˈdom ˈo ˈen ˈi ˈka ˈes ˈɕirɘm ˈpɘr ˈʋek , ooˈo izdadelʲstˈʋo ˈmir ˈi obrazoʋaniˈje , ˈik ˈpin ˈʋiɕːɘ . s . təˈʋat ˈɕɘr ˈpilːɘk , təˈʋat ˈɕɘr ˈultːə
Мазарович А. Н., Основы региональной геологии материков, ч. 2 — Южные материки, океаны и общие закономерности развития структуры земной коры, [М.], 1952.	mazaroˈʋit͡ɕ ˈa ˈen , osnoˈʋɯ reɡionalʲˈnoj ɡeoloɡiˈi maderiˈɡoʋ , t͡ɕ . ˈikːɘ juʒnɯˈje maderiˈɡi , oɡeaˈnɯ ˈi obɕiˈje zaɡonomernosˈti razʋidiˈja struktuˈrɯ zemˈnoj koˈrɯ , m , ˈpin ˈtəɣər ˈɕɘr ˈalːə ˈikːɘ .
Аржантёй илемлӗ вырӑнӗсене импрессионистсем кӑмӑлланӑ, чылай сӑрӑ-ӳнер ӗҫӗсем хӑварнӑ.	arʒantˈjoj iˈlemlɘ ʋɯrənɘzeˈne impresːionistˈsem kəməˈlːanə , t͡ɕɯˈlaj ˈsərə yˈner ɘʑɘˈzem χəˈʋarnə .
Туловище // Большая российская энциклопедия. Электронная версия (2017); Дата обращения: 11.11.2017	tuloʋiˈʑe bolʲʐaˈja rosːijskaˈja ent͡siklobediˈja . elektronːaˈja ʋerziˈja ˈik ˈpin ˈʋun ˈɕit͡ɕːɘ , daˈda obraʑeniˈja , ˈʋun pɘˈrːe . ˈʋun pɘˈrːe . ˈik ˈpin ˈʋun ˈɕit͡ɕːɘ
Ридинг // Энциклопедический словарь Брокгауза и Ефрона : в 86 т. (82 т. и 4 доп.). — СПб., 1890—1907.	riˈdinɡ ent͡siklobedid͡ʑesˈkij sloˈʋarʲ brokɡauˈza ˈi jefroˈna , ʋ saɡərˈʋunːə ˈult t . saɡərˈʋunːə ˈik t . ˈi təˈʋat ˈdop . spb , ˈpin ˈsaɡər ˈɕɘr təɣərˈʋunːə , ˈpin ˈtəɣər ˈɕɘr ˈɕit͡ɕːɘ .
Выгодский М. Я. Справочник по элементарной математике. — Наука, 1965. — С. 340—343. — 424 с.	ʋɯɡodsˈkij ˈem ˈja spraʋot͡ɕˈnik ˈpo elemendarˈnoj mademadiˈɡe . nauˈɡa , ˈpin ˈtəɣər ˈɕɘr ˈutməl ˈpilːɘk . s . ˈʋiɕ ˈɕɘr ˈχɘrɘχ , ˈʋiɕ ˈɕɘr ˈχɘrɘχ ˈʋiɕːɘ . təˈʋat ˈɕɘr ˈɕirɘm təˈʋat s .
Долгов К. М. О встрече с Жан-Поль Сартром и Симоной де Бовуар // Вопросы философии.2007. № 2. С. 151—160.	dolˈɡoʋ ˈka ˈem ˈo ʋstreˈd͡ʑe s ˈʒan ˈpolʲ sartˈrom ˈi simoˈnoj ˈde boʋuˈar ʋoproˈzɯ filozofiˈi . ˈik ˈpin ˈɕit͡ɕːɘ . noˈmer ˈikːɘ . s . ˈɕɘr ˈalːə pɘˈrːe , ˈɕɘr ˈutməl .
Еврейская антология. Сборник молодой еврейской поэзии. Под редакцией В. Ф. Ходасевича и Л. Б. Яффе. М., 1918.	jeʋrejskaˈja andoloɡiˈja . sborˈnik moloˈdoj jeʋrejsˈkoj poeziˈi . ˈpod redakt͡siˈjej ˈʋe ˈef χodazeʋiˈd͡ʑa ˈi ˈelʲ ˈbe jaˈfːe . m , ˈpin ˈtəɣər ˈɕɘr ˈʋun ˈsakːər .
Архипкин В. Г., Патрин Г. С. Лекции по оптике. — Красноярск: Институт физики им. Л. В. Керенского СО РАН, 2006. — 164 с.	arɣipˈkin ˈʋe ˈɡe , patˈrin ˈɡe ˈes lekt͡siˈi ˈpo optiˈɡe . krasnoˈjarsk , instiˈdut fiziˈɡi ˈim . ˈelʲ ˈʋe kerenskoˈɡo ˈso ˈran , ˈik ˈpin ˈultːə . ˈɕɘr ˈutməl təˈʋat s .
1967 — Дубравка — Антон Юрьевич, почтальон	ˈpin ˈtəɣər ˈɕɘr ˈutməl ˈɕit͡ɕːɘ dubraʋˈka anˈdon jurʲjeˈʋit͡ɕ , pot͡ɕtaˈlʲon
Софья Левитина — зрительница в зале суда (нет в титрах)	sofʲˈja leʋidiˈna zridelʲniˈt͡sa ʋ zaˈle suˈda ˈnet ʋ titˈraχ
1966 — Авдотья Павловна — директор школы	ˈpin ˈtəɣər ˈɕɘr ˈutməl ˈultːə aʋdotʲˈja paʋloʋˈna direkˈtor ʂkoˈlɯ
2014 — Боцман Чайка — Иван Христофорович Чайка, боцман	ˈik ˈpin ˈʋun təˈʋatːə bot͡sˈman t͡ɕajˈɡa iˈʋan χristoforoˈʋit͡ɕ t͡ɕajˈɡa , bot͡sˈman
— 12 — присяжный заседатель № 3, таксист Аркадий	ˈʋun ˈikːɘ prisjaʒˈnɯj zazedaˈdelʲ noˈmer ˈʋiɕːɘ , takˈsist arɡaˈdij
2017 — Личность не установлена — Михаил Юрьевич Одинцов, майор, следователь Главного следственного управления МВД	ˈik ˈpin ˈʋun ˈɕit͡ɕːɘ lit͡ɕˈnostʲ ˈne ustanoʋleˈna miɣaˈil jurʲjeˈʋit͡ɕ odinˈt͡soʋ , maˈjor , sledoʋaˈdelʲ ɡlaʋnoˈɡo sledstʋenːoˈɡo upraʋleniˈja ˈem ˈʋe ˈde
1972 — Земля, до востребования — Сигизмунд Скарбек	ˈpin ˈtəɣər ˈɕɘr ˈɕitmɘl ˈikːɘ zemlˈja , ˈdo ʋostreboʋaniˈja siɡizˈmund skarˈbek
— Полёт с космонавтом — Зина, продавщица	polˈjot s kosmonaʋˈtom ziˈna , prodaʋɕiˈt͡sa
Гаранина А. И., Монич И. В. Система творческих заданий при изучении повести Н. В. Гоголя «Ночь перед Рождеством»: 6-й кл. // Рус. яз. и лит. — 1997. — Вып. 9. -	ɡaraniˈna ˈa ˈi , moˈnit͡ɕ ˈi ˈʋe sisteˈma tʋord͡ʑesˈkiχ zadaˈnij pˈri izud͡ʑeniˈi poʋesˈti ˈen ˈʋe ɡoɡolˈja ˈnot͡ɕʲ peˈred roʒdestˈʋom , ˈultːə j kl . ˈrus . ˈjaz . ˈi ˈlit . ˈpin ˈtəɣər ˈɕɘr təɣərˈʋunːə ˈɕit͡ɕːɘ . ˈʋɯp . ˈtəχːər .
1978 — Всё решает мгновение — Матвеев, Начальник Спорткомитета	ˈpin ˈtəɣər ˈɕɘr ˈɕitmɘl ˈsakːər ʋsˈjo reʐaˈjet mɡnoʋeniˈje matʋeˈjeʋ , nad͡ʑalʲˈnik sportkomideˈda
— Союз спасения. Время Гнева — генерал Михаил Милорадович	soˈjuz spazeniˈja . ʋremˈja ɡneˈʋa ɡeneˈral miɣaˈil miloradoˈʋit͡ɕ
2001 — Под Полярной звездой — Николай Иванович Шишов	ˈik ˈpin pɘˈrːe ˈpod poljarˈnoj zʋezˈdoj niɡoˈlaj iʋanoˈʋit͡ɕ ʂiˈʐoʋ
Правила перехода дороги вне пешеходного перехода	praʋiˈla pereɣoˈda doroˈɡi ʋˈne peʐeɣodnoˈɡo pereɣoˈda
Таубе Ростислав Сергеевич (музыкӑпа композици теорийӗн кафедри)	tauˈbe rostisˈlaʋ serɡejeˈʋit͡ɕ muzɯɡəˈba komboziˈt͡si teoˈrijɘn kafedˈri
Сайт Российской ассоциации коренных народов Севера: телеуты	ˈsajt rosːijsˈkoj asːot͡siat͡siˈi koreˈnːɯχ naroˈdoʋ seʋeˈra , teleuˈdɯ
Бантыш-Каменский Д. Н. История Малой России. — М.: Тип. Семёна Селивановского, 1830. ИсточникиТекст	banˈdɯʂ kamensˈkij ˈde ˈen istoriˈja maˈloj rosːiˈi . m , ˈtip . semjoˈna seliʋanoʋskoˈɡo , ˈpin ˈsaɡər ˈɕɘr ˈʋədər . istot͡ɕniɡiˈdekst
Сергеев Тихон Сергеевич. Вопросы историографии истории образования, науки и культуры Чувашии: [Сборник], предисл.: Димитриев Василий Димитриевич. Издательство: Чебоксары: Б/и, 2000. С.227, (3) с.	serɡeˈjeʋ tiˈɣon serɡejeˈʋit͡ɕ . ʋoproˈzɯ istorioɡrafiˈi istoriˈi obrazoʋaniˈja , nauˈɡi ˈi kulʲduˈrɯ t͡ɕuʋaʐiˈi , sborˈnik , preˈdisl , dimitriˈjeʋ ʋaziˈlij dimitrijeˈʋit͡ɕ . izdadelʲstˈʋo , t͡ɕeboksaˈrɯ , b ˈi , ˈik ˈpin . s . ˈik ˈɕɘr ˈɕirɘm ˈɕit͡ɕːɘ , ˈʋiɕːɘ s .
Ученые из университета Йоханнесбурга в Германии: Найдено природное средство от похмелья // 1 мая 2020	ud͡ʑenɯˈje ˈiz uniʋerzideˈda joɣanːesburˈɡa ʋ ɡermaniˈi , najdeˈno prirodnoˈje sredstˈʋo ˈot poχmelʲˈja ˈpɘr maˈja ˈik ˈpin ˈɕirɘm
Маакия амурская на сайте Красной книги Амурской области	maaɡiˈja amurskaˈja ˈna sajˈde krasˈnoj kniˈɡi amursˈkoj oblasˈti
«Мата Хари» Недялко Йорданова — Мата Хари	maˈda χaˈri nedjalˈɡo jordanoˈʋa maˈda χaˈri
Александр Абашели «Женщина в зеркале» (1933)	alekˈsandr abaʐeˈli ʒenʑiˈna ʋ zerɡaˈle ˈpin ˈtəɣər ˈɕɘr ˈʋədər ˈʋiɕːɘ
Чӑваш ен виҫеллӗ континентлӑ климатпа зонӑра тӑрать тата вӑрманпа вӑрманти ҫутҫанталӑк зонисене кӗрет. Январьти вӑтам ҫул ӳсекен сывлӑш температури-113°С; утӑ уйӑхӗнче +20°с. осадков тапӑннӑ вӑтам калӑпӑшӗ-530-570 мм.	t͡ɕəˈʋaʂ ˈjen ʋiˈʑelːɘ kondiˈnentlə klimatˈpa zonəˈra təˈratʲ taˈda ʋərmanˈba ʋərmanˈdi ɕutɕanˈdalək zonizeˈne kɘˈret . janʋarʲˈdi ʋəˈdam ˈɕul yzeˈɡen ˈsɯʋləʂ temberaduˈri ˈɕɘr ˈʋun ˈʋiɕːɘ t͡selʲˈzi ɡraˈduzɘ , ˈudə ujəɣɘnˈd͡ʑe plˈjus ˈɕirɘm t͡selʲˈzi ɡraˈduzɘ . ozadˈkoʋ ˈtabənːə ʋəˈdam ˈkaləbəʐɘ ˈpilɘk ˈɕɘr ˈʋədər , ˈpilɘk ˈɕɘr ˈɕitmɘl milːiˈmetr .
Эктор Алос-и-Фонт, «Преподавание чувашского языка и проблема языкового поведения родителей», Чувашский государственный институт гуманитарных наук, 2015, Шупашкар.	ekˈtor aˈlos ˈi ˈfont , prebodaʋaniˈje t͡ɕuʋaʂskoˈɡo jazɯˈɡa ˈi probleˈma jazɯɡoʋoˈɡo poʋedeniˈja rodideˈlej , t͡ɕuʋaʂsˈkij ɡozudarstʋeˈnːɯj instiˈdut ɡumanidarˈnɯχ naˈuk , ˈik ˈpin ˈʋun ˈpilːɘk , ʂubaʂˈkar .
Краснов, Г. П. К изучению истории Чувашского ТЮЗа / Г. П. Краснов // Изв. Нац. акад. наук и искусств Чуваш. Респ. – 2003. – № 5 / 2002, 1 / 2003. – С. 83-91. – Библиогр.: 19 назв.	krasˈnoʋ , ˈɡe ˈpe k izud͡ʑeniˈju istoriˈi t͡ɕuʋaʂskoˈɡo tjuˈza ˈɡe ˈpe krasˈnoʋ ˈizʋ . ˈnat͡s . aˈɡad . naˈuk ˈi isˈkusːtʋ t͡ɕuˈʋaʂ . ˈresp . ˈik ˈpin ˈʋiɕːɘ . noˈmer ˈpilːɘk ˈik ˈpin ˈikːɘ , pɘˈrːe ˈik ˈpin ˈʋiɕːɘ . s . saɡərˈʋunːə ˈʋiɕːɘ , təɣərˈʋunːə pɘˈrːe . bibliˈoɡr , ˈʋun ˈtəɣər ˈnazʋ .
Романов Дмитрий, ҫил арманӗн 1/2 пайӗн хуҫи пулнӑшӑн, сасӑлав правине туртса илмен.	romaˈnoʋ dmitˈrij , ˈɕil arˈmanɘn pɘˈrːe ˈikːɘmɘʂ ˈpajɘn χuˈʑi ˈpulnəʐən , sazəˈlaʋ praʋiˈne turtˈsa ilˈmen .
Тарасов Василий, ҫил арманӗн 1/2 пайӗн хуҫи пулнӑшӑн, ҫынсене тара тытса ӗҫлеттернӗшӗн (темиҫе чӑпта станокӗ пулнӑ), тырӑ сутнӑшӑн, сасӑлав правине туртса илнӗ. Хӗрлӗ Ҫарта пулнӑ.	taraˈzoʋ ʋaziˈlij , ˈɕil arˈmanɘn pɘˈrːe ˈikːɘmɘʂ ˈpajɘn χuˈʑi ˈpulnəʐən , ɕɯnzeˈne taˈra tɯtˈsa ɘɕleˈtːernɘʐɘn temiˈʑe t͡ɕəpˈta staˈnoɡɘ ˈpulnə , ˈtɯrə ˈsutnəʐən , sazəˈlaʋ praʋiˈne turtˈsa ˈilnɘ . ˈχɘrlɘ ɕarˈda ˈpulnə .
Перечень объектов культурного наследия (памятников истории и культуры) Нижегородской области (по состоянию на 01.01.2006)	pereˈd͡ʑenʲ objekˈtoʋ kulʲdurnoˈɡo naslediˈja pamjatniˈɡoʋ istoriˈi ˈi kulʲduˈrɯ niʒeɡorodsˈkoj oblasˈti ˈpo sostojaniˈju ˈna pɘˈrːe . pɘˈrːe . ˈik ˈpin ˈultːə
Данные Федеральной службы геодезии и картографии России по состоянию на 01.01.1986 г.	danːɯˈje federalʲˈnoj sluʒˈbɯ ɡeodeziˈi ˈi kardoɡrafiˈi rosːiˈi ˈpo sostojaniˈju ˈna pɘˈrːe . pɘˈrːe . ˈpin ˈtəɣər ˈɕɘr saɡərˈʋunːə ˈultːə ɡ .
Чӑваш Ен Вӗренӳ Министерстви пӗлтернӗ тӑрӑх,2009 ҫулта республикӑра чӑвашла шкулсен 65 проценчӗ, 31 проценчӗ-вырӑсла, 3 % - тутар чӗлхисемпе. Чӑваш чӗлхи тӑван чӗлхене 344 чӑваш шкулӗнче тата патшалӑх чӗлхи пек — ытти 198 шкулта вӗрентнӗ. Чӑваш, тутар наци шкулӗсен 1-5-мӗш класӗсенче тӑван чӗлхепе вӗрентӳ пуҫланнӑ.	t͡ɕəˈʋaʂ ˈjen ʋɘreˈny ministerstˈʋi pɘlˈdernɘ ˈtərəχ , ˈik ˈpin ˈtəχːər ɕulˈda respubliɡəˈra t͡ɕəʋaʂˈla ʂkulˈzen ˈutməl ˈpilɘk proˈt͡send͡ʑɘ , ˈʋədər ˈpɘr proˈt͡send͡ʑɘ ʋɯrəsˈla , ˈʋiɕ proˈt͡sent tuˈdar t͡ɕɘlɣizemˈbe . t͡ɕəˈʋaʂ t͡ɕɘlˈɣi təˈʋan t͡ɕɘlɣeˈne ˈʋiɕ ˈɕɘr ˈχɘrɘχ təˈʋat t͡ɕəˈʋaʂ ʂkulɘnˈd͡ʑe taˈda patˈʂaləχ t͡ɕɘlˈɣi ˈpek ɯˈtːi ˈɕɘr təɣərˈʋunːə ˈsaɡər ʂkulˈda ʋɘˈrentnɘ . t͡ɕəˈʋaʂ , tuˈdar naˈt͡si ʂkulɘˈzen pɘˈrːemɘʂ , ˈpilːɘkmɘʂ klazɘzenˈd͡ʑe təˈʋan t͡ɕɘlɣeˈbe ʋɘrenˈdy puɕˈlanːə .
Заявление «Ирӗклӗх» в связи с высказыванием В.В. Путина о добровольности изучения национальных языков	zajaʋleniˈje ˈirɘklɘχ ʋ sʋjaˈzi s ʋɯskazɯʋaniˈjem ˈʋe ˈʋe pudiˈna ˈo dobroʋolʲnosˈti izud͡ʑeniˈja nat͡sionalʲˈnɯχ jazɯˈɡoʋ
Егоров В. Г. Первая печатная грамматика чувашского языка 1769 г. // Тюркологический сборник. В. 1. — М.-Л., 1959. — С. 85-92.	jeɡoˈroʋ ˈʋe ˈɡe perʋaˈja ped͡ʑatnaˈja ɡramːadiˈɡa t͡ɕuʋaʂskoˈɡo jazɯˈɡa ˈpin ˈɕit͡ɕ ˈɕɘr ˈutməl ˈtəɣər ɡ . tjurɡoloɡid͡ʑesˈkij sborˈnik . ʋ . pɘˈrːe . m . l , ˈpin ˈtəɣər ˈɕɘr ˈalːə ˈtəχːər . s . saɡərˈʋunːə ˈpilːɘk , təɣərˈʋunːə ˈikːɘ .
Геннадий Федорович Трофимов (Юмарт): [некролог], Хыпар, 2020, 14 кӑрлач/январь. С. 4.	ɡenːaˈdij fedoroˈʋit͡ɕ trofiˈmoʋ juˈmart , nekroˈloɡ , χɯˈbar , ˈik ˈpin ˈɕirɘm , ˈʋun təˈʋat kərˈlat͡ɕ janˈʋarʲ . s . təˈʋatːə .
Геннадий Юмарт, Чӑваш литературин антологийӗ, Шупашкар, 2013, Т. 2: Поэзи. С. 399.	ɡenːaˈdij juˈmart , t͡ɕəˈʋaʂ lideraduˈrin andoloˈɡijɘ , ʂubaʂˈkar , ˈik ˈpin ˈʋun ˈʋiɕːɘ , t . ˈikːɘ , poeˈzi . s . ˈʋiɕ ˈɕɘr təɣərˈʋunːə ˈtəχːər .
Данилов, В. Редакци хӑни — Геннадий Юмарт: Красноармейски районӗнче ҫуралса ӳснӗ поэт ҫинчен, Ял пурнӑҫӗ (Красноармейски районӗ), 2017, 22 авӑн. С. 8 : сӑн ӳкерчӗк.	daniˈloʋ , ʋ . redakˈt͡si χəˈni ɡenːaˈdij juˈmart , krasnoarmejsˈki rajonɘnˈd͡ʑe ɕuralˈza ˈysnɘ poˈet ɕinˈd͡ʑen , ˈjal ˈpurnəʑɘ krasnoarmejsˈki raˈjonɘ , ˈik ˈpin ˈʋun ˈɕit͡ɕːɘ , ˈɕirɘm ˈik ˈaʋən . s . ˈsakːər , ˈsən yˈɡert͡ɕɘk .
Данилов, В. Самана ҫыравҫи, Ял пурнӑҫӗ (Красноармейски районӗ), 2013, 4 ҫӗртме. С. 6 : сӑн ӳкерчӗк.	daniˈloʋ , ʋ . samaˈna ɕɯraʋˈɕi , ˈjal ˈpurnəʑɘ krasnoarmejsˈki raˈjonɘ , ˈik ˈpin ˈʋun ˈʋiɕːɘ , təˈʋat ɕɘrtˈme . s . ˈultːə , ˈsən yˈɡert͡ɕɘk .
Данилов, В. Унпа тивӗҫлипе мухтанаҫҫӗ: Г. Ф. Трофимов-Юмарт ҫыравҫӑ ҫинчен, Ял пурнӑҫӗ (Красноармейски районӗ), 2018, 4 ҫу. С. 8 : сӑн ӳкерчӗк.	daniˈloʋ , ʋ . unˈba tiʋɘɕliˈbe muχtaˈnaɕːɘ , ˈɡe ˈef trofiˈmoʋ juˈmart ɕɯˈraʋɕə ɕinˈd͡ʑen , ˈjal ˈpurnəʑɘ krasnoarmejsˈki raˈjonɘ , ˈik ˈpin ˈʋun ˈsakːər , təˈʋat ˈɕu . s . ˈsakːər , ˈsən yˈɡert͡ɕɘk .
Родионов, В. Поэт-куҫаруҫӑ, Ял пурнӑҫӗ (Коамноармейски районӗ). 2012, 24 ҫурла. С. 2.	rodioˈnoʋ , ʋ . poˈet kuʑaˈruʑə , ˈjal ˈpurnəʑɘ koamnoarmejsˈki raˈjonɘ . ˈik ˈpin ˈʋun ˈikːɘ , ˈɕirɘm təˈʋat ɕurˈla . s . ˈikːɘ .
Тавкил, В. Геннадий Юмарт пултарулӑхӗпе паллаштарчӗ, Ял пурнӑҫӗ (Красноармейски районӗ). 2015, 13 чӳк. С. 8.	taʋˈkil , ʋ . ɡenːaˈdij juˈmart puldaruləɣɘˈbe palːaʂˈtart͡ɕɘ , ˈjal ˈpurnəʑɘ krasnoarmejsˈki raˈjonɘ . ˈik ˈpin ˈʋun ˈpilːɘk , ˈʋun ˈʋiɕ ˈt͡ɕyk . s . ˈsakːər .
Алексеев А. А. Заметки о первых грамматических трудах по чувашскому языку // Уч. зап. ЧНИИ, вып. 49. Филология. — Шупашкар, 1970. — С. 203—220.	alekseˈjeʋ ˈa ˈa zametˈki ˈo perˈʋɯχ ɡramːadid͡ʑesˈkiχ truˈdaχ ˈpo t͡ɕuʋaʂskoˈmu jazɯˈɡu ˈut͡ɕ . ˈzap . ˈt͡ɕe ˈen ˈi ˈi , ˈʋɯp . ˈχɘrɘχ ˈtəχːər . filoloɡiˈja . ʂubaʂˈkar , ˈpin ˈtəɣər ˈɕɘr ˈɕitmɘl . s . ˈik ˈɕɘr ˈʋiɕːɘ , ˈik ˈɕɘr ˈɕirɘm .
