Ikiyaga Tanganyika · Uruzi Ruvubu · Ikiyaga Rwihinda	ikijaɡa taŋaɲika uɾuzi ɾuvubu ikijaɡa ɾwihinda
Anastacia ni Umuririmvyi yamuka muri Leta zunze Ubumwe za Amerika. Akaba aririmba nk'uwabigize umwuga. Amazina yiwe yose ni Anastacia Lyn Newkirk, yavutse itariki 17 Nyakanga, 1968 mu Gisagara ca Chicago. Akaba aririmba indirindo za pop, soul na rock.	anastat͡ʃia ni umuɾiɾimvʲi jamuka muɾi leta zunze ubumwe za ameɾika . akaba aɾiɾimba nk uwabiɡize umwuɡa . amazina jiwe jose ni anastat͡ʃia lʲn newkiɾk , javutse itaɾiki it͡ʃumi na indwi ɲakaŋa , iɡihumbi na amad͡ʒana t͡ʃenda na miɾoŋo itandatu na umunani mu ɡisaɡaɾa t͡ʃa t͡ʃhit͡ʃaɡo . akaba aɾiɾimba indiɾindo za pop , soul na ɾot͡ʃk .
22. Mugihe habaye ihindurwa ari itegeko nshingiro ryongeweko canje rikuweko bavyita gute?	miɾoŋo ibiɾi na kabiɾi . muɡihe habaje ihinduɾwa aɾi iteɡeko nʃiŋiɾo ɾʲoŋeweko t͡ʃand͡ʒe ɾikuweko bavʲita ɡute ?
yari umurongozi w'ivyo bita Civil Right Movement, mu myaka yo 1950s -a960s, aho ubwoko bw'abirabure bwari m'ubucakara no mu gacinyizo k'aburukoba rwera, bwiyamamaza buhiga umwidegemvyo bubane ubuhuru nk'ubundi bwoko,	jaɾi umuɾoŋozi w ivʲo bita t͡ʃivil ɾiɡht movement , mu mʲaka jo iɡihumbi na amad͡ʒana t͡ʃenda na miɾoŋo itanu s a amad͡ʒana t͡ʃenda na miɾoŋo itandatu s , aho ubwoko bw abiɾabuɾe bwaɾi m ubut͡ʃakaɾa no mu ɡat͡ʃiɲizo k abuɾukoba ɾweɾa , bwijamamaza buhiɡa umwideɡemvʲo bubane ubuhuɾu nk ubundi bwoko ,
Uburinganire: Ibirometero kwadarato 1439	ubuɾiŋaniɾe , ibiɾometeɾo kwadaɾato iɡihumbi na amad͡ʒana ane na miɾoŋo itatu na it͡ʃenda
Abanyagihugu: 17.600hab (ibihumbi icumi n'indwi n'amajana atandatu ) mu mwaka w'ibihumbi bibiri na cumi (2010) . Muramvya nintara nziza muntara z'igihugu c' uburundi ikaba itatswe ( isharijwe) n'ibintu vyinshi cane harimwo , amavuriro (hôpitaux), amahinguriro (Industries), inzuzuzi (rivières), amabarabara (routes)	abaɲaɡihuɡu , ibihumbi it͡ʃumi na indwi na amad͡ʒana atandatu hab ibihumbi it͡ʃumi n indwi n amad͡ʒana atandatu mu mwaka w ibihumbi bibiɾi na t͡ʃumi ibihumbi bibiɾi na it͡ʃumi . muɾamvʲa nintaɾa nziza muntaɾa z iɡihuɡu t͡ʃ ubuɾundi ikaba itatswe iʃaɾid͡ʒwe n ibintu vʲinʃi t͡ʃane haɾimwo , amavuɾiɾo hopitauks , amahiŋuɾiɾo industɾies , inzuzuzi ɾivieɾes , amabaɾabaɾa ɾoutes
Gahinasazi ni umudugudu (umutumba) uri muri Komini ya Musigati mu Ntara ya Bubanza mu majyaruguru y'uburengerazuba bw'Uburundi.	ɡahinasazi ni umuduɡudu umutumba uɾi muɾi komini ja musiɡati mu ntaɾa ja bubanza mu maɡʲaɾuɡuɾu j ubuɾeŋeɾazuba bw ubuɾundi .
Uburinganire: Ibirometero kwadarato indwi (7km²)	ubuɾiŋaniɾe , ibiɾometeɾo kwadaɾato indwi ibiɾometeɾo kwadaɾato indwi
Cyprien Ntaryamira (* 6.03.1955, Mubimbi, Uburundi — † 6.04.1994, Kigali, Urwanda), yarabaye umukuru w'igihugu c'Uburundi mumwaka w'igihumbi n'amajana na mirongo icenda na kane (1994).	kʲpɾien ntaɾʲamiɾa ɡatandatu . ɡatatu . iɡihumbi na amad͡ʒana t͡ʃenda na miɾoŋo itanu na ɡatanu , mubimbi , ubuɾundi ɡatandatu . kane . iɡihumbi na amad͡ʒana t͡ʃenda na miɾoŋo it͡ʃenda na kane , kiɡali , uɾwanda , jaɾabaje umukuɾu w iɡihuɡu t͡ʃ ubuɾundi mumwaka w iɡihumbi n amad͡ʒana na miɾoŋo it͡ʃenda na kane iɡihumbi na amad͡ʒana t͡ʃenda na miɾoŋo it͡ʃenda na kane .
Akagoti ni uruzi ruri mu Ntara ya Cankuzo mu gihugu c' UBurundi. Rukaba rugenda ruca mu mitumba ya Rwantsinda, Nyamihanda, Nyabibuga na Rutimbura muri iyo Ntara nyene.	akaɡoti ni uɾuzi ɾuɾi mu ntaɾa ja t͡ʃankuzo mu ɡihuɡu t͡ʃ ubuɾundi . ɾukaba ɾuɡenda ɾut͡ʃa mu mitumba ja ɾwantsinda , ɲamihanda , ɲabibuɡa na ɾutimbuɾa muɾi ijo ntaɾa ɲene .
Kizito Mihigo yavukiye i Kibeho, igenekerezo rya 25 Mukakaro 1981, ni umuririmvyi n'umwanditsi w'indirimbo w'umunyarwanda. Mu mwaka wa 1994, yarokotse ihonyabwoko ryakorewe abatutsi. Ise wiwe, umushingantahe Buguzi Augustin, yaragandaguwe mw'iryo honyabwoko.	kizito mihiɡo javukije i kibeho , iɡenekeɾezo ɾʲa miɾoŋo ibiɾi na ɡatanu mukakaɾo iɡihumbi na amad͡ʒana t͡ʃenda na miɾoŋo inani na ɾimwe , ni umuɾiɾimvʲi n umwanditsi w indiɾimbo w umuɲaɾwanda . mu mwaka wa iɡihumbi na amad͡ʒana t͡ʃenda na miɾoŋo it͡ʃenda na kane , jaɾokotse ihoɲabwoko ɾʲakoɾewe abatutsi . ise wiwe , umuʃiŋantahe buɡuzi auɡustin , jaɾaɡandaɡuwe mw iɾʲo hoɲabwoko .
Ankara, kera yitwa Angora na Ancyre mu gihe ca kera cane ( Antiquité) , ni Umurwa mukuru wa Turukiya.	ankaɾa , keɾa jitwa aŋoɾa na ankʲɾe mu ɡihe t͡ʃa keɾa t͡ʃane antikuite , ni umuɾwa mukuɾu wa tuɾukija .
12 Arupakeshadi amaze imyaka mirongo itatu n'itanu yavyaye Sherahi. 13 Mu nyuma z'aho avyariye Sherahi, Arupakeshadi amara imyaka amajana ane n'itatu, avyara abahungu n'abakobwa.	it͡ʃumi na kabiɾi aɾupakeʃadi amaze imʲaka miɾoŋo itatu n itanu javʲaje ʃeɾahi . it͡ʃumi na ɡatatu mu ɲuma z aho avʲaɾije ʃeɾahi , aɾupakeʃadi amaɾa imʲaka amad͡ʒana ane n itatu , avʲaɾa abahuŋu n abakobwa .
17 Umwami w'i Sodoma aza kumusanganira atabarutse, ahejeje gutsinda Kedorerahomeri n'abandi bami bari kumwe mu kiyaya ca Shawe, ari co kiyaya c'umwami. 18 Merekisedeki na we, umwami wa Saremu akaba yari umuherezankuka w'Imana Rudasumbwa, yamusanganije umukate n'umuvinyu. 19 Ahezagira Aburamu avuga ati:	it͡ʃumi na indwi umwami w i sodoma aza kumusaŋaniɾa atabaɾutse , ahed͡ʒed͡ʒe ɡutsinda kedoɾeɾahomeɾi n abandi bami baɾi kumwe mu kijaja t͡ʃa ʃawe , aɾi t͡ʃo kijaja t͡ʃ umwami . it͡ʃumi na umunani meɾekisedeki na we , umwami wa saɾemu akaba jaɾi umuheɾezankuka w imana ɾudasumbwa , jamusaŋanid͡ʒe umukate n umuviɲu . it͡ʃumi na it͡ʃenda ahezaɡiɾa abuɾamu avuɡa ati ,
27 Aburahamu agenda kare mu gitondo aho yari yamye ahagararanye n'Umukama. 28 Yerekeza amaso i Sodoma n'i Gomora no ku ntara y'ikiyaya yose, aritegereza, abona umwotsi nk'uw'itanure uriko urafumbuka uva muri iyo ntara.	miɾoŋo ibiɾi na indwi abuɾahamu aɡenda kaɾe mu ɡitondo aho jaɾi jamʲe ahaɡaɾaɾaɲe n umukama . miɾoŋo ibiɾi na umunani jeɾekeza amaso i sodoma n i ɡomoɾa no ku ntaɾa j ikijaja jose , aɾiteɡeɾeza , abona umwotsi nk uw itanuɾe uɾiko uɾafumbuka uva muɾi ijo ntaɾa .
66 Umusuku yiganira Izahaki ivyo yari yagize vyose. 67 Izahaki yinjiza Rebeka mw'ihema risigwa na nyina wiwe Sara, aramwabira, na we aba umugore wiwe, aramukunda; gutyo Izahaki akira intuntu yari yatewe n'ukubura nyina wiwe.	miɾoŋo itandatu na ɡatandatu umusuku jiɡaniɾa izahaki ivʲo jaɾi jaɡize vʲose . miɾoŋo itandatu na indwi izahaki jind͡ʒiza ɾebeka mw ihema ɾisiɡwa na ɲina wiwe saɾa , aɾamwabiɾa , na we aba umuɡoɾe wiwe , aɾamukunda , ɡutʲo izahaki akiɾa intuntu jaɾi jatewe n ukubuɾa ɲina wiwe .
31 Yakobo yita aho hantu Peniyeri, ati: «Kuko nabonye Imana imbonankubone kandi nkaba nkiriho.» 32 Izuba riseruka ajabutse Penuweri, acumbagira kubera itako ryiwe. 33 Ni co gituma n'ubu bene Isarayeri batarya umutsi wo kw'imerero ry'itako, kuko uwo mugabo yakoze Yakobo ku mutsi wo kw'imerero ry'itako.	miɾoŋo itatu na ɾimwe jakobo jita aho hantu penijeɾi , ati , kuko naboɲe imana imbonankubone kandi nkaba nkiɾiho . miɾoŋo itatu na kabiɾi izuba ɾiseɾuka ad͡ʒabutse penuweɾi , at͡ʃumbaɡiɾa kubeɾa itako ɾʲiwe . miɾoŋo itatu na ɡatatu ni t͡ʃo ɡituma n ubu bene isaɾajeɾi bataɾʲa umutsi wo kw imeɾeɾo ɾʲ itako , kuko uwo muɡabo jakoze jakobo ku mutsi wo kw imeɾeɾo ɾʲ itako .
27 Yakobo ashika kwa se Izahaki, i Mamure muri Kiriyati Areba, ari ho Heburoni, aho Aburahamu na Izahaki bari barabaye. 28 Imisi Izahaki yamaze, ni imyaka ijana na mirongo umunani. 29 Izahaki aracikana, apfa ashaje ageze mu zabukuru. Ahamvya abiwe. Abahungu biwe Ezawu na Yakobo baramufuba.	miɾoŋo ibiɾi na indwi jakobo aʃika kwa se izahaki , i mamuɾe muɾi kiɾijati aɾeba , aɾi ho hebuɾoni , aho abuɾahamu na izahaki baɾi baɾabaje . miɾoŋo ibiɾi na umunani imisi izahaki jamaze , ni imʲaka id͡ʒana na miɾoŋo umunani . miɾoŋo ibiɾi na it͡ʃenda izahaki aɾat͡ʃikana , apfa aʃad͡ʒe aɡeze mu zabukuɾu . ahamvʲa abiwe . abahuŋu biwe ezawu na jakobo baɾamufuba .
12 Benewabo bari bagiye kuragira ubusho bwa se i Sikemu. 13 Isarayeri abwira Yozefu ati: «Benewanyu ntibagiye i Sikemu kuragira? Ingo ndakurungike iyo bari.» Na we amubwira ati: «Ndi hano.» 14 Amubwira ati: «Genda urabe ko benewanyu bari mu mahoro, ko n'ibitungwa biri mu mahoro, uheze ugaruke kumbwira.» Amurungika mu kiyaya c'i Heburoni, Yozefu ashika i Sikemu.	it͡ʃumi na kabiɾi benewabo baɾi baɡije kuɾaɡiɾa ubuʃo bwa se i sikemu . it͡ʃumi na ɡatatu isaɾajeɾi abwiɾa jozefu ati , benewaɲu ntibaɡije i sikemu kuɾaɡiɾa ? iŋo ndakuɾuŋike ijo baɾi . na we amubwiɾa ati , ndi hano . it͡ʃumi na kane amubwiɾa ati , ɡenda uɾabe ko benewaɲu baɾi mu mahoɾo , ko n ibituŋwa biɾi mu mahoɾo , uheze uɡaɾuke kumbwiɾa . amuɾuŋika mu kijaja t͡ʃ i hebuɾoni , jozefu aʃika i sikemu .
1 Ivyo biheze, umusuku yahereza inyobwa umwami wa Misiri be n'uwacumba imikate, baracumura kuri shebuja, umwami wa Misiri. 2 Farawoni ashavurira abo bakevyi biwe babiri, umukuru w'abahereza inyobwa n'umukuru w'abahereza imfungurwa. 3 Abahereza ababacunga mu nzu y'umukuru w'abarinzi, aho Yozefu na we yari abohewe. 4 Umukuru w'abarinzi, agena Yozefu ngo abakorere. Bamara imisi mw'ibohero.	ɾimwe ivʲo biheze , umusuku jaheɾeza iɲobwa umwami wa misiɾi be n uwat͡ʃumba imikate , baɾat͡ʃumuɾa kuɾi ʃebud͡ʒa , umwami wa misiɾi . kabiɾi faɾawoni aʃavuɾiɾa abo bakevʲi biwe babiɾi , umukuɾu w abaheɾeza iɲobwa n umukuɾu w abaheɾeza imfuŋuɾwa . ɡatatu abaheɾeza ababat͡ʃuŋa mu nzu j umukuɾu w abaɾinzi , aho jozefu na we jaɾi abohewe . kane umukuɾu w abaɾinzi , aɡena jozefu ŋo abakoɾeɾe . bamaɾa imisi mw iboheɾo .
umushaha wanje ntukifatanye n'akagwi kabo!	umuʃaha wand͡ʒe ntukifataɲe n akaɡwi kabo !
ku mugoroba na ho, rikagabanganya ivyasahuwe.»	ku muɡoɾoba na ho , ɾikaɡabaŋaɲa ivʲasahuwe .
Kenneth Ronald "Ken" Berry (* 11.3.1933, Moline, Illinois – * 1.12.2018, Burbank, California).	kenneth ɾonald ken beɾɾʲ it͡ʃumi na ɾimwe . ɡatatu . iɡihumbi na amad͡ʒana t͡ʃenda na miɾoŋo itatu na ɡatatu , moline , illinois ɾimwe . it͡ʃumi na kabiɾi . ibihumbi bibiɾi na it͡ʃumi na umunani , buɾbank , t͡ʃalifoɾnia .
Shah Rukh Khan (wavutse ku ya 2 Ugushyingo 1965), uzwi kandi ku ntangiriro ya SRK, ni umukinyi w’umuhinde, utunganya amalelesi, ndetse n'imboneshakure. Yavuzwe mu bitangazamakuru nka "Baadshah ya Bollywood" (yerekeza kw'ilekesi yiwe Baadshah yo mu 1999),	ʃah ɾukh khan wavutse ku ja kabiɾi uɡuʃʲiŋo iɡihumbi na amad͡ʒana t͡ʃenda na miɾoŋo itandatu na ɡatanu , uzwi kandi ku ntaŋiɾiɾo ja sɾk , ni umukiɲi w umuhinde , utuŋaɲa amalelesi , ndetse n imboneʃakuɾe . javuzwe mu bitaŋazamakuɾu nka baːdʃah ja bollʲwoːd jeɾekeza kw ilekesi jiwe baːdʃah jo mu iɡihumbi na amad͡ʒana t͡ʃenda na miɾoŋo it͡ʃenda na it͡ʃenda ,
Muri rusangi, inzuzi ni isoko rikomeye ry'amazi, ubutunzi n'iterambere ry'ibihugu.	muɾi ɾusaŋi , inzuzi ni isoko ɾikomeje ɾʲ amazi , ubutunzi n iteɾambeɾe ɾʲ ibihuɡu .
Noheli, canke Noweli, Noweri (mu congereza : Christmas ; mu gifaransa : Noël) ni umusi mukuru uhimbaza ivuka rya Yezu Kristru (Yesu Kristo) w'i Nazareti.	noheli , t͡ʃanke noweli , noweɾi mu t͡ʃoŋeɾeza , t͡ʃhɾistmas , mu ɡifaɾansa , noel ni umusi mukuɾu uhimbaza ivuka ɾʲa jezu kɾistɾu jesu kɾisto w i nazaɾeti .
Wiki Loves Africa 2019 yabaye kucivugo c'umukinyi	wiki loves afɾit͡ʃa ibihumbi bibiɾi na it͡ʃumi na it͡ʃenda jabaje kut͡ʃivuɡo t͡ʃ umukiɲi
2014: Brarudi yatanguye gukora inzoga yitwa Nyongera. Brasserie y'i Gitega akaba ariyo ikora ico kinyobwa cane.	ibihumbi bibiɾi na it͡ʃumi na kane , bɾaɾudi jataŋuje ɡukoɾa inzoɡa jitwa ɲoŋeɾa . bɾasseɾie j i ɡiteɡa akaba aɾijo ikoɾa it͡ʃo kiɲobwa t͡ʃane .
Aha twotanga uburorero nk'ingo zabura uruvyaro,abapfisha inka cane,abakobwa bateba kuronka abagabo,Imiryango yakunda guterwa n'intezi ndetse nizindi ndwara zivyaduka.......Muri make abanyagihigu mu gusenga bategerezwa guca kuri Kiranga kugirango abasabire ku Mana ivyo bifuza vyose.	aha twotaŋa ubuɾoɾeɾo nk iŋo zabuɾa uɾuvʲaɾo , abapfiʃa inka t͡ʃane , abakobwa bateba kuɾonka abaɡabo , imiɾʲaŋo jakunda ɡuteɾwa n intezi ndetse nizindi ndwaɾa zivʲaduka . muɾi make abaɲaɡihiɡu mu ɡuseŋa bateɡeɾezwa ɡut͡ʃa kuɾi kiɾaŋa kuɡiɾaŋo abasabiɾe ku mana ivʲo bifuza vʲose .
Harihó ingoma irongôra izĭndi bītá Inkĭranya, hakaba na zírya ngoma níni bītá ibishíkizo, n'íngoma ntôntó bītá amashāko. Izo ngoma rēró zibāzwa cāne cȃne mu gitī citwá Umuvúgāngoma, n´íkĭndi cītwá umusȃvé.	haɾiho iŋoma iɾoŋoɾa izindi bita inkiɾaɲa , hakaba na ziɾʲa ŋoma nini bita ibiʃikizo , n iŋoma ntonto bita amaʃako . izo ŋoma ɾeɾo zibazwa t͡ʃane t͡ʃane mu ɡiti t͡ʃitwa umuvuɡaŋoma , n ikindi t͡ʃitwa umusave .
Ikirumbarumba (Ikirumbagane): yaba ari umuhungu yabuze umugore canke yaresha bakamubenga;	ikiɾumbaɾumba ikiɾumbaɡane , jaba aɾi umuhuŋu jabuze umuɡoɾe t͡ʃanke jaɾeʃa bakamubeŋa ,
Se w'umuhungu yasanga bamuteguriye Intebe y'umukwe. Mu gihe bamaze kubazimana Se w'umuhungu yaratangura akavuga ijambo ryo gusaba Irembo Hama Se w'umukobwa akamwishura rero iyo bamushimye barabaherekeza bakabatekerera n'umubindi wa 3 wo kw'ivuna akanyota.Iyo bamwanse hoho no kumuherekeza ntibamuherekeza.	se w umuhuŋu jasaŋa bamuteɡuɾije intebe j umukwe . mu ɡihe bamaze kubazimana se w umuhuŋu jaɾataŋuɾa akavuɡa id͡ʒambo ɾʲo ɡusaba iɾembo hama se w umukobwa akamwiʃuɾa ɾeɾo ijo bamuʃimʲe baɾabaheɾekeza bakabatekeɾeɾa n umubindi wa ɡatatu wo kw ivuna akaɲota . ijo bamwanse hoho no kumuheɾekeza ntibamuheɾekeza .
Inanga, nk’ayandi mayagwa yose y’ikirundi zishikiriza iciyumviro kandi zigakoreshwa muguteramisha abantu. Ivyiyumviro vyakunda kuba bivurwa muri izo nanga kwari nko kwivuga uwakugabiye, (Inanga ya Bigoro), ugutera inkuru yabaye ( Inanga ya Maconco), Ubuzima mu kibano (Umuhirwe ni nde), ndetse no Kuresha ( Inanga "Urambera umukunzi" ya Donasiyano w’i Muramvya).	inaŋa , nk ajandi majaɡwa jose j ikiɾundi ziʃikiɾiza it͡ʃijumviɾo kandi ziɡakoɾeʃwa muɡuteɾamiʃa abantu . ivʲijumviɾo vʲakunda kuba bivuɾwa muɾi izo naŋa kwaɾi nko kwivuɡa uwakuɡabije , inaŋa ja biɡoɾo , uɡuteɾa inkuɾu jabaje inaŋa ja mat͡ʃont͡ʃo , ubuzima mu kibano umuhiɾwe ni nde , ndetse no kuɾeʃa inaŋa uɾambeɾa umukunzi ja donasijano w i muɾamvʲa .
Kugira uwo mukuza uvuge cane barawufatanya n’umugozi w’impuzu canke umugozi uvuye kugiti c’igitoke bakawushira hagati kw'ifundo rya gatatu kugira birinde ugukoranako kwose kutameze neza hagati y’umukuza n’ico giti gihese.	kuɡiɾa uwo mukuza uvuɡe t͡ʃane baɾawufataɲa n umuɡozi w impuzu t͡ʃanke umuɡozi uvuje kuɡiti t͡ʃ iɡitoke bakawuʃiɾa haɡati kw ifundo ɾʲa ɡatatu kuɡiɾa biɾinde uɡukoɾanako kwose kutameze neza haɡati j umukuza n it͡ʃo ɡiti ɡihese .
Ishuri muri Bamako, Mali na Ouagadougou, Burkina Faso	iʃuɾi muɾi bamako , mali na ouaɡadouɡou , buɾkina faso
The Grand Al Hassanayni Mosque (risigura: The “ba Hassan babiri” umusigiti) womuri Darou Hidjiratou wubatswe n’igisata mpuzamakungu Mozdahir numurongozi Waco Cherif Mohamed Aly Aidara. Uwo musigiti wataziriwe mugateka ka Cherif Al-Hassane Aidara nigisekuru ce Al Hassane Al Mojtaba ibn Ali, umwuzukuruza wintumwa Muhamedi hamwe nuwakabiri muri cumi nababiri imamu na cumi na babiri ba Shii.	the ɡɾand al hassanajni moskue ɾisiɡuɾa , the ba hassan babiɾi umusiɡiti womuɾi daɾou hidd͡ʒiɾatou wubatswe n iɡisata mpuzamakuŋu mozdahiɾ numuɾoŋozi wat͡ʃo t͡ʃheɾif mohamed alʲ aidaɾa . uwo musiɡiti wataziɾiwe muɡateka ka t͡ʃheɾif al hassane aidaɾa niɡisekuɾu t͡ʃe al hassane al mod͡ʒtaba ibn ali , umwuzukuɾuza wintumwa muhamedi hamwe nuwakabiɾi muɾi t͡ʃumi nababiɾi imamu na t͡ʃumi na babiɾi ba ʃiː .
Ukwezi kwa mbere ni Nzero. Nzerere kwari ukwezi abantu bazerera baja gusuma, kwari ukwezi kandi babibamwo amahonda.	ukwezi kwa mbeɾe ni nzeɾo . nzeɾeɾe kwaɾi ukwezi abantu bazeɾeɾa bad͡ʒa ɡusuma , kwaɾi ukwezi kandi babibamwo amahonda .
Buri Geredani yemewe agomba kwishyura amafaranga yagenwe ya US $ 4,000 wongeyeho amafaranga ahinduka. Igiteranyo cya Gerefiye ya Gerefiye igamije ko muri miliyoni 3.8 z'amadolari. Amarushanwa yakozwe na sisitemu yo kwiyandikisha isangiwe ituma abakoresha barangiza guhitamo abanditsi benshi batanga serivisi zitandukanye zijyanye nibiciro bitandukanye.	buɾi ɡeɾedani jemewe aɡomba kwiʃʲuɾa amafaɾaŋa jaɡenwe ja amadoɾaɾi ibihumbi bine woŋejeho amafaɾaŋa ahinduka . iɡiteɾaɲo kʲa ɡeɾefije ja ɡeɾefije iɡamid͡ʒe ko muɾi milijoni ɡatatu umunani z amadolaɾi . amaɾuʃanwa jakozwe na sisitemu jo kwijandikiʃa isaŋiwe ituma abakoɾeʃa baɾaŋiza ɡuhitamo abanditsi benʃi bataŋa seɾivisi zitandukaɲe ziɡʲaɲe nibit͡ʃiɾo bitandukaɲe .
Nkuko bisanzwe mumwaka hariho ibihe bibiri bikuru bikuru ibihe vy'imvura n'igihe c'izuba arico bita ici.Mu Burundi co kimwe no mubindi bihugu vyo mubuseruko(ibihugu biri hejuru y'umurongo ugabura isi mubice 2 bingana) ici ritangura mu kwezi kwa 6 rigahera mu kwezi kwa 9.Ariko uko imyaka igenda ihindagurika niko n'ibihe bihindagurika gutyo ugasanga n'amezi y'ici yiyongereyeko canke akagabanuka.	nkuko bisanzwe mumwaka haɾiho ibihe bibiɾi bikuɾu bikuɾu ibihe vʲ imvuɾa n iɡihe t͡ʃ izuba aɾit͡ʃo bita it͡ʃi . mu buɾundi t͡ʃo kimwe no mubindi bihuɡu vʲo mubuseɾuko ibihuɡu biɾi hed͡ʒuɾu j umuɾoŋo uɡabuɾa isi mubit͡ʃe kabiɾi biŋana it͡ʃi ɾitaŋuɾa mu kwezi kwa ɡatandatu ɾiɡaheɾa mu kwezi kwa it͡ʃenda . aɾiko uko imʲaka iɡenda ihindaɡuɾika niko n ibihe bihindaɡuɾika ɡutʲo uɡasaŋa n amezi j it͡ʃi jijoŋeɾejeko t͡ʃanke akaɡabanuka .
