buttonlabel=Maghimo sang bag-o nga artikulo	buttonlˈabel maɡhˈimo sˈaŋ bˈaɡʔo ŋˈa ʔaɾtikˈulo
Ang Burgos ika-apat nga klase sang munisipalidad nga makita sa probinsya sang Isabela, Pilipinas. May 73.1 kwadrado ini nga kalaparon kag ini kabahin sang ika-duha nga distrito kongresyonal.	ʔˈaŋ bˈuɾɡos ʔikaʔˈapat ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ ʔisabˈela , pilipˈinas . mˈaj kapitˈuʔan kˈaɡ tˈatlo pˈunto ʔˈisa kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔikaʔdˈuha ŋˈa distɾˈito koŋɾesjˈonal .
Ang Luna ika-tatlo nga klase sang munisipalidad nga makita sa probinsya sang La Union, Pilipinas. May 42.9 kwadrado ini nga kalaparon kag ini kabahin sang una nga distrito kongresyonal.	ʔˈaŋ lˈuna ʔikaʔtˈatlo ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ lˈa ʔunˈiʔon , pilipˈinas . mˈaj kapʔˈatan kˈaɡ dˈuha pˈunto sˈijam kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔˈuna ŋˈa distɾˈito koŋɾesjˈonal .
Ang Pantao Ragat ika-apat nga klase sang munisipalidad nga makita sa probinsya sang Lanao del Norte, Pilipinas. May 124.3 kilometro kwadrado ini nga kalaparon kag ini kabahin sang ika-duha nga distrito kongresyonal.	ʔˈaŋ pantˈaʔo ɾˈaɡat ʔikaʔˈapat ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ lanˈaʔo dˈel nˈoɾte , pilipˈinas . mˈaj ʔˈisa kˈa ɡˈatos kˈaɡ kaluhˈaʔan kˈaɡ ʔˈapat pˈunto tˈatlo kilomˈetɾo kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔikaʔdˈuha ŋˈa distɾˈito koŋɾesjˈonal .
Ang Wao ika-duha nga klase sang munisipalidad nga makita sa probinsya sang Lanao del Sur, Pilipinas. May 485.24 kilometro kwadrado ini nga kalaparon kag ini kabahin sang una nga distrito kongresyonal.	ʔˈaŋ wˈaʔo ʔikaʔdˈuha ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ lanˈaʔo dˈel sˈuɾ , pilipˈinas . mˈaj ʔˈapat kˈa ɡˈatos kˈaɡ kawalˈuʔan kˈaɡ lˈima pˈunto dˈuha ʔˈapat kilomˈetɾo kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔˈuna ŋˈa distɾˈito koŋɾesjˈonal .
Ang Datu Paglas ika-apat nga klase sang munisipalidad nga makita sa probinsya sang Maguindanao del Sur, Pilipinas. May 132.1 kwadrado ini nga kalaparon kag ini kabahin sang ika-duha nga distrito kongresyonal.	ʔˈaŋ dˈatu pˈaɡlas ʔikaʔˈapat ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ maɡindanˈaʔo dˈel sˈuɾ , pilipˈinas . mˈaj ʔˈisa kˈa ɡˈatos kˈaɡ katlˈoʔan kˈaɡ dˈuha pˈunto ʔˈisa kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔikaʔdˈuha ŋˈa distɾˈito koŋɾesjˈonal .
Ang San Fernando ika-anum nga klase sang munisipalidad nga makita sa probinsya sang Masbate, Pilipinas. May 77.5 kilometro kwadrado ini nga kalaparon kag ini kabahin sang una nga distrito kongresyonal.	ʔˈaŋ sˈan peɾnˈando ʔikaʔˈanum ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ masbˈate , pilipˈinas . mˈaj kapitˈuʔan kˈaɡ pˈito pˈunto lˈima kilomˈetɾo kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔˈuna ŋˈa distɾˈito koŋɾesjˈonal .
Ang Sabangan ika-lima nga klase sang munisipalidad nga makita sa probinsya sang Mountain Province, Pilipinas. May 72.04 kilometro kwadrado ini nga kalaparon kag ini kabahin sang bugtong nga distrito kongresyonal.	ʔˈaŋ sabˈaŋan ʔikaʔlˈima ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ moʔuntˈaʔin pɾobˈinke , pilipˈinas . mˈaj kapitˈuʔan kˈaɡ dˈuha pˈunto sˈeɾo ʔˈapat kilomˈetɾo kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ bˈuɡtoŋ ŋˈa distɾˈito koŋɾesjˈonal .
Ang Catubig ika-tatlo nga klase sang munisipalidad nga makita sa probinsya sang Northern Samar, Pilipinas. May 214.99 kwadrado ini nga kalaparon kag ini kabahin sang ika-duha nga distrito kongresyonal.	ʔˈaŋ katˈubiɡ ʔikaʔtˈatlo ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ nˈoɾtheɾn sˈamaɾ , pilipˈinas . mˈaj dˈuha kˈa ɡˈatos kˈaɡ napˈulo kˈaɡ ʔˈapat pˈunto sˈijam sˈijam kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔikaʔdˈuha ŋˈa distɾˈito koŋɾesjˈonal .
Ang Ambaguio ika-lima nga klase sang munisipalidad nga makita sa probinsya sang Nueva Vizcaya, Pilipinas. May 156.26 kwadrado ini nga kalaparon kag ini kabahin sang bugtong nga distrito kongresyonal.	ʔˈaŋ ʔambˈaɡio ʔikaʔlˈima ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ nuʔˈeba biskˈaja , pilipˈinas . mˈaj ʔˈisa kˈa ɡˈatos kˈaɡ kalˈimʔan kˈaɡ ʔˈanum pˈunto dˈuha ʔˈanum kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ bˈuɡtoŋ ŋˈa distɾˈito koŋɾesjˈonal .
Ang Coron una nga klase sang munisipalidad nga makita sa probinsya sang Palawan, Pilipinas. May 689.1 kwadrado ini nga kalaparon kag ini kabahin sang una nga distrito kongresyonal.	ʔˈaŋ kˈoɾon ʔˈuna ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ palˈawan , pilipˈinas . mˈaj ʔˈanum kˈa ɡˈatos kˈaɡ kawalˈuʔan kˈaɡ sˈijam pˈunto ʔˈisa kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔˈuna ŋˈa distɾˈito koŋɾesjˈonal .
Ang Bugallon ika-duha nga klase sang munisipalidad nga makita sa probinsya sang Pangasinan, Pilipinas. May 189.64 kwadrado ini nga kalaparon kag ini kabahin sang ika-duha nga distrito kongresyonal.	ʔˈaŋ buɡˈaljon ʔikaʔdˈuha ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ paŋasˈinan , pilipˈinas . mˈaj ʔˈisa kˈa ɡˈatos kˈaɡ kawalˈuʔan kˈaɡ sˈijam pˈunto ʔˈanum ʔˈapat kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔikaʔdˈuha ŋˈa distɾˈito koŋɾesjˈonal .
Ang Lucban ika-duha nga klase sang munisipalidad nga makita sa probinsya sang Quezon, Pilipinas. May 130.46 kwadrado ini nga kalaparon kag ini kabahin sang una nga distrito kongresyonal.	ʔˈaŋ lˈukban ʔikaʔdˈuha ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ kesˈon , pilipˈinas . mˈaj ʔˈisa kˈa ɡˈatos kˈaɡ katlˈoʔan pˈunto ʔˈapat ʔˈanum kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔˈuna ŋˈa distɾˈito koŋɾesjˈonal .
Base sa 2010 census, ini may populasyon nga 9,935. Ang zip code sini 5514.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa sˈijam kˈa lˈibo kˈaɡ sˈijam kˈa ɡˈatos kˈaɡ katlˈoʔan kˈaɡ lˈima . ʔˈaŋ sˈip kˈode sˈini lˈima kˈa lˈibo kˈaɡ lˈima kˈa ɡˈatos kˈaɡ napˈulo kˈaɡ ʔˈapat .
Base sa 2010 census, ini may populasyon nga 13,525. Ang zip code sini 6227.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa napˈulo kˈaɡ tˈatlo kˈa lˈibo kˈaɡ lˈima kˈa ɡˈatos kˈaɡ kaluhˈaʔan kˈaɡ lˈima . ʔˈaŋ sˈip kˈode sˈini ʔˈanum kˈa lˈibo kˈaɡ dˈuha kˈa ɡˈatos kˈaɡ kaluhˈaʔan kˈaɡ pˈito .
Ang Pata ika-lima nga klase sang munisipalidad nga makita sa probinsya sang Sulu, Pilipinas. May 116.99 kilometro kwadrado ini nga kalaparon kag ini kabahin sang ika-duha nga distrito kongresyonal.	ʔˈaŋ pˈata ʔikaʔlˈima ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ sˈulu , pilipˈinas . mˈaj ʔˈisa kˈa ɡˈatos kˈaɡ napˈulo kˈaɡ ʔˈanum pˈunto sˈijam sˈijam kilomˈetɾo kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔikaʔdˈuha ŋˈa distɾˈito koŋɾesjˈonal .
Ang Concepcion una nga klase sang munisipalidad nga makita sa probinsya sang Tarlac, Pilipinas. May 242.99 kwadrado ini nga kalaparon kag ini kabahin sang ika-tatlo nga distrito kongresyonal.	ʔˈaŋ konkepkˈiʔon ʔˈuna ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ tˈaɾlak , pilipˈinas . mˈaj dˈuha kˈa ɡˈatos kˈaɡ kapʔˈatan kˈaɡ dˈuha pˈunto sˈijam sˈijam kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔikaʔtˈatlo ŋˈa distɾˈito koŋɾesjˈonal .
Base sa 2010 census, ini may populasyon nga 39,015. Ang zip code sini 7115.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa katlˈoʔan kˈaɡ sˈijam kˈa lˈibo kˈaɡ napˈulo kˈaɡ lˈima . ʔˈaŋ sˈip kˈode sˈini pˈito kˈa lˈibo kˈaɡ ʔˈisa kˈa ɡˈatos kˈaɡ napˈulo kˈaɡ lˈima .
Base sa 2010 census, ini may populasyon nga 41,421. Ang zip code sini 7005.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa kapʔˈatan kˈaɡ ʔˈisa kˈa lˈibo kˈaɡ ʔˈapat kˈa ɡˈatos kˈaɡ kaluhˈaʔan kˈaɡ ʔˈisa . ʔˈaŋ sˈip kˈode sˈini pˈito kˈa lˈibo kˈaɡ lˈima .
Ang Mabalacat ika-anum nga klase sang syudad nga makita sa probinsya sang Pampanga, Pilipinas. 83.18 kilometro kwadrado ang kalaparon sini kag makita ini sa una nga distrito.	ʔˈaŋ mabalˈakat ʔikaʔˈanum ŋˈa klˈase sˈaŋ sjˈudad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ pampˈaŋa , pilipˈinas . kawalˈuʔan kˈaɡ tˈatlo pˈunto ʔˈisa wˈalo kilomˈetɾo kwadɾˈado ʔˈaŋ kalapˈaɾon sˈini kˈaɡ makˈita ʔˈini sˈa ʔˈuna ŋˈa distɾˈito .
Ang Carcar ika-apat nga klase sang syudad nga makita sa probinsya sang Cebu, Pilipinas. 116.78 kilometro kwadrado ang kalaparon sini kag makita ini sa una nga distrito.	ʔˈaŋ kˈaɾkaɾ ʔikaʔˈapat ŋˈa klˈase sˈaŋ sjˈudad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ kˈebu , pilipˈinas . ʔˈisa kˈa ɡˈatos kˈaɡ napˈulo kˈaɡ ʔˈanum pˈunto pˈito wˈalo kilomˈetɾo kwadɾˈado ʔˈaŋ kalapˈaɾon sˈini kˈaɡ makˈita ʔˈini sˈa ʔˈuna ŋˈa distɾˈito .
Base sa 2010 census, ini may populasyon nga 52,114. Ang zip code sini 8300.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa kalˈimʔan kˈaɡ dˈuha kˈa lˈibo kˈaɡ ʔˈisa kˈa ɡˈatos kˈaɡ napˈulo kˈaɡ ʔˈapat . ʔˈaŋ sˈip kˈode sˈini wˈalo kˈa lˈibo kˈaɡ tˈatlo kˈa ɡˈatos .
Ang Davao de Oro, nga sang una Compostela Valley, ang una nga klase ang probinsya sa Davao Region, Pilipinas. 4,479.77 kilometro kuadrado ang kalaparon sini.	ʔˈaŋ dabˈaʔo dˈe ʔˈoɾo , ŋˈa sˈaŋ ʔˈuna kompostˈela bˈaljej , ʔˈaŋ ʔˈuna ŋˈa klˈase ʔˈaŋ pɾobˈinsja sˈa dabˈaʔo ɾeɡˈiʔon , pilipˈinas . ʔˈapat kˈa lˈibo kˈaɡ ʔˈapat kˈa ɡˈatos kˈaɡ kapitˈuʔan kˈaɡ sˈijam pˈunto pˈito pˈito kilomˈetɾo kuʔadɾˈado ʔˈaŋ kalapˈaɾon sˈini .
Ang Intramuros isa ka distrito sa syudad sang Manila sa Pilipinas. Ginapalibutan ini sang napaderan nga mga pader nga gintukod sang ika-16 nga siglo.	ʔˈaŋ ʔintɾamˈuɾos ʔˈisa kˈa distɾˈito sˈa sjˈudad sˈaŋ manˈila sˈa pilipˈinas . ɡinapalibˈutan ʔˈini sˈaŋ napadˈeɾan ŋˈa mˈaŋa pˈadeɾ ŋˈa ɡintˈukod sˈaŋ ʔˈika napˈulo kˈaɡ ʔˈanum ŋˈa sˈiɡlo .
Ang banwa sang Tapaz yara sa latitudo nga 11° 09’ hasta 11° 09’ 42" kag sa longitudo nga 121° 11’ hasta 122° 34’ 45". Ini 55 kilometro (34 mi) halin sa banwa sang Roxas.	ʔˈaŋ bˈanwa sˈaŋ tˈapas jˈaɾa sˈa latitˈudo ŋˈa napˈulo kˈaɡ ʔˈisa sˈijam hˈasta napˈulo kˈaɡ ʔˈisa sˈijam kapʔˈatan kˈaɡ dˈuha kˈaɡ sˈa loŋitˈudo ŋˈa ʔˈisa kˈa ɡˈatos kˈaɡ kaluhˈaʔan kˈaɡ ʔˈisa napˈulo kˈaɡ ʔˈisa hˈasta ʔˈisa kˈa ɡˈatos kˈaɡ kaluhˈaʔan kˈaɡ dˈuha katlˈoʔan kˈaɡ ʔˈapat kapʔˈatan kˈaɡ lˈima . ʔˈini kalˈimʔan kˈaɡ lˈima kilomˈetɾo katlˈoʔan kˈaɡ ʔˈapat mˈi hˈalin sˈa bˈanwa sˈaŋ ɾˈoksas .
May 1,821.42 kilometro kwadrado ang kalaparon sini. Makita ini sa pinakaaminhan nga bahin sang Panay. Tupad sini ang mga probinsya sang Antique kag Capiz. Sa atubang sini ang Dagat sang Sibulan kag probinsya sang Romblon sa aminhan. Base sa 2024 census, ini may populasyon nga 634,422. Ang dialing code sini 36.	mˈaj ʔˈisa kˈa lˈibo kˈaɡ wˈalo kˈa ɡˈatos kˈaɡ kaluhˈaʔan kˈaɡ ʔˈisa pˈunto ʔˈapat dˈuha kilomˈetɾo kwadɾˈado ʔˈaŋ kalapˈaɾon sˈini . makˈita ʔˈini sˈa pinakaʔamˈinhan ŋˈa bˈahin sˈaŋ pˈanaj . tˈupad sˈini ʔˈaŋ mˈaŋa pɾobˈinsja sˈaŋ ʔˈantike kˈaɡ kˈapis . sˈa ʔatˈubaŋ sˈini ʔˈaŋ dˈaɡat sˈaŋ sibˈulan kˈaɡ pɾobˈinsja sˈaŋ ɾˈomblon sˈa ʔamˈinhan . bˈase sˈa dˈuha kˈa lˈibo kˈaɡ kaluhˈaʔan kˈaɡ ʔˈapat kˈensus , ʔˈini mˈaj populˈasjon ŋˈa ʔˈanum kˈa ɡˈatos kˈaɡ katlˈoʔan kˈaɡ ʔˈapat kˈa lˈibo kˈaɡ ʔˈapat kˈa ɡˈatos kˈaɡ kaluhˈaʔan kˈaɡ dˈuha . ʔˈaŋ diʔˈaliŋ kˈode sˈini katlˈoʔan kˈaɡ ʔˈanum .
Base sa 2010 census, ini may populasyon nga 428,877. Ang dialing code sini amo ang 55.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa ʔˈapat kˈa ɡˈatos kˈaɡ kaluhˈaʔan kˈaɡ wˈalo kˈa lˈibo kˈaɡ wˈalo kˈa ɡˈatos kˈaɡ kapitˈuʔan kˈaɡ pˈito . ʔˈaŋ diʔˈaliŋ kˈode sˈini ʔˈamo ʔˈaŋ kalˈimʔan kˈaɡ lˈima .
