# Indonesian ⟨e⟩ pepet/taling lexicon — CROSS-SOURCE CONSENSUS (wikipron ind ∩ kaikki ind).
# Latin ⟨e⟩ conflates pepet /ə/ and taling /e/~/ɛ/; the rule engine defaults pepet. Each entry pins the
# taling quality ONLY where BOTH independent human referees agree on the ⟨e⟩ pattern (single shared
# signature; homograph/variant words where the sources disagree are abstained). e vs ɛ preserved where the
# sources also agree exactly, else the taling mid /e/. Non-⟨e⟩ segments + stress are OUR rule output.
# Generated by tools/referee-eval — do not hand-edit. 2742 entries.
abegrin	abeɡrˈin
amelogenin	ameloɡenˈin
amenitas	amenˈitas
amenorea	amenoreˈa
amer	ˈamɛr
amesureng	amesˈurəŋ
ameto	ametˈo
ametropia	amɛtropˈia
amilemia	amilemˈia
ampean	ampeˈan
ampikale	ampikˈale
amplek	ˈamplɛʔ
amulet	amˈulɛt
anadrenalisme	anadrenalˈismə
anaheha	anahehˈa
anamnesa	anamnɛsˈa
anamnese	anamnɛsˈə
anamnesis	anamnɛsˈis
anamolepo	anamolepˈo
anastesialogi	anastesialˈoɡi
anaweli	anawelˈi
anaye	anˈajɛ
andege	andeɡˈe
androgenisasi	androɡenisˈasi
andromedotoksin	andromedotˈoʔsin
ane	ˈane
aneh	ˈaneh
anehe	anehˈe
anehkan	anehkˈan
aneka	anɛkˈa
aneksasi	anɛʔsˈasi
aneksi	anɛʔsˈi
anensefali	anɛnsefˈali
anensefalus	anɛnsefˈalus
anergi	anɛrɡˈi
anestesian	anɛstəsˈian
anestesiolog	anɛstesiˈoloɡ
anestetik	anɛstetˈiʔ
anestetis	anɛstetˈis
aneurisma	aneurˈisma
angdes	ˈaŋdɛs
angel	ˈaŋel
anggrek	ˈaŋɡrɛʔ
anghengar	aŋheŋˈar
angioedema	aŋioedemˈa
anhidraemia	anhidraemˈia
anime	anˈime
aniseikonia	aniseikonˈia
anisometropia	anisometropˈia
anjeng	ˈand͡ʒeŋ
anogenital	anoɡenˈital
anorektal	anorɛʔtˈal
antardesa	antardɛsˈa
antenatal	antenˈatal
anterior	anterˈior
antero	anterˈo
antesis	antesˈis
antiandrogen	antiandrˈoɡɛn
antibakteria	antibaʔterˈia
antifertilitas	antifɛrtilˈitas
antigen	antˈiɡɛn
antigenisitas	antiɡɛnisˈitas
antiklerikalisme	antiʔlerikalˈismə
antilipidemik	antilipidemˈiʔ
antireumatisme	antireumatˈismə
antiseptik	antiseptˈiʔ
antitesis	antitesˈis
antrean	antreˈan
antropogenik	antropoɡenˈiʔ
antroposentrisme	antroposɛntrˈismə
anuresis	anuresˈis
anweizing	anweˈiziŋ
apartemen	apartəmˈɛn
apendektomi	apɛndɛʔtˈomi
apendisitis	apɛndisˈitis
aperitif	aperˈitif
apologet	apolˈoɡɛt
apologetika	apoloɡetˈika
apologetis	apoloɡetˈis
apotek	apˈoteʔ
apoteosis	apoteˈosis
apresiatif	apresiˈatif
arame	arˈamɛ
arbei	arbeˈi
area	arɛˈa
areal	areˈal
areh	ˈarɛh
areola	areˈola
argentum	arɡentˈum
aritmetika	aritmɛtˈika
arjer	ˈard͡ʒɛr
arkeolog	arkɛˈoloɡ
arkeologi	arkeolˈoɡi
arkunel	arkˈunɛl
armed	ˈarmɛd
arsitek	arsˈitɛʔ
arteriografi	arterioɡrˈafi
arteriogram	arteriˈoɡram
arteritis	arterˈitis
arterosklerosis	artərosʔlerˈosis
artrosentesis	artrosɛntesˈis
arupera	aruperˈa
arwer	ˈarwɛr
asakue	asakˈue
ase	ˈase
asersi	asɛrsˈi
asertif	asɛrtˈif
asese	asesˈe
asesi	asesˈi
asesmen	asɛsmˈən
asetabulum	asetabˈulum
asetat	asetˈat
asetilasi	asetilˈasi
asetilen	asetˈilɛn
asetilena	asetilenˈa
asetonuria	asetonurˈia
asisten	asˈistɛn
asistensi	asistɛnsˈi
asjetan	asd͡ʒetˈan
askese	askesˈə
asket	ˈaskɛt
asketisme	asketˈismə
aslesar	aslesˈar
aspermia	aspɛrmˈia
astenik	astenˈiʔ
astenopia	astenopˈia
astereognosis	astereoɡnˈosis
asteriksis	asterˈiʔsis
ate	ˈate
ateisme	ateˈismə
atelia	atelˈia
atenuasi	atenuˈasi
aterogenesis	ateroɡenesˈis
atestasi	atestˈasi
atletis	atletˈis
atmosfer	atmˈosfɛr
atmosferis	atmosfɛrˈis
atresia	atresˈia
atrioventrikel	atriovɛntrˈikəl
audiometer	audiometˈər
audiometri	audiometrˈi
audite	audˈite
autoanamnesis	autoanamnesˈis
autoinfeksi	autoinfɛʔsˈi
autoinjektor	autoind͡ʒeʔtˈor
ave	ˈave
averoisme	averoˈismə
awelat	awelˈat
awet	ˈawɛt
awetan	awɛtˈan
azotemia	azotemˈia
babelan	babelˈan
bade	bˈade
badenga	badeŋˈa
bakero	bakerˈo
bakteremia	baʔteremˈia
bakteri	baʔterˈi
bakterial	baʔterˈial
bakteriuria	baʔteriurˈia
balneologi	balneolˈoɡi
balneoterapi	balneoterˈapi
bamer	bˈamɛr
bandrek	bˈandrɛʔ
bangle	bˈaŋle
bante	bˈante
barometer	barometˈər
baroreseptor	baroresɛptˈor
baroseptor	barosɛptˈor
basket	bˈaskɛt
basketbol	basketbˈol
basopenia	basopenˈia
bauket	baˈuket
bawel	bˈawɛl
bayonet	bajˈonɛt
be	bˈe
bea	beˈa
beasiswa	beasˈiswa
beatifikasi	beatifikˈasi
bebek	bebˈɛʔ
beber	bɛbˈɛr
bebi	bebˈi
becak	bɛt͡ʃˈaʔ
becek	bet͡ʃˈɛʔ
beceng	bɛt͡ʃˈɛŋ
becih	bet͡ʃˈih
beda	bɛdˈa
bedaan	bɛdˈaan
bedakan	bedˈakan
begal	beɡˈal
beha	behˈa
beji	bed͡ʒˈi
bek	bˈɛʔ
beken	bəkˈɛn
beker	bekˈər
bekintangon	bɛkintˈaŋon
belarasa	belarˈasa
beleran	bɛlɛrˈan
belerang	bəlerˈaŋ
bencong	bɛnt͡ʃˈoŋ
bendera	bənderˈa
bendesa	bəndesˈa
bendi	bɛndˈi
bengek	bəŋˈɛʔ
bengkel	bɛŋkˈɛl
benteng	bɛntˈɛŋ
benton	bentˈon
bentos	bɛntˈos
benzoin	bɛnzˈoin
benzol	benzˈol
berbeda	bərbɛdˈa
berberes	bərbɛrˈɛs
berdialek	bərdiˈalɛʔ
berdiferensiasi	bərdiferensiˈasi
berekspresi	bərɛʔsprɛsˈi
berengsek	bərɛŋsˈɛʔ
bereskan	bɛrɛskˈan
berkebolehan	bərkəbolɛhˈan
berkeloid	bərkelˈoid
berketombe	bərkətˈombe
berkonsentrasi	bərkonsentrˈasi
berkriteria	bərʔriterˈia
berlelehan	bərlɛlɛhˈan
bernitrogen	bərnitrˈoɡɛn
berobsesi	bərobsɛsˈi
beroleh	bərˈolɛh
berorientasi	bəroriɛntˈasi
berpanel	bərpˈanɛl
berpanen	bərpˈanɛn
berseba	bərsɛbˈa
bersenggol	bərsɛŋɡˈol
bersenggolan	bərsɛŋɡˈolan
bersepeda	bərsəpedˈa
berserak	bərserˈaʔ
berserakan	bərserˈakan
bersertifikasi	bərsertifikˈasi
bertelepon	bərtelepˈon
bertengger	bərteŋɡˈer
berteori	bərteˈori
besertifikasi	bəsertifikˈasi
besok	besˈoʔ
bestek	bɛstˈɛʔ
bezel	bezˈəl
bibliotek	bibliˈotɛʔ
bilier	bilˈiɛr
bilyet	bˈiljɛt
bineka	binekˈa
biner	bˈinɛr
bioetik	bioetˈiʔ
bioetika	bioetˈika
biogenesis	bioɡenesˈis
biosfer	biˈosfɛr
biparietal	biparietˈal
biped	bˈipɛd
bipedal	bipedˈal
bisitopenia	bisitopenˈia
bitemporal	bitɛmpˈoral
blefarospasme	blefarospˈasmə
blek	blˈɛʔ
blewah	blewˈah
bokek	bˈokɛʔ
bokep	bˈokɛp
boker	bˈokɛr
boleh	bˈolɛh
bolehan	bolɛhˈan
bonafide	bonafˈide
boneka	bonɛkˈa
botel	bˈotɛl
bradikinesia	bradikinesˈia
brakiterapi	brakiterˈapi
break	breˈaʔ
breksia	brɛʔsˈia
bretel	brətˈɛl
brevet	brɛvˈɛt
bronkiolektasis	bronkiolɛʔtˈasis
bronkoesofagologi	bronkoesofaɡolˈoɡi
bronkopneumonia	bronkopneumonˈia
bufet	bˈufɛt
bukake	bukˈake
bule	bˈule
bultek	bˈulteʔ
burket	bˈurket
buset	bˈuset
cabe	t͡ʃˈabe
cakwe	t͡ʃˈaʔwe
caleg	t͡ʃˈalɛɡ
cangklek	t͡ʃˈaŋʔleʔ
cantel	t͡ʃˈantɛl
capek	t͡ʃˈapeʔ
capres	t͡ʃˈaprɛs
cawapres	t͡ʃawˈaprɛs
ce	t͡ʃˈe
cebok	t͡ʃebˈoʔ
cebong	t͡ʃebˈoŋ
cedilla	t͡ʃedˈilla
cegeh	t͡ʃəɡˈɛh
celemek	t͡ʃələmˈɛʔ
celeng	t͡ʃelˈeŋ
celengan	t͡ʃeleŋˈan
cemen	t͡ʃɛmˈɛn
cenblu	t͡ʃɛnblˈu
cendol	t͡ʃɛndˈol
cengbeng	t͡ʃɛŋbˈɛŋ
cengli	t͡ʃɛŋlˈi
cenglu	t͡ʃɛŋlˈu
cengtri	t͡ʃɛŋtrˈi
cepek	t͡ʃəpˈɛʔ
cerecet	t͡ʃəret͡ʃˈet
cerek	t͡ʃerˈeʔ
cerewet	t͡ʃərewˈɛt
cerpen	t͡ʃərpˈen
cetak	t͡ʃetˈaʔ
cetakan	t͡ʃetˈakan
cetek	t͡ʃɛtˈɛʔ
cetiya	t͡ʃetˈija
cewek	t͡ʃewˈeʔ
cie	t͡ʃˈie
colmek	t͡ʃˈolmɛʔ
colmekin	t͡ʃolmɛkˈin
copet	t͡ʃˈopɛt
coret	t͡ʃˈoret
cowperitis	t͡ʃowperˈitis
cuek	t͡ʃˈuɛʔ
cultuurstelsel	t͡ʃultuurstɛlsˈəl
daerah	daerˈah
daktilometer	daʔtilometˈər
de	dˈe
deaminasi	deaminˈasi
deasidifikasi	deasidifikˈasi
debridemen	debridəmˈɛn
deduksi	dedˈuʔsi
deduktif	dedˈuʔtif
deeskalasi	deeskalˈasi
defek	defˈɛʔ
defekasi	defekˈasi
defenisi	defenˈisi
defensi	defɛnsˈi
defensif	defensˈif
defibrilator	defibrilˈator
defile	defˈile
definisi	definˈisi
definit	defˈinit
definitif	definˈitif
defisit	defˈisit
deflasi	deflˈasi
defleksi	deflɛʔsˈi
deforestasi	deforəstˈasi
deformasi	deformˈasi
degenerasi	deɡenərˈasi
degeneratif	deɡenərˈatif
degradasi	deɡradˈasi
dehegemonisasi	deheɡemonisˈasi
dehidrasi	dehidrˈasi
dekapitasi	dekapitˈasi
deker	dɛkˈər
dekomposisi	dekomposˈisi
dekonstruksi	dekonstrˈuʔsi
dekortikasi	dekortikˈasi
dekorum	dekˈorum
dekstra	dɛʔstrˈa
dekstrokardia	dɛʔstrokardˈia
delegasi	deləɡˈasi
delesi	delesˈi
delinkuensi	delinkuɛnsˈi
delirium	delirˈium
delman	delmˈan
delusional	delusiˈonal
demagogi	demaɡˈoɡi
demarkasi	demarkˈasi
demensia	demɛnsˈia
demetilasi	demetilˈasi
demielinasi	demielinˈasi
demielinisasi	demielinisˈasi
demilitarisasi	demilitarisˈasi
demineralisasi	deminəralisˈasi
demiseksual	demisɛʔsˈual
demo	demˈo
demografi	demoɡrˈafi
demografis	demoɡrˈafis
demokratisasi	demoʔratisˈasi
demonetisasi	demonetisˈasi
demonstran	demˈonstran
demosi	demˈosi
denah	denˈah
denaturasi	denaturˈasi
dendeng	dendˈɛŋ
denervasi	denərvˈasi
denitrifikasi	denitrifikˈasi
densitas	dɛnsˈitas
densometer	dɛnsometˈər
densus	dɛnsˈus
dentasol	dɛntˈasol
dentikel	dɛntˈikɛl
dentinogenesis	dɛntinoɡenesˈis
deodoran	deodˈoran
deoksikolat	deoʔsikˈolat
departementalisasi	dəpartəmɛntalisˈasi
dependen	depɛndˈən
depilasi	depilˈasi
deplesi	deplesˈi
depok	depˈoʔ
deponering	dəponerˈiŋ
deponir	dɛpˈonir
deportasi	deportˈasi
depot	depˈot
depresan	deprɛsˈan
depresi	depresˈi
depresiasi	depresiˈasi
deprivasi	dɛprivˈasi
deputasi	deputˈasi
deputi	depˈuti
deret	dɛrˈɛt
dermabrasi	dɛrmabrˈasi
dermatitis	dɛrmatˈitis
dermatofitosis	dɛrmatofitˈosis
dermatom	dɛrmˈatom
dermoskopi	dɛrmoskˈopi
desa	dɛsˈa
desainer	desaˈinər
desalinasi	desalinˈasi
deselerasi	desɛlərˈasi
desensitisasi	desɛnsitisˈasi
desentralisasi	desɛntralisˈasi
desepsi	desɛpsˈi
deserebrasi	deserɛbrˈasi
desiderata	desiderˈata
desidua	desidˈua
desiduitis	desiduˈitis
desil	desˈil
desinfeksi	dɛsinfɛʔsˈi
desistor	desˈistor
deskriptif	dɛsʔrˈiptif
desmoplasia	dɛsmoplasˈia
desmosom	dɛsmˈosom
desmosomal	dɛsmosˈomal
destruksi	destrˈuʔsi
destruksikan	destruʔsˈikan
destruktif	dɛstrˈuʔtif
destruktor	destrˈuʔtor
detasering	detaserˈiŋ
detektif	deteʔtˈif
deteni	dətenˈi
determinan	detɛrmˈinan
determinasi	detɛrminˈasi
determinatif	detɛrminˈatif
determinisme	detɛrminˈismə
detoksifikasi	detoʔsifikˈasi
detonator	detonˈator
detritus	detrˈitus
detrusor	detrˈusor
devaskularisasi	devaskularisˈasi
developmentalisme	devəlopməntalˈismə
deviasi	deviˈasi
devisa	devˈisa
devolusi	devolˈusi
devosi	devˈosi
dewa	dewˈa
dewala	dewˈala
dewan	dɛwˈan
dewana	dewˈana
dewangga	dewˈaŋɡa
dewata	dewˈata
dewi	dewˈi
diabetes	diabetˈəs
diaforetik	diaforetˈiʔ
dialek	diˈalɛʔ
dialektik	dialɛʔtˈiʔ
dialektika	dialɛʔtˈika
dialektis	dialɛʔtˈis
dianehkan	dianehkˈan
diapedesis	diapedesˈis
diastole	diastˈole
diatermi	diatɛrmˈi
dibedakan	dibedˈakan
dibereskan	dibɛrɛskˈan
dicetak	dit͡ʃetˈaʔ
didekonstruksi	didekonstrˈuʔsi
didestruksikan	didestruʔsˈikan
didomestikasi	didomɛstikˈasi
diedarkan	diedˈarkan
dieksploitasi	diɛʔsploitˈasi
dieksploitasikan	diɛʔsploitasˈikan
diet	dˈiet
diferensial	diferɛnsˈial
diferensiasi	diferensiˈasi
digenosida	diɡenosˈida
digesti	diɡɛstˈi
digestif	diɡɛstˈif
diindonesiakan	diindonesiˈakan
dikaiosune	dikaiosˈune
dikonsentrasikan	dikonsentrasˈikan
dikuret	dikˈurɛt
dilengser	dileŋsˈer
dilewati	dilewˈati
dilewatkan	dilewˈatkan
dimensi	dimɛnsˈi
diperbedakan	dipərbedˈakan
diperoleh	dipərˈolɛh
dipersetan	dipərsetˈan
dipersetankan	dipərsetˈankan
diplegia	dipleɡˈia
direka	direkˈa
direkonstruksi	direkonstrˈuʔsi
direksi	dirɛʔsˈi
direktori	direʔtˈori
dirigen	dirˈiɡɛn
disdiadokokinesia	disdiadokokinesˈia
diseka	disekˈa
disektomi	disɛʔtˈomi
diseminasi	diseminˈasi
disenggol	disɛŋɡˈol
disentri	disentrˈi
diserakkan	diserˈaʔkan
diseret	disɛrˈɛt
diservikasi	disɛrvikˈasi
disestesia	disɛstesˈia
disgerminoma	disɡɛrminˈoma
disiden	disˈidɛn
disinfektan	disinfɛʔtˈan
disipliner	disiplˈiner
diskeratosis	diskeratˈosis
diskinesia	diskinesˈia
diskotek	diskˈoteʔ
diskrepansi	disʔrepˈansi
diskret	dˈisʔrɛt
disleksia	dislɛʔsˈia
dislipidemia	dislipidemˈia
dismenorea	dismenoreˈa
dismetria	dismɛtrˈia
disolventia	disolvɛntˈia
disorientasi	disoriɛntˈasi
dispen	dˈispɛn
dispensasi	dispɛnsˈasi
dispensasionalisme	dispɛnsasionalˈismə
dispepsia	dispɛpsˈia
dispersi	dispɛrsˈi
distres	dˈistrɛs
disukseskan	disuʔsɛskˈan
ditelefon	ditelefˈon
ditelfon	ditɛlfˈon
ditjen	dˈitd͡ʒɛn
diuresis	diuresˈis
divestasi	divɛstˈasi
dividen	divˈidɛn
diye	dˈije
dokumen	dokˈumɛn
dokumentalis	dokumɛntˈalis
dokumentasi	dokumɛntˈasi
dokumenter	dokumɛntˈɛr
dokumentografi	dokumɛntoɡrˈafi
dolorimetri	dolorimɛtrˈi
domestik	domɛstˈiʔ
domestikasi	domɛstikˈasi
dompet	dˈompet
dongeng	dˈoŋɛŋ
dosen	dˈosɛn
drusen	drˈusɛn
dupleks	dˈuplɛʔs
duren	dˈurɛn
ebonit	ebˈonit
ebtanas	ɛbtˈanas
ecer	ɛt͡ʃˈɛr
eceran	ɛt͡ʃɛrˈan
eco	et͡ʃˈo
edamame	edamˈame
edan	edˈan
edar	edˈar
edaran	edˈaran
edarkan	edˈarkan
edema	edemˈa
edisi	edˈisi
edit	edˈit
editor	ɛdˈitor
editorial	editorˈial
edukatif	edukˈatif
edukator	edukˈator
ef	ˈɛf
efek	ɛfˈɛʔ
efektif	ɛfɛʔtˈif
eferen	efərˈɛn
efisien	ɛfisˈiɛn
eflorensensi	ɛflorənsɛnsˈi
efloresensi	ɛflorəsɛnsˈi
eforus	efˈorus
efusi	efˈusi
egois	eɡˈois
egoisme	eɡoˈismə
egoistis	eɡoˈistis
eigendom	eiɡəndˈom
eike	eˈikə
ejaan	ed͡ʒˈaan
ejakulasi	ed͡ʒakulˈasi
ejakulat	ed͡ʒakˈulat
eka	ekˈa
ekakutub	ekakˈutub
ekaristi	ɛkarˈisti
ekawarna	ekawˈarna
ekek	ekˈeʔ
ekinokokosis	ekinokokˈosis
ekinosit	ekinˈosit
eklamsia	ɛʔlamsˈia
eklesia	eʔlesˈia
eklips	ɛʔlˈips
ekofasisme	ekofasˈismə
ekogenisitas	ekoɡenisˈitas
ekologis	ekolˈoɡis
ekonom	ɛkˈonom
ekonomi	ekonˈomi
ekonomis	ɛkonˈomis
ekor	ekˈor
ekoregion	ekoreɡˈion
ekosida	ekosˈida
ekosistem	ekosˈistəm
ekrin	ɛʔrˈin
ekrinologi	ɛʔrinolˈoɡi
eks	ˈɛʔs
eksaminasi	ɛʔsaminˈasi
eksekusi	ɛʔsəkˈusi
eksekutif	ɛʔsəkˈutif
eksekutor	ɛʔsəkˈutor
eksekutorial	ɛʔsəkutorˈial
eksem	ɛʔsˈɛm
eksenterasi	ɛʔsɛnterˈasi
eksentrik	ɛʔsɛntrˈiʔ
eksentrosit	ɛʔsɛntrˈosit
eksfolian	ɛʔsfolˈian
eksfoliasi	ɛʔsfoliˈasi
eksfoliatif	ɛʔsfoliˈatif
ekshibitor	ɛʔshibˈitor
eksim	ɛʔsˈim
eksipien	ɛʔsipˈiɛn
eksis	ɛʔsˈis
eksisi	ɛʔsˈisi
eksistensi	ɛʔsistɛnsˈi
eksistensial	ɛʔsistɛnsˈial
ekskavator	ɛʔskavˈator
ekskomunikasi	ɛʔskomunikˈasi
ekskresi	ɛʔsʔrɛsˈi
ekskul	eʔskˈul
ekskursi	ɛʔskˈursi
eksodus	ɛʔsˈodus
eksofitik	ɛʔsofˈitiʔ
eksoftalmos	ɛʔsoftˈalmos
eksogen	eʔsˈoɡɛn
eksokrin	ɛʔsˈoʔrin
eksorsis	ɛʔsˈorsis
eksorsisme	ɛʔsorsˈismə
eksostosis	ɛʔsostˈosis
eksotropia	ɛʔsotropˈia
ekspansi	ɛʔspˈansi
ekspansif	ɛʔspˈansif
ekspatriasi	ɛʔspatriˈasi
ekspedisi	ɛʔspədˈisi
ekspeditor	ɛʔspedˈitor
ekspensi	ɛʔspɛnsˈi
eksper	ɛʔspˈər
eksperimen	ɛʔspɛrˈimɛn
eksperimenter	ɛʔspərimɛntˈɛr
eksplikatif	ɛʔsplikˈatif
eksploitasi	ɛʔsploitˈasi
eksploitasikan	ɛʔsploitasˈikan
eksplorasi	ɛʔsplorˈasi
eksploratif	ɛʔsplorˈatif
eksplorator	ɛʔsplorˈator
eksponen	ɛʔspˈonɛn
eksportir	ɛʔspˈortir
ekspos	ɛʔspˈos
ekspose	ɛʔspˈose
eksposisi	ɛʔsposˈisi
eksposur	ɛʔspˈosur
ekspresi	ɛʔsprɛsˈi
ekspresif	ɛʔspresˈif
ekstensi	ɛʔstɛnsˈi
ekstensif	ɛʔstɛnsˈif
ekstensor	ɛʔstɛnsˈor
eksteriorisasi	ɛʔsteriorisˈasi
ekstermitas	ɛʔstərmˈitas
eksternal	ɛʔstərnˈal
ekstra	ɛʔstrˈa
ekstradisi	ɛʔstradˈisi
ekstrakapsular	ɛʔstrakapsˈular
ekstraksi	ɛʔstrˈaʔsi
ekstrakurikuler	ɛʔstrakurikˈulɛr
ekstrapolasi	ɛʔstrapolˈasi
ekstrasel	ɛʔstrˈasɛl
ekstraseluler	ɛʔstraselˈulɛr
ekstrasistole	ɛʔstrasistˈole
ekstravasasi	ɛʔstravasˈasi
ekstrem	ɛʔstrˈem
ekstremis	ɛʔstremˈis
ekstremitas	ɛʔstremˈitas
ekstrinsik	ɛʔstrˈinsiʔ
eksudat	ɛʔsˈudat
ektima	ɛʔtˈima
ektopik	ɛʔtˈopiʔ
ektropion	ɛʔtropˈion
ekuin	ekˈuin
ekuitas	ekuˈitas
ekumene	ekumenˈe
ekumenis	ekumenˈis
el	ˈɛl
elastografi	elastoɡrˈafi
elastosis	elastˈosis
elefantiasis	eləfantiˈasis
elektif	elɛʔtˈif
elektoral	elɛʔtˈoral
elektrifikasi	ɛlɛʔtrifikˈasi
elektrik	ɛlɛʔtrˈiʔ
elektris	ɛlɛʔtrˈis
elektroda	ɛlɛʔtrˈoda
elektroensefalografi	elɛʔtroɛnsefaloɡrˈafi
elektroensefalogram	elɛʔtroɛnsefalˈoɡram
elektrofisiologi	elɛʔtrofisiolˈoɡi
elektroforesis	elɛʔtroforesˈis
elektrofotografi	elɛʔtrofotoɡrˈafi
elektrokardiograf	elɛʔtrokardiˈoɡraf
elektrokardiografi	elɛʔtrokardioɡrˈafi
elektrokardiogram	elɛʔtrokardiˈoɡram
elektrokauter	elɛʔtrokaˈutər
elektrokauterisasi	elɛʔtrokautərisˈasi
elektrokoagulasi	elɛʔtrokoaɡulˈasi
elektrokortikografi	elɛʔtrokortikoɡrˈafi
elektromagnet	elɛʔtromˈaɡnɛt
elektromagnetisme	ɛlɛʔtromaɡnɛtˈismə
elevasi	elevˈasi
elevator	elevˈator
eliminasi	eliminˈasi
elips	elˈips
elipsis	elˈipsis
eliptis	elˈiptis
elisi	elˈisi
elit	elˈit
elite	elˈitə
elok	ɛlˈoʔ
elpiji	ɛlpˈid͡ʒi
elusi	elˈusi
elutriasi	ɛlutriˈasi
em	ˈɛm
email	emˈail
embalase	ɛmbalˈasə
embaran	embˈaran
embarkasi	ɛmbarkˈasi
ember	ɛmbˈɛr
embos	ɛmbˈos
embrio	ɛmbrˈio
emeritus	emerˈitus
eminen	emˈinɛn
eminensi	eminɛnsˈi
emirat	emˈirat
emiten	emˈitɛn
emoji	emˈod͡ʒi
emolien	emolˈiɛn
emosional	emosiˈonal
empangan	ɛmpˈaŋan
empati	ɛmpˈati
empiris	ɛmpˈiris
emulsi	emˈulsi
emulsifikasi	emulsifikˈasi
en	ˈɛn
enak	ɛnˈaʔ
enamel	enˈaməl
encer	ɛnt͡ʃˈɛr
endemik	ɛndəmˈiʔ
endogen	ɛndˈoɡɛn
endometrium	endomɛtrˈium
