㔂甘蔗	lân-kam-tsià
期許	kî-hí
期貨	kî-huè
期間	kî-kan
期限	kî-hān
木主	bo̍k-tsú
木乃伊	bo̍k-nái-i
木刻	bo̍k-khik
木匠	ba̍k-tshiūnn
木匠師	ba̍k-tshiūnn-sai
木匠師傅	ba̍k-tshiūnn-sai-hū
木司	ba̍k-sai
木器	bo̍k-khì
木子樹	bo̍k-tsí-tshiū
木屐	ba̍k-kia̍h
木屐搭	ba̍k-kia̍h-tah
木屐耳	ba̍k-kia̍h-hīnn
木屐蘭	Ba̍k-kia̍h-lân
木工	bo̍k-kang
木星	bo̍k-tshenn
木材	bo̍k-tsâi
木柵	Ba̍k-sa
木棉	bo̍k-mî
木棉花	bo̍k-biân-hua
木棍	bo̍k-kùn
木棒	bo̍k-pāng
木業	bo̍k-gia̍p
木槿	bo̍k-kín
木欏	bo̍k-lô
木欒仔	bo̍k-luân-á
木油樹	ba̍k-iû-tshiū
木片	bo̍k-phìnn
木犀	bo̍k-se
木瓜	bo̍k-kue
木瓜奶	bo̍k-kue-ling
木瓜欉	bo̍k-kue-tsâng
木瓜牛奶	bo̍k-kue-gû-ling
木瓜藤	bo̍k-kue-tîng
木筆	bo̍k-pit
木箱	bo̍k-siunn
木耳	bo̍k-ní
木船	bo̍k-tsûn
木芙蓉	bo̍k-hû-iông
木蓮	bo̍k-liân
木蘭	bo̍k-lân
木蘭池	bo̍k-lân-tî
木蘭花	bo̍k-lân-hue
木虱笑尿蜚	ba̍k-sat-tshiò-jiō-puī
木虱笑樹蜚	ba̍k-sat-tshiò-tshiū-puī
木虱草	ba̍k-sat-tsháu
木蝨	ba̍k-sat
木蝨食客	ba̍k-sat-tsia̍h-kheh
木製	bo̍k-tsè
木賊	bo̍k-tsi̍k
木質	bo̍k-tsit
木質部	bo̍k-tsit-pōo
木造	bo̍k-tsō
木雕	bo̍k-tiau
木香	ba̍k-hiunn
木馬	bo̍k-bé
木魚	bo̍k-hî
木鱉子	bo̍k-pih-tsí
木麻	bo̍k-muâ
木麻黃	bo̍k-muâ-hông
未且	buē-tshiánn
未且是	buē-tshiánn-sī
未了	buē-liáu
未來	bī-lâi
未來式	bī-lâi-sik
未做人	buē-tsò-lâng
未免	buē-bián
未免得	bī-bián-tit
未到	bē-kàu
未博假博	buē-phok-ké-phok
未婚	bī-hun
未婚夫	bī-hun-hu
未婚妻	bī-hun-tshe
未定	buē-tīng
未必	bī-pit
未必然	bī-pit-jiân
未成丁	buē-sîng-ting
未成年	bī-sîng-liân
未拍先走	buē-phah-sing-tsáu
未捌	buē-bat
未是	buē-sī
未曾	buē-tsîng
未曾學行著欲學飛	buē-tsîng-o̍h-kiânn-tio̍h-beh-o̍h-pue
未曾未	buē-tsîng-buē
未滿	buē-muá
未知	bī-ti
未知數	bī-ti-sòo
未躊躇	buē-tiû-tû
未遂	bī-suī
未雨綢繆	bī-ú-tiû-biû
未食三年仙屎著欲上西天	bē-tsia̍h-sann-nî-sian-sái-tio̍h-beh-tsiūnn-se-thian
末世	bua̍t-sè
末代	bua̍t-tāi
末尾囝	bua̍t-bué-kiánn
末席	bua̍t-si̍k
末年	bua̍t-nî
末日	bua̍t-ji̍t
末末	bua̍h-bua̍h
末路	bua̍t-lōo
末魚	bua̍h-hî
本主	pún-tsú
本事	pún-sū
本人	pún-lâng
本份	pún-hūn
本位	pún-uī
本來	pún-lâi
本俸	pún-hōng
本元	pún-guân
本原	pún-guân
本名	pún-miâ
本國	pún-kok
本土	pún-thóo
本土化	pún-thóo-huà
本地	pún-tē
本地人	pún-tē-lâng
本地香袂芳	pún-tē-hiunn-bē-phang
本報	pún-pò
本壘	pún-luí
本家	pún-ke
本島	pún-tó
本市	pún-tshī
本常時	pún-siâng-sî
本年	pún-nî
本年度	pún-nî-tōo
本底	pún-té
本性	pún-sìng
本息	pún-sik
本意	pún-ì
本成	pún-tsiânn
本房	pún-pâng
本文	pún-bûn
本校	pún-hāu
本案	pún-àn
本業	pún-gia̍p
本源	pún-guân
本然	pún-jiân
本益比	pún-ik-pí
本相	pún-siàng
本省	pún-síng
本票	pún-phiò
本等	pún-tíng
本籍	pún-tsi̍k
本能	pún-lîng
本色	pún-sik
本菁	pún-tshinn
本行	pún-hâng
本質	pún-tsit
本身	pún-sin
本身人	pún-sin-lâng
本身湯	pún-sin-thng
本途	pún-tôo
本邦	pún-pang
本部	pún-pōo
本鄉	pún-hiong
本金	pún-kim
本銀	pún-gîn
本錢	pún-tsînn
本頂	pún-tíng
本領	pún-líng
本體	pún-thé
本黨	pún-tóng
朱一貴	Tsu-It-kuì
朱仔	tsu-á
朱元璋	Tsu-Guân-tsiong
朱古力	tsu-kóo-la̍t
朱子	Tsu-tsú
朱子草	tsu-tsú-tsháu
朱朱紅	tsu-tsu-âng
朱桐花	tsu-tông-hue
朱欒	tsu-luân
朱瓜	tsu-kue
朱砂	tsu-se
朱砂痣	tsu-se-kì
朱砂紅	tsu-se-âng
朱立倫	Tsu-Li̍p-lûn
朱紅	tsu-âng
朱紅色	tsu-âng-sik
朱蕉	tsu-tsio
朱衣	tsu-i
朱連雀	tsu-liân-tshiok
朱錦花	tsu-gím-hue
朱頂花	tsu-tíng-hue
朱鷺	tsu-lōo
朴仔	phoh-á
朴仔樹	phoh-á-tshiū
朴仔草	pho̍k-á-tsháu
朴仔跤	Phoh-á-kha
朴子	Phò-tsí
朴實	phoh-si̍t
朴硝	phok-siau
朽爛	hiú-nuā
杉仔	sam-á
杉仔柴	sam-á-tshâ
杉仔行	sam-á-hâng
杉仔鳥	sam-á-tsiáu
杉料	sam-liāu
杉林	sam-lîm
杉林溪	Sam-lîm-khe
杉桐仔	sam-tâng-á
李仁貴	Lí-Jîn-kùi
李仔	lí-á
李仔扦	lí-á-tshiám
李仔攕	lí-á-tshiám
李仔糕	lí-á-ko
李仔糖	lí-á-thn̂g
李克強	Lí-Khik-kiōng
李哪吒	Lí-lô-tshia
李應元	Lí-Èng-guân
李托枴	lí-thok-kuái
李旁	lí-pîng
李昕霈	Lí-sin-phuè
李樹	lí-tshiū
李登輝	Lí-ting-hui
李白	Lí-pe̍h
李老君	lí-ló-kun
李遠哲	Lí-Uán-tiat
李鐵枴	lí-thiat-kuái
李鹹	lí-kiâm
杏仁	hīng-jîn
杏仁露	hīng-jîn-lōo
杏壇	hīng-tuânn
杏紅	hīng-hông
杏鮑菇	hīng-pau-koo
材料	tsâi-liāu
材料力學	tsâi-liāu-li̍k-ha̍k
材料科學	tsâi-liāu-kho-ha̍k
材質	tsâi-tsit
村夫子	tshuan-hu-tsú
村姑	tshuan-koo
村民	tshuan-bîn
村莊	tshuan-tsng
村落	tshuan-lo̍k
村里	tshuan-lí
村長	tshuan-tiúnn
杓仔	tshia̍h-á
杓嘴	tsiok-tshuì
杜仲	tōo-tiōng
杜定	tōo-tīng
杜截仔	tōo-tsat-á
杜扒仔	tōo-peh-á
杜拜	tōo-pài
杜猴	tōo-kâu
杜絕	tōo-tsua̍t
杜英	tōo-ing
杜蓖	tōo-pi
杜蓖子	tōo-pi-tsí
杜蓖蠶	tōo-pi-tshâm
杜蚓	tōo-ín
杜蚓蒸	tōo-kín-tshìng
杜蚓蛇	tōo-kín-tsuâ
杜蚓鳥	tōo-kín-tsiáu
杜賣	tōo-bē
杜鵑	tōo-kuan
杜鵑花	tōo-kuan-hue
束仔	sok-á
束口	sok-kháu
束帶	so̍k-tuà
束手就擒	sok-tshiú-tsiū-khîm
束手束腳	sok-tshiú-sok-kha
束手無策	sok-tshiú-bô-tshik
束結	sok-kiat
束縛	sok-pa̍k
束衣	sok-i
束身衫	sok-sin-sann
束頷頸	sok-ām-kún
束頷頸仔	sok-ām-kún-á
束髮	sok-huat
杭州	Hâng-tsiu
杯仔	pue-á
杯水車薪	pue-tsuí-tshia-sin
杯葛	pue-kat
東亞	Tang-a
東京	Tang-kiann
東京鐵塔	Tang-kiann-Thih-thah
東儌	tong-kiáu
東元	Tang-guân
東勢	Tang-sì
東勢角	Tang-sì-kak
東北	tang-pak
東北亞	Tang-pak-a
東北季風	tang-pak-kuì-hong
東北方	tang-pak-hong
東北角	tang-pak-kak
東北部	tang-pak-pōo
東區	tang-khu
東南	tang-lâm
東南亞	Tang-lâm-a
東南區	tang-lâm-khu
東南方	tang-lâm-hong
東南西北	tang-lâm-sai-pak
東南部	tang-lâm-pōo
東南風	tang-lâm-hong
東吳	Tang-ngôo
東吳大學	Tong-ngôo-tāi-ha̍k
東埔	Tang-poo
東寧	Tang-lîng
東寧國	Tang-lîng-kok
東山	Tang-suann
東山鴨頭	tong-san-ah-thâu
東岸	tang-huānn
東廠	Tang-tshiúnn
東引	Tang-ín
東德	Tang-tik
東方	tang-hng
東方人	tang-hong-lâng
東方文化	tong-hong-bûn-huà
東旁	tang-pîng
東時	tang-sî
東柏林	Tang-peh-lîm
東歐	Tang-au
東河	Tang-hô
東洋	tang-iûnn
東海	Tang-hái
東海大學	Tang-hái-tāi-ha̍k
東海岸	tang-hái-huānn
東港	Tang-káng
東港無魚西港拋	tang-káng-bô-hî-se-káng-pha
東港白	tang-káng-pe̍h
東湖	Tang-ôo
東白仔	tang-pe̍h-á
東石	Tang-tsio̍h
東線	tang-suànn
東華	tang-huâ
東西	tang-sai
東西廿七八	tang-sai-jia̍p-tshit-peh
東進	tang-tsìn
東部	tang-pōo
東錢	tong-tsînn
東門	tang-mn̂g
東陽	Tong-iông
東風	tang-hong
松仔	siông-á
松奶	siông-ling
松奶帶	siông-ling-tuà
松奶糖	siông-ling-thn̂g
松山	Siong-san
松山區	Siông-san-khu
松山機場	Siông-san-ki-tiûnn
松木	tshîng-bo̍k
松果腺	siông-kó-suànn
松柏	tshîng-peh
松柏仔	tshîng-peh-á
松柏根	tshîng-peh-kin
松柏樠	tshîng-pik-miâ
松柏樹	tshîng-peh-tshiū
松柏檑	tshîng-peh-luî
松柏涎	tshîng-peh-iân
松柏癗	tshîng-peh-luî
松柏膠	tshîng-peh-ka
松梧	siông-ngôo
松江南京	Siông-kang-Lâm-kiann
松溪	Siông-khe
松節油	siông-tsiat-iû
松膠	siông-ka
松茸	siông-jiông
松菇	siông-koo
松蘿	siông-lô
松陽	Siông-iông
松香	siông-hiong
板仔	pán-á
板南線	Pang-lâm-suànn
板嘹	pán-liâu
板店	pán-tiàm
板板	pán-pán
板橋	Pang-kiô
板橋市	Pang-kiô-tshī
板膋	pán-lâ
板膋油	pán-lâ-iû
板車	pán-tshia
板金	pán-kim
板鋤	pán-tî
板面	pán-bīn
枇杷	gî-pê
枇杷樹	pî-pê-tshiū
枉屈	óng-khut
枉死	óng-sí
枉死城	óng-sí-siânn
枉法	óng-huat
枉然	óng-jiân
枉費	óng-huì
枋仔	pang-á
枋仔厝	pang-á-tshù
枋仔壁	pang-á-piah
枋南線	Pang-lâm-suànn
枋堵	pang-tóo
枋壁	pang-piah
枋寮	Pang-liâu
枋山	Pang-suann
枋橋	pang-kiô
枋皮仔厝	pang-phuê-á-tshù
枋頭	pang-thâu
枕木	tsím-bo̍k
枕頭	tsím-thâu
枕頭囊	tsím-thâu-lông
枕頭套	tsím-thâu-thò
枕頭神較聖三界公	tsím-thâu-sîn-khah-siànn-Sam-kài-kong
枕頭腳	tsím-thâu-kha
枕頭草	tsím-thâu-tsháu
枕頭蓆	tsím-thâu-tshio̍h
枕頭袋	tsím-thâu-tē
枕頭鬼	tsím-thâu-kuí
枕骨	tsím-kut
林仔邊	Nâ-á-pinn
林佳龍	Lîm-Ka-liông
林俊傑	Lîm-Tsùn-kia̍t
林內	Nâ-lāi
林全	Lîm-Tsoân
林務	lîm-bū
林務局	Lîm-bū-kio̍k
林區	lîm-khu
林口	Nâ-kháu
林口區	nâ-kháu-khu
林園	Lîm-hn̂g
林圯埔	Lîm-kí-poo
林地	lîm-tē
林場	lîm-tiûnn
林姿妙	Lîm-Tsu-miāu
林投	nâ-tâu
林投公	nâ-tâu-kong
林投舅	nâ-tâu-kū
林投雞	nâ-tâu-ke
林政則	Lîm-Tsèng-tsik
林昶佐	Lîm-Tshióng-tsò
林景元	Lîm-Kéng-guân
林智堅	Lîm-Tì-kian
林木	lîm-bo̍k
林林總總	lîm-lîm-tsóng-tsóng
林森	Lîm-sim
林業	lîm-gia̍p
林檎	lîm-khîm
林濁水	Lîm-Tso̍k-súi
林爽文	Lîm-Sóng-bûn
林獻堂	Lîm-Hiàn-tông
林班	lîm-pan
林立	lîm-li̍p
林義雄	Lîm-Gī-hiông
林肯	Lîm-khíng
林腳鳥	nâ-kha-tsiáu
林苞	nâ-pôo
林菝	nâ-pua̍t
林菝仔	nia-pua̍t-á
林菝仔汁	ná-pua̍t-á-tsiap
林萬億	Lîm-Bān-ik
林邊	Nâ-pinn
林間	lîm-kan
林麗明	Lîm-Lē-bêng
林默娘	Lîm-Bı̍k-niû
林默娘公園	Lîm-Bi̍k-liông-Kong-hn̂g
果子	kué-tsí
果子乾	kué-tsí-kuann
果子仁	kué-tsí-jîn
果子園	kué-tsí-hn̂g
果子宅	kué-tsí-the̍h
果子探	kué-tsí-thàm
果子樹	kué-tsí-tshiū
果子欉	kué-tsí-tsâng
果子殼	kué-tsí-khak
果子汁	kué-tsí-tsiap
果子狸	kué-tsí-bâ
果子猫	kué-tsí-bâ
果子皮	kué-tsí-phuê
果子盤	kué-tsí-puânn
果子粿	kué-tsí-kué
果子肉	kué-tsí-bah
果子膏	kué-tsí-ko
果子菜燕	kué-tsí-tshài-iàn
果子蠅	kué-tsí-sîn
果子豆	kué-tsí-tāu
果子酒	kué-tsí-tsiú
果子醬	kué-tsí-tsiùnn
果子頭	kué-tsí-thâu
果子鹽	kue-tsí-iâm
果嶺	Kó-niá
果斷	kó-tuàn
果栳仔	kó-ló-á
果樹	kó-tshiū
果毅後堡	Kó-gī-āu-pó
果汁	kó-tsiap
果汁機	kó-tsiap-ki
果然	kó-jiân
果然如此	kó-jiân-jî-tshú
果皮箱	kué-phuê-siunn
果菜	kué-tshài
枝仔冰	ki-á-ping
枝仔糖	ki-á-thn̂g
枝尾	ki-bué
枝幹	ki-kàn
枝稈	ki-kuáinn
枝葉	ki-hio̍h
枝香小細	ki-hiunn-sió-sè
枝骨	ki-kut
枝骨仔	ki-kut-á
枯乾	koo-ta
枯井	koo-tsénn
枯凋	koo-ta
枯枯等	kho̍k-kho̍k-tán
枯焦	koo-tâ
枯燥	khoo-sò
枯礬	koo-huân
枯里珍	koo-lí-tin
枳殼	tsí-khak
枴仔	kuái-á
枴著	Kuáinn-tioh
枵囉	iau-loh
枵寒餓	iau-kuânn-gō
枵死	iau-sí
枵甲欲害	iau-kah-beh-hāi
枵矣	iau-a
枵飢失頓	iau-ki-sit-tǹg
枵餓	iau-gō
枵饞	iau-sâi
枵鬼	iau-kuí
枵鬼假細膩	iau-kuí-ké-sè-jī
枵鬼喙	iau-kuí-tshuì
枵鬼蛇	iau-khí-tsuâ
枵鬼鐵	iau-kuí-thih
枵鬼食	iau-kuí-tsia̍h
架上	kè-siāng
架仔	kè-á
架勢	kè-sì
架構	kè-kòo
架票	kà-phiò
架空	kè-khang
架腳石	ke-kha-tsio̍h
架設	kè-siat
架起	kà-khí
枷擔	ka-tann
枸杞	kóo-kí
枸果	kóo-kó
枸橘	kóo-kit
枸骨	kóo-kut
柏安樹	peh-an-tshiū
柏林	Peh-lîm
柏林圍牆	Pik-lîm-uî-tshiûnn
柏楊文物館	Pik-Iông-Bûn-bu̍t-kuán
柏油	pik-iû
某乜人	bóo-mih-lâng
某人	bóo-lâng
某囝	bóo-kiánn
某囝寄人飼	bóo-kiánn-kià-lâng-tshī
某大姨	bóo-tuā-î
某奴	bóo-lôo
某某人	bóo-bóo-lâng
某甲	bóo-kah
某舅	bóo-kū
某頭舅	bóo-thâu-kū
某頭親	bóo-thâu-tshin
柑仔	kam-á
柑仔得	kam-á-tit
柑仔汁	kam-á-tsiap
柑仔色	kam-á-sik
柑仔蜜	kam-á-bi̍t
柑仔蜜醬	kam-á-bi̍t-tsiùnn
柑仔魚	kam-á-hî
柑桔	kam-kiat
柑皮	kam-phuê
柑盤花	kam-puânn-hue
柑黃	kam-n̂g
染布鳥	ní-pòo-tsiáu
染指	jiám-tsáinn
染整	jiám-tsíng
染料	jiám-liāu
染有	jiám-iú
染病	jiám-pēnn
染目子	ní-ba̍k-tsí
染色	jiám-sik
染色體	jiám-sik-thé
染著	jiám-tio̍h
染著病	jiám-tio̍h-pēnn
染霧	liám-bū
柔和	jiû-hô
柔弱	jiû-jio̍k
柔性	jiû-sìng
柔情	jiû-tsîng
柔美	jiû-bí
柔軟	jiû-nńg
柔道	jiû-tō
柔魚	jiû-hî
柚仔	iū-á
柚仔仁	iū-á-jîn
柚仔樹	iū-á-tshiu
柝仔	khok-á
柝仔板	kho̍k-á-pán
柝圈	khok-khian
柝搴	khok-khian
查價	tsa-kè
查出	tsa-tshut
查勘	tsa-khàm
查勤	tsa-khîn
查哨	tsa-sàu
查問	tsa-būn
查埔	tsa-poo
查埔人	tsa-poo-lâng
查埔囝	tsa-poo-kiánn
查埔囝仔	ta-poo-gín-á
查埔囡仔	tsa-poo-gín-á
查埔太	tsa-poo-thài
查埔查某	ta-poo-tsa-bóo
查埔演員	tsa-poo-ián-uân
查埔生	tsa-poo-senn
查埔的	tsa-poo-ê
查埔祖	tsa-poo-tsóo
查報	tsa-pò
查家甲	tshâ-ke-kah
查封	tsa-hong
查尋	tshâ-sîm
查對	tsa-tuì
查戶口	tsa-hōo-kháu
查明	tsa-bîng
查暝	tshâ-mê
查某	tsa-bóo
查某人	tsa-bóo-lâng
查某仔	tsa-bóo-á
查某兵	tsa-bóo-ping
查某囝	tsa-bóo-kiánn
查某囝仔	tsa-bóo-gín-á
查某囝十八變	tsa-bóo-kiánn-tsa̍p-peh-piàn
查某囝賊	tsa-bóo-kiánn-tsha̍t
查某囝飼大別人个	tsa-bóo-kiánn-tshī-tuā-pa̍t-lâng-ê
查某囡仔	tsa-póo-gín-á
查某囡仔人	tsa-bóo-gín-á-lâng
查某囡仔嬰	tsa-bóo-gín-á-enn
查某埔	tsa-bóo-poo
查某太	tsa-bóo-thài
查某嬰	tsa-bóo-inn
查某孫	tsa-bóo-sun
查某官	tsa-bóo-kuann
查某朋友	tsa-bóo-pîng-iú
查某李仔	tsa-bóo-lí-á
查某楔	tsa-bóo-seh
查某演員	tsa-bóo-ián-uân
查某營	Tsa-bóo-iânn
查某瘍	tsa-bóo-siûnn
查某相	tsa-bóo-siàng
查某祖	tsa-bóo-tsóo
查某腳	tsa-bóo-kioh
查某間	tsa-bóo-king
查某雨	tsa-bóo-hōo
查某體	tsa-bóo-thé
查某鬼	tsa-bóo-kuí
查某鬼仔	tsa-bóo-kuí-á
查某𡢃	tsa-bóo-kán
查某𡢃仔	tsa-bóo-kán-á
查核	tsa-hu̍t
查案	tshâ-àn
查水表	tshâ-tsuí-pió
查水錶	tshâ-tsuí-pió
查無實據	tsa-bô-si̍t-kì
查獲	tsa-hi̍k
查理	Tsa-lí
查畝營	Tsa-bóo-iânn
查看	tsa-khuànn
查禁	tsa-kìm
查緝	tsa-tsip
查考	tsa-khó
查著	tshâ-tio̍h
查覺	tshâ-kak
查訪	tsa-hóng
查詢	tsa-sûn
查證	tsa-tsìng
查辦	tshâ-pān
查閱	tshâ-ua̍t
查驗	tsa-giām
柬埔寨	kán-poo-tsē
柯仔	kho-á
柯土	kho-thôo
柯城	Kho-siânn
柯文哲	Kua-Bûn-tiat
柯斗	kho-táu
柯智亞	Kua-tì-a
柯果	kua-kó
柯樹	kho-tshiū
柯橋	Kho-kiô
柯絲	kho-si
柱下石	thiāu-ē-tsio̍h
柱仔	thiāu-á
柱仔子	thiāu-á-tsí
柱仔腳	thiāu-á-kha
柱仔跡	thiāu-á-jiah
柱油	tū-iû
柱爿	thiāu-pîng
柱聯	thiāu-liân
柱薯	thiāu-tsî
柳丁	liú-ting
柳巷	liú-hāng
柳杉	liú-sam
柳樹	liú-tshiū
柳營	Liú-iânn
柳腰	liú-io
柳葉眉	liú-hio̍h-bâi
柳葉花	liú-hio̍h-hue
柳葉茄	liú-hio̍h-kiô
柳豆	liú-tāu
柴人	tshâ-lâng
柴佛仔	tshâ-pu̍t-á
柴刀	tshâ-to
柴刻	tshâ-khik
柴印仔	tshâ-ìn-á
柴厝仔	tshâ-tshù-á
柴城	tshâ-siânn
柴塊	tshâ-tè
柴塊仔	tshâ-tè-á
柴尪仔	tshâ-ang-á
柴屐	tshâ-kia̍h
柴屐耳	tshâ-kia̍h-hīnn
柴屐襻	tshâ-kia̍h-phàn
柴屑	tshâ-sut
柴幼	tshâ-iù
柴扒	tshâ-pê
柴指甲	tshâ-tsíng-kah
柴排	tshâ-pâi
柴料	tshâ-liāu
柴杮	tshâ-phuè
柴枋	tshâ-pang
柴枕頭	tshâ-tsím-thâu
柴柱	tshâ-thiāu
柴柴	tshâ-tshâ
柴栟仔	tshâ-phiánn-á
柴桶	tshâ-tháng
柴梳	tshâ-se
柴棍仔	tshâ-kùn-á
柴槌	tshâ-thuî
柴樠	tshâ-miâ
柴樹	tshâ-tshiū
柴橋	tshâ-kiô
柴檑	tshâ-luî
柴油	tshâ-iû
柴涸	tshâ-kho̍k
柴火	tshâ-hué
柴炭	tshâ-thuànn
柴烌	tshâ-hu
柴爿	tshâ-pîng
柴牆	tshâ-tshiûnn
柴片	tshâ-phìnn
柴犬	tshâ-khián
柴球	tshâ-kiû
柴疊仔	tshâ-thia̍p-á
柴痕	tshâ-hûn
柴目	tshâ-ba̍k
柴砧	tshâ-tiam
柴碎	tshâ-tshuì
柴磚仔	tshâ-tsng-á
柴箍	tshâ-khoo
柴箍紗	tshâ-khoo-se
柴箍魚	tshâ-khoo-hî
柴米油鹽醬醋茶	tshâ-bí-iû-iâm-tsiùnn-tshòo-tê
柴糖	tshâ-thn̂g
柴紋	tshâ-bûn
柴耙	tshâ-pê
柴耳孔	tshâ-hīnn-khang
柴胡	tshâ-ôo
柴花	tshâ-hue
柴草	tshâ-tsháu
柴蜞	tshâ-khî
柴角	tshâ-kak
柴角仔	tshâ-kak-á
柴較冷灶	tshâ-khah-líng-tsàu
柴轎	tshâ-kiō
柴鉤	tshâ-kau
柴鍥	tshâ-kueh
柴雕	tshâ-tiau
柴雷	tshâ-luî
柴頭	tshâ-thâu
柴頭人	tshâ-thâu-lâng
柴頭尪仔	tshâ-thâu-ang-á
柴頭目	tshâ-thâu-ba̍k
柴魚	tshâ-hî
柴鶺鴒	tshâ-tsit-lîng
柴龜	tshâ-ku
柵欄	tsheh-nuâ
柿仔	khī-á
柿仔干	khī-á-kuann
柿仔色	khī-á-sik
柿果	khī-kué
柿粿	khī-ké
柿糊	khī-kôo
柿糬	khī-tsî
柿蒂帽	khī-tì-bō
柿霜	khī-sng
柿霜粉	khī-sng-hún
柿餅	khī-piánn
栓仔	sng-á
栓藥	sng-io̍oh
栗子	la̍t-tsí
栗子色	la̍t-tsí-sik
栗子頭	la̍t-tsí-thâu
栗美國	La̍t-bí-kok
校內	hāu-lāi
校刊	hāu-khan
校務	hāu-bū
校友	hāu-iú
校友會	hāu-iú-huē
校園	hāu-hn̂g
校園霸凌	hāu-hn̂g-pà-lîng
校址	hāu-tsí
校外	hāu-guā
校對	kàu-tuì
校工	hāu-kang
校庭	hāu-tiânn
校慶	hāu-khìng
校方	hāu-hong
校旗	hāu-kî
校欑	káu-tsan
校歌	hāu-kua
校正	kàu-tsìng
校舍	hāu-sià
校花	hāu-hua
校董會	hāu-táng-huē
校規	hāu-kui
校訂	kàu-tìng
校訓	hāu-hùn
校警	hāu-kíng
校譽	hāu-ī
校車	hāu-tshia
校醫	hāu-i
校長	hāu-tiúnn
校長兼摃鐘	hāu-tiúnn-kiam-kòng-tsing
校長室	hāu-tiúnn-sik
校門	hāu-mn̂g
校閱	kàu-ua̍t
校風	hāu-hong
株式	ti-sik
株流	tu-lâu
株頭風	tu-thâu-hong
栱仔豆	kóng-á-tāu
栱鞦	kông-tshiu
核仔	ha̍t-á
核准	hi̍k-tsún
核可	hi̍k-khó
核子	hi̍k-tsú
核子彈	hi̍k-tsú-tân
核子武器	hi̍k-tsú-bú-khì
核子爆發	hu̍t-tsú-po̍k-huat
核定	hu̍t-tīng
核對	hi̍k-tuì
核廢料	hi̍k-huī-liāu
核彈	hi̍k-tuânn
核心	hu̍t-sim
核查	hi̍k-tsa
核桃	hu̍t-thô
核桃仁	hu̍t-thô-lîn
核武	hu̍t-bú
核爆	hu̍t-po̍k
核發	hu̍t-huat
核示	hi̍k-sī
核算	hu̍t-suàn
核能	hu̍t-lîng
核能發電	hi̍k-lîng-huat-tiān
核計	hi̍k-kè
核辦	hi̍k-pān
核電	hi̍k-tiān
根原	kin-guân
根因	kin-in
根基	kin-ki
根底	kin-té
根性	kin-sìng
根據	kin-kì
根據地	kin-kì-tē
根本	kin-pún
根本的	kin-pún-ti̍k
根治	kin-tī
根深柢固	kin-tshim-tì-kòo
根源	kin-guân
根節	kin-tsat
根絕	kin-tsua̍t
根蒂	kin-tì
根部	kin-pōo
根鋸	kin-kù
根除	kin-tî
根頭	kin-thâu
根鬚	kin-tshiu
格仔	keh-á
格仔粿	keh-á-kué
格仔紙	keh-á-tsuá
格仔膨餅	keh-á-phòng-piánn
格仔餅	keh-á-piáⁿ
格仔魚	keh-á-hî
格位	keh-uī
格大	kik-tuā
格大路	kik-tuā-lōo
格局	keh-kio̍k
格式	keh-sik
格悾	kik-khong
格新	kik-sin
格樣	kik-iūnn
格空	kik-khang
格籃	keh-nâ
格腳	kik-kha
格調	kik-tiāu
格體	kik-thé
格高	kik-ko
格鬥	kik-tòo
栽仔	tsai-á
栽培	tsai-puê
栽培人	tsai-puê-lâng
栽植	tsai-si̍t
栽樹	tsai-tshiū
栽樹仔	tsai-tshiū-á
栽活	tsai-ua̍h
栽種	tsai-tsìng
栽贓	tsai-tsong
桂冠	kuì-kuan
桂林	Kuì-lîm
桂枝	kuì-ki
桂竹	kuì-tik
桂花	kuì-hue
桃仔	thô-á
桃仔仁	thô-á-lîn
桃仔園	thô-á-hn̂g
桃仔子	thô-á-tsí
桃仔核	thô-á-hu̍t
桃仔樹	thô-á-tshiū
桃仔色	thô-á-sik
桃仔苒	thô-á-liám
桃仔鋟	thô-á-tshiám
桃仔面	thô-á-bīn
桃仔鬃	thô-á-tsang
桃園國際機場	thô-hn̂g-kok-tsè-ki-tiûnn
桃園市	Thô-hn̂g-tshī
桃園捷運	Thô-hn̂g-tsia̍t-ūn
桃園縣	Thô-hn̂g-kuān
桃子鹽	thô-á-sînn
桃志其	Thô-tsì-kî
桃旁	thô-pîng
桃李	thô-lí
桃枝	thô-ki
桃源	thô-guân
桃源部落	Thô-guân-Pōo-lo̍k
桃竹	thô-tik
桃紅色	thô-âng-sik
桃色新聞	thô-sik-sin-bûn
桃花	thô-hue
桃花性	thô-hue-sìng
桃花痟	thô-hue-siáu
桃花運	thô-hue-ūn
桃花面	thô-hue-bīn
桄榔	kong-lông
桄榔子	kong-lông-tsú
框框	khing-khing
框殼	khing-khak
框球	khing-kiû
框箍	khong-khoo
框起來	khong-khí-lâi
框邊	khong-pinn
案下	àn-hā
案件	àn-kiānn
案內	àn-nāi
案卷	àn-kǹg
案底	àn-té
案情	àn-tsîng
案桌	àn-toh
案由	àn-iû
案發	àn-huat
案頭燈	àn-thâu-ting
桌仔	toh-á
桌仔屜	toh-á-thuah
桌仔耍	toh-á-sńg
桌勘	toh-khàm
桌奕	toh-ī
桌屜	toh-thuah
桌巾	toh-kin
桌布	toh-pòo
桌帷	toh-uî
桌杆	toh-kuainn
桌椅	toh-í
桌櫃	toh-kuī
桌火	toh-hué
桌球	toh-kiû
桌球賽	toh-kiû-sài
桌罩	toh-tà
