敵わな	かなわな
引き下がり	ひきさがり
引き下がる	ひきさがる
引き下がれ	ひきさがれ
引き下がろ	ひきさがろ
引き下がっ	ひきさがっ
引き寄せ	ひきよせ
引き起こさ	ひきおこさ
引き起こし	ひきおこし
引き起こす	ひきおこす
引き起こせ	ひきおこせ
引き起こそ	ひきおこそ
引き継が	ひきつが
引き継ぎ	ひきつぎ
引き継ぐ	ひきつぐ
引き継げ	ひきつげ
引き継ご	ひきつご
引き継い	ひきつい
引き込ま	ひきこま
引き込み	ひきこみ
引き込む	ひきこむ
引き込め	ひきこめ
引き込も	ひきこも
引き込ん	ひきこん
引き取ら	ひきとら
引き取り	ひきとり
引き取る	ひきとる
引き取れ	ひきとれ
引き取ろ	ひきとろ
引き取っ	ひきとっ
引きずら	ひきずら
引きずり	ひきずり
引きずる	ひきずる
引きずれ	ひきずれ
引きずろ	ひきずろ
引きずっ	ひきずっ
引き締まら	ひきしまら
引き締まり	ひきしまり
引き締まる	ひきしまる
引き締まれ	ひきしまれ
引き締まろ	ひきしまろ
引き締まっ	ひきしまっ
引き抜か	ひきぬか
引き抜き	ひきぬき
引き抜く	ひきぬく
引き抜け	ひきぬけ
引き抜こ	ひきぬこ
引き抜い	ひきぬい
引き払わ	ひきはらわ
引き払い	ひきはらい
引き払う	ひきはらう
引き払え	ひきはらえ
引き払お	ひきはらお
引き払っ	ひきはらっ
引き分け	ひきわけ
引き返さ	ひきかえさ
引き返し	ひきかえし
引き返す	ひきかえす
引き返せ	ひきかえせ
引き返そ	ひきかえそ
引き戻さ	ひきもどさ
引き戻し	ひきもどし
引き戻す	ひきもどす
引き戻せ	ひきもどせ
引き戻そ	ひきもどそ
引き離さ	ひきはなさ
引き離し	ひきはなし
引き離す	ひきはなす
引き離せ	ひきはなせ
引き離そ	ひきはなそ
引き裂か	ひきさか
引き裂き	ひきさき
引き裂く	ひきさく
引き裂け	ひきさけ
引き裂こ	ひきさこ
引き裂い	ひきさい
引き連れ	ひきつれ
引か	ひか
引き	ひき
引く	ひく
引け	ひけ
引こ	ひこ
引い	ひい
ひっくり返ら	ひっくりかえら
ひっくり返り	ひっくりかえり
ひっくり返る	ひっくりかえる
ひっくり返れ	ひっくりかえれ
ひっくり返ろ	ひっくりかえろ
ひっくり返っ	ひっくりかえっ
引っ越さ	ひっこさ
引っ越し	ひっこし
引っ越す	ひっこす
引っ越せ	ひっこせ
引っ越そ	ひっこそ
引っかから	ひっかから
引っかかり	ひっかかり
引っかかる	ひっかかる
引っかかれ	ひっかかれ
引っかかろ	ひっかかろ
引っかかっ	ひっかかっ
引っ掛け	ひっかけ
引っ込ま	ひっこま
引っ込み	ひっこみ
引っ込む	ひっこむ
引っ込め	ひっこめ
引っ込も	ひっこも
引っ込ん	ひっこん
飲み回ら	のみまわら
飲み回り	のみまわり
飲み回る	のみまわる
飲み回れ	のみまわれ
飲み回ろ	のみまわろ
飲み回っ	のみまわっ
飲み干さ	のみほさ
飲み干し	のみほし
飲み干す	のみほす
飲み干せ	のみほせ
飲み干そ	のみほそ
飲ま	のま
飲み	のみ
飲む	のむ
飲め	のめ
飲も	のも
飲ん	のん
隠さ	かくさ
隠し	かくし
隠す	かくす
隠せ	かくせ
隠そ	かくそ
隠れ	かくれ
渦巻か	うずまか
渦巻き	うずまき
渦巻く	うずまく
渦巻け	うずまけ
渦巻こ	うずまこ
渦巻い	うずまい
運び出さ	はこびださ
運び出し	はこびだし
運び出す	はこびだす
運び出せ	はこびだせ
運び出そ	はこびだそ
運ば	はこば
運び	はこび
運ぶ	はこぶ
運べ	はこべ
運ぼ	はこぼ
運ん	はこん
営ま	いとなま
営み	いとなみ
営む	いとなむ
営め	いとなめ
営も	いとなも
営ん	いとなん
映ら	うつら
映り	うつり
映る	うつる
映れ	うつれ
映ろ	うつろ
映っ	うつっ
栄え	さかえ
泳が	およが
泳ぎ	およぎ
泳ぐ	およぐ
泳げ	およげ
泳ご	およご
泳い	およい
詠ま	よま
詠み	よみ
詠む	よむ
詠め	よめ
詠も	よも
詠ん	よん
鋭い	するどい
鋭く	するどく
鋭か	するどか
鋭け	するどけ
越さ	こさ
越し	ごし
越す	こす
越せ	こせ
越そ	こそ
沿わ	そわ
沿い	ぞい
沿う	そう
沿え	そえ
沿お	そお
沿っ	そっ
演じ	えんじ
煙い	けむい
煙く	けむく
煙か	けむか
煙け	けむけ
煙た	けむた
煙ら	けむら
煙り	けむり
煙る	けむる
煙れ	けむれ
煙ろ	けむろ
煙っ	けむっ
縁遠い	えんどおい
縁遠く	えんどおく
縁遠か	えんどおか
縁遠け	えんどおけ
遠い	とおい
遠く	とおく
遠か	とおか
遠け	とおけ
遠ざから	とおざから
遠ざかり	とおざかり
遠ざかる	とおざかる
遠ざかれ	とおざかれ
遠ざかろ	とおざかろ
遠ざかっ	とおざかっ
汚い	きたない
汚く	きたなく
汚か	きたなか
汚け	きたなけ
汚さ	よごさ
汚し	よごし
汚す	よごす
汚せ	よごせ
汚そ	よごそ
汚れ	よごれ
凹ま	へこま
凹み	くぼみ
凹む	へこむ
凹め	へこめ
凹も	へこも
凹ん	へこん
奥深い	おくふかい
奥深く	おくふかく
奥深か	おくふかか
奥深け	おくふかけ
応え	こたえ
応じ	おうじ
押さえ込ま	おさえこま
押さえ込み	おさえこみ
押さえ込む	おさえこむ
押さえ込め	おさえこめ
押さえ込も	おさえこも
押さえ込ん	おさえこん
押し寄せ	おしよせ
押し込ま	おしこま
押し込み	おしこみ
押し込む	おしこむ
押し込め	おしこめ
押し込も	おしこも
押し込ん	おしこん
押し切ら	おしきら
押し切り	おしきり
押し切る	おしきる
押し切れ	おしきれ
押し切ろ	おしきろ
押し切っ	おしきっ
押し通さ	おしとおさ
押し通し	おしとおし
押し通す	おしとおす
押し通せ	おしとおせ
押し通そ	おしとおそ
押し倒さ	おしたおさ
押し倒し	おしたおし
押し倒す	おしたおす
押し倒せ	おしたおせ
押し倒そ	おしたおそ
押し入ら	おしいら
押し入り	おしいり
押し入る	おしいる
押し入れ	おしいれ
押し入ろ	おしいろ
押し入っ	おしいっ
押し付け	おしつけ
押し黙ら	おしだまら
押し黙り	おしだまり
押し黙る	おしだまる
押し黙れ	おしだまれ
押し黙ろ	おしだまろ
押し黙っ	おしだまっ
押し戻さ	おしもどさ
押し戻し	おしもどし
押し戻す	おしもどす
押し戻せ	おしもどせ
押し戻そ	おしもどそ
押し立て	おしたて
押し流さ	おしながさ
押し流し	おしながし
押し流す	おしながす
押し流せ	おしながせ
押し流そ	おしながそ
押さ	おさ
押し	おし
押す	おす
押せ	おせ
押そ	おそ
横たわら	よこたわら
横たわり	よこたわり
横たわる	よこたわる
横たわれ	よこたわれ
横たわろ	よこたわろ
横たわっ	よこたわっ
横切ら	よこぎら
横切り	よこぎり
横切る	よこぎる
横切れ	よこぎれ
横切ろ	よこぎろ
横切っ	よこぎっ
殴ら	なぐら
殴り	なぐり
殴る	なぐる
殴れ	なぐれ
殴ろ	なぐろ
殴っ	なぐっ
黄色い	きいろい
黄色く	きいろく
黄色か	きいろか
黄色け	きいろけ
卸さ	おろさ
卸し	おろし
卸す	おろす
卸せ	おろせ
卸そ	おろそ
温い	ぬるい
温く	ぬるく
温か	ぬるか
温け	ぬるけ
下がら	さがら
下がり	さがり
下がる	さがる
下がれ	さがれ
下がろ	さがろ
下がっ	さがっ
下げ	さげ
下さ	くださ
下し	くだし
下す	くだす
下せ	くだせ
下そ	くだそ
下らな	くだらな
下ら	くだら
下り	くだり
下る	くだる
下れ	くだれ
下ろ	くだろ
下っ	くだっ
下回ら	したまわら
下回り	したまわり
下回る	したまわる
下回れ	したまわれ
下回ろ	したまわろ
下回っ	したまわっ
化け	ばけ
加え	くわえ
加わら	くわわら
加わり	くわわり
加わる	くわわる
加われ	くわわれ
加わろ	くわわろ
加わっ	くわわっ
可愛がら	かわいがら
可愛がり	かわいがり
可愛がる	かわいがる
可愛がれ	かわいがれ
可愛がろ	かわいがろ
可愛がっ	かわいがっ
可愛らし	かわいらし
可笑し	おかし
嫁が	とつが
嫁ぎ	とつぎ
嫁ぐ	とつぐ
嫁げ	とつげ
嫁ご	とつご
嫁い	とつい
果たさ	はたさ
果たし	はたし
果たす	はたす
果たせ	はたせ
果たそ	はたそ
果てしな	はてしな
歌い上げ	うたいあげ
稼が	かせが
稼ぎ	かせぎ
稼ぐ	かせぐ
稼げ	かせげ
稼ご	かせご
稼い	かせい
苛め	いじめ
過ぎ	すぎ
過ぎ去ら	すぎさら
過ぎ去り	すぎさり
過ぎ去る	すぎさる
過ぎ去れ	すぎされ
過ぎ去ろ	すぎさろ
過ぎ去っ	すぎさっ
過ごさ	すごさ
過ごし	すごし
過ごす	すごす
過ごせ	すごせ
過ごそ	すごそ
霞ま	かすま
霞み	かすみ
霞む	かすむ
霞め	かすめ
霞も	かすも
霞ん	かすん
芽生え	めばえ
会わ	あわ
会い	あい
会う	あう
会え	あえ
会お	あお
会っ	あっ
解か	とか
解き	とき
解く	とく
解け	とけ
解こ	とこ
解い	とい
回さ	まわさ
回し	まわし
回す	まわす
回せ	まわせ
回そ	まわそ
壊さ	こわさ
壊し	こわし
壊す	こわす
壊せ	こわせ
壊そ	こわそ
壊れ	こわれ
快い	こころよい
快く	こころよく
快か	こころよか
快け	こころよけ
怪しま	あやしま
怪しみ	あやしみ
怪しむ	あやしむ
怪しめ	あやしめ
怪しも	あやしも
怪しん	あやしん
懐かし	なつかし
懐かしま	なつかしま
懐かしみ	なつかしみ
懐かしむ	なつかしむ
懐かしめ	なつかしめ
懐かしも	なつかしも
懐かしん	なつかしん
戒め	いましめ
改まら	あらたまら
改まり	あらたまり
改まる	あらたまる
改まれ	あらたまれ
改まろ	あらたまろ
改まっ	あらたまっ
改め	あらため
開き直ら	ひらきなおら
開き直り	ひらきなおり
開き直る	ひらきなおる
開き直れ	ひらきなおれ
開き直ろ	ひらきなおろ
開き直っ	ひらきなおっ
開か	ひらか
開き	ひらき
開く	ひらく
開け	あけ
開こ	ひらこ
開い	ひらい
外さ	はずさ
外し	はずし
外す	はずす
外せ	はずせ
外そ	はずそ
外れ	はずれ
垣間見る	かいまみる
垣間見ま	かいまみま
垣間見た	かいまみた
垣間見て	かいまみて
垣間見な	かいまみな
垣間見ら	かいまみら
垣間見さ	かいまみさ
垣間見よ	かいまみよ
垣間見ろ	かいまみろ
垣間見れ	かいまみれ
垣間見ず	かいまみず
確かめ	たしかめ
覚え	おぼえ
覚まさ	さまさ
覚まし	さまし
覚ます	さます
覚ませ	さませ
覚まそ	さまそ
覚め	さめ
隔て	へだて
学ば	まなば
学び	まなび
学ぶ	まなぶ
学べ	まなべ
学ぼ	まなぼ
学ん	まなん
楽し	たのし
楽しま	たのしま
楽しみ	たのしみ
楽しむ	たのしむ
楽しめ	たのしめ
楽しも	たのしも
楽しん	たのしん
掛から	かから
掛かり	かかり
掛かる	かかる
掛かれ	かかれ
掛かろ	かかろ
掛かっ	かかっ
掛け	かけ
掛け合わ	かけあわ
掛け合い	かけあい
掛け合う	かけあう
掛け合え	かけあえ
掛け合お	かけあお
掛け合っ	かけあっ
裂か	さか
裂き	さき
裂く	さく
裂け	さけ
裂こ	さこ
裂い	さい
割り引か	わりびか
割り引き	わりびき
割り引く	わりびく
割り引け	わりびけ
割り引こ	わりびこ
割り引い	わりびい
割り出さ	わりださ
割り出し	わりだし
割り出す	わりだす
割り出せ	わりだせ
割り出そ	わりだそ
割り振ら	わりふら
割り振り	わりふり
割り振る	わりふる
割り振れ	わりふれ
割り振ろ	わりふろ
割り振っ	わりふっ
割り切ら	わりきら
割り切り	わりきり
割り切る	わりきる
割り切れ	わりきれ
割り切ろ	わりきろ
割り切っ	わりきっ
割り当て	わりあて
割ら	わら
割り	わり
割る	わる
割れ	われ
割ろ	わろ
割っ	わっ
括ら	くくら
括り	くくり
括る	くくる
括れ	くくれ
括ろ	くくろ
括っ	くくっ
渇か	かわか
渇き	かわき
渇く	かわく
渇け	かわけ
渇こ	かわこ
渇い	かわい
滑り込ま	すべりこま
滑り込み	すべりこみ
滑り込む	すべりこむ
滑り込め	すべりこめ
滑り込も	すべりこも
滑り込ん	すべりこん
滑り落ち	すべりおち
滑ら	すべら
滑り	ぬめり
滑る	すべる
滑れ	すべれ
滑ろ	すべろ
滑っ	すべっ
叶わ	かなわ
叶い	かない
叶う	かなう
叶え	かなえ
叶お	かなお
叶っ	かなっ
噛み付か	かみつか
噛み付き	かみつき
噛み付く	かみつく
噛み付け	かみつけ
噛み付こ	かみつこ
噛み付い	かみつい
噛ま	かま
噛み	かみ
噛む	かむ
噛め	かめ
噛も	かも
噛ん	かん
刈り込ま	かりこま
刈り込み	かりこみ
刈り込む	かりこむ
刈り込め	かりこめ
刈り込も	かりこも
刈り込ん	かりこん
刈り取ら	かりとら
刈り取り	かりとり
刈り取る	かりとる
刈り取れ	かりとれ
刈り取ろ	かりとろ
刈り取っ	かりとっ
刈ら	から
刈り	かり
刈る	かる
刈れ	かれ
刈ろ	かろ
刈っ	かっ
乾かさ	かわかさ
乾かし	かわかし
乾かす	かわかす
乾かせ	かわかせ
乾かそ	かわかそ
乾か	かわか
乾き	かわき
乾く	かわく
乾け	かわけ
乾こ	かわこ
乾い	かわい
寒い	さむい
寒く	さむく
寒か	さむか
寒け	さむけ
巻き込ま	まきこま
巻き込み	まきこみ
巻き込む	まきこむ
巻き込め	まきこめ
巻き込も	まきこも
巻き込ん	まきこん
巻き上げ	まきあげ
巻か	まか
巻き	まき
巻く	まく
巻け	まけ
巻こ	まこ
巻い	まい
喚か	わめか
喚き	わめき
喚く	わめく
喚け	わめけ
喚こ	わめこ
喚い	わめい
耐え	たえ
喧し	やかまし
寛が	くつろが
寛ぎ	くつろぎ
寛ぐ	くつろぐ
寛げ	くつろげ
寛ご	くつろご
寛い	くつろい
患わ	わずらわ
患い	わずらい
患う	わずらう
患え	わずらえ
患お	わずらお
患っ	わずらっ
感じ	かんじ
感じ取ら	かんじとら
感じ取り	かんじとり
感じ取る	かんじとる
感じ取れ	かんじとれ
感じ取ろ	かんじとろ
感じ取っ	かんじとっ
慣らさ	ならさ
慣らし	ならし
慣らす	ならす
慣らせ	ならせ
慣らそ	ならそ
慣れ	なれ
甘い	あまい
甘く	あまく
甘か	あまか
甘け	あまけ
甘え	あまえ
甘やかさ	あまやかさ
甘やかし	あまやかし
甘やかす	あまやかす
甘やかせ	あまやかせ
甘やかそ	あまやかそ
看る	みる
看ま	みま
看た	みた
看て	みて
看な	みな
看ら	みら
看さ	みさ
看よ	みよ
看ろ	みろ
看れ	みれ
看ず	みず
緩い	ゆるい
緩く	ゆるく
緩か	ゆるか
緩け	ゆるけ
緩ま	ゆるま
緩み	ゆるみ
緩む	ゆるむ
緩め	ゆるめ
緩も	ゆるも
緩ん	ゆるん
貫き通さ	つらぬきとおさ
貫き通し	つらぬきとおし
貫き通す	つらぬきとおす
貫き通せ	つらぬきとおせ
貫き通そ	つらぬきとおそ
貫か	つらぬか
貫き	つらぬき
貫く	つらぬく
貫け	つらぬけ
貫こ	つらぬこ
貫い	つらぬい
間に合わ	まにあわ
間に合い	まにあい
間に合う	まにあう
間に合え	まにあえ
間に合お	まにあお
間に合っ	まにあっ
間違え	まちがえ
陥ら	おちいら
陥り	おちいり
陥る	おちいる
陥れ	おちいれ
陥ろ	おちいろ
陥っ	おちいっ
丸め	まるめ
丸め込ま	まるめこま
丸め込み	まるめこみ
丸め込む	まるめこむ
丸め込め	まるめこめ
丸め込も	まるめこも
丸め込ん	まるめこん
含ま	ふくま
含み	ふくみ
含む	ふくむ
含め	ふくめ
含も	ふくも
含ん	ふくん
頑張ら	がんばら
頑張り	がんばり
頑張る	がんばる
頑張れ	がんばれ
頑張ろ	がんばろ
頑張っ	がんばっ
願い出る	ねがいでる
願い出ま	ねがいでま
願い出た	ねがいでた
願い出て	ねがいでて
願い出な	ねがいでな
願い出ら	ねがいでら
願い出さ	ねがいでさ
願い出よ	ねがいでよ
願い出ろ	ねがいでろ
願い出れ	ねがいでれ
願い出ず	ねがいでず
願わ	ねがわ
願い	ねがい
願う	ねがう
願え	ねがえ
願お	ねがお
願っ	ねがっ
企て	くわだて
企ま	たくらま
企み	たくらみ
企む	たくらむ
企め	たくらめ
企も	たくらも
企ん	たくらん
危う	あやう
危な	あぶな
危ぶま	あやぶま
危ぶみ	あやぶみ
危ぶむ	あやぶむ
危ぶめ	あやぶめ
危ぶも	あやぶも
危ぶん	あやぶん
喜ば	よろこば
喜び	よろこび
喜ぶ	よろこぶ
喜べ	よろこべ
喜ぼ	よろこぼ
喜ん	よろこん
嬉し	うれし
寄せ	よせ
寄せ付け	よせつけ
寄り集まら	よりあつまら
寄り集まり	よりあつまり
寄り集まる	よりあつまる
寄り集まれ	よりあつまれ
寄り集まろ	よりあつまろ
寄り集まっ	よりあつまっ
寄り添わ	よりそわ
寄り添い	よりそい
寄り添う	よりそう
寄り添え	よりそえ
寄り添お	よりそお
寄り添っ	よりそっ
寄ら	よら
寄り	より
寄る	よる
寄れ	よれ
寄ろ	よろ
寄っ	よっ
帰さ	かえさ
帰し	かえし
帰す	かえす
帰せ	かえせ
帰そ	かえそ
帰ら	かえら
帰り	かえり
帰る	かえる
帰れ	かえれ
帰ろ	かえろ
帰っ	かえっ
気遣わ	きづかわ
気遣い	きづかい
気遣う	きづかう
気遣え	きづかえ
気遣お	きづかお
気遣っ	きづかっ
気取ら	きどら
気取り	きどり
気取る	きどる
気取れ	きどれ
気取ろ	きどろ
気取っ	きどっ
祈ら	いのら
祈り	いのり
祈る	いのる
祈れ	いのれ
祈ろ	いのろ
祈っ	いのっ
記さ	しるさ
記し	しるし
記す	しるす
記せ	しるせ
記そ	しるそ
起き	おき
起き上がら	おきあがら
起き上がり	おきあがり
起き上がる	おきあがる
起き上がれ	おきあがれ
起き上がろ	おきあがろ
起き上がっ	おきあがっ
起こさ	おこさ
起こし	おこし
起こす	おこす
起こせ	おこせ
起こそ	おこそ
起こら	おこら
起こり	おこり
起こる	おこる
起これ	おこれ
起ころ	おころ
起こっ	おこっ
輝かし	かがやかし
輝か	かがやか
輝き	かがやき
輝く	かがやく
輝け	かがやけ
輝こ	かがやこ
輝い	かがやい
飢え	うえ
宜し	よろし
戯れ	たわむれ
欺か	あざむか
欺き	あざむき
欺く	あざむく
欺け	あざむけ
欺こ	あざむこ
欺い	あざむい
疑わ	うたがわ
疑い	うたがい
疑う	うたがう
疑え	うたがえ
疑お	うたがお
疑っ	うたがっ
疑わし	うたがわし
掬わ	すくわ
掬い	すくい
掬う	すくう
掬え	すくえ
掬お	すくお
掬っ	すくっ
吃ら	どもら
吃り	どもり
吃る	どもる
吃れ	どもれ
吃ろ	どもろ
吃っ	どもっ
詰まらせ	つまらせ
詰まら	つまら
詰まり	つまり
詰まる	つまる
詰まれ	つまれ
詰まろ	つまろ
詰まっ	つまっ
詰め	つめ
詰め掛け	つめかけ
詰め寄ら	つめよら
詰め寄り	つめより
詰め寄る	つめよる
詰め寄れ	つめよれ
詰め寄ろ	つめよろ
詰め寄っ	つめよっ
詰め込ま	つめこま
詰め込み	つめこみ
詰め込む	つめこむ
詰め込め	つめこめ
詰め込も	つめこも
詰め込ん	つめこん
逆らわ	さからわ
逆らい	さからい
逆らう	さからう
逆らえ	さからえ
逆らお	さからお
逆らっ	さからっ
逆上せ	のぼせ
久し	ひさし
休まら	やすまら
休まり	やすまり
休まる	やすまる
休まれ	やすまれ
休まろ	やすまろ
休まっ	やすまっ
休ま	やすま
休み	やすみ
休む	やすむ
休め	やすめ
休も	やすも
休ん	やすん
及ば	およば
及び	および
及ぶ	およぶ
及べ	およべ
及ぼ	およぼ
及ん	およん
及ぼさ	およぼさ
及ぼし	およぼし
及ぼす	およぼす
及ぼせ	およぼせ
及ぼそ	およぼそ
吸い込ま	すいこま
吸い込み	すいこみ
吸い込む	すいこむ
吸い込め	すいこめ
吸い込も	すいこも
吸い込ん	すいこん
吸い取ら	すいとら
吸い取り	すいとり
吸い取る	すいとる
吸い取れ	すいとれ
吸い取ろ	すいとろ
吸い取っ	すいとっ
吸わ	すわ
吸い	すい
吸う	すう
吸え	すえ
吸お	すお
吸っ	すっ
吸い上げ	すいあげ
急かさ	せかさ
急かし	せかし
急かす	せかす
急かせ	せかせ
急かそ	せかそ
急が	いそが
急ぎ	いそぎ
急ぐ	いそぐ
急げ	いそげ
急ご	いそご
急い	いそい
救わ	すくわ
救い	すくい
救う	すくう
救え	すくえ
救お	すくお
救っ	すくっ
求め	もとめ
汲み取ら	くみとら
汲み取り	くみとり
汲み取る	くみとる
汲み取れ	くみとれ
汲み取ろ	くみとろ
汲み取っ	くみとっ
汲ま	くま
汲み	くみ
汲む	くむ
汲め	くめ
汲も	くも
汲ん	くん
泣き叫ば	なきさけば
泣き叫び	なきさけび
泣き叫ぶ	なきさけぶ
泣き叫べ	なきさけべ
泣き叫ぼ	なきさけぼ
泣き叫ん	なきさけん
泣き崩れ	なきくずれ
泣か	なか
泣き	なき
泣く	なく
泣け	なけ
泣こ	なこ
泣い	ない
牛耳ら	ぎゅうじら
牛耳り	ぎゅうじり
牛耳る	ぎゅうじる
牛耳れ	ぎゅうじれ
牛耳ろ	ぎゅうじろ
牛耳っ	ぎゅうじっ
去ら	さら
去り	さり
去る	さる
去れ	され
去ろ	さろ
去っ	さっ
居合わせ	いあわせ
居座ら	いすわら
居座り	いすわり
居座る	いすわる
居座れ	いすわれ
居座ろ	いすわろ
居座っ	いすわっ
居残ら	いのこら
居残り	いのこり
居残る	いのこる
居残れ	いのこれ
居残ろ	いのころ
居残っ	いのこっ
居直ら	いなおら
居直り	いなおり
居直る	いなおる
居直れ	いなおれ
居直ろ	いなおろ
居直っ	いなおっ
居並ば	いならば
居並び	いならび
居並ぶ	いならぶ
居並べ	いならべ
居並ぼ	いならぼ
居並ん	いならん
拒ま	こばま
拒み	こばみ
拒む	こばむ
拒め	こばめ
拒も	こばも
拒ん	こばん
許さ	ゆるさ
許し	ゆるし
許す	ゆるす
許せ	ゆるせ
許そ	ゆるそ
漁ら	あさら
漁り	あさり
漁る	あさる
漁れ	あされ
漁ろ	あさろ
漁っ	あさっ
供え	そなえ
競わ	きそわ
競い	きそい
競う	きそう
競え	きそえ
競お	きそお
競っ	きそっ
競ら	せら
競り	せり
競る	せる
競れ	せれ
競ろ	せろ
叫ば	さけば
叫び	さけび
叫ぶ	さけぶ
叫べ	さけべ
叫ぼ	さけぼ
叫ん	さけん
強い	つよい
強く	つよく
強か	つよか
強け	つよけ
強まら	つよまら
強まり	つよまり
強まる	つよまる
強まれ	つよまれ
強まろ	つよまろ
強まっ	つよまっ
強め	つよめ
強請ら	ねだら
強請り	ねだり
強請る	ねだる
強請れ	ねだれ
強請ろ	ねだろ
強請っ	ねだっ
怯え	おびえ
恐ろし	おそろし
教え	おしえ
教え込ま	おしえこま
教え込み	おしえこみ
教え込む	おしえこむ
教え込め	おしえこめ
教え込も	おしえこも
教え込ん	おしえこん
教わら	おそわら
教わり	おそわり
教わる	おそわる
教われ	おそわれ
教わろ	おそわろ
教わっ	おそわっ
狂わ	くるわ
狂い	くるい
狂う	くるう
狂え	くるえ
狂お	くるお
狂っ	くるっ
狭い	せまい
狭く	せまく
狭か	せまか
狭け	せまけ
狭まら	せばまら
狭まり	せばまり
狭まる	せばまる
狭まれ	せばまれ
狭まろ	せばまろ
狭まっ	せばまっ
狭め	せばめ
脅さ	おどさ
脅し	おどし
脅す	おどす
脅せ	おどせ
脅そ	おどそ
興さ	おこさ
興し	おこし
興す	おこす
興せ	おこせ
興そ	おこそ
興味深い	きょうみぶかい
