آئينو	aːiːnoː
ڇانئڻ	t͡ʃʰɑ̃ɪɳʊ
ڇت	t͡ʃʰɪt̪
ڇتر	t͡ʃʰɪt̪əɾʊ
ڇلو	t͡ʃʰəloː
ڇنڇر	t͡ʃʰəɲt͡ʃʰərʊ
ڇنڊڻ	t͡ʃʰəɳɖəɳʊ
ڇنڻ	t͡ʃʰɪnəɳʊ
ڇه	t͡ʃʰəhə
ڇهه	t͡ʃʰəhə
ڇهڻ	t͡ʃʰʊhəɳʊ
ڇوڏو	t͡ʃʰoɗo
ڇوڙڻ	t͡ʃʰoɽəɳʊ
ڇوڪرو	t͡ʃʰoːkɾoː
ڇوڪري	t͡ʃʰoːkɾiː
ڊاڪٽر	ɖaːkʈər
ڌاڻو	d̪ʰaːɳoː
ڌرتي	d̪ʰərt̪iː
ڌيءُ	d̪ʰiː
ڌيان	d̪ʰjaːn
ڌڪار	d̪ʰɪkɑrə
ڌڪڻ	d̪ʰɪkəɳʊ
ڍال	ɖʰɑlə
ڍاڪ	ɖʰɑkə
ڍنڍ	ɖʰəɳɖʰə
ڍڳو	ɖʰaɠo
ڏئڻ	ɗɪəɳʊ
ڏارڻ	ɗɑrəɳʊ
ڏاڍ	ɗɑɖʰʊ
ڏاڏو	ɗaːɗoː
ڏاڏي	ɗaːɗiː
ڏاڙهي	ɗaːɽʰiː
ڏاڪڻ	ɗaːkəɳ
ڏسڻ	ɗɪsəɳʊ
ڏسڻي	ɗəsɪɳiː
ڏند	ɗəndʊ
ڏنگڻ	ɗəŋɡəɳʊ
ڏهاڙو	ɗihɑɽo
ڏهه	ɗəɦə
ڏهي	ɗəhi
ڏوهه	ɗohʊ
ڏياري	ɗɪjaːriː
ڏينڀو	ɗiːmbʰuː
ڏيڏر	ɗeːɗəɾɯ
ڙھ	ɽʰeː
ڦار	pʰɑrʊ
ڦاسي	pʰaːsiː
ڦڪو	pʰɪkoː
ڦڳڻ	pʰəɠʊɳʊ
کائڻ	kʰaːɪɳ
کان	kʰɑn
کاند	kʰɑ̃dɪ
کل	kʰələ
کلڻ	kʰɪləɳʊ
کنهڻ	kʰənəhəɳʊ
کنڀ	kʰəmbʰʊ
کوٽڻ	kʰoːʈəɳʊ
کي	kʰe
کير	kʰiːɾ
کيڏڻ	kʰeɖəɳʊ
کَدِڙو	kʰəd̪ɪɽo
کٻو	kʰəɓo
کٽ	kʰəʈə
ڪاغذ	kɑːɣazʊ
ڪاپي	kaːpiː
ڪاڪو	kaːkoː
ڪاڪوس	kaːkuːs
ڪتاب	kɪt̪aːbʊ
ڪترڻ	kətɪɾəɳʊ
ڪتو	kʊt̪oː
ڪجھه	kʊd͡ʒʰ
ڪراچي	kəraːt͡ʃiː
ڪري	kəre
ڪريلو	kəɾeːloː
ڪريم	kəriːm
ڪرڻ	kərəɳʊ
ڪشادو	kʊsɑd̪o
ڪلاس	klaːs
ڪلاڪ	kəlaːk
ڪلول	kɑlolɪ
ڪم	kəmʊ
ڪمر	kəmərɪ
ڪمرو	kəmɾoː
ڪملا	kəmlaː
ڪمپيوٽر	kəmpjuːʈər
ڪن	kənʊ
ڪنجي	kʊɲd͡ʒiː
ڪنو	kɪno
ڪنول	kə̃ʋəl
ڪني	kəne
ڪنڀر	kʊmbʰəɾʊ
ڪنگڻ	kəŋɡəɳʊ
ڪنگڻي	kəŋɡɪɳi
ڪو	koː
ڪوريئڙو	koːɾɪjəɽoː
ڪوسو	koso
ڪوهيرو	kohiro
ڪويٽ	kɔiʈʊ
ڪوٽ	koʈʊ
ڪوٽار	koʈɑrʊ
ڪوڙو	kɔɽo
ڪوڪاڪولا	kokɑkolɑ
ڪيئن	kɪə̃
ڪيترو	keːt̪roː
ڪير	keːrʊ
ڪيلو	keːloː
ڪيڙو	kiɽo
ڪٻٽ	kəɓəʈ
ڪٽنب	kʊʈʊmb
ڪٽڻ	kʊʈəɳʊ
ڪپاسيو	kəpaːsjoː
ڪپڙو	kəpɪɽoː
ڪٿي	kɪt̪ʰe
ڪچري	kət͡ʃɪri
ڪچهري	kət͡ʃəhəɾi
ڪڍڻ	kəɖʰəɳʊ
ڪڏڻ	kʊɗəɳʊ
ڪڪر	kəkər
ڪڱگو	kʊŋɡu
گانڌي	ɡaːnd̪ʰiː
گاهه	ɡɑhʊ
گاڏو	ɡɑɗo
گرم	ɡəɾəm
گرمي	ɡəɾmiː
گروهه	ɡiroːha
گسڻ	ɡəsəɳʊ
گل	ɡʊlʊ
گلاس	ɡɪlasʊ
گنبذ	ɡʊmbəzʊ
گنوائڻ	ɡə̃ʋɑɪɳʊ
گنڀير	ɡəmbʰiru
گهوٽڻ	ɡʰoʈəɳʊ
گهوڙو	ɡʰoːɽoː
گهوڙي	ɡʰoːɽiː
گهٽ	ɡʰəʈʊ
گهڙيال	ɡʰəɽjaːl
گهڻ	ɡəhəɳʊ
گوبي	ɡoːbiː
گوري	ɡoːɾiː
گوشت	ɡoʃt̪ʊ
گول	ɡolʊ
گوڏو	ɡoɗo
گوگڙو	ɡoːɡɪɽuː
گيت	ɡiːt̪ʊ
گڏ	ɡəɗʊ
گڏي	ɡʊɗiː
گھ	ɡʰeː
گھنڊ	ɡʰɪɳɖ
گھوٽ	ɡʰoːʈʊ
ڳائڻ	ɠɑɪɳʊ
ڳاڙهو	ɠaːɽʰoː
ڳرهڻ	ɠʊrəhəɳʊ
ڳرو	ɠəro
ڳنهڻ	ɠɪnʰəɳʊ
ڳنڍ	ɠəɳɖʰɪ
ڳنڍڻ	ɠəɳɖʰəɳʊ
ڳونٽ	ɠɔ̃ʈʊ
ڳوٺ	ɠoʈʰʊ
ڳچي	ɠɪt͡ʃi
ھندو	ɦɪnd̪uː
ھٿ	hət̪ʰʊ
