# KRNB SH — extracted from Toulmin (2006) Appendix A "Comparative KRNB wordlists" (ANU open-access, openresearch-repository.anu.edu.au). Devanagari\tIPA. Derived reflex data; provenance: Toulmin 2006 PhD, ANU.
अघन	ɔɣʱɔna
फल	pʰɔl
बदल	bɔd̪ɔl
बगल	bɔɣɔl
बशा	bɔʃʃa
बोबार	bɔ
बनुय़ा	bonua
बरप	bɔrɔ
बषन	bɔʃʃɔn
बाखला	baxɛla
बास	baʃ
बागान	baɣan
बाग	bak
बाइगन	bajɣon
बादािम	bad̪ami
बाछु	basur
बादे	bad̪e
बाना	bana
बािनय़ा	bania
बादाम	bad̪am
बासेना	baʃɛna
बारो	baɽo
बाहा	baha
बाइ	baiʃʃa
बाय़रा	bajɽa
बाला	bala
बाओ	baw
िबिच	bisi
िबलाइ	bilai
िबष	biʃ
िबषा	biʃa
िबपद	bipɔt̪
बुधबार	bud̪bar
बुक	buk
याङ	bɛŋ
याटाछाओय़ा	bɛʈasawa
बोधाय़	bod̪ʱaj
बेला	bɛla
भतरा	bʱɔt̪oran
भाल	bʱaln
भित	bʱot̪t̪in
भात	bʱat̪n
भाप	bʱapn
भुल	bʱuln
भैस	bʱoiʃ
मकज	mɔxɔs
मटर	mɔʈɔr
मरा	mɔra
मद	mɔt̪
मधु	mod̪ʱu
माग	mak
माके	maxɛɽa
माच	mas
माचुय़ा	masua
मािच	masi
माखम	maxom
माने	mane
माप	ma
माथा	mat̪ʰa
मास	maʃ
मानसी	manʃi
मुख	muk
मुिचय़ार	musiar
मुत	mut̪
याग	mɛk
मुरगी	murgi
मेला	mɛla
मुल	mul
मोच	mos
मोटा	moʈa
मरा	moɽa
मैला	mojla
मश	moʃɔ
नोहा	noha
नगत	nɔɣot̪
नागा	naɣa
नाल	nal
याकड़ा	nɛxɛra
नालस	nalɔʃ
नाश	naʃ
लोक	lok
याप	lɛp
ए्यासुन	ɛʃune
आित	at̪i
आखोय़ाल	axwal
राग	rak
हास	haʃ
ओद	ot̪o
सरम	ʃɔrɔm
शरील	ʃoɽil
सलेया	ʃɔlea
शामुक	ʃamuk
शमबार	ʃɔmbar
िशक	ʃik
शुंग	ʃuŋ
िशिखबार	ʃix
शुकुरबार	ʃuxurwar
शुिनबार	ʃun
िशर	ʃir
यामास	ʃɛmaʃ
िशल	ʃil
शेसा	ʃɛʃa
सड़क	ʃɔɽɔk
संसार	ʃɔŋʃar
साकाल	ʃaxal
साप	ʃap
सागर	ʃagor
सात	ʃat̪
शीत	ʃit̪
बादा	ʃad̪as
िसदा	ʃid̪a
सह	ʃiŋɔ
सुख	ʃuk
सुखी	ʃuxi
शुय़ोर	ʃuor
सुता	ʃut̪i
सेला	ʃɛla
सोत	ʃot̪
सोना	ʃona
हल	hold̪ia
पाितहास	pat̪ihaʃ
हाठु	haʈua
हात	hat̪
हामेरा	hamera
हाल	hal
हाित	hat̪i
हसा	hiŋʃa
