á	a³¹
chhuî	t͡sʰuɪ⁴⁴
chhùi	t͡sʰuɪ¹¹
chhûi	t͡sʰuɪ⁴⁴
chhuk	t͡sʰʊk̚¹
chhu̍k	t͡sʰʊk̚⁵
chhṳ̀m	t͡sʰəm¹¹
chhṳ̂m	t͡sʰəm⁴⁴
chhun	t͡sʰun⁵³
chhún	t͡sʰun³¹
chhùn	t͡sʰun¹¹
chhûn	t͡sʰun⁴⁴
chhṳn	t͡sʰən⁵³
chhṳ̀n	t͡sʰən¹¹
chhung	t͡sʰʊŋ⁵³
chhúng	t͡sʰʊŋ³¹
chhùng	t͡sʰʊŋ¹¹
chhûng	t͡sʰʊŋ⁴⁴
chhut	t͡sʰut̚¹
chhu̍t	t͡sʰut̚⁵
chhṳt	t͡sʰət̚¹
chhṳ̍t	t͡sʰət̚⁵
chi	t͡ɕi⁵³
chí	t͡sz̩³¹
chia	t͡ɕia⁵³
chiá	t͡ɕia³¹
chiak	t͡ɕiak̚¹
chiám	t͡ɕiam³¹
chiâm	t͡ɕiam⁴⁴
chiáng	t͡ɕiaŋ³¹
chiâng	t͡ɕiaŋ⁴⁴
chiap	t͡ɕiap̚¹
chia̍p	tiap̚¹
chien	t͡ɕiɛn⁵³
chién	t͡ɕiɛn³¹
chiên	t͡ɕiɛn⁴⁴
chiet	t͡ɕiɛt̚¹
chim	t͡ɕim⁵³
chîm	t͡səm⁴⁴
chin	t͡ɕin⁵³
chîn	t͡ɕin⁴⁴
chiok	t͡ɕiɔk̚¹
chiong	t͡ɕiɔŋ⁵³
chióng	t͡ɕiɔŋ³¹
chiông	t͡ɕiɔŋ⁴⁴
chit	t͡ɕit̚¹
chiú	t͡ɕiu³¹
chiuk	t͡ɕiʊk̚¹
chiûng	t͡ɕiʊŋ⁴⁴
cho	t͡so⁵³
chó	t͡sau³¹
chô	t͡sau⁴⁴
choi	t͡soɪ⁵³
chok	t͡sɔk̚¹
chón	t͡sɔn³¹
chôn	t͡sɔn⁴⁴
chong	t͡sɔŋ⁵³
chóng	t͡sɔŋ³¹
chòng	t͡sʰɔŋ¹¹
chông	t͡sɔŋ⁴⁴
cho̍t	t͡sɔt̚⁵
chu	t͡su⁵³
chú	t͡su³¹
chû	t͡su⁴⁴
chṳ	t͡sz̩⁵³
chṳ́	t͡sz̩³¹
chṳ̂	t͡sz̩⁴⁴
chui	t͡suɪ⁵³
chuk	t͡sʊk̚¹
chṳ́m	t͡səm³¹
chṳ̂m	t͡səm⁴⁴
chun	t͡sun⁵³
chún	t͡sun³¹
chûn	t͡sun⁴⁴
chṳn	t͡sən⁵³
chṳ́n	t͡sən³¹
chṳ̂n	t͡sən⁴⁴
chung	t͡sʊŋ⁵³
chúng	t͡sʊŋ³¹
chûng	t͡sʊŋ⁴⁴
chṳp	t͡səp̚¹
chut	t͡sut̚¹
chṳt	t͡sət̚¹
dêm	t͡sam⁴⁴
duk	tʊk̚¹
dûng	tʊŋ⁴⁴
é	ʋe³¹
è	ne³¹
êm	ɛm⁴⁴
ên	in⁴⁴
êu	eu⁴⁴
fa	fa⁵³
fà	fa¹¹
fâ	fa⁴⁴
fái	faɪ⁵³
fài	faɪ¹¹
fam	fam⁵³
fàm	fam¹¹
fan	fan⁵³
fán	fan³¹
fàn	fan¹¹
fân	fan⁴⁴
fap	fap̚¹
fat	fat̚¹
fa̍t	fat̚⁵
fèn	fən¹¹
fe̍t	fɛt̚⁵
féu	feu³¹
fi	fi⁵³
fí	fi⁵³
fì	fi¹¹
fî	fi⁴⁴
fìn	hɛn⁴⁴
fit	fit̚¹
fo	fo⁵³
fó	fo³¹
fò	fo¹¹
fôi	foɪ⁴⁴
fon	fɔn⁵³
fôn	fɔn⁴⁴
fong	fɔŋ⁵³
fóng	fɔŋ³¹
fòng	fɔŋ¹¹
fông	fɔŋ⁴⁴
fu	fu⁵³
fú	fu³¹
fù	fu¹¹
fû	fu⁴⁴
fuk	fʊk̚¹
fu̍k	fʊk̚⁵
fun	fun⁵³
fún	fun³¹
fùn	fun¹¹
fûn	fun⁴⁴
fung	fʊŋ⁵³
fùng	fʊŋ¹¹
fûng	fʊŋ⁴⁴
fut	fut̚¹
fu̍t	fut̚⁵
gau	kau⁵³
gi	ki⁵³
gî	ki⁴⁴
ha	ha⁵³
hà	ha¹¹
hâ	ha⁴⁴
hái	haɪ³¹
hài	haɪ¹¹
hâi	haɪ⁴⁴
hak	hak̚¹
ha̍k	hak̚⁵
ham	ham⁵³
hàm	ham¹¹
han	han⁵³
hán	han³¹
hàn	han¹¹
hàng	haŋ¹¹
hâng	haŋ⁴⁴
ha̍p	hap̚⁵
hat	hat̚¹
hau	hau⁵³
háu	hau⁵³
hâu	hau⁴⁴
he	he⁵³
hen	hɛn⁵³
hén	hɛn³¹
hèn	hɛn¹¹
hên	hɛn⁴⁴
het	hɛt̚¹
heu	heu⁵³
héu	heu³¹
hèu	heu¹¹
hêu	heu⁴⁴
hi	hi⁵³
hí	hi³¹
hî	hi⁴⁴
hiám	hiam³¹
hiàm	hiam¹¹
hia̍p	hiap̚⁵
hiat	hiat̚¹
hiáu	hiau³¹
hien	hian⁵³
hién	hian³¹
hièn	hian¹¹
hiên	hian⁴⁴
hiet	hiat̚¹
hièu	hiau¹¹
hîm	him⁴⁴
hin	hin⁵³
hìn	hin¹¹
hîn	hin⁴⁴
hiô	hio⁴⁴
hiong	hiɔŋ⁵³
hióng	hiɔŋ³¹
hiông	hiɔŋ⁴⁴
hiú	hiu³¹
hiû	hiu⁴⁴
hiuk	hiʊk̚¹
hiun	hiun⁵³
hiûn	hiun⁴⁴
hiùng	hiʊŋ¹¹
hiûng	hiʊŋ⁴⁴
ho	hau⁵³
hó	hau³¹
hò	ho¹¹
hô	keu⁵³
hoi	hoɪ⁵³
hói	hoɪ³¹
hok	hɔk̚¹
ho̍k	hɔk̚⁵
hon	hɔn⁵³
hòn	hɔn¹¹
hôn	hɔn⁴⁴
hong	hɔŋ⁵³
hòng	hɔŋ¹¹
hông	hɔŋ⁴⁴
hot	hɔt̚¹
i	i⁵³
í	i⁴⁴
ì	i¹¹
iá	ke³¹
ièu	iau¹¹
in	in⁵³
iòng	iɔŋ¹¹
it	it̚¹
iû	iu¹¹
ka	ka⁵³
ká	ka³¹
kâ	ka⁴⁴
kak	kak̚¹
kam	kam⁵³
kám	kam³¹
kâm	kam⁴⁴
kang	kaŋ⁵³
kâng	kaŋ⁴⁴
kap	kap̚¹
kat	kat̚¹
kau	kau⁵³
káu	kau³¹
kâu	kau⁴⁴
ke	ke⁵³
khà	kʰa⁴⁴
khâi	kʰaɪ⁴⁴
khám	kʰam³¹
khâm	kʰam⁴⁴
khân	kʰan⁴⁴
khap	kʰap̚¹
khat	kʰɛt̚¹
khau	kʰau⁴⁴
kháu	kʰau³¹
khâu	kʰau⁴⁴
khí	kʰi³¹
khì	kʰi¹¹
khî	kʰi⁴⁴
khia	kʰia⁵³
khià	kʰia¹¹
khiak	kʰiak̚¹
khia̍k	kʰiak̚⁵
khiam	kʰiam⁵³
khiàm	kʰiam¹¹
khiâm	kʰiam⁴⁴
khiang	kʰiaŋ⁵³
khiâng	kʰiaŋ⁴⁴
khie	kʰe⁵³
khien	kʰian⁵³
khién	kʰɛn³¹
khièn	kʰian¹¹
khiên	kʰian⁴⁴
khiet	kʰɛt̚¹
khie̍t	kʰiat̚⁵
khieu	kʰiau⁵³
khiéu	kʰeu³¹
khièu	kʰiau¹¹
khiêu	kʰiau⁴⁴
khim	kʰim⁵³
khìm	kʰim¹¹
khîm	kʰim¹¹
khin	kʰin⁵³
khîn	kʰin⁴⁴
khiò	kʰio¹¹
khioi	kʰoɪ⁵³
khiok	kʰiɔk̚¹
khiòng	kʰiɔŋ¹¹
khiông	kʰiɔŋ⁴⁴
khip	kʰip̚¹
khi̍p	kʰip̚⁵
khit	hit̚¹
khi̍t	kʰit̚⁵
khiu	kʰiu⁵³
khiù	kʰiu¹¹
khiû	kʰiu⁴⁴
khiuk	kʰiʊk̚¹
khiu̍k	kʰiʊk̚⁵
khiun	kʰiun⁵³
khiún	kiun³¹
khiùn	kʰiun¹¹
khiung	kʰiʊŋ⁵³
khiùng	kʰiʊŋ¹¹
kho	kʰo⁵³
khó	kʰo³¹
khô	kʰo⁴⁴
khôa	kʰua⁴⁴
khoai	kʰuaɪ⁵³
khoan	kʰuan⁵³
khoán	kʰuan³¹
khói	kʰoɪ³¹
khôi	kʰoɪ⁴⁴
khok	kʰɔk̚¹
khon	kʰɔn⁵³
khôn	kʰɔn⁴⁴
khong	kʰɔŋ⁵³
khóng	kʰɔŋ³¹
khòng	kʰɔŋ¹¹
không	kʰɔŋ⁴⁴
khu	kʰu⁵³
khú	kʰu³¹
khû	kʰu⁴⁴
khui	kʰuɪ⁵³
khuì	kʰuɪ¹¹
khuî	kʰuɪ⁴⁴
khúi	kʰuɪ³¹
khùi	kʰuɪ¹¹
khuk	kʰʊk̚¹
khu̍k	kʰʊk̚¹
khun	kʰun⁵³
khûn	kʰun⁴⁴
khúng	kʰʊŋ³¹
khûng	kʰʊŋ⁴⁴
khut	kʰiut̚¹
ki	ki⁵³
kí	ki³¹
kì	ki¹¹
kî	ki⁴⁴
kia	kʰi⁴⁴
kiai	kiaɪ⁵³
kiak	ki³¹
kiam	kiam⁵³
kiám	kiam³¹
kián	kian³¹
kiang	kiaŋ⁵³
kiáng	kiaŋ³¹
kiâng	kiaŋ⁴⁴
kiap	kiap̚⁵
kia̍p	kiap̚⁵
kiat	kiat̚¹
kiáu	kiau³¹
kie	kiaɪ⁵³
kié	kiaɪ³¹
kiê	ke⁴⁴
kien	kian⁵³
kién	kian³¹
kiên	kian⁴⁴
kie̍p	kit̚¹
kiet	kiat̚¹
kieu	kiau⁵³
kiéu	keu³¹
kiêu	keu⁴⁴
kim	kim⁵³
kím	kim³¹
kîm	kim⁴⁴
kin	kin⁵³
kín	kin³¹
kîn	kin⁴⁴
kiok	kiɔk̚¹
kiông	kiɔŋ⁴⁴
kip	kʰip̚¹
kit	kit̚¹
kiu	kiu⁵³
kiú	kiu³¹
kiuk	kʊk̚¹
kiún	kiun³¹
kiûn	kiun⁴⁴
kiùng	hiʊŋ¹¹
kiûng	kiʊŋ⁴⁴
ko	kuo⁵³
kó	kuo³¹
kô	ko⁴⁴
koa	kua⁵³
kóa	kua³¹
kôa	kua⁴⁴
koai	kuaɪ⁵³
koái	kuaɪ³¹
kóai	kuaɪ³¹
koan	kuan⁵³
koân	kuan⁴⁴
kôan	kuan⁴⁴
koáng	kuaŋ³¹
koat	kuat̚¹
kóen	kɛn³¹
koet	kuɛt̚¹
koi	koɪ⁵³
kói	koɪ³¹
kôi	koɪ⁴⁴
kok	kɔk̚¹
kon	kuɔn⁵³
kón	kuɔn³¹
kôn	kuɔn⁴⁴
kong	kɔŋ⁵³
kóng	kuɔŋ³¹
kông	kuɔŋ⁴⁴
kot	kɔt̚¹
ku	ku⁵³
kú	ku³¹
kû	ku⁴⁴
kui	kuɪ⁵³
kúi	kuɪ³¹
kûi	kuɪ⁴⁴
kuk	kʊk̚¹
kun	kun⁵³
kún	kun³¹
kûn	kʰun⁴⁴
kûng	kʊŋ⁴⁴
kut	kut̚¹
la	la⁵³
là	la¹¹
lâ	la⁴⁴
lai	laɪ⁵³
lái	laɪ³¹
lài	laɪ¹¹
lâi	la⁴⁴
lak	lak̚¹
la̍k	lak̚⁵
lam	lam⁵³
lám	lam³¹
làm	lam¹¹
lan	lan⁵³
làn	lan¹¹
lân	lan⁴⁴
làng	laŋ¹¹
lâng	laŋ⁴⁴
la̍p	lap̚⁵
lat	lat̚¹
la̍t	lat̚⁵
lau	lɔk̚⁵
lâu	lau⁴⁴
lé	e¹¹
lê	nɛn¹¹
lep	lap̚¹
leu	leu⁵³
lèu	leu¹¹
li	li⁵³
lí	li³¹
lì	li¹¹
lî	li⁴⁴
liá	t͡se³¹
liam	liam⁵³
liám	liɛn⁴⁴
liàm	liam¹¹
liàn	liɛn¹¹
liang	liaŋ⁵³
liàng	laŋ¹¹
liâng	liaŋ⁴⁴
lia̍p	lap̚⁵
liau	liau⁵³
liáu	liau³¹
liàu	liau¹¹
lien	liɛn⁵³
lién	liɛn³¹
lièn	liɛn¹¹
lie̍t	liɛt̚⁵
lìm	lim¹¹
lîm	lim⁴⁴
lin	lun¹¹
lín	lin³¹
lìn	lin¹¹
lîn	lun¹¹
liong	liɔŋ⁵³
lióng	liɔŋ³¹
liòng	liɔŋ¹¹
liông	liɔŋ⁴⁴
lip	lɛp̚¹
li̍p	lip̚⁵
li̍t	lit̚⁵
liu	liu⁴⁴
liù	liu¹¹
liû	liu³¹
liuk	liʊk̚¹
liu̍k	liʊk̚⁵
liùng	liʊŋ¹¹
lo	lau³¹
ló	lau³¹
lò	lo¹¹
lòi	loɪ¹¹
lo̍k	lɔk̚⁵
lon	lɔn⁵³
lón	lɔn³¹
long	lɔŋ⁵³
lóng	lɔŋ³¹
lòng	lɔŋ¹¹
lot	lɔt̚¹
lu	lu⁵³
lù	lu¹¹
lû	lu⁴⁴
lui	luɪ⁵³
lùi	luɪ¹¹
luk	lʊk̚¹
lu̍k	lʊk̚⁵
lun	lun⁵³
lùn	lun¹¹
lùng	lʊŋ¹¹
lûng	lʊŋ⁴⁴
lut	lut̚¹
m̀	m̩¹¹
ma	ma⁵³
má	ma³¹
mà	ma¹¹
mâ	ma⁴⁴
mai	maɪ⁵³
mài	maɪ¹¹
mâi	maɪ⁴⁴
mak	mak̚¹
ma̍k	mak̚⁵
man	man⁵³
màn	man¹¹
mân	man⁴⁴
máng	maŋ³¹
màng	maŋ¹¹
mâng	maŋ⁴⁴
mat	mat̚¹
ma̍t	mat̚⁵
mau	mau⁵³
màu	mau¹¹
mê	me⁴⁴
men	mɛn⁵³
mén	mɛn¹¹
mèn	mɛn¹¹
met	mɛt̚¹
me̍t	mɛt̚⁵
meu	miau⁵³
méu	meu⁴⁴
mèu	miau¹¹
mêu	meu⁴⁴
mi	mi⁵³
mí	mi³¹
mì	mi¹¹
mî	mi⁴⁴
miâ	mo⁴⁴
miang	miaŋ⁵³
miàng	miaŋ¹¹
mien	miɛn⁵³
mién	miɛn³¹
mièn	miɛn¹¹
miên	mɛn⁴⁴
miéu	miau³¹
min	min⁵³
mìn	min¹¹
mióng	miɔŋ³¹
miòng	mɔŋ¹¹
mo	mau⁵³
mò	mo¹¹
mô	mau⁴⁴
moi	moɪ⁵³
mòi	moɪ¹¹
mo̍k	mɔk̚¹
mong	mɔŋ¹¹
móng	mʊŋ¹¹
mòng	mɔŋ¹¹
mông	mɔŋ¹¹
mu	mu⁵³
mù	mu¹¹
mû	mu⁴⁴
muk	mʊk̚¹
mu̍k	mʊk̚⁵
mun	mun⁵³
mùn	mun¹¹
mûn	mun⁴⁴
mung	mu⁵³
mùng	mʊŋ¹¹
nà	na¹¹
nâ	na⁴⁴
nai	naɪ⁵³
nài	naɪ¹¹
nám	nam³¹
nàm	nam¹¹
nan	nan⁵³
nàn	nan¹¹
nân	lan⁴⁴
nang	laŋ⁵³
na̍p	nap̚⁵
nau	nau⁵³
nâu	nau⁴⁴
nèm	nɛm¹¹
nen	nɛn⁵³
nèn	nɛn¹¹
nên	tɛn⁴⁴
net	niɛt̚⁵
néu	neu³¹
nèu	neu¹¹
ńg	n̩³¹
ǹg	n̩¹¹
nga	ŋa¹¹
ngá	ŋa³¹
ngà	ŋa¹¹
ngâ	ŋa³¹
ngai	ŋaɪ¹¹
ngài	ŋaɪ¹¹
ngám	ŋam⁵³
ngàm	ŋam¹¹
ngan	ŋan⁵³
ngân	ŋan⁴⁴
ngang	ŋaŋ⁵³
ngat	ŋat̚¹
ngau	ŋau⁵³
ngàu	ŋau¹¹
ngâu	ŋau⁴⁴
ngi	ŋi⁵³
ngí	ŋi³¹
ngì	ŋi¹¹
ngî	ŋi⁴⁴
ngiâ	ŋia¹¹
ngiak	ŋiak̚¹
ngia̍k	ŋiak̚⁵
ngiam	ŋiam⁵³
ngiàm	ŋiam¹¹
ngiâm	ŋiam⁴⁴
ngián	ŋian³¹
ngiàng	ŋiaŋ¹¹
ngiap	ŋiap̚¹
ngia̍p	ŋiap̚⁵
ngiau	ŋiau⁵³
ngiâu	ŋeu³¹
ngie	ne⁵³
ngien	ŋian⁵³
ngién	ŋian³¹
ngièn	ŋian¹¹
ngiên	ŋan⁴⁴
ngiet	ŋiat̚¹
ngie̍t	ŋiat̚⁵
ngièu	ŋiau¹¹
ngìm	ŋim¹¹
ngin	ŋin⁵³
ngìn	ŋin¹¹
ngiok	ŋiɔk̚¹
ngio̍k	ŋiɔk̚¹
ngiôn	ŋiɔn³¹
ngiong	ŋiɔŋ⁵³
ngióng	ŋiɔŋ³¹
ngiòng	ŋiɔŋ¹¹
ngi̍p	ŋip̚⁵
ngit	ŋit̚¹
ngiù	ŋiu¹¹
ngiuk	ŋiʊk̚¹
ngiu̍k	ŋiʊk̚⁵
ngiun	ŋiun⁵³
ngiún	ŋiun³¹
ngiùn	ŋiun¹¹
ngiûn	ŋiun⁴⁴
ngo	ŋo⁵³
ngò	ŋo¹¹
ngô	ŋo⁴⁴
ngòan	ŋan¹¹
ngoi	ŋoɪ⁵³
ngôi	ŋoɪ¹¹
ngo̍k	ŋɔk̚⁵
ngong	ŋɔŋ⁵³
ngông	ŋɔŋ⁴⁴
ngu	ŋu⁵³
ngui	ŋuɪ⁵³
ngúi	ŋuɪ³¹
ngùi	ŋuɪ¹¹
ni	ni⁵³
nì	ni¹¹
nî	ni⁴⁴
niú	neu³¹
no	no⁵³
nó	nau³¹
nò	mo¹¹
nok	nɔk̚⁵
nôn	nɔn⁴⁴
nong	nɔŋ⁵³
nòng	nɔŋ¹¹
nông	nɔŋ¹¹
nu	nu⁵³
nú	nu³¹
nù	nu¹¹
nui	nuɪ⁵³
nung	lʊŋ⁵³
nùng	nʊŋ¹¹
nyím	lɛm¹¹
o	au⁵³
ó	au³¹
ô	o⁴⁴
oi	oɪ⁵³
ôi	oɪ⁴⁴
ok	ɔk̚¹
on	ɔn⁵³
ôn	ɔn⁴⁴
pa	pa⁵³
pá	pa³¹
pà	pa¹¹
pâ	pa⁴⁴
pai	paɪ⁵³
pái	paɪ³¹
pài	piɛt̚¹
pâi	paɪ⁴⁴
pak	pak̚¹
pan	pan⁵³
pán	pan³¹
pân	pan⁴⁴
pâng	paŋ⁴⁴
pat	pat̚¹
pa̍t	pat̚⁵
pau	pau⁵³
páu	pau⁴⁴
pâu	pau⁴⁴
pên	pɛn⁴⁴
pet	pɛt̚¹
péu	piau³¹
pha	pʰa⁵³
phà	pʰa¹¹
phai	pʰaɪ⁵³
phài	pʰaɪ¹¹
phâi	pʰaɪ⁴⁴
pha̍k	pʰak̚⁵
phan	pʰan⁵³
phàn	pʰan¹¹
phân	pʰan⁴⁴
phàng	pʰaŋ¹¹
phâng	pʰaŋ⁴⁴
phat	pʰat̚¹
pha̍t	pʰat̚⁵
phau	pʰau⁵³
phàu	pʰau¹¹
phâu	pʰau⁴⁴
phèn	pʰɛn¹¹
phên	pʰɛn⁴⁴
phe̍t	pʰiɛt̚⁵
phéu	pʰiau³¹
phèu	pʰiau¹¹
phêu	pʰiau⁵³
phi	pʰi⁵³
phì	pʰi¹¹
phî	pʰi⁴⁴
phiang	pʰiaŋ⁵³
phiàng	pʰiaŋ¹¹
phien	pʰiɛn⁵³
phién	pʰiɛn³¹
phièn	pʰiɛn¹¹
phiên	pʰiɛn⁴⁴
phiet	pʰiɛt̚¹
phie̍t	pʰiɛt̚⁵
phin	pin⁴⁴
phín	pʰin³¹
phìn	pʰin¹¹
phit	pʰit̚¹
phi̍t	pʰɛt̚⁵
pho	pʰo⁵³
phò	pʰo¹¹
phô	pʰo⁴⁴
phoi	pʰoɪ⁵³
phòi	pʰoɪ¹¹
phôi	pʰoɪ⁴⁴
phok	pʰɔk̚¹
pho̍k	pʰɔk̚⁵
phôn	pʰɔn⁴⁴
phong	pɔŋ⁴⁴
phòng	pʰɔŋ¹¹
phu	pʰu⁵³
phú	pʰu³¹
phù	pʰu¹¹
phû	pʰu⁴⁴
phuk	pʰau⁵³
phu̍k	pʰʊk̚⁵
phun	pʰun¹¹
phùn	pʰun¹¹
phûn	pʰun⁴⁴
phung	pʰʊŋ⁵³
phùng	pʰʊŋ¹¹
phûng	fʊŋ⁴⁴
phut	pʰut̚⁵
pi	pi⁵³
pí	pi³¹
pî	pi⁴⁴
piak	piak̚¹
piang	piaŋ⁵³
piáng	piaŋ³¹
pien	piɛn⁵³
pién	pian³¹
piên	piɛn⁴⁴
piet	piɛt̚¹
pin	pin⁵³
pín	pin³¹
pîn	pin⁴⁴
piong	piɔŋ⁵³
piông	piɔŋ⁴⁴
pit	pit̚¹
po	pau⁵³
pó	pau³¹
pô	po⁴⁴
poi	poɪ⁵³
pok	pɔk̚¹
pong	pʊŋ³¹
póng	pɔŋ³¹
pòng	pʰɔŋ¹¹
pông	pɔŋ⁴⁴
pot	pɔt̚¹
pu	pu⁵³
pú	pu³¹
pû	pu⁴⁴
puk	pʊk̚¹
pun	pʰun⁵³
pún	pun³¹
pùn	fun¹¹
pûn	pun⁴⁴
pùng	pʰʊŋ¹¹
put	put̚¹
sa	sa⁵³
sá	sa³¹
sà	sa¹¹
sâ	sa⁴⁴
sái	saɪ³¹
sài	saɪ¹¹
sak	sak̚¹
sa̍k	sak̚⁵
sám	sam³¹
sàm	sam¹¹
sâm	sam⁴⁴
san	san⁵³
sán	san³¹
sân	san⁴⁴
sang	saŋ⁵³
sàng	saŋ¹¹
sâng	saŋ⁴⁴
sa̍p	sap̚⁵
sat	sat̚¹
sa̍t	sat̚⁵
sàu	sau¹¹
se	se⁵³
sé	se³¹
sè	se¹¹
sê	saɪ⁴⁴
sêm	sɛm⁴⁴
sén	sɛn³¹
sên	sɛn⁴⁴
sep	ɕiat̚¹
set	sɛt̚¹
seu	sau⁵³
séu	ɕiau³¹
sèu	seu¹¹
sêu	sau⁴⁴
si	ɕi⁵³
sí	ɕi³¹
sî	ɕi⁴⁴
sia	ɕia⁵³
siá	ɕia³¹
sià	ɕia¹¹
siâ	ɕia⁴⁴
siak	ɕiak̚¹
siàm	ɕiam¹¹
siang	ɕiaŋ⁵³
siáng	ɕiaŋ³¹
siâng	ɕiaŋ⁴⁴
sien	ɕiɛn⁵³
sién	ɕiɛn³¹
sièn	ɕiɛn¹¹
siên	ɕiɛn⁴⁴
siet	ɕiɛt̚¹
sîm	ɕim⁴⁴
sin	ɕin⁵³
sîn	ɕin⁴⁴
siok	ɕiɔk̚¹
siong	ɕiɔŋ⁵³
sióng	ɕiɔŋ³¹
siòng	ɕiɔŋ¹¹
siông	ɕiɔŋ⁴⁴
si̍p	ɕip̚⁵
sit	ɕit̚¹
si̍t	ɕit̚⁵
siu	ɕiu⁵³
siû	ɕiu⁴⁴
siuk	ɕiʊk̚¹
siu̍k	ɕiʊk̚⁵
siung	ɕiʊŋ⁵³
so	sau⁵³
só	so³¹
sô	so⁴⁴
