آئي	aːiː
آهوڙڻ	aːhoːɽəɳʊ
آهي	aːheː
آهيرو	aːheːɾoː
آهينو	aːhiːnoː
آهيڙو	aːheːɽoː
آهيڙي	aːheːɽiː
آهڙڻ	aːhʊɽəɳʊ
آواداني	aːʋaːd̪aːniː
آوار	aːʋaːɾʊ
آوارو	aːʋaːɾoː
آواز	aːʋaːzʊ
آوت	aːʋət̪ɪ
آولاسار	aːʋlaːsaːɾʊ
آوهه	aːʋəhʊ
آيل	aːjəlɪ
آيوپايو	aːjoːpaːjoː
آٺرڻ	aːʈʰɪɾəɳʊ
آٺو	aːʈʰoː
آٽ	aːʈə
آٽو	aːʈoː
آٽڻ	aːʈəɳʊ
آپدا	aːpəd̪aː
آٿاڻو	aːt̪ʰaːɳoː
آٿر	aːt̪ʰəɾʊ
آٿڙڻ	aːt̪ʰʊɽəɳʊ
آڀامڙو	aːbʰaːmɪɽoː
آڀامڻ	aːbʰaːməɳʊ
آچار	aːt͡ʃaːɾʊ
آچر	aːt͡ʃəɾʊ
آچمال	aːt͡ʃmaːlʊ
آچَرُ	aːt͡ʃəɾʊ
آڇ	aːt͡ʃʰə
آڇاڙو	aːt͡ʃʰaːɽoː
آڇرڻ	aːt͡ʃʰɪɾəɳʊ
آڇلائڻ	aːt͡ʃʰʊlaːɪɳʊ
آڇيڙو	aːt͡ʃʰeːɽoː
آڇڻ	aːt͡ʃʰəɳʊ
آڊوڪو	aːɖoːkoː
آڊڙ	aːɖəɽʊ
آڊڪائي	aːɖəkaːiː
آڌئو	aːd̪ʰɪoː
آڌار	aːd̪ʰaːɾʊ
آڌو	aːd̪ʰoː
آڍڻ	aːɖʰəɳʊ
آڏواڻي	aːɗʋaːɳiː
آڙاهه	aːɽaːhʊ
آڙنگ	aːɽəŋɡʊ
آڙي	aːɽiː
آڙيڪو	aːɽiːkoː
آڦت	aːpʰət̪ɪ
آڦري	aːpʰɪɾiː
آکاڙ	aːkʰaːɽʊ
آکاڙو	aːkʰaːɽoː
آکاڙُ	aːkʰaːɽʊ
آکاڻي	aːkʰaːɳiː
آکر	aːkʰəɾɪ
آکرڻ	aːkʰʊɾəɳʊ
آکيرو	aːkʰeːɾoː
آکيڙو	aːkʰeːɽoː
آکڙڻ	aːkʰʊɽəɳʊ
آکڻ	aːkʰəɳʊ
آڪاس	aːkaːsʊ
آڪرائي	aːkɪɾaːiː
آڪرو	aːkɪɾoː
آڪهه	aːkəhɪ
آڪڙ	aːkʊɽʊ
آڪڙڪرهو	aːkəɽəkəɾəhoː
آگ	aːɡɪ
آگو	aːɡoː
آڱر	aːŋʊɾɪ
آڱوٺو	aːŋuːʈʰoː
آڱوٺي	aːŋuːʈʰiː
آڻ	aːɳə
آڻڻ	aːɳəɳʊ
ائري	əʊɾiː
ائو	ʊə
ائي	əiː
ابابيل	əbaːbiːlʊ
اباهو	ʊbaːhoː
اباڻو	əbaːɳoː
ابتائڻ	ʊbət̪aːɪɳʊ
ابتو	ʊbət̪oː
ابتڙ	ʊbət̪əɽɪ
ابتڪنڊي	ʊbət̪əkəɳɖiː
ابداڻو	ʊbɪd̪aːɳoː
ابرڪ	əbɪɾəkə
ابس	əbəsʊ
ابلک	əbləkʰʊ
ابهڻ	ʊbɪhəɳʊ
ابو	əboː
ابوبحر	əbuːbəhəɾʊ
ابورکو	ʊbuːɾkʰoː
ابورڻ	ʊbuːɾəɳʊ
ات	ʊt̪ɪ
اتابو	ət̪aːboː
اتارو	ʊt̪aːɾoː
اتارڻ	ʊt̪aːɾəɳʊ
اتر	ʊt̪əɾʊ
اتراڌي	ʊt̪ɪɾaːd̪ʰiː
اتراڻ	ʊt̪ɪɾaːɳʊ
اترڌو	ʊt̪ɪɾɪd̪ʰoː
اتنائي	ət̪ɪnaːiː
اتنت	ət̪ənt̪ɪ
اتو	ʊt̪uː
اتور	ət̪oːɾʊ
اتي	ʊt̪eː
اتيسار	ət̪iːsaːɾʊ
اتڻ	ʊt̪əɳʊ
اتڻو	ʊt̪ɪɳoː
اثبات	ɪsbaːt̪ʊ
اثباتي	ɪsbaːt̪iː
اثر	əsəɾʊ
اجئه	əd͡ʒəɪ
اجاردار	ɪd͡ʒaːɾd̪aːɾʊ
اجارو	ɪd͡ʒaːɾoː
اجارڻ	ʊd͡ʒaːɾəɳʊ
اجازت	ɪd͡ʒaːzət̪ə
اجايو	əd͡ʒaːjoː
اجاڙ	ʊd͡ʒaːɽə
اجاڙڻ	ʊd͡ʒaːɽəɳʊ
اجبو	ʊd͡ʒɪboː
اجر	əd͡ʒəɾʊ
اجرڪ	əd͡ʒɪɾəkə
اجرڻ	ʊd͡ʒɪɾəɳʊ
اجس	əd͡ʒəsʊ
اجل	ʊd͡ʒəlʊ
اجلائي	ʊd͡ʒlaːiː
اجورو	ʊd͡ʒuːɾoː
اجي	əd͡ʒiː
اجيت	əd͡ʒiːt̪ʊ
اجيرڻ	əd͡ʒiːɾəɳʊ
اجڙ	əd͡ʒəɽʊ
اجڙڻ	ʊd͡ʒɪɽəɳʊ
اجڪو	əd͡ʒəkoː
اجگيبي	əd͡ʒəɡɛːbiː
اجھامڻ	ʊd͡ʒʰaːməɳʊ
اجھو	əd͡ʒʰoː
اجھڙڻ	ʊd͡ʒʰɪɽəɳʊ
اجھڪائي	əd͡ʒʰəkaːiː
اجھڻ	ʊd͡ʒʰəɳʊ
احمد آباد	əhəməd̪aːbaːd̪ɪ
احمق	əhəməqʊ
احمقاڻو	əhəməqaːɳoː
اخبار	əxbaːɾə
اداس	ʊd̪aːs
اداسي	ʊd̪aːsiː
ادب	əd̪əbʊ
ادجن	ʊd̪əd͡ʒənə
ادرڪ	əd̪ɾəkə
ادم	ʊd̪əmʊ
ادمائتو	ʊd̪əmaːɪt̪oː
ادماد	ʊd̪maːd̪ʊ
ادمي	ʊd̪əmiː
ادنو	əd̪ɪnoː
ادو	əd̪oː
ادورو	əd̪oːɾoː
ادي	əd̪iː
ار	ʊɾʊ
ارادو	ɪɾaːd̪oː
ارب	əɾəbʊ
ارباب	əɾbaːbʊ
اربع	əɾbaː
اربي	ʊɾeːbiː
ارتاب	əɾt̪aːbʊ
ارتو	əɾt̪oː
ارتوار	ərt̪ʋaːr
ارداس	əɾd̪aːsə
ارلو	ʊɾloː
ارموش	əɾmoːʃʊ
ارمڪ	əɾməkə
ارهائي	əɾəhaːiː
ارهائڻ	əɾəhaːɪɳʊ
ارهجڻ	əɾəhɪd͡ʒəɳʊ
ارهه	əɾɪhə
ارهو	əɾəhoː
ارهڪو	əɾɪhəkoː
ارو	əɾoː
اروڙ	əɾoːɽə
اروڙي	əɾuːɽiː
اري	əɾeː
اريبي	ɪɾeːbiː
ارٽ	əɾʈʊ
ارٽي	əɾʈiː
ارٿ	əɾt̪ʰɪ
ارٿساک	əɾt̪ʰəsaːkʰə
ارڌوگ	əɾd̪ʰoːɡʊ
ارڌوگي	əɾd̪ʰoːɡiː
ارڙو	əɾɽoː
ارڙي	ɪɾɪɽiː
ارڪ	ɪɾɪkə
ارڪان	əɾkaːnʊ
ارگ	əɾɡʊ
ارڻ	əɾəɳɪ
ازن	ɪzɪnʊ
اس	ʊsə
اسارو	əsaːɾoː
اساٽ	ʊsaːʈə
اساٽجڻ	ʊsaːʈɪd͡ʒəɳʊ
اسباب	əsbaːbʊ
اسبرگ	ɪsbəɾɡə
استاد	ʊst̪aːd̪ʊ
استت	ʊst̪ət̪ɪ
استر	əst̪əɾʊ
استري	ɪst̪ɾiː
استعمالي	ɪst̪əmaːliː
استقبال	ɪst̪əqbaːlʊ
استو	ʊst̪oː
استي	ɪst̪iː
استيلنگ	ɪst̪iːlɪŋɡʊ
اسد	əsəd̪ʊ
اسر	əsʊɾʊ
اسراري	ɪsɾaːɾiː
اسراٽ	ʊsɪɾaːʈə
اسراٽجڻ	ʊsɪɾaːʈɪd͡ʒəɳʊ
اسرڻ	ʊsɪɾəɳʊ
اسل	əsəlʊ
اسلام	ɪslaːmʊ
اسم	ɪsɪmʊ
اسمرٿ	əsəməɾt̪ʰʊ
اسنک	əsəŋkʰʊ
اسهه	əsəhʊ
اسهڻ	ʊsəhəɳʊ
اسو	əsuː
اسي	əsi
اسيئنڻ	əsiːʊɳɳɪ
اسيئنڻو	əsiːʊɳɳoː
اسيل	əsiːlʊ
اسپتال	ɪspət̪aːl
اسپنگر	ɪsəpəŋɡəɾʊ
اسٿان	ɪst̪ʰaːnʊ
اسڌ	əsʊd̪ʰɪ
اسڙڪڻ	ʊsɪɽkəɳʊ
اسڪول	ɪskuːl
اشارت	ɪʃaːɾət̪ə
اشارو	ɪʃaːɾoː
اشتهار	ɪʃt̪ɪhaːɾʊ
اشراف	əʃɾaːfʊ
اشڪ	əʃkʊ
اشڪيل	ɪʃkeːlʊ
اشڪيلي	ɪʃkeːliː
اصحب	əsəhəbʊ
اصل	əsʊlʊ
اصلي	əsʊliː
اطلس	ət̪ɪləsʊ
اظهار	ɪzhaːɾʊ
اعلاج	eːlaːd͡ʒʊ
اعوان	ɛːʋaːnʊ
افال	əfaːlʊ
افسوس	əfsoːs
اقامت	ɪqaːmət̪ə
اقتصادي	ɪqt̪ɪsaːd̪iː
اقرارنامو	ɪqɾaːɾnaːmoː
ال	ələ
الا	əlaː
الائڻ	əlaːɪɳʊ
الاجي	əlaːd͡ʒeː
الارڻ	ʊlaːɾəɳʊ
الامو	ʊlaːmoː
الاهي	ɪlaːhiː
البت	əlbət̪ə
البجار	ələbəd͡ʒaːɾɪ
البيلائي	ələbeːlaːiː
البيلو	ələbeːloː
التي	ɪlət̪iː
الرڻ	ʊlɪɾəɳʊ
السو	əlsoː
السي	ɪlsiː
الماڙي	əlmaːɽiː
الهندو	ʊləhənd̪oː
الهڻ	ələhəɳʊ
الو	əloː
الوٽ	əluːʈʊ
الوڀلو	əloːbʰəloː
الوڻ	əluːɳʊ
الوڻائي	əluːɳaːiː
الوڻو	əluːɳoː
الي	əliː
اليبند	əliːbənd̪ʊ
اليپ	əleːpʊ
الٽ	ələʈʊ
الڙ	ələɽʊ
الڙڻ	ʊlɪɽəɳʊ
الک	ələkʰə
الڪائتو	ʊlɪkaːɪt̪oː
الڪو	ʊlkoː
الگرجائي	əlɡəɾd͡ʒaːiː
الڻ	ələɳʊ
اما	əmaː
امالڪ	ʊmaːləkə
امام	ɪmaːmʊ
امانت	əmaːnət̪ə
اماني	əmaːniː
اماوس	ʊmaːʋsə
اماڙي	ʊmaːɽiː
اماڻڻ	ʊmaːɳəɳʊ
امت	ʊmət̪ə
امتحان	ɪmt̪ɪhaːnʊ
امتحانن	ɪmt̪ɪɦaːnən
امتي	ʊmət̪iː
امداد	ɪmd̪aːd̪ʊ
امر	əməɾʊ
امل	əməlʊ
املداس	əməld̪aːsʊ
املي	əməliː
امن	əmʊnʊ
امند	əmənd̪ʊ
امهير	əməheːɾə
امونگڙو	əmuːŋɡɪɽoː
امي	əmiː
اميد	ʊmeːdə
امير	amiːrʊ
اميرائي	əmiːɾaːiː
اميري	ʊmeːɾiː
امين	əmiːnʊ
اميني	əmiːniː
امڙ	əmʊɽʊ
امڪان	ɪmkaːnʊ
ان	ɪnə
اناج	ənaːd͡ʒʊ
انار	ənaːrʊ
اناسرت	ənaːsʊɾt̪ɪ
انان	ənaːnʊ
اناناس	ənaːnaːs
اناڙي	ənaːɽiː
انب	əmb
انبار	əmbaːɾʊ
انبارخانو	əmbaːɾxaːnoː
انباردار	əmbaːɾd̪aːɾʊ
انبور	əmbuːɾʊ
انبير	əmbiːɾʊ
انبڙي	əmbɪɽiː
انت	ənt̪ʊ
انترو	ənt̪ɪɾoː
انتظار	ɪnt̪ɪzaːɾ
انتڪال	ənt̪ɪkaːlʊ
انجام	əɲd͡ʒaːmʊ
انجير	əɲd͡ʒiːɾʊ
انجڙي	ɪɲd͡ʒɪɽiː
انداز	ənd̪aːzʊ
اندازو	ənd̪aːzoː
اندر	ənd̪ərʊ
اندرجئه	ɪnd̪ɾəd͡ʒəʊ
اندري	ɪnd̪ɾiː
اندسو	ənd̪ɪsoː
اندلس	ənd̪ɪləsə
اندي	ənd̪iː
انس	ənsʊ
انسان	ɪnsaːnʊ
انصاف	ɪnsaːfʊ
انمان	ʊnmaːnʊ
انند	ənənd̪ə
انهه	ɪnɪhə
انيل	əniːlʊ
انيڪ	əneːkə
انچلو	ə̃t͡ʃɪloː
انڇر	əɲt͡ʃʰəɾʊ
انڊي	ɪɳɖiː
انڊگنڊ	əɳɖʊɡəɳɖʊ
انڌ	ənd̪ʰʊ
انڌائي	ənd̪ʰaːiː
انڌار	ənd̪ʰaːɾʊ
انڌارو	ənd̪ʰaːɾoː
انڌو	ənd̪ʰoː
انڌوهه	ənd̪ʰoːhʊ
انڌوڪار	ənd̪ʰuːkaːɾʊ
انڌير	ənd̪ʰeːɾʊ
انڌيرو	ənd̪ʰeːɾoː
انڌيري	ənd̪ʰeːɾiː
انڌڙو	ənd̪ʰɪɽoː
انڌڪار	ənd̪ʰəkaːɾʊ
انڪڙ	əŋkʊɽʊ
انگ	əŋɡʊ
انگارڻ	əŋɡaːɾəɳʊ
انگالو	əŋɡaːloː
انگريز	əŋɡɾeːzʊ
انگريزي	əŋɡɾeːziː
انگرکو	əŋɡəɾəkʰoː
انگل	əŋɡəlʊ
انگلي	əŋɡəliː
انگور	əŋɡuːɾʊ
انگورجڻ	əŋɡuːɾd͡ʒəɳʊ
انگي	əŋɡiː
انگيج	əŋɡeːd͡ʒʊ
انگيجي	əŋɡeːd͡ʒiː
انگڙو	əŋɡʊɽoː
انگڙي	əŋɡʊɽiː
انگڻ	əŋɡəɳʊ
اهائي	ʊhaːiː
اهار	əhaːɾə
اهر	əhʊɾɪ
اهرڻ	əhəɾəɳɪ
اهل	əhələ
اهلي	əhəliː
اهمائي	ʊhʊmaːiː
اهمو	ʊhʊmoː
اهن	əhənʊ
اهنر	əhənəɾʊ
اهنوتري	əhənoːt̪ɪɾiː
اهنڙ	əhəɳɽʊ
اهنڪار	əhəŋkaːɾʊ
اهنڪارجڻ	əhəŋkaːɾd͡ʒəɳʊ
اهنڪاري	əhəŋkaːɾiː
اهه	ɪhɪ
اهو	ɪhoː
اهوئي	ʊhoːiː
اهڃ	ʊhʊɲʊ
اهڃاڻ	ʊhʊɲaːɳʊ
اهڙو	əhɪɽoː
اوار	əʋaːɾə
اوايو	əʋaːjoː
اواڙ	əʋaːɽə
اواڙو	əʋaːɽoː
اوتار	əʋət̪aːɾʊ
اوجھڙ	əʋəd͡ʒʰəɽʊ
اورچ	əʋɪɾt͡ʃʊ
اورچائي	əʋɪɾt͡ʃaːiː
اوس	əʋəsɪ
اوسر	əʋəsəɾʊ
اوسوس	əʋsoːsʊ
اول	əʋəlɪ
اولائي	əʋəlaːiː
اولو	əʋəloː
اوناسي	əʋɪnaːsiː
اونهارو	uːnɦaːɾoː
اويچاري	əʋiːt͡ʃaːɾiː
اوچاري	əʋɪt͡ʃaːɾiː
اوڪڻ	oːkəɳʊ
ايمان	imaːnʊ
اين	əjənʊ
ايڪتا	eːkt̪aː
اَربَع	əɾbaː
اَرتَوارُ	əɾt̪əʋaːɾʊ
اَٺَ	əʈʰə
اَڇو	ət͡ʃʰoː
اَکِ	əkʰɪ
اَڱارو	əŋaːɾoː
اُستادو	ʊst̪aːd̪ʊ
اُستادَ	ʊst̪aːd̪ʊ
اُستادُ	ʊst̪aːd̪ʊ
اُهو	ʊhoː
اُٺُ	ʊʈʰʊ
اِجازَتَ	ɪd͡ʒaːzət̪ə
اِهو	ɪhoː
اٺ	əʈʰə
اٺاسي	əʈʰaːsiː
اٺاويهه	əʈʰaːʋiːhə
اٺسؤ	əʈʰsoː
اٺسٺو	əʈʰɪsəʈʰoː
اٺهتر	əʈʰəhət̪əɾɪ
اٺهٺ	əʈʰəhəʈʰɪ
اٺو	əʈʰoː
اٺوتر	əʈʰoːt̪əɾ
اٺوترو	əʈʰoːt̪ɪɾoː
اٺور	əʈʰoːɾɪ
اٺونڻو	əʈʰuːɳɳoː
اٺيتاليهه	əʈʰeːt̪aːliːhə
اٺٽيهه	əʈʰəʈiːhə
اٺپيرو	ʊʈʰəpeːɾoː
اٺڻ	ʊʈʰəɳʊ
اٻاسي	ʊɓaːsiː
اٽ	ɪʈə
اٽر	əʈəɾʊ
اٽلائڻ	ʊʈɪlaːɪɳʊ
اٽلڻ	ʊʈɪləɳʊ
اٽنگڻ	ʊʈəŋɡəɳʊ
اٽهه	əʈəhʊ
اٽو	əʈoː
اٽي	ɪʈiː
اٽٽ	əʈʊʈʊ
اٽڪ	əʈəkə
اٽڪائڻ	əʈkaːɪɳʊ
اٽڪل	əʈkələ
اٽڪلي	əʈkəliː
اٽڪلڻ	əʈkələɳʊ
اٽڪڻ	əʈkəɳʊ
اٽڻ	ʊʈəɳʊ
اپائو	ʊpaːuː
اپائڻ	ʊpaːɪɳʊ
اپائڻهار	ʊpaːɪɳəhaːɾʊ
اپار	əpaːɾʊ
اپاڌ	ʊpaːd̪ʰɪ
اپاڌي	ʊpaːd̪ʰiː
اپاڪ	əpaːkə
اپت	ʊpət̪ɪ
اپجس	əpəd͡ʒəsʊ
اپراسو	ʊpɪɾaːsoː
اپراڌ	əpɪɾaːd̪ʰʊ
اپراڌي	əpɪɾaːd̪ʰiː
اپريل	əpɾeːlʊ
اپسمنڊ	ʊpəsəmʊɳɖʊ
اپل	əpəlʊ
اپنگ	ʊpəŋɡʊ
اپهتو	əpəhət̪oː
اپواس	ʊpʋaːs
اپٽارڻ	ʊpəʈaːɾəɳʊ
اپٽڻ	ʊpəʈəɳʊ
اپڙڻ	ʊpɪɽəɳʊ
اپڪار	ʊpəkaːɾʊ
اپڪاري	ʊpəkaːɾiː
اپڻائڻ	ʊpɪɳaːɪɳʊ
اپڻڻ	ʊpɪɳəɳʊ
اٿارڻ	ʊt̪ʰaːɾəɳʊ
اٿاهه	ət̪ʰaːhʊ
اٿاڻي	ʊt̪ʰaːɳiː
اٿل	ʊt̪ʰələ
اٿلائڻ	ʊt̪ʰɪlaːɪɳʊ
اٿلڻ	ʊt̪ʰɪləɳʊ
اٿي	ʊt̪ʰeː
اٿيڻي	ʊt̪ʰeːɳiː
اٿڙ	ʊt̪ʰəɽə
اٿڙاڻ	ʊt̪ʰɪɽaːɳɪ
اٿڙڻ	ʊt̪ʰɪɽəɳʊ
اٿکاڻي	ʊt̪ʰɪkʰaːɳiː
اٿڪ	ət̪ʰəkʊ
اٿڪائي	ət̪ʰəkaːiː
اٿڻ	ʊʈʰəɳʊ
اڀ	əbʰʊ
اڀارڻ	ʊbʰaːɾəɳʊ
اڀالو	ʊbʰaːloː
اڀامڻ	ʊbʰaːməɳʊ
اڀرندو	ʊbʰɪɾənd̪oː
اڀرڻ	ʊbʰɪɾəɳʊ
اڀل	əbʰʊlʊ
اڀو	ʊbʰoː
اڀوساهه	ʊbʰoːsaːhʊ
اڀيمان	əbʰɪmaːnʊ
اڀيماني	əbʰɪmaːniː
اڀکڙو	ʊbʰəkʰʊɽoː
اڀڻ	ʊbʰəɳʊ
اڃ	ʊɲə
اڃا	əɲaː
اڃارو	ʊɲaːɾoː
اڄ	əʄʊ
اچائڻ	ʊt͡ʃaːɪɳʊ
اچانگڻ	ʊt͡ʃaːŋɡəɳʊ
اچاچيت	ət͡ʃaːt͡ʃeːt̪ɪ
اچل	ət͡ʃəlʊ
اچو	ʊt͡ʃoː
اچيت	ət͡ʃeːt̪ʊ
اچڻ	ət͡ʃəɳ
اڇ	ət͡ʃʰə
اڇئه	ʊt͡ʃʰəʊ
اڇا	ɪt͡ʃʰaː
اڇائڻ	ət͡ʃʰaːɪɳʊ
اڇاترو	ʊt͡ʃʰaːt̪ɪɾoː
اڇانگ	ʊt͡ʃʰaːŋɡʊ
اڇت	ʊt͡ʃʰət̪ʊ
اڇتائي	ət͡ʃʰʊt̪aːiː
اڇر	ət͡ʃʰəɾʊ
اڇل	ʊt͡ʃʰələ
اڇلائڻ	ʊt͡ʃʰɪlaːɪɳʊ
اڇلڻ	ʊt͡ʃʰɪləɳʊ
اڇو	ət͡ʃʰo
اڇٽ	ət͡ʃʰʊʈʊ
اڇڙي	ət͡ʃʰɪɽiː
اڊ	əɖə
اڊوڙڻ	ʊɖoːɽəɳʊ
اڊڙڻ	ʊɖɪɽəɳʊ
اڌ	əd̪ʰʊ
اڌار	ʊd̪ʰaːɾə
اڌارو	ʊd̪ʰaːɾoː
اڌارڻ	ʊd̪ʰaːɾəɳʊ
اڌرمائي	əd̪ʰəɾmaːiː
اڌرمي	əd̪ʰəɾmiː
اڌلڪ	əd̪ʰələkʊ
اڌنالي	əd̪ʰənaːliː
اڌوتر	əd̪ʰoːt̪əɾə
اڌوترو	əd̪ʰoːt̪ɪɾoː
اڌوراڻو	əd̪ʰoːɾaːɳoː
اڌورو	əd̪ʰoːɾoː
اڌومٿو	ʊd̪ʰoːmət̪ʰoː
اڌوڙ	əd̪ʰoːɽə
اڌوڻو	əd̪ʰuːɳoː
اڌيرو	əd̪ʰiːɾoː
اڌيلو	əd̪ʰeːloː
اڌيلي	əd̪ʰeːliː
اڌين	əd̪ʰiːnʊ
اڌڙ	əd̪ʰəɽʊ
اڌڙي	əd̪ʰɪɽiː
اڌڪ	əd̪ʰɪkʊ
اڌگيدو	əd̪ʰəɡiːd̪oː
اڌڻ	ʊd̪ʰəɳʊ
اڍ	əɖʰɪ
اڍائونڻ	əɖʰaːuːɳɳɪ
اڍائي	əɖʰaːiː
اڍائڻو	əɖʰaːɪɳoː
اڍايو	əɖʰaːjoː
اڍنگائي	əɖʰəŋɡaːiː
اڍنگو	əɖʰəŋɡoː
اڍو	ɪɖʰoː
اڍونڻ	əɖʰuːɳɳɪ
اڍونڻو	əɖʰuːɳɳoː
اڏام	ʊɗaːm
اڏرڻ	ʊɗɪɾəɳʊ
اڏوهي	ʊɗoːhiː
اڙدائي	ʊɽd̪aːiː
اڙو	əɽoː
اڙي	əɽiː
اڙڻ	əɽəɳʊ
اڦراٽو	ʊpʰɪɾaːʈoː
اڦونگڙو	ʊpʰuːŋɡɪɽoː
اڦٽ	ʊpʰəʈʊ
اڦڙڪڻ	ʊpʰɪɽkəɳʊ
اک	əkʰ
اکر	əkʰər
اکري	ʊkʰɪɾiː
اکلڻ	ʊkʰɪləɳʊ
اکنڊ	əkʰəɳɖʊ
اکو	əkʰoː
اکيشاهي	əkʰeːʃaːhiː
اکيڙڻ	ʊkʰeːɽəɳʊ
اکٽ	əkʰʊʈʊ
اکٽڻ	ʊkʰəʈəɳʊ
اکڙوٽ	əkʰɪɽoːʈʊ
اکڙڻ	ʊkʰɪɽəɳʊ
اکڻٽيج	əkʰəɳʈiːd͡ʒə
اڪ	əkʊ
اڪائڻ	əkaːɪɳʊ
اڪارڻ	əkaːɾəɳʊ
اڪر	ʊkiːɾə
اڪرمڪ	əkəɾməkə
اڪرڻ	ʊkəɾəɳʊ
اڪرڻي	ʊkɪɾɳiː
اڪس	əkəsʊ
اڪلائڻ	ʊkɪlaːɪɳʊ
اڪلڻ	ʊkɪləɳʊ
اڪمڪڙ	əkəməkəɽʊ
اڪنڙ	ʊkəɳɽə
اڪنڙجڻ	ʊkəɳɽɪd͡ʒəɳʊ
اڪهتر	eːkəhət̪əɾɪ
اڪهه	əkəhʊ
اڪهٺ	eːkəhəʈʰɪ
اڪو	ʊkoː
اڪي	əkiː
اڪيلو	əkeːloː
اڪيلڌو	ɪkiːləd̪ʰoː
اڪيچار	əkiːt͡ʃaːɾʊ
