# ps.wiktionary STRESS referee — undiacritized word ⇥ our IPA with ˈ before the stressed vowel.
# Source: the acute/grave in ps.wiktionary's {{IPA}} romanization. CC-BY-SA; see
# tools/perso-arabic/silver.pswikt-ps.PROVENANCE.md. Consumer: tools/pashto/eval_ps_stress.ts.
# ⚠ POSITION ONLY. The SEGMENTS here come from the same romanization map as the silver and are no
# better than it; what this file is evidence about is WHICH vowel carries the stress.
آرپوهه	ɑrpˈoha
اوربل!	orbˈal
اوربېړۍ	orbeɻˈaj
اورلگيد	orlaɡˈid̪
اوړن	awɻˈan
اورنى	oranˈaj
اوړون	awɻˈun
اوړونى	awɻˈunaj
اوروژنه	orwaʒˈana
اورېدا	awred̪ˈɑ
اوزار	awzˈɑr
اوريز	awrˈiz
اوږد-و	ˈuʐd̪wɑw
اورين	orˈin
اوسند	osˈand̪
اوښتن	awuʂt̪ˈan
اوښتني	awuʂt̪anˈi
اوښتون	awuʂt̪ˈun
اوښتيايي	awʂt̪jɑjˈi
اوستربل	ust̪arbˈal
اوښسپرلي	uʂsparlˈi
اوښسپور	uʂspˈor
اوښغويى	uʂɣwajˈaj
اوښكينى	uʂkˈinaj
اوسمهال	osmahˈɑl
اوښمرغه	uʂmarɣˈaj
اووريز	owrˈiz
اوونيزه	ownˈiza
ايرنۍ	iranˈəj
اېښونى	eʂˈunaj
بامنه	bɑmˈəna
باميال	bɑmjˈɑl
باجپازى	bad͡ʒpˈɑzaj
بهير	bahˈir
باورراى	bɑwarrˈɑj
بادماتى	bɑd̪mˈɑt̪aj
باوري	bɑwarˈi
بادپوهنه	bɑd̪pohˈəna
بارچلند	bɑrt͡ʃalˈand̪
بارگاډى	bɑrɡˈɑɖaj
بختيالى	baxt̪jɑlˈaj
بخرور	baxrawˈɑr
بدري	bad̪rˈi
بداندى	bad̪ˈand̪aj
بدبولى	bad̪bˈolaj
بدسترگى	bad̪st̪ˈərɡaj
بدبولي	bad̪bolˈi
بدسترگي	bad̪st̪ərɡˈi
بدگوماني	bad̪ɡomɑnˈi
بدگڼه	bad̪ɡˈəɳa
بدلبوله	bad̪albˈola
بدلمېچ	bad̪almˈet͡ʃ
بدلوښى	bad̪lˈoʂaj
بډن	baɖˈan
بدنيتى	bad̪njˈat̪aj
بدنيتي	bad̪njat̪ˈi
بډواله	baɖwˈɑla
بدوردى	bad̪wˈard̪aj
بدوين	bad̪wˈin
بډوالى	baɖwˈɑlaj
بډايينه	baɖɑjˈəna
بډيخور	baɖixˈor
بربڼ	barbˈaɳ
برتيايي	bart̪jɑjˈi
برخليك	barxlˈik
بډبول	baɖbˈol
بډگوند	bˈaɖɡwanɖ
برخليكواله	barxlikwˈɑla
برخوال	barxwˈɑl
برمانټه	barmɑnʈˈa
برخيز	barxˈiz
برماڼو	barmɑɳˈu
برسېراند	barseˈɑnd̪
برسېرونه	barserawˈana
برغمن	barɡamˈan
برگړندى	barɡaɻand̪ˈaj
برلاسى	barlɑsˈaj
برمن	bramˈan
برميالى	bramjɑlˈaj
برواله	barwˈɑla
آسپه	ɑspˈa
آمودود	ˈɑmud̪ud̪
استقامت	ist̪iqɑmˈat̪
اسکېلوی	askelwˈaj
بريالى	barjɑlˈaj
برېځر	bared͡zˈar
بريدگر	brid̪ɡˈar
بريديز	brid̪ˈiz
بريدگى	brid̪ɡˈaj
برېښنابند	breʂnɑbˈand̪
بسى	basˈaj
بسياينه	basjɑjˈana
بريكوټ	barikˈoʈ
بريليك	barajlˈik
بشپړاند	baʃpaɻˈɑnd̪
بړېڅى	baɻet͡sˈaj
بسپنغاړى	baspanɣˈɑɻaj
بسنه	basˈana
بسنی	basanˈaj
بشپړتیایي	baʃpaɻt̪jɑjˈi
بښاند	baʂˈɑnd̪
بشپړوال	baʃpaɻwˈɑl
بشپړواله	baʃpaɻwˈɑla
بښاوو	baʂɑwˈu
بلاند	balˈɑnd̪
بلځايي	bald͡zɑjˈi
بلغږ	balɣˈaʐ
بلگړ	balɡˈaɻ
بلنپېر	balanpˈer
بلندره	bland̪rˈa
بلنليك	balanlˈik
بلننښه!	balannˈaʂa
بلهار	balhˈɑr
بلهارځى	balhɑrd͡zˈaj
بلهاري	balhɑrˈi
بلوساك	blosˈɑk
بلوسگر	blosɡˈar
بلوسگرانه	blosɡarɑnˈa
بلېگده	baleɡd̪ˈa
بندروال	band̪arwˈɑl
بندروالي	band̪arwɑlˈi
بلون	balˈun
بندگړ	bˈand̪ɡaɻ
بنديز	band̪ˈiz
بنډارځى	banɖɑrd͡zˈaj
بڼكلوبه	baɳaklˈoba
بڼكه	baɳkˈa
بڼوال	baɳwˈɑl
بنډاري	banɖɑrˈi
بنسټپال	bansaʈpˈɑl
بنسټپالنه	bansaʈpɑlˈana
بڼوالي	baɳwɑlˈi
بڼيالى	baɳjɑlˈaj
بوټپاك	buʈpˈɑk
بنسټگړ	bansaʈɡˈaɻ
بنسټوال	bansaʈwˈɑl
بنسټيز	bansaʈˈiz
بوټپوهاند	buʈpohˈɑnd̪
بوټني	buʈanˈi
بوټياڼه	buʈjˈɑɳa
بودتون	bod̪at̪ˈun
بورڼي	borɳˈi
بولۍ	bolˈaj
بوياره	bujˈɑra
بوږند	bˈoʐand̪
بهرنى	baharanˈaj
بهرونه	baharawˈana
بهنځ	bahˈand͡z
بولـله	bolˈala
بولنتون	bolant̪ˈun
بولندوى	boland̪ˈoj
بولندويى	boland̪ojˈi
بيابانگرځى	bjɑbɑnɡˈard͡zaj
بلوسنه	blosˈana
بولنه	bolˈana
بيازېږد	bjɑzˈeʐd̪
بياژواكي	bjɑʒwɑkˈi
بېوړه	bewˈaɻa
بېواكېدنه	bewɑked̪ˈana
بېواكوږى	bewɑkwˈaʐaj
بېواكبڼه	bewakbˈaɳa
بېلوره	belˈawra
بېلواله	belwˈɑla
بېلنگ	belˈanɡ
بېلگاو	belɡˈɑw
بېلارې	belˈɑre
بېلاري	belɑrˈi
بېلتونپال	belt̪unpˈɑl
بېلتونپالنه	belt̪unpɑlˈana
بېلتيا	belt̪jˈɑ
بېلښتي	belaʂt̪ˈi
بېكوري	bekorˈi
بېغږېدنگ	beɣaʐed̪ˈanɡ
بېسدي	besad̪ˈi
بېسارى	besˈɑraj
بېزاوه	bezˈɑwa
بيروبار	birobˈɑr
بېډاډي	beɖɑɖˈi
بېډاډه	beɖˈɑɖa
بېدينواله	bed̪inwˈɑl
بېدويي	bed̪ojˈi
بېدويه	bed̪ˈoja
بېدودي	bed̪od̪ˈi
بېدوده	bed̪ˈod̪a
بېخلي	bexalˈi
بېځواكي	bed͡zwɑkˈi
بېخبندى	bexband̪ˈaj
بېچار	bet͡ʃˈɑr
بېپلوه	bepalˈawa
پاتېوالى	pɑt̪ewˈɑlaj
پاڅون	pɑt͡sˈun
پاڅوني	pɑt͡sunˈi
پارچاو	pɑrt͡ʃˈɑw
پارند	pˈɑrand̪
پارويى	parwajˈaj
پاړكى	pˈɑɻkaj
پاړكيز	pɑɻkˈiz
پاړكيوال	pɑɻkiwˈɑl
پاسگر	pɑsɡˈar
پاسلنليك	pɑslanlˈik
پازپېژاند	pɑzpeʒˈɑnd̪
پازوال	pɑzwˈɑl
پازوالي	pɑzwɑlˈi
پاسلنه	pɑslˈana
پاسوالزى	pɑswɑlzˈaj
پاسوالي	pɑswɑlˈi
پاسلونى	pɑslˈunaj
پاسلېيلى	pɑslejˈalaj
پاسوال	pɑswˈɑl
پاكزړى	pɑkzˈaɻaj
پاكسازي	pɑksɑzˈi
پالندوى	pɑlənd̪ˈoj
پالوال	pɑlwˈɑl
پاليال	pɑljˈɑl
پاكلمنې	pɑklamˈəne
پاكلمني	pɑklamənˈi
پاملرنه	pɑmlarˈəna
پاموړ	pɑmwˈaɻ
پاميالى	pɑmjɑlˈaj
پانگارتى	pɑnɡˈart̪aj
پانگواك	pɑnɡwˈɑk
پالنځى	pɑlənd͡zˈaj
پانگواكي	pɑnɡwɑkˈi
پانگواله	pɑnɡwˈɑla
پانگونه	pɑnɡawˈəna
پانگيز	pɑnɡˈiz
پايڅوړ	pɑjt͡sˈoɻ
پاڼرېژ	pɑɳrˈeʒ
پايلغونډله	pɑjlɣˈonɖla
پايلوبه	pɑjlˈoba
پايلنيوى	pɑjlniwˈaj
پايله	pˈɑjla
پايليزه	pɑjlˈiza
پتوال	pat̪wˈɑl
پايليك	pɑjlˈik
پتېينه	pat̪ejˈəna
پايمخ	pˈɑjmax
پايند	pˈɑjənd̪
پاينه	pɑjˈana
پتليك	pat̪lˈik
پټپوهاند	pəʈpohˈɑnd̪
پټكارى	pəʈkˈɑraj
پټكاري	pəʈkɑrˈi
پټنځى	paʈənd͡zˈaj
پټه	pˈaʈa
پتمن	pat̪mˈan
پخساكگر	paxsɑkɡˈar
پخاولى	paxɑwlˈaj
پخلنځى	paxland͡zˈaj
پخلى	paxlˈaj
پخوونى	paxawˈunaj
پراختيايي	prɑxt̪jɑjˈi
پرانسي	prɑnsˈi
پراختيا	prɑxt̪jˈɑ
پرانېسته	prɑnˈist̪a
پرتلاند	part̪alˈɑnd̪
پرتلوال	part̪alwˈɑl
پرتلواله	part̪alwˈɑl
پرتله	part̪alˈa
پرتليز	part̪alˈiz
پرتمناك	part̪amnˈɑk
پرديپالنه	prad̪ipɑlˈana
پرتمين	part̪amˈin
پرتندغبرگغږ	prˈat̪and̪ɣbarɡɣaʐ
پرشاتگپال	parʃɑt̪aɡpˈɑl
پرشاتگواله	parʃɑt̪aɡwˈɑla
پرشاتگى	parʃɑt̪ˈaɡaj
پرگنيز	parɡanˈiz
پرلپسې	parlapsˈe
پرشاتمبونه	parʃɑt̪ambawˈana
پرغزناك	parɣaznˈɑk
پرغزي	parɣazˈi
پرگنوال	parɡanwˈɑl
پرگنواله	parɡanwˈɑla
پرمختگ	parmaxt̪ˈaɡ
پرمخيون	parmaxjˈun
پرمختگپال	parmaxt̪aɡpˈɑl
پرمختگواله	parmaxt̪aɡwˈɑla
پرمختلى	pərməxt̪ˈəlaj
پرېژه	prˈeʒa
پرېښه	prˈeʂa
پرېكړونى	prekɻˈunaj
پرېكړه	prˈekɻa
پرمختيا	pərməxt̪jˈɑ
پرمختيايي	pərməxt̪jɑjˈi
پېيلى	pejˈəlaj
پېيلتيا	pejəlt̪jˈɑ
پيوستون	pajwast̪ˈun
پيمالگر	pajmɑlɡˈar
پيليز	pajlˈiz
پيلول	pajlawˈal
پيلواستى	pajlwˈast̪aj
پيلوان	pilwˈɑn
پېلنه	pelˈəna
پيلند	pˈajlənd̪
پيلامه	pajlɑmˈa
پيلناښ	pilnˈɑʂ
پيلگر	pajlɡˈar
پيلغاښ	pilɣˈɑʂ
پيلامگر	pajlɑmɡˈar
پيلام	pajlˈɑm
پېغليستان	peɣlist̪ˈɑn
استوگنځی	ast̪oɡand͡zˈaj
انگيويى	anɡiwajˈaj
اهنگ	ahˈanɡ
باورليک	bɑwarlˈik
بونگه	bonɡˈa
پرگنه	parɡanˈa
