# Hebrew (he) pronunciation lexicon — skeleton (unvocalized) <TAB> niqqud (vocalized). A LOOKUP layer for the
# Phase-A wordlist: a Hebrew Wikipedia frequency ranking (hewiki dump, CC-BY-SA — ranking only; the niqqud
# content is Phonikud output validated by ReNikud, both CC-BY — see tools/hebrew/build-lexicon.py).
# neural path: a known skeleton renders via phonemizeWord(niqqud) — i.e. through OUR g2p, so it auto-tracks our
# canonical convention (the glottal rule etc.). OOV words + HOMOGRAPHS fall through to the context tagger.
# Built (tools/hebrew/build-lexicon.py): Phonikud's diacritization of the frequency list, VALIDATED where our
# g2p rendering of it agrees with ReNikud (audio-supervised), with homograph skeletons EXCLUDED (left to the
# tagger's context). Net-positive on BOTH referees — human Nakdimon holdout 86.5→87.8, independent gt.tsv
# 64.8→66.7. Eval-validated; the niqqud is a reading only (rendered through our convention, never PK's IPA).
של	שֶׁל
שבהם	שֶׁבָּהֶם
תקופה	תְּקוּפָה
המועצות	הַמּוֹעָצוֹת
רוסיה	רוּסְיָה
פרקים	פְּרָקִים
אפריקה	אַפְרִיקָה
האי	הָאִי
בגלל	בִּגְלַל
נוספות	נוֹסָפוֹת
החדשה	הַחֲדָשָׁה
ידוע	יָדוּעַ
נולדה	נוֹלְדָה
ספרים	סְפָרִים
כדורגל	כַּדּוּרֶגֶל
העליון	הָעֶלְיוֹן
הראשונים	הָרִאשׁוֹנִים
לכן	לָכֵן
הזמן	הַזְּמַן
סרטים	סְרָטִים
מדינת	מְדִינַת
מין	מִין
עולם	עוֹלָם
אור	אוֹר
שר	שַׂר
לעשות	לַעֲשׂוֹת
הגדולה	הַגְּדוֹלָה
עיר	עִיר
עבודה	עֲבוֹדָה
שלי	שֶׁלִּי
סוף	סוֹף
תשע	תֵּשַׁע
העבודה	הָעֲבוֹדָה
אמריקה	אָמֵרִיקָה
הנשיא	הַנָּשִׂיא
תיאטרון	תֵּיאַטְרוֹן
מצד	מִצַּד
מוזיקה	מוּזִיקָה
שיא	שִׂיא
משפחת	מִשְׁפַּחַת
משפחה	מִשְׁפָּחָה
עמ	עַמ
כתוצאה	כְּתוֹצָאָה
בהן	בָּהֶן
סיים	סִייֵּם
אחרת	אַחֶרֶת
רשת	רֶשֶׁת
הדין	הַדִּין
כחלק	כְּחֵלֶק
כהן	כֹּהֵן
לקראת	לִקְרַאת
והיה	וְהָיָה
שינוי	שִׁינּוּי
החלו	הֵחֵלּוּ
לישראל	לְיִשְׂרָאֵל
ביניהם	בֵּינֵיהֶם
הר	הָר
גדולה	גְּדוֹלָה
למעשה	לְמַעֲשֶׂה
משום	מִשּׁוּם
אולי	אוּלַי
לקבל	לְקַבֵּל
נקרא	נִקְרָא
מזרח	מִזְרָח
תמונות	תְּמוּנוֹת
גביע	גְּבִיעַ
כסף	כֶּסֶף
תקופת	תְּקוּפַת
מחקר	מֶחְקָר
איטליה	אִיטַלְיָה
העל	הָעַל
והן	וְהֵן
התיכון	הַתִּיכוֹן
להשתמש	לְהִשְׁתַּמֵּשׁ
במקביל	בְּמַקְבִּיל
סדרה	סִדְרָה
חזר	חָזַר
הארגון	הָאִרְגּוּן
עצמה	עַצְמָהּ
שזה	שֶׁזֶּה
מחוץ	מִחוּץ
הבחירות	הַבְּחִירוֹת
ההצבעה	הַהַצְבָּעָה
צבי	צְבִי
קריירה	קַרְיֵירָה
רמת	רָמַת
חשיבות	חֲשִׁיבוּת
כיהן	כִּיהֵן
בהתאם	בְּהֶתְאֵם
ארבעה	אַרְבָּעָה
השתתף	הִשְׁתַּתֵּף
בתל	בְּתֵל
הליגה	הַלִּיגָה
לפחות	לְפָחוֹת
בתחרות	בְּתַחֲרוּת
ספרד	סְפָרַד
קישור	קִישּׁוּר
המשפחה	הַמִּשְׁפָּחָה
עת	עֵת
גיל	גִּיל
חדשה	חֲדָשָׁה
לערך	לְעֵרֶךְ
במחוז	בַּמָּחוֹז
בעונת	בְּעוֹנַת
הרפובליקה	הָרֶפּוּבְּלִיקָה
הכוחות	הַכּוֹחוֹת
מצב	מַצָּב
עורך	עוֹרֵך
משפט	מִשְׁפָּט
אבן	אֶבֶן
השלישית	הַשְּׁלִישִׁית
מפה	מִפֹּה
המרכז	הַמֶּרְכָּז
הערכים	הָעֲרָכִים
נכתב	נִכְתַּב
התנועה	הַתְּנוּעָה
צבאי	צְבָאִי
ההגנה	הַהֲגָנָה
הביטחון	הַבִּיטָּחוֹן
הבא	הַבָּא
אינטרנט	אִינְטֶרְנֵט
בניגוד	בְּנִיגּוּד
להגיע	לְהַגִּיעַ
הזהב	הַזָּהָב
אמר	אָמַר
פשוט	פָּשׁוּט
תהליך	תַּהֲלִיך
גבוהה	גְּבוֹהָה
זוכי	זוֹכִי
ספורט	סְפּוֹרְט
גן	גַּן
המוזיקה	הַמּוּזִיקָה
הפכה	הָפְכָה
ארבע	אַרְבַּע
ימין	יָמִין
ויליאם	וִילְיָאם
עונת	עוֹנַת
מעט	מְעַט
תרבות	תַּרְבּוּת
החינוך	הַחִינּוּך
עברה	עָבְרָה
האמריקאי	הָאָמֵרִיקָאִי
סין	סִין
השימוש	הַשִּׁימּוּשׁ
תחילת	תְּחִילַּת
המים	הַמַּיִם
הופיע	הוֹפִיעַ
הנבחרים	הַנִּבְחָרִים
יחסית	יַחֲסִית
העם	הָעָם
החוץ	הַחוּץ
דניאל	דָּנִיאֵל
אוסטרליה	אוֹסְטְרַלְיָה
אשתו	אִשְׁתּוֹ
היישוב	הַיִּישּׁוּב
גברים	גְּבָרִים
מתחת	מִתַּחַת
מאיר	מֵאִיר
הוקמה	הוּקְמָה
הטובה	הַטּוֹבָה
הסכם	הֶסְכֵּם
המקום	הַמָּקוֹם
דמויות	דְּמוּיוֹת
כנגד	כְּנֶגֶד
מנהל	מְנַהֵל
קרן	קֶרֶן
דגל	דֶּגֶל
מכך	מִכָּךְ
והם	וְהֵם
חדשות	חֲדָשׁוֹת
פעיל	פָּעִיל
מלחמה	מִלְחָמָה
המועצה	הַמּוֹעָצָה
בעזרת	בְּעֶזְרַת
הרוסית	הָרוּסִית
מופיע	מוֹפִיעַ
לוי	לֵוִי
ביחד	בְּיַחַד
וידוא	וִידוּא
ברור	בָּרוּר
דיון	דִּיּוּן
השלטון	הַשִּׁלְטוֹן
בעלת	בַּעֲלַת
הבריטית	הַבְּרִיטִית
הוקם	הוּקַם
השחקן	הַשַּׂחְקָן
הצטרף	הִצְטָרֵף
הללו	הַלָּלוּ
משתמשים	מִשְׁתַּמְּשִׁים
חוץ	חוּץ
האמריקאית	הָאָמֵרִיקָאִית
חד	חַד
המרכזי	הַמֶּרְכָּזִי
משפחתו	מִשְׁפַּחְתּוֹ
ושל	וְשֶׁל
תנועת	תְּנוּעַת
הצי	הַצִּי
ערוץ	עָרוּץ
זכות	זְכוּת
אנגלית	אַנְגְּלִית
למען	לְמַעַן
ריצ	רִיצ
החולים	הַחוֹלִים
לונדון	לוֹנְדוֹן
הדבר	הַדָּבָר
חינוך	חִינּוּך
שמואל	שְׁמוּאֵל
תוצאה	תּוֹצָאָה
אמריקאיות	אָמֵרִיקָאִיּוֹת
האזור	הָאֵזוֹר
פולין	פּוֹלִין
הגרמני	הַגֶּרְמָנִי
כדור	כַּדּוּר
התקופה	הַתְּקוּפָה
הנראה	הַנִּרְאֶה
ראשונה	רִאשׁוֹנָה
פרסם	פִּרְסֵם
פרי	פְּרִי
בליגה	בַּלִּיגָה
לבצע	לְבַצֵּעַ
מצרים	מִצְרַיִם
הצבעה	הַצְבָּעָה
ועדת	וַעֲדַת
האחרונה	הָאַחֲרוֹנָה
רוברט	רוֹבֵּרְט
אפילו	אֲפִילּוּ
ריצה	רִיצָה
ערב	עֶרֶב
גדולים	גְּדוֹלִים
פול	פּוֹל
הדרך	הַדֶּרֶךְ
סיפור	סִיפּוּר
שאני	שֶׁאֲנִי
תמיד	תָּמִיד
האקדמיה	הָאָקָדֶמְיָה
טובה	טוֹבָה
קרובות	קְרוֹבוֹת
אישיים	אִישִׁיִּים
אכן	אָכֵן
משמש	מְשַׁמֵּשׁ
בסופו	בְּסוֹפוֹ
כנראה	כַּנִּרְאֶה
הצעיר	הַצָּעִיר
המבנה	הַמִּבְנֶה
שחקנים	שַׂחְקָנִים
מקורות	מְקוֹרוֹת
להקת	לַהֲקַת
הצבאי	הַצְּבָאִי
במקור	בַּמָּקוֹר
העת	הָעֵת
נושא	נוֹשֵׂא
קול	קוֹל
מלא	מָלֵא
השירים	הַשִּׁירִים
אלף	אֶלֶף
דן	דָּן
בזכות	בִּזְכוּת
מפלגת	מִפְלֶגֶת
מועצת	מוֹעֶצֶת
הכללי	הַכְּלָלִי
ליגת	לִיגַת
אילן	אִילָן
שום	שׁוּם
הופעת	הוֹפָעַת
היחיד	הַיָּחִיד
סמל	סֵמֶל
הונגריה	הוּנְגַּרְיָה
קיימת	קַיֶּימֶת
סיטי	סִיטִי
פיתוח	פִּיתּוּחַ
הרכבת	הָרַכֶּבֶת
לס	לֵס
ראשית	רֵאשִׁית
יפן	יַפָּן
הכוח	הַכּוֹחַ
עונות	עוֹנוֹת
הצפונית	הַצְּפוֹנִית
גוף	גּוּף
רשמי	רִשְׁמִי
חברים	חֲבֵרִים
הקונגרס	הַקּוֹנְגְּרֵס
אנגליה	אַנְגְּלִיָּה
ישנם	יֶשְׁנָם
ממוצא	מִמּוֹצָא
הקברות	הַקְּבָרוֹת
בגרמניה	בְּגֶרְמַנְיָה
גרמנים	גֶּרְמָנִים
מספיק	מַסְפִּיק
המועדון	הַמּוֹעֲדוֹן
עזה	עַזָּה
קיבלה	קִיבְּלָה
מאשר	מֵאֲשֶׁר
אלוף	אַלּוּף
הימים	הַיָּמִים
רישיון	רִישָּׁיוֹן
הציבור	הַצִּיבּוּר
שידור	שִׁידּוּר
עץ	עֵץ
חושב	חוֹשֵׁב
המילה	הַמִּילָּה
השואה	הַשּׁוֹאָה
סיימה	סִייְּמָה
עובד	עוֹבֵד
עליהם	עֲלֵיהֶם
מסע	מַסָּע
עברית	עִבְרִית
תומאס	תּוֹמָאס
הדרומית	הַדְּרוֹמִית
הרשמי	הָרִשְׁמִי
לתת	לָתֵת
מתאימה	מַתְאִימָה
אמריקאית	אָמֵרִיקָאִית
רקורדס	רֵקוֹרְדְס
הגרמנית	הַגֶּרְמָנִית
אישי	אִישִׁי
יהדות	יַהֲדוּת
הכפר	הַכְּפָר
פריז	פָּרִיז
הקריירה	הַקַּרְיֵירָה
תפקידים	תַּפְקִידִים
הנשים	הַנָּשִׁים
חמישה	חֲמִישָּׁה
מרבית	מַרְבִּית
נשק	נֶשֶׁק
ממש	מַמָּשׁ
הצרפתית	הַצָּרְפָתִית
ואז	וְאָז
העות	הָעוֹת
החמישי	הַחֲמִישִׁי
נתן	נָתָן
שגם	שֶׁגַּם
אסיה	אַסְיָה
תחנת	תַּחֲנַת
לחלוטין	לַחֲלוּטִין
המערבית	הַמַּעֲרָבִית
דמות	דְּמוּת
הקים	הֵקִים
בשיתוף	בְּשִׁיתּוּף
מעמד	מַעֲמָד
דוקטור	דּוֹקְטוֹר
שניתן	שֶׁנִּיתָּן
פרופסור	פְּרוֹפֵסוֹר
שנערכה	שֶׁנֶּעֶרְכָה
התרבות	הַתַּרְבּוּת
טען	טָעַן
קטנים	קְטַנִּים
תהיה	תִּהְיֶה
ההיסטוריה	הַהִיסְטוֹרְיָה
שנתיים	שְׁנָתַיִים
טקסט	טֶקְסְט
מילים	מִילִּים
דברים	דְּבָרִים
לשחק	לְשַׂחֵק
חמש	חָמֵשׁ
נכנס	נִכְנָס
המחקר	הַמֶּחְקָר
אוגוסט	אוֹגוּסְט
אריה	אַרְיֵה
הצרפתי	הַצָּרְפָתִי
בעיות	בְּעָיוֹת
רכב	רֶכֶב
אפשרות	אֶפְשָׁרוּת
לשיר	לָשִׁיר
הגדולים	הַגְּדוֹלִים
השאר	הַשְּׁאָר
דירוג	דֵּירוּג
מדליות	מֵדַלְיוֹת
טיפול	טִיפּוּל
לנו	לָנוּ
ויש	וְיֵשׁ
מגיע	מַגִּיעַ
פארק	פַּארְק
קטנה	קְטַנָּה
יולי	יוּלִי
ברזל	בַּרְזֶל
אישה	אִישָּׁה
המצב	הַמַּצָּב
מוסקבה	מוֹסְקְבָה
בסיבוב	בְּסִיבּוּב
מבנים	מִבְנִים
בצרפת	בְּצָרְפַת
נערך	נֵעֱרַךְ
המקור	הַמָּקוֹר
רשמית	רִשְׁמִית
הדיון	הַדִּיּוּן
הביניים	הַבֵּינַיִים
המשטרה	הַמִּשְׁטָרָה
להוסיף	לְהוֹסִיף
פטירה	פְּטִירָה
תורה	תּוֹרָה
בהוצאת	בְּהוֹצָאַת
השתתפה	הִשְׁתַּתְּפָה
ממלכת	מַמְלֶכֶת
הנושא	הַנּוֹשֵׂא
אבי	אָבִי
עריכה	עֲרִיכָה
שחקנית	שַׂחְקָנִית
התמונה	הַתְּמוּנָה
אודות	אוֹדוֹת
השניים	הַשְּׁנַיִים
להעביר	לְהַעֲבִיר
לשנות	לְשַׁנּוֹת
מיקום	מִיקּוּם
המערכת	הַמַּעֲרֶכֶת
מאחר	מְאַחַר
שאר	שְׁאָר
עצמם	עַצְמָם
תושבים	תּוֹשָׁבִים
זוג	זוּג
הדמוקרטית	הַדֵּמוֹקְרָטִית
סדר	סֵדֶר
האנגלית	הָאַנְגְּלִית
תמיכה	תְּמִיכָה
הוציא	הוֹצִיא
החליט	הֶחְלִיט
ניצח	נִיצֵּחַ
בלונדון	בְּלוֹנְדוֹן
דרור	דְּרוֹר
סיבוב	סִיבוּב
שרה	שָׂרָה
בראשית	בְּרֵאשִׁית
תחילה	תְּחִילָּה
ליגה	לִיגָה
נמצאת	נִמְצֵאת
מינים	מִינִים
סנט	סֵנְט
מועדון	מוֹעֲדוֹן
תחרות	תַּחֲרוּת
גנרל	גֵּנֵרָל
משמעותי	מַשְׁמָעוּתִי
ורק	וְרַק
מיכאל	מִיכָאֵל
צבע	צֶבַע
אותן	אוֹתָן
גבי	גַּבִּי
הסינגל	הַסִּינְגֶּל
האזרחים	הָאֶזְרָחִים
כאלה	כָּאֵלֶּה
חטיבת	חֲטִיבַת
ייתכן	יִיתָּכֵן
עדכון	עִדְכּוּן
הסיפור	הַסִּיפּוּר
הגוף	הַגּוּף
מקרה	מִקְרֶה
יחיד	יָחִיד
ברוב	בְּרוֹב
כוכב	כּוֹכָב
מרטין	מַרְטִין
לוח	לוּחַ
שיתוף	שִׁיתּוּף
המחוז	הַמָּחוֹז
מריה	מַרְיָּה
שירה	שִׁירָה
בהיסטוריה	בַּהִיסְטוֹרְיָה
דם	דָּם
לבנון	לְבָנוֹן
מזון	מָזוֹן
המשחקים	הַמִּשְׂחָקִים
בעד	בְּעַד
מלבד	מִלְּבַד
חנה	חַנָּה
הולנד	הוֹלַנְד
השיחה	הַשִּׂיחָה
פרויקט	פְּרוֹיֵקְט
השונים	הַשּׁוֹנִים
שינויים	שִׁינּוּיִים
חלקים	חֲלָקִים
שיחקה	שִׂיחֲקָה
השפעה	הַשְׁפָּעָה
יפו	יָפוֹ
גישה	גִּישָׁה
מורשת	מוֹרֶשֶׁת
משקל	מִשְׁקָל
המלכותי	הַמַּלְכוּתִי
השחקנים	הַשַּׂחְקָנִים
דת	דָּת
העולמי	הָעוֹלָמִי
יישובים	יִישּׁוּבִים
העיקרי	הָעִיקָּרִי
חולים	חוֹלִים
הכולל	הַכּוֹלֵל
איראן	אִירָאן
בנימין	בִּנְיָמִין
הוביל	הוֹבִיל
הדמות	הַדְּמוּת
משמעות	מַשְׁמָעוּת
פוליטית	פּוֹלִיטִית
כותב	כּוֹתֵב
עסקים	עֲסָקִים
עובדים	עוֹבְדִים
מאמרים	מַאֲמָרִים
ועם	וְעִם
פרופ	פְּרוֹפּ
דגם	דֶּגֶם
צפיות	צְפִיּוֹת
המערבי	הַמַּעֲרָבִי
רוק	רוֹק
בעיה	בְּעָיָה
המרכזית	הַמֶּרְכָּזִית
שנערך	שֶׁנֶּעֱרַךְ
התחרות	הַתַּחֲרוּת
אורי	אוּרִי
הפרק	הַפֶּרֶק
עומד	עוֹמֵד
עברו	עָבְרוּ
כוללת	כּוֹלֶלֶת
קילומטרים	קִילוֹמֶטְרִים
המכון	הַמָּכוֹן
שלטונית	שִׁלְטוֹנִית
בצבא	בַּצָּבָא
במידה	בְּמִידָּה
תבניות	תַּבְנִיּוֹת
בראשות	בְּרָאשׁוּת
הבאה	הַבָּאָה
התורה	הַתּוֹרָה
משמעותית	מַשְׁמָעוּתִית
צילום	צִילּוּם
יתר	יֶתֶר
בסמוך	בְּסָמוּך
גל	גַּל
המזרחי	הַמִּזְרָחִי
החוף	הַחוֹף
הסרטים	הַסְּרָטִים
אוסטריה	אוֹסְטְרִיָּה
לעברית	לְעִבְרִית
מעולם	מֵעוֹלָם
הרומית	הָרוֹמִית
הטבע	הַטֶּבַע
מזה	מִזֶּה
נמצאים	נִמְצָאִים
הסבר	הֶסְבֵּר
ברלין	בֶּרְלִין
מנחם	מְנַחֵם
שמעון	שִׁמְעוֹן
הצפון	הַצָּפוֹן
קולות	קוֹלוֹת
וזה	וְזֶה
מקומות	מְקוֹמוֹת
דעת	דַּעַת
חג	חַג
יוצא	יוֹצֵא
עיצוב	עִיצּוּב
עשוי	עָשׂוּי
רומא	רוֹמָא
צעיר	צָעִיר
שכתב	שֶׁכָּתַב
הנבחרת	הַנִּבְחֶרֶת
שלישי	שְׁלִישִׁי
בחברה	בַּחֶבְרָה
השפה	הַשָּׂפָה
דור	דּוֹר
אמנים	אׇמָּנִים
אותי	אוֹתִי
נולדו	נוֹלְדוּ
נוצר	נוֹצַר
יוצרים	יוֹצְרִים
העברי	הָעִבְרִי
באמת	בֶּאֱמֶת
הגבול	הַגְּבוּל
הגרמנים	הַגֶּרְמָנִים
בניצחון	בְּנִּיצָּחוֹן
יאיר	יָאִיר
אמו	אִמּוֹ
תפקידו	תַּפְקִידוֹ
אהבה	אַהֲבָה
דרמה	דְּרָמָה
שפות	שָׂפוֹת
מיליארד	מִילְיַארְד
חוזר	חוֹזֵר
העשרים	הָעֶשְׂרִים
הקיסר	הַקֵּיסָר
האלה	הָאֵלֶּה
לצאת	לָצֵאת
הצפוני	הַצְּפוֹנִי
לנשים	לְנָשִׁים
אפריל	אַפְּרִיל
בגרמנית	בְּגֶרְמָנִית
הזוג	הַזּוּג
אנחנו	אֲנַחְנוּ
האחים	הָאַחִים
הכדורגל	הַכַּדּוּרֶגֶל
שיטת	שִׁיטַת
לימים	לְיָמִים
קל	קַל
השתתפו	הִשְׁתַּתְּפוּ
מסלול	מַסְלוּל
הרשות	הָרָשׁוּת
שישה	שִׁישָּׁה
הפרלמנט	הַפַּרְלָמֵנְט
העולמית	הָעוֹלָמִית
גדוד	גְּדוּד
אדוארד	אֵדוּאַרְד
גדולות	גְּדוֹלוֹת
תחום	תְּחוּם
סמוך	סָמוּך
מפעל	מִפְעָל
הודיע	הוֹדִיעַ
החלק	הַחֵלֶק
מועדונים	מוֹעֲדוֹנִים
רבנים	רַבָּנִים
ציור	צִיּוּר
הקודם	הַקּוֹדֵם
פסטיבל	פֶסְטִיבָל
ביטוי	בִּיטּוּי
לטובת	לְטוֹבַת
זילנד	זִילַנְד
אלבומים	אַלְבּוֹמִים
עולמית	עוֹלָמִית
גרמני	גֶּרְמָנִי
הצליחו	הִצְלִיחוּ
שבת	שַׁבָּת
העיתון	הָעִיתּוֹן
אוקטובר	אוֹקְטוֹבֶּר
השטח	הַשֶּׁטַח
הבאים	הַבָּאִים
הפקה	הֲפָקָה
פעמיים	פַּעֲמַיִים
פיקוד	פִּיקּוּד
מהן	מֵהֵן
להמשיך	לְהַמְשִׁיךְ
כותרת	כּוֹתֶרֶת
כה	כֹּה
