# ⚠ THE LABIOVELAR SUB-SERIES: FIVE MEMBERS EACH, AND THE ORDER IS ⟨ʷə ʷi ʷa ʷe ʷɨ⟩.
# `makeGeezG2P` reads a fidel with no row here as the EMPTY STRING, so a missing member deletes its whole
# syllable: `ኲናት` ('war') read *nat*, `ቊጽሪ` ('number') read *t͡sʼɨɾi*. `silentCharsIn` reported ⟨ኲ⟩ ×28 and
# ⟨ቊ⟩ ×6 on that, and enumerating the Unicode block showed it was systematic — KXW ⟨ዀ ዂ ዃ ዄ ዅ⟩ and QHW
# ⟨ቘ ቚ ቛ ቜ ቝ⟩ were complete and correct, while QW/KW/GW held THREE of five each AND mapped their 1st-order
# member (ETHIOPIC SYLLABLE QWA/KWA/GWA) to the 5th order's vowel — ቈ kʼʷe, ኰ kʷe, ጐ ɡʷe.
# The 1st order is /ə/ everywhere else in THIS FILE (ሀ hə, ዀ xʷə, ቘ kʼʷə) and the 5th is /e/ (ሄ he), so the
# file contradicted itself. The epitran tir-Ethi referee agrees: ቈለ qʷələ, ኰርኰረ kʷərɨkʷərə, ተርጐመ tərɨɡʷəmə.
# ⚠ ጔ and ቌ have ZERO corpus instances and are written anyway — a series with one member left out is the
# defect this note exists to explain, and leaving the same hole in a different order repeats it.
ሀ	hə
ኧ	ʔwa
ከ	kə
ኩ	ku
ኪ	ki
ካ	ka
ኬ	ke
ክ	kɨ
ኮ	ko
ኳ	kʷa
ኰ	kʷə
ኲ	kʷi
ኴ	kʷe
ኵ	kʷɨ
ወ	wə
ዉ	wu
ዊ	wi
ዋ	wa
ዌ	we
ው	wɨ
ዎ	wo
ዐ	ʕə
ዑ	ʕu
ዒ	ʕi
ዓ	ʕa
ዔ	ʕe
ዕ	ʕɨ
ዖ	ʕo
ዘ	zə
ዙ	zu
ዚ	zi
ዛ	za
ዜ	ze
ዝ	zɨ
ዞ	zo
ዟ	zʷa
የ	jə
ዩ	ju
ዪ	ji
ያ	ja
ዬ	je
ይ	jɨ
ዮ	jo
ደ	də
ዱ	du
ዲ	di
ዳ	da
ዴ	de
ድ	dɨ
ዶ	do
ዷ	dʷa
ገ	ɡə
ጉ	ɡu
ጊ	ɡi
ጋ	ɡa
ጌ	ɡe
ግ	ɡɨ
ጎ	ɡo
ጓ	ɡʷa
ጒ	ɡʷi
ጕ	ɡʷɨ
ጠ	tʼə
ጡ	tʼu
ጢ	tʼi
ጣ	tʼa
ጤ	tʼe
ጥ	tʼɨ
ጦ	tʼo
ጧ	tʼʷa
ጰ	pʼə
ጱ	pʼu
ጲ	pʼi
ጳ	pʼa
ጴ	pʼe
ጵ	pʼɨ
ጶ	pʼo
ጷ	pʼʷa
ጸ	t͡sʼə
ጹ	t͡sʼu
ጺ	t͡sʼi
ጻ	t͡sʼa
ጼ	t͡sʼe
ጽ	t͡sʼɨ
ጾ	t͡sʼo
ጿ	t͡sʼʷa
ፀ	t͡sʼə
ፁ	t͡sʼu
ፂ	t͡sʼi
ፃ	t͡sʼa
ፄ	t͡sʼe
ፅ	t͡sʼɨ
ፆ	t͡sʼo
ፈ	fə
ፉ	fu
ፊ	fi
ፋ	fa
ፌ	fe
ፍ	fɨ
ፎ	fo
ፏ	fʷa
ፚ	fjə
ፐ	pə
ፑ	pu
ፒ	pi
ፓ	pa
ፔ	pe
ፕ	pɨ
ፖ	po
ፗ	pʷa
ሸ	ʃə
ሹ	ʃu
ሺ	ʃi
ሻ	ʃa
ሼ	ʃe
ሽ	ʃɨ
ሾ	ʃo
ሿ	ʃwa
ቐ	kʼə
ቑ	kʼu
ቒ	kʼi
ቓ	kʼa
ቔ	kʼe
ቕ	kʼɨ
ቖ	kʼo
ቘ	kʼʷə
ቝ	kʼʷi
ቛ	kʼʷa
ቜ	kʼʷe
ቚ	kʼʷɨ
ቨ	və
ቩ	vu
ቪ	vi
ቫ	va
ቬ	ve
ቭ	vɨ
ቮ	vo
ቯ	vʷa
ቸ	t͡ʃə
ቹ	t͡ʃu
ቺ	t͡ʃi
ቻ	t͡ʃa
ቼ	t͡ʃe
ች	t͡ʃɨ
ቾ	t͡ʃo
ቿ	t͡ʃʷa
ⶓ	ŋʷə
ⶔ	ŋʷi
ⶕ	ŋʷe
ⶖ	ŋʷɨ
ኘ	ɲə
ኙ	ɲu
ኚ	ɲi
ኛ	ɲa
ኜ	ɲe
ኝ	ɲɨ
ኞ	ɲo
ኟ	ɲʷa
ኸ	xə
ኹ	xu
ኺ	xi
ኻ	xa
ኼ	xe
ኽ	xɨ
ኾ	xo
ዀ	xʷə
ዂ	xʷi
ዃ	xʷa
ዄ	xʷe
ዅ	xʷɨ
ዠ	ʒə
ዡ	ʒu
ዢ	ʒi
ዣ	ʒa
ዤ	ʒe
ዥ	ʒɨ
ዦ	ʒo
ዧ	ʒʷa
ጀ	d͡ʒə
ጁ	d͡ʒu
ጂ	d͡ʒi
ጃ	d͡ʒa
ጄ	d͡ʒe
ጅ	d͡ʒɨ
ጆ	d͡ʒo
ጇ	d͡ʒʷa
ጘ	ŋə
ጙ	ŋu
ጚ	ŋi
ጛ	ŋa
ጜ	ŋe
ጝ	ŋɨ
ጞ	ŋo
ጟ	ŋʷa
ጨ	t͡ʃʼə
ጩ	t͡ʃʼu
ጪ	t͡ʃʼi
ጫ	t͡ʃʼa
ጬ	t͡ʃʼe
ጭ	t͡ʃʼɨ
ጮ	t͡ʃʼo
ጯ	t͡ʃʼʷa
ጐ	ɡʷə
ጔ	ɡʷe
