مقدمة	مُقَدَّمَ
الإسلامية	الْإِسْلَامِيَّ
يجد	يَجِدْ
أنها	أَنَّهَا
تأسست	تَأَسَّسَتْ
والمنطق	وَالْمَنْطِق
والموضوعية	وَالْمَوْضُوعِيَّ
فأصبحت	فَأَصْبَحَتْ
رافدا	رَافِدا
مهما	مَهْمَا
للحضارات	لِلْحَضَارَات
الإنسانية	الْإِنْسَانِيَّ
تأخذ	تَأْخُذ
وتعطي	وَتُعْطِي
والعلم	وَالْعِلْم
بجوهر	بِجَوْهَر
الحياة	الْحَيَا
واستكفاه	وَاسْتِكْفَاه
أسرارها	أَسْرَارِهَا
أمر	أَمَر
اهتم	اهْتَمّ
به	بِه
أيما	أَيُّمَا
اهتمام	اهْتِمَام
ولهذا	وَلِهَذَا
فإنه	فَإِنَّه
أعطى	أَعْطَى
منزلته	مَنْزِلَتَه
اللائقة	اللَّائِقَ
لأنه	لِأَنَّه
مناط	مَنَاط
الوعي	الْوَعْي
والرشد	وَالرُّشْد
والتبصر	وَالتَّبَصُّر
والتمييز	وَالتَّمْيِيز
والإدراك	وَالْإِدْرَاك
إن	إنْ
يخاطب	يُخَاطَب
والقلب	وَالْقَلْب
ولذا	وَلِذَا
خلق	خَلَق
صلة	صِلَ
بينه	بَيْنَه
وبين	وَبَيْن
قارئه	قَارِئِه
وينبغي	وَيَنْبَغِي
نعلم	نَعْلَم
معاني	مَعَانِي
تتراسل	تَتَرَاسَل
كثرة	كَثْرَ
تلاوته	تِلَاوَتُه
ودرسه	وَدَرْسِه
ليس	لَيْس
كأي	كَأَيّ
نص	نَصّ
آخر	آخَر
يمكن	يُمْكِن
تنتهي	تَنْتَهِي
منه	مِنْه
بدراسة	بِدِرَاسَ
أو	أَوْ
دراستين	دِرَاسَتَيْن
فكلما	فَكُلَّمَا
ازدادت	ازْدَادَتْ
قراءتنا	قِرَاءَتِنَا
للقرآن	لِلْقُرْآن
معرفتنا	مَعْرِفَتَنَا
ويشعر	وَيُشْعِر
المؤمن	الْمُؤْمِن
أنه	أَنَّه
دائمة	دَائِمَ
يتعبد	يَتَعَبَّد
ويتفقه	وَيَتَفَقَّه
ويتعلم	وَيَتَعَلَّم
ثم	ثُمّ
يترسخ	يَتَرَسَّخ
إيمانه	إيمَانِه
نفسه	نَفْسِه
قال	قَال
لو	لَوْ
أنزلنا	أَنْزَلْنَا
جبل	جَبَل
لرأيته	لَرَأَيْتَه
خاشعا	خَاشِعا
متصدعا	مُتَصَدِّعا
خشية	خَشْيَ
وتلك	وَتِلْك
الأمثال	الْأَمْثَال
نضربها	نَضْرِبُهَا
للناس	لِلنَّاس
لعلهم	لَعَلَّهُمْ
يتفكرون	يَتَفَكَّرُون
الحشر	الْحَشْر
وينجم	وَيَنْجُم
التأثير	التَّأْثِير
قدسية	قُدْسِيَّ
احتواه	احْتَوَاه
عبادات	عِبَادَات
وشرائع	وَشَرَائِع
ومعاملات	وَمُعَامَلَات
وقصص	وَقِصَص
بأسلوب	بِأُسْلُوب
معجز	مُعْجِز
يؤكد	يُؤَكِّد
عظمة	عَظَمَ
الدين	الدَّيْن
بهذا	بِهَذَا
يهدف	يَهْدِف
إنقاذ	إِنْقَاذ
الضلال	الضَّلَال
والفساد	وَالْفَسَاد
والطغيان	وَالطُّغْيَان
انفتح	انْفَتَح
العربي	الْعَرَبِيّ
الإسلامي	الْإِسْلَامِيّ
دراسة	دِرَاسَ
وتفسيرا	وَتَفْسِيرا
وعملا	وَعَمَلا
فاتسعت	فَاتَّسَعَتْ
مدارك	مَدَارِك
المسلمين	الْمُسْلِمِين
وأصبح	وَأَصْبَح
تاريخنا	تَارِيخِنَا
الحضاري	الْحَضَارِيّ
ركن	رُكْن
مهم	مُهِمّ
للدراسات	لِلدِّرَاسَات
القرآنية	الْقُرْآنِيَّ
ارتقى	ارْتَقَى
بالعقلية	بِالْعَقْلِيَّ
فصار	فَصَار
محط	مَحَطّ
العالم	الْعَالَم
ومعنى	وَمَعْنَى
ذلك	ذَلِك
يعطي	يُعْطِي
الجوانب	الْجَوَانِب
قدرها	قَدْرِهَا
ويؤكد	وَيُؤَكِّد
المشاعر	الْمَشَاعِر
والأحاسيس	وَالْأَحَاسِيس
والإبداع	وَالْإِبْدَاع
تحدث	تَحْدُث
وكرامته	وَكَرَامَتِه
ومميزاته	وَمُمَيِّزَاتِه
وأكبر	وَأَكْبَر
تفتح	تُفْتَح
قلبه	قَلْبِه
لنور	لِنُور
وتطلعه	وَتَطَلُّعَه
صقل	صَقْل
تفكيره	تَفْكِيرِه
بالتأمل	بِالتَّأَمُّل
والتدبر	وَالتَّدَبُّر
فإن	فَإِنْ
هو	هُو
عرف	عُرِف
طريق	طَرِيق
الحق	الْحَقّ
فاتبعه	فَاتَّبَعَه
وقرأ	وَقَرَأ
فسكنت	فَسَكَنَتْ
وشعرت	وَشَعَرْت
روحه	رُوحِه
بالراحة	بِالرَّاحَ
والطمأنينة	وَالطُّمَأْنِينَ
إنما	إنَّمَا
المؤمنون	الْمُؤْمِنُون
إذا	إذَا
ذكر	ذَكَر
وجلت	وَجِلَتْ
قلوبهم	قُلُوبِهِمْ
وإذا	وَإِذَا
تليت	تُلِيَتْ
آياته	آيَاتِه
زادتهم	زَادَتْهُمْ
إيمانا	إِيمَانا
وعلى	وَعَلَى
ربهم	رَبِّهِمْ
يتوكلون	يَتَوَكَّلُون
يقيمون	يُقِيمُون
الصلاة	الصَّلَا
ومما	وَمِمَّا
رزقناهم	رَزَقْنَاهُمْ
ينفقون	يُنْفِقُون
أولئك	أُولَئِك
هم	هُمْ
حقا	حَقّا
لهم	لَهُمْ
درجات	دَرَجَات
عند	عِنْد
ومغفرة	وَمَغْفِرَ
ورزق	وَرِزْق
وفي	وَفِي
تكريم	تَكْرِيم
للمؤمن	لِلْمُؤْمِن
يرتقي	يَرْتَقِي
بعقله	بِعَقْلِه
ويسمو	وَيَسْمُو
بعمله	بِعَمَلِه
ويحق	وَيَحِقّ
له	لَه
يبدع	يُبْدِع
مجال	مَجَال
الفكر	الْفِكْر
الإنساني	الْإِنْسَانِيّ
حتى	حَتَّى
تتوقف	تَتَوَقَّف
عجلة	عَجَلَ
النظر	النَّظَر
بعمق	بِعُمْق
ووعي	وَوَعْي
شأنه	شَأْنُه
يزيد	يَزِيد
نفاذ	نَفَاذ
البصيرة	الْبَصِيرَ
إمداد	إمْدَاد
بمزيد	بِمَزِيد
الإحساس	الْإِحْسَاس
بالمعاني	بِالْمَعَانِي
والأفكار	وَالْأَفْكَار
ليصبح	لِيُصْبِح
أكثر	أَكْثَر
نقاء	نَقَاء
وعطاء	وَعَطَاء
إننا	إِنَّنَا
مطالبون	مُطَالَبُون
بأن	بِأَنْ
نقرأ	نَقْرَأ
ونحاول	وَنُحَاوِل
فهم	فَهُمْ
يمكننا	يُمْكِنُنَا
كي	كَيْ
نتمكن	نَتَمَكَّن
تطبيقه	تَطْبِيقِه
تطبيقا	تَطْبِيقا
سليما	سَلِيما
وحتى	وَحَتَّى
ندرك	نُدْرِك
قيم	قِيَم
ومعايير	وَمَعَايِير
تنفذ	تَنْفُذ
ولا	وَلَا
بل	بَلْ
تظل	تَظَلّ
جديدة	جَدِيدَ
الدوام	الدَّوَام
وهذا	وَهَذَا
جوانب	جَوَانِب
الإعجاز	الْإِعْجَاز
القرآني	الْقُرْآنِيّ
أحسن	أَحْسَن
الحديث	الْحَدِيث
كتابا	كِتَابا
متشابها	مُتَشَابِها
مثاني	مَثَانِي
تقشعر	تَقْشَعِرّ
جلود	جُلُود
يخشون	يَخْشَوْن
تلين	تَلِين
جلودهم	جُلُودُهُمْ
وقلوبهم	وَقُلُوبُهُمْ
هدى	هُدى
يهدي	يَهْدِي
يشاء	يَشَاء
يضلل	يُضْلِلْ
فما	فَمَا
هاد	هَاد
الزمر	الزُّمَر
لمحات	لَمَحَات
عابرة	عَابِرَ
أقف	أَقِفْ
عندها	عِنْدَهَا
حديثنا	حَدِيثِنَا
والعبادة	وَالْعِبَادَ
حديث	حَدِيث
التطبيق	التَّطْبِيق
وليس	وَلَيْس
التجريد	التَّجْرِيد
والله	وَاَللَّه
أسأل	أَسْأَل
أكون	أَكُون
أديت	أَدَّيْت
أقدم	أَقْدَم
بعضا	بَعْضا
واجبي	وَاجِبِي
طرابلس	طَرَابُلُس
إفرنجي	إِفْرِنْجِيّ
الأولى	الْأُولَى
متطلعة	مُتَطَلِّعَ
يوم	يَوْم
تتخلص	تَتَخَلَّص
قضايا	قَضَايَا
اضطربت	اضْطَرَبَتْ
معها	مَعَهَا
حياتها	حَيَاتِهَا
كما	كَمَا
يتمنى	يَتَمَنَّى
يريحه	يُرِيحُه
حيرته	حَيْرَتِه
البحث	الْبَحْث
العدل	الْعَدْل
والمساواة	وَالْمُسَاوَا
ولأن	وَلِأَنّ
الأمر	الْأَمْر
يصل	يَصِل
تعقيده	تَعْقِيدِه
حد	حَدّ
كبير	كَبِير
إلا	إلَّا
يفتح	يَفْتَح
عينيه	عَيْنَيْه
الحلول	الْحُلُول
الجذرية	الْجِذْرِيَّ
يقدمها	يُقَدِّمُهَا
كافة	كَافَّ
ولن	وَلَنْ
هناك	هُنَاك
خير	خَيْر
أفضل	أَفْضَل
مما	مِمَّا
أراده	أَرَادَه
ويبرز	وَيُبْرِز
دور	دُور
تناوله	تَنَاوَلَه
لأجزاء	لِأَجْزَاء
كبيرها	كَبِيرِهَا
وصغيرها	وَصَغِيرِهَا
متجمعة	مُتَجَمِّعَ
ومتفرقة	وَمُتَفَرِّقَ
ويقوم	وَيَقُوم
منهاجه	مِنْهَاجِه
التجديد	التَّجْدِيد
تترسب	تَتَرَسَّب
الأخطاء	الْأَخْطَاء
وتنتج	وَتَنْتِج
عنها	عَنْهَا
آثارها	آثَارُهَا
السلبية	السَّلْبِيَّ
يتمكن	يَتَمَكَّن
الرسو	الرُّسُوّ
بقلبه	بِقَلْبِه
وبصيرته	وَبَصِيرَتِه
شاطئ	شَاطِئ
منهيا	مَنْهِيّا
بذلك	بِذَلِك
رحلة	رِحْلَ
قلقة	قَلِقَ
الاضطراب	الِاضْطِرَاب
والفوضى	وَالْفَوْضَى
ولكي	وَلِكَيْ
تظهر	تَظْهَر
المفاهيم	الْمَفَاهِيم
المستوى	الْمُسْتَوَى
العملي	الْعَمَلِيّ
بذل	بَذَل
الجهود	الْجُهُود
الجادة	الْجَادَّ
عرض	عَرَض
المقاييس	الْمَقَايِيس
الصحيحة	الصَّحِيحَ
للأخلاق	لِلْأَخْلَاق
ليتم	لِيَتِمّ
القضاء	الْقَضَاء
الأطماع	الْأَطْمَاع
تقتات	تَقْتَات
الأرواح	الأَرْوَاح
والأجسام	وَالْأَجْسَام
وتحطم	وَتُحَطِّم
النفوس	النُّفُوس
والأخلاق	وَالْأَخْلَاق
بعثه	بَعَثَه
يتمتع	يَتَمَتَّع
بقابليته	بِقَابِلِيَّتِه
للترعرع	لِلتَّرَعْرُع
والازدهار	وَالِازْدِهَار
يمنعه	يَمْنَعُه
غفلة	غَفْلَ
حقائق	حَقَائِق
دينهم	دِينِهِمْ
لهذا	لِهَذَا
النهضة	النَّهْضَ
المطلوبة	الْمَطْلُوبَ
لإنقاذ	لِإِنْقَاذ
ينبغي	يَنْبَغِي
يقوم	يَقُوم
بها	بِهَا
المسلمون	الْمُسْلِمُون
ويتحملوا	وَيَتَحَمَّلُوا
التبعات	التَّبِعَات
الملقاة	الْمُلْقَا
وأن	وَأَنّ
يسيروا	يَسِيرُوا
بالقوة	بِالْقُوَّ
الفاعلة	الْفَاعِلَ
والهادفة	وَالْهَادِفَ
البناء	الْبِنَاء
كلية	كُلِّيَّ
والتي	وَالَّتِي
تجعل	تُجْعَل
العمل	الْعَمَل
إطار	إِطَار
شعورا	شُعُورا
إنسانيا	إِنْسَانِيّا
عاما	عَاما
هداية	هِدَايَ
تنقذه	تُنْقِذُه
الضياع	الضَّيَاع
والهلاك	وَالْهَلَاك
جعلت	جُعِلَتْ
الحاجة	الْحَاجَ
لازمة	لَازِمَ
كل	كُلّ
التعقيدات	التَّعْقِيدَات
وصلت	وَصَلَتْ
إليها	إلَيْهَا
ملحة	مُلِحَّ
دينا	دَيْنا
أمرا	أَمْرا
لازما	لَازِما
فكان	فَكَان
المعجز	الْمُعْجِز
لفظه	لَفْظِه
ومعناه	وَمَعْنَاه
الأساس	الْأَسَاس
التشريع	التَّشْرِيع
أوحاه	أَوْحَاه
نبيه	نَبِيِّه
والسلام	وَالسَّلَام
ليبلغه	لِيُبَلِّغَه
للعالمين	لِلْعَالَمِين
فاقتضى	فَاقْتَضَى
الرسول	الرَّسُول
خاتم	خَاتَم
الأنبياء	الْأَنْبِيَاء
والرسل	وَالرُّسُل
ثورة	ثَوْرَ
شملت	شَمِلَتْ
مجالات	مَجَالَات
المختلفة	الْمُخْتَلِفَ
يقيمها	يُقِيمُهَا
التوحيد	التَّوْحِيد
لقد	لَقَدْ
انصبت	انْصَبَّتْ
الدراسة	الدِّرَاسَ
بيان	بَيَان
أهمية	أَهَمِّيَّ
باعتباره	بِاعْتِبَارِه
حقيقة	حَقِيقَ
وجودية	وُجُودِيَّ
أبدية	أَبَدِيَّ
بتوضيح	بِتَوْضِيح
القيم	الْقِيَم
والمبادئ	وَالْمَبَادِئ
نستقيها	نَسْتَقِيهَا
وأرجو	وَأَرْجُو
قد	قَدْ
تجاه	تُجَاه
ديني	دَيْنِي
وأمتي	وَأَمَتِي
وراء	وَرَاء
القصد	الْقَصْد
السبيل	السَّبِيل
تمهيد	تَمْهِيد
نعمة	نِعْمَ
عظيمة	عَظِيمَ
العاقل	الْعَاقِل
لأن	لِأَنّ
معرفة	مَعْرِفَ
والمعرفة	وَالْمَعْرِفَ
الحقيقية	الْحَقِيقِيَّ
تفكير	تَفْكِير
سليم	سُلَيْم
الكافر	الْكَافِر
جاهل	جَاهِل
قاصر	قَاصِر
ومحدود	وَمَحْدُود
يدرك	يُدْرِك
الأمور	الْأُمُور
وتغيب	وَتَغِيب
عنه	عَنْه
أشياء	أَشْيَاء
كثيرة	كَثِيرَ
الوجود	الْوُجُود
ويتمحور	وَيَتَمَحْوَر
حول	حَوْل
ومنها	وَمِنْهَا
نؤمن	نُؤْمِن
نعمل	نَعْمَل
ونترك	وَنَتْرُك
نهى	نَهَى
نقبل	نَقْبَل
بكل	بِكُلّ
رغبة	رَغْبَ
ونبتعد	وَنَبْتَعِد
الشر	الشَّرّ
اقتناع	اقْتِنَاع
بأنه	بِأَنَّه
يؤدي	يُؤَدِّي
التهلكة	التَّهْلُكَ
وعندما	وَعِنْدَمَا
يكتمل	يَكْتَمِل
إيمان	إِيمَان
المرء	الْمَرْء
يستطيع	يَسْتَطِيع
يقيم	يُقِيم
الموازين	الْمَوَازِين
تمكنه	تَمَكُّنِه
السير	السِّيَر
والتعامل	وَالتَّعَامُل
مع	مَع
وفرق	وَفَرَّق
وغير	وَغَيْر
فالمؤمن	فَالْمُؤْمِن
منضبط	مُنْضَبِط
أفعاله	أَفْعَالِه
وتصرفاته	وَتَصَرُّفَاتِه
متزن	مُتَّزِن
سلوكه	سُلُوكِه
وأقواله	وَأَقْوَالِه
يحب	يُحِبّ
الخير	الْخَيْر
ويؤثرهم	وَيُؤْثِرُهُمْ
فلا	فَلَا
يضرهم	يَضُرُّهُمْ
يؤذيهم	يُؤْذِيهِمْ
يبذل	يَبْذُل
ماله	مَالِه
ونفسه	وَنَفْسِه
وجهده	وَجُهْدِه
يرى	يَرَى
سلامته	سَلَامَتُه
سلامة	سَلَامَ
وخيره	وَخَيَّرَه
يلحقهم	يَلْحَقُهُمْ
يعلم	يَعْلَم
الخطر	الْخَطَر
يصيبهم	يُصِيبَهُمْ
يصيبه	يُصِيبُه
ووقت	وَوَقْت
وقوعه	وُقُوعِه
لن	لَنْ
بعيدا	بَعِيدا
يختبئ	يَخْتَبِئ
يتوارى	يَتَوَارَى
يقدم	يُقَدَّم
يمكنه	يُمْكِنُه
ليبعد	لِيُبْعِد
الأخطار	الْأَخْطَار
ناحية	نَاحِيَ
ويبني	وَيَبْنِي
مجتمعه	مُجْتَمَعِه
بناء	بِنَاء
قويا	قَوِيّا
أخرى	أُخْرَى
معتمدا	مُعْتَمِدا
يقينه	يَقِينِه
القوة	الْقُوَّ
صفات	صِفَات
القوي	الْقَوِيّ
وأحب	وَأَحَبّ
الضعيف	الضَّعِيف
الحيثيات	الْحَيْثِيَّات
تعد	تَعَدّ
أسسا	أُسُسا
للإيمان	لِلْإِيمَان
تكون	تَكُون
مسؤولية	مَسْؤُولِيَّ
الحفاظ	الْحُفَّاظ
العقيدة	الْعَقِيدَ
الإلهية	الْإِلَهِيَّ
مهمة	مُهِمَّ
ودقيقة	وَدَقِيقَ
يعرف	يُعْرَف
واجبه	وَاجِبِه
نشرها	نَشْرِهَا
والدفاع	وَالدِّفَاع
فالأمانة	فَالْأَمَانَ
يحملها	يَحْمِلُهَا
ومقدسة	وَمُقَدَّسَ
يجوز	يَجُوز
التفريط	التَّفْرِيط
التهاون	التَّهَاوُن
أدائها	أَدَائِهَا
وكون	وَكَوْن
مؤمنا	مُؤْمِنا
يتحمل	يَتَحَمَّل
المسؤوليات	الْمَسْؤُولِيَّات
أكمل	أَكْمَل
وجه	وَجْه
كلمة	كَلِمَ
هي	هِي
العليا	الْعُلْيَا
وكلمة	وَكَلِمَ
كفروا	كَفَرُوا
السفلى	السُّفْلَى
وانظر	وَانْظُرْ
بتمعن	بِتَمَعُّن
كيف	كَيْف
جعل	جَعَل
صاحبة	صَاحِبَ
الأمانة	الْأَمَانَ
قوله	قَوْلُه
وكذلك	وَكَذَلِك
جعلناكم	جَعَلْنَاكُمْ
أمة	أَمَ
وسطا	وَسَطا
لتكونوا	لِتَكُونُوا
شهداء	شُهَدَاء
ويكون	وَيَكُون
عليكم	عَلَيْكُمْ
وهنا	وَهُنَا
لوعي	لِوَعْي
بحقيقة	بِحَقِيقَ
أثر	أَثَر
بالغ	بَالِغ
التمسك	التَّمَسُّك
والعمل	وَالْعَمَل
أجل	أَجْل
ترسيخه	تَرْسِيخِه
والمحافظة	وَالْمُحَافَظَ
قوة	قُوَّ
المجتمع	الْمُجْتَمَع
المبني	الْمَبْنِيّ
أسس	أَسَّس
وبهذا	وَبِهَذَا
المفهوم	الْمَفْهُوم
للعقيدة	لِلْعَقِيدَ
يحقق	يُحَقِّق
شخصيته	شَخْصِيَّتِه
المثالية	الْمِثَالِيَّ
ينقي	يُنَقِّي
ويكبح	وَيَكْبَح
هواها	هَوَاهَا
ويجعل	وَيُجْعَل
منها	مِنْهَا
مانعة	مَانِعَ
ممتنعة	مُمْتَنِعَ
أمام	أَمَام
الشيطان	الشَّيْطَان
ووساوسه	وَوَسَاوِسِه
وإن	وَإِنْ
يرضى	يَرْضَى
صورته	صُورَتُه
مهزوزة	مَهْزُوزَ
يطمع	يَطْمَع
طامع	طَامِع
يحاول	يُحَاوِل
دائما	دَائِما
عزيز	عَزِيز
الجانب	الْجَانِب
موفور	مَوْفُور
الكرامة	الْكَرَامَ
ينظر	يَنْظُر
الأشياء	الْأَشْيَاء
بعقل	بِعَقْل
متفتح	مُتَفَتِّح
قادر	قَادِر
الكشف	الْكَشْف
والتحليل	وَالتَّحْلِيل
فيزن	فَيَزِن
بميزانها	بِمِيزَانِهَا
الصحيح	الصَّحِيح
يخضع	يَخْضَع
لشروط	لِشُرُوط
تملى	تُمْلَى
وتقلل	وَتُقَلِّل
هيبته	هَيْبَتِه
وتفقده	وَتُفْقِدُه
جزءا	جُزْءا
صاحب	صَاحِب
والنهي	وَالنَّهْي
الطريق	الطَّرِيق
يسير	يَسِير
غير	غَيْر
عوج	عِوَج
انحراف	انْحِرَاف
فقلبه	فَقَلْبُه
مليء	مَلِيء
بالإيمان	بِالْإِيمَان
مطمئن	مُطْمَئِنّ
ينطوي	يَنْطَوِي
غل	غَلّ
حقد	حِقْد
حسد	حَسَد
يسع	يَسَع
والصلاح	وَالصَّلَاح
والإصلاح	وَالْإِصْلَاح
وببلوغ	وَبِبُلُوغ
المؤمنين	الْمُؤْمِنِين
المرحلة	الْمَرْحَلَ
السامية	السَّامِيَ
يثبتون	يُثْبِتُون
جدارة	جَدَارَ
حضورهم	حُضُورِهِمْ
العالمي	الْعَالَمِيّ
ويعرف	وَيُعْرَف
الجميع	الْجَمِيع
تكمن	تَكْمُن
إخلاص	إِخْلَاص
أبنائه	أَبْنَائِه
وصلاحهم	وَصَلَاحِهِمْ
وتعاونهم	وَتَعَاوُنِهِمْ
ينفعهم	يَنْفَعُهُمْ
دفعهم	دَفْعِهِمْ
للأذى	لِلْأَذَى
عنهم	عَنْهُمْ
وعمن	وَعَمَّنْ
يلجأ	يَلْجَأ
إليهم	إلَيْهِمْ
وتراهم	وَتَرَاهُمْ
واحدة	وَاحِدَ
مبنية	مَبْنِيَّ
والضمير	وَالضَّمِير
المستيقظ	الْمُسْتَيْقِظ
يسمح	يَسْمَح
لعوامل	لِعَوَامِل
الهدم	الْهَدْم
والتشويه	وَالتَّشْوِيه
تجد	تَجِد
طريقها	طَرِيقِهَا
التكوين	التَّكْوِين
المتميز	الْمُتَمَيِّز
يندفع	يَنْدَفِع
داعين	دَاعِين
عاملين	عَامِلِين
أجله	أَجَلِه
يعجزهم	يُعْجِزُهُمْ
شيء	شَيْء
مقدورهم	مَقْدُورِهِمْ
عمله	عَمَلِه
لأنهم	لِأَنَّهُمْ
يقصرون	يَقْصُرُون
ويعملون	وَيَعْمَلُون
جهدهم	جُهْدَهُمْ
تخطي	تَخَطِّي
العقبات	الْعَقَبَات
تلو	تِلْو
الأخرى	الْأُخْرَى
حيث	حَيْث
إنهم	إنَّهُمْ
يعرفون	يَعْرِفُون
اليأس	الْيَأْس
يستسلمون	يَسْتَسْلِمُون
للعجز	لِلْعَجْز
نور	نُور
يملأ	يَمْلَأ
القلب	الْقَلْب
وقوة	وَقُوَّ
تحيط	تُحِيط
بالنفس	بِالنَّفْس
فتكون	فَتَكُون
تواقة	تَوَّاقَ
الطيب	الطَّيِّب
يتجاوز	يَتَجَاوَز
الأوهام	الْأَوْهَام
المعرفة	الْمَعْرِفَ
واليقين	وَالْيَقِين
يبحث	يَبْحَث
الحقيقة	الْحَقِيقَ
عقله	عَقْلِه
المتنور	الْمُتَنَوِّر
مرشدا	مُرْشِدا
بصيرته	بَصِيرَتِه
المتفتحة	الْمُتَفَتِّحَ
معينا	مُعَيَّنا
وكما	وَكَمَا
العجز	الْعَجْز
بلوغ	بُلُوغ
يريد	يُرِيد
فهو	فَهُو
أيضا	أَيْضا
الغرور	الْغُرُور
عندما	عِنْدَمَا
ينتصر	يَنْتَصِر
فالإيمان	فَالْإِيمَان
فكرة	فِكْرَ
تروق	تَرُوق
للمرء	لِلْمَرْء
تتلاشى	تَتَلَاشَى
ولكنه	وَلَكِنَّه
عمل	عَمِل
متواصل	مُتَوَاصِل
نحو	نَحْو
البذل	الْبَذْل
والعطاء	وَالْعَطَاء
ويسعى	وَيَسْعَى
بفطرته	بِفِطْرَتِه
السليمة	السَّلِيمَ
الطيبة	الطَّيِّبَ
صقلها	صَقَلَهَا
وأرشدها	وَأَرْشَدَهَا
جاهدا	جَاهِدا
سبيل	سَبِيل
نشر	نَشْر
المثل	الْمِثْل
يثبت	يَثْبُت
للجميع	لِلْجَمِيع
دين	دَيْن
يحفظهم	يَحْفَظُهُمْ
الشرور	الشُّرُور
والآثام	وَالْآثَام
ويدعوهم	وَيَدْعُوهُمْ
ويدفعهم	وَيَدْفَعُهُمْ
تحقيقه	تَحْقِيقُه
ويفتح	وَيَفْتَح
أبواب	أَبْوَاب
التفكير	التَّفْكِير
ويثبت	وَيَثْبُت
فيهم	فِيهِمْ
المنطق	الْمَنْطِق
فيحمد	فَيَحْمَد
فكره	فَكَرِه
وتدبيره	وَتَدْبِيرُه
ومع	وَمَع
التأمل	التَّأَمُّل
وفائدته	وَفَائِدَتُه
للإنسان	لِلْإِنْسَان
يكفي	يَكْفِي
وحده	وَحْدَه
مشفوعا	مَشْفُوعا
يحسن	يُحْسِن
النتائج	النَّتَائِج
الجدوى	الْجَدْوَى
فيتمكن	فَيَتَمَكَّن
تحقيق	تَحْقِيق
ذاته	ذَاتِه
الأرض	الْأَرْض
مادة	مَادَّ
وقيمة	وَقِيمَ
