# Harakat restoration lexicon (COVERAGE layer) — undiacritized skeleton ⇥ our vocalization.
# Source: g2p-inversion over wikipron + kaikki + (ur) Hindi→Urdu real spellings; CC-BY-SA.
# Regenerate: tools/perso-arabic/invert_harakat.ts --lexicon → tools/perso-arabic/export_lexicons.sh
# Non-identity rows only (a bare-skeleton row is a no-op — g2p already yields that IPA). See PROVENANCE.md.
آبادیات	آبادُیات
اجر	اجْر
اجلد	اجلْد
اجمیر	اجمیَر
اجنبی	اجْنبی
احترام	احْترام
احتلام	احْتلام
احتیاج	احتُیاج
احتیاط	احتُیاط
احمقانہ	احْمقانہ
اختصار	اخْتصار
اختلاف	اخْتلاف
اختلافات	اخْتلافات
اختیار	اختُیار
اختیاری	اختُیاری
اخذ	اخْذ
ادارتی	ادارَتی
اداسیاں	اداسُیاں
اداسیوں	اداسُیوں
ادبا	ادَبا
ادبیات	ادَبُیات
ادھرم	ادھرْم
ادھشچیتک	ادھشچیَتک
ادھماس	ادھَماس
ادھنا	ادھَنا
ادھورا	ادھُورا
ادھکار	ادھَکار
ادھکاری	ادھَکاری
ادھیڑ	ادھیَڑ
اذن	اذْن
ارتداد	ارْتداد
ارتقا	ارْتقا
ارتھ	ارْتھ
اردلی	ارْدلی
اردو	اردُو
ارز	ارْز
ارسطو	ارسطُو
ارسلہ	ارْسلہ
ارش	ارْش
ارض	ارْض
ارغوانی	ارْغوانی
ارمنستان	ارْمنستان
ارمیا	ارمُیا
اروبا	ارُوبا
ارکتتا	ارکْتتا
ازبکستان	ازْبکستان
ازدواج	ازدِواج
استرا	اسْترا
استری	اسْتری
استوار	استِوار
استھ	استھَ
استھما	اسْتھما
اسطوخودوس	اسطوخُودُوس
اسطورہ	اسطُورہ
اسطوری	اسطُوری
اسفنج	اسفنْج
اسفندیار	اسفندُیار
اسلحہ	اسْلحہ
اسلوب	اسلُوب
اسٹرابیری	اسْٹْرابیَری
اسٹیشن	اسٹیَشن
اسپ	اسْپ
اسپتال	اسْپتال
اسپغول	اسْپغول
اسکول	اسکُول
اسکولوں	اسکُولوں
اسیرنا	اسیَرنا
اسیمبلی	اسیَمْبلی
اشتراک	اشْتراک
اشتقاق	اشْتقاق
اشتہا	اشْتہا
اشتہار	اشْتہار
اشتیاق	اشتُیاق
اشر	اشرَ
اشٹرپکشی	اشْٹْرپکشی
اشک	اشْک
اشکت	اشکْت
اصطبل	اصْطبل
اصطلاح	اصْطلاح
اصفہان	اصْفہان
اصل	اصْل
اصول	اصُول
اضطراب	اضْطراب
اضطراری	اضْطراری
اطلاع	اطَلاع
اعتراض	اعْتراض
اعتراضات	اعْتراضات
اعتراضوں	اعْتراضوں
اعتماد	اعْتماد
افتتاح	افْتتاح
افسردگی	افْسردگی
افلاطون	افلاطُون
اقتدار	اقْتدار
اقتصادی	اقْتصادی
ال	الَ
البانیا	البانُیا
البانیائی	البانُیائی
البتہ	الْبتہ
البیلا	البیَلا
التجا	الْتجا
الجھیڑا	الجھیَڑا
الجھیڑیا	الجھیَڑُیا
الجیریا	الجیرُیا
النکرت	النْکْرت
النگ	النْگ
الو	الُو
الوک	الُوک
الٹیاں	الْٹیاں
الٹیمیٹم	الٹیمیَٹم
الٹیوں	الْٹیوں
الپ	الْپ
الکحل	الْکحل
الکشمی	الکْشْمی
امانتو	امانَتو
امانتوں	امانَتوں
امانتیں	امانَتیَں
امتحان	امْتحان
امتحانوں	امْتحانوں
امر	امْر
امرا	امَرا
امرود	امرُود
امور	امُور
امچور	امچُور
امید	امیَد
امیدوار	امیَدوار
امیٹھنا	امیَٹھنا
امیٹھی	امیَٹھی
انارکلی	انارْکلی
انامکا	انامَکا
انانتر	انانْتْر
انبھ	انْبھ
انت	انْت
انتاکشری	انتاکْشری
انتباہ	انْتباہ
انتخاب	انْتخاب
انترال	انْترال
انترم	انْتْرم
انترکش	انْترکْش
انتظار	انْتظار
انتظام	انْتظام
انتظامات	انْتظامات
انتظامی	انْتظامی
انتقال	انْتقال
انتقام	انْتقام
انتڑی	انْتڑی
انتہا	انْتہا
انتہائی	انْتہائی
انجماد	انْجماد
انجمن	انْجمن
اندراج	انْدراج
اندرون	انْدْرُون
اندریاس	انْدْرُیاس
اندلس	انْدلس
اندھکار	انْدھْکار
اندھیر	اندھیَر
اندھیرا	اندھیَرا
اندھیروں	اندھیَروں
اندھیری	اندھیَری
اندھیرے	اندھیَرے
اندیشوں	اندیَشوں
اندیشہ	اندیَشہ
اندیشے	اندیَشے
اندیکھا	اندیَکھا
انراگ	انَراگ
انسداد	انْسداد
انسنا	انْسنا
انش	انْش
انقلاب	انْقلاب
انمان	انَمان
انناس	انَناس
انواد	انِواد
انوادک	انِوادک
انوٹھا	انُوٹھا
انوپ	انُوپ
انٹرنیٹ	انٹرنیَٹ
انٹوٹا	انٹُوٹا
انپم	انَپم
انچھید	انَچھیَد
انڈونیشیا	انڈونیَشُیا
انڈکوش	انْڈکوش
انڈیا	انڈُیا
انگ	انْگ
انگریز	انْگْریَز
انگریزی	انْگْریَزی
انگلستان	انْگْلستان
انگلش	انْگْلش
انگلی	انْگْلی
انگنی	انْگنی
انگور	انگُور
انگوری	انگُوری
انگوٹھا	انگُوٹھا
انگوٹھی	انگُوٹھی
انگڑائی	انْگْڑائی
انگڑانا	انْگڑانا
انگیا	انگُیا
انھیں	انْھیَں
انیک	انیَک
اولندیز	اولندیَز
اٹوٹ	اٹُوٹ
اٹھارہ	اٹھارِہ
اپدیش	اپدیَش
اپسرگ	اپسرْگ
اپسنگمن	اپسنْگمن
اپلبدھ	اپلبْدھ
اپنگ	اپنْگ
اچکا	اچَکا
اچھوت	اچھُوت
اچھوتا	اچھُوتا
اچھوتی	اچھُوتی
اژدہا	اژْدہا
اژدہو	اژْدہو
اژدہوں	اژْدہوں
اژدہے	اژْدہے
اکتوبر	اکتُوبر
اکدی	اکَدی
اکش	اکْش
اکنون	اکنُون
اکٹوبر	اکٹُوبر
اکٹھا	اکَٹھا
اکھلیش	اکھَلیَش
اکیلا	اکیَلا
اکیلاپن	اکیَلاپن
اکیلی	اکیَلی
اکیلے	اکیَلے
اگربتی	اگرْبتی
اگروال	اگرِوال
اگست	اگسْت
اگلو	اگلُو
اہلیاؤ	اہلُیاؤ
اہلیاؤں	اہلُیاؤں
ایتھنز	ایتھنْز
ایجنٹ	ایجنْٹ
ایسٹونیا	ایسٹونُیا
ایسپیرانتو	ایسپیَرانتو
ایسکیلیٹر	ایسکیَلیَٹر
ایشیا	ایشُیا
ایشیائی	ایشُیائی
بائیسکل	بائیسَکل
بابو	بابُو
باتھروم	باتھرُوم
باتیں	باتیَں
باخدا	باخَدا
بادرنگ	بادرنْگ
بادلو	بادَلو
بادلوں	بادَلوں
بارشوں	بارَشوں
بارشیں	بارَشیَں
باروت	بارُوت
بارود	بارُود
بازو	بازُو
بازوبند	بازُوبنْد
بالو	بالُو
بامھن	بامْھن
باندرہ	بانْدْرہ
باندھنا	بانْدھْنا
بانگ	بانْگ
باوجود	باوجُود
باپو	باپُو
باکرہ	باکَرہ
باکو	باکُو
ببول	ببُول
بجلیاں	بجلُیاں
بجلیوں	بجلُیوں
بحر	بحْر
بخت	بخْت
بخش	بخْش
بخشنا	بخْشنا
بخوبی	بخُوبی
بدبدانا	بدْبدانا
بدصورت	بدصُورت
بدعتوں	بدْعتوں
بدمعاشوں	بدْمعاشوں
بدنصیب	بدْنصیب
بدنوں	بدَنوں
بدو	بدُو
بدھمان	بدھَمان
بدھو	بدھُو
بدھیا	بدھُیا
براتیں	براتیَں
برازیل	بْرازیل
برج	برْج
برخاست	برخاسْت
برخاستیں	برخاستیَں
برداشت	برداشْت
برساتیں	برساتیَں
برسبین	بْرسبیَن
برسلز	بْرسلْز
برسیاں	برسُیاں
برسیوں	برسُیوں
برف	برْف
برق	برْق
بروخے	بْرُوخے
برودت	برُودت
برکات	برَکات
برکتوں	برْکتوں
برکتیں	برْکتیَں
برگزیدہ	برْگزیدہ
بریلی	بریَلی
بزرگ	بزرْگ
بزم	بزْم
بست	بسْت
بستیاں	بستُیاں
بستیو	بستُیو
بستیوں	بستُیوں
بسنت	بسنْت
بشیشن	بشیَشن
بعث	بعْث
بعلبک	بعْلبک
بقرہ	بقَرہ
بلب	بلْب
بلبلا	بلْبلا
بلبلو	بلْبلو
بلبلوں	بلْبلوں
بلبلیدار	بلْبلیَدار
بلبلیں	بلْبلیَں
بلدان	بلَدان
بلند	بلنْد
بلوغت	بلُوغت
بلوچی	بلُوچی
بلہار	بلَہار
بمب	بمْب
بمبو	بمبُو
بمقابلہ	بمَقابَلہ
بنت	بنْت
بند	بنْد
بندریا	بنْدرُیا
بندوق	بندُوق
بندگی	بنْدگی
بنگ	بنْگ
بنگلور	بنْگلُور
بنگلہ	بنْگْلہ
بنگلی	بنْگْلی
بنیا	بنُیا
بنیادی	بنُیادی
بنیان	بنُیان
بوا	بِوا
بواؤ	بُواؤ
بواؤں	بُواؤں
بواب	بِواب
بواسیر	بِواسیر
بوال	بِوال
بوتا	بُوتا
بوجھنا	بُوجھنا
بودار	بُودار
بوزا	بُوزا
بوسنیا	بوسنُیا
بوم	بُوم
بوٹ	بُوٹ
بوٹا	بُوٹا
بوٹی	بُوٹی
بوچڑ	بُوچڑ
بوڑنا	بُوڑنا
بوڑھا	بُوڑھا
بوڑھو	بُوڑھو
بوڑھوں	بُوڑھوں
بوڑھی	بُوڑھی
بوڑھے	بُوڑھے
بٹیا	بٹُیا
بٹیر	بٹیَر
بچھو	بچھُو
بڑھیلا	بڑھیَلا
بکس	بکْس
بھابیاں	بھابُیاں
بھابیو	بھابُیو
بھابیوں	بھابُیوں
بھادرپد	بھادْرپد
بھاشنوں	بھاشَنوں
بھالو	بھالُو
بھانجیاں	بھانجُیاں
بھانجیو	بھانجُیو
بھانجیوں	بھانجُیوں
بھانوار	بھانِوار
بھانگ	بھانْگ
بھاٹیا	بھاٹُیا
بھجنگ	بھجنْگ
بھجیا	بھجُیا
بھراتا	بھْراتا
بھراتر	بھْراتْر
بھرشلا	بھْرشلا
بھرکٹی	بھْرکَٹی
بھلکڑ	بھلَکڑ
بھنڈ	بھنْڈ
بھوانی	بھِوانی
بھوت	بھُوت
بھوتل	بھُوتل
بھوتنی	بھُوتنی
بھوتنیکے	بھُوتنیکے
بھوجل	بھُوجل
بھورا	بھُورا
بھول	بھُول
بھولنا	بھُولنا
بھومکا	بھُومَکا
بھومی	بھُومی
بھوندو	بھوندُو
بھوننا	بھُوننا
بھوٹان	بھُوٹان
بھوک	بھُوک
بھوکا	بھُوکا
بھوکی	بھُوکی
بھوکے	بھُوکے
بھوگول	بھُوگول
بھٹورا	بھٹُورا
بھکت	بھکْت
بھیا	بھُیا
بھیانک	بھُیانک
بھیجا	بھیَجا
بھیجنا	بھیَجنا
بھید	بھیَد
بھیدنا	بھیَدنا
بھیدوں	بھیَدوں
بھیدی	بھیَدی
بھیدیا	بھیَدُیا
بھیس	بھیَس
بھیل	بھیَل
بھیلپوری	بھیَلپُوری
بھیڑ	بھیَڑ
بھیڑا	بھیَڑا
بھیڑو	بھیَڑو
بھیڑوں	بھیَڑوں
بھیڑیا	بھیَڑُیا
بھیڑیں	بھیَڑیَں
بہادری	بہادَری
بہاریں	بہاریَں
بیابان	بُیابان
بیاباں	بُیاباں
بیاسی	بُیاسی
بیاض	بُیاض
بیالو	بیالُو
بیالیس	بُیالیس
بیان	بُیان
بیباق	بیَباق
بیت	بیَت
بیتاب	بیَتاب
بیجا	بیَجا
بیجنگ	بیَجنْگ
بیخ	بیَخ
بیدار	بیَدار
بیدخل	بیَدخل
بیدخلی	بیَدخلی
بیدرد	بیَدرْد
بیدھنا	بیَدھنا
بیزار	بیَزار
بیزتی	بیَزتی
بیستی	بیَستی
بیسن	بیَسن
بیش	بیَش
بیشمار	بیَشَمار
بیشک	بیَشک
بیل	بیَل
بیلاروس	بیَلارُوس
بیلاروسی	بیَلارُوسی
بیلفاسٹ	بیَلفاسْٹ
بیلن	بیَلن
بیلنا	بیَلنا
بیلچہ	بیَلچہ
بیلہ	بیَلہ
بیلیز	بیَلیز
بیمیل	بیَمیَل
بیندھنا	بینْدھنا
بیونت	بیونْت
بیوی	بِیوی
بیٹا	بیَٹا
بیٹو	بیَٹو
بیٹوں	بیَٹوں
بیٹی	بیَٹی
بیٹیاں	بیَٹُیاں
بیٹیو	بیَٹُیو
بیٹیوں	بیَٹُیوں
بیٹے	بیَٹے
بیچارہ	بیَچارہ
بیچتا	بیَچتا
بیچنا	بیَچنا
بیڑا	بیَڑا
بیڑھ	بیَڑھ
بیکاری	بیَکاری
بیکانیر	بیکانیَر
بیکر	بیَکر
بیکسی	بیَکسی
بیگ	بیَگ
بیگار	بیَگار
بیگانہ	بیَگانہ
بیگم	بیَگم
بیگناہ	بیَگَناہ
بےمثال	بےمَثال
تابوت	تابُوت
تاثیریں	تاثیریَں
تاجکستان	تاجَکستان
تارکین	تارَکین
تاشقند	تاشقنْد
تالو	تالُو
تامر	تامْر
تبتی	تبَتی
تبرک	تبَرک
تبرکات	تبَرَکات
تبرکوں	تبَرَکوں
تبریز	تبریَز
تبسم	تبَسم
تبصرہ	تبْصرہ
تتلیاں	تتلُیاں
تتلیو	تتلُیو
تتلیوں	تتلُیوں
تجارتی	تجارَتی
تجسس	تجَسس
تجلی	تجَلی
تحفظ	تحَفظ
تخت	تخْت
تخلص	تخَلص
تخم	تخْم
تراتا	تْراتا
ترازو	ترازُو
تربوز	تربُوز
تربوزہ	تربُوزہ
ترجمان	ترْجمان
ترجموں	ترْجموں
ترجمہ	ترْجمہ
ترجمے	ترْجمے
ترش	ترْش
ترقی	ترَقی
ترنت	ترنْت
ترنگ	ترنْگ
ترٹی	تْرٹی
ترپاٹھی	تْرپاٹھی
ترک	ترْک
ترکیے	ترکُیے
تریپورہ	تْریپُورہ
تسار	تْسار
تسلی	تسَلی
تسونامی	تْسُونامی
تشتری	تشْتری
تشدد	تشَدد
تصویریں	تصویریَں
تعبیریں	تعبیریَں
تعجب	تعَجب
تعجبو	تعَجَبو
تعجبوں	تعَجَبوں
تعلق	تعَلق
تعلقات	تعَلَقات
تعلقوں	تعَلَقوں
تعلیمیں	تعلیمیَں
تفصیلیں	تفصیلیَں
تفنگ	تفنْگ
تقدس	تقَدس
تلخ	تلْخ
تلفظ	تلَفظ
تلواریں	تلواریَں
تمباکو	تمباکُو
تمبوڑی	تمبُوڑی
تملق	تمَلق
تمنا	تمَنا
تمناؤ	تمَناؤ
تمناؤں	تمَناؤں
تمپ	تمْپ
تمھیں	تمھیَں
تنباکو	تنباکُو
تنبو	تنبُو
تندرست	تنْدرسْت
تندرستی	تنْدرستی
تندور	تندُور
تندوری	تندُوری
تنور	تنُور
تنگ	تنْگ
توا	تِوا
تواری	تِواری
تواریخ	تِواریخ
توانا	تِوانا
توتاچشم	توتاچشْم
توران	تُوران
توند	تونْد
تویدھ	تْویدھَ
تکبر	تکَبر
تکلف	تکَلف
تھمپھو	تھمپھُو
تھنیلا	تھنیَلا
تھو	تھُو
تھوتھن	تھُوتھن
تھوک	تھُوک
تھوکنا	تھُوکنا
تہ	تِہ
تہمتیں	تہمتیَں
تہہ	تہہَ
تیرا	تیَرا
تیرتھ	تیرْتھ
تیرگی	تیرَگی
تیرہ	تیَرہ
تیری	تیَری
تیرے	تیَرے
تیز	تیَز
تیزاب	تیَزاب
تیغ	تیَغ
تیل	تیَل
تیندلکر	تیَندلکر
ثبوت	ثبُوت
ثریا	ثرُیا
ثقافتی	ثقافَتی
ثواب	ثِواب
جادو	جادُو
جادوٹونا	جادُوٹونا
جادوگر	جادُوگر
جادوگرنی	جادُوگرنی
جادوگری	جادُوگری
جارجیا	جارجُیا
جاسوس	جاسُوس
جامعہ	جامَعہ
جانچنا	جانْچْنا
جانگھ	جانْگھ
جانیں	جانیَں
جاگیں	جاگیَں
جبوتی	جبُوتی
جذب	جذْب
جرح	جرْح
جرم	جرْم
جرمنی	جرْمنی
جست	جسْت
جستجو	جسْتجُو
جسم	جسْم
جسور	جسُور
جشن	جشْن
جغرافیائی	جغرافُیائی
جلجون	جلجونَ
جلد	جلْد
جلدباز	جلْدباز
جلوس	جلُوس
جلیبی	جلیَبی
جماعتو	جماعَتو
جماعتوں	جماعَتوں
جماعتیں	جماعَتیَں
جمبھ	جمْبھ
جمشید	جمشیَد
جموں	جمُوں
جمیکند	جمیکنْد
جنتری	جنْتری
جنتو	جنَتو
جنتوں	جنَتوں
جنتی	جنَتی
جنتیں	جنَتیَں
جندڑی	جنْدڑی
جنوب	جنُوب
جنوبی	جنُوبی
جنون	جنُون
جنکشن	جنْکْشن
جنگ	جنْگ
جنگجو	جنْگجُو
جنگلا	جنْگْلا
جنھائی	جنْھائی
جوا	جُوا
جواب	جِواب
جواد	جِواد
جواز	جِواز
جوازوں	جِوازوں
جوان	جِوان
جوانو	جِوانو
جوانوں	جِوانوں
جوانی	جِوانی
جواٹ	جُواٹ
جواٹھ	جُواٹھ
جوتا	جُوتا
جوتوں	جُوتوں
جوتے	جُوتے
جوجھ	جُوجھ
جوجھنا	جُوجھنا
جورجیا	جورجُیا
جون	جُون
جوناگڑھ	جُوناگڑھ
جونک	جونْک
جوٹھا	جُوٹھا
جوڈو	جُوڈو
جوڈیو	جُوڈُیو
جوکھمی	جوکھَمی
جوں	جُوں
جوہانسبرگ	جوہانسبرْگ
جوہی	جُوہی
جٹھانیاں	جٹھانُیاں
جٹھانیو	جٹھانُیو
جٹھانیوں	جٹھانُیوں
جگناتھ	جگَناتھ
جگنو	جگنُو
جھارکھنڈ	جھارکھنْڈ
جھاڑو	جھاڑُو
جھلملا	جھلْملا
جھلملانا	جھلْملانا
جھلملی	جھلْملی
جھمیلا	جھمیَلا
جھمیلو	جھمیَلو
جھمیلوں	جھمیَلوں
جھمیلے	جھمیَلے
جھولا	جھُولا
جھولنا	جھُولنا
جھوم	جھُوم
جھومنا	جھُومنا
جھونپڑا	جھونْپڑا
جھوٹ	جھُوٹ
جھوٹا	جھُوٹا
جھوٹوں	جھُوٹوں
جھوٹھ	جھُوٹھ
جھپٹا	جھپَٹا
جھیلمی	جھیَلَمی
جیالا	جُیالا
جیب	جیَب
جیبوں	جیَبوں
جیبیں	جیَبیَں
جیل	جیَل
جینس	جینْس
جیوی	جِیوی
جیٹھ	جیَٹھ
جیٹھانی	جیَٹھانی
جیٹھوں	جیَٹھوں
حادثات	حادَثات
حادثوں	حادَثوں
حادثہ	حادَثہ
حادثے	حادَثے
حاضرات	حاضَرات
حاضری	حاضَری
حافظہ	حافَظہ
حامیو	حامُیو
حامیوں	حامُیوں
حبقوق	حبَقُوق
حرف	حرْف
حرمزئی	حرْمزئی
حسن	حسْن
حشرہ	حشَرہ
حشفہ	حشَفہ
حضور	حضُور
حقوق	حقُوق
حلم	حلْم
حمد	حمْد
حنوکاہ	حنُوکاہ
حواری	حِواری
حواریو	حِوارُیو
حواریوں	حِواریوں
حوالات	حِوالات
حوالہ	حِوالہ
حور	حُور
حورو	حُورو
حوروں	حُوروں
حوریں	حُوریَں
حکم	حکْم
حکمران	حکْمران
حکومت	حکُومت
حیا	حُیا
حیات	حُیات
حیاتیات	حُیاتُیات
حیاتین	حُیاتین
خاتون	خاتُون
خالو	خالُو
خاکستری	خاکسْتری
ختم	ختْم
خدمتوں	خدْمتوں
خدمتیں	خدْمتیَں
خدیو	خدِیو
خربوزہ	خربُوزہ
خردبین	خرْدبین
خرس	خرْس
خرچ	خرْچ
خستگی	خسْتگی
خشبو	خشبُو
خشت	خشْت
خشم	خشْم
خشک	خشْک
خصم	خصْم
خصوصی	خصُوصی
خطبا	خطَبا
خطیب	خطیَب
خلد	خلْد
خلفا	خلَفا
خلق	خلْق
خمیازہ	خمُیازہ
خنجرو	خنْجرو
خنجروں	خنْجروں
خنزیریں	خنزیریَں
خواتین	خِواتین
خوب	خُوب
خوبانی	خُوبانی
خوبصورت	خُوبصُورت
خوبصورتی	خُوبصُورتی
خوبی	خُوبی
خوشیاں	خوشُیاں
خوشیوں	خوشُیوں
خومانی	خُومانی
خون	خُون
خونی	خُونی
خوک	خُوک
خوں	خُوں
خپلو	خپلُو
خیابان	خُیابان
خیاط	خُیاط
خیالوں	خُیالوں
خیلا	خیَلا
داخلہ	داخَلہ
داخلی	داخَلی
داداگری	داداگَری
دارجلنگ	دارْجلنْگ
داردر	داردْر
دارو	دارُو
داریل	داریَل
داستانیں	داستانیَں
دانتکی	دانْتکی
دبنگ	دبنْگ
دبو	دبُو
دبوسہ	دبُوسہ
درج	درْج
درخت	درخْت
درخش	درخْش
درد	درْد
درس	درْس
درست	درسْت
درش	دْرش
درشا	دْرشا
درفش	درفْش
درمیان	درمُیان
درمیانی	درمُیانی
دروبست	دروبسْت
درود	درُود
درودوں	درُودوں
دروہ	دْروہ
درڑھ	دْرڑھ
درک	دْرک
درگ	درْگ
درگندھ	درگنْدھ
دریاچہ	درُیاچہ
دریودھن	درُیودھن
دزد	دزْد
دست	دسْت
دستخط	دسْتْخط
دستور	دستُور
دستوری	دستُوری
دستکار	دسْتکار
دستکاری	دسْتْکاری
دشت	دشْت
دشمنوں	دشْمنوں
دشمنی	دشْمنی
دقتوں	دقَتوں
دقتیں	دقَتیَں
دقیانوسی	دقُیانُوسی
دلربا	دلْربا
دلچسپ	دلچسْپ
دلیری	دلیَری
دمبھ	دمْبھ
دمشق	دمشْق
دنڈ	دنْڈ
دنگ	دنْگ
دنیاداری	دنُیاداری
دوا	دِوا
دوائی	دِوائی
دوات	دِوات
دواتیں	دِواتیَں
دواخانہ	دِواخانہ
دوالی	دِوالی
دوتاواس	دُوتاواس
دوج	دُوج
دوجا	دُوجا
دودمان	دُودمان
دودھ	دُودھ
دودھی	دُودھی
دور	دُور
دوربھاش	دُوربھاش
دوربین	دُوربین
دوردرشن	دُوردرشن
دورلیکھ	دُورلیَکھ
دوری	دُوری
دوست	دوسْت
دوسرا	دُوسرا
دولہا	دُولہا
دولہو	دُولہو
دولہوں	دُولہوں
دولہے	دُولہے
دون	دُون
دونا	دُونا
دونمہ	دُونمہ
دوپٹوں	دوپَٹوں
دوپٹے	دوپَٹے
دوکی	دُوکی
دوگنا	دوگَنا
دوے	دِوے
دچھتی	دچھَتی
دگدھ	دگْدھ
دھاندلی	دھانْدْلی
دھرم	دھرْم
دھماکیدار	دھماکیَدار
دھند	دھنْد
دھندھ	دھنْدھ
دھندیں	دھندیَں
دھنیا	دھنُیا
دھواں	دھُواں
دھور	دھُور
دھوسر	دھُوسر
دھول	دھُول
دھوم	دھُوم
دھوپ	دھُوپ
دھوپوں	دھُوپوں
دھوپیں	دھُوپیَں
دھڑکنوں	دھڑْکنوں
دھڑکنیں	دھڑْکنیَں
دھکیلنا	دھکیَلنا
دہ	دِہ
دہلوی	دہلِوی
دیا	دُیا
دیاوان	دُیاوان
دیجیے	دیجُیے
دیر	دیَر
دیرگھ	دیرْگھ
دیز	دیَز
دیس	دیَس
دیسو	دیَسو
دیسوں	دیَسوں
دیسی	دیَسی
دیش	دیَش
دیشج	دیَشج
دیشواسی	دیَشواسی
دیشی	دیَشی
دینا	دیَنا
دینے	دیَنے
دیوار	دِیوار
دیوان	دِیوان
دیوانہ	دِیوانہ
دیپکا	دیپَکا
دیکھنا	دیَکھنا
دیکھنے	دیَکھنے
دیگچی	دیَگچی
دیہ	دیَہ
دیہات	دیَہات
دیہاتی	دیَہاتی
ذیابیطس	ذُیابیطس
راتیں	راتیَں
راجپوت	راجپُوت
راجیش	راجیَش
راحتو	راحَتو
راحتوں	راحَتوں
راحتیں	راحَتیَں
راشٹر	راشْٹْر
رانیاں	رانُیاں
رانیو	رانُیو
رانیوں	رانُیوں
راڑیا	راڑُیا
راکھیں	راکھیَں
رتالو	رتالُو
رتلکش	رتَلکْش
رتکرم	رتَکرْم
رخصتی	رخْصتی
ردراکش	ردراکْش
رریانا	ررُیانا
رزق	رزْق
رزلٹ	رزلْٹ
رسم	رسْم
رسول	رسُول
رسولو	رسُولو
رسولوں	رسُولوں
رسیدیں	رسیدیَں
رشک	رشْک
رشیا	رشُیا
رشیو	رشُیو
رشیوں	رشُیوں
رضامند	رضامنْد
رفع	رفْع
رفقا	رفَقا
رفو	رفُو
رفیج	رفیَج
رقص	رقْص
رنک	رنْک
رنگ	رنْگ
رنگنا	رنْگنا
رو	رُو
روا	رِوا
رواج	رِواج
روانڈا	رِوانڈا
روانگی	رِوانگی
روانہ	رِوانہ
روانی	رِوانی
رواں	رِواں
روبل	رُوبل
روح	رُوح
روحانی	رُوحانی
روحو	رُوحو
روحوں	رُوحوں
روحیں	رُوحیَں
رود	رُود
روزمرہ	روزْمرہ
روس	رُوس
روسنا	رُوسنا
روسی	رُوسی
روم	رُوم
رومال	رُومال
رومان	رُومان
رومانس	رومانْس
رومی	رُومی
رونگٹا	رونْگٹا
روٹھ	رُوٹھ
روٹھا	رُوٹھا
روٹھنا	رُوٹھنا
روپ	رُوپ
روپا	رُوپا
روپیا	رُوپیا
روچڈیل	روچڈیَل
روکھا	رُوکھا
روی	رِوی
رچرا	رچَرا
رکت	رکْت
رہ	رِہ
