# Danish pronunciation lexicon — word<TAB>IPA. From the NST Danish lexicon (Nasjonalbiblioteket /
# Sprakbanken, sbr-26), CC0 / public domain, ∩ the top-50k OpenSubtitles da frequency list (hermitdave
# FrequencyWords, CC BY-SA). Narrow convention: r-vocalisation ɐ, stop lenition, soft-d ð, length ː,
# stød ˀ. Shortest NST variant. Built by tools/danish/build_da_nst.py. The BiLSTM/rule handle OOV.
jeg	ˈjɑj
hørt	ˈhøɐˀd
del	ˈdeːˀl
rigtigt	ˈʁeɡdid
minutter	miˈnudɐ
barn	ˈbɑːˀn
politiet	poliˈtiːˀəð
fejl	ˈfɑjˀl
s	ˈɛs
senere	ˈseːnɐɐ
bilen	ˈbiːˀlən
håber	ˈhɔːbɐ
kvinde	ˈkvenə
hører	ˈhøːɐ
haft	ˈhɑfd
virker	ˈviɐɡɐ
herfra	ˈheɐˀˌfʁɑ
fire	ˈfiːɐ
l	ˈɛl
tænkte	ˈtɛŋˀdə
kommet	ˈkɐməð
sket	ˈsɡeːˀd
dør	ˈdœɐˀ
helvede	ˈhɛlvəðə
hus	ˈhuːˀs
fortæl	fɒˈtɛlˀ
rolig	ˈʁoːli
venter	ˈvɛndɐ
hurtigt	ˈhuɐdid
frem	ˈfʁɛmˀ
klare	ˈklɑːɐ
kører	ˈkøːɐ
ny	ˈnyːˀ
heller	ˈhɛlɐ
spørgsmål	ˈsbœɐˌsmɔːˀl
langt	ˈlɑŋˀd
rundt	ˈʁɔnˀd
bror	ˈbʁoɐ
næsten	ˈnɛsdən
hvilken	ˈvelɡən
byen	ˈbyːˀən
bliv	ˈbliːˀ
sandt	ˈsanˀd
gået	ˈɡɔːəð
livet	ˈliːˀvəð
pas	ˈpas
leder	ˈleːðɐ
bør	ˈbøɐˀ
indtil	ˈenˀˌtel
fortalte	fɒˈtalˀdə
side	ˈsiːðə
inden	ˈenən
hellere	ˈhɛlɐɐ
ringer	ˈʁeŋɐ
bad	ˈbaðˀ
imod	iˈmoðˀ
videre	ˈviðɐɐ
hey	ˈhɑjˀ
tænker	ˈtɛŋɡɐ
lort	ˈloɐˀd
ingenting	ˈeŋənˌteŋˀ
mens	ˈmɛnˀs
beklager	beˈklaːˀɐ
pis	ˈpes
sit	ˈsid
problem	pʁoˈbleːˀm
ord	ˈoɐˀ
vejen	ˈvɑjˀən
sød	ˈsøðˀ
ondt	ˈɔnˀd
dreng	ˈdʁɛŋˀ
sent	ˈseːˀnd
sjovt	ˈʃɐwˀd
sæt	ˈsɛd
klarer	ˈklɑːɐ
lang	ˈlɑŋˀ
job	ˈjoːb
inde	ˈenə
datter	ˈdadɐ
problemer	pʁoˈbleːˀmɐ
timer	ˈtiːmɐ
hr	ˈhɛɐ
prøve	ˈpʁøːvə
svært	ˈsvɛɐˀd
køre	ˈkøːɐ
nogensinde	ˈnoːənˌsenə
bag	ˈbaːˀ
lader	ˈlɑːˀ
snakke	ˈsnɑɡə
færdig	ˈfɛɐdi
vise	ˈviːsə
stedet	ˈsdɛðˀəð
ligner	ˈliːnɐ
ti	ˈtiːˀ
dræbte	ˈdʁɛbdə
egen	ˈeːˀən
gammel	ˈɡɑməl
hjemme	ˈjɛmə
ok	ˈɐɡ
forbi	fɒˈbiːˀ
tænk	ˈtɛŋˀɡ
fantastisk	fanˈtasdisɡ
dog	ˈdɐw
bor	ˈboɐˀ
mad	ˈmað
fri	ˈfʁiːˀ
pengene	ˈpɛŋənə
sidder	ˈseðˀɐ
tænke	ˈtɛŋɡə
stoppe	ˈsdɐbə
john	ˈdjɐn
gennem	ˈɡɛnˀəm
føler	ˈføːˀlɐ
omkring	ɐmˈkʁeŋˀ
ad	ˈaðˀ
ske	ˈsɡeːˀ
igennem	iˈɡɛnˀəm
mellem	ˈmɛlˀəm
velkommen	ˈvɛlˌkɐmˀən
kæft	ˈkɛfd
måtte	ˈmɐdə
ringe	ˈʁeŋə
hader	ˈhaːðɐ
fat	ˈfad
jack	ˈdjaɡ
løb	ˈløːˀb
stå	ˈsdɔːˀ
spise	ˈsbiːsə
vente	ˈvɛndə
chance	ˈʃɑŋsə
flot	ˈflɐd
ligger	ˈleɡɐ
slet	ˈslɛd
nyt	ˈnyd
slap	ˈslɑb
døren	ˈdœːˀɐn
våben	ˈvɔːˀbən
slår	ˈslɒːˀ
kalder	ˈkalɐ
husker	ˈhusɡɐ
handler	ˈhanˀlɐ
ring	ˈʁeŋˀ
passer	ˈpasɐ
hvilket	ˈvelɡəð
fortæller	fɒˈtɛlˀɐ
beder	ˈbeɐˀ
mest	ˈmeːˀsd
lavet	ˈlaːvəð
huset	ˈhuːˀsəð
al	ˈaːˀl
tæt	ˈtɛd
snakker	ˈsnɑɡɐ
uge	ˈuːə
seks	ˈsɛɡs
hovedet	ˈhoːəðəð
spørge	ˈsbœːɐ
hånd	ˈhɐnˀ
søster	ˈsøsdɐ
leve	ˈleːvə
plads	ˈplas
hjælper	ˈjɛlˀbɐ
redde	ˈʁeðə
sgu	ˈsɡu
holdt	ˈhɐlˀd
historie	hiˈsdoɐˀjə
sine	ˈsiːnə
resten	ˈʁɛsdən
ben	ˈbeːˀn
bruger	ˈbʁuːɐ
helst	ˈhɛlˀsd
fast	ˈfasd
talte	ˈtaːˀldə
dræbt	ˈdʁɛbd
stort	ˈsdoɐˀd
glem	ˈɡlɛmˀ
blod	ˈbloðˀ
live	ˈliːvə
nummer	ˈnɔmˀɐ
the	ˈteːˀ
kæreste	ˈkɛːɐsdə
new	ˈnjuː
sandheden	ˈsanˌheðˀən
sagen	ˈsaːˀən
jorden	ˈjoːˀɐn
begynder	beˈɡønˀɐ
måneder	ˈmɔːnəðɐ
tur	ˈtuɐˀ
spille	ˈsbelə
kvinder	ˈkvenɐ
slog	ˈsloːˀ
nat	ˈnad
seng	ˈsɛŋˀ
lavede	ˈlaːvəðə
valg	ˈvalˀ
gift	ˈɡifd
skide	ˈsɡiːðə
piger	ˈpiːɐ
ringede	ˈʁeŋəðə
prøv	ˈpʁøwˀ
fuld	ˈfulˀ
time	ˈtiːmə
alligevel	aˈliːəˌvɛl
lære	ˈlɛːɐ
idé	iˈdeːˀ
værsgo	ˈvɛɐˈsɡoːˀ
vand	ˈvanˀ
spiller	ˈsbelɐ
drenge	ˈdʁɛŋə
tænkt	ˈtɛŋˀd
tidligere	ˈtiðˌliːˀɐɐ
kort	ˈkɒːd
mindre	ˈmendʁɐ
besked	beˈsɡeðˀ
talt	ˈtaːˀld
rigtige	ˈʁeɡˌdiːˀə
prøvede	ˈpʁøːvəðə
præcis	pʁeˈsiːˀs
foregår	ˈfɒːɐˌɡɒːˀ
læg	ˈlɛːˀɡ
masse	ˈmasə
øjne	ˈɐjnə
klokken	ˈklɐɡən
forkert	fɒˈkeɐˀd
hårdt	ˈhɒːd
fedt	ˈfed
agent	aˈɡɛnˀd
dagen	ˈdaːˀən
smuk	ˈsmɔɡ
kaptajn	kɑbˈtɑjˀn
øje	ˈɐjə
forstå	fɒˈsdɔːˀ
elskede	ˈɛlsɡəðə
slut	ˈslud
forældre	fɒˈɛlˀdʁɐ
lov	ˈlɔwˀ
sætte	ˈsɛdə
fortalt	fɒˈtalˀd
muligt	ˈmuːlid
kærlighed	ˈkɛɐliˌheðˀ
lever	ˈleːˀvɐ
sam	ˈsɑmˀ
mening	ˈmeːneŋ
hvert	ˈvɛɐˀd
hjerte	ˈjɛɐdə
chef	ˈʃɛːˀf
sætter	ˈsɛdɐ
foran	ˈfɒːˌanˀ
vigtigt	ˈveɡdid
ligeglad	ˈliːəˌɡlað
arbejdet	ˈɑːˌbɑjˀdəð
sjov	ˈʃɐwˀ
perfekt	pɛɐˈfɛɡd
små	ˈsmɔːˀ
luk	ˈlɔɡ
uger	ˈuːɐ
forstået	fɒˈsdɔːˀəð
lover	ˈlɔːvɐ
aner	ˈaːˀnɐ
slip	ˈsleb
sag	ˈsaːˀ
vis	ˈviːˀs
lyst	ˈlyːˀsd
viser	ˈviːˀsɐ
fred	ˈfʁeðˀ
dollars	ˈdɐlɑs
værre	ˈvɛːɐ
aftale	ˈɑwˌtaːˀlə
sidst	ˈsisd
find	ˈfenˀ
spørger	ˈsbœɐˀ
steder	ˈsdɛːðɐ
tom	ˈtɐmˀ
plan	ˈplaːˀn
rejse	ˈʁɑjsə
udenfor	ˈuːðənˌfɒ
hente	ˈhɛndə
svar	ˈsvɑːˀ
dræber	ˈdʁeːˀbɐ
unge	ˈɔŋə
ansigt	ˈanseɡd
ej	ˈɑjˀ
held	ˈhɛlˀ
købe	ˈkøːbə
værd	ˈvɛɐˀ
betale	beˈtaːˀlə
kendte	ˈkɛnˀdə
dårligt	ˈdɒːlid
klart	ˈklɑːˀd
endelig	ˈɛnəli
beskytte	beˈsɡødə
findes	ˈfenəs
spil	ˈsbelˀ
roligt	ˈʁoːlid
let	ˈlɛd
sender	ˈsɛnɐ
værelse	ˈvɛːɐlsə
stod	ˈsdoðˀ
fyre	ˈfyːɐ
dårlig	ˈdɒːli
bede	ˈbeːˀ
land	ˈlanˀ
henter	ˈhɛndɐ
derude	ˈdeɐˀˌuːðə
oppe	ˈɐbə
begyndte	beˈɡønˀdə
hoved	ˈhoːəð
person	pɛɐˈsoːˀn
stykke	ˈsdøɡə
træt	ˈtʁɛd
by	ˈbyːˀ
manden	ˈmanˀən
sex	ˈsɛɡs
sikke	ˈseɡə
natten	ˈnadən
kære	ˈkɛːɐ
sikkerhed	ˈseɡɐˌheðˀ
mødes	ˈmøːðəs
sove	ˈsɐwə
ønske	ˈønsɡə
skynd	ˈsɡønˀ
idiot	idiˈoːˀd
fald	ˈfalˀ
dr	ˈdeːˀˌɛɐ
tøj	ˈtɐj
miss	ˈmis
bo	ˈboːˀ
mangler	ˈmɑŋˀlɐ
kaffe	ˈkɑfə
sidde	ˈseðə
føles	ˈføːləs
godmorgen	ɡoˈmɒːɐn
nede	ˈneːðə
frank	ˈfʁɑŋˀɡ
røven	ˈʁœːˀvən
lykke	ˈløɡə
millioner	miliˈoːˀnɐ
mente	ˈmeːndə
givet	ˈɡiːəð
derinde	ˈdeɐˀˌenə
jamen	ˈjamən
dum	ˈdɔmˀ
syg	ˈsyːˀ
søde	ˈsøːðə
rart	ˈʁɑːˀd
mindste	ˈmenˀsdə
kl	ˈklasə
husk	ˈhusɡ
kæmpe	ˈkɛmbə
hænder	ˈhɛnˀɐ
mærke	ˈmɛɐɡə
rette	ˈʁɛdə
svin	ˈsviːˀn
lod	ˈlɐð
york	ˈjɒːɡ
film	ˈfilˀm
desværre	deˈsvɛːɐ
krig	ˈkʁiːˀ
tal	ˈtaːˀl
skrive	ˈsɡʁiːvə
forhold	ˈfɒːˌhɐlˀ
skade	ˈsɡaːðə
herre	ˈhɛːɐ
fængsel	ˈfɛŋˀsəl
spurgte	ˈsbuɐˀdə
syv	ˈsywˀ
større	ˈsdœːɐ
familien	faˈmilˀjən
godnat	ɡoˈnad
skyde	ˈsɡyːðə
lig	ˈliːˀ
øjnene	ˈɐjnənə
spiser	ˈsbiːsɐ
følge	ˈføljə
følger	ˈføljɐ
goddag	ɡoˈdaːˀ
hund	ˈhunˀ
herrer	ˈhɛːɐ
vinder	ˈvenˀɐ
godeste	ˈɡoːðəsdə
træk	ˈtʁɛɡ
anderledes	ˈɑnɐˌleðˀəs
kamp	ˈkɑmˀb
uanset	ˈuanˌseːˀd
blot	ˈblɐd
gider	ˈɡiðˀɐ
sendte	ˈsɛnˀdə
drikke	ˈdʁeɡə
travlt	ˈtʁɑwˀld
charlie	ˈtjɑːli
vild	ˈvilˀ
afsted	aˈsdɛð
fest	ˈfɛsd
tillykke	teˈløɡə
venstre	ˈvɛnsdʁɐ
passe	ˈpasə
betaler	beˈtaːˀlɐ
læse	ˈlɛːsə
kør	ˈkøɐˀ
dollar	ˈdɐlɑ
skød	ˈsɡøðˀ
brugte	ˈbʁɔɡdə
vred	ˈvʁeðˀ
stole	ˈsdoːlə
skole	ˈsɡoːlə
joe	ˈdjɔw
mike	ˈmɑjɡ
højt	ˈhɐjˀd
højre	ˈhɐjʁɐ
bekymret	beˈkømˀʁɐð
michael	ˈmiˌkaːˀl
tjeneste	ˈtjɛːnəsdə
tja	ˈtjaː
hertil	ˈheɐˀˌtel
utroligt	uˈtʁoːˀlid
straks	ˈsdʁɑɡs
onkel	ˈɔŋˀɡəl
åbne	ˈɔːbnə
råd	ˈʁɔːˀð
kørte	ˈkøɐˀdə
telefon	teleˈfoːˀn
skudt	ˈsɡud
fru	ˈfʁu
knægt	ˈknɛɡd
største	ˈsdœɐsdə
løbe	ˈløːbə
otte	ˈɔːdə
skolen	ˈsɡoːlən
sende	ˈsɛnə
hår	ˈhɒːˀ
forklare	fɒˈklɑːˀɐ
dejligt	ˈdɑjlid
kontor	kɐnˈtoɐˀ
sendt	ˈsɛnˀd
javel	jaˈvɛl
eget	ˈeːəð
vejret	ˈvɛːˀɐð
tingene	ˈteŋˀənə
damer	ˈdaːmɐ
pigen	ˈpiːən
ung	ˈɔŋˀ
billede	ˈbeleð
lede	ˈleːðə
pistol	piˈsdoːˀl
peter	ˈpeːˀdɐ
david	ˈdaːvið
børnene	ˈbœɐˀnənə
mord	ˈmoɐˀ
menneske	ˈmɛnəsɡə
fandens	ˈfanəns
spor	ˈsboɐˀ
normalt	nɒˈmaːˀld
dele	ˈdeːlə
ende	ˈɛnə
bog	ˈbɔwˀ
mødte	ˈmødə
hvide	ˈviːðə
mødt	ˈmød
kigger	ˈkiɡɐ
ægte	ˈɛɡdə
vinde	ˈvenə
doktor	ˈdɐɡdɒ
mistet	ˈmesdəð
dyr	ˈdyɐˀ
indenfor	ˈenənˌfɒ
sover	ˈsɐwˀɐ
stopper	ˈsdɐbɐ
glemt	ˈɡlɛmˀd
læge	ˈlɛːə
skyder	ˈsɡyːðɐ
bord	ˈboɐˀ
fyren	ˈfyːˀɐn
bedst	ˈbɛsd
røv	ˈʁɐwˀ
elske	ˈɛlsɡə
faldt	ˈfalˀd
lys	ˈlyːˀs
slemt	ˈslɛmˀd
lyver	ˈlyːˀvɐ
george	ˈdjɒːdʃ
begynde	beˈɡønˀə
ha	ˈha
betjent	beˈtjɛːˀnd
slået	ˈslɔːəð
sikre	ˈseɡʁɐ
forlade	fɒˈlaðˀə
advokat	aðvoˈkaːˀd
ændre	ˈɛndʁɐ
beviser	beˈviːˀsɐ
aftes	ˈɑfdəs
fanget	ˈfɑŋəð
telefonen	teleˈfoːˀnən
lærer	ˈlɛːɐ
baby	ˈbɛjbi
kendt	ˈkɛnˀd
dumme	ˈdɔmə
overhovedet	ɐwɐˈhoːðəð
sort	ˈsoɐd
ene	ˈeːnə
usa	uɛsˈaːˀ
kalde	ˈkalə
middag	ˈmeda
herinde	ˈheɐˀˌenə
forsøger	fɒˈsøːˀɐ
james	ˈdjɛjms
sekunder	seˈkɔnˀdɐ
født	ˈføːˀd
skrev	ˈsɡʁewˀ
kig	ˈkiɡ
skriver	ˈsɡʁiːˀvɐ
hænderne	ˈhɛnˀɐnə
selvom	ˈsɛlˀˌɐm
nemlig	ˈnɛmli
mistede	ˈmesdəðə
landet	ˈlanˀəð
arbejdede	ˈɑːˌbɑjˀdəðə
tidspunkt	ˈtiðsˌpɔŋˀd
smukt	ˈsmɔɡd
falder	ˈfalˀɐ
flytte	ˈflødə
hent	ˈhɛnˀd
problemet	pʁoˈbleːˀməð
underligt	ˈɔnɐlid
skylder	ˈsɡylɐ
egne	ˈɑjnə
brugt	ˈbʁɔɡd
oh	ˈoː
sad	ˈsaðˀ
smukke	ˈsmɔɡə
fly	ˈflyːˀ
fare	ˈfɑːɐ
rejser	ˈʁɑjˀsɐ
umuligt	uˈmuːˀlid
ærligt	ˈɛɐlid
ide	iˈdeːˀ
vildt	ˈvilˀd
øl	ˈøl
prøvet	ˈpʁøːvəð
slippe	ˈslebə
hospitalet	hosbiˈtaːˀləð
skyd	ˈsɡyðˀ
kende	ˈkɛnə
tidligt	ˈtiðlid
dame	ˈdaːmə
skør	ˈsɡøɐˀ
stolt	ˈsdɐlˀd
løber	ˈløːˀbɐ
fars	ˈfɑːˀs
sat	ˈsad
lægge	ˈlɛːɡə
rent	ˈʁeːˀnd
føle	ˈføːlə
enhver	enˈvɛɐˀ
netop	ˈnɛdɐb
mund	ˈmɔnˀ
makker	ˈmɑɡɐ
døden	ˈdøðˀən
drink	ˈdʁeŋɡ
pokker	ˈpɐɡɐ
billeder	ˈbeleðɐ
pris	ˈpʁiːˀs
alting	ˈalˀˌteŋˀ
sælge	ˈsɛlje
fange	ˈfɑŋə
reddede	ˈʁeðəðə
ødelægge	ˈøːðəˌlɛɡə
vandet	ˈvanˀəð
stemme	ˈsdɛmə
kigge	ˈkiɡə
tør	ˈtœɐˀ
savner	ˈsɑwnɐ
sorte	ˈsoɐdə
løgn	ˈlɐjˀn
gave	ˈɡaːvə
krop	ˈkʁɐb
kontakt	kɐnˈtɑɡd
ringet	ˈʁeŋəð
fortsæt	ˈfɒːdˌsɛd
sur	ˈsuɐˀ
stoler	ˈsdoːˀlɐ
ære	ˈɛːɐ
forsigtig	fɒˈseɡdi
fleste	ˈfleːˀsdə
sid	ˈsiðˀ
starte	ˈsdɑːdə
ordne	ˈɒːdnə
præsident	pʁesiˈdɛnˀd
glemme	ˈɡlɛmə
stærk	ˈsdɛɐɡ
rør	ˈʁœɐˀ
miste	ˈmesdə
sang	ˈsɑŋˀ
stil	ˈsdiːˀl
glemte	ˈɡlɛmˀdə
pænt	ˈpɛːˀnd
gutter	ˈɡudɐ
halv	ˈhalˀ
åben	ˈɔːbən
naturligvis	naˈtuɐˀliˌviːˀs
færdige	ˈfɛɐˌdiːˀə
mrs	ˈmɑːds
angreb	ˈanˌɡʁeːˀb
lægger	ˈlɛɡɐ
smule	ˈsmuːlə
ender	ˈɛnɐ
forkerte	fɒˈkeɐˀdə
fin	ˈfiːˀn
skidt	ˈsɡid
tony	ˈtɔwni
lukket	ˈlɔɡəð
pa	ˈpeːˀˌaːˀ
pludselig	ˈplusəli
hav	ˈhɑw
drøm	ˈdʁɐmˀ
ryger	ˈʁyːˀɐ
barnet	ˈbɑːˀnəð
skål	ˈsɡɔːˀl
stjal	ˈsdjaːˀl
syntes	ˈsyndəs
følg	ˈfølˀ
mary	ˈmaʁi
midt	ˈmed
sulten	ˈsulˀdən
vender	ˈvɛnɐ
følelser	ˈføːləlsɐ
hjalp	ˈjalˀb
bestemt	beˈsdɛmˀd
direkte	ˈdiˌʁɛɡdə
øh	ˈœː
fortjener	fɒˈtjɛːˀnɐ
starter	ˈsdɑːˀdɐ
både	ˈbɔːðə
virkede	ˈviɐɡəðə
interessant	entəʁəˈsanˀd
lejlighed	ˈlɑjliˌheðˀ
røvhul	ˈʁɐwˌhɔl
vende	ˈvɛnə
guds	ˈɡuðs
henry	ˈhɛnʁi
undskylde	ˈɔnˌsɡylˀə
overalt	ɐwɐˈalˀd
paul	ˈpɑwl
oberst	ˈoːˀbɐsd
lært	ˈlɛɐˀd
derovre	ˈdeɐˀˌɐwɐ
