# Welsh LEXICON — word<TAB>IPA, for words the rules mis-derive (per-word ⟨ae⟩/⟨ai⟩ quality, ⟨y⟩-obscure
# irregulars, loan vowels, monosyllable length). kaikki.org Wiktionary Welsh (CC-BY-SA), NORTH-WALES pron,
# stress re-placed to our convention. Regen: tools/gen/build-cy-kaikki-dict.mts.
a	ˈaː
arbenigwr	ˌarbɛnˈɪɡʊr
arbennig	arbˈɛnɪɡ
arbrofi	arbrˈɔvɪ
archaea	arχˈeᶤa
archdderwydd	arχðˈɛrwɨð
archwiliad	arχwˈɪljad
archwilio	arχwˈɪljɔ
archwiliwr	arχwˈɪljʊr
arddangosfa	ˌarðaŋɡˈɔsva
arddangosfeydd	ˌarðaŋɡˈɔsveᶤð
aredig	arˈɛdɪɡ
arestiad	arˈɛsdjad
arestio	arˈɛsdjɔ
arglwyddi	arɡlˈʊᶤðɪ
argraffiadwyr	ˌarɡrafjˈadwɨr
argraffwyr	arɡrˈafwɨr
argyhoeddi	ˌarɡəhˈɔᶤðɪ
arholi	arhˈɔlɪ
arholiad	arhˈɔljad
arholwr	arhˈɔljʊr
arhosfa	arhˈɔsva
arhosiad	arhˈɔʃad
arhosodd	arhˈɔsɔð
arhosol	arhˈɔsɔl
arhoswch	arhˈɔsʊχ
arloesi	arlˈɔᶤsɪ
arlwy	ˈarluᶤ
arlywydd	arlˈəᶷɨð
arni	ˈarnɪ
arolygwr	ˌarɔlˈəɡʊr
arweinlyfr	arwˈeᶦnləvr
arweinwyr	arwˈeᶦnwɨr
arwerthwyr	arwˈɛrθwɨr
arwydd	ˈarwɨð
arwyddion	ˈarwᶤðjɔn
arwyddlun	arwˈɨðlɨn
arwynebedd	ˌarwɨnˈɛbɛð
arwyr	ˈarwɨr
asgell	ˈasɡaɬ
asgwrn	ˈasɡʊrn
asid	ˈasɪd
asidig	asˈɪdɪɡ
astrus	ˈasdrɨs
astud	ˈasdɨd
astudiaeth	asdˈɨdjaᶤθ
astudio	asdˈɨdjɔ
ateb	ˈatab
atgyfodi	ˌatɡəvˈɔdɪ
ati	ˈatɪ
atomig	atˈɔmɪɡ
awtistiaeth	aᶷtˈɪsdjaᶤθ
babi	bˈabɪ
babis	bˈabɪs
bae	bˈaːᶤ
baedd	bˈaːᶤð
baeddod	bˈeᶤðɔd
baeddu	bˈaːᶤðɨ
baent	bˈaːᶤnt
bag	bˈaɡ
balchder	bˈalχdar
baledi	balˈɛdɪ
banc	bˈaŋk
baneri	banˈɛrɪ
baril	bˈarɪl
barnwyr	bˈarnwɨr
barti	bˈartɪ
bartner	bˈartnar
bartïon	bartˈiːɔn
barwn	bˈaːrʊn
barwnig	barˈʊnɪɡ
basgedi	basɡˈɛdɪ
bathu	bˈaːθɨ
baw	bˈaːᶷ
begwn	bˈɛɡʊn
bei	bˈei
beichiogi	beᶦχjˈɔɡɪ
beidio	beˈidjɔ
beiriannwyr	beᶤrjˈanwɨr
beiriannydd	beᶤrjˈanɨð
bellter	bˈɛɬdɛr
bencampwr	bɛŋkˈampʊr
bencampwriaeth	bˌɛŋkampˈʊrjaᶤθ
bencampwyr	bɛŋkˈampwɨr
bendigaid	bɛndˈɪɡaᶦd
bendigedig	bˌɛndɪɡˈɛdɪɡ
bendith	bˈɛndɪθ
bendithio	bɛndˈɪθjɔ
benglog	bˈɛŋɡlɔɡ
benyw	bˈɛnɨᶷ
benywaidd	bɛnˈəᶷaᶦð
benywod	bɛnˈəᶷɔd
berwbwynt	bˈɛrwbʊᶤnt
beudai	bˈeᶤdaᶤ
bigddu	bˈɨɡðɨ
bigyn	bˈɪɡɨn
bil	bˈɪl
biliwn	bˈɪljʊn
bin	bˈɪn
binc	bˈɪŋk
biocemegol	bˌiɔkɛmˈɛɡɔl
bioleg	biˈɔlɛɡ
biolegol	bˌɪɔlˈɛɡɔl
biolegydd	bˌɪɔlˈɛɡɨð
bisgedi	bɪskˈedi
biws	bˈɪᶷs
blaen	blˈaːᶤn
blaenaf	blˈeᶤna
blaengar	blˈeᶤŋɡar
blaenor	blˈeᶤnɔr
blaenoriaeth	bleᶤnˈɔrjaᶤθ
blaenoriaid	bleᶤnˈɔrjaᶦd
blaenorol	bleᶤnˈɔrɔl
blanc	blˈaŋk
blew	blˈeːᶷ
blin	blˈiːn
blinedig	blɪnˈɛdɪɡ
blino	blˈɪnɔ
blog	blˈɔɡ
blwydd	blˈuːᶤð
bod	bˈoːd
bodoli	bɔdˈɔlɪ
boed	bˈoːᶤd
boeni	bˈɔᶤnɨ
boeth	bˈoːᶤθ
boethach	bˈɔᶦθaχ
boncyff	bˈɔŋkɨf
boneddigaidd	bˌɔnɛðˈɪɡaᶦð
boneddiges	bˌɔnɛðˈɪɡɛs
boneddigion	bˌɔnɛðˈɪɡjɔn
bonheddig	bɔnhˈɛðɪɡ
bosib	bˈɔsɪb
bostio	bˈɔsdjɔ
botel	bˈɔtal
bragu	brˈaɡɪ
braster	brˈasdɛr
brasterog	brasdˈɛrɔɡ
braw	brˈaːᶷ
brechlyn	brˈɛχɬɨn
brenhinoedd	brɛnhˈɪnɔᶤð
brenhinol	brɛnhˈɪnɔl
brenin	brˈɛnɪn
brest	brˈɛsd
bric	brˈɪk
brics	brˈɪks
bridge	brˈɪd͡ʒ
bridio	brˈɪdjɔ
brifddinas	briːvðˈɪnas
brifo	brˈɪvɔ
briod	brˈiɔd
briodi	briˈɔdi
briw	brˈɪᶷ
briweg	brˈɪᶷaɡ
bromid	brˈɔmɪd
bromin	brˈɔmɪn
brongoch	brˈɔŋɡɔχ
bronwyn	brˈɔnwɨn
brws	brˈʊʃ
brwsh	brˈʊʃ
brwshys	brˈʊʃɨs
brwyn	brˈuːᶤn
brydferth	brˈədvɛθ
bryngaer	brˈəŋɡaᶤr
buan	bˈɨːan
buarth	bˈɨːarθ
buddsoddi	bɨðsˈɔðɪ
buddugwr	bɨðˈɨɡʊr
budr	bˈɨdɨr
bugail	bˈɪɡaᶦl
bur	bˈɨːr
buwch	bˈɨᶷχ
bwa	bˈuːa
bwletin	bʊlˈɛtɪn
bws	bˈʊs
bwyd	bˈuːᶤd
bwyelli	bʊᶤˈɛɬɪ
bwyll	bˈuːᶤɬ
bwys	bˈuːᶤs
bwysig	bˈʊᶤsɪɡ
byddin	bˈəðɪn
bygwth	bˈəɡʊθ
byngalo	bəŋɡˈalɔ
byrhoedlog	bɨrhˈoːᶤdlɔɡ
byrraf	bˈəra
bysgodyn	bˈəsɡɔdᶤn
bywiog	bˈɨᶷjɔɡ
bywyd	bˈəᶷɨd
bywydeg	bəᶷˈədɛɡ
cader	kˈaːdɛr
cadernid	kadˈɛrnɪd
cae	kˈaːᶤ
caed	kˈaːᶤd
caeedig	keᶤˈɛdɪɡ
caeir	kˈeᶤɪr
caen	kˈaːᶤn
caent	kˈaːᶤnt
caer	kˈaːᶤr
caeth	kˈaːᶤθ
caethiwed	kˌeɨθˈɪᶷɛd
caethiwo	kˌeɨθˈɪᶷɔ
caethwas	kˈeᶤθwas
caethwasiaeth	keᶤθwˈaʃaᶤθ
caethweision	keᶤθwˈeᶦʃɔn
caffi	kˈafɪ
caffis	kˈafɪs
cainc	kˈaᶦŋk
calsiwm	kˈalsjʊm
camlesi	kamlˈɛsɪ
canllaw	kˈanɬaːᶷ
canolig	kanˈɔlɪɡ
canolwyr	kanˈɔlwɨr
canrif	kˈanrɪv
canwraidd	kˈanwraᶦð
cardigan	kardˈɪɡan
cardinal	kardˈɪnal
cardinaliaid	kˌardɪnˈaljaᶦd
caredig	karˈɛdɪɡ
carfil	kˈarvɪl
cariwr	kˈarjʊr
carwriaethol	kˌarʊrjˈeᶤθɔl
cast	kˈasd
cawell	kˈawɛɬ
cedrwydd	kˈɛdruᶤð
cefngoch	kˈɛvnɡɔχ
cefnwyn	kˈɛvnwɨn
cefnwyrdd	kˈɛvnwɨrð
cegin	kˈɛɡɪn
celfi	kˈɛlvɪ
celli	kˈɛɬɪ
celwydd	kˈɛlwɨð
cenedlaethol	kˌɛnɛdlˈeᶤθɔl
cenllif	kˈɛnɬɪv
cennin	kˈɛnɪn
cerddi	kˈɛrðɪ
cerddorfaol	kˌɛrðɔrvˈaːɔl
cerddorfeydd	kɛrðˈɔrveᶤð
ceri	kˈɛrɪ
cerrig	kˈɛrɪɡ
ceryddu	kɛrˈɨðɨ
cest	kˈɛsd
cestyll	kˈɛsdɨɬ
chadw	χˈadu
chae	χˈaːᶤ
chaeth	χˈaːᶤθ
champion	tʃˈampjɔn
chardinal	χardˈɪnal
chari	χˈarɪ
chegin	χˈɛɡɪn
cherddi	χˈɛrðɪ
cherrig	χˈɛrɪɡ
chlust	χlˈɨːst
chlwb	χlˈʊb
chodi	χˈɔdɪ
choed	χˈoːᶤd
choginio	χɔɡˈɪnjɔ
chroes	χrˈoːᶤs
chul	χˈɨːl
chwaer	χwˈaːᶤr
chwaeth	χwˈaːᶤθ
chwaraeon	χwarˈeᶤɔn
chwarter	χwˈartar
chwerthin	χwˈɛrθɨn
chwerthinllyd	χwɛrθˈɪnɬɨd
chwerthinog	χwɛrθˈɪnɔɡ
chwerw	χwˈɛru
chwiler	χwˈɪlɛr
chwilio	χwˈɪljɔ
chwilod	χwˈɪlɔd
chwilota	χwɪlˈɔta
chwilys	χwˈɪlɨs
chwim	χwˈɪm
chwiorydd	χwiˈɔrɨð
chwip	χwˈɪp
chwiwell	χwˈɪᶷɛɬ
chwrw	χˈʊru
chwydd	χˈuːᶤð
chwyddiant	χwˈəðjant
chwydu	χwˈədɨ
chwyslyd	χwˈəslɨd
chwythu	χwˈəθɨ
chyfarfod	χwˈarvɔd
chyfreithiwr	χəvrˈeᶦθjʊr
chystadlu	χəsdˈadlɨ
chywir	χˈəᶷɪr
cibwts	kˈɪbʊts
cic	kˈɪk
cicio	kˈɪkjɔ
cigfrain	kˈɪɡvraᶦn
cigfran	kˈɪɡvran
cigydd	kˈɪɡɨð
cil	kˈiːl
cilfach	kˈɪlvaχ
cilgant	kˈɪlɡant
cilio	kˈɪljɔ
cilogram	kɪlˈɔɡram
cinio	kˈɪnjɔ
cip	kˈɪp
cipio	kˈɪpjɔ
cist	kˈiːsd
ciw	kˈɪᶷ
ciwb	kˈɪᶷb
ciwdod	kˈɪᶷdɔd
ciwt	kˈɪᶷt
claear	klˈeᶤar
clawdd	klˈaːᶷð
cliriad	klˈɪrjad
clirio	klˈɪrjɔ
clodwiw	klˈɔdwɪᶷ
clorid	klˈɔrɪd
clun	klˈɨːn
clust	klˈɨːsd
clustdlws	klˈɨsdlʊs
clustiog	klˈɨsdjɔɡ
clwstwr	klˈʊsdʊr
clwyd	klˈuːᶤd
clywedog	kləᶷˈɛdɔɡ
clòs	klˈɔs
cnofilod	knɔvˈɪlɔd
codi	kˈɔdɪ
coed	kˈoːᶤd
coedwig	kˈɔᶤdwɪɡ
coel	kˈoːᶤl
coes	kˈoːᶤs
coeth	kˈoːᶤθ
coffi	kˈɔfɪ
cofiwch	kˈɔvjʊχ
cofiwn	kˈɔvjʊn
cofrestr	kˈoːvrɛsdr
cofrestru	kɔvrˈɛsdrɨ
cofrestrydd	kɔvrˈɛsdrɨð
coginio	kɔɡˈɪnjɔ
colli	kˈɔɬɪ
comiwnyddiaeth	kˌɔmɪᶷnˈəðjaᶤθ
comiwnyddol	kˌɔmjʊnˈəðɔl
concwest	kˈɔŋkwɛst
conigol	kɔnˈɪɡɔl
conwydd	kˈɔnwᶤð
copi	kˈɔpɪ
copïo	kɔpˈiːɔ
copïwr	kɔpˈiːʊr
corffluniwr	kɔrflˈɨnjʊr
corfflunwyr	kɔrflˈɨnwɨr
corhedydd	kɔrhˈɛdɨð
coridor	kɔrˈɪdɔr
cornbig	kˈɔrnbɪɡ
coronafirws	kˌɔrɔnavˈɪrʊs
cosb	kˈoːsb
cost	kˈoːsd
costio	kˈɔsdjɔ
crafanc	krˈavaŋk
cranc	krˈaŋk
crancod	krˈaŋkɔd
crawen	krˈaᶷan
creadigol	krˌɛadˈɪɡɔl
credi	krˈɛdɪ
credit	krˈɛdɪt
creithig	krˈeᶦθɪɡ
cribfelyn	krɪbvˈɛlɨn
cribog	krˈɪbɔɡ
cribwyn	krˈɪbwɨn
criced	krˈɪkɛd
crin	krˈiːn
criw	krˈɪᶷ
croen	krˈoːᶤn
croes	krˈoːᶤs
croestoriad	krɔᶤsdˈɔrjad
croestorri	krɔᶤsdˈɔrɪ
crogwr	krˈɔɡʊr
croyw	krˈɔᶤu
crwst	krˈʊsd
crwydryn	krˈuᶤdrɨn
crwyn	krˈuːᶤn
crwys	krˈuːᶤs
crëyr	krˈeːɨr
cuddio	kˈɪðjɔ
cuddliw	kˈɨðlɪᶷ
cul	kˈɨːl
culdir	kˈɨldɪr
cwci	kˈʊkɪ
cwest	kwˈeːsd
cwestiwn	kwˈɛsdjʊn
cwfen	kˈuːvɛn
cwis	kwˈɪs
cwningod	kʊnˈɪŋɔd
cwsg	kˈuːsɡ
cwtsh	kˈʊtʃ
cwyd	kˈuːᶤd
cwymp	kwˈɨmp
cwympo	kwˈɨmpɔ
cwyn	kˈuːᶤn
cwyr	kˈuːᶤr
cwys	kˈuᶤs
cyddwysiad	kədˈʊᶤʃad
cydosod	kɨdˈɔsɔd
cydsynio	kɨdsˈənjɔ
cydweithio	kɨːdwˈeᶦθjɔ
cydweithiwr	kɨːdwˈeᶦθjʊr
cydweithrediad	kˌɨːdweᶦθrˈɛdjad
cydweithredu	kˌɨːdweᶦθrˈɛdɨ
cydweithredwyr	kˌɨːdweᶦθrˈɛdwɨr
cydweithwyr	kɨːdwˈeᶦθwɨr
cydymdeimlad	kˌɨːdəmdˈeᶦmlad
cyfandir	kəvˈandɪr
cyfandirol	kˌəvandˈɪrɔl
cyfansoddi	kˌəvansˈɔðɪ
cyfarfod	kwˈarvɔd
cyfarwydd	kəvˈarwɨð
cyfarwyddo	kˌəvarwˈɨðɔ
cyfateb	kəvˈatab
cyfeillgarwch	kˌəveᶤɬɡˈarʊχ
cyfenw	kəvˈɛnu
cyffin	kˈəfɪn
cyffredin	kəfrˈɛdɪn
cyffredinol	kˌəfrɛdˈɪnɔl
cyfiawnhad	kəvjˈaᶷnhaːd
cyflogwr	kəvlˈɔɡʊr
cyflwyniad	kəvlˈuᶤnjad
cyflymaf	kəvlˈəma
cyfnewid	kəvnˈɛᶷɪd
cyfnewidfa	kˌəvnɛwˈɪdva
cyfoethogi	kˌəvɔᶤθˈɔɡɪ
cyfreithiwr	kəvrˈeᶦθjʊr
cyfreithwyr	kəvrˈeᶦθwɨr
cyfrif	kˈəvrɪ
cyfrifiad	kəvrˈɪvjad
cyfrifiadur	kˌəvrɪvjˈadɨr
cyfrifo	kəvrˈɪvɔ
cyfrifol	kəvrˈɪvɔl
cyfrifon	kəvrˈɪvɔn
cyfrifydd	kəvrˈɪvɨð
cyfrin	kˈəvrɪn
cyfrinach	kəvrˈɪnaχ
cyfrinachol	kˌəvrɪnˈaχɔl
cyfyngedig	kˌəvəŋˈɛdɪɡ
cylchdroi	kəlχdrˈɔɪ
cylchlwybr	kˈəlχluᶤbr
cyllid	kˈəɬɪd
cymedrig	kəmˈɛdrɪɡ
cymhlyg	kˈəm̥lɨɡ
cymhwyster	kəmhˈʊᶤsdɛr
cynefin	kənˈɛvɪn
cynhaeaf	kənhˈeᶤav
cynhenid	kənhˈɛnɨd
cynildeb	kənˈɪldɛb
cynilo	kənˈɪlɔ
cynnig	kˈənɪɡ
cynnil	kˈənɪl
cynnull	kˈənɪɬ
cynorthwyol	kˌənɔrθˈuᶤɔl
cynorthwywyr	kˌənɔrθˈʊᶤwɨr
cysgodi	kəsɡˈɔdɪ
cysondeb	kəsˈɔndab
cystadleuaeth	kˌəsdadlˈeᶤaᶤθ
cystadleuol	kˌəsdadlˈeᶤɔl
cystadleuwyr	kˌəsdadlˈeᶤwɨr
cystadleuydd	kˌəsdadlˈeᶤɨð
cystadlu	kəsdˈadlɨ
cystal	kˈəsdal
cystudd	kˈəsdɨð
cyswllt	kˈəsʊɬd
cysylltair	kəsˈəɬdaᶦr
cysylltiad	kəsˈəɬdjad
cysylltnod	kəsˈəɬdnɔd
cysylltu	kəsˈəɬdɨ
cytrefi	kətrˈɛvɪ
cywain	kˈəwaᶦn
cywasgu	kəwˈasɡɨ
cyweirio	kəᶷˈeᶦrjɔ
cywir	kˈəwɪr
cywiro	kəᶷˈɪrɔ
cywydd	kˈəᶷɨð
dacw	dˈaku
dadleoli	dˌadlɛˈɔlɪ
daear	dˈeᶤar
daeareg	deᶤˈarɛɡ
daearegwr	dˌeᶤarˈɛɡʊr
daearegwyr	dˌeᶤarˈɛɡwɨr
daeargryn	deᶤˈarɡrɨn
daeargrynfeydd	dˌeᶤarɡrˈənveᶤð
daearyddiaeth	dˌeᶤarˈəðjaᶤθ
daearyddol	dˌeᶤarˈəðɔl
daeth	dˈaːᶤθ
daethpwyd	dˈeᶤθpʊᶤd
daioni	dajˈɔni
dalit	dˈalɪt
darbwyllo	darbˈuᶤɬɔ
darlithio	darlˈɪθjɔ
darlithydd	darlˈɪθɨð
daw	dˈaːᶷ
ddaear	ðˈeᶤar
ddaeareg	ðeᶤˈarɛɡ
ddaeth	ðˈaːᶤθ
ddaw	ðˈaːᶷ
ddefnyddiwr	ðɛvnˈəðjʊr
ddeng	ðˈeːŋ
dderw	ðˈɛru
ddial	ðˈiːal
ddianc	ðˈiːaŋk
ddiffodd	ðˈɪfɔð
ddigidol	ðɪɡˈɪdɔl
ddigon	ðˈɪɡɔn
ddigwydd	ðˈɪɡwɨð
ddigwyddiad	ðɪɡˈʊᶦðjad
ddigwyddodd	ðɪɡwˈɨðɔð
ddilledyn	ðɪɬˈɛdɨn
ddiod	ðˈiːɔd
ddisgwyl	ðˈɪsɡʊᶤl
ddisgyn	ðˈɪsɡɪn
ddiweddar	ðɪᶷˈɛðar
ddiwygiedig	ðˌiwɨɡjˈɛdiɡ
ddiwylliant	ðiwˈəɬjant
ddoe	ðˈoːᶤ
ddoeth	ðˈoːᶤθ
ddringo	ðrˈɪŋɔ
dduw	ðˈɨᶷ
ddwy	ðˈuːᶤ
ddwyn	ðˈuːᶤn
ddwyrain	ðʊᶤrˈain
ddyn	ðˈɨːn
dealltwriaeth	dˌɛaɬdˈʊrjaᶤθ
dedwydd	dˈɛdwɨð
defnyddiwr	dɛvnˈəðjʊr
defnyddwyr	dɛvnˈəðwɨr
degwm	dˈɛɡʊm
deirw	dˈeᶦru
deli	dˈɛlɨ
delir	dˈɛlɪt
deliwr	dˈɛljʊr
deml	dˈɛmɛl
deng	dˈeːŋ
dengys	dˈɛŋɡɨs
deor	dˈeːɔr
derw	dˈɛru
derwydd	dˈɛrwɨð
deubegwn	deᶤbˈɛɡʊn
deufis	dˈeᶤvɪs
deugain	dˈeᶦɡaᶦn
deurywiol	deᶤrˈɪᶷjɔl
dew	dˈeːᶷ
dewin	dˈɛᶷɪn
dewiniaeth	dɛᶷˈɪnjaᶤθ
deyrnas	dˈeᶤrnas
diacon	diːˈakɔn
diafol	diˈavɔl
dial	dˈiːal
diamedr	diˈamɛdr
diamod	diːˈamɔd
dianc	dˈiːaŋk
diarddel	diˈarðɛl
diarhebion	dˌiarhˈɛbjɔn
diben	dˈɪbɛn
dibrisio	dɪbrˈɪsjɔ
dibrofiad	diːbrˈɔvjad
dibwys	dˈɪbʊᶤs
dichon	dˈɪχɔn
diciâu	dˈɪkjaːᶦ
dicter	dˈɪktɛr
diddanu	dɪðˈanɨ
diddiwedd	diðˈɪᶷɛð
diddori	dɪðˈɔrɪ
diddorol	dɪðˈɔrɔl
didoli	dɪdˈɔli
dieflig	djˈɛflɪɡ
dielw	diːˈɛlʊ
diemwnt	diːˈɛmʊnt
dienw	diˈɛnʊ
dienyddio	dˌɪɛnˈəðjɔ
difater	dɪvˈatɛr
difetha	dɪvˈɛθa
diffeithdir	dɪfˈeᶦθdɪr
diffeithwch	dɪfˈeᶦθʊχ
diffodd	dˈɪfɔð
diffyg	dˈɪfɨɡ
diflannu	dɪvlˈanɨ
diflas	dˈɪvlas
diflasu	dɪvlˈasɨ
diflino	dɪvlˈɪnɔ
difodi	dɪvˈɔdɪ
difrodi	dɪvrˈɔdɪ
difrïol	dɪvrˈiːɔl
difyr	dˈɨvɨr
difyrru	dɪvˈərɨ
digalondid	dˌɪɡalˈɔndɪd
digartref	dɪɡˈartrɛv
digid	dˈɪɡɪd
digidol	dɪɡˈɪdɔl
digon	dˈɪɡɔn
digrif	dˈɪɡrɪv
digrifwr	dɪɡrˈɪvʊr
digwydd	dˈɪɡwɨð
digwyddiad	dɪɡˈʊᶦðjad
digwyddodd	dɪɡwˈɨðɔð
dihiryn	dɪhˈɪrɨn
dileu	dˈɪleᶤ
dillad	dˈɪɬad
dilledyn	dɪɬˈɛdɨn
dilynol	dɪlˈənɔl
dilynwyr	dilˈənwɨr
dilyw	dˈɪlɨᶷ
dim	dˈɪm
din	dˈiːn
dinas	dˈɪnas
dinesig	dɪnˈɛsɪɡ
dinesydd	dɪnˈɛsɨð
dinistriol	dɪnˈɪstrjɔl
diniwed	dɪnˈiᶷɛd
diod	dˈiːɔd
diodydd	diˈɔdɨð
diog	dˈiɔɡ
diolchgarwch	dˌɪɔlχɡˈarʊχ
dipyn	dˈɪpɨn
dir	dˈiːr
diraddio	dɪrˈaðjɔ
direidus	dɪrˈeᶦdɨs
dirgel	dˈɪrɡɛl
dirgelion	dɪrɡˈɛljɔn
dirgrynu	dɪrɡrˈənɨ
dirlawn	dˈɪrlaᶷn
dirmyg	dˈɪrmɨɡ
dirwestol	dɪrwˈɛsdɔl
dirwyn	dˈɪruᶤn
disbyddu	dɪsbˈəðɨ
disgo	dˈɪsɡɔ
disgrifiad	dɪsɡrˈɪvjad
disgwyl	dˈɪsɡʊᶤl
disgyblaeth	dɪsɡˈəblaᶤθ
disgyblion	dɪsɡˈəbljɔn
disgyniad	dɪsɡˈənjad
disgynnydd	dɪsɡˈənɨð
disgyrchiant	dɪsɡˈərχjant
distawrwydd	dɪsdˈaᶷrʊᶤð
distrywio	dɪsdrˈəᶷjɔ
disylw	dɪsˈɨlʊ
diweddar	dɪᶷˈɛðar
diweddarach	dˌɪᶷɛðˈaraχ
diweddaru	dˌɪᶷɛðˈarɨ
diweddglo	dɪᶷˈɛðɡlɔ
diweithdra	dɪwˈeᶦθdra
diwerth	dˈɪᶷɛrθ
diwrnod	dˈɪᶷrnɔd
diwyd	dˈɪᶷɨd
diwydiant	dɪᶷˈɨdjant
diwydrwydd	dɪᶷˈədruᶤð
diwygiad	dɪwˈɪɡjad
diwygiedig	dˌiwɨɡjˈɛdiɡ
diwygio	diˈuᶤɡjɔ
diwylliant	dɪwˈɪɬjant
diwylliedig	dˌɪᶷəɬjˈɛdɪɡ
diystyru	dˌiːəsdˈərɨ
