# Punjabi CROSS-SCRIPT restoration lexicon — real Shahmukhi spelling ⇥ GOLD canonical IPA.
# The IPA comes from the VOWELED Gurmukhi sister-spelling (kaikki dual-script pairs) via our Gurmukhi g2p,
# so it restores the short vowels + majhūl و/ی + retroflex ن/ݨ the Shahmukhi abjad drops. CC-BY-SA (kaikki).
# SECOND SOURCE: pa↔pnb Wikipedia TITLE pairs (Wikidata sitelinks; 18,930 dual-wiki articles), word-aligned
# positionally when token counts match — every pair clears the same skeleton gate (a re-worded title
# differs in its plain consonants and is dropped: ਮਹਾਤਮਾ/موہن). Titles are CC-BY-SA like the rest.
# Consonant-skeleton gated. Regenerate: tools/perso-arabic/build_gurmukhi_shahmukhi.ts
آؤچ	ˈaːʊt͡ʃ
آہوجہ	əɦˈuːd͡ʒaː
آہیر	əɦˈiːɾ
آیان	əjˈaːn
آیاپانیکو	aːjaːpaːnˈeːkoː
آیوروید	aːjʊɾʋˈeːd̪
آیوشمان	aːjuːʃmˈaːn
آیوشی	ˈaːjʊʃiː
أبو	ˈəbuː
اء	ˈaː
اؤجلا	ˈɔːd͡ʒlaː
ائیئر	əˈiːəɾ
ائیر	əˈiːəɾ
ائیرویز	eːəɾʋˈeːz
ائیشا	əˈiːʃaː
ابا	ˈəbːaː
ابابا	ˈaːbbaː
اباد	əbˈaːd̪
اباسی	ʊbˈaːsiː
اباکان	əbaːkˈaːn
ابتدا	ˈɪbt̪ɪd̪aː
ابجد	ˈəbd͡ʒəd̪
ابخازی	əbxˈaːziː
ابدال	əbd̪ˈaːl
ابدالی	əbd̪ˈaːliː
ابرار	əbɾˈaːɾ
ابراھیم	ɪbɾˈaːɦɪm
ابراہام	əbɾˈaːɦəm
ابراہم	əbɾˈaːɦəm
ابراہیم	ɪbɾaːɦˈiːm
ابرول	əbɾˈoːl
ابسن	ˈɪbsən
ابل	ˈeːbəl
ابن	ˈɪbən
ابو	ˈəbuː
ابوبکر	əbˈuːbkəɾ
ابوجا	ˈəbʊd͡ʒaː
ابوگیدا	aːbuːɡˈiːd̪aː
ابوہر	əbˈoːɦəɾ
ابھشیک	ə˥˩bɪʃˈeːk
ابھیلاشا	ˈə˥˩bɪlaːʃaː
ابی	ˈəbiː
ابیگیل	əbiːɡˈɛːl
اتاترک	ət̪ˈaːt̪ʊɾək
اتانو	ət̪ˈaːnʊ
اتاپوئیرکا	aːt̪aːpʊˈɪɾkaː
اتاںہ	ʊt̪ˈãɦ
اتحاد	ɪt̪ɪɦˈaːd̪
اتر	ˈʊt̪ːəɾ
اتراکھنڈ	ʊt̪ːəɾaːkʰˈə̃ɳɖ
اتراکھݨڈ	ʊt̪ːəɾkʰˈə̃ɳɖ
اترو	ˈət̪ɾoː
اتری	ˈət̪ɾiː
اترݨا	ʊt̪ːˈəɾɳaː
اتلا	ˈʊt̪laː
اتم	ˈʊt̪ːəm
اتوار	ɛːt̪ʋˈaːɾ
اتول	ˈət̪ʊl
اتپادن	ʊt̪pˈaːd̪ən
اتھاپا	ˈʊt̪ʰəpːaː
اتھرو	ˈət̪ʰːəɾuː
اتھلیٹکس	ət̪ʰlˈɛːʈɪkəs
اتھوں	ˈɪt̪ʰːõ
اتھپ	ˈʊt̪ʰəp
اتھینا	eːt̪ʰˈeːnaː
اتھے	ˈɪt̪ʰːeː
اتہاس	ɪt̪ɪɦˈaːs
اتہاسکاری	ɪt̪ɪɦˈaːskaːɾiː
اتے	ˈət̪eː
اج	ˈəd͡ʒː
اجاتشترو	əd͡ʒˈaːt̪ʃət̪ɾuː
اجارہ	ɪd͡ʒˈaːɾaː
اجازت	ɪd͡ʒˈaːzət̪
اجازتاں	ɪd͡ʒˈaːzt̪ã
اجالا	ʊd͡ʒˈaːlaː
اجاگر	ʊd͡ʒˈaːɡəɾ
اجر	ˈəd͡ʒəɾ
اجرک	ˈəd͡ʒɾək
اجمان	əd͡ʒmˈaːn
اجمانی	əd͡ʒmˈaːniː
اجمل	ˈəd͡ʒməl
اجمیر	əd͡ʒmˈeːɾ
اجنبی	əd͡ʒˈənbiː
اجنتا	əd͡ʒˈə̃n̪t̪aː
اجنتھا	əd͡ʒˈə̃n̪t̪ʰaː
اجوکا	əd͡ʒˈoːkaː
اجویݨ	əd͡ʒʋˈaːɪɳ
اجڑ	ˈɪd͡ʒːəɽ
اجگر	ˈəd͡ʒɡəɾ
اجیا	əd͡ʒˈeːjaː
اجیت	ˈəd͡ʒɪt̪
اجیتھ	əd͡ʒˈiːt̪ʰ
اجین	ʊd͡ʒːˈɛːn
اجیہا	ˈəd͡ʒɪɦaː
اجے	ˈəd͡ʒeː
احد	ˈəɦəd̪
احساس	əɦɪsˈaːs
احسان	əɦɪsˈaːn
احسن	ˈəɦɪsən
احمد	ˈəɦɪməd̪
احمدآباد	əɦɪmd̪aːbˈaːd̪
اخبار	əxbˈaːɾ
اخباراں	əxbˈaːɾã
اخبارنویس	əxbaːɾənʋˈiːs
اخبارنویسی	əxbaːɾənʋˈiːsiː
اختر	ˈəxt̪əɾ
اخوتسک	əxˈoːt̪sək
ادا	ˈuːd̪aː
ادائن	ʊd̪ˈaːɪn
ادارہ	əd̪ˈaːɾaː
اداس	ʊd̪ˈaːs
اداسی	ʊd̪ˈaːsiː
اداسینتا	ʊd̪aːsˈiːnt̪aː
ادالجا	əd̪ˈaːld͡ʒaː
اداما	əd̪ˈaːmaː
ادانا	əd̪ˈaːnaː
اداکار	əd̪aːkˈaːɾ
اداکاراواں	əd̪aːkaːɾˈaːʋã
اداکارہ	əd̪aːkˈaːɾaː
اداین	ʊd̪ˈaːjən
ادب	ˈəd̪əb
ادبی	ˈəd̪biː
ادت	ˈʊd̪ɪt̪
ادجن	ˈʊd̪d͡ʒən
ادر	ˈʊd̪əɾ
ادرنہ	əd̪ˈɪɾnaː
ادرک	ˈəd̪ɾək
ادریس	ɪd̪ɾˈiːs
ادنانی	ɪd̪nˈaːniː
ادکھ	ˈəd̪ɪkʰː
ادھ	ˈə˥˩d̪ː
ادھا	ˈə˥˩d̪ːaː
ادھاس	ʊ˥˩d̪ˈaːs
ادھرک	ˈə˥˩d̪ɾək
ادھلنا	ˈʊ˥˩d̪ːəɭnaː
ادھک	ˈə˥˩d̪ːək
ادھین	ə˥˩d̪ˈiːn
ادھیکار	ə˥˩d̪ɪkˈaːɾ
ادیب	əd̪ˈiːb
ادیتی	ˈəd̪ɪt̪iː
ادیس	ˈaːd̪ɪs
ادیپور	ʊd̪ˈɛːpʊɾ
ادیگال	ɛːɖˈiːɡəl
ادے	ˈʊd̪ɛː
اذان	əzˈaːn
ارا	ˈaːɾaː
اراده	ɪɾˈaːd̪aː
ارافورا	əɾˈaːfʊɾaː
ارال	əɾˈaːl
اران	əɾˈaːn
ارب	ˈəɾəb
اربیل	əɾbˈiːl
ارتندر	əɾt̪ˈɪ̃n̪d̪əɾ
ارتھ	ˈəɾət̪ʰ
ارتھروپوڈ	aːɾət̪ʰɾoːpˈoːɖ
ارجت	ˈʊɾd͡ʒɪt̪
ارجمند	əɾd͡ʒʊmˈə̃n̪d̪
ارجن	ˈəɾd͡ʒʊn
ارجنٹائن	əɾd͡ʒəɳʈˈiːniː
ارجنٹینا	əɾd͡ʒəɳʈˈiːnaː
ارداس	əɾd̪ˈaːs
اردن	ˈaːɾd̪ən
اردو	ˈʊɾd̪uː
ارزپریت	əɾzəpɾˈiːt̪
ارسطو	əɾˈəst̪uː
ارسی	ˈəɾsiː
ارشاد	ɪɾʃˈaːd̪
ارشد	ˈəɾʃəd̪
ارشک	ˈəɾʃək
ارطغرل	əɾt̪ʊɣɾˈuːl
ارلی	ˈəɾliː
ارم	ˈɪɾəm
ارما	ˈɪɾmaː
ارمان	əɾmˈaːn
ارمتراؤد	ɪɾmət̪ɾˈɔːd̪
ارملا	ˈʊɾmɪlaː
ارملیش	ʊɾmɪlˈeːʃ
ارمچی	ʊɾˈʊmt͡ʃiː
ارمیلا	ˈʊɾmɪlaː
ارنا	ˈəɾnaː
ارنب	ˈəɾnəb
ارنسٹ	əɾnˈɛːsʈoː
ارنڈ	əɾˈɪ̃ɳɖ
ارنی	əɾˈeːniː
ارنیسٹ	əɾnˈɛːsəʈ
اروبا	əɾˈuːbaː
ارولانندم	əɾʊlaːnˈə̃n̪d̪əm
ارون	ˈəɾʊɳ
ارونا	ˈəɾʊɳaː
اروناچل	əɾʊɳˈaːt͡ʃəl
اروندھتی	əɾˈʊ̃˥˩n̪d̪ət̪iː
ارونیما	ˈəɾʊɳɪmaː
اروڑا	əɾˈoːɽaː
اروڑہ	əɾˈoːɽaː
اروی	ˈəɾʋiː
ارویداس	əɾʋiːd̪ˈaːs
ارپن	ˈəɾpən
ارپنا	əɾˈəpnaː
ارپڈ	ˈʊɾpəd̪
ارپیتا	ˈəɾpɪt̪aː
ارچنا	əɾˈət͡ʃnaː
ارچیتا	ˈəɾt͡ʃɪt̪aː
ارکو	ˈəɾkoː
ارکی	ˈəɾkiː
ارہر	ˈəɾɦəɾ
اریتھا	əɾˈeːt̪ʰaː
ارین	ɪɾˈiːn
اریڈیم	ɪɾiːɖˈiːəm
ارےراج	əɾeːɾˈaːd͡ʒ
ازبک	ʊzbˈeːk
ازبکستان	ʊzbeːkɪst̪ˈaːn
ازرا	ˈɛːzɾaː
ازفر	ˈəzfəɾ
ازل	ˈəzəl
ازماؤنا	əzmˈaːʊɳaː
ازمیر	ˈɪzmɪɾ
ازٹیک	əzt̪ˈeːk
اساتھوں	əsˈaːt̪ʰõ
اسام	əsˈaːm
اسامو	ɪsˈaːmuː
اسامہ	ʊsˈaːmaː
اسان	əsˈaːn
اسانوں	əsˈaːnũ
اساوری	əsˈaːʋɾiː
اساڈا	əsˈaːɖaː
اساں	ˈəsã
استاد	ʊst̪ˈaːd̪
استت	ˈʊst̪ət̪
استرا	ʊsˈət̪ɾaː
استری	ɪsˈət̪ɾiː
استنبول	ɪst̪ˈaːnbʊl
استھان	əst̪ʰˈaːn
استھی	ˈəst̪ʰiː
اسحاق	ɪsɦˈaːq
اسد	ˈəsəd̪
اسر	ˈəsʊɾ
اسرئیا	ʊsɾəˈiːaː
اسرنا	ʊsːˈəɾnaː
اسلام	ɪslˈaːm
اسلامی	ɪslˈaːmiː
اسلامیت	ɪslaːmˈiːət̪
اسلان	əslˈaːn
اسلم	ˈəsləm
اسما	ˈəsmaː
اسماء	ˈəsmaː
اسمارا	əsmˈaːɾaː
اسمارہ	əsmˈaːɾaː
اسماعیل	ɪsmaːˈiːl
اسمان	əsmˈaːn
اسمانی	əsmˈaːniː
اسمرتی	sˈəmɾɪt̪iː
اسمعیل	ɪsmaːˈiːl
اسنے	ˈʊsneː
اسو	ˈəsːuː
اسوپا	əsˈoːpaː
اسٹارک	səʈˈaːɾək
اسٹریپ	səʈɾˈiːp
اسٹوکس	səʈˈoːkəs
اسٹڈی	sˈəʈəɖːiː
اسٹیشن	səʈˈeːʃən
اسٹیڈیم	səʈeːɖˈiːəm
اسپات	ɪspˈaːt̪
اسپرانتو	ɛːsːəpeːɾˈãn̪t̪oː
اسپین	səpˈeːn
اسکرا	ɪsˈəkɾaː
اسکی	ˈɪskiː
اسکیم	səkˈiːm
اسکیپ	ɪskˈeːp
اسی	ˈəsːiː
اسیس	əsˈiːs
اسیم	əsˈiːm
اسین	ʊsˈɛːn
اسیگڑھ	əsˈiːɡəɽ
اسیں	ˈəsĩ
اشارہ	ɪʃˈaːɾaː
اشرف	ˈəʃɾəf
اشنان	ɪʃnˈaːn
اشنور	ɛːʃnˈuːɾ
اشوک	əʃˈoːk
اشوینی	ˈəʃʋɪniː
اشٹون	ˈɛːʃʈən
اشک	ˈəʃək
اشگی	ˈəʃɡiː
اشہل	ˈəʃɦəl
اشیتا	ɪʃˈiːt̪aː
اصرار	ɪsɾˈaːɾ
اصطبل	əsˈət̪bəl
اصغر	ˈəsɣəɾ
اصفہان	əsəfɦˈaːn
اصل	ˈəsəl
اصلی	ˈəsliː
اصول	əsˈuːl
اصیل	sˈiːl
اطالوی	ɪt̪ˈaːlʋiː
اظہر	ˈəzɦəɾ
اعتراض	ɪt̪ɾˈaːz
اعتصامی	ˈɛːt̪saːmiː
اعجاز	eːd͡ʒˈaːz
اعزاز	ɛːzˈaːz
اعظم	ˈaːzəm
اعظمی	ˈaːzmiː
اعلا	ˈaːlaː
اعلان	ɛːlˈaːn
اعوان	əʋˈaːn
اف	ˈɪf
افدھرے	ˈə˥˩fd̪eːɾeː
افروز	əfɾˈoːz
افسانہ	əfsˈaːnaː
افسر	ˈəfsəɾ
افسوس	əfsˈoːs
افشار	ˈəfʃəɾ
افشاں	ˈəfʃã
افضل	ˈəfzəl
افطار	ɪft̪ˈaːɾ
افغان	əfɣˈaːn
افغانستان	əfɣaːnɪst̪ˈaːn
افلاطون	əflaːt̪ˈuːn
افیمی	əfˈiːmiː
ال	ˈɪlː
الئیٹس	eːlˈiːʈɪs
الا	ˈəlːaː
الائچی	ɪlˈaːt͡ʃiː
الاباما	əlaːbˈaːmaː
الاسکا	əlˈaːskaː
الامو	əlˈaːmoː
الان	əlˈaːn
الانا	əlˈaːnaː
الاپ	əlˈaːp
الاگھ	əlˈə˥˩ɡ
الاہما	ʊlˈaːɦmaː
الاہݨی	əlaːɦʊɳˈiːã
الباسیتے	əlbaːsˈeːt̪eː
البرٹا	əlbˈəɾʈaː
البٹراس	əlbaːʈɾˈɔːs
البیرونی	ələbɾˈuːniː
التائی	əlt̪ˈaːiː
التامیرا	ˈaːlt̪aːmiːɾaː
التتمش	ɪlt̪ˈʊt̪mɪʃ
التھا	ˈʊlt̪ʰaː
الجبرا	əld͡ʒˈəbɾaː
الحان	ɪlɦˈaːn
الزام	ɪlzˈaːm
الزبتھ	eːlɪzaːbˈeːt̪ʰː
السائس	əlsˈaːs
الساندرو	əlɛːsˈãn̪d̪əɾoː
السور	ʊlsˈuːɾ
الطاف	əlt̪ˈaːf
الف	ˈɛːlɪf
الفریڈ	ələfɾˈɛːɖ
المادین	əlmaːd̪ˈeːn
الماری	əlmˈaːɾiː
الماس	əlmˈaːs
المسلمین	əlmʊsəlmˈiːn
الموڑا	əlmˈoːɽaː
المٹی	ˈəlməʈːiː
المیڈا	əlmˈeːɖaː
الن	ˈɛːlən
الو	ˈʊlːuː
الوا	ˈəlʋaː
الوری	əlˈuːɾiː
الوپ	əlˈoːp
الوپی	ʊlˈuːpiː
الٹا	ˈʊlʈaː
الٹی	ˈʊlʈiː
الپ	ˈaːləp
الپائنی	əlpˈaːɪniː
الڈیہائڈ	ɛːlɖiːɦaːˈiːɖ
الکا	ˈʊlkaː
الکالا	əlkˈaːlaː
الکبیر	ələkbˈiːɾ
الکحل	əlkˈoːɦəl
الکریم	ələkɾˈiːm
الکل	ˈɪlkəl
الکھ	ˈələkʰ
الھ	ˈɪlː
الہسنگر	ʊlɦaːsˈəŋɡəɾ
الہڑ	ˈəlːɦəɽ
الہی	ɪlˈaːɦiː
الی	ˈeːliː
الیزر	eːliːˈeːzəɾ
الیشا	əlˈiːʃaː
الیفہ	ˈəlɪf
الینر	ɛːliːnˈɔːɾ
الینوئی	ɪliːnˈaːeː
الینور	eːliːnˈoːɾ
الیکسا	əlˈɛːksaː
الیکسن	əlˈeːksɪn
الیکٹران	ɪlɛːkəʈɾˈoːn
الیکٹروسٹیٹکس	ɪlɛːkəʈɾˈoːsʈɛːʈɪkəs
الیکٹرومیگنیٹک	ɪlɛːkəʈɾoːmˈɛːɡnɛːʈɪk
الیکٹرونک	ɪlɛːkəʈɾˈaːnɪk
الیکٹرک	ɪlɛːkˈəʈɾɪk
الیگزنڈر	əlɛːɡzˈɛ̃ɳɖəɾ
الیگزينڈرا	əlɛːɡzˈɛ̃ɳɖəɾ
الیگزیندر	əlɛːɡzˈɛ̃ɳɖəɾ
الیگزینڈر	əlɛːɡzˈɛ̃ɳɖəɾ
الیگزینڈرا	əlɛːɡzˈɛ̃ɳɖəɾaː
الیہو	əlˈiːɦuː
ام	ˈʊm
اما	ˈʊmaː
امائرہ	əmˈaːɪɾaː
امارات	əmiːɾˈaːt̪
امارت	ɪmˈaːɾət̪
امال	əmˈaːl
امالاپورم	əmlˈaːpʊɾəm
امام	ɪmˈaːm
امان	ɪmˈaːn
امانت	əmˈaːnət̪
امانوئیل	ɪmˈɛːnʊəl
امانڈا	əmˈãɳɖaː
امب	ˈə̃mb
امبالا	ˈə̃mbaːlaː
امبانی	ˈə̃mbaːniː
امبر	ˈə̃mbəɾ
امبردیپ	ə̃mbəɾd̪ˈiːp
امبوجمال	ə̃mbʊd͡ʒmˈaːl
امبیدکر	ə̃mbˈeːd̪kəɾ
امبیکا	ˈə̃mbɪkaː
امت	ˈəmɪt̪
امتحان	ɪmt̪ɪɦˈaːn
امتوج	əmɪt̪ˈoːd͡ʒ
امجد	ˈəmd͡ʒəd̪
امر	aːmˈaːɾ
امراؤ	ʊmɾˈaːʊ
امراوتی	əmɾˈaːʋt̪iː
امرت	ˈə̃mɾɪt̪
امرتا	ˈə̃mɾɪt̪aː
امرتسر	ˈə̃mɾɪt̪səɾ
امرتلال	ə̃mɾɪt̪lˈaːl
امرتی	ɪmˈəɾt̪iː
امرجیت	əməɾd͡ʒˈiːt̪
امرنا	əmˈəɾnaː
امرناتھ	əməɾnˈaːt̪ʰ
امروتا	ˈəmɾʊt̪aː
امرود	əmɾˈuːd̪
امرۄد	əmɾˈuːd̪
امری	ˈɪmɾaː
امریتا	ˈəmɾɪt̪aː
امریش	əmɾˈiːʃ
امریلی	əmɾˈeːliː
امریندر	əmɾˈɪ̃n̪d̪əɾ
امریک	əmɾˈiːk
امریکا	əmɾˈiːkaː
امریکن	əmɾˈiːkən
امریکہ	əmɾˈiːkaː
امریکی	əmɾˈiːkiː
امریگو	ˈɛːmɾiːɡoː
امل	ˈəməl
املتاس	əməlt̪ˈaːs
املہ	ˈəmlaː
املی	ˈɪmliː
امن	ˈəmən
امنپال	əmənpˈaːl
امنی	ˈə̃mniː
امپھال	ɪ̃mpʰˈaːl
امڈݨا	ʊmˈəɖɳaː
امکان	ɪmkˈaːn
امہری	əmɦˈaːɾiː
امی	ˈəmiː
امیت	ˈəmɪt̪
امیتا	ˈəmɪt̪aː
امیتابھ	əmɪt̪ˈaː˥˩b
امید	ʊmˈiːd̪
امیر	əmˈiːɾ
امیریکا	əmɛːɾˈiːkaː
امیش	əmˈiːʃ
امیشا	əmˈiːʃaː
امیلینا	əmeːlˈiːnaː
امین	əmˈiːn
امینو	əmˈiːnoː
امینہ	əmˈiːnaː
ان	ˈə̃n
انا	ˈə̃naː
انابا	ɪnˈaːbaː
انار	ənˈaːɾ
انارکلی	ənaːɾˈəkliː
اناطولے	ənaːt̪ˈoːleː
اناملائی	ə̃nˈaːmlaːiː
اناناس	ənaːnˈaːs
انانتی	ənˈə̃n̪t̪
اناپا	ənˈaːpaː
اناپورنا	ə̃npˈuːɾnaː
اناہیتا	ənˈaːɦɪt̪aː
انترا	ˈə̃n̪t̪əɾaː
انترین	ə̃n̪t̪əɾˈiːn
انتظار	ɪ̃n̪t̪əzˈaːɾ
انتل	ˈə̃ɳʈɪl
انتون	ənt̪ˈoːn
انتونين	ə̃n̪t̪oːnˈiːn
انتونی	ˈə̃n̪t̪ɔːniː
انجم	ˈə̃ɲd͡ʒʊm
انجن	ˈɪ̃ɲd͡ʒəɳ
انجو	ˈə̃ɲd͡ʒuː
