# Gurmukhi EXCEPTIONS lexicon — word → IPA for the words the eval path gets wrong, carrying the
# wikipron pan_guru referee's own readings (first reading of a multi-pronunciation word).
#
# SOURCE:  wikipron pan_guru broad (en.wiktionary via wikipron) — CC-BY-SA, LICENSES/PROVENANCE.md §3.
# ⚠ THE REFEREE EVAL MUST NEVER READ THIS FILE — it was mined FROM that referee (phonemizeWordEval is the
#   scored function and stays clear; shipped phonemizeWord consults this first). House pattern: af/km.
# ⚠ Readings are the referee's notation verbatim (tone letters, ə̆) — the km arrangement, disclosed.
# Mostly the medial-schwa class proven lexical three ways: audio adjudication (FLEURS, Runs 1-2), two failed
# rule derivations (Run 4), and the 52:40 population split on the final-cluster context.
# Regenerate: npx tsx tools/gen/build-pa-guru-lexicon.mts
# ENTRIES: 217
ਂ	ä̃ːɲ
ਫ਼ਤਿਹ	fə˩˥teː
ਫੱਫਾ	pʰəpʰːaː
ਫ਼ਰਸ਼	fəɾʃə̆
ਫ਼ੁਕਰਾ	fʊkə̆ɾäː
ਫੁੱਦੂ	fʊd̪̚d̪uː
ਫੁੱਫੀ	pʰʊppʰiː
ਫੁਫੇਰ	pʰupʰeːɾə̆
ਫੁਫੇਰਾ	pʰupʰeːɾäː
ਫ਼ੈਸਲਾਬਾਦ	fɛːsləbäːd̪
ਬਹੁਤ	bɔː˩˥t
ਬੱਕਰੀ	bək̚kɾiː
ਬੱਕਰੀਓਂ	bək̚kɾiːõː
ਬੱਕਰੀਆਂ	bək̚kɾiːä̃ː
ਬਖ਼ਸ਼ਣਾ	bəxʃəɳäː
ਬਘਿਆੜ	bəɡĕ˥˩jäːɽᵊ
ਬਜਰਾ	bəd͡ʒə̆ɾäː
ਬਦਤਮੀਜ਼ੀ	bəd̪t̪əmiːziː
ਬਪਤਸਮਾ	bəpt̪əsəmäː
ਬਲਕਿ	bəlkeː
ਬਵੰਜਾ	bəʋəndʒäː
ਬਾਹਰ	bäː˦ɾə̆
ਬਾਹਰਲਾ	bäː˥ɾəläː
ਬਿਹਾਰ	biɦaːɾə
ਬੁੱਧਵਾਰ	bʊ˦d̪ːʋäɾ
ਬੂਹਾ	buːhäː
ਭ	bʱ
ਭਤ੍ਰੀਯਾ	b̥ə˥˩tɾiːjaː
ਭਾਰਾ	bhɑː˩˨ɾɑː
ਭੁੱਲਣਾ	pʊlː˩ɳäː
ਭੂਏਂ	buː˦˨ẽː
ਭੋਏਂ	b̥oː˥˩ẽː
ਭੋਂਯੇ	b̥oː˥˩ɲd͡ʒeː
ਮਸਤ	məst̪
ਮਸੇਰ	maseːɾə̆
ਮਸੇਰਾ	maseːɾaː
ਮਹਿੰਗਾ	mɛ́ːŋɡaː
ਮੰਡਣਾ	məɳɖɳaː
ਮਨੀਪੁਰ	məɳiːpʊɾə
ਮਮੇਰ	mameːɾə̆
ਮਮੇਰਾ	mameːɾaː
ਮਰਗ	məɾɡᵊ
ਮਾਈਆਂ	mäːiːjä̃ː
ਰਹਿਣਾ	ɾæ˥ɦɳäː
ਰਾਜਸਥਾਨ	ɾaːd͡ʒəsət̪aːnə
ਲਹਿੰਦਾ	lɛː˩˥ndaː
ਲੱਭਣਾ	lə˦bˑᵊɳäː
ਲੁਧਿਆਣਾ	lʊt̪ɪaːɳaː
ਵਸਤੂ	bəst̪
ਵਹੁਟੀ	ʋɔː˦ʈiː
ਵੰਞਣਾ	ʋə̃ɲd͡ʒəɳaː
ਵੰਡਣਾ	ʋəɳɖɳäː
ਵਧਣਾ	ʋəd̪ə̆ɳä
ਵਧੀਆ	ʋəd̪ʱijaː
ਵਰ	vərᵊ
ਵੱਲ	əllɪ̆
ਵਲਾਇਤ	ʋəlæːt̪ə̆
ਵੜਨਾ	ʋəɽə̆nä
ਵਾਹਿਗੁਰੂ	ʋɑːhǽɡʊruː
ਵਿਹੁ	ʋɪ˩˥
ਵਿੱਚ	bɪt͡ʃːɪ̆
ਾ	äː
ਿ	ɪ
ੀ	iː
ੁ	ʊ
ੂ	uː
ੇ	eː
ੈ	ɛː
ੋ	oː
ੌ	ɔː
