آئينو	aːiːnoː
سنڌي	sɪnd̪ʰiː
سنگھي	səŋɡʰiː
سنگھڻ	sʊŋɡʰəɳʊ
سهس	səhəsʊ
سهو	səhoː
سهڻو	sʊhɪɳoː
سوال	sʊaːlʊ
سومر	suːməɾʊ
سون	soːnʊ
سونُ	soːnʊ
سوٽ	sɔːʈʊ
سوچڻ	soːt͡ʃəɳʊ
سوڌو	suːd̪ʰoː
سيتا	siːt̪aː
سيرو	siːɾoː
سيٺ	seːʈʰɪ
سيٽي	siːʈiː
سيڌو	siːd̪ʰoː
سَؤُ	səʊ
سَتَ	sət̪ə
سَتَرِ	sət̪əɾɪ
سَزا	səzaː
سَوارُ	səʋaːɾʊ
سَٺِ	səʈʰɪ
سَپُ	səpʊ
سَڀُ	səbʰʊ
سُنگھَڻُ	sʊŋɡʰəɳʊ
سُهِڻو	sʊhɪɳoː
سٺ	səʈʰɪ
سٺو	sʊʈʰoː
سٽ	sʊʈʊ
سپ	səpʊ
سڀ	səbʰʊ
سڀاڻي	sʊbʰaːɳiː
سڄو	səʄoː
سڌ	səd̪ʰə
سڌو	sɪd̪ʰoː
سڪل	sʊkəlʊ
سڪو	sɪkoː
سڱ	sɪŋʊ
سڳورو	səɠoːɾoː
سڻي	sɪɳiː
شاباس	ʃaːbaːsɪ
شاباسِ	ʃaːbaːsɪ
شادي	ʃaːd̪iː
شام	ʃaːmə
شاگرد	ʃaːɡɪɾd̪ʊ
شاگِردُ	ʃaːɡɪɾd̪ʊ
شبنم	ʃəbɪnəmɪ
شروع	ʃʊɾuː
شري	ʃɾiː
شهر	ʃəhəɾʊ
شيشو	ʃiːʃoː
شيطان	ʃɛːt̪aːnʊ
شَهَرُ	ʃəhəɾʊ
شُڪْرُ	ʃʊkɾʊ
شِڪِلِ	ʃɪkɪlɪ
شڪ	ʃəkʊ
شڪر	ʃʊkɾʊ
شڪل	ʃɪkɪlɪ
صابڻ	saːbʊɳʊ
صاحب	saːhɪbʊ
صاحِبُ	saːhɪbʊ
صاف	saːfʊ
صحن	səhənʊ
صراف	səɾaːfʊ
صرف	sɪɾfʊ
صفر	səfəɾʊ
صلاحڪار	səlaːhəkaːɾʊ
صندوق	sənd̪uːqə
صنم	sənəmʊ
صوف	suːfʊ
صُبحُ	sʊbʊhʊ
صِرفُ	sɪɾfʊ
طالب	t̪aːlɪbʊ
طبو	t̪ɪboː
طبيب	t̪əbiːbʊ
طوبي	t̪uːbaː
طوطو	t̪oːt̪oː
عبادت	ɪbaːd̪ət̪ə
عثمان	ʊsmaːnə
عضوو	ʊzʋoː
علائقو	ɪlaːɪqoː
علي	əliː
غار	ɣaːɾʊ
غذا	ɣɪzaː
غلطي	ɣəlt̪iː
غني	ɣəniː
فارسي	faːɾsiː
فالودو	faːluːd̪oː
فرش	fəɾʃʊ
فضا	fɪzaː
فقط	fəqət̪ɪ
فلسفو	fələsəfoː
فلم	fɪlmə
فون	foːnʊ
فَرشُ	fəɾʃʊ
فڪر	fɪkɪɾʊ
قاضي	qaːziː
قاعدو	qaːɪd̪oː
قانون	qaːnuːnʊ
قرآن	qʊɾaːnʊ
قربان	qʊɾəbaːnʊ
قسم	qəsəmʊ
قلعو	qɪloː
قلم	qələmʊ
قهوو	qəhɪʋoː
قَلَمُ	qələmʊ
لاسي	laːsiː
لالاڻي	laːlaːɳiː
لانگھو	laːŋɡʰoː
لاهور	laːhoːɾʊ
لسو	ləsoː
لغت	lʊɣət̪ɪ
لفافو	lɪfaːfoː
لفظ	ləfzʊ
لهر	ləhəɾə
لهڻ	ləhəɳʊ
لوندڙي	lɔːnd̪ɪɽiː
لوهه	loːhʊ
لوڻ	luːɳʊ
ليٽڻ	leːʈəɳʊ
ليڪ	liːkə
لٺ	ləʈʰɪ
لٽڻ	lʊʈəɳʊ
لڌو	ləd̪ʰoː
لک	ləkʰʊ
لکڻ	lɪkʰəɳʊ
لڪشمي	ləkʃmiː
ماروٽ	maːɾoːʈʊ
مارڻ	maːɾɳʊ
ماسات	maːsaːt̪ʊ
ماستر	maːst̪əɾʊ
ماستَرُ	maːst̪əɾʊ
ماسي	maːsiː
مالا	maːlaː
مالها	maːlhaː
مالي	maːliː
مامو	maːmoː
مامي	maːmiː
ماني	maːniː
مانگھ	maːŋɡʰʊ
مانگھُ	maːŋɡʰʊ
ماڪ	maːkə
ماڪوڙو	maːkoːɽoː
ماڳ	maːɠʊ
ماڻهو	maːɳhuː̃
ماڻڪ	maːɳɪkʊ
ماڻڪي	maːɳɪkiː
محرم	məhəɾəmʊ
محفوظ	məhəfuːzʊ
مدت	məd̪ət̪ə
مرحبا	məɾəhɪbaː
مرڪزي	məɾkəziː
مرڻ	məɾəɳʊ
مسافر	mʊsaːfɪɾʊ
مسجد	məsd͡ʒɪd̪ɪ
مسلمان	mʊsɪləmaːnʊ
مسو	mɪsoː
مسيحي	məsiːhiː
مشعل	məʃəlʊ
معجزو	mʊd͡ʒɪzoː
مغرب	məɣəɾəbʊ
ملڪ	mʊlkʊ
مني	məniː
منڍ	mʊɳɖʰʊ
منگل	məŋɡəlʊ
منگھر	məŋɡʰɪɾʊ
مهانگو	məhaːŋɡoː
مهانگہ	məhaːŋɡʊ
مهت	mɪhɪt̪ɪ
مهرباني	məhɪɾəbaːniː
مهنو	məhɪnoː
مهينو	məhiːnoː
مهٽڻ	məhʈəɳʊ
موج	mɔːd͡ʒə
مور	moːɾʊ
موسي	muːsaː
موسيقي	mɔːsiːqiː
موڪل	moːkələ
موڪلڻ	moːkɪləɳʊ
ميدو	mɛːd̪oː
ميرو	meːɾoː
ميز	mɛːzə
ميوو	meːʋoː
ميڄالو	meːʄaːloː
مَنگلُ	məŋɡəlʊ
مَٽُ	məʈʊ
مَڇي	mət͡ʃʰiː
مَکِ	məkʰɪ
مٺ	məʈʰʊ
مٺو	məʈʰoː
مٽ	məʈʊ
مٽي	mɪʈiː
مٿ	mət̪ʰʊ
مڃ	mɪɲə
مڇ	mʊt͡ʃʰə
مڇر	mət͡ʃʰəɾʊ
مڇي	mət͡ʃʰiː
مڏو	mʊɗoː
مڙس	mʊɽəsʊ
مک	mʊkʰʊ
مکڻ	məkʰəɳʊ
مڪڙ	məkəɽʊ
مڱرو	mʊŋɪɾoː
مڱڻو	məŋɪɳoː
ناتال	naːt̪aːlʊ
نارنگي	naːɾəŋɡiː
نالو	naːloː
نان	naːnʊ
نانو	naːnoː
ناني	naːniː
نانگ	naːŋɡʊ
نانگُ	naːŋɡʊ
نانگِڻِ	naːŋɡɪɳɪ
نانگڻ	naːŋɡɪɳɪ
ناهري	naːhəɾiː
ناهي	naːheː
ناٽڪ	naːʈəkʊ
نتيجو	nət̪iːd͡ʒoː
نثر	nəsɔːɾʊ
ندي	nəd̪iː
نرگس	nəɾɡəsɪ
نقشو	nəqʃoː
نقل	nəqʊlʊ
نماز	nɪmaːzə
نمستي	nəməst̪eː
نمونو	nəmuːnoː
ننڍو	nəɳɖʰoː
نه	nə
نهاري	nɪhaːɾiː
نوڪري	noːkɪɾiː
نياڻي	nɪaːɳiː
نيرن	neːɾənɪ
نيرو	niːɾoː
نَمَستي	nəməst̪eː
نَنْڍو	nəɳɖʰoː
نَوي	nəʋeː
نَوَ	nəʋə
نَٿَ	nət̪ʰə
نَٿَڻُ	nət̪ʰəɳʊ
نٿ	nət̪ʰə
نٿڻ	nət̪ʰəɳʊ
هئڻ	hʊəɳʊ
هاري	haːɾiː
هاٿي	haːt̪ʰiː
هتي	hɪt̪eː
هجڻ	hʊd͡ʒəɳʊ
هرڻ	həɾəɳʊ
هزار	həzaːɾʊ
هفتو	həft̪oː
هلڻ	hələɳʊ
هن	hɪnə
هنداڻو	hɪnd̪aːɳoː
هندي	hɪnd̪iː
هنن	hɪnənɪ
هنڊي	hʊɳɖiː
هنڌ	hənd̪ʰʊ
هو	huː
هوس	hoːsɪ
هولي	hoːliː
هي	hiː
هَرَڻُ	həɾəɳʊ
هَفتو	həft̪oː
هَوا	həʋaː
هُجَڻُ	hʊd͡ʒəɳʊ
هُنَ	hʊnə
هِنَ	hɪnə
هِڪَ	hɪkə
هِڪُ	hɪkʊ
هٽ	həʈʊ
هٽي	həʈiː
هٿ	hət̪ʰʊ
هٿيار	hət̪ʰɪaːɾə
هڏو	həɗoː
هڪ	hɪkʊ
هڻڻ	həɳəɳʊ
وات	ʋaːt̪ʊ
وادي	ʋaːd̪iː
وار	ʋaːɾʊ
واري	ʋaːɾiː
واعدو	ʋaːɪd̪oː
والد	ʋaːlɪd̪ʊ
وانڌو	ʋaːnd̪ʰoː
وانگر	ʋaːŋɡʊɾʊ
واپس	ʋaːpəsə
واڍو	ʋaːɖʰoː
واکاڻ	ʋaːkʰaːɳə
واکاڻڻ	ʋaːkʰaːɳəɳʊ
واڱڻ	ʋaːŋəɳʊ
ورسپت	ʋɪɾəspət̪ɪ
ورهاڱو	ʋɪɾhaːŋoː
وري	ʋəɾiː
ورڻ	ʋəɾəɳʊ
وسپت	ʋɪspət̪ɪ
وقت	ʋəqt̪ʊ
ول	ʋəlɪ
ولائت	ʋɪlaːɪt̪ʊ
وهائڻ	ʋɪhaːɪɳʊ
وهاڻو	ʋɪhaːɳoː
وهڻ	ʋəhəɳʊ
ويساک	ʋeːsaːkʰʊ
ويساکُ	ʋeːsaːkʰʊ
ويهه	ʋiːhə
ويهڻ	ʋeːhəɳʊ
ويڄ	ʋeːʄʊ
ويڳاڻو	ʋeːɠaːɳoː
وَلِ	ʋəlɪ
وَٽِ	ʋəʈɪ
وَڃَڻُ	ʋəɲəɳʊ
وَڏو	ʋəɗoː
وِرَسْپَتِ	ʋɪɾəspət̪ɪ
وِسپَتِ	ʋɪspət̪ɪ
وٺڻ	ʋəʈʰəɳʊ
وٽ	ʋəʈɪ
وڄ	ʋɪʄʊ
وڇوڙڻ	ʋɪt͡ʃʰoːɽəɳʊ
وڊور	ʋɪɖuːɾə
وڌيڪ	ʋəd̪ʰiːkə
وڍڻ	ʋəɖʰəɳʊ
وڏو	ʋəɗoː
وڙ	ʋəɽʊ
وڙڻ	ʋəɽəɳʊ
وڪيل	ʋəkiːlʊ
وڻ	ʋəɳʊ
يا	jaː
ياد	jaːd̪ɪ
يسوع	jəsuː
يعني	jaːniː
يهودي	jəhuːd̪iː
يگانو	jəɡaːnoː
ٺيِڪُ	ʈʰiːkʊ
ٺَڪُرُ	ʈʰəkʊɾʊ
ٺڪر	ʈʰəkʊɾʊ
ٻار	ɓaːɾʊ
ٻال	ɓaːlʊ
ٻاهر	ɓaːhəɾʊ
ٻج	ɓɪd͡ʒʊ
ٻرڻ	ɓəɾəɳʊ
ٻلهڻ	ɓʊlhəɳɪ
ٻلو	ɓɪloː
ٻلي	ɓɪliː
ٻنڌڻ	ɓənd̪ʰəɳʊ
ٻه	ɓə
ٻولي	ɓoːliː
ٻولڻ	ɓoːləɳʊ
ٻوٿ	ɓuːt̪ʰʊ
ٻيٽ	ɓeːʈʊ
ٻيڙي	ɓiːɽiː
ٻَه	ɓə
ٻَڪَرُ	ɓəkəɾʊ
ٻَڪِرو	ɓəkɪɾoː
ٻُڌَرُ	ɓʊd̪ʰəɾʊ
ٻُڌُ	ɓʊd̪ʰʊ
ٻِلو	ɓɪloː
ٻٻر	ɓəɓʊɾʊ
ٻڌ	ɓʊd̪ʰʊ
ٻڌر	ɓʊd̪ʰəɾʊ
ٻڌو	ɓʊd̪ʰoː
ٻڌڻ	ɓʊd̪ʰəɳʊ
ٻڙي	ɓʊɽiː
ٻڪر	ɓəkəɾʊ
ٻڪرو	ɓəkɪɾoː
ٻڪري	ɓəkɪɾiː
ٻہ	ɓə
ٽامو	ʈaːmoː
ٽماٽو	ʈəmaːʈoː
ٽنڊس	ʈɪɳɖəsʊ
ٽنگ	ʈəŋɡə
ٽوڪرو	ʈoːkɪɾoː
ٽوڪري	ʈoːkəɾiː
ٽوڪِرو	ʈoːkɪɾoː
ٽي	ʈeː
ٽيهه	ʈiːhə
ٽَنگَ	ʈəŋɡə
ٽپال	ʈəpaːlə
پئڻ	pɪəɳʊ
پائڻ	paːɪɳʊ
پار	paːɾɪ
پارو	paːɾoː
پاسي	paːseː
پاند	paːnd̪ʊ
پاپڙ	paːpəɽʊ
پاڙ	paːɽə
پاڪستان	paːkɪst̪aːnʊ
پاڻ	paːɳə
پاڻي	paːɳiː
پاڻَ	paːɳə
پر	pəɾʊ
پراڻو	pʊɾaːɳoː
پردو	pəɾd̪oː
پرساد	pəɾəsaːd̪ʊ
پروگرام	pɾoːɡɾaːmʊ
پري	pəɾeː
پرڀو	pɾəbʰuː
پری	pəɾeː
پستو	pɪst̪oː
پسند	pəsənd̪ɪ
پسڻ	pəsəɳʊ
پن	pənʊ
پنج	pəɲd͡ʒə
پنجابي	pəɲd͡ʒaːbiː
پنجاهه	pəɲd͡ʒaːhə
پنو	pənoː
پنير	pəniːɾʊ
پنکو	pəŋkʰoː
پورب	puːɾəbʊ
پوشاڪ	poːʃaːkə
پوليس	puːliːsə
پونم	puːnəmə
پوهُ	poːhʊ
پوپٽ	poːpəʈʊ
پوڙهو	poːɽəhoː
پيئڻ	piːəɳʊ
پيالو	pɪaːloː
پير	peːɾʊ
پيسو	pɛːsoː
پيلو	piːloː
پين	peːnə
پينسل	peːnsɪlə
پينَ	peːnə
پينْسِل	peːnsɪlə
پيٽ	peːʈʊ
پيٽي	peːʈiː
پَردو	pəɾd̪oː
پَرَ	pəɾə
پَرُ	pəɾʊ
پَسَنْدِ	pəsənd̪ɪ
پَنجَ	pəɲd͡ʒə
پَنُ	pənʊ
پَنْو	pənoː
پَڳَ	pəɠə
پِئَڻُ	pɪəɳʊ
پٺ	pʊʈʰɪ
پٺاڻ	pəʈʰaːɳʊ
پٻڻ	pəɓʊɳɪ
پٽ	pʊʈʊ
پٽاٽو	pəʈaːʈoː
پٽي	pəʈiː
پپيتو	pəpiːt̪oː
پٿر	pət̪ʰəɾʊ
پڃر	pəɲəɾʊ
پڇ	pʊt͡ʃʰʊ
پڇم	pət͡ʃʰəmʊ
پڇڻ	pʊt͡ʃʰəɳʊ
پڙھڻ	pəɽʰəɳʊ
پڦي	pʊpʰiː
پڦڙ	pʊpʰəɽʊ
پکي	pəkʰiː
پگھار	pəɡʰaːɾʊ
پڳ	pəɠə
پڻ	pʊɳɪ
ٿالهي	t̪ʰaːlhiː
ٿالي	t̪ʰaːliː
ٿلهو	t̪ʰʊlhoː
ٿو	t̪ʰoː
ٿورا	t̪ʰoːɾaː
ٿورو	t̪ʰoːɾoː
ٿوم	t̪ʰuːmə
ٿوڪ	t̪ʰoːkʊ
ٿيلو	t̪ʰeːloː
ٿڌو	t̪ʰəd̪ʰoː
ٿڪڻ	t̪ʰʊkəɳʊ
ڀارت	bʰaːɾət̪ʊ
ڀاشا	bʰaːʃaː
ڀاڄائي	bʰaːʄaːiː
ڀاڄي	bʰaːʄiː
ڀاڙو	bʰaːɽoː
ڀاڱو	bʰaːŋoː
ڀت	bʰɪt̪ɪ
ڀلو	bʰəloː
ڀنڊار	bʰəɳɖaːɾʊ
ڀيڻ	bʰeːɳə
ڀِتِ	bʰɪt̪ɪ
ڀڃڻ	bʰəɲəɳʊ
ڄار	ʄaːɾʊ
ڄارُ	ʄaːɾʊ
ڄاهو	ʄaːhoː
ڄاڃي	ʄaːɲiː
ڄاڙي	ʄaːɽiː
ڄاڻَ	ʄaːɳə
ڄاڻڻ	ʄaːɳəɳʊ
ڄم	ʄəmʊ
ڄمڻ	ʄəməɳʊ
ڄيٺ	ʄeːʈʰʊ
ڄيٺُ	ʄeːʈʰʊ
ڄِڀَ	ʄɪbʰə
ڄڀ	ʄɪbʰə
ڄڃ	ʄəɲə
چادر	t͡ʃaːd̪əɾə
چار	t͡ʃaːɾɪ
چارو	t͡ʃaːɾoː
چارِ	t͡ʃaːɾɪ
چالاڪ	t͡ʃaːlaːkʊ
چاليهه	t͡ʃaːliːhə
چاندي	t͡ʃaːnd̪iː
چاٻو	t͡ʃaːɓoː
چاٻي	t͡ʃaːɓiː
چاپڻ	t͡ʃaːpəɳʊ
چاچو	t͡ʃaːt͡ʃoː
چاچي	t͡ʃaːt͡ʃiː
چتائڻ	t͡ʃɪt̪aːɪɳʊ
چربی	t͡ʃəɾbiː
چشمو	t͡ʃəʃmoː
چماٽ	t͡ʃəmaːʈə
چمڙو	t͡ʃəmɪɽoː
چمڻ	t͡ʃʊməɳʊ
چنڊ	t͡ʃəɳɖʊ
چوسڻ	t͡ʃuːsəɳʊ
چوٽ	t͡ʃoːʈʊ
چوپڻ	t͡ʃuːpəɳʊ
چوڙ	t͡ʃuːɽə
چيرڻ	t͡ʃiːɾəɳʊ
چيلهه	t͡ʃeːlhɪ
چيلهِه	t͡ʃeːlhɪ
چيٺ	t͡ʃeːʈʰə
چيٽ	t͡ʃeːʈʊ
چيٽُ	t͡ʃeːʈʊ
چَڱو	t͡ʃəŋoː
چٺي	t͡ʃɪʈʰiː
چٻائڻ	t͡ʃəɓaːɪɳʊ
چٻڻ	t͡ʃəɓəɳʊ
چپ	t͡ʃəpʊ
چڙھڻ	t͡ʃəɽʰəɳʊ
چڪڻ	t͡ʃɪkəɳɪ
چڱو	t͡ʃəŋoː
ڇا	t͡ʃʰaː
ڇائي	t͡ʃʰaːiː
ڇاتي	t͡ʃʰaːt̪iː
ڇت	t͡ʃʰɪt̪ɪ
ڇتر	t͡ʃʰɪt̪əɾʊ
ڇلو	t͡ʃʰəloː
ڇنڇر	t͡ʃʰəɲt͡ʃʰəɾʊ
ڇنڊڻ	t͡ʃʰəɳɖəɳʊ
ڇهه	t͡ʃʰəhə
ڇهڻ	t͡ʃʰʊhəɳʊ
ڇوڏو	t͡ʃʰoːɗoː
ڇوڙڻ	t͡ʃʰoːɽəɳʊ
ڇوڪرو	t͡ʃʰoːkɪɾoː
ڇوڪري	t͡ʃʰoːkɪɾiː
ڇوڪِرو	t͡ʃʰoːkɪɾoː
ڇيلو	t͡ʃʰeːloː
ڇَهَ	t͡ʃʰəhə
ڇَهَه	t͡ʃʰəhə
ڇٽي	t͡ʃʰəʈiː
ڇٽڻ	t͡ʃʰəʈəɳʊ
ڇڪڻ	t͡ʃʰɪkəɳʊ
ڊائري	ɖaːɪɾiː
ڊاڪٽر	ɖaːkʈəɾʊ
ڊسٽر	ɖəsʈəɾʊ
ڊڄڻ	ɖɪʄəɳʊ
ڊکڻ	ɖəkʰəɳʊ
