# Persian (fa) abjad → IPA gold — the SHORT-VOWEL RESTORATION target. Fully-voweled human pronunciations
# from wikipron fas_arab BROAD (CC0/CC-BY-SA, Wiktionary), deduped; single-letter name citations dropped;
# homograph variants kept as extra tab fields (a word is credited if ANY variant matches). This is the
# data fa's restorer should train/lookup on (abjad↔IPA), vs the current Arabic-Tashkeela harakat silver.
آئین	ʔaːjiːn	ʔaːʔiːn
آئینه	ʔaːʔiːna
آشپزخانه	ʔaːʃpazxaːna
آشپزی	ʔaːʃpaziː
آشکارا	ʔaːʃikaːraː	ʔaːʃkaːraː
آشیان	ʔaːʃijaːn
آغا	ʔaːɣaː
آغاز	ʔaːɣaːz
آغازیدن	ʔaːɣaːziːdan
آغشتن	ʔaːɣiʃtan
آغل	ʔaːɣil
آغوش	ʔaːɣoːʃ
آغیل	ʔaːɣeːl	ʔaːɣiːl
آفاق	ʔaːfaːq
آفت	ʔaːfat
آفتاب	ʔaːftaːb
آفتابه	ʔaːftaːba
آفتابی	ʔaːftaːbiː
آفتاب‌پرست	ʔaːftaːbparast
آفریدن	ʔaːfariːdan
آفریده	ʔaːfariːda
آفریقا	ʔaːfriːqaː
آفرین	ʔaːfariːn
آفرینش	ʔaːfariːniʃ
آفند	ʔaːfand
آقا	ʔaːqaː
آقایان	ʔaːqaːjaːn
آقایی	ʔaːqaːjiː
آل	ʔaːl
آلاله	ʔaːlaːla
آلایش	ʔaːlaːjiʃ
آلبالو	ʔaːlbaːluː
آلت	ʔaːlat
آلتای	ʔaːltaːj
آلتایی	ʔaːltaːjiː
آلش	ʔaːlaʃ
آلفتن	ʔaːluftan
آلفته	ʔaːlufta
آلمانی	ʔaːlmaːniː
آله	ʔaːla	ʔaːluh
آلو	ʔaːluː
آلوبالو	ʔaːluːbaːluː
آلودن	ʔaːluːdan
آلوده	ʔaːluːda
آلودگی	ʔaːluːdaɡiː
آلوچه	ʔaːluːt͡ʃa
آلیختن	ʔaːleːxtan
آماج	ʔaːmaːd͡ʒ
آمادن	ʔaːmaːdan
آماده	ʔaːmaːda
آمار	ʔaːmaːr
آمارگر	ʔaːmaːrɡar
آماسیدن	ʔaːmaːsiːdan
آماهیدن	ʔaːmaːhiːdan
آمد	ʔaːmad	ʔaːmid
آمدن	ʔaːmadan
آمرزیدن	ʔaːmurziːdan
آمریکا	ʔaːmriːkaː
آمریکایی	ʔaːmriːkaːjiː
آمنه	ʔaːmina
آموت	ʔaːmuːt
آموختن	ʔaːmoːxtan
آمودریا	ʔaːmuːdarjaː
آموز	ʔaːmoːz
آموزش	ʔaːmoːziʃ
آموزشگاه	ʔaːmuziʃɡaːh
آموزه	ʔaːmoːza
آموزگار	ʔaːmoːzɡaːr
آموسنی	ʔaːmuːsniː	ʔaːmwisniː
آمیتیست	ʔaːmiːtiːst
آمیختن	ʔaːmeːxtan
آمیخته	ʔaːmeːxta
آمیریان	ʔaːmiːrjaːn
آمیز	ʔaːmeːz
آمیزش	ʔaːmeːziʃ
آمین	aːmiːn
آن	ʔaːn
آنان	ʔaːnaːn
آناهیتا	ʔaːnaːhiːtaː
آنجا	ʔaːnd͡ʒaː
آنطور	ʔaːntawr
آنغوزه	ʔaːnɣuːza
آنقدر	ʔaːnqadr
آنچنان	ʔaːnt͡ʃunaːn
آنچه	ʔaːnt͡ʃi
آنگولا	ʔaːnɡuːlaː
آن‌ها	ʔaːnhaː
آه	ʔaːh
آهار	ʔaːhaːr
آهسته	ʔaːhista
آهن	ʔaːhan
آهنربا	ʔaːhanrubaː
آهنگ	ʔaːhanɡ
آهنگر	ʔaːhanɡar
آهنگساز	ʔaːhaŋɡsaːz
آهنگسازی	ʔaːhaŋɡsaːziː
آهنی	ʔaːhaniː
آهنین	ʔaːhaniːn
آهو	ʔaːhuː
آهیختن	ʔaːheːxtan
آوا	ʔaːwaː
آوار	ʔaːwaːr
آواره	ʔaːwaːra
آواز	ʔaːwaːz
آوازه	ʔaːwaːza
آوازی	ʔaːwaːziː
آوام	waːm	ʔaːwaːm
آوایش	ʔaːwaːjiʃ
آوخ	ʔaːwax
آور	ʔaːwar
آورد	ʔaːwarad	ʔaːward	ʔaːwurd
آوردن	ʔaːwardan
آوردگاه	ʔaːwardɡaːh
آوند	ʔaːwand
آونگ	ʔaːwanɡ
آویختن	ʔaːweːxtan
آویزان	ʔaːweːzaːn
آویشن	ʔaːweːʃaːn
آچ	ʔaːt͡ʃ
آچار	ʔaːt͡ʃaːr
آچمز	ʔaːt͡ʃmaz
آژانس	ʔaːʒaːns
آژیر	ʔaːʒiːr
آکج	ʔaːkid͡ʒ
آکندن	ʔaːkandan
آگاه	ʔaːɡaːh
آگاهاندن	ʔaːɡaːhaːndan
آگاهانه	ʔaːɡaːhaːna
آگاهی	ʔaːɡaːhiː
آگاهیدن	ʔaːɡaːhiːdan
آگرا	ʔaːɡraː
آگندن	ʔaːɡandan
آگهی	ʔaːɡahiː
آیا	aːjaː
آیات	ʔaːjaːt
آیت‌الله	ʔaːjatullaːh
آیدین	ʔaːjdiːn
آیرارات	ʔaːjraːraːt
آینده	ʔaːjanda
آینه	ʔaːjina	ʔaːjna
آیه	ʔaːja
آیینه	ʔaːjiːna
ائتلاف	ʔiʔtilaːf
اب	ʔab
ابا	ʔabaː
ابابیل	ʔabaːbiːl
اباضی	ʔibaːziː
اباضیه	ʔibaːzijja
ابتدا	ʔibtidaː
ابتداء	ʔibtidaːʔ
ابتدائی	ʔibtidaːʔiː
ابتلا	ʔibtilaː
ابتکار	ʔibtikaːr
ابجد	ʔabd͡ʒad
ابد	ʔabad
ابدال	ʔabdaːl
ابدی	ʔabadiː
ابر	ʔabar	ʔabr
ابراز	ʔibraːz
ابراهیم	ʔibraːhiːm
ابرش	ʔabraʃ
ابرنجن	ʔabrand͡ʒan
ابرنجین	ʔabrand͡ʒiːn
ابرنواختر	ʔabarnawʔaxtar
ابرو	ʔabruː
ابرک	ʔabrak
ابری	ʔabriː
ابریشم	ʔabreːʃam	ʔabreːʃum
ابریق	ʔibriːq
ابری‌ساز	ʔabriːsaːz
ابری‌سازی	ʔabriːsaːziː
ابزار	ʔabzaːr
ابزیم	ʔabziːm
ابشتن	ʔabiʃtan
ابقا	ʔibqaː
ابلاغ	ʔiblaːɣ
ابله	ʔablah
ابلیس	ʔibliːs
ابن	ʔibn
ابهام	ʔibhaːm
ابهت	ʔubbahat	ʔubbuhat
ابو	ʔabuː
ابوالحسن	ʔabulhasan
ابوالفضل	ʔabulfazl
ابوالهول	ʔabulhawl
ابوبکر	ʔabuːbakr
ابوظبی	ʔabuːzabiː
ابی	ʔaːbeː
ابیز	ʔabeːz
ابیض	ʔabjaz
اتا	ʔataː	ʔitaː
اتاق	ʔutaːq
اتحاد	ʔittihaːd
اتحادیه	ʔittihaːdijja
اتخاذ	ʔittixaːð
اتراق	ʔutraːq
اتصال	ʔittisaːl
اتفاق	ʔittifaːq
اتفاقا	ʔittifaːqan
اتلاف	ʔitlaːf
اتمام	ʔitmaːm
اتم‌ها	ætomhɒː
اتهام	ʔittihaːm
اتو	ʔutuː
اتوها	ʔutuːhaː
اثاث	ʔasaːs
اثاثیه	ʔasaːsijja
اثبات	ʔisbaːt
اثبات‌گرا	ʔisbaːtɡaraː
اثر	ʔasar
اثناعشری	ʔisnaːʔaʃariː
اثنان	ʔisnaːn
اجاره	ʔid͡ʒaːra
اجازه	ʔid͡ʒaːza
اجاق	ʔud͡ʒaːq
اجاق‌گاز	ʔud͡ʒaːqɡaːz
اجانب	ʔad͡ʒaːnib
اجبار	ʔid͡ʒbaːr
اجتماع	ʔid͡ʒtimaːʔ
اجتماعی	ʔid͡ʒtimaːʔiː
اجتناب	ʔid͡ʒtinaːb
اجر	ʔad͡ʒr
اجرا	ʔid͡ʒraː
اجزا	ʔad͡ʒzaː
اجزاء	ʔad͡ʒzaːʔ
اجساد	ʔad͡ʒsaːd
اجل	ʔad͡ʒal
اجلاس	ʔid͡ʒlaːs
اجمال	ʔid͡ʒmaːl
اجمالی	ʔid͡ʒmaːliː
احاطه	ʔihaːta
احتراز	ʔihtiraːz
احترام	ʔihtiraːm
احترامات	ʔihtiraːmaːt
احتضار	ʔihtizaːr
احتلام	ʔihtilaːm
احتمال	ʔihtimaːl
احتمالا	ʔihtimaːlan
احتیاج	ʔihtijaːd͡ʒ
احتیاط	ʔihtijaːt
احداث	ʔahdaːs	ʔihdaːs
احساس	ʔihsaːs
احسان	ʔihsaːn
احسنت	ʔahsant
احضار	ʔihzaːr
احمد	ʔahmad
احمدآباد	ʔahmadaːbaːd
احمدی‌نژاد	ʔahmadiːniʒaːd
احمر	ʔahmar
احمق	ʔahmaq
احمق‌تر	ʔahmaqtar
احواز	ʔahwaːz
احول	ʔahwal
احیا	ʔihjaːʔ
احیانا	ʔahjaːnan
اخ	ʔax
اخبار	ʔaxbaːr
اختاپوس	ʔuxtaːpuːs
اختر	ʔaxtar
اختراع	ʔixtiraːʔ
اختراعات	ʔixtiraːʔaːt
اخترمار	ʔaxtarmaːr
اختری	ʔaxtariː
اختصار	ʔixtisaːr
اختصاص	ʔixtisaːs
اختلاط	ʔixtilaːt
اختلاف	ʔixtilaːf
اختلال	ʔixtilaːl
اخته	ʔaxta
اختیار	ʔixtijaːr
اختیاری	ʔixtijaːriː
اخذ	ʔaxð
اخراج	ʔixraːd͡ʒ
اخشید	ʔixʃiːd
اخطار	ʔixtaːr
اخلاق	ʔaxlaːq
اخلاقی	ʔaxlaːqiː
اخمو	ʔaxmuː
اخوان	ʔixwaːn
اخگر	ʔaxɡar
اخیر	ʔaxiːr
اخیرا	ʔaxiːran
ادا	ʔadaː
اداره	ʔidaːra
ادامه	ʔidaːma
ادب	ʔadab
ادبا	ʔudabaː
ادبخانه	ʔadabxaːna
ادبی	ʔadabiː
ادبیات	ʔadabijjaːt
ادرار	ʔidraːr
ادراری	ʔidraːriː
ادرم	ʔadram
ادرنه	ʔadirna
ادریس	ʔidriːs
ادغام	ʔidɣaːm
ادلب	ʔidlib
ادهم	ʔadham
ادویه	ʔadwija
ادیان	ʔadjaːn
ادیب	ʔadiːb
اذان	ʔaðaːn
اذعان	ʔiðʔaːn
اذن	ʔizn	ʔiðn
اذیت	ʔaðijat
ار	ʔar
ارائه	ʔiraːʔa
ارابه	ʔaraːba
ارادت	ʔiraːdat
ارادتمند	ʔiraːdatmand
اراده	ʔiraːda
ارامنه	ʔaraːmina
اراک	ʔaraːk
اراکی	ʔaraːkiː
اراکی‌ها	ʔaraːkiːhaː
ارباب	ʔarbaːb
اربد	ʔarbad
اربعه	ʔarbaʔa
ارتباط	ʔirtibaːt
ارتجاعی	ʔirtid͡ʒaːʔiː
ارتداد	ʔirtidaːd
ارتعاش	ʔirtiʔaːʃ
ارتفاع	ʔirtifaːʔ
ارتقا	ʔirtiqaː
ارتکاب	ʔirtikaːb
ارتیشدار	ʔarteːʃdaːr
ارث	ʔirs
ارجمند	ʔard͡ʒumand
ارخا	ʔarxaː
ارد	ʔard	ʔird
اردبیل	ʔardabiːl
اردستان	ʔardistaːn
اردشیر	ʔardaʃeːr	ʔardaʃiːr
اردن	ʔurdun
ارده	ʔarda
اردو	ʔurduː
اردوگاه	ʔurduːɡaːh
اردک	ʔurdak
اردیبهشت	ʔardiːbihiʃt	ʔurdiːbihiʃt
ارز	ʔarz
ارزان	ʔarzaːn
ارزانی	ʔarzaːniː
ارزش	ʔarziʃ
ارزشمند	ʔarziʃmand
ارزشی	ʔarziʃiː
ارزن	ʔarzan
ارزه	ʔarzah
ارزیدن	ʔarziːdan
ارزیز	ʔarziːz
ارس	ʔaras	ʔaris	ʔars	ʔurs	ʔurus
ارسال	ʔirsaːl
ارسطو	ʔarastuː
ارسلان	ʔarsalaːn
ارسی	ʔurusiː
ارش	ʔaraʃ
ارشاد	ʔirʃaːd
ارشد	ʔarʃad
ارشک	ʔarʃak
ارشکی	ʔarʃakiː
ارض	ʔarz
ارعاب	ʔirʔaːb
ارغمچین	ʔarɣamt͡ʃiːn
ارغند	ʔarɣand
ارغنون	ʔarɣanuːn
ارغه	ʔarɣa
ارغوان	ʔarɣawaːn	ʔarɣuwaːn
ارغوانی	ʔarɣawaːniː	ʔarɣuwaːniː
ارم	ʔarm
ارمغان	ʔarmaɣaːn
ارمن	ʔarman
ارمنستان	ʔarmanistaːn
ارمنی	ʔarmaniː
ارمنیان	ʔarmanijaːn
اره	ʔarra
ارواح	ʔarwaːh
اروزگان	ʔuruzɡaːn
اروق	ʔaruːq
ارومیه	ʔuruːmija
اروند	ʔarwand
اروپا	ʔuruːpaː
ارژنگ	ʔarʒanɡ
ارگ	ʔarɡ
اریحا	ʔariːhaː
از	ʔaz
ازا	ʔizaː
ازار	ʔizaːr
ازاله	ʔizaːla
ازبک	ʔuzbak
ازبکستان	ʔuzbakistaːn
ازبکی	ʔuzbakiː
ازدحام	ʔizdihaːm
ازدواج	ʔizdiwaːd͡ʒ
ازدیاد	ʔizdijaːd
ازل	ʔazal
ازمیر	ʔizmiːr
ازگیل	ʔazɡiːl
اساتید	ʔasaːtiːd
اسارت	ʔasaːrat
اساس	ʔasaːs
اساسا	ʔasaːsan
اساسی	ʔasaːsiː
اسامی	ʔasaːmiː
اسب	ʔasb	ʕäsp	ʕæsb
اسباب	ʔasbaːb
اسبغول	ʔisbaɣoːl
اسبه	ʔisba
اسبی	ʔasbiː
است	ʔast
استاد	ʔustaːd
استادان	ʔustaːdaːn
استادانه	ʔustaːdaːna
استان	ʔustaːn
استانبول	ʔistaːnbuːl
استاندار	ʔustaːndaːr
استتار	ʔistitaːr
استثنا	ʔistisnaː
استثنایی	ʔistisnaːjiː
استحمار	ʔistihmaːr
استخدام	ʔistixdaːm
استخر	ʔistaxr
استخراج	ʔistixraːd͡ʒ
استخوان	ʔustuxʷaːn
استدلال	ʔistidlaːl
استدن	ʔistadan
استراتژی	ɛstɾɒːtɛʒiː
استراحت	ʔistiraːhat
استراحتگاه	ʔistiraːhatɡaːh
استراق	ʔistiraːq
استره	ʔustura
استروشن	ʔistarawʃan
استصواب	ʔistiswaːb
استعاره	ʔistiʔaːra
استعداد	ʔistiʔdaːd
استعفا	ʔistiʔfaː
استعمار	ʔistiʔmaːr
استغفرالله	ʔastaɣfirullaːh
استغنا	ʔistiɣnaː
استفاده	ʔistifaːda
استفتاء	ʔistiftaːʔ
استفراغ	ʔistifraːɣ
استفساریه	ʔistifsaːrijja
استقامت	ʔistiqaːmat
استقبال	ʔistiqbaːl
استقرار	ʔistiqraːr
استقلال	ʔistiqlaːl
استمنا	ʔistimnaː
استمناء	ʔistimnaːʔ
استناد	ʔistinaːd
استنجا	ʔistind͡ʒaː
استنجاء	ʔistind͡ʒaːʔ
استوا	ʔistiwaː
استوار	ʔustuwaːr
استوانه	ʔustuwaːna
استوایی	ʔistiwaːjiː
استکبار	ʔistikbaːr
استکمال	ʔistikmaːl
استیصال	ʔistiːsaːl
استیضاح	ʔistiːzaːh
استیون	estiːven
اسحاق	ʔishaːq
اسد	ʔasad
اسدالله	ʔasadullaːh
اسرائیل	ʔisraːʔiːl
اسرائیلی	ʔisraːʔiːliː
اسراییل	ʔisraːjiːl
اسراییلی	ʔisraːjiːliː
اسطرلاب	ʔasturlaːb	ʔisturlaːb	ʔusturlaːb
اسطوره	ʔustuːra
اسطوره‌شناسی	ʔustuːraʃinaːsiː
اسف	ʔasaf
اسفراین	ʔisfaraːjin
اسفرزه	ʔisfarza
اسفره	ʔisfara
اسفناج	ʔisfinaːd͡ʒ
اسفنج	ʔisfand͡ʒ
اسفند	ʔisfand
اسفندیار	ʔisfandijaːr
اسفندیاری	ʔisfandijaːriː
اسقف	ʔusquf
اسلام	ʔislaːm
اسلامی	ʔislaːmiː
اسلام‌آباد	ʔislaːmaːbaːd
اسلام‌گرا	ʔislaːmɡaraː
اسلاو	ʔislaːw
اسلاوی	ʔislaːwiː
اسلحه	ʔasliha
اسلوب	ʔusluːb
اسلیمی	ʔisleːmiː
اسم	ʔism
اسماء	ʔasmaːʔ
اسماعیل	ʔismaːʔiːl
اسماعیلیه	ʔismaːʔiːlijja
اسهال	ʔishaːl
اسوان	ʔaswaːn
اسپ	ʔasp
اسپانیا	ʔispaːnijaː
اسپانیایی	ʔispaːnijaːjiː
اسپرزه	ʔisparza
اسپرس	ʔispirs
اسپریس	ʔaspreːs	ʔispareːs
اسپست	ʔaspist
اسپغول	ʔispaɣoːl
اسپناخ	ʔispanaːx
اسپندان	ʔispandaːn
اسپهان	ʔispahaːn
اسپهانی	ʔispahaːniː
اسپهسالار	ʔispahsaːlaːr
اسکدار	ʔaskudaːr
اسکله	ʔiskala
اسکندر	ʔiskandar
اسکندریه	ʔiskandarijja
اسیر	ʔasiːr
اشارت	ʔiʃaːrat
اشاره	ʔiʃaːra
اشبیلیه	ʔiʃbiːlija
اشتباه	ʔiʃtibaːh
اشتباهی	ʔiʃtibaːhiː
اشتر	ʔuʃtur
اشتراک	ʔiʃtiraːk
اشتراکی	ʔiʃtiraːkiː
اشترخار	ʔuʃturxaːr
اشترغار	ʔuʃturɣaːr
اشتغال	ʔiʃtiɣaːl
اشتقاق	ʔiʃtiqaːq
اشتلم	ʔiʃtulum	ʔuʃtulum
اشتها	ʔiʃtihaː
اشتک	ʔiʃtak
اشتیاق	ʔiʃtijaːq
اشجار	ʔaʃd͡ʒaːr
اشراف	ʔaʃraːf
اشراق	ʔiʃraːq
اشرج	ʔaʃrad͡ʒ
اشرف	ʔaʃraf
اشغال	ʔiʃɣaːl
اشغالی	ʔiʃɣaːliː
اشفاق	ʔaʃfaːq	ʔiʃfaːq
اشم	ʔaʃim
اشنان	ʔuʃnaːn
اشنوسه	ʔiʃnuːsa
اشک	ʔaʃk
اشکال	ʔaʃkaːl	ʔiʃkaːl
اشکان	ʔaʃkaːn
اشکانی	ʔaʃkaːniː
اشکوب	ʔaʃkuːb	ʔuʃkuːb
اشیاء	ʔaʃjaːʔ
اصابت	ʔisaːbat
اصالت	ʔasaːlat
اصرار	ʔisraːr
اصطبل	ʔistabl
اصطلاح	ʔistilaːh
اصغر	ʔasɣar
اصفهان	ʔisfahaːn	ʔisfihaːn
اصفهانی	ʔisfahaːniː	ʔisfihaːniː
اصل	ʔasl
اصلا	ʔaslan	ʔaslaː
اصلاح	ʔislaːh
اصلی	ʔasliː
اصول‌گرا	ʔusuːlɡaraː
اصیل	ʔasiːl
اضافت	ʔizaːfat
اضافه	ʔizaːfa
اضطراب	ʔiztiraːb
اضطراری	ʔiztiraːriː
اطاعت	ʔitaːʔat
اطراف	ʔatraːf	ʔitraːf
اطرافی	ʔatraːfiː
اطلاع	ʔittilaːʔ
اطلاعات	ʔittilaːʔaːt
اطلاق	ʔitlaːq
اطلس	ʔatlas
اطمینان	ʔitmiːnaːn
اظهار	ʔizhaːr
اعتبار	ʔiʔtibaːr
اعتدال	ʔiʔtidaːl
اعتراض	ʔiʔtiraːz
اعتراف	ʔiʔtiraːf
اعتصاب	ʔiʔtisaːb
اعتقاد	ʔiʔtiqaːd
اعتماد	ʔiʔtimaːd
اعتکاف	ʔiʔtikaːf
اعتیاد	ʔiʔtijaːd
اعجاز	ʔiʔd͡ʒaːz
اعجوبة	ʔuʔd͡ʒuːba	ʔuʔd͡ʒuːbat
اعجوبه	ʔuʔd͡ʒuːba
اعدام	ʔiʔdaːm
اعزام	ʔiʔzaːm
اعصار	ʔaʔsaːr
اعضا	ʔaʔzaː
اعظم	ʔaʔzam
اعلام	ʔiʔlaːm
اعلامیه	ʔiʔlaːmijja
اعلی	ʔaʔlaː
اعماق	ʔaʔmaːq
اعمال	ʔaʔmaːl	ʔiʔmaːl
اعمی	ʔaʔmaː
اعنی	ʔaʔniː
اعیان	ʔaʔjaːn
اغتشاش	ʔiɣtiʃaːʃ
اغراق	ʔiɣraːq
اغلب	ʔaɣlab
اغوا	ʔiɣwaː
افاغنه	ʔafaːɣina
افتادن	ʔaftaːdan	ʔuftaːdan
افتاده	ʔuftaːda
افتتاحیه	ʔiftitaːhijja
افتخار	ʔiftixaːr
افترا	ʔiftiraː
افتضاح	ʔiftizaːh
افراختن	ʔafraːxtan
افراد	ʔafraːd
افراسیاب	ʔafraːsijaːb
افراشتن	ʔafraːʃtan
افراطی	ʔifraːtiː
افرنگ	ʔafranɡ
افروختن	ʔafroːxtan
افروز	ʔafroːz
افریقا	ʔafriːqaː
افزا	ʔafzaː
افزار	ʔafzaːr
افزای	ʔafzaːj
افزایش	ʔafzaːjiʃ
افزودن	ʔafzuːdan
افسار	ʔafsaːr
افسانه	ʔafsaːna
افسانوی	ʔafsaːnawiː
افسر	ʔafsar
افسردن	ʔafsurdan
افسرده	ʔafsurda
افسردگی	ʔafsurdaɡiː
افسوس	ʔafsoːs
افسون	ʔafsuːn
افسونگر	ʔafsuːnɡar
افشار	ʔafʃaːr
افشاندن	ʔafʃaːndan
افشردن	ʔafʃurdan
افشره	ʔafʃara	ʔafʃura
افشین	ʔafʃiːn
افضل	ʔafzal
افطار	ʔiftaːr
افغان	ʔafɣaːn
افغانستان	ʔafɣaːnistaːn
افغانی	ʔafɣaːniː
افق	ʔufuq
افقی	ʔufuqiː
افلاطون	ʔaflaːtuːn
افلاطونی	ʔaflaːtuːniː
افکار	ʔafkaːr
افکندن	ʔafkandan
افگار	ʔafɡaːr
افگندن	ʔafɡandan
افیون	ʔafjuːn
اقامت	ʔiqaːmat
اقامه	ʔiqaːma
اقتباس	ʔiqtibaːs
اقتصاد	ʔiqtisaːd
اقتصادی	ʔiqtisaːdiː
اقتضاء	ʔiqtizaːʔ
اقدام	ʔaqdaːm	ʔiqdaːm
اقدامات	ʔiqdaːmaːt
اقدس	ʔaqdas
اقرار	ʔiqraːr
اقصر	ʔuqsur
اقلا	ʔaqallan
اقلیت	ʔaqallijjat
