# Persian abjad → IPA SILVER, derived from Tajik cognates (the coverage extension beyond wikipron).
# word = Persian abjad (from the fa frequency wordlist); ipa = Tajik-derived Persian IPA (tajik-align remap,
# ~71% est. quality vs the fa gold — see the divergence analysis). Regenerate: tools/fa-restoration/tajik-align.ts
# machinery over the tgwiki vocabulary. Sources permissive (wikipron/tgwiki CC-BY-SA; IPA is ours). word<TAB>ipa
آبت	ʔabjɒt
اسلو	ʔaslu
اسلی	jesli
اسم	ʔasam
اش	ʔaʃjɒ
اشت	ʔaʃt
اشراف	ʔaʃrɒf
اشک	ʔaʃk
اصرار	ʔasrɒr
اصم	ʔasam
اعضا	ʔaʔzɒ
اعظم	ʔaʔzam
اعلا	ʔaʔlɒ
اعلاحضرت	ʔaʔlɒhazrat
اعمال	ʔaʔmɒl
اف	ʔaf
افت	jeft
افتاد	ʔaftɒd
افتد	ʔaftad
افراخت	ʔafrɒχta
افروخت	ʔafruχta
افریقا	ʔafriqɒ
افزار	ʔafzɒr
افزایش	ʔafzɒjiʃ
افشان	ʔafʃɒna
افکند	ʔafkand
افندی	ʔafandi
افول	ʔafula
اقصا	ʔaqsɒ
اقل	ʔaql
اکثرا	ʔaksrɒ
اکس	ʔaks
اکسل	ʔaksel
اکشن	jekʃn
اکو	ʔakajew
اگر	ʔaɡar
ال	ʔal
الا	ʔalɒ
الف	ʔalaf
الک	jelke
الکترا	jelektrɒ
الکتریک	jelektrik
الکس	ʔaleks
الکل	ʔalkala
الگو	jelɡawa
الم	ʔalma
المنت	jelement
الموت	ʔalamut
الن	jelan
النگ	ʔalanɡa
الو	ʔalwa
الوی	ʔalawi
الی	ʔali
الیت	jelita
الیسا	jeliseɒ
الین	ʔalina
ام	ʔam
اما	ʔamɒ
امارت	ʔamɒrat
امام	jemɒm
امانت	ʔamɒnat
امپر	ʔamper
امت	jemt
امرا	ʔamarɒ
امریکا	ʔamrikɒ
امل	ʔamal
امو	jemu
امور	ʔamur
امی	ʔami
امید	ʔamid
امیر	ʔamir
امیل	jemil
ان	ʔan
انبر	ʔanbar
انبوه	ʔanbuh
انت	ʔant
اند	ʔand
انداخت	ʔandɒχta
اندازد	ʔandɒzad
اندازگیری	ʔandɒzaɡiri
اندرز	ʔandarz
اندوخت	ʔanduχta
انرژی	jenerʒi
انس	ʔanas
انفال	ʔanfɒl
انگار	ʔanɡɒra
انگلیس	ʔanɡlis
اهدا	jehdɒ
اهر	ʔahar
اهورامزدا	ʔahurɒmazdɒ
او	ʔu
اوا	jewɒ
اوتار	ʔawtɒr
اوج	ʔawd͡ʒ
اوحد	ʔuhda
اورت	ʔurt
اورد	ʔurda
اورست	jewerest
اورنج	ʔawrand͡ʒ
اورنگ	ʔawranɡ
اوریک	ʔaurik
اوستا	ʔawestɒ
اوسط	ʔust
اوضاع	ʔawzɒʔ
اوقات	ʔawqɒt
اوکراین	ʔukrɒjin
اول	ʔul
اولا	ʔulɒa
اولاد	ʔawlɒd
اولین	jewelin
اومد	ʔumed
اونس	ʔuns
اونو	ʔujunu
اوه	ʔujahjɒ
اوول	ʔawwal
اوی	ʔawaj
اویغور	ʔujɣur
اوین	ʔujejn
ای	ʔi
ایچ	ʔajt͡ʃa
اید	ʔid
ایر	ʔir
ایران	ʔirɒn
ایزد	ʔizd
ایست	ʔist
ایسلند	ʔislend
ایضا	ʔizɒ
ایفل	jejfel
ایکس	ʔajaks
ایم	ʔima
ایمان	ʔimɒn
ایمن	ʔimena
این	ʔin
اینتر	ʔinter
اینترفکس	ʔinterfaks
اینترفیس	ʔinterfejs
اینترنت	ʔinternet
اینجا	ʔind͡ʒɒ
ایندکس	ʔindeks
اینشتین	jejnʃtejn
اینو	ʔinu
ایوا	ʔiwɒ
ایوان	ʔajwɒn
ایوب	ʔiwb
با	bɒ
بابت	bɒbat
باتدبیر	bɒtadbir
باخبر	bɒχabar
باخت	bɒχt
باختر	bɒχtar
باخرز	bɒχarz
بارکش	bɒrkaʃ
بازار	bɒzɒr
بازد	bɒzad
بازدید	bɒzdid
بازگشت	bɒzɡaʃt
بازو	bɒzu
بازی	bɒzi
بازیگر	bɒziɡar
باستانی	bɒstɒni
باسواد	bɒsawɒd
باشت	bɒʃt
باشد	bɒʃad
بافت	bɒfta
بافق	bɒfq
باکس	bɒks
بالشویک	bɒlʃewik
بالغ	bɒlɣa
بامبی	bɒmbaj
بامداد	bɒmdɒd
باند	bɒnd
بانک	bɒnk
بانگ	bɒnɡ
بانگی	bɒnɡi
باور	bɒwar
باید	bɒjd
بایقرا	bɒjqarɒ
ببر	babr
ببری	babri
ببو	babajew
بت	bit
بتان	betɒn
بتر	batareja
بتری	batarejaji
بجا	bed͡ʒɒ
بچگان	bat͡ʃaɡɒna
بچگی	bat͡ʃaɡi
بحال	behɒl
بحرین	bahrajn
بخت	baχt
بخشایش	baχʃɒjiʃ
بخشد	baχʃad
بخشید	baχʃida
بخشیدن	baχʃidan
بدان	bedɒna
بدبخت	badbaχt
بدتر	badtar
بدخشان	badaχʃɒn
بدخشی	badaχʃi
بدفرجام	badfard͡ʒɒm
بدک	bedak
بدل	badal
بدن	badan
بدنام	badnɒm
بده	badeha
بدو	badu
بدوی	badawi
بدیل	bedil
بدین	badin
بذور	bazur
بر	bar
برآرد	barɒrad
برابر	barɒbar
برات	barɒt
برادر	barɒdar
برادرش	barɒdaraʃ
براش	barɒjaʃ
برام	brɒm
براند	barɒjand
براون	brɒwn
برای	barɒji
بربر	barbara
بربط	barbat
برپا	barpɒ
برت	bert
برتر	bartar
برتری	bartari
برجست	bard͡ʒasta
برحق	barhaq
برخاست	barχɒst
برخط	barχat
برخی	barχeji
برد	barad
بررس	barras
بررسی	barrasi
برزخ	barzaχ
برزو	barzu
برزیل	brazil
برس	brjus
برست	brest
برش	baraʃ
برص	brjus
برقصد	barqasd
برقو	barqu
برکات	barakɒt
برکت	barakat
برکلی	berkli
برگ	barɡ
برگر	berɡara
برگشت	barɡaʃt
برلین	berlin
برم	baram
برمک	barmak
برملا	barmalɒ
برمودا	bermudɒ
برن	beren
برنا	barnɒ
برنت	barnet
برند	barand
برهم	barham
بروکلین	bruklin
برون	berun
بریتیش	britiʃ
برید	barid
بریکس	briks
بریل	brejila
بز	bez
بسامد	basɒmad
بست	basta
بستر	baster
بستنی	bastani
بسر	basra
بسطام	bastɒm
بسکتبال	basketbɒl
بسیط	basit
بش	beʃ
بشارت	baʃɒrat
بشر	baʃar
بشن	baʃnja
بشیر	baʃir
بصر	basra
بصل	basel
بصیر	basir
بطر	batareja
بطری	batarejaji
بطلان	batalɒn
بطوط	batuta
بغداد	baɣdɒd
بغل	baɣal
بقع	baqeʔ
بقی	baqija
بکارت	bakɒrat
بکتاش	bektɒʃ
بکر	bakr
بگم	baɡam
بگن	baɡan
بگیم	beɡim
بگین	beɡin
بلا	belɒ
بلاذر	belɒzer
بلاکچین	blɒkt͡ʃejn
بلاگر	blɒɡer
بلد	balad
بلعمی	balʔami
بلغم	balɣam
بلک	blek
بلم	belem
بلند	baland
بلو	beljajew
بلوچ	balut͡ʃ
بلوچی	balut͡ʃi
بلیز	beliz
بن	bajɒn
بنان	banɒn
بنداز	beandɒza
بندد	bandad
بندر	bandar
بندیکت	benedikt
بنزین	benzin
بنگال	banɡɒla
بنگلادش	banɡlɒdeʃ
به	beh
بها	bahɒ
بهار	bahɒr
بهان	bahɒna
بهتر	behtar
بهترین	behtarin
بهداشت	behdɒʃt
بهرام	bahrɒm
بهزاد	behzɒd
بهلول	bahlul
بهمن	bahman
بوانات	bawɒnɒt
بودند	budand
بورت	burjat
بورد	burda
بوردو	burdu
بورس	bursa
بورک	burak
بوز	buz
بوسلیک	busalik
بوشهر	buʃahr
بول	bul
بولت	bulat
بی	bajia
بیت	bajt
بیران	bajrɒn
بیرجند	bird͡ʒand
بیرق	bajraq
بیرم	birma
بیروت	bajrut
بیزنس	biznes
بیس	bis
بیسبال	bejsbɒl
بیشکک	biʃkek
بیض	bize
بیضوی	bajzawi
بیعت	bajʔat
بیک	bik
بیگ	biɡ
بین	bajn
بیند	binad
بینم	binam
بینند	binanda
بینی	bajni
بیهق	bajhaq
پادتن	pɒdtan
پادشاه	pɒdʃɒh
پادکست	pɒdkast
پارت	pɒrt
پارچ	pɒrt͡ʃa
پارس	pɒrs
پارک	pɒrk
پالت	pɒlat
پالتو	pɒltawa
پالس	pɒljusa
پاند	pɒjanda
پانزده	pɒnzdah
پایتخت	pɒjtaχt
پتا	patɒ
پتروس	petrus
پتنت	patent
پچ	pet͡ʃ
پخت	paχta
پخش	paχʃ
پدر	padar
پدرا	pedrɒ
پدرش	padaraʃ
پدریش	padariaʃ
پر	per
پراکسی	prɒksi
پراکند	parɒkanda
پرتاب	partɒb
پرد	pered
پرداخت	pardɒχt
پرداز	pardɒz
پردازد	pardɒzad
پردازند	pardɒzanda
پردیس	pardis
پرز	prez
پرزیدنت	prezident
پرس	peres
پرسپکتیو	perspektiwi
پرسپولیس	perspulis
پرستار	parastɒr
پرستان	prestɒn
پرستو	parastu
پرسد	prasad
پرک	park
پرگار	parɡɒr
پرم	perm
پرمی	premija
پرند	paranda
پرندگان	parandaɡɒn
پرنس	prens
پرو	peru
پروا	perwɒje
پرواز	parwɒz
پروان	parwɒna
پروند	parwanda
پرویز	parwiz
پروین	parwin
پری	pri
پرینت	prinjat
پرینتر	printer
پست	past
پستر	paster
پستک	pestjak
پسم	psm
پشتون	paʃtun
پطروس	petrus
پفک	pfk
پکتین	pektin
پل	pal
پلاتین	plɒtina
پلاس	palɒs
پلت	plate
پلس	pljus
پلم	palma
پلن	plana
پلنگ	palanɡ
پلنگان	palanɡɒn
پلنگی	palanɡi
پلو	palaw
پمپ	pampa
پنتان	panteɒn
پنج	pand͡ʒ
پندار	pandɒra
پنل	panel
پهلوان	pahlawɒn
پهلوی	pahlawi
پوخ	puχ
پورت	pujerta
پورتلند	purtlnd
پولو	paulu
پوینت	pujint
پی	paj
پیت	pit
پیتر	piter
پیج	pejd͡ʒ
پیدا	pajdɒ
پیدایش	pajdɒjiʃ
پیرس	pires
پیرو	pajraw
پیروان	pajrawɒn
پیروی	pajrawi
پیس	pjesa
پیست	pista
پیغمبر	pajɣambar
پیک	pik
پیکان	pajkɒn
پیکر	pajkar
پیکسل	piksel
پیگمنت	piɡment
پیمان	pajmɒn
پینک	pink
پیوست	pajwast
پیوند	pajwand
تأنی	tɒni
تا	tɒ
تارک	tɒrke
تارومار	tɒrumɒr
تاشکند	tɒʃkand
تالیم	tɒlima
تامین	tɒmin
تانک	tɒnk
تانگ	tɒnɡa
تبر	tabar
تبع	tabʔ
تبعیت	tabaʔijat
تبعید	tabʔid
تبق	tabaq
تبم	tbm
تبیعت	tabiʔat
تتر	teatr
تجن	ted͡ʒen
تحری	tehraj
تخت	taχt
تخس	teχas
تخطی	taχti
تخم	taχm
تخماق	taχmɒq
تخمین	taχmin
تخیل	taχajjul
تد	teda
تذرو	tazarw
تذکار	tazkɒr
تر	tar
تراوت	tarɒwat
ترب	tarab
تربیت	tarbijat
ترجم	tard͡ʒama
تردید	tardid
ترک	tark
ترکی	tarki
ترکید	tarkid
ترم	tarma
ترمیم	tarmim
ترن	trajan
ترنس	trans
ترنگ	taranɡ
تریم	tarim
ترین	tarin
تز	tez
تس	tis
تست	taast
تشبه	taʃbeh
تشک	taʃk
تشن	taʃna
تشویش	taʃwiʃ
تشیع	taʃajjuʔ
تعداد	teʔdɒde
تعین	taʔin
تغیر	taɣir
تف	taf
تفتیش	taftiʃ
تفهیم	tafhim
تقویت	taqwijat
تقویم	taqwim
تکان	takɒn
تکرار	takrɒr
تکست	tekst
تکش	tekeʃ
تکنیک	teknika
تکین	tekin
تل	tela
تلف	talaf
تلکام	telekɒm
تله	talha
تلو	talu
تلوق	taaluq
تم	tem
تمام	tamɒm
تمپ	tampa
تمپر	tampere
تمشک	tamaʃk
تمیز	tamiz
تمیم	tamim
تند	tand
تنش	tanaʃ
تنک	tanke
تنور	tanur
ته	tah
تهران	tehrɒn
تهم	tahma
تهمورث	tahmuras
تهمورس	tahmuras
تهی	tahija
تو	taw
توان	tawɒn
توانا	tawɒnɒ
تواند	tawɒnad
توحید	tawhid
تودل	tudela
تورات	tawrɒt
تورب	turb
توست	tust
توسط	tust
توسن	tusjɒn
توصیف	tawsif
تولید	tawlid
تومن	tuman
تون	tuna
توی	tuj
توین	twin
تیتر	titr
تیف	tajf
تیلر	tajler
تیمور	timur
تیون	tajwan
ثانوی	sɒnawija
ثایب	sɒjib
ثبت	sabt
ثرم	saram
ثروت	sarwat
ثری	sari
ثقف	saqf
ثلث	salas
ثمر	samara
ثمن	semjɒn
ثمود	samud
ثنم	sanam
ثوب	sub
ثور	sawr
جا	d͡ʒɒ
جابجا	d͡ʒɒbad͡ʒɒ
جاجرم	d͡ʒɒd͡ʒarm
جادو	d͡ʒɒdu
جانستان	d͡ʒɒnstɒn
جانور	d͡ʒɒnwar
جاه	d͡ʒɒh
جبریل	d͡ʒabrajil
جبل	d͡ʒabal
جبه	d͡ʒabha
جت	d͡ʒt
جدا	d͡ʒdɒ
جدل	d͡ʒadal
جدول	d͡ʒadwal
جدی	d͡ʒadi
جر	d͡ʒar
جراحت	d͡ʒarɒhat
جرش	d͡ʒaraʃ
جری	d͡ʒari
جز	d͡ʒaz
جس	d͡ʒs
جسارت	d͡ʒasɒrat
جسد	d͡ʒasad
جسور	d͡ʒasur
جعفر	d͡ʒaʔfar
جغتای	d͡ʒaɣatɒj
جفر	d͡ʒafr
جلس	d͡ʒalasa
جمع	d͡ʒamʔ
جن	d͡ʒan
جناب	d͡ʒanɒb
جنب	d͡ʒanba
جنت	d͡ʒanata
جنگل	d͡ʒanɡal
جنگی	d͡ʒanɡi
جنگین	d͡ʒanɡijɒn
جنیفر	d͡ʒenifer
جنین	d͡ʒanin
جهالت	d͡ʒahɒlat
جهان	d͡ʒahɒn
جهت	d͡ʒhat
جهد	d͡ʒahd
جو	d͡ʒaw
جواب	d͡ʒawɒb
جوان	d͡ʒawɒn
جودو	d͡ʒudu
جورج	d͡ʒurd͡ʒ
جوز	d͡ʒuz
جوزا	d͡ʒawzɒ
جولین	d͡ʒulian
جوهر	d͡ʒawhar
جوی	d͡ʒuj
جویی	d͡ʒuji
جیحون	d͡ʒajhun
جیران	d͡ʒejrɒn
چابهار	t͡ʃɒbahɒr
چادر	t͡ʃɒdar
چاشت	t͡ʃɒʃt
چاه	t͡ʃɒh
چپش	t͡ʃapaʃ
چچن	t͡ʃet͡ʃen
چرا	t͡ʃarɒ
چراغ	t͡ʃarɒɣ
چرت	t͡ʃerti
چس	t͡ʃasi
چست	t͡ʃast
چستر	t͡ʃester
چش	t͡ʃʃ
چشم	t͡ʃaʃm
چشمان	t͡ʃaʃmɒn
چشمرس	t͡ʃaʃmras
چک	t͡ʃak
چکان	t͡ʃakɒn
چگن	t͡ʃaɡan
چل	t͡ʃel
چلسی	t͡ʃelsi
چلیک	t͡ʃelik
چمن	t͡ʃaman
چنار	t͡ʃanɒr
چندصد	t͡ʃandsad
چنگو	t͡ʃanɡu
چهار	t͡ʃahɒr
چهارده	t͡ʃahɒrdah
چهارمحال	t͡ʃahɒrmahɒl
چهر	t͡ʃehra
چو	t͡ʃu
چوبین	t͡ʃubin
چون	t͡ʃun
چی	t͡ʃi
حا	hɒ
حاتم	hɒtam
حاجت	hɒd͡ʒat
حالا	hɒlɒ
حالت	hɒlat
حتی	hajɒti
حجر	had͡ʒar
حد	had
حدت	hdt
حذر	hazar
حر	har
حرث	hares
حرس	hares
حرص	hares
حرکت	harakat
حرم	haram
حس	hs
حسبی	hasbi
حست	hast
حسد	hasad
حسن	hasan
حسین	hasina
حشرات	haʃarɒt
حصن	hasan
حصین	hasina
حضار	hazɒr
حضر	hazar
حضرت	hazrat
حطی	hajɒti
حکم	hakam
حکیمان	hakimɒn
حلاوت	halɒwat
حلب	halab
حلقوم	halqum
حلقوی	halqawi
حموی	hamawi
حنبل	hanbal
حنفی	hanafi
حوا	hawɒ
حوت	hut
حوز	hawza
حوش	huʃ
حوض	hawza
حوقل	hawqal
حول	hawel
حی	hi
حیث	his
حیدر	hajdar
حیران	hajrɒn
حیرت	hajrat
حیز	hajz
حیض	hajz
حیف	hajifa
حین	hajjɒn
حیوان	hajwɒn
خاتم	χɒtam
خاست	χɒst
خاستن	χɒstan
خاموش	χɒmuʃ
خاندان	χɒnadɒn
خانقاه	χɒnaqɒh
خانواد	χɒnawɒda
خاور	χɒwar
خب	χba
خبر	χabar
ختن	jaχtan
خرت	χart
خرچنگ	χart͡ʃanɡ
خردل	χardal
خرس	χeres
خرسان	χersɒn
خرطوم	χartum
خرک	χarak
خرگوش	χarɡuʃ
خرم	χram
خزد	χezad
خزر	χazar
خسبد	χasbeda
خضر	χazar
خطت	χatte
خطر	χatar
خطم	χatm
خل	χele
خلبان	χalabɒn
خلت	χalta
خلج	χaled͡ʒ
خلط	χalta
خلف	χalaf
خلل	χalal
خمش	χameʃa
خمین	χamin
خواص	χawɒs
خوای	χawɒji
خود	χud
خودرو	χudraw
خورد	χurd
خورسند	χursand
خوشبختان	χuʃbaχtɒna
خوشحال	χuʃhɒl
خوشنود	χuʃnud
خوف	χawf
خیبر	χajber
خیر	χajr
خیران	χirɒna
خیزر	χizr
خیل	χil
خیم	χajjɒm
دادنی	dɒdani
دارد	dɒrad
دارم	dɒram
داستان	dɒstɒn
داشت	dɒʃt
داکت	dɒkt
دالبی	dɒlbi
دامغان	dɒmɣɒn
دامن	dɒman
داند	dɒnad
دانش	dɒnaaʃ
دانگ	dɒnɡ
دانیل	dɒnijɒl
داور	jɒdɒwar
داوطلب	dɒwtalab
داوطلبان	dɒwtalabɒn
دایم	dɒjim
دبی	dabi
دخالت	daχɒlat
دخت	daχte
در	dar
دراز	darɒz
درامد	darɒmad
درخت	daraχt
درختان	daraχtɒn
دردناک	dardnɒk
درر	djurer
درست	darjɒjest
درصد	darsad
درک	dark
درگ	darɡ
درم	drama
درمان	darmɒn
درهم	darham
درو	daru
دروشی	darweʃi
درون	darun
درونسوز	darunsuz
دژ	dʒ
دست	dast
دستان	dastɒn
دستاورد	dastɒward
دستبندی	dastabandi
دستخط	dastχat
دسترس	dastras
دسترسی	dastrasi
دستور	dastur
دش	daʃ
دشنام	daʃnɒm
دعوا	daʔwɒ
دعوت	daʔwat
دغل	daɣal
دق	daq
دل	dlja
دلا	delɒ
دلالت	dalɒlat
دلان	delɒne
دلت	delat
دلر	daler
دلش	dalʃe
دلفین	delfin
دلو	dalw
دمت	dmt
دمن	daman
دنیز	deniz
دنیل	danijel
ده	deha
دهات	dehɒt
دهشت	dahʃat
دهقان	dehqɒn
دهلوی	dehlawi
دهلی	dehli
دهن	dahana
دهنو	dehnaw
دو	du
دوار	dewɒr
دوام	dawɒm
دوبلین	dublin
دوبی	dubaj
دوتا	dutɒ
دوخت	duχta
دوران	dawrɒn
دورپرواز	durparwɒz
دوردست	durdast
دورو	duru
دوزخ	duzaχ
دوزد	duzd
دوست	dust
دوستان	dustɒn
دوستش	dustaʃ
دوستی	dusti
دول	djuwal
دولت	dawlat
دوم	dujum
دونست	dunjɒst
دووم	dwumja
دوید	dewid
دویدن	dawidan
دی	di
دیدار	didɒr
دیز	diaz
دیزل	dizel
دیسک	disk
دیگر	diɡar
دیگربار	diɡarbɒra
دیگری	diɡari
دیلم	dilam
دیلی	dili
دیم	djujm
دیوید	dejwid
ذبح	zabh
ذر	zer
ذرت	zarate
ذری	zeri
ذکاوت	zakɒwat
ذل	zale
ذلت	zlate
ذن	zan
ذهن	zehn
ذوق	zawq
ذیل	zil
را	rɒ
رابر	rɒbar
رابرت	rɒbert
راحت	rɒhat
راحتی	rɒhati
راست	rɒst
راند	rɒnda
رانش	jɒrɒnaʃ
راه	rɒh
راهرو	rɒhraw
راهزن	rɒhzan
راور	rɒwar
رای	rɒj
ربات	rabɒti
رباط	rabɒti
ربع	rabeʔ
رپر	reper
رت	rt
رثا	rasɒ
رجب	rad͡ʒab
رحمان	rahmɒn
رخ	raχ
رخن	raχna
رز	reza
رزم	razm
رزن	rjazan
رزین	rezin
رژ	reʒ
رژیم	reʒim
رس	rs
رسان	rasɒna
رساند	rasɒnd
رستنی	rastenija
رسد	rasad
رسند	resende
رسول	rasul
رسید	rasid
رسیدن	rasidan
رشت	raʃt
رصد	rasad
رضوی	razawi
رغبت	raɣbat
رفاقت	rafɒqat
رفت	rafta
رفسنجان	rafsand͡ʒɒn
رقابت	raqɒbat
رقم	raqam
رک	rk
رکس	reks
رل	real
رمان	ramɒn
رمضان	ramazɒn
رموک	jarmuk
رند	rand
رنگارنگ	ranɡɒranɡ
رنگارنگی	ranɡɒranɡi
ره	rh
رهبر	rahbar
رهم	rahm
رهنما	rahnamɒ
رهنمون	rahnamun
رو	ru
روان	rawɒna
روباه	rubɒh
روبرو	rubaru
روبل	rubl
روحانی	ruhɒni
رود	ruda
رودان	rudɒn
رودبار	rudbɒr
رودکی	rudaki
روزن	rawzana
روزولت	ruzwelt
روژ	ruʒ
روسو	rusu
روش	rujaʃ
روشن	rawʃan
روغن	rawɣan
روغنش	rawɣanaʃ
روکش	rukaʃ
رول	raul
روم	rum
رومان	rumɒn
رومی	rumi
روند	rawand
رونق	rawnaq
رونقی	rawnaqi
روی	ruji
روید	rujida
رویداد	rujdɒd
رویش	rawiʃ
ری	raj
ریب	rib
ریت	rita
ریتم	ritm
ریحان	rajhɒn
ریشو	riʃwa
ریل	ril
ریه	rih
ریو	riu
ریوس	riwas
ریون	riwne
زایر	zɒjir
زایش	zɒjiʃ
زبر	zabar
زبردست	zabardast
زبور	zabur
زحل	zahla
زحمتکشان	zahmatkaʃɒn
زدن	zadan
زدوخورد	zaduχurd
زدی	jazdi
زرت	zarate
زرنگ	zaranɡ
زرین	zerin
زکام	jazikɒm
زل	zale
زمخشری	zamaχʃari
زنت	znat
زنجبیل	zand͡ʒabil
زند	zand
زندی	zandi
زنش	zanaʃ
زنک	znak
زنگبار	zanɡbɒr
زنم	znamja
زنند	zanand
زهاب	zahɒb
زهرا	zahrɒ
زهل	zahla
زهی	zehi
زوج	zawd͡ʒa
زودهضم	zudhazm
زورق	zawraq
زوزن	zuzan
زولال	zulɒl
زونا	zwenɒ
زیتون	zajtun
زید	zijɒda
زیف	zajif
زیگموند	ziɡmund
زینب	zajnab
زینت	zinat
ژرمن	ʒermen
ژل	ʒjul
ژن	ʒan
ژنو	ʒenewa
ساخت	sɒχta
سادگی	sɒdaɡi
ساربان	sɒrbɒn
سازد	sɒzad
ساغر	sɒɣar
سالخورد	sɒlχurda
سالک	sɒlk
سالن	sɒljɒn
سانت	sɒnata
ساید	sɒjida
سایر	sɒjir
سایش	sɒjiʃ
سبح	sabha
سبد	sabad
سبزوار	sabzawɒr
سبقت	sabqat
سبک	sabk
سپار	spɒra
سپس	spas
سپید	spid
ستا	satɒ
ستار	setɒr
ستاک	stɒk
ستان	stɒn
ستد	stad
ستر	str
ستوت	staut
سجاد	sad͡ʒɒd
سحر	sahar
سحری	saharaji
سخاوت	saχɒwat
سخر	saχra
سدر	sadr
سر	sar
سراسر	sarɒsar
سراند	sarɒjanda
سراید	sarɒjida
سرب	serb
سربند	sarband
سرپرست	sarparast
سرپرستان	sarparastɒn
سرت	sarate
سرخس	saraχs
سرزمین	sarzamin
سرش	saraʃ
سرط	sarate
سرطان	saratɒn
سرک	sarak
سرگرم	sarɡarm
سرگون	serɡejewna
سرم	saram
سرنگون	sarnaɡun
سره	sareh
سرهنگی	sarhanɡi
سرو	saru
سرور	serwer
سروکار	sarukɒr
سرویس	serwis
سزاوار	sazɒwɒr
سس	ss
سع	saʔju
سعی	saʔj
سفارت	safɒrat
سفال	safɒl
سفر	safar
سفرا	safrɒ
سفه	safha
سکرتر	sekretar
سکن	skn
سگک	saɡak
سل	sel
سلاح	salɒh
سلامت	salɒmat
سلط	selta
سلطنت	saltanate
سلک	slk
سلمان	salmɒn
سمت	samt
سمر	samara
سمرقند	samarqand
سمن	semjɒn
سمندر	samandar
سمنگان	samanɡɒn
سن	san
سنات	sanɒat
سنت	santa
سنتر	sntr
